SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
22.678839,0.72189758,4.1213103,31.415591,13.595909,49.233356,1.1044335e-10,-14.639252,-0.42517581,4.1213103,34.431055,13.595909,114.33031,0.00078856215,0.07456502,0.44627544,4.1213103,0.16708295,13.595909,0.27224964,0.00039599713,6.0497878,0.15713833,4.1213103,38.499759,13.595909,189.3973,0.23460564,-0.00020220148,-0.071549205,31.415591,0.002826048,49.233356,0.011096943,0.59022364,0.00036292232,0.12842044,0.16708295,0.002826048,0.27224964,0.011096943,0.33237958,1.7426785,0.48619782,34.431055,3.5842993,114.33031,27.982327,9.4604456e-05,-173.71778,-0.31120913,4.1213103,558.20272,13.595909,1724.1323,0.016430643,-128.12523,-0.51573563,31.415591,248.43199,49.233356,1006.0041,2.9099034e-05,153.86209,0.61933284,34.431055,248.43199,114.33031,1006.0041,1.7008231e-07,-203.30064,-0.36420575,31.415591,558.20272,49.233356,1724.1323,0.004571631,350.25391,0.62746723,34.431055,558.20272,114.33031,1724.1323,1.0473601e-07,-336.23115,-0.60234595,0.16708295,558.20272,0.27224964,1724.1323,4.4833313e-07,228.64007,0.40960042,38.499759,558.20272,189.3973,1724.1323,0.0012752545,-368.74261,-0.66058905,0.002826048,558.20272,0.011096943,1724.1323,1.2481689e-08,289.3839,0.51842079,3.5842993,558.20272,27.982327,1724.1323,2.599837e-05,27742.359,307142.73,1.0762395,1006.0041,1,daily
7.8972941,0.31560714,4.1660002,25.022546,13.680483,16.664108,0.014894132,-3.0101247,-0.14235381,4.1660002,21.145375,13.680483,-35.827728,0.28213576,0.0057134497,0.014638611,4.1660002,0.39029999,13.680483,0.15335702,0.91237658,6.0357276,0.26924019,4.1660002,22.417633,13.680483,-59.098831,0.039200892,-0.00028206937,-0.097297134,25.022546,0.0028990511,16.664108,0.011385909,0.46349436,0.00041192779,0.14209056,0.39029999,0.0028990511,0.15335702,0.011385909,0.28303587,0.20821232,0.051479104,21.145375,4.0445987,-35.827728,24.863559,0.69859704,-211.30512,-0.35773913,4.1660002,590.66818,13.680483,1265.0582,0.0054065182,56.639082,0.255636,25.022546,221.56145,16.664108,300.40065,0.050681326,-64.589563,-0.29151986,21.145375,221.56145,-35.827728,300.40065,0.025078028,-143.61829,-0.24314547,25.022546,590.66818,16.664108,1265.0582,0.063506261,-220.45571,-0.37323106,21.145375,590.66818,-35.827728,1265.0582,0.003596873,-223.54109,-0.3784546,0.39029999,590.66818,0.15335702,1265.0582,0.00312109,-172.41093,-0.29189135,22.417633,590.66818,-59.098831,1265.0582,0.024884924,-355.46941,-0.60180897,0.0028990511,590.66818,0.011385909,1265.0582,4.6186006e-07,336.68459,0.57000631,4.0445987,590.66818,24.863559,1265.0582,2.448526e-06,28464.771,303922.87,1.1351734,300.40065,1,0
7.0139067,0.27935705,4.1540747,25.10732,13.606992,13.48372,0.032134703,-3.6214649,-0.16987568,4.1540747,21.318325,13.606992,-32.391024,0.19834058,-0.022221899,-0.053475298,4.1540747,0.41555447,13.606992,0.18450963,0.68749923,6.1006394,0.25745828,4.1540747,23.695643,13.606992,-55.931766,0.049000648,-0.0003190653,-0.10830783,25.10732,0.0029459116,13.48372,0.011499043,0.41419466,0.00070140529,0.23809448,0.41555447,0.0029459116,0.18450963,0.011499043,0.069382551,-0.20716306,-0.050596738,21.318325,4.0943956,-32.391024,24.277966,0.70352276,-215.79247,-0.36784755,4.1540747,586.6356,13.606992,1173.4848,0.0041533406,84.28469,0.39322622,25.10732,214.34148,13.48372,289.78485,0.002063409,-84.801802,-0.39563878,21.318325,214.34148,-32.391024,289.78485,0.0019250802,-79.916575,-0.13622865,25.10732,586.6356,13.48372,1173.4848,0.30356931,-218.58857,-0.37261388,21.318325,586.6356,-32.391024,1173.4848,0.0036571269,-240.76137,-0.41041044,0.41555447,586.6356,0.18450963,1173.4848,0.0012444677,-212.67936,-0.36254084,23.695643,586.6356,-55.931766,1173.4848,0.0047749256,-333.72015,-0.56887128,0.0029459116,586.6356,0.011499043,1173.4848,2.590418e-06,329.73137,0.56207187,4.0943956,586.6356,24.277966,1173.4848,3.6144238e-06,28747.607,303313.84,1.1373465,289.78485,1,1
7.860922,0.30772869,4.1207023,25.544976,13.553831,13.777967,0.017740806,-2.5732128,-0.11664152,4.1207023,22.060864,13.553831,-27.471186,0.37897891,0.051438605,0.10464247,4.1207023,0.4915653,13.553831,0.30090481,0.43026087,5.0361223,0.21497452,4.1207023,23.426601,13.553831,-52.527931,0.1020281,-0.00048916384,-0.15495776,25.544976,0.0031567559,13.777967,0.011573498,0.24124487,0.00041833511,0.13252057,0.4915653,0.0031567559,0.30090481,0.011573498,0.3170434,-0.69927268,-0.16792181,22.060864,4.1642755,-27.471186,23.707627,0.20362769,-180.47182,-0.29183675,4.1207023,618.39991,13.553831,1101.218,0.024913225,66.385206,0.30471052,25.544976,217.86319,13.777967,309.51574,0.018948097,-53.56136,-0.2458486,22.060864,217.86319,-27.471186,309.51574,0.06052991,-25.895221,-0.041874554,25.544976,618.39991,13.777967,1101.218,0.752837,-287.85251,-0.46547954,22.060864,618.39991,-27.471186,1101.218,0.00020328445,-174.79684,-0.28265987,0.4915653,618.39991,0.30090481,1101.218,0.030071779,-193.43061,-0.31279211,23.426601,618.39991,-52.527931,1101.218,0.015862683,-378.68702,-0.6123659,0.0031567559,618.39991,0.011573498,1101.218,2.5485785e-07,313.77711,0.50740161,4.1642755,618.39991,23.707627,1101.218,4.1034922e-05,28933.744,302751.62,1.1366994,309.51574,1,2
7.4163272,0.4069628,4.084161,18.2236,13.520119,12.421394,0.0013803033,-2.2983961,-0.11772476,4.084161,19.523473,13.520119,-29.577918,0.37453713,0.063548945,0.16183821,4.084161,0.3926696,13.520119,0.16750945,0.220727,3.8669365,0.17684311,4.084161,21.866481,13.520119,-52.206006,0.18028374,-0.00071633735,-0.2341917,18.2236,0.0030587649,12.421394,0.0113595,0.074214278,-0.00028319806,-0.092585755,0.3926696,0.0030587649,0.16750945,0.0113595,0.48552198,-0.98306411,-0.24010303,19.523473,4.0943428,-29.577918,23.584746,0.066995807,-168.62432,-0.29825283,4.084161,565.37375,13.520119,1121.1412,0.021767664,87.368099,0.37083216,18.2236,235.60011,12.421394,330.52291,0.0038361142,-63.905121,-0.27124402,19.523473,235.60011,-29.577918,330.52291,0.037707604,41.72485,0.073800472,18.2236,565.37375,12.421394,1121.1412,0.57855151,-326.95105,-0.57829188,19.523473,565.37375,-29.577918,1121.1412,1.612558e-06,-82.174818,-0.14534601,0.3926696,565.37375,0.16750945,1121.1412,0.27203776,-182.93064,-0.323557,21.866481,565.37375,-52.206006,1121.1412,0.012427985,-324.32534,-0.57364768,0.0030587649,565.37375,0.0113595,1121.1412,2.0407861e-06,252.97375,0.44744516,4.0943428,565.37375,23.584746,1121.1412,0.00038065939,28398.749,302645.24,1.1350746,330.52291,1,3
2.1897293,0.095601107,4.0518537,22.904853,13.453805,14.864207,0.47136091,1.408908,0.072207851,4.0518537,19.51184,13.453805,-32.365062,0.58679785,-0.015408814,-0.039104627,4.0518537,0.39404068,13.453805,0.17244115,0.76871656,5.3364436,0.24795235,4.0518537,21.522053,13.453805,-52.743991,0.058292258,-0.00069185928,-0.22528196,22.904853,0.0030710815,14.864207,0.011131772,0.086248318,-0.00017519834,-0.057047766,0.39404068,0.0030710815,0.17244115,0.011131772,0.66780213,-1.2607788,-0.30384515,19.51184,4.1494123,-32.365062,23.147458,0.01930689,-213.19102,-0.36657171,4.0518537,581.58066,13.453805,1106.7786,0.0042958667,75.80868,0.30925363,22.904853,245.13433,14.864207,340.44772,0.017156187,-61.873613,-0.25240697,19.51184,245.13433,-32.365062,340.44772,0.05377471,59.668545,0.1025972,22.904853,581.58066,14.864207,1106.7786,0.43937666,-337.47117,-0.58026546,19.51184,581.58066,-32.365062,1106.7786,1.4573755e-06,-98.044838,-0.16858339,0.39404068,581.58066,0.17244115,1106.7786,0.20182641,-240.52195,-0.41356594,21.522053,581.58066,-52.743991,1106.7786,0.001130802,-336.71395,-0.57896345,0.0030710815,581.58066,0.011131772,1106.7786,1.5580962e-06,272.65411,0.46881563,4.1494123,581.58066,23.147458,1106.7786,0.00018031629,27829.429,302198.71,1.1351796,340.44772,1,4
4.4174374,0.26745935,4.0720046,16.516294,13.432568,11.174221,0.040568705,-0.15349932,-0.007984175,4.0720046,19.225445,13.432568,-29.513559,0.9521426,0.032300543,0.090096972,4.0720046,0.35850864,13.432568,0.15750714,0.49737678,6.3873534,0.29245421,4.0720046,21.840525,13.432568,-51.527099,0.024594728,-0.00058290975,-0.18978985,16.516294,0.0030713431,11.174221,0.011268686,0.14994252,-0.00026059859,-0.084848412,0.35850864,0.0030713431,0.15750714,0.011268686,0.5228605,-1.1034461,-0.2623321,19.225445,4.2062947,-29.513559,22.742373,0.04472822,-182.5994,-0.33746776,4.0720046,541.08695,13.432568,1030.2069,0.0089530113,90.786985,0.37788314,16.516294,240.25148,11.174221,342.41655,0.0031702682,-76.757071,-0.31948636,19.225445,240.25148,-29.513559,342.41655,0.013642807,53.861203,0.099542602,16.516294,541.08695,11.174221,1030.2069,0.45318987,-238.45995,-0.44070541,19.225445,541.08695,-29.513559,1030.2069,0.00047703186,-77.407509,-0.14305928,0.35850864,541.08695,0.15750714,1030.2069,0.27973297,-233.98091,-0.43242755,21.840525,541.08695,-51.527099,1030.2069,0.00062545049,-291.66565,-0.53903657,0.0030713431,541.08695,0.011268686,1030.2069,1.0595272e-05,240.94568,0.44529937,4.2062947,541.08695,22.742373,1030.2069,0.00040922362,28171.714,301757.47,1.1361653,342.41655,1,5
5.8113916,0.40772172,4.0243985,14.253329,13.621534,9.2057112,0.0014891248,-1.122179,-0.055166068,4.0243985,20.341833,13.621534,-27.243966,0.6808526,0.083812071,0.24190725,4.0243985,0.34646365,13.621534,0.15109755,0.067327368,6.6854716,0.29510563,4.0243985,22.654504,13.621534,-46.659893,0.02452048,-0.00057458998,-0.18625976,14.253329,0.0030848852,9.2057112,0.01135952,0.16153805,-0.0008744678,-0.2834685,0.34646365,0.0030848852,0.15109755,0.01135952,0.031061808,-1.6729742,-0.3828491,20.341833,4.3698006,-27.243966,22.186207,0.0030157439,-180.52091,-0.32954482,4.0243985,547.78864,13.621534,943.85778,0.011533618,76.187052,0.31233134,14.253329,243.93022,9.2057112,331.36017,0.01699051,-72.995252,-0.29924645,20.341833,243.93022,-27.243966,331.36017,0.022492405,121.13776,0.2211396,14.253329,547.78864,9.2057112,943.85778,0.095273824,-304.55389,-0.5559697,20.341833,547.78864,-27.243966,943.85778,5.8753164e-06,-23.89247,-0.04361622,0.34646365,547.78864,0.15109755,943.85778,0.74510914,-275.3274,-0.50261611,22.654504,547.78864,-46.659893,943.85778,5.8057645e-05,-278.76011,-0.50888259,0.0030848852,547.78864,0.01135952,943.85778,4.5237674e-05,260.02336,0.47467826,4.3698006,547.78864,22.186207,943.85778,0.0001667737,28398.801,301147.7,1.1387011,331.36017,1,6
4.9820698,0.2241805,3.9542853,22.223475,13.655153,26.146919,0.087836877,-0.50562916,-0.026518663,3.9542853,19.066918,13.655153,-7.4347458,0.84197296,0.13227424,0.29105758,3.9542853,0.45446072,13.655153,0.85321734,0.025320091,10.172948,0.2724784,3.9542853,37.334879,13.655153,4.7460017,0.036811396,-0.00091341584,-0.29936393,22.223475,0.0030511887,26.146919,0.011292731,0.02125865,-0.00058791947,-0.19268538,0.45446072,0.0030511887,0.85321734,0.011292731,0.14370887,0.20848789,0.049209332,19.066918,4.2367551,-7.4347458,22.544068,0.71129231,-163.30408,-0.31392285,3.9542853,520.20448,13.655153,995.19197,0.015467344,40.618588,0.17282514,22.223475,235.02709,26.146919,425.76704,0.19054571,40.364334,0.17174333,19.066918,235.02709,-7.4347458,425.76704,0.19337882,185.26748,0.35614357,22.223475,520.20448,26.146919,995.19197,0.0056320593,-192.27766,-0.36961939,19.066918,520.20448,-7.4347458,995.19197,0.0039623354,121.4215,0.2334111,0.45446072,520.20448,0.85321734,995.19197,0.075212052,-262.76787,-0.50512419,37.334879,520.20448,4.7460017,995.19197,4.5006297e-05,-255.1835,-0.4905446,0.0030511887,520.20448,0.011292731,995.19197,8.0071739e-05,247.93795,0.47661632,4.2367551,520.20448,22.544068,995.19197,0.0001355743,28231.829,301474.39,1.1310021,425.76704,1,7
18.088303,0.56797492,4.0789282,31.84701,13.362144,56.008466,2.7078606e-06,-4.8414455,-0.11816307,4.0789282,40.972576,13.362144,63.051695,0.37274876,0.073310101,0.27321635,4.0789282,0.26832252,13.362144,0.50443477,0.036284096,21.548861,0.28405488,4.0348107,75.861613,13.258103,130.2063,0.030700479,-0.00059967656,-0.18747751,31.84701,0.0031986586,56.008466,0.011891035,0.15506308,-1.7748311e-05,-0.0055486729,0.26832252,0.0031986586,0.50443477,0.011891035,0.96673103,1.044585,0.24769571,40.972576,4.2172106,63.051695,24.833898,0.058561592,-131.42986,-0.23436196,4.0789282,560.7986,13.362144,1183.6099,0.073998045,2.9273648,0.01246013,31.84701,234.93855,56.008466,602.83152,0.92537616,43.624735,0.18568573,40.972576,234.93855,63.051695,602.83152,0.15911891,48.71326,0.08686409,31.84701,560.7986,56.008466,1183.6099,0.51299704,163.95081,0.29235238,40.972576,560.7986,63.051695,1183.6099,0.024647015,-96.524572,-0.17211985,0.26832252,560.7986,0.50443477,1183.6099,0.19238936,-76.477417,-0.13562551,75.861613,563.88666,130.2063,1189.4453,0.31005426,-313.99187,-0.55990131,0.0031986586,560.7986,0.011891035,1183.6099,4.013744e-06,267.80209,0.47753702,4.2172106,560.7986,24.833898,1183.6099,0.00013102715,29727.589,303769.89,1.1134538,602.83152,1,8
