SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
15.385607,0.69340195,3.3434141,22.188584,5.2926185,32.843141,6.3295704e-18,-17.489769,-0.49538403,3.3434141,35.305476,5.2926185,102.8401,1.571921e-08,0.2006267,0.68851463,3.3434141,0.29139062,5.2926185,0.33103602,1.3313209e-17,-3.7753982,-0.12997355,3.3434141,29.047434,5.2926185,174.87284,0.16434544,0.0019681195,0.57053,22.188584,0.0034496337,32.843141,0.0087416784,2.2941378e-11,0.0026439088,0.76643177,0.29139062,0.0034496337,0.33103602,0.0087416784,1.173753e-23,0.889064,0.32201613,35.305476,2.7609301,102.8401,30.383522,0.00042342038,-496.56094,-0.52263261,3.3434141,950.11474,5.2926185,2594.2177,1.7677122e-09,-251.30171,-0.71584793,22.188584,351.0546,32.843141,1191.8095,1.7057271e-19,186.504,0.53126778,35.305476,351.0546,102.8401,1191.8095,8.4877938e-10,-601.82094,-0.63341923,22.188584,950.11474,32.843141,2594.2177,2.3424018e-14,678.55262,0.71417966,35.305476,950.11474,102.8401,2594.2177,2.2579883e-19,-754.25261,-0.79385424,0.29139062,950.11474,0.33103602,2594.2177,2.2102091e-26,213.79468,0.22501986,29.047434,950.11474,174.87284,2594.2177,0.015160475,-910.73411,-0.95855171,0.0034496337,950.11474,0.0087416784,2594.2177,5.3550665e-64,532.48017,0.56043776,2.7609301,950.11474,30.383522,2594.2177,6.0727907e-11,21854.196,310614.87,1.0472094,1191.8095,1,daily
7.510978,0.46911464,3.9197023,16.010965,5.5396552,10.69786,1.086618e-07,2.1165268,0.16407249,3.9197023,12.899949,5.5396552,-18.508396,0.07842057,0.30217927,0.55052258,3.9197023,0.54889533,5.5396552,0.38497174,1.5315621e-10,12.858207,0.51998881,3.9197023,24.727854,5.5396552,-66.633621,2.2038858e-09,0.0010222648,0.25566575,16.010965,0.0039984426,10.69786,0.0091978162,0.00560603,0.0027422683,0.6858341,0.54889533,0.0039984426,0.38497174,0.0091978162,1.9893337e-17,-0.49902169,-0.18511664,12.899949,2.695715,-18.508396,27.492845,0.046656555,-513.47564,-0.50004766,3.9197023,1026.8534,5.5396552,2147.6341,1.0960998e-08,-35.586331,-0.13626718,16.010965,261.15116,10.69786,311.99975,0.14468593,-95.233103,-0.36466659,12.899949,261.15116,-18.508396,311.99975,5.7087062e-05,-314.63279,-0.30640478,16.010965,1026.8534,10.69786,2147.6341,0.00082229093,-621.19676,-0.60495175,12.899949,1026.8534,-18.508396,2147.6341,6.3817718e-13,-702.23264,-0.68386844,0.54889533,1026.8534,0.38497174,2147.6341,2.6633719e-17,-809.94999,-0.78876886,24.727854,1026.8534,-66.633621,2147.6341,7.5881133e-26,-983.67676,-0.95795248,0.0039984426,1026.8534,0.0091978162,2147.6341,1.1933916e-63,477.81607,0.46532062,2.695715,1026.8534,27.492845,2147.6341,1.4178512e-07,22994.54,307600.3,1.1164567,311.99975,1,0
7.6825226,0.51237225,3.8533852,14.994025,5.5413793,10.99694,4.116987e-09,1.5944789,0.12708412,3.8533852,12.546642,5.5413793,-17.450763,0.1740092,0.27611929,0.5114422,3.8533852,0.53988366,5.5413793,0.35247117,4.4387811e-09,13.025145,0.54649701,3.8533852,23.833881,5.5413793,-64.771552,2.2106551e-10,0.0013339705,0.32681024,14.994025,0.0040817892,10.99694,0.0093294319,0.00034283973,0.002373885,0.58157952,0.53988366,0.0040817892,0.35247117,0.0093294319,7.6033991e-12,-0.67038425,-0.24120435,12.546642,2.7793208,-17.450763,26.659612,0.0090980607,-482.42944,-0.47908369,3.8533852,1006.9836,5.5413793,2020.7979,5.3174532e-08,-8.3126191,-0.033417214,14.994025,248.75261,10.99694,295.41139,0.72175358,-79.802826,-0.32081202,12.546642,248.75261,-17.450763,295.41139,0.00044623411,-340.58222,-0.33822022,14.994025,1006.9836,10.99694,2020.7979,0.00020453637,-524.52155,-0.52088389,12.546642,1006.9836,-17.450763,2020.7979,2.0457597e-09,-588.46772,-0.58438658,0.53988366,1006.9836,0.35247117,2020.7979,5.7053185e-12,-750.07363,-0.74487171,23.833881,1006.9836,-64.771552,2020.7979,9.1888167e-22,-956.91782,-0.9502814,0.0040817892,1006.9836,0.0093294319,2020.7979,1.3533282e-59,393.33384,0.39060599,2.7793208,1006.9836,26.659612,2020.7979,1.4582928e-05,23323.58,306794.94,1.1187094,295.41139,1,1
5.7308003,0.55221864,3.7727845,10.377774,5.5443966,9.5628092,1.3102228e-10,1.85109,0.1579723,3.7727845,11.717814,5.5443966,-16.698382,0.09033372,0.3036208,0.55659536,3.7727845,0.54549646,5.5443966,0.35835099,8.7225853e-11,11.585292,0.51835491,3.7727845,22.350115,5.5443966,-63.633621,2.5233173e-09,0.0016395616,0.39983912,10.377774,0.0041005532,9.5628092,0.0094101657,8.7197703e-06,0.0024379066,0.59453115,0.54549646,0.0041005532,0.35835099,0.0094101657,1.974321e-12,-0.88765641,-0.31608948,11.717814,2.8082441,-16.698382,25.925345,0.00054706964,-478.17555,-0.48668739,3.7727845,982.51067,5.5443966,1912.3706,3.0355853e-08,-16.971449,-0.06952276,10.377774,244.11358,9.5628092,291.96578,0.45834675,-85.861874,-0.35172921,11.717814,244.11358,-16.698382,291.96578,0.0001080869,-371.27061,-0.37787947,10.377774,982.51067,9.5628092,1912.3706,2.8901225e-05,-530.93644,-0.54038745,11.717814,982.51067,-16.698382,1912.3706,3.82316e-10,-587.30378,-0.59775817,0.54549646,982.51067,0.35835099,1912.3706,1.3977067e-12,-699.40339,-0.71185323,22.350115,982.51067,-63.633621,1912.3706,3.3277333e-19,-932.62876,-0.94923016,0.0041005532,982.51067,0.0094101657,1912.3706,4.3299259e-59,328.43054,0.33427681,2.8082441,982.51067,25.925345,1912.3706,0.00024506549,23525.414,306067.69,1.1200777,291.96578,1,2
6.9435187,0.62825529,3.6982365,11.052066,5.5517241,9.4472758,4.3749036e-14,1.3201803,0.10623123,3.6982365,12.427422,5.5517241,-17.084771,0.25638809,0.257954,0.49798724,3.6982365,0.51799319,5.5517241,0.32705051,1.2862261e-08,10.610154,0.48470033,3.6982365,21.890132,5.5517241,-62.094828,3.5191485e-08,0.001498161,0.36814282,11.052066,0.0040695104,9.4472758,0.009480599,4.7863159e-05,0.0026924425,0.66161336,0.51799319,0.0040695104,0.32705051,0.009480599,6.2231071e-16,-0.6365606,-0.22189473,12.427422,2.8687504,-17.084771,25.399698,0.016669304,-463.21602,-0.47662032,3.6982365,971.87637,5.5517241,1829.7045,6.3579687e-08,-3.2371468,-0.013798888,11.052066,234.59475,9.4472758,289.1028,0.88311933,-84.643525,-0.36080741,12.427422,234.59475,-17.084771,289.1028,6.9260182e-05,-380.51525,-0.39152639,11.052066,971.87637,9.4472758,1829.7045,1.3863721e-05,-589.7786,-0.60684529,12.427422,971.87637,-17.084771,1829.7045,5.1747871e-13,-620.79746,-0.63876176,0.51799319,971.87637,0.32705051,1829.7045,1.2121756e-14,-697.73856,-0.71792934,21.890132,971.87637,-62.094828,1829.7045,1.1986828e-19,-916.6938,-0.94322059,0.0040695104,971.87637,0.009480599,1829.7045,2.1483211e-56,313.5401,0.32261316,2.8687504,971.87637,25.399698,1829.7045,0.00041251179,23701.497,305542.52,1.1211373,289.1028,1,3
5.9219742,0.57027311,3.6708344,10.384453,5.5691304,8.8851016,2.8761873e-11,1.4909476,0.11945109,3.6567385,12.481657,5.5581897,-16.1676,0.20154111,0.28433598,0.53219397,3.6708344,0.53427132,5.5691304,0.3456009,9.2945074e-10,10.110467,0.4869474,3.6567385,20.762955,5.5581897,-62.293103,2.9772275e-08,0.0016166634,0.39875027,10.384453,0.0040543254,8.8851016,0.0095147453,1.0152097e-05,0.0024400595,0.60184107,0.53427132,0.0040543254,0.3456009,0.0095147453,1.1290911e-12,-0.41049514,-0.14507286,12.481657,2.8295791,-16.1676,24.816638,0.12023372,-459.81776,-0.47751445,3.6567385,962.93999,5.5581897,1739.5255,5.9595996e-08,-8.0833636,-0.036146213,10.384453,223.62962,8.8851016,278.45822,0.70133737,-71.715459,-0.32174386,12.481657,222.89613,-16.1676,279.42022,0.00042848284,-377.89784,-0.39419339,10.384453,958.66105,8.8851016,1751.3482,1.3070481e-05,-524.78259,-0.54497954,12.481657,962.93999,-16.1676,1739.5255,2.5354607e-10,-550.07965,-0.57379993,0.53427132,958.66105,0.3456009,1751.3482,2.0375395e-11,-705.59449,-0.73275022,20.762955,962.93999,-62.293103,1739.5255,8.8439448e-21,-903.94151,-0.93873089,0.0040706453,962.93999,0.0095634823,1739.5255,1.4479762e-54,285.95028,0.29695545,2.8295791,962.93999,24.816638,1739.5255,0.0012078737,23908.706,304930.29,1.1231829,279.42022,1,4
4.9136279,0.4297403,3.6334407,11.433947,5.574569,9.5840985,1.4788287e-06,0.89662283,0.075048125,3.6334407,11.947305,5.574569,-16.454965,0.423323,0.23766722,0.44001242,3.6334407,0.54013752,5.574569,0.37122351,7.7215098e-07,9.8694961,0.50834347,3.6334407,19.415015,5.574569,-62.974138,5.6945071e-09,0.0012381383,0.31053779,11.433947,0.0039870778,9.5840985,0.0095931828,0.00069219081,0.0022346931,0.56048394,0.54013752,0.0039870778,0.37122351,0.0095931828,6.0462457e-11,-0.36270736,-0.1259768,11.947305,2.8791599,-16.454965,24.241466,0.17782154,-440.98447,-0.47517811,3.6334407,928.04038,5.574569,1653.2142,7.0546622e-08,9.1659811,0.042903643,11.433947,213.64109,9.5840985,270.66459,0.6474606,-76.805603,-0.35950764,11.947305,213.64109,-16.454965,270.66459,7.3878205e-05,-302.01711,-0.32543531,11.433947,928.04038,9.5840985,1653.2142,0.0003643668,-486.33242,-0.5240423,11.947305,928.04038,-16.454965,1653.2142,1.5703838e-09,-515.30605,-0.55526254,0.54013752,928.04038,0.37122351,1653.2142,9.8793039e-11,-659.85922,-0.71102425,19.415015,928.04038,-62.974138,1653.2142,3.8173581e-19,-861.34867,-0.92813707,0.0039870778,928.04038,0.0095931828,1653.2142,9.5052806e-51,242.24952,0.26103339,2.8791599,928.04038,24.241466,1653.2142,0.004651732,23982.957,304287.97,1.1256478,270.66459,1,5
4.8775048,0.36031051,3.6855324,13.536948,5.62,14.618677,7.6408577e-05,0.69460735,0.062227033,3.6855324,11.162469,5.62,-11.016095,0.50882951,0.22906203,0.41152507,3.6855324,0.55661745,5.62,0.62203986,4.8998541e-06,6.8575946,0.32630072,3.6742633,21.01618,5.6025862,-34.366379,0.00035067648,0.0011501446,0.28726839,13.536948,0.0040037283,14.618677,0.0095607783,0.0018529426,0.001935472,0.48341743,0.55661745,0.0040037283,0.62203986,0.0095607783,4.438914e-08,-0.082023597,-0.029286406,11.162469,2.8007396,-11.016095,24.342391,0.75603062,-426.08533,-0.45955309,3.6742633,927.17325,5.6025862,1669.159,2.1117193e-07,-1.26641,-0.0060980147,13.536948,207.67579,14.618677,267.79484,0.94842868,-45.789013,-0.22048315,11.162469,207.67579,-11.016095,267.79484,0.017893938,-245.17685,-0.26342844,13.536948,930.71517,14.618677,1672.0237,0.0044478696,-380.24016,-0.40854621,11.162469,930.71517,-11.016095,1672.0237,5.8226778e-06,-410.3613,-0.44090965,0.55661745,930.71517,0.62203986,1672.0237,8.153404e-07,-535.01013,-0.57703361,21.01618,927.17325,-34.366379,1669.159,1.2036375e-11,-864.40665,-0.93230327,0.0039884305,927.17325,0.0095729296,1669.159,3.5568478e-52,240.17382,0.25903877,2.7898089,927.17325,24.350216,1669.159,0.0049879317,23932.324,304329.57,1.1266642,266.18266,1,6
9.2027116,0.35567712,3.8426906,25.87378,5.6986239,38.312636,0.00014737126,-10.883899,-0.3894382,3.8426906,27.947693,5.6986239,46.077911,2.8459414e-05,0.16762597,0.56930047,3.8426906,0.294442,5.6986239,0.47106178,1.0508654e-10,-7.5721353,-0.2182876,3.7462552,34.688802,5.6025862,106.99138,0.018571049,0.0014432185,0.3530711,25.87378,0.0040876144,38.312636,0.0092702942,0.00016608139,0.0016605602,0.40624189,0.294442,0.0040876144,0.47106178,0.0092702942,1.1708815e-05,0.50627883,0.1712029,27.947693,2.9571862,46.077911,27.006972,0.075080838,-471.78811,-0.46052791,3.7462552,1024.4507,5.6025862,2038.0723,1.9752312e-07,-66.066891,-0.29207683,25.87378,226.19696,38.312636,325.22888,0.0020581738,51.769537,0.22886929,27.947693,226.19696,46.077911,325.22888,0.016675636,-342.94804,-0.32863145,25.87378,1043.5643,38.312636,2074.9499,0.00048504233,336.41911,0.32237507,27.947693,1043.5643,46.077911,2074.9499,0.00062935555,-447.57214,-0.42888794,0.294442,1043.5643,0.47106178,2074.9499,3.2711243e-06,129.71263,0.12661677,34.688802,1024.4507,106.99138,2038.0723,0.17561081,-970.11037,-0.94695665,0.004041503,1024.4507,0.0094500482,2038.0723,4.9322482e-58,467.20397,0.45605317,2.8842812,1024.4507,27.051983,2038.0723,2.6796714e-07,23625.12,307050.08,1.117244,327.33981,1,7
15.81261,0.38361777,3.8870447,41.219702,5.6688679,56.224239,4.9242906e-05,-28.945357,-0.58964645,3.8870447,49.089344,5.6688679,147.36234,2.9259241e-11,0.12740313,0.64656033,3.8870447,0.19704755,5.6688679,0.28320598,7.090425e-14,-18.487294,-0.3206686,3.7449235,57.652337,5.5521552,288.21121,0.00044902544,0.0021751798,0.55308161,41.219702,0.003932837,56.224239,0.0089706141,7.8470598e-10,0.0023802845,0.60523346,0.19704755,0.003932837,0.28320598,0.0089706141,6.3287199e-12,1.0810328,0.33481388,49.089344,3.2287575,147.36234,29.250425,0.00045137788,-478.83881,-0.45234454,3.7449235,1058.571,5.5521552,2369.1696,3.4390932e-07,-120.509,-0.35997625,41.219702,334.76931,56.224239,592.67432,0.00015057644,123.64269,0.36933698,49.089344,334.76931,147.36234,592.67432,9.77297e-05,-549.99864,-0.51457336,41.219702,1068.844,56.224239,2417.8593,1.673906e-08,571.36583,0.53456429,49.089344,1068.844,147.36234,2417.8593,3.5859241e-09,-688.77861,-0.64441454,0.19704755,1068.844,0.28320598,2417.8593,9.105363e-14,273.34849,0.25822405,57.652337,1058.571,288.21121,2369.1696,0.0051313789,-999.08046,-0.94380109,0.0039258099,1058.571,0.0092117795,2369.1696,1.2157384e-56,544.57405,0.51444263,3.219744,1058.571,29.311897,2369.1696,3.4791098e-09,23029.449,309360.87,1.0941341,580.77098,1,8
