SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-8.7134005,-0.27722508,1.8153499,31.43078,28.969365,120.34711,0.030541665,-0.45722606,-0.025929388,1.8153499,17.633507,28.969365,30.115998,0.84276443,-0.068106053,-0.36371754,1.8153499,0.18724985,28.969365,0.77562096,0.0039597333,-13.676594,-0.29781049,1.8153499,45.923816,28.969365,159.61305,0.019752367,1.3312891e-05,0.01867682,31.43078,0.00071280289,120.34711,0.018000615,0.88639657,-0.00027183972,-0.38136731,0.18724985,0.00071280289,0.77562096,0.018000615,0.0024257167,0.66472736,0.59960087,17.633507,1.1086164,30.115998,27.462855,3.287063e-07,-12.184593,-0.098021461,1.8153499,124.30536,28.969365,529.9475,0.45232376,62.434424,0.30210675,31.43078,206.66345,120.34711,604.14359,0.017967004,-4.9683572,-0.024040813,17.633507,206.66345,30.115998,604.14359,0.85408655,97.580979,0.78501022,31.43078,124.30536,120.34711,529.9475,7.0015693e-14,71.571245,0.57576958,17.633507,124.30536,30.115998,529.9475,1.2060194e-06,-53.73612,-0.43229125,0.18724985,124.30536,0.77562096,529.9475,0.00050308484,85.481627,0.6876745,45.923816,124.30536,159.61305,529.9475,9.2387601e-10,-17.575476,-0.14138953,0.00071280289,124.30536,0.018000615,529.9475,0.277075,99.849239,0.8032577,1.1086164,124.30536,27.462855,529.9475,6.755762e-15,45001.537,302434.13,1.1606041,604.14359,1,daily
2.5364492,0.16627141,1.6554897,15.254873,29.3375,13.697433,0.20419171,-3.709465,-0.45246968,1.6554897,8.1982622,29.3375,-10.862722,0.00028381045,-0.10590804,-0.18390303,1.6554897,0.57589067,29.3375,0.74923077,0.15955503,1.339534,0.079291797,1.6554897,16.893727,29.3375,-25.483333,0.54702713,-0.00076893347,-0.60590599,15.254873,0.001269064,13.697433,0.018181465,2.9007795e-07,-0.00064145505,-0.50545524,0.57589067,0.001269064,0.74923077,0.018181465,3.8014271e-05,-0.17144891,-0.12389158,8.1982622,1.3838625,-10.862722,25.534692,0.34562322,-27.119858,-0.30342746,1.6554897,89.37839,29.3375,267.2549,0.018435388,18.443316,0.048960591,15.254873,376.69717,13.697433,356.12712,0.71027097,-142.95769,-0.37950294,8.1982622,376.69717,-10.862722,356.12712,0.0027849868,-6.1861802,-0.069213377,15.254873,89.37839,13.697433,267.2549,0.59925132,-27.085978,-0.3030484,8.1982622,89.37839,-10.862722,267.2549,0.018589387,-23.041653,-0.25779893,0.57589067,89.37839,0.74923077,267.2549,0.046739993,-49.771877,-0.55686701,16.893727,89.37839,-25.483333,267.2549,3.8239989e-06,0.28314184,0.0031679004,0.001269064,89.37839,0.018181465,267.2549,0.98083481,47.204033,0.52813698,1.3838625,89.37839,25.534692,267.2549,1.4451021e-05,45453.663,300417.9,1.1859329,356.12712,1,0
3.0488404,0.28915449,1.65778,10.543984,29.458333,10.466099,0.025041142,-3.954338,-0.45260787,1.65778,8.7367859,29.458333,-10.880457,0.00028244356,-0.10862363,-0.18594808,1.65778,0.58416107,29.458333,0.65664378,0.15488452,0.63665738,0.038376223,1.65778,16.589892,29.458333,-24.491667,0.77096337,-0.00054772878,-0.44548548,10.543984,0.0012295098,10.466099,0.018100794,0.00036128269,-0.00057589492,-0.46839391,0.58416107,0.0012295098,0.65664378,0.018100794,0.00016049681,-0.23148803,-0.17410207,8.7367859,1.329611,-10.880457,25.342917,0.18338446,-18.074158,-0.23130125,1.65778,78.141201,29.458333,253.37466,0.075377278,52.716388,0.13777559,10.543984,382.62503,10.466099,368.43568,0.29382309,-155.89286,-0.40742986,8.7367859,382.62503,-10.880457,368.43568,0.0012336791,2.3760466,0.030407091,10.543984,78.141201,10.466099,253.37466,0.81760153,-26.543968,-0.33969235,8.7367859,78.141201,-10.880457,253.37466,0.0079223929,-24.714878,-0.31628485,0.58416107,78.141201,0.65664378,253.37466,0.013818153,-38.484072,-0.49249399,16.589892,78.141201,-24.491667,253.37466,6.4109553e-05,2.9854962,0.038206428,0.0012295098,78.141201,0.018100794,253.37466,0.77194933,39.498836,0.50548028,1.329611,78.141201,25.342917,253.37466,3.7975133e-05,45251.985,300276.5,1.1846276,368.43568,1,1
1.9420788,0.1449421,1.6608443,13.398997,29.508333,10.337774,0.26918286,-3.1561069,-0.40767511,1.6608443,7.7417208,29.508333,-9.4758767,0.0012245042,-0.18168042,-0.31241894,1.6608443,0.58152821,29.508333,0.68095296,0.015088375,2.7698031,0.16964164,1.6608443,16.327378,29.508333,-23.825,0.19504039,-0.00068915363,-0.53469762,13.398997,0.0012888661,10.337774,0.018065227,1.0781643e-05,-0.00049510824,-0.3841425,0.58152821,0.0012888661,0.68095296,0.018065227,0.0024443447,-0.16686898,-0.13010942,7.7417208,1.282528,-9.4758767,25.212,0.32176246,-8.0521626,-0.10582548,1.6608443,76.089074,29.508333,242.74161,0.42096953,49.020541,0.12735197,13.398997,384.92173,10.337774,385.09949,0.33221175,-130.79054,-0.33978477,7.7417208,384.92173,-9.4758767,385.09949,0.0079043547,34.972692,0.4596283,13.398997,76.089074,10.337774,242.74161,0.00022041222,-34.874677,-0.45834015,7.7417208,76.089074,-9.4758767,242.74161,0.00023076538,-4.4530111,-0.058523661,0.58152821,76.089074,0.68095296,242.74161,0.65692165,-34.213292,-0.4496479,16.327378,76.089074,-23.825,242.74161,0.00031307472,-9.1303234,-0.1199952,0.0012888661,76.089074,0.018065227,242.74161,0.36112059,25.744785,0.33835062,1.282528,76.089074,25.212,242.74161,0.0081883154,45163.067,300195.07,1.1828447,385.09949,1,2
4.1091757,0.35972729,1.6923724,11.42303,29.516667,10.022665,0.0047578015,-4.8309455,-0.5513678,1.6923724,8.7617475,29.516667,-9.9475789,4.9796254e-06,-0.073497913,-0.13324823,1.6923724,0.5515864,29.516667,0.74591758,0.31012531,2.1670011,0.13058734,1.6923724,16.594267,29.516667,-24.125,0.31997292,-0.00063516887,-0.50618818,11.42303,0.0012548078,10.022665,0.018081746,3.6883796e-05,-0.00044575858,-0.35524053,0.5515864,0.0012548078,0.74591758,0.018081746,0.0053482749,-0.31345817,-0.26117816,8.7617475,1.2001699,-9.9475789,25.143,0.043836211,-3.8469448,-0.051043153,1.6923724,75.36652,29.516667,232.78161,0.69852375,22.526363,0.058073719,11.42303,387.89255,10.022665,396.16513,0.65939645,-144.4338,-0.37235519,8.7617475,387.89255,-9.9475789,396.16513,0.0033926562,28.033789,0.37196608,11.42303,75.36652,10.022665,232.78161,0.0034288763,-38.851043,-0.51549472,8.7617475,75.36652,-9.9475789,232.78161,2.4986942e-05,-12.814403,-0.17002779,0.5515864,75.36652,0.74591758,232.78161,0.19401087,-36.02901,-0.47805059,16.594267,75.36652,-24.125,232.78161,0.00011202796,-15.416163,-0.20454922,0.0012548078,75.36652,0.018081746,232.78161,0.11694465,20.630153,0.273731,1.2001699,75.36652,25.143,232.78161,0.034318288,45204.366,300158.42,1.1816462,396.16513,1,3
5.7636836,0.48205001,1.6709549,11.956609,29.566667,9.7140754,9.6224327e-05,-5.7495528,-0.65774215,1.6709549,8.7413476,29.566667,-10.10072,1.1311021e-08,-0.060188243,-0.10372982,1.6709549,0.5802405,29.566667,0.57891615,0.43027767,1.7174455,0.10850849,1.6709549,15.827752,29.566667,-23.141667,0.40922227,-0.00055201645,-0.45158466,11.956609,0.0012223986,9.7140754,0.018052598,0.00029270844,-0.00043458239,-0.35551611,0.5802405,0.0012223986,0.57891615,0.018052598,0.0053102325,-0.2815295,-0.25106468,8.7413476,1.1213425,-10.10072,25.11875,0.052997047,11.298896,0.13835669,1.6709549,81.664978,29.566667,232.97166,0.29177193,23.166314,0.059722412,11.956609,387.89984,9.7140754,398.42568,0.65034615,-167.06804,-0.43069893,8.7413476,387.89984,-10.10072,398.42568,0.00059224093,25.279971,0.30955706,11.956609,81.664978,9.7140754,232.97166,0.016092044,-39.583163,-0.48470181,8.7413476,81.664978,-10.10072,232.97166,8.6904851e-05,-5.6821993,-0.069579389,0.5802405,81.664978,0.57891615,232.97166,0.5973168,-36.267995,-0.44410707,15.827752,81.664978,-23.141667,232.97166,0.00037867839,-24.614711,-0.30141085,0.0012223986,81.664978,0.018052598,232.97166,0.019267329,19.766885,0.24204849,1.1213425,81.664978,25.11875,232.97166,0.062424137,45131.495,300141.47,1.1814139,398.42568,1,4
5.0933499,0.39541232,1.6984506,12.881111,29.603333,8.7296061,0.0017664643,-5.5470773,-0.59083244,1.6984506,9.3885794,29.603333,-10.265086,6.7069295e-07,-0.043169915,-0.077800634,1.6984506,0.5548787,29.603333,0.59376331,0.55461379,1.0483466,0.067083272,1.6984506,15.627542,29.603333,-23.016667,0.61056421,-0.0004940788,-0.42184896,12.881111,0.001171222,8.7296061,0.018023926,0.0007877646,-0.00026279036,-0.22437279,0.5548787,0.001171222,0.59376331,0.018023926,0.084802918,-0.34321944,-0.31980435,9.3885794,1.0732169,-10.265086,25.093075,0.012742817,16.775655,0.21733841,1.6984506,77.186792,29.603333,231.96546,0.095298452,61.293879,0.15907849,12.881111,385.30588,8.7296061,387.5767,0.22473073,-182.81127,-0.47445751,9.3885794,385.30588,-10.265086,387.5767,0.00012822329,36.761441,0.47626595,12.881111,77.186792,8.7296061,231.96546,0.00011982123,-41.752134,-0.54092329,9.3885794,77.186792,-10.265086,231.96546,8.1186572e-06,-14.230328,-0.18436222,0.5548787,77.186792,0.59376331,231.96546,0.15849742,-24.258495,-0.31428298,15.627542,77.186792,-23.016667,231.96546,0.014463931,-22.585302,-0.29260578,0.001171222,77.186792,0.018023926,231.96546,0.02328414,19.75649,0.25595688,1.0732169,77.186792,25.093075,231.96546,0.048388103,45059.816,300089.2,1.1827044,387.5767,1,5
4.7885348,0.40071947,1.6898668,11.949843,29.683333,8.5174978,0.0015099576,-4.5875785,-0.57684823,1.6898668,7.9528344,29.683333,-8.8081667,1.4063436e-06,0.024433293,0.043532951,1.6898668,0.56125976,29.683333,0.62917509,0.74119749,-0.4790937,-0.034655267,1.6898668,13.824556,29.683333,-14.816667,0.79265031,-0.00042015568,-0.34488635,11.949843,0.0012182439,8.5174978,0.01797706,0.0069626738,-0.00049270489,-0.40443864,0.56125976,0.0012182439,0.62917509,0.01797706,0.0013506618,-0.40395752,-0.36629358,7.9528344,1.1028245,-8.8081667,25.0445,0.0039972182,17.894138,0.20728056,1.6898668,86.328105,29.683333,230.09192,0.11203203,69.723735,0.17998129,11.949843,387.39435,8.5174978,376.49661,0.16880034,-193.90728,-0.50054236,7.9528344,387.39435,-8.8081667,376.49661,4.6458004e-05,36.052215,0.41761851,11.949843,86.328105,8.5174978,230.09192,0.00090042192,-48.251024,-0.55892602,7.9528344,86.328105,-8.8081667,230.09192,3.4598013e-06,7.788045,0.090214478,0.56125976,86.328105,0.62917509,230.09192,0.4930296,-32.412162,-0.37545318,13.824556,86.328105,-14.816667,230.09192,0.0031161701,-28.002264,-0.32437019,0.0012182439,86.328105,0.01797706,230.09192,0.011455824,23.618998,0.2735957,1.1028245,86.328105,25.0445,230.09192,0.03441086,44942.649,299980.63,1.1845439,376.49661,1,6
-4.2565868,-0.1141194,1.7016145,37.299416,29.786885,48.280782,0.3811781,-4.4891579,-0.34088208,1.7016145,13.16924,29.786885,5.5719789,0.0071810267,0.067802918,0.38546454,1.7016145,0.17589923,29.786885,0.92624657,0.0021564864,-9.5280375,-0.25263646,1.7016145,37.71442,29.786885,65.459016,0.049492336,-0.00022035554,-0.16962573,37.299416,0.0012990691,48.280782,0.018219072,0.19124479,-0.00053832157,-0.41439025,0.17589923,0.0012990691,0.92624657,0.018219072,0.00089965756,0.17027311,0.14510457,13.16924,1.1734511,5.5719789,25.656721,0.26451849,11.919034,0.1061532,1.7016145,112.28144,29.786885,278.47989,0.41551016,-46.546817,-0.11475197,37.299416,405.62978,48.280782,421.06654,0.37852668,-73.936872,-0.18227674,13.16924,405.62978,5.5719789,421.06654,0.15972864,4.9230562,0.043845682,37.299416,112.28144,48.280782,278.47989,0.73723084,-18.969225,-0.16894355,13.16924,112.28144,5.5719789,278.47989,0.19306258,14.835091,0.13212416,0.17589923,112.28144,0.92624657,278.47989,0.31009016,3.4976217,0.031150489,37.71442,112.28144,65.459016,278.47989,0.81163471,-43.185397,-0.38461742,0.0012990691,112.28144,0.018219072,278.47989,0.0022098544,39.233049,0.34941705,1.1734511,112.28144,25.656721,278.47989,0.0057772816,45547.68,300544.47,1.1804637,421.06654,1,7
-4.7649498,-0.07825433,1.7184709,60.890558,29.704918,115.87558,0.54886474,-1.4946985,-0.041773596,1.7184709,35.780939,29.704918,40.748883,0.74923206,0.039465002,0.22901322,1.7184709,0.17232631,29.704918,0.80150739,0.075844414,-17.437864,-0.1990036,1.7184709,87.625876,29.704918,195.95902,0.12416193,0.00034060221,0.25958256,60.890558,0.0013121152,115.87558,0.018349465,0.043358815,-0.00071014248,-0.54121963,0.17232631,0.0013121152,0.80150739,0.018349465,6.6812335e-06,0.90543101,0.59900041,35.780939,1.5115699,40.748883,26.908525,3.4009222e-07,-13.20337,-0.099363943,1.7184709,132.87888,29.704918,419.2417,0.4461253,-41.446507,-0.10819271,60.890558,383.0804,115.87558,547.61828,0.40655525,-34.951668,-0.091238466,35.780939,383.0804,40.748883,547.61828,0.48435595,57.885778,0.43562812,60.890558,132.87888,115.87558,419.2417,0.00044981463,60.513707,0.45540499,35.780939,132.87888,40.748883,419.2417,0.00022620697,-44.39987,-0.33413789,0.17232631,132.87888,0.80150739,419.2417,0.0084927847,65.667769,0.49419266,87.625876,132.87888,195.95902,419.2417,5.1702375e-05,-15.790297,-0.11883225,0.0013121152,132.87888,0.018349465,419.2417,0.36169151,80.721515,0.60748189,1.5115699,132.87888,26.908525,419.2417,2.0886659e-07,45873.662,301755.5,1.1683203,547.61828,1,8
