SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
3.7525427,0.50107598,0.3858815,7.4889696,2.5271007,18.279163,0.00028611102,-16.189062,-0.39729647,0.3858815,40.748063,2.5271007,135.28928,0.0051723478,0.01840393,0.24054253,0.3858815,0.076510089,2.5271007,0.15784277,0.09958299,-13.334651,-0.25125429,0.3858815,53.072332,2.5271007,170.61205,0.084959199,0.00084495663,0.3544445,19.084906,0.0023838898,35.702304,0.0073003171,0.00014522942,0.0018887133,0.79228216,0.14299507,0.0023838898,0.24604332,0.0073003171,6.4648987e-25,-0.41118812,-0.090926132,41.082696,4.5222216,114.49024,25.318039,0.34480892,154.7283,0.19269746,0.3858815,802.95973,2.5271007,2425.5453,0.18945502,-6.6120291,-0.020175492,19.084906,327.72579,35.702304,944.35695,0.83428712,-3.6056333,-0.011001982,41.082696,327.72579,114.49024,944.35695,0.9091783,-168.75325,-0.20625363,19.084906,818.1832,35.702304,2108.7701,0.03063393,246.75628,0.3015905,41.082696,818.1832,114.49024,2108.7701,0.0013653801,-382.46951,-0.46746195,0.14299507,818.1832,0.24604332,2108.7701,2.6235041e-07,119.69226,0.14629029,47.354712,818.1832,172.43242,2108.7701,0.12726032,-576.65247,-0.70479628,0.0023838898,818.1832,0.0073003171,2108.7701,8.4945188e-18,614.90418,0.75154829,4.5222216,818.1832,25.318039,2108.7701,3.112692e-21,18250.793,299882.2,1.1441536,944.35695,1,daily
2.0813278,0.26503866,0.38311983,7.8529216,2.5135417,-0.75660273,0.0686754,-0.85917507,-0.054526029,0.38311983,15.757155,2.5135417,-20.414424,0.7128109,-0.06647858,-0.33870964,0.38311983,0.19627012,2.5135417,0.15838487,0.018529279,3.7175539,0.20993378,0.38311983,17.708222,2.5135417,-78.5625,0.1521038,0.00045321856,0.17373338,8.71686,0.0026087016,2.6597814,0.0075993557,0.069501501,0.00063800439,0.24456779,0.30979694,0.0026087016,0.17153789,0.0075993557,0.010024719,-1.1163653,-0.23678962,14.200178,4.7145871,-18.956175,20.889982,0.012751737,160.3612,0.16629398,0.38311983,964.32353,2.5135417,1705.8569,0.25862961,10.659866,0.039485531,8.71686,269.96893,2.6597814,375.44186,0.68213114,-38.577963,-0.14289779,14.200178,269.96893,-18.956175,375.44186,0.13641942,109.18575,0.12301939,8.71686,887.54908,2.6597814,1467.8902,0.20041552,-337.24198,-0.37996995,14.200178,887.54908,-18.956175,1467.8902,4.2346705e-05,-177.96027,-0.20050752,0.30979694,887.54908,0.17153789,1467.8902,0.035702748,-270.8892,-0.30521039,20.896033,887.54908,-72.627273,1467.8902,0.0011859723,-611.66128,-0.68915769,0.0026087016,887.54908,0.0075993557,1467.8902,8.5703619e-17,637.36223,0.71811491,4.7145871,887.54908,20.889982,1467.8902,1.0498036e-18,18998.389,295432.73,1.1978923,375.44186,1,0
-0.16150457,-0.023762176,0.36517898,6.796708,2.4755319,-0.38029481,0.87403059,1.7899402,0.14723726,0.36517898,12.156842,2.4755319,-18.43458,0.32333732,0.00055785039,0.0029778925,0.36517898,0.1873306,2.4755319,0.14379718,0.98415051,4.3131119,0.27245995,0.36517898,15.83026,2.4755319,-77.106383,0.063908318,-6.8478021e-06,-0.0026112966,7.1343426,0.0026223762,1.446225,0.0076214396,0.97850083,0.00071778566,0.27371574,0.30946653,0.0026223762,0.18052652,0.0076214396,0.0039774671,-0.46565658,-0.10176378,11.727407,4.5758579,-17.108207,19.65867,0.2923719,64.322455,0.068063382,0.36517898,945.03759,2.4755319,1521.9267,0.64941006,33.516537,0.12545763,7.1343426,267.15423,1.446225,369.12224,0.19364971,-75.904119,-0.28412097,11.727407,267.15423,-17.108207,369.12224,0.0027528159,184.08431,0.21512396,7.1343426,855.71274,1.446225,1309.4088,0.024676021,-294.01586,-0.34359177,11.727407,855.71274,-17.108207,1309.4088,0.00025432626,-67.454217,-0.078828109,0.30946653,855.71274,0.18052652,1309.4088,0.41520374,-191.59853,-0.22390519,19.241253,855.71274,-71.399083,1309.4088,0.019258629,-578.96167,-0.67658414,0.0026223762,855.71274,0.0076214396,1309.4088,6.7654704e-16,588.8876,0.68818375,4.5758579,855.71274,19.65867,1309.4088,1.3637777e-16,19053.599,294216.78,1.2006718,369.12224,1,1
0.87887305,0.15254458,0.36140081,5.7614177,2.443617,-0.72328506,0.30600605,-0.53883061,-0.042976046,0.36140081,12.537929,2.443617,-17.712551,0.77424418,0.032517926,0.11718452,0.36140081,0.27749336,2.443617,0.19719122,0.43277498,5.9328836,0.38120374,0.36140081,15.56355,2.443617,-74.56383,0.0082010915,7.0327752e-05,0.026441054,6.5505884,0.0026597939,1.3965502,0.0076138159,0.78491637,0.0007722358,0.29033671,0.32048316,0.0026597939,0.1907838,0.0076138159,0.0021948859,-0.93232859,-0.2004379,12.512402,4.6514585,-16.814367,18.638716,0.036638961,63.72106,0.067547584,0.36140081,943.3507,2.443617,1377.0889,0.65189655,15.147942,0.057171904,6.5505884,264.9543,1.3965502,360.79421,0.5548595,-65.698155,-0.24796033,12.512402,264.9543,-16.814367,360.79421,0.0093313845,217.98754,0.25873371,6.5505884,842.51697,1.3965502,1186.1411,0.0065968812,-357.93553,-0.42484073,12.512402,842.51697,-16.814367,1186.1411,4.1365188e-06,-149.15743,-0.17703789,0.32048316,842.51697,0.1907838,1186.1411,0.065534256,-194.54761,-0.23091239,18.604569,842.51697,-69.105505,1186.1411,0.015703032,-548.73765,-0.65130753,0.0026597939,842.51697,0.0076138159,1186.1411,1.7444896e-14,564.21614,0.66967925,4.6514585,842.51697,18.638716,1186.1411,1.6964131e-15,19034.54,293205.83,1.2032995,360.79421,1,2
1.4543524,0.34921967,0.36872408,4.1645776,2.4223404,-1.7517029,0.016130486,-0.26812709,-0.019769133,0.36872408,13.562916,2.4223404,-15.943109,0.89506842,-0.0015877703,-0.0074624299,0.36872408,0.21276854,2.4223404,0.15728134,0.96029541,5.6880086,0.37695326,0.36872408,15.089427,2.4223404,-71.691489,0.0090066929,0.00024321293,0.091824036,5.1564732,0.0026486848,0.7071648,0.0076388112,0.3423019,0.0008107904,0.30611057,0.27820346,0.0026486848,0.1497346,0.0076388112,0.0012074281,-1.3831857,-0.29539358,14.227091,4.682518,-16.847793,17.851972,0.0018187269,94.293618,0.103734,0.36872408,908.99431,2.4223404,1234.6005,0.48775117,6.4604381,0.024073072,5.1564732,268.36784,0.7071648,355.56977,0.80377178,-76.165114,-0.28380865,14.227091,268.36784,-16.847793,355.56977,0.002783955,119.05903,0.14627276,5.1564732,813.95216,0.7071648,1080.2548,0.12908956,-355.65474,-0.43694796,14.227091,813.95216,-16.847793,1080.2548,2.0310949e-06,-125.48867,-0.15417205,0.27820346,813.95216,0.1497346,1080.2548,0.10945845,-163.76078,-0.20119215,17.941543,813.95216,-66.922018,1080.2548,0.035923456,-509.11618,-0.62548661,0.0026486848,813.95216,0.0076388112,1080.2548,3.5656097e-13,527.95542,0.648632,4.682518,813.95216,17.851972,1080.2548,2.4171658e-14,19097.028,292404.75,1.2055589,355.56977,1,3
1.7447995,0.32355685,0.36594131,5.3925593,2.4,-1.0107,0.026519634,-0.0016503003,-0.00010895945,0.36594131,15.146004,2.4,-14.813238,0.99942004,-0.033604685,-0.20935128,0.36594131,0.16051818,2.4,0.14899443,0.15786233,3.8064431,0.27695019,0.36594131,13.744143,2.4,-69.106383,0.059484307,0.00011976612,0.045958094,6.4832467,0.0026059854,0.304528,0.0076579718,0.63511793,0.00097960786,0.37590689,0.28550991,0.0026059854,0.17394479,0.0076579718,5.6228041e-05,-0.92803699,-0.20045337,13.996543,4.62969,-15.181209,17.174862,0.036624166,126.10247,0.14830915,0.36594131,850.26766,2.4,1118.6814,0.31978818,19.588834,0.071747874,6.4832467,273.0232,0.304528,355.73683,0.45845694,-75.510997,-0.27657355,13.996543,273.0232,-15.181209,355.73683,0.0036000323,-0.10542613,-0.00013868223,6.4832467,760.19931,0.304528,985.88258,0.99885807,-320.72151,-0.42189135,13.996543,760.19931,-15.181209,985.88258,4.8988845e-06,-163.34231,-0.21486775,0.28550991,760.19931,0.17394479,985.88258,0.024851881,-113.57437,-0.14940078,17.443573,760.19931,-64.93578,985.88258,0.12101601,-451.24455,-0.59358717,0.0026059854,760.19931,0.0076579718,985.88258,1.0293634e-11,471.84139,0.62068117,4.62969,760.19931,17.174862,985.88258,6.0642428e-13,19144.929,291694.71,1.2074413,355.73683,1,4
1.6746199,0.20901632,0.36498296,8.0119099,2.3891304,1.1086957,0.16330045,-0.33455451,-0.025656911,0.36498296,13.039547,2.3891304,-11.334601,0.86559808,0.085271368,0.2964465,0.36498296,0.28764505,2.3891304,0.18506775,0.0454481,6.6291182,0.50583735,0.36122799,13.105237,2.387234,-46.287234,0.00028659104,-4.7287567e-05,-0.018498174,7.877673,0.002556337,2.8392522,0.0077474879,0.84929503,0.00077624706,0.303656,0.31781171,0.002556337,0.18421797,0.0077474879,0.0013994996,-1.2054282,-0.26720056,13.483641,4.5113237,-12.375637,16.809167,0.0051813691,122.3694,0.15163539,0.36122799,806.99763,2.387234,1035.3674,0.30893198,34.24562,0.12513102,7.877673,273.67811,2.8392522,348.35559,0.19693052,-32.679086,-0.11940701,13.483641,273.67811,-12.375637,348.35559,0.21836632,215.43476,0.29842498,7.877673,721.90592,2.8392522,913.04729,0.0017066148,-334.0272,-0.46270184,13.483641,721.90592,-12.375637,913.04729,4.612502e-07,-143.02863,-0.19812641,0.31781171,721.90592,0.18421797,913.04729,0.039835141,-52.835081,-0.073186544,15.951863,721.92344,-41.100917,919.71828,0.44947181,-408.67717,-0.5660949,0.0025462856,721.92344,0.0077566849,919.71828,1.4081574e-10,436.61346,0.60479192,4.5582449,721.92344,16.88422,919.71828,3.2964943e-12,19391.712,291355.9,1.2091962,350.37601,1,5
7.2587074,0.46929283,0.35701636,15.467331,2.3595745,17.419351,0.00087581702,2.1912345,0.087682596,0.35701636,24.990529,2.3595745,34.619756,0.55783155,0.088501922,0.36444596,0.35701636,0.24283963,2.3595745,0.31188033,0.01178502,10.835804,0.45216804,0.35701636,23.964107,2.3595745,61.93617,0.0014187499,1.5721653e-05,0.006099853,17.895528,0.0025773822,23.906193,0.0080683698,0.94980576,0.0005499112,0.21336036,0.34478128,0.0025773822,0.49464349,0.0080683698,0.025908352,-1.3521593,-0.31901181,25.789323,4.2385871,25.309912,19.005367,0.00072229456,198.31933,0.24060821,0.35701636,824.24176,2.3595745,1259.7504,0.10328295,39.013928,0.13399311,17.895528,291.16367,23.906193,412.00629,0.16481032,42.943289,0.14748848,25.789323,291.16367,25.309912,412.00629,0.12590407,282.37407,0.38050907,17.895528,742.0955,23.906193,1106.4332,4.4753494e-05,-188.6958,-0.25427428,25.789323,742.0955,25.309912,1106.4332,0.0076281717,164.44351,0.22159346,0.34478128,742.0955,0.49464349,1106.4332,0.020574689,130.34257,0.17564124,24.315195,742.0955,64.62844,1106.4332,0.067724343,-466.76939,-0.62898831,0.0025773822,742.0955,0.0080683698,1106.4332,2.4073985e-13,469.39744,0.63252969,4.2385871,742.0955,19.005367,1106.4332,1.6100009e-13,20170.925,293433.88,1.2003106,412.00629,1,6
4.9639352,0.31154748,0.35932875,15.933158,2.3336957,33.55163,0.03506248,-4.7209079,-0.096282221,0.36185167,49.031979,2.343617,118.40651,0.51970403,0.060018505,0.31558645,0.35932875,0.19018087,2.3336957,0.25310396,0.032643827,0.29735149,0.005689606,0.36185167,52.262228,2.343617,200.41489,0.96972283,-1.6922271e-05,-0.0065155165,25.14021,0.0025972263,47.770716,0.0080076714,0.94664218,0.00052828135,0.20340212,0.23728041,0.0025972263,0.36107505,0.0080076714,0.034742694,-1.6298856,-0.35561635,49.943728,4.5832696,100.05299,22.050046,0.0001477843,213.93192,0.22575173,0.36185167,947.64246,2.343617,1726.8347,0.12706636,-51.858854,-0.16609398,25.14021,312.22596,47.770716,496.25578,0.085802343,11.769293,0.037678153,49.943728,312.36385,100.05299,493.24394,0.697295,273.3573,0.31923156,25.14021,856.29787,47.770716,1493.3797,0.00075849887,-93.252101,-0.10927453,49.943728,853.37455,100.05299,1497.4337,0.25801397,216.54175,0.25288134,0.23728041,856.29787,0.36107505,1493.3797,0.0082782964,144.15723,0.16892609,52.704544,853.37455,209.1422,1497.4337,0.079096953,-579.37145,-0.67891813,0.0025959811,853.37455,0.0080303362,1497.4337,4.9305648e-16,620.67268,0.72731567,4.5832696,853.37455,22.050046,1497.4337,3.3747185e-19,20075.84,296456.18,1.1878529,493.24394,1,7
4.1072215,0.21644113,0.36368133,18.97616,2.3457447,44.645886,0.14394019,-16.236688,-0.24068527,0.36368133,67.460247,2.3457447,213.85461,0.1031692,0.037636244,0.35705599,0.36368133,0.10540712,2.3457447,0.1870214,0.013749173,1.4339057,0.020255043,0.36368133,70.792529,2.3457447,359.69149,0.89250423,0.00041604463,0.15955015,34.075627,0.0026076104,66.087171,0.007883617,0.09748264,0.0011831679,0.45373646,0.17078037,0.0026076104,0.29336924,0.007883617,7.2312297e-07,-1.1438,-0.22161039,71.670603,5.1613106,179.82866,24.366927,0.020564776,202.45264,0.19982881,0.36368133,1013.1304,2.3457447,2115.6746,0.17807821,11.647185,0.036582635,34.075627,318.38015,66.087171,650.46654,0.70568533,8.7062395,0.027345421,71.670603,318.38015,179.82866,650.46654,0.77774726,41.753332,0.044470752,34.075627,938.89422,66.087171,1823.3513,0.64611723,55.348542,0.058950775,71.670603,938.89422,179.82866,1823.3513,0.54259175,-84.191672,-0.089671094,0.17078037,938.89422,0.29336924,1823.3513,0.35378624,181.36315,0.19316676,92.330213,938.89422,352.3211,1823.3513,0.044170863,-642.44519,-0.68425727,0.0026076104,938.89422,0.007883617,1823.3513,2.3647464e-16,734.39417,0.78219054,5.1613106,938.89422,24.366927,1823.3513,1.0082773e-23,19709.043,298774.81,1.170663,650.46654,1,8
