SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-5.1878778,-0.24176858,2.7349284,21.458031,7.9631985,99.628987,0.0014917961,-12.264578,-0.66189514,2.7349284,18.529488,7.9631985,38.473878,8.622932e-23,0.078691323,0.44420536,2.7349284,0.17715077,7.9631985,0.70447539,1.2967401e-09,-19.738862,-0.4525558,2.6903026,43.616417,8.2457805,165.23213,2.4468227e-11,-0.00013541032,-0.10172071,21.458031,0.0013311972,99.628987,0.01723857,0.18686276,-1.0792807e-05,-0.0081075943,0.17715077,0.0013311972,0.70447539,0.01723857,0.91642985,0.94724085,0.60961432,18.529488,1.5538363,38.473878,27.862236,1.1206886e-18,-183.67682,-0.63087176,2.6903026,291.14763,8.2457805,653.70518,2.909824e-23,46.773157,0.27581848,21.458031,169.57949,99.628987,692.22107,0.00027202724,32.137117,0.18951063,18.529488,169.57949,38.473878,692.22107,0.013317726,114.70051,0.38101419,21.458031,301.03999,99.628987,677.27488,2.9620146e-07,198.59198,0.65968637,18.529488,301.03999,38.473878,677.27488,1.3368944e-22,-105.24713,-0.3496118,0.17715077,301.03999,0.70447539,677.27488,2.9672949e-06,171.31674,0.5884188,43.616417,291.14763,165.23213,653.70518,9.6853379e-20,-210.59555,-0.7233291,0.0012563566,291.14763,0.017246969,653.70518,3.407103e-33,233.30473,0.80132794,1.5580823,291.14763,27.690311,653.70518,2.1876087e-45,43117.422,302732.89,1.1529188,683.6049,1,daily
2.8240571,0.099953309,2.9365111,28.253763,8.1417647,13.284301,0.19467704,0.9406544,0.12975271,2.9365111,7.2495937,8.1417647,-9.6385344,0.091714304,0.10719694,0.18594724,2.9365111,0.57649114,8.1417647,0.69750543,0.015191556,9.0039752,0.60722754,2.8809318,14.828009,8.3905128,-30.335897,4.9270694e-21,-0.000201309,-0.16134159,28.253763,0.0012477192,13.284301,0.017407534,0.035561391,-0.00018849709,-0.15107333,0.57649114,0.0012477192,0.69750543,0.017407534,0.049238082,-0.40020294,-0.28727182,7.2495937,1.3931159,-9.6385344,25.512212,0.00014568615,-110.8004,-0.57109372,2.8809318,194.01439,8.3905128,343.1608,2.8436681e-18,19.354018,0.073423186,28.253763,263.59545,13.284301,370.33494,0.34132868,-76.522815,-0.29030401,7.2495937,263.59545,-9.6385344,370.33494,0.0001229293,-7.4491381,-0.037216347,28.253763,200.15769,13.284301,355.29795,0.62992764,-53.933284,-0.26945397,7.2495937,200.15769,-9.6385344,355.29795,0.00038045856,-27.156085,-0.13567345,0.57649114,200.15769,0.69750543,355.29795,0.077718492,-106.31446,-0.54797202,14.828009,194.01439,-30.335897,343.1608,1.123022e-16,-95.01422,-0.4897277,0.0011929453,194.01439,0.017397673,343.1608,3.7115562e-13,132.20709,0.68142929,1.3820467,194.01439,25.407262,343.1608,5.7543391e-28,43494.184,300364.46,1.1834464,372.31135,1,0
1.1242736,0.047427956,2.8721011,23.704872,8.0861765,11.558264,0.53910415,0.59863565,0.094763722,2.8721011,6.3171395,8.0861765,-8.8931923,0.2189893,0.097972382,0.17075559,2.8721011,0.57375798,8.0861765,0.58792707,0.025992003,8.5713517,0.57039434,2.8171472,15.027063,8.3325641,-29.802564,3.1916608e-18,-0.00015124051,-0.12191507,23.704872,0.0012405399,11.558264,0.017446185,0.11324746,-0.00020427464,-0.16466592,0.57375798,0.0012405399,0.58792707,0.017446185,0.031888106,-0.42250792,-0.32812733,6.3171395,1.287634,-8.8931923,25.271641,1.2524391e-05,-92.735983,-0.54222816,2.8171472,171.0276,8.3325641,310.17812,2.6804079e-16,18.792692,0.071598205,23.704872,262.47435,11.558264,372.21673,0.3534956,-85.189078,-0.32456154,6.3171395,262.47435,-8.8931923,372.21673,1.5743366e-05,13.39122,0.075714561,23.704872,176.86453,11.558264,321.84241,0.32643346,-47.72978,-0.26986632,6.3171395,176.86453,-8.8931923,321.84241,0.00037237025,-11.788796,-0.066654382,0.57375798,176.86453,0.58792707,321.84241,0.38779897,-82.478025,-0.48224978,15.027063,171.0276,-29.802564,310.17812,9.4359293e-13,-81.184703,-0.47468772,0.0011800076,171.0276,0.017442722,310.17812,2.3696931e-12,106.27861,0.62141204,1.2732996,171.0276,25.176841,310.17812,3.2326285e-22,43606.804,300185.85,1.1830036,374.49147,1,1
2.1861511,0.17711764,2.8453063,12.342933,8.0488235,8.5831914,0.020855388,-0.85979773,-0.13330787,2.8453063,6.4497148,8.0488235,-7.8739238,0.083088249,0.081524409,0.14425741,2.8453063,0.56513154,8.0488235,0.61341246,0.060540232,8.5354084,0.58551303,2.7940194,14.577658,8.2961538,-29.725641,2.4721776e-19,-0.00010610011,-0.083051122,12.342933,0.0012775278,8.5831914,0.017454186,0.28160259,-0.0003493954,-0.27349338,0.56513154,0.0012775278,0.61341246,0.017454186,0.00030778581,-0.35495342,-0.29953124,6.4497148,1.1850297,-7.8739238,25.051726,7.2450296e-05,-76.854629,-0.49726054,2.7940194,154.55606,8.2961538,284.39655,1.4166825e-13,38.34397,0.14571783,12.342933,263.13849,8.5831914,376.92495,0.057954286,-75.356027,-0.28637402,6.4497148,263.13849,-7.8739238,376.92495,0.0001531439,5.7817263,0.036055379,12.342933,160.35683,8.5831914,294.68393,0.64065152,-9.9737006,-0.062196918,6.4497148,160.35683,-7.8739238,294.68393,0.42038934,4.421736,0.027574354,0.56513154,160.35683,0.61341246,294.68393,0.72113603,-66.859704,-0.43259194,14.577658,154.55606,-29.725641,284.39655,2.6919452e-10,-78.17864,-0.50582709,0.0012176845,154.55606,0.017448367,284.39655,4.6021139e-14,78.80132,0.50985591,1.1679775,154.55606,24.965505,284.39655,2.6825301e-14,43620.917,300015.03,1.1824807,379.08059,1,2
2.0830408,0.18621343,2.8215945,11.186308,8.0264706,7.6928801,0.015044028,-0.97801533,-0.16316121,2.8215945,5.9941657,8.0264706,-7.1467484,0.033508776,0.1224734,0.21393657,2.8215945,0.57247529,8.0264706,0.55807054,0.0050894065,8.0959424,0.57986767,2.758392,13.961707,8.2479381,-29.414948,8.0303831e-19,-0.0002057796,-0.15704242,11.186308,0.001310344,7.6928801,0.017489663,0.04083676,-0.00023862484,-0.18210854,0.57247529,0.001310344,0.55807054,0.017489663,0.017463731,-0.41880667,-0.36659673,5.9941657,1.1424179,-7.1467484,24.84885,8.7951997e-07,-63.358866,-0.484195,2.758392,130.85403,8.2479381,256.88481,8.5000327e-13,23.738761,0.088662079,11.186308,267.74424,7.6928801,379.67934,0.2502473,-103.80683,-0.38770891,5.9941657,267.74424,-7.1467484,379.67934,1.7548984e-07,12.073011,0.089388713,11.186308,135.06192,7.6928801,265.8688,0.2463708,-17.957785,-0.13295965,5.9941657,135.06192,-7.1467484,265.8688,0.083903266,-6.7721324,-0.050140945,0.57247529,135.06192,0.55807054,265.8688,0.51611659,-60.698842,-0.46386681,13.961707,130.85403,-29.414948,256.88481,9.6347951e-12,-62.924212,-0.48087332,0.0012524699,130.85403,0.017482624,256.88481,1.2779183e-12,50.712967,0.38755373,1.1244298,130.85403,24.77242,256.88481,2.3661376e-08,43706.561,299840.32,1.1828233,376.26648,1,3
2.5481386,0.29909585,2.8176926,8.5194717,8.0144118,5.7170856,7.431053e-05,-0.9185814,-0.18556744,2.8176926,4.9501216,8.0144118,-6.1958701,0.015404236,0.055127307,0.099831668,2.8176926,0.55220261,8.0144118,0.51590463,0.19522346,7.5818231,0.51244324,2.7488486,14.79544,8.2304124,-29.909794,2.2060319e-14,-8.0923458e-05,-0.062680436,8.5194717,0.0012910481,5.7170856,0.017497272,0.41677893,-0.00024725627,-0.19151592,0.55220261,0.0012910481,0.51590463,0.017497272,0.012354917,-0.41835089,-0.36982236,4.9501216,1.1312212,-6.1958701,24.690812,6.92586e-07,-52.519947,-0.46194099,2.7488486,113.69406,8.2304124,237.03288,1.2027554e-11,44.053676,0.16092817,8.5194717,273.74746,5.7170856,378.77187,0.036042295,-110.12247,-0.40227762,4.9501216,273.74746,-6.1958701,378.77187,5.3922483e-08,4.4512597,0.038308719,8.5194717,116.19443,5.7170856,244.99488,0.61990743,-25.780266,-0.22187179,4.9501216,116.19443,-6.1958701,244.99488,0.003639311,-11.560511,-0.099492821,0.55220261,116.19443,0.51590463,244.99488,0.19675148,-48.910712,-0.43019584,14.79544,113.69406,-29.909794,237.03288,3.8399725e-10,-49.256999,-0.43324162,0.0012298381,113.69406,0.017491695,237.03288,2.796765e-10,36.985343,0.32530585,1.1082114,113.69406,24.623933,237.03288,3.6883459e-06,43729.238,299688.41,1.1832619,375.24831,1,4
3.240557,0.18140243,2.7809456,17.863912,7.9852941,6.4482454,0.017912391,-0.48432549,-0.093880314,2.7809456,5.1589675,7.9852941,-6.2037459,0.22333424,0.12994896,0.23768763,2.7809456,0.54672157,7.9852941,0.57128126,0.0018020403,8.0299852,0.54356422,2.7127194,14.772836,8.1992268,-29.082474,2.6188399e-16,-2.7144804e-05,-0.020621882,17.863912,0.0013163106,6.4482454,0.017519621,0.78952992,-0.00022379565,-0.17001735,0.54672157,0.0013163106,0.57128126,0.017519621,0.026652963,-0.37673281,-0.32901628,5.1589675,1.1450278,-6.2037459,24.571718,1.1824874e-05,-43.546046,-0.43463055,2.7127194,100.19095,8.1992268,219.85193,2.4177969e-10,49.838111,0.17920538,17.863912,278.10611,6.4482454,372.56202,0.019372997,-109.30427,-0.39303081,5.1589675,278.10611,-6.2037459,372.56202,1.1478792e-07,5.5450085,0.054778895,17.863912,101.22527,6.4482454,226.79152,0.4780187,-17.181276,-0.16973307,5.1589675,101.22527,-6.2037459,226.79152,0.026911298,-11.939582,-0.1179506,0.54672157,101.22527,0.57128126,226.79152,0.12554867,-38.424737,-0.38351506,14.772836,100.19095,-29.082474,219.85193,3.3947953e-08,-40.966541,-0.40888466,0.001262605,100.19095,0.017504248,219.85193,3.2372811e-09,23.586576,0.23541624,1.1191046,100.19095,24.50318,219.85193,0.00095198986,43760.619,299531.12,1.1845774,368.41181,1,5
2.4976607,0.28434797,2.7469518,8.7838176,7.9346154,5.9819787,0.000179155,-0.999751,-0.21725041,2.7469518,4.601837,7.9346154,-5.5524338,0.0045502207,0.097775935,0.17598459,2.7469518,0.55559373,7.9346154,0.62575372,0.022096057,6.2900878,0.50740839,2.7337404,12.396499,8.1753886,-20.562176,5.0442246e-14,1.8231787e-05,0.013658044,8.7838176,0.0013348754,5.9819787,0.017536354,0.86010145,-0.00031405275,-0.23526746,0.55559373,0.0013348754,0.62575372,0.017536354,0.0020761565,-0.41943582,-0.35394897,4.601837,1.1850178,-5.5524338,24.51105,2.3477995e-06,-41.325693,-0.46626259,2.7337404,88.6318,8.1753886,209.98816,8.2695063e-12,90.204971,0.31822596,8.7838176,283.46201,5.9819787,358.45503,2.4826546e-05,-107.63044,-0.37969969,4.601837,283.46201,-5.5524338,358.45503,3.5534852e-07,10.481565,0.11873867,8.7838176,88.274235,5.9819787,215.95615,0.12414861,-18.298186,-0.20728796,4.601837,88.274235,-5.5524338,215.95615,0.0068473267,-7.7095382,-0.087336222,0.55559373,88.274235,0.62575372,215.95615,0.25885421,-35.976768,-0.40591264,12.396499,88.6318,-20.562176,209.98816,4.7249946e-09,-31.794226,-0.35872256,0.0012893551,88.6318,0.017514167,209.98816,3.0121569e-07,17.73513,0.20009895,1.1597729,88.6318,24.443303,209.98816,0.0052695121,43785.417,299412.75,1.1866394,354.78408,1,6
2.9277885,0.093343346,2.7758398,31.365798,7.9316568,34.618658,0.22739563,-3.0707505,-0.2553772,2.7758398,12.024372,7.9316568,5.3744594,0.00080518796,0.086798391,0.35117252,2.7758398,0.24716738,7.9316568,0.86192316,2.8502272e-06,-5.3025345,-0.19090295,2.7599258,27.776075,8.1756477,56.448187,0.0078283875,-0.00010211271,-0.077178976,31.365798,0.0013230638,34.618658,0.017817241,0.31858553,-0.00022888863,-0.17299893,0.24716738,0.0013230638,0.86192316,0.017817241,0.024494563,0.39905497,0.29763035,12.024372,1.3407738,5.3744594,25.224914,8.4975313e-05,-62.797959,-0.55191011,2.7599258,113.78295,8.1756477,263.6138,8.8535942e-17,5.7232157,0.019882544,31.365798,287.85127,34.618658,374.52214,0.79750292,-59.495226,-0.20668738,12.024372,287.85127,5.3744594,374.52214,0.0070141685,9.6879475,0.086690414,31.365798,111.75339,34.618658,271.17563,0.26240598,20.295316,0.18160806,12.024372,111.75339,5.3744594,271.17563,0.018124356,-33.395512,-0.29883221,0.24716738,111.75339,0.86192316,271.17563,7.9285172e-05,30.383903,0.26703389,27.776075,113.78295,56.448187,263.6138,0.0001739969,-27.297708,-0.23991036,0.0012856245,113.78295,0.017783075,263.6138,0.00077800267,52.510681,0.46149868,1.3235836,113.78295,25.13306,263.6138,1.4299359e-11,44457.687,300051.82,1.184683,370.8799,1,7
-6.1521022,-0.14521031,2.7973995,42.366841,7.9461765,93.492961,0.058842428,-14.564227,-0.47929713,2.7973995,30.386636,7.9461765,42.347521,3.7849713e-11,0.093648597,0.53732696,2.7973995,0.17428606,7.9461765,0.71898122,4.2044999e-14,-28.343874,-0.37035713,2.7547739,76.531195,8.1780928,189.60567,1.0643796e-07,6.9648102e-05,0.051927422,42.366841,0.0013412586,93.492961,0.01794181,0.50125944,-0.00022850924,-0.17036926,0.17428606,0.0013412586,0.71898122,0.01794181,0.026336119,0.77746732,0.50695337,30.386636,1.5336072,42.347521,26.626676,1.7359946e-12,-100.7343,-0.58323241,2.7547739,172.71726,8.1780928,421.98845,4.5263586e-19,-24.796446,-0.093770895,42.366841,264.43649,93.492961,500.36537,0.22387663,-23.762747,-0.089861829,30.386636,264.43649,42.347521,500.36537,0.24386932,46.006584,0.26930501,42.366841,170.83449,93.492961,431.4123,0.00038342017,78.925275,0.46199848,30.386636,170.83449,42.347521,431.4123,2.271941e-10,-68.820746,-0.40285042,0.17428606,170.83449,0.71898122,431.4123,5.1417753e-08,87.042977,0.50396223,76.531195,172.71726,189.60567,421.98845,6.8413328e-14,-50.845886,-0.29438798,0.0013094217,172.71726,0.017903147,421.98845,3.0923198e-05,113.9115,0.65952583,1.5505479,172.71726,26.515696,421.98845,1.3682841e-25,44757.866,301409.63,1.1720067,497.52859,1,8
