SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
9.6667125,0.3259328,4.3433075,29.658606,10.310444,90.082679,0.00082887332,-9.2855252,-0.38491903,4.3433075,24.12332,10.310444,38.493612,6.4795607e-05,0.096387604,0.47192775,4.3433075,0.20424229,10.310444,0.81130807,5.5231649e-07,-8.447318,-0.20203631,4.3191275,41.81089,10.056372,170.81275,0.035136616,-0.00033962175,-0.12734378,29.658606,0.0026669678,90.082679,0.016881243,0.20214716,0.00078034456,0.29259617,0.20424229,0.0026669678,0.81130807,0.016881243,0.002842692,1.0155528,0.56488781,24.12332,1.7977956,38.493612,29.745448,6.2295051e-10,-285.65587,-0.56560146,4.3191275,505.04796,10.056372,989.64824,1.4726364e-10,-97.883717,-0.37855334,29.658606,258.57312,90.082679,823.71289,8.7407743e-05,125.07141,0.48369844,24.12332,258.57312,38.493612,823.71289,2.604644e-07,57.830254,0.11198546,29.658606,516.4086,90.082679,1005.7699,0.26246343,211.30399,0.40917984,24.12332,516.4086,38.493612,1005.7699,1.9540264e-05,-236.09993,-0.45719598,0.20424229,516.4086,0.81130807,1005.7699,1.3612699e-06,212.7167,0.42118119,41.81089,505.04796,170.81275,989.64824,5.1013218e-06,-461.98279,-0.91473054,0.0025973895,505.04796,0.01694802,989.64824,6.5219773e-44,366.32121,0.72531964,1.76859,505.04796,29.6941,989.64824,4.6987619e-19,42370.05,305684.58,1.1263882,824.14612,1,daily
5.0837962,0.21840272,4.7324822,23.277165,10.640196,19.858423,0.027435184,-0.20251074,-0.028670791,4.7324822,7.063312,10.640196,-9.2314544,0.77483914,0.20193055,0.38126164,4.7324822,0.52963772,10.640196,0.84559139,7.7013342e-05,6.436183,0.4744281,4.7041551,13.566193,10.369725,-45.009174,1.8726448e-07,0.00035261355,0.13173517,23.277165,0.002676685,19.858423,0.017502209,0.18689424,0.0005568284,0.20802911,0.52963772,0.002676685,0.84559139,0.017502209,0.035895516,-0.49140733,-0.25708342,7.063312,1.9114703,-9.2314544,27.34402,0.0090963335,-241.95693,-0.53892362,4.7041551,448.9633,10.369725,606.85269,1.4907955e-09,12.673389,0.056938857,23.277165,222.57892,19.858423,361.88132,0.56974408,-85.78395,-0.38540913,7.063312,222.57892,-9.2314544,361.88132,6.3303126e-05,-99.615794,-0.21664394,23.277165,459.81343,19.858423,616.65215,0.02873707,-111.89473,-0.24334812,7.063312,459.81343,-9.2314544,616.65215,0.013717618,-180.70629,-0.39299916,0.52963772,459.81343,0.84559139,616.65215,4.3917344e-05,-254.16219,-0.56610904,13.566193,448.9633,-45.009174,606.85269,1.4063492e-10,-381.46004,-0.84964636,0.0025982596,448.9633,0.017554598,606.85269,1.6607913e-31,275.95477,0.61464884,1.8765882,448.9633,27.32422,606.85269,1.1662205e-12,43886.496,303225.25,1.1664274,377.93812,1,0
3.4967408,0.19059491,4.6332758,18.346454,10.644554,13.50869,0.056242356,0.061421339,0.0085988136,4.6332758,7.1430016,10.644554,-8.787921,0.93198877,0.18497325,0.33789193,4.6332758,0.54743318,10.644554,0.80286662,0.00054881092,5.6601609,0.43967889,4.6181828,12.873397,10.322018,-45.013761,1.7234232e-06,3.3170483e-05,0.012483164,18.346454,0.0026572175,13.50869,0.017507201,0.90139643,0.00042028,0.15816545,0.54743318,0.0026572175,0.80286662,0.017507201,0.11417134,-0.47254019,-0.26173146,7.1430016,1.805439,-8.787921,26.935842,0.0081960628,-218.03043,-0.52734426,4.6181828,413.44989,10.322018,552.14742,3.8293048e-09,18.573174,0.088146113,18.346454,210.70894,13.50869,368.75654,0.38073721,-65.458396,-0.31065789,7.1430016,210.70894,-8.787921,368.75654,0.0015678152,-57.912094,-0.13699954,18.346454,422.71744,13.50869,564.98737,0.17189456,-101.63909,-0.24044215,7.1430016,422.71744,-8.787921,564.98737,0.0154362,-131.48439,-0.31104557,0.54743318,422.71744,0.80286662,564.98737,0.0015456,-226.83885,-0.54864897,12.873397,413.44989,-45.013761,552.14742,6.5634724e-10,-348.28601,-0.84238989,0.0025678753,413.44989,0.017564136,552.14742,1.6895264e-30,228.98485,0.55383942,1.7804678,413.44989,26.896743,552.14742,4.1905306e-10,43910.34,302843.22,1.1660684,384.19789,1,1
2.8872144,0.24367468,4.5694307,11.848643,10.615842,12.599057,0.014066832,-0.97035918,-0.15789394,4.5694307,6.1456393,10.615842,-7.5637964,0.11480194,0.19200006,0.36516292,4.5694307,0.52579286,10.615842,0.85109786,0.00017355811,5.8302886,0.49034209,4.5570079,11.890247,10.295413,-43.866972,6.2251466e-08,0.00011958594,0.045841167,11.848643,0.0026087019,12.599057,0.017686187,0.64896319,0.00065408545,0.25073216,0.52579286,0.0026087019,0.85109786,0.017686187,0.01143888,-0.60586592,-0.36535545,6.1456393,1.6582917,-7.5637964,26.544604,0.00017208911,-194.98989,-0.51613547,4.5570079,377.78821,10.295413,485.29318,9.232345e-09,6.61526,0.033511366,11.848643,197.40347,12.599057,368.77273,0.73937097,-57.978373,-0.29370493,6.1456393,197.40347,-7.5637964,368.77273,0.0028731216,-30.890309,-0.079849584,11.848643,386.85623,12.599057,495.07741,0.42733617,-82.927611,-0.21436287,6.1456393,386.85623,-7.5637964,495.07741,0.031350589,-169.50587,-0.43816245,0.52579286,386.85623,0.85109786,495.07741,4.5927638e-06,-230.03779,-0.60890676,11.890247,377.78821,-43.866972,485.29318,2.1456526e-12,-317.31438,-0.83992665,0.0025166241,377.78821,0.017724454,485.29318,3.6160885e-30,172.41534,0.45638095,1.6416686,377.78821,26.512156,485.29318,6.1144143e-07,44311.134,302487.5,1.1664567,383.03566,1,2
3.5393026,0.23034895,4.5139086,15.364961,10.578218,11.8423,0.020480872,-0.64631415,-0.10653,4.5139086,6.0669688,10.578218,-6.2652856,0.28900466,0.1654029,0.31935148,4.5139086,0.51793373,10.578218,0.8521958,0.0011332296,6.3667346,0.50063864,4.5029881,12.717226,10.26055,-42.793578,2.9612792e-08,0.00037280362,0.14905867,15.364961,0.0025010529,11.8423,0.017783163,0.13683019,0.00022333471,0.089296274,0.51793373,0.0025010529,0.8521958,0.017783163,0.37452903,-0.41454297,-0.26765531,6.0669688,1.5487941,-6.2652856,26.177129,0.0068103336,-172.81913,-0.51270649,4.5029881,337.07226,10.26055,428.68242,1.2008669e-08,11.048319,0.057294998,15.364961,192.83217,11.8423,357.54543,0.56928273,-61.468936,-0.3187691,6.0669688,192.83217,-6.2652856,357.54543,0.0011584925,-71.052636,-0.20566873,15.364961,345.47126,11.8423,436.09655,0.03908122,-6.9051203,-0.019987539,6.0669688,345.47126,-6.2652856,436.09655,0.84273855,-79.815762,-0.23103445,0.51793373,345.47126,0.8521958,436.09655,0.02009824,-191.58045,-0.5683661,12.717226,337.07226,-42.793578,428.68242,1.1448182e-10,-280.14909,-0.83112472,0.0024123558,337.07226,0.017811816,428.68242,4.9544481e-29,122.0044,0.36195324,1.5282429,337.07226,26.153394,428.68242,0.00011004032,44529.54,302138.66,1.1678389,372.46685,1,3
2.0946869,0.20177125,4.4738624,10.381493,10.536634,10.711623,0.043032234,-0.37557137,-0.073699864,4.4738624,5.0959575,10.536634,-6.3478325,0.46389272,0.16673278,0.31199713,4.4738624,0.53440484,10.536634,0.82369882,0.0014922778,6.2491603,0.53509265,4.463076,11.678651,10.222018,-42.779817,2.0449375e-09,-0.00012767712,-0.0556404,10.381493,0.0022946837,10.711623,0.017926683,0.58050499,0.00014565206,0.063473699,0.53440484,0.0022946837,0.82369882,0.017926683,0.52830277,-0.35474722,-0.23488104,5.0959575,1.5103272,-6.3478325,25.805347,0.018063157,-145.63753,-0.54166506,4.463076,268.87009,10.222018,364.28957,1.1861331e-09,22.46454,0.11453195,10.381493,196.14213,10.711623,340.02805,0.25409385,-75.641655,-0.38564716,5.0959575,196.14213,-6.3478325,340.02805,6.8147068e-05,-19.989291,-0.072479412,10.381493,275.79267,10.711623,368.85671,0.47134616,-74.911276,-0.2716217,5.0959575,275.79267,-6.3478325,368.85671,0.0060025047,-84.45066,-0.30621067,0.53440484,275.79267,0.82369882,368.85671,0.0018441811,-140.74279,-0.52346019,11.678651,268.87009,-42.779817,364.28957,5.2134989e-09,-210.0032,-0.78105827,0.0022121289,268.87009,0.017948748,364.28957,1.2879418e-23,66.573238,0.24760374,1.4869945,268.87009,25.795688,364.28957,0.0094368518,44871.87,301773.84,1.1699593,355.99615,1,4
2.0979803,0.18641863,4.4232953,11.254135,10.50297,8.6328825,0.061962788,-0.48047174,-0.097809831,4.4232953,4.9123052,10.50297,-5.3994386,0.33051508,0.16827221,0.3128437,4.4232953,0.53787948,10.50297,0.80277358,0.0014462481,5.9360321,0.53490854,4.4139256,11.097284,10.190826,-44.444954,2.0760304e-09,0.00022930689,0.103355,11.254135,0.0022186337,8.6328825,0.017979608,0.30369898,0.00017027927,0.076749609,0.53787948,0.0022186337,0.80277358,0.017979608,0.44555327,-0.44845412,-0.30142702,4.9123052,1.4877701,-5.3994386,25.493069,0.002190017,-116.03839,-0.48417569,4.4139256,239.66174,10.190826,318.69886,9.602178e-08,17.963307,0.091573311,11.254135,196.16313,8.6328825,324.36766,0.3624215,-82.781622,-0.42200399,4.9123052,196.16313,-5.3994386,324.36766,1.1055474e-05,-29.592325,-0.12050876,11.254135,245.56161,8.6328825,321.70632,0.22998269,-21.187453,-0.086281617,4.9123052,245.56161,-5.3994386,321.70632,0.39093241,-47.312875,-0.19267211,0.53787948,245.56161,0.80277358,321.70632,0.053562671,-125.98886,-0.52569451,11.097284,239.66174,-44.444954,318.69886,4.3676337e-09,-180.19774,-0.75188361,0.002139906,239.66174,0.018000502,318.69886,4.4531552e-21,37.489222,0.15642556,1.4681029,239.66174,25.493853,318.69886,0.10430785,45001.254,301428.63,1.1723321,341.13552,1,5
3.3884064,0.3165494,4.3678456,10.704195,10.572727,10.071893,0.0014122609,-0.63792898,-0.15681946,4.3678456,4.0679197,10.572727,-3.7983178,0.12111152,0.091030187,0.20773093,4.3678456,0.43821199,10.572727,0.91686096,0.039092627,5.5277896,0.48729911,4.3838576,11.34373,10.153211,-32.481651,7.7178251e-08,-5.5425962e-05,-0.02475942,10.704195,0.0022385808,10.071893,0.018042184,0.8078027,-0.00047808876,-0.21356779,0.43821199,0.0022385808,0.91686096,0.018042184,0.033792511,-0.35589391,-0.25059984,4.0679197,1.4201681,-3.7983178,25.389798,0.012355413,-103.60131,-0.45127308,4.3838576,229.57565,10.153211,297.921,8.4436655e-07,55.800238,0.27920428,10.704195,199.85452,10.071893,317.89257,0.0051316693,-85.887128,-0.42974823,4.0679197,199.85452,-3.7983178,317.89257,9.0351907e-06,4.5068112,0.01900826,10.704195,237.09751,10.071893,300.88307,0.85186084,-66.542735,-0.28065556,4.0679197,237.09751,-3.7983178,300.88307,0.0048958221,25.925371,0.10934476,0.43821199,237.09751,0.91686096,300.88307,0.28130896,-114.16697,-0.49729563,11.34373,229.57565,-32.481651,297.921,3.7792788e-08,-177.96735,-0.77520134,0.0021367717,229.57565,0.018053849,297.921,4.46604e-23,9.8339329,0.042835262,1.3910591,229.57565,25.385183,297.921,0.65830071,45134.622,301260.97,1.1742482,330.07813,1,6
3.7154858,0.18265491,4.3743294,20.341559,10.661579,41.076678,0.076449626,-6.8168422,-0.39566521,4.3743294,17.228814,10.661579,17.971524,7.2284197e-05,0.094563574,0.41939239,4.3743294,0.22547756,10.661579,0.72680353,2.3330374e-05,-2.8672996,-0.11500485,4.3679711,24.931988,10.128241,41.351852,0.23594019,-0.00055503036,-0.24708856,20.341559,0.002246281,41.076678,0.018296733,0.015778612,-0.0002957239,-0.13165045,0.22547756,0.002246281,0.72680353,0.018296733,0.20347044,0.66291183,0.47483167,17.228814,1.3960986,17.971524,26.534579,1.1638196e-06,-126.75701,-0.48954939,4.3477193,258.92588,10.127064,406.88338,6.584967e-08,20.101598,0.098942732,20.341559,203.16397,41.076678,363.54279,0.34010834,-15.922519,-0.07837275,17.228814,203.16397,17.971524,363.54279,0.45028927,71.570857,0.26360636,20.341559,271.50657,41.076678,413.87636,0.0098478009,40.91622,0.15070067,17.228814,271.50657,17.971524,413.87636,0.14491146,-21.630525,-0.079668515,0.22547756,271.50657,0.72680353,413.87636,0.44281165,54.466293,0.20961952,24.931988,259.83407,41.351852,405.69476,0.029455777,-206.86988,-0.79895403,0.0021215716,258.92588,0.018263258,406.88338,2.245732e-25,56.296556,0.21742344,1.3616029,258.92588,26.460183,406.88338,0.023144701,45658.146,302292.51,1.1691879,374.41309,1,7
-7.233756,-0.18757388,4.3158548,38.564837,10.648437,91.243497,0.067243066,-24.626026,-0.62955451,4.3158548,39.116591,10.648437,61.551444,6.3947956e-12,0.10462747,0.55406602,4.3158548,0.18883575,10.648437,0.62417209,4.7397766e-09,-37.429358,-0.43581361,4.3294108,85.883867,10.071759,206.71759,2.425581e-06,-0.0010430537,-0.45035254,38.564837,0.0023160828,91.243497,0.018172987,4.1457911e-06,-0.00056680448,-0.24472549,0.18883575,0.0023160828,0.62417209,0.018172987,0.01625843,0.99117685,0.64770074,39.116591,1.5303006,61.551444,28.095469,9.8838636e-13,-155.78421,-0.45954252,4.3257154,338.99847,10.107798,619.33401,4.9939537e-07,-32.30453,-0.16644264,38.564837,194.08806,91.243497,510.92151,0.10506859,15.598669,0.080369027,39.116591,194.08806,61.551444,510.92151,0.4363347,221.89319,0.62831606,38.564837,353.15537,91.243497,624.6274,7.23181e-12,75.549693,0.21392764,39.116591,353.15537,61.551444,624.6274,0.03635887,-2.6479176,-0.0074978831,0.18883575,353.15537,0.62417209,624.6274,0.94220192,192.31241,0.56475153,85.883867,340.52571,206.71759,619.9078,1.9358839e-10,-278.40189,-0.82124822,0.0021856562,338.99847,0.018149945,619.33401,7.8523594e-28,155.65553,0.45916292,1.4989191,338.99847,28.045917,619.33401,5.1173641e-07,45374.863,303860.48,1.1541614,528.6379,1,8
