SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-11.768124,-0.35903922,0.67911595,32.776707,99.288878,111.59999,0.0041600049,8.6309624,0.8109569,0.67911595,10.642936,99.288878,10.586513,1.3569067e-15,-0.028009257,-0.44576661,0.67911595,0.062833904,99.288878,0.94883679,0.00028242093,-8.2682548,-0.16555549,0.67911595,49.942498,99.288878,160.49462,0.19846021,-3.7545217e-05,-0.053154599,32.776707,0.00070633995,111.59999,0.01861192,0.68157686,-0.00028200327,-0.39924582,0.062833904,0.00070633995,0.94883679,0.01861192,0.0013067507,0.14538832,0.15405488,10.642936,0.9437437,10.586513,27.674913,0.23189357,-32.143646,-0.2890615,0.67911595,111.20003,99.288878,480.49546,0.022688898,16.054608,0.087686741,32.776707,183.09048,111.59999,615.05324,0.49796067,-47.729576,-0.26068846,10.642936,183.09048,10.586513,615.05324,0.040714948,73.37874,0.6598806,32.776707,111.20003,111.59999,480.49546,5.422174e-09,-9.1738477,-0.082498611,10.642936,111.20003,10.586513,480.49546,0.5238234,-2.9481191,-0.026511856,0.062833904,111.20003,0.94883679,480.49546,0.83792989,86.379786,0.77679645,49.942498,111.20003,160.49462,480.49546,1.1652505e-13,-31.444793,-0.28277685,0.00070633995,111.20003,0.01861192,480.49546,0.025951296,83.059853,0.74694095,0.9437437,111.20003,27.674913,480.49546,3.1432778e-12,46529.8,302364.8,1.1630605,615.05324,1,daily
-15.418823,-0.39592797,0.72005347,38.943504,99.26129,32.135289,0.0014457836,0.18846489,0.040608697,0.72005347,4.6409982,99.26129,-2.5205329,0.75399562,0.014281307,0.046995281,0.72005347,0.3038881,99.26129,0.98632653,0.71682077,4.5154632,0.3691153,0.72005347,12.233205,99.26129,-34.298387,0.0031542743,-8.7421246e-05,-0.080960372,38.943504,0.0010798029,32.135289,0.018555046,0.53161844,-0.00013379966,-0.12391118,0.3038881,0.0010798029,0.98632653,0.018555046,0.33729377,0.083348444,0.079042926,4.6409982,1.0544706,-2.5205329,25.846048,0.54141468,-38.746424,-0.46623937,0.72005347,83.104145,99.26129,256.54672,0.00013384333,-55.823539,-0.21794881,38.943504,256.13142,32.135289,350.67167,0.088806055,-71.900933,-0.28071891,4.6409982,256.13142,-2.5205329,350.67167,0.027102002,-5.5201438,-0.06642441,38.943504,83.104145,32.135289,256.54672,0.60798677,-21.973195,-0.26440552,4.6409982,83.104145,-2.5205329,256.54672,0.037831382,-20.756564,-0.24976568,0.3038881,83.104145,0.98632653,256.54672,0.050255354,-14.807638,-0.1781817,12.233205,83.104145,-34.298387,256.54672,0.16587898,-18.013955,-0.21676361,0.0010798029,83.104145,0.018555046,256.54672,0.090598614,34.642841,0.41686057,1.0544706,83.104145,25.846048,256.54672,0.00075058992,46387.616,300460.63,1.1891005,350.67167,1,0
-14.27399,-0.28974159,0.72847437,49.264553,99.281452,27.620485,0.022357663,-0.31467983,-0.074202346,0.72847437,4.240834,99.281452,-2.7743089,0.56652928,0.040361424,0.11260751,0.72847437,0.35842569,99.281452,0.92958464,0.38353362,2.5855598,0.22481589,0.72847437,11.500787,99.281452,-34.548387,0.078961936,5.5444041e-05,0.050279108,49.264553,0.0011027252,27.620485,0.018510338,0.69795181,-0.00025317473,-0.22959004,0.35842569,0.0011027252,0.92958464,0.018510338,0.072643242,-0.055433351,-0.051674817,4.240834,1.0727343,-2.7743089,25.633306,0.68998603,-34.653757,-0.47026587,0.72847437,73.689713,99.281452,236.3966,0.00011491408,-47.016797,-0.18255831,49.264553,257.544,27.620485,351.47687,0.15555597,-17.987291,-0.069841623,4.240834,257.544,-2.7743089,351.47687,0.58961006,3.7532027,0.050932518,49.264553,73.689713,27.620485,236.3966,0.69421848,-16.093137,-0.21839055,4.240834,73.689713,-2.7743089,236.3966,0.088145125,-4.8139408,-0.065327176,0.35842569,73.689713,0.92958464,236.3966,0.61393969,-21.00014,-0.28498062,11.500787,73.689713,-34.548387,236.3966,0.024764979,-13.539183,-0.18373233,0.0011027252,73.689713,0.018510338,236.3966,0.15286946,27.116085,0.36797654,1.0727343,73.689713,25.633306,236.3966,0.0032559193,46275.844,300301.11,1.188718,351.47687,1,1
-12.976341,-0.34848337,0.74588994,37.236616,99.299194,30.410403,0.0055081991,0.34897454,0.080979008,0.74588994,4.3094446,99.299194,-2.7839796,0.53152366,0.022078047,0.060439311,0.74588994,0.36529284,99.299194,0.90960338,0.64075634,2.2709591,0.2071233,0.74588994,10.964286,99.299194,-34.459677,0.10625229,-8.7941316e-05,-0.076723588,37.236616,0.0011462096,30.410403,0.018500269,0.55338037,-0.00012973896,-0.11318956,0.36529284,0.0011462096,0.90960338,0.018500269,0.38106416,-0.17270063,-0.15608286,4.3094446,1.1064676,-2.7839796,25.490565,0.22573161,-39.15198,-0.57964238,0.74588994,67.545061,99.299194,221.04958,7.9490293e-07,-35.966555,-0.13900622,37.236616,258.74061,30.410403,354.92724,0.28125573,-95.728666,-0.36997928,4.3094446,258.74061,-2.7839796,354.92724,0.0030790469,-0.36917395,-0.005465595,37.236616,67.545061,30.410403,221.04958,0.96637067,-23.885389,-0.35362155,4.3094446,67.545061,-2.7839796,221.04958,0.0048102802,-25.256769,-0.37392474,0.36529284,67.545061,0.90960338,221.04958,0.0027553971,-12.213572,-0.1808211,10.964286,67.545061,-34.459677,221.04958,0.15959506,-10.157126,-0.15037556,0.0011462096,67.545061,0.018500269,221.04958,0.24336814,22.125935,0.32757295,1.1064676,67.545061,25.490565,221.04958,0.0093507669,46250.672,300203.48,1.1880951,354.92724,1,2
-7.4244022,-0.18817208,0.75127074,39.455386,99.316129,24.115301,0.14302069,0.48579708,0.083405346,0.75127074,5.8245317,99.316129,-3.0690357,0.51925543,0.025665442,0.10611129,0.75127074,0.24187286,99.316129,1.0074524,0.41173824,4.3584008,0.34900132,0.75127074,12.488207,99.316129,-34.709677,0.0054340217,-0.000172966,-0.15672576,39.455386,0.001103622,24.115301,0.018457389,0.2238022,-1.0593344e-05,-0.0095987063,0.24187286,0.001103622,1.0074524,0.018457389,0.94097551,0.17759835,0.16588299,5.8245317,1.0706242,-3.0690357,25.451855,0.19756135,-44.154546,-0.57105231,0.75127074,77.321369,99.316129,221.47417,1.2553542e-06,-46.964339,-0.1698325,39.455386,276.53329,24.115301,363.73233,0.18694933,-78.969495,-0.28556958,5.8245317,276.53329,-3.0690357,363.73233,0.024455803,-8.2936132,-0.10726159,39.455386,77.321369,24.115301,221.47417,0.40665847,-17.507261,-0.22642203,5.8245317,77.321369,-3.0690357,221.47417,0.076789279,-7.1253566,-0.092152488,0.24187286,77.321369,1.0074524,221.47417,0.47624159,-16.960114,-0.21934576,12.488207,77.321369,-34.709677,221.47417,0.086729142,-16.533325,-0.21382608,0.001103622,77.321369,0.018457389,221.47417,0.095163837,27.592984,0.35686103,1.0706242,77.321369,25.451855,221.47417,0.0044114646,46143.474,300195.76,1.187079,363.73233,1,3
-8.7106237,-0.18283234,0.74720349,47.642687,99.33871,34.428165,0.15492581,0.74116603,0.16566263,0.74720349,4.4739483,99.33871,-2.4051848,0.19816585,-0.035055077,-0.14682907,0.74720349,0.23874752,99.33871,1.001643,0.25479087,5.185809,0.40717089,0.74720349,12.736198,99.33871,-35.048387,0.0010220507,-0.00015148643,-0.13944922,47.642687,0.0010863197,34.428165,0.018369811,0.27971022,-0.00017892808,-0.16471034,0.23874752,0.0010863197,1.001643,0.018369811,0.2007933,0.003603708,0.003534779,4.4739483,1.0195002,-2.4051848,25.339919,0.97824716,-45.204397,-0.54327138,0.74720349,83.207764,99.33871,217.39528,5.0542164e-06,-44.127391,-0.15379848,47.642687,286.91695,34.428165,361.15767,0.23268084,-72.650351,-0.25321038,4.4739483,286.91695,-2.4051848,361.15767,0.047067251,-3.3849494,-0.040680692,47.642687,83.207764,34.428165,217.39528,0.75357326,-21.761767,-0.26153529,4.4739483,83.207764,-2.4051848,217.39528,0.040042523,9.1362811,0.10980082,0.23874752,83.207764,1.001643,217.39528,0.39557504,-25.209982,-0.30297632,12.736198,83.207764,-35.048387,217.39528,0.016681926,-24.659181,-0.29635673,0.0010863197,83.207764,0.018369811,217.39528,0.019344083,27.731853,0.33328444,1.0195002,83.207764,25.339919,217.39528,0.0081203702,45924.527,300093.59,1.1874122,361.15767,1,4
-9.9547585,-0.29750667,0.74572508,33.460622,99.349194,27.819226,0.018857212,0.20905038,0.050186633,0.74572508,4.1654594,99.349194,-1.7266786,0.69848075,0.0096397377,0.068557742,0.74572508,0.14060757,99.349194,1.0559987,0.59648509,4.1432796,0.32997709,0.74572508,12.556264,99.349194,-35.008065,0.0088143863,-8.4257966e-05,-0.07761767,33.460622,0.0010855513,27.819226,0.018372635,0.54875279,-0.00023519747,-0.21666176,0.14060757,0.0010855513,1.0559987,0.018372635,0.09075397,0.082402804,0.082701144,4.1654594,0.99639256,-1.7266786,25.307661,0.52280134,-47.237112,-0.54824881,0.74572508,86.159991,99.349194,212.4239,3.9741574e-06,-64.079205,-0.21184558,33.460622,302.48073,27.819226,354.85569,0.098341741,-108.6798,-0.35929497,4.1654594,302.48073,-1.7266786,354.85569,0.0041313282,3.6704143,0.042599984,33.460622,86.159991,27.819226,212.4239,0.74234049,-22.44873,-0.26054703,4.1654594,86.159991,-1.7266786,212.4239,0.040828153,11.112996,0.12898094,0.14060757,86.159991,1.0559987,212.4239,0.31774162,-15.161552,-0.17596975,12.556264,86.159991,-35.008065,212.4239,0.17128341,-28.805987,-0.33433136,0.0010855513,86.159991,0.018372635,212.4239,0.0079108539,28.086131,0.32597649,0.99639256,86.159991,25.307661,212.4239,0.0097224327,45931.588,300036.57,1.1883925,354.85569,1,5
-4.1576075,-0.1253262,0.74776947,33.17429,99.374194,28.474084,0.33176229,0.8155425,0.2229508,0.74776947,3.6579483,99.374194,-1.4135335,0.081545727,-0.055112998,-0.18565086,0.74776947,0.29686368,99.374194,0.95703393,0.14855359,4.132279,0.38381762,0.74776947,10.766257,99.374194,-24.959677,0.0020730744,-0.00028710074,-0.26981585,33.17429,0.0010640618,28.474084,0.018375943,0.033938473,-0.00015694122,-0.14749258,0.29686368,0.0010640618,0.95703393,0.018375943,0.25262666,-0.035651513,-0.036082113,3.6579483,0.98806613,-1.4135335,25.313226,0.78069031,-51.054384,-0.64984296,0.74776947,78.564188,99.374194,211.24384,1.0972145e-08,-33.556217,-0.10952864,33.17429,306.36934,28.474084,339.7615,0.39675451,-119.10961,-0.38877783,3.6579483,306.36934,-1.4135335,339.7615,0.0017915038,6.6696585,0.084894385,33.17429,78.564188,28.474084,211.24384,0.51179766,-38.982803,-0.49619049,3.6579483,78.564188,-1.4135335,211.24384,4.1082914e-05,14.977607,0.19064166,0.29686368,78.564188,0.95703393,211.24384,0.137752,-12.03203,-0.15314904,10.766257,78.564188,-24.959677,211.24384,0.2346832,-23.634679,-0.30083272,0.0010640618,78.564188,0.018375943,211.24384,0.01750739,24.26852,0.30890054,0.98806613,78.564188,25.313226,211.24384,0.014571684,45939.858,299984.34,1.1904358,339.7615,1,6
-11.361659,-0.27919866,0.74233079,40.693816,99.396774,66.212665,0.027979362,0.44398806,0.063431683,0.74233079,6.9994684,99.396774,4.0289783,0.62428197,-0.0098539332,-0.063691276,0.74233079,0.15471402,99.396774,0.92713743,0.62286124,3.4186703,0.12685196,0.74233079,26.950079,99.396774,63.024194,0.32586231,-9.9459756e-05,-0.085767649,40.693816,0.0011596419,66.212665,0.018757793,0.50744945,-0.00030063094,-0.25924464,0.15471402,0.0011596419,0.92713743,0.018757793,0.041882904,0.1214917,0.11392062,6.9994684,1.0664593,4.0289783,25.991048,0.37797599,-45.847606,-0.54934829,0.74233079,83.458175,99.396774,252.59501,3.7666491e-06,-47.434972,-0.16382356,40.693816,289.54914,66.212665,370.48056,0.20326223,-95.462767,-0.32969452,6.9994684,289.54914,4.0289783,370.48056,0.0088760076,28.504861,0.34154666,40.693816,83.458175,66.212665,252.59501,0.0065909586,-19.937006,-0.23888619,6.9994684,83.458175,4.0289783,252.59501,0.061499947,10.090007,0.12089896,0.15471402,83.458175,0.92713743,252.59501,0.34926007,15.331643,0.18370451,26.950079,83.458175,63.024194,252.59501,0.15293273,-25.054492,-0.30020416,0.0011596419,83.458175,0.018757793,252.59501,0.017755959,26.414168,0.31649587,1.0664593,83.458175,25.991048,252.59501,0.01220494,46894.483,300599.24,1.1873807,370.48056,1,7
-4.1362767,-0.077277716,0.73520845,53.52483,99.393548,140.16965,0.55051012,8.5770335,0.55866578,0.73520845,15.35271,99.393548,17.103365,2.372607e-06,-0.052685232,-0.58375959,0.73520845,0.090251591,99.393548,0.89718167,6.3558011e-07,4.2666071,0.053124759,0.73520845,80.312969,99.393548,233.05645,0.68174606,-3.8352198e-05,-0.029957473,53.52483,0.0012802214,140.16965,0.019076485,0.81720859,-0.0006425402,-0.50189772,0.090251591,0.0012802214,0.89718167,0.019076485,3.2388614e-05,0.44827949,0.34006529,15.35271,1.318216,17.103365,27.454274,0.0068449876,-36.029879,-0.321616,0.73520845,112.02763,99.393548,400.37791,0.010803688,-33.350439,-0.12888049,53.52483,258.77027,140.16965,549.99494,0.31812184,-127.63441,-0.49323444,15.35271,258.77027,17.103365,549.99494,4.639075e-05,35.312462,0.31521207,53.52483,112.02763,140.16965,400.37791,0.012579958,-9.3434432,-0.083403023,15.35271,112.02763,17.103365,400.37791,0.51926711,20.972287,0.18720638,0.090251591,112.02763,0.89718167,400.37791,0.14512145,49.679324,0.44345598,80.312969,112.02763,233.05645,400.37791,0.0003063607,-21.99247,-0.19631291,0.0012802214,112.02763,0.019076485,400.37791,0.12620635,56.305383,0.50260263,1.318216,112.02763,27.454274,400.37791,3.1441943e-05,47691.212,302021.89,1.1704716,549.99494,1,8
