SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
12.724798,0.71274808,13.365996,17.853149,28.50373,34.880265,1.0335105e-09,-3.8066625,-0.10737439,13.365996,35.452237,28.50373,95.441276,0.43522653,0.094833342,0.41230821,13.365996,0.23000595,28.50373,0.32852998,0.0017603029,12.743021,0.28767721,13.268417,44.296248,26.598361,173.59263,0.058285446,0.0019415509,0.70310859,17.853149,0.0027613813,34.880265,0.0088135806,2.1614561e-09,0.0023406262,0.84762874,0.23000595,0.0027613813,0.32852998,0.0088135806,3.3016093e-16,0.06990495,0.014790574,35.452237,4.7263174,95.441276,27.453549,0.9146492,-434.18577,-0.47483705,13.365996,914.389,28.50373,2098.8471,0.00024934993,-207.68656,-0.55611422,17.853149,373.46026,34.880265,1015.4219,1.0427984e-05,87.606739,0.23458116,35.452237,373.46026,95.441276,1015.4219,0.08472832,-577.70195,-0.63179013,17.853149,914.389,34.880265,2098.8471,2.3074024e-07,328.90461,0.35969878,35.452237,914.389,95.441276,2098.8471,0.0069913838,-673.33663,-0.73637874,0.23000595,914.389,0.32852998,2098.8471,1.4817522e-10,131.05566,0.16157345,44.296248,811.12125,173.59263,2341.8647,0.29472751,-692.45725,-0.75728956,0.0027613813,914.389,0.0088135806,2098.8471,2.2181487e-11,749.63749,0.81982339,4.7263174,914.389,27.453549,2098.8471,1.936613e-14,22033.952,306066.14,1.0836434,1015.4219,1,daily
5.2372091,0.41224755,13.408666,12.704039,28.5366,5.3939194,0.0017633354,2.4242488,0.17419151,13.408666,13.917146,28.5366,-8.8163876,0.20340276,0.10925451,0.24794435,13.408666,0.44064126,28.5366,0.32178046,0.06797309,1.1448101,0.057799173,13.333845,19.806687,26.645705,-79.193182,0.70939346,0.0010583699,0.32742196,12.704039,0.0032324341,5.3939194,0.0090014633,0.014682066,0.0016817291,0.5202671,0.44064126,0.0032324341,0.32178046,0.0090014633,4.673917e-05,-0.30952754,-0.072023668,13.917146,4.2975808,-8.8163876,25.435364,0.60128559,-521.57126,-0.59024702,13.408666,883.64912,28.5366,1811.3776,2.1069164e-06,9.0288578,0.040192465,12.704039,224.64056,5.3939194,530.4368,0.77078626,-5.8686636,-0.026124684,13.917146,224.64056,-8.8163876,530.4368,0.84983577,-397.17029,-0.44946606,12.704039,883.64912,5.3939194,1811.3776,0.0005764875,-278.36285,-0.31501514,13.917146,883.64912,-8.8163876,1811.3776,0.019152937,-493.28968,-0.55824157,0.44064126,883.64912,0.32178046,1811.3776,9.4872464e-06,-384.32845,-0.52135545,19.806687,737.17164,-79.193182,2043.1093,0.00028465695,-703.08646,-0.79566249,0.0032324341,883.64912,0.0090014633,1811.3776,3.924081e-13,627.17325,0.70975372,4.2975808,883.64912,25.435364,1811.3776,1.303864e-09,22503.658,304029.71,1.1223261,530.4368,1,0
6.376949,0.47218683,13.404239,13.50514,28.554136,5.0686637,0.00027300079,5.2146415,0.36475763,13.404239,14.296182,28.554136,-9.1205726,0.0061811839,0.11613985,0.26514857,13.404239,0.43801801,28.554136,0.35961044,0.050417869,1.9046589,0.098000939,13.341182,19.435108,26.679205,-77.193182,0.52681417,0.0016354022,0.52517083,13.50514,0.0031140385,5.0686637,0.0091584956,3.8447668e-05,0.0018800589,0.60373656,0.43801801,0.0031140385,0.35961044,0.0091584956,1.063308e-06,-1.9097244,-0.44629636,14.296182,4.27905,-9.1205726,24.331091,0.00063725877,-509.31004,-0.58982909,13.404239,863.48749,28.554136,1633.0788,2.1509714e-06,-6.0318704,-0.02914028,13.50514,206.99425,5.0686637,515.89345,0.83273816,2.5739784,0.012435024,14.296182,206.99425,-9.1205726,515.89345,0.92820311,-462.78566,-0.53594947,13.50514,863.48749,5.0686637,1633.0788,2.476163e-05,-442.16055,-0.51206364,14.296182,863.48749,-9.1205726,1633.0788,6.4369352e-05,-459.2462,-0.53185044,0.43801801,863.48749,0.35961044,1633.0788,2.9323626e-05,-344.73986,-0.45022725,19.435108,765.7019,-77.193182,1832.3578,0.0021653464,-670.47346,-0.77647154,0.0031140385,863.48749,0.0091584956,1633.0788,3.2597373e-12,620.38841,0.71846832,4.27905,863.48749,24.331091,1633.0788,6.5758095e-10,22896.239,302910.01,1.1254188,515.89345,1,1
4.2415536,0.36283016,13.540596,11.69019,28.776445,3.6074797,0.0064796397,1.7104366,0.11751539,13.540596,14.555001,28.776445,-6.4817083,0.39284691,0.071963487,0.15621403,13.540596,0.46067235,28.776445,0.38660187,0.25473934,2.1088048,0.11429275,13.553975,18.450906,26.959852,-74.988636,0.46006922,0.0014606511,0.48104136,11.69019,0.0030364356,3.6074797,0.0092925716,0.00020110242,0.0013688268,0.45080053,0.46067235,0.0030364356,0.38660187,0.0092925716,0.00055250869,-1.5068111,-0.34985301,14.555001,4.3069835,-6.4817083,23.335182,0.0088369895,-468.1011,-0.55735781,13.540596,839.85744,28.776445,1474.6607,9.8680648e-06,0.073618537,0.00036892762,11.69019,199.54737,3.6074797,489.69129,0.9978671,20.905074,0.10476246,14.555001,199.54737,-6.4817083,489.69129,0.44654242,-368.63351,-0.43892391,11.69019,839.85744,3.6074797,1474.6607,0.00080157421,-315.86393,-0.37609231,14.555001,839.85744,-6.4817083,1474.6607,0.0046575107,-430.73146,-0.51286258,0.46067235,839.85744,0.38660187,1474.6607,6.2416317e-05,-355.82643,-0.45951885,18.450906,774.34567,-74.988636,1658.7281,0.0017016569,-626.03734,-0.74540906,0.0030364356,839.85744,0.0092925716,1474.6607,6.6736772e-11,606.30199,0.72191061,4.3069835,839.85744,23.335182,1474.6607,4.9825711e-10,23231.429,301890.65,1.1293825,489.69129,1,2
5.0662555,0.41411821,13.449196,12.233839,28.695773,5.2319568,0.0016719367,-1.8880184,-0.13857207,13.449196,13.624812,28.695773,-4.6663146,0.31299791,0.10491809,0.21310068,13.449196,0.49234047,28.695773,0.43325129,0.11826446,-0.45562589,-0.025592015,13.429698,17.80344,26.864784,-72.340909,0.86902422,0.0013618889,0.46528439,12.233839,0.0029270032,5.2319568,0.0092640451,0.00034448962,0.0010014875,0.34215455,0.49234047,0.0029270032,0.43325129,0.0092640451,0.010561373,-0.89700873,-0.21023052,13.624812,4.2667864,-4.6663146,22.447909,0.1234206,-437.66037,-0.541882,13.449196,807.66729,28.695773,1363.6339,1.931011e-05,-4.3238709,-0.022199083,12.233839,194.77701,5.2319568,461.83774,0.87219489,40.233483,0.20656177,13.624812,194.77701,-4.6663146,461.83774,0.1302574,-312.9504,-0.38747441,12.233839,807.66729,5.2319568,1363.6339,0.0034701371,-229.75872,-0.28447199,13.624812,807.66729,-4.6663146,1363.6339,0.035295867,-261.89186,-0.32425711,0.49234047,807.66729,0.43325129,1363.6339,0.015727788,-232.7743,-0.30610748,17.80344,760.43324,-72.340909,1543.053,0.043297345,-580.0926,-0.71823213,0.0029270032,807.66729,0.0092640451,1363.6339,6.7011946e-10,579.26964,0.7172132,4.2667864,807.66729,22.447909,1363.6339,7.2684945e-10,23160.113,300966.53,1.1335062,461.83774,1,3
5.499229,0.44971571,13.43454,12.228234,28.691236,5.4812219,0.00057193131,-1.9759747,-0.14896553,13.43454,13.264644,28.691236,-6.7517776,0.27772104,0.12796807,0.26274247,13.43454,0.48704753,28.691236,0.40570993,0.052624021,-1.0593224,-0.059771769,13.41696,17.722789,26.867648,-72.136364,0.69993224,0.0014392274,0.51113879,12.228234,0.0028157271,5.4812219,0.0092526888,6.6700235e-05,0.0011303782,0.40145162,0.48704753,0.0028157271,0.40570993,0.0092526888,0.0023833919,-1.2887941,-0.30939035,13.264644,4.1655923,-6.7517776,21.618727,0.021532731,-423.79618,-0.55124145,13.43454,768.80318,28.691236,1256.1587,1.291798e-05,1.111312,0.005884269,12.228234,188.86152,5.4812219,440.60591,0.96599097,56.952351,0.30155615,13.264644,188.86152,-6.7517776,440.60591,0.02526033,-332.62527,-0.43265335,12.228234,768.80318,5.4812219,1256.1587,0.00097037717,-291.2584,-0.37884651,13.264644,768.80318,-6.7517776,1256.1587,0.0043414497,-371.60885,-0.48336019,0.48704753,768.80318,0.40570993,1256.1587,0.00018537588,-236.3143,-0.31790437,17.722789,743.35025,-72.136364,1419.1523,0.035472008,-535.49168,-0.69652635,0.0028157271,768.80318,0.0092526888,1256.1587,3.5184829e-09,542.57184,0.70573569,4.1655923,768.80318,21.618727,1256.1587,1.7728998e-09,23131.722,300082.35,1.1372824,440.60591,1,4
3.6807634,0.26788514,13.450208,13.740081,28.674609,6.6129981,0.048000827,-1.1278789,-0.069661685,13.450208,16.190807,28.674609,-0.24325511,0.61329669,0.10494434,0.27284289,13.450208,0.38463288,28.674609,0.32144027,0.043863097,-3.6464731,-0.20088418,13.438988,18.152117,26.853977,-44.079545,0.19103298,0.00065585283,0.24035245,13.740081,0.0027287129,6.6129981,0.0091988909,0.077132585,0.0011008501,0.403432,0.38463288,0.0027287129,0.32144027,0.0091988909,0.0022568973,-1.4911196,-0.3665463,16.190807,4.0680254,-0.24325511,21.011455,0.0059150459,-416.38678,-0.56180316,13.450208,741.16132,28.674609,1186.7258,8.0865157e-06,24.387318,0.13039445,13.740081,187.02726,6.6129981,418.57551,0.34268217,55.959014,0.29920244,16.190807,187.02726,-0.24325511,418.57551,0.026480972,-203.74189,-0.27489547,13.740081,741.16132,6.6129981,1186.7258,0.042237901,-329.46478,-0.44452505,16.190807,741.16132,-0.24325511,1186.7258,0.00067368486,-332.1105,-0.44809476,0.38463288,741.16132,0.32144027,1186.7258,0.00060210471,-95.11555,-0.13166719,18.152117,722.3937,-44.079545,1343.989,0.39423849,-507.64388,-0.68493035,0.0027287129,741.16132,0.0091988909,1186.7258,8.049547e-09,515.25224,0.6951958,4.0680254,741.16132,21.011455,1186.7258,3.8765739e-09,22997.227,299405.55,1.1409633,418.57551,1,5
4.9096848,0.29419302,13.416543,16.688651,28.504955,21.34879,0.029244227,-2.5446205,-0.10913268,13.081378,23.31676,28.997548,31.469937,0.44121624,0.073616151,0.21966706,13.081378,0.33512603,28.997548,0.43399585,0.11764977,-6.8212258,-0.22855921,13.384208,29.844459,26.666852,36.761364,0.1356265,0.00070232745,0.25841166,16.688651,0.0027178629,21.34879,0.0092235003,0.056792102,0.001094377,0.39280038,0.33512603,0.0027860895,0.43399585,0.009256287,0.0039713541,-2.1251351,-0.50228026,23.31676,4.2309748,31.469937,21.526058,0.00014814925,-428.55487,-0.56653581,13.416543,756.44798,28.504955,1222.9975,6.5210861e-06,-22.820211,-0.12028012,16.688651,189.72554,21.34879,413.42701,0.38172941,90.853815,0.47242912,23.31676,192.31206,31.469937,406.03488,0.00040587719,-63.825369,-0.084375093,16.688651,756.44798,21.34879,1222.9975,0.54023111,-158.37961,-0.20522469,23.31676,771.73762,31.469937,1239.2516,0.14442551,49.820335,0.064556054,0.33512603,771.73762,0.43399585,1239.2516,0.64934036,114.3625,0.1536451,29.844459,744.32895,36.761364,1382.4293,0.31936934,-510.48069,-0.67483912,0.0027178629,756.44798,0.0092235003,1222.9975,1.6049124e-08,546.85396,0.72292342,4.1788105,756.44798,21.368727,1222.9975,4.5883803e-10,23058.751,299711.28,1.141457,413.42701,1,6
9.6581975,0.52644749,13.309259,18.345985,28.69324,40.718609,6.1030763e-05,-15.414499,-0.39731637,13.119639,38.796536,29.095069,86.248417,0.0038900767,0.11603376,0.48855527,12.93825,0.23750386,29.49297,0.35970621,0.00031863824,12.359536,0.31123372,13.315725,39.71143,26.268548,163.04762,0.044825178,0.00091036513,0.34100262,18.114688,0.002669672,40.654956,0.0093708137,0.011624418,0.001889027,0.69419843,0.24496484,0.0027211629,0.36933445,0.0094470342,1.6117849e-08,0.59267544,0.12382951,40.032565,4.7862215,84.685948,22.807404,0.3817842,-469.3358,-0.55426554,13.449887,846.77066,28.325443,1393.6867,1.6624797e-05,-32.541893,-0.1911313,18.114688,170.25936,40.654956,472.35918,0.16621781,8.7834256,0.050695411,40.032565,173.25879,84.685948,461.5019,0.72115708,-128.05807,-0.16206114,18.114688,790.18369,40.654956,1319.7469,0.2416814,416.2872,0.47745158,40.032565,871.89407,84.685948,1375.642,0.0003447667,-342.53749,-0.42203782,0.24496484,811.62747,0.36933445,1328.7427,0.0020372475,150.941,0.17927254,43.443706,841.96384,160.39773,1539.5701,0.24426677,-561.0956,-0.66044869,0.0027147384,849.56729,0.009288281,1364.2516,4.1039004e-08,679.41051,0.7997136,4.7267888,849.56729,22.621727,1364.2516,2.4385234e-13,23220.703,300955.17,1.1350796,468.56632,1,7
15.269205,0.5893015,13.43177,25.910683,28.22826,57.233139,4.3018642e-06,-14.226235,-0.23228813,13.163451,61.243917,29.51939,156.31356,0.10453155,0.083109237,0.4982432,13.140456,0.16680456,29.232031,0.28886766,0.00026928924,1.5995525,0.015398624,13.348621,103.87633,26.482655,424.97619,0.92289438,0.0013304505,0.51695957,26.01375,0.0025736065,56.835615,0.0091786066,6.2725153e-05,0.001972614,0.74472348,0.1915417,0.0026487871,0.30260251,0.0092689747,5.623882e-10,0.048020435,0.0094966689,64.434755,5.0565557,153.25839,24.217157,0.94726645,-499.74252,-0.54036912,13.468529,924.81696,28.518292,1580.7364,2.959056e-05,-38.394659,-0.25322155,26.01375,151.62477,56.835615,553.61868,0.064676523,17.819625,0.11266309,64.434755,158.16738,153.25839,534.00596,0.4312,-284.94372,-0.31049049,26.01375,917.72126,56.835615,1573.391,0.022310595,321.02124,0.3365452,64.434755,953.8726,153.25839,1544.5939,0.015746837,-436.76879,-0.46370493,0.1915417,941.91104,0.30260251,1572.7463,0.00069490574,282.12848,0.30904081,115.30816,912.91659,417.89773,1742.2194,0.041231235,-632.36004,-0.68025981,0.0027163456,929.58606,0.0093049352,1547.2743,1.111572e-08,781.34476,0.84052977,5.0985945,929.58606,24.105091,1547.2743,1.0045532e-15,23262.338,302468.13,1.1261504,546.56459,1,8
