SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.9924104,0.17301329,0.15312428,11.515938,2.9612545,40.670589,0.099094701,-4.3429423,-0.12856428,0.15312428,33.780319,2.9612545,136.68384,0.22194944,0.018738504,0.18286143,0.15312428,0.10247379,2.9612545,0.22425051,0.081035816,-1.9780913,-0.0607291,0.15312428,32.57238,2.9612545,199.21581,0.56525071,0.00017361491,0.079110092,11.515938,0.0021945988,40.670589,0.010599723,0.45349656,0.0011428081,0.52073669,0.10247379,0.0021945988,0.22425051,0.010599723,1.0312742e-07,-1.2224932,-0.36323425,33.780319,3.3655779,136.68384,25.333798,0.00037262562,-95.490139,-0.20059754,0.15312428,476.02847,2.9612545,1349.9395,0.05520062,68.315817,0.30792595,11.515938,221.85794,40.670589,790.63272,0.0028260338,-6.1320751,-0.027639647,33.780319,221.85794,136.68384,790.63272,0.79367967,94.864701,0.19928367,11.515938,476.02847,40.670589,1349.9395,0.056848102,-37.93001,-0.07968013,33.780319,476.02847,136.68384,1349.9395,0.45023877,-111.78745,-0.23483355,0.10247379,476.02847,0.22425051,1349.9395,0.024242998,26.824385,0.056350381,32.57238,476.02847,199.21581,1349.9395,0.59366806,-254.31917,-0.53425202,0.0021945988,476.02847,0.010599723,1349.9395,4.1389654e-08,289.77617,0.60873705,3.3655779,476.02847,25.333798,1349.9395,1.2145557e-10,26499.307,299630.82,1.1591131,790.63272,1,daily
0.15566265,0.014598865,0.17410957,10.662654,2.9684783,5.7112154,0.89014543,3.9180243,0.2017845,0.17410957,19.416875,2.9684783,-24.996414,0.05374611,0.075683769,0.25300348,0.17410957,0.29914122,2.9684783,0.13467165,0.014963029,7.7210141,0.36215487,0.17410957,21.319647,2.9684783,-63.48913,0.00038906499,0.00019851478,0.0778025,10.662654,0.0025515219,5.7112154,0.010790715,0.46101866,0.00076148451,0.29844326,0.29914122,0.0025515219,0.13467165,0.010790715,0.00385747,-1.7553266,-0.40002808,19.416875,4.3880084,-24.996414,20.89587,7.7902298e-05,-138.77979,-0.24114795,0.17410957,575.49643,2.9684783,755.41001,0.020576227,-5.3105211,-0.019161049,10.662654,277.1519,5.7112154,511.98296,0.85613988,-116.34203,-0.41977715,19.416875,277.1519,-24.996414,511.98296,3.107686e-05,159.66848,0.27744478,10.662654,575.49643,5.7112154,755.41001,0.007416193,-371.54856,-0.64561401,19.416875,575.49643,-24.996414,755.41001,3.7022599e-12,-88.086775,-0.15306224,0.29914122,575.49643,0.13467165,755.41001,0.14521393,-185.48401,-0.32230263,21.319647,575.49643,-63.48913,755.41001,0.0017290637,-247.87945,-0.43072283,0.0025515219,575.49643,0.010790715,755.41001,1.8207513e-05,384.8913,0.66879876,4.3880084,575.49643,20.89587,755.41001,3.1987475e-13,26976.787,295188.24,1.1902336,511.98296,1,0
0.61987681,0.069929306,0.17440346,8.8643351,2.9679348,3.9718508,0.50772827,1.3895109,0.068282371,0.17440346,20.349482,2.9679348,-25.054142,0.51779882,0.006391875,0.029173627,0.17440346,0.21909771,2.9679348,0.096205746,0.78250473,4.7564705,0.23666218,0.17440346,20.098144,2.9679348,-62.402174,0.023127853,-0.0004427115,-0.17054415,8.8643351,0.0025958763,3.9718508,0.010459112,0.10408429,0.00031507446,0.12137499,0.21909771,0.0025958763,0.096205746,0.010459112,0.24910032,-1.0606054,-0.24093037,20.349482,4.4021239,-25.054142,20.412391,0.020694173,-114.05296,-0.21523798,0.17440346,529.89235,2.9679348,760.10398,0.03935267,55.764062,0.21803874,8.8643351,255.753,3.9718508,507.60654,0.03680219,-111.08739,-0.43435419,20.349482,255.753,-25.054142,507.60654,1.5185555e-05,182.23732,0.34391386,8.8643351,529.89235,3.9718508,760.10398,0.0007890433,-314.57337,-0.59365524,20.349482,529.89235,-25.054142,760.10398,4.4647563e-10,-81.775423,-0.1543246,0.21909771,529.89235,0.096205746,760.10398,0.14188552,-226.93115,-0.42825898,20.098144,529.89235,-62.402174,760.10398,2.0569207e-05,-209.82559,-0.39597777,0.0025958763,529.89235,0.010459112,760.10398,9.3401963e-05,322.98887,0.60953678,4.4021239,529.89235,20.412391,760.10398,1.1313692e-10,26147.78,294719.37,1.1912964,507.60654,1,1
-0.12022007,-0.016973687,0.17440346,7.0827313,2.9679348,4.1260916,0.87241519,1.2635517,0.061880346,0.17440346,20.419273,2.9679348,-25.932917,0.55788746,0.063160339,0.21223168,0.17440346,0.2976009,2.9679348,0.13126789,0.042252817,2.845085,0.13168544,0.17440346,21.60516,2.9679348,-60.244565,0.21083606,-0.00018357145,-0.069309041,7.0827313,0.0026485932,4.1260916,0.010294806,0.51150912,0.00082925232,0.31309161,0.2976009,0.0026485932,0.13126789,0.010294806,0.0023752311,-1.1272476,-0.26607283,20.419273,4.236613,-25.932917,20.025,0.010360007,-108.76453,-0.2146649,0.17440346,506.67122,2.9679348,745.77949,0.039892312,28.528292,0.11665561,7.0827313,244.55139,4.1260916,506.98959,0.26811731,-98.220779,-0.40163655,20.419273,244.55139,-25.932917,506.98959,7.2438879e-05,202.87491,0.40040741,7.0827313,506.67122,4.1260916,745.77949,7.6580379e-05,-345.10982,-0.68113168,20.419273,506.67122,-25.932917,745.77949,7.9373356e-14,-130.78615,-0.25812823,0.2976009,506.67122,0.13126789,745.77949,0.012981289,-240.30514,-0.4742822,21.60516,506.67122,-60.244565,745.77949,1.7888831e-06,-217.4848,-0.42924246,0.0026485932,506.67122,0.010294806,745.77949,1.9594059e-05,278.81062,0.55027916,4.236613,506.67122,20.025,745.77949,1.329344e-08,25737.014,294337.41,1.1919962,506.98959,1,2
0.27918912,0.037153878,0.17764115,7.5144004,2.9641304,3.07806,0.72512594,0.44208938,0.021486661,0.17764115,20.575062,2.9641304,-23.832564,0.83890179,-0.00072155832,-0.0020117185,0.17764115,0.35867759,2.9641304,0.18767325,0.98481564,2.5668504,0.11344149,0.17764115,22.627086,2.9641304,-58.168478,0.2816163,-9.2160915e-06,-0.0033928662,7.5144004,0.0027163144,3.07806,0.010123141,0.97439361,0.00050624952,0.18637368,0.35867759,0.0027163144,0.18767325,0.010123141,0.075270535,-1.2489866,-0.28253733,20.575062,4.4206074,-23.832564,19.438207,0.0063568278,-107.59122,-0.21207689,0.17764115,507.32175,2.9641304,708.85658,0.042406822,85.241671,0.35528277,7.5144004,239.92628,3.07806,503.50878,0.00051034507,-76.956994,-0.32075267,20.575062,239.92628,-23.832564,503.50878,0.001825221,126.33716,0.24902768,7.5144004,507.32175,3.07806,708.85658,0.016676079,-368.22757,-0.72582649,20.575062,507.32175,-23.832564,708.85658,2.7205357e-16,-143.46591,-0.28279078,0.35867759,507.32175,0.18767325,708.85658,0.0063077922,-254.6854,-0.50201947,22.627086,507.32175,-58.168478,708.85658,3.426106e-07,-205.08569,-0.40425172,0.0027163144,507.32175,0.010123141,708.85658,6.4310705e-05,274.28845,0.54065975,4.4206074,507.32175,19.438207,708.85658,2.6471027e-08,25307.852,293737.59,1.1936213,503.50878,1,3
0.37469357,0.089268735,0.18032725,4.1973662,2.9608696,2.8581845,0.39743013,0.9599409,0.053959156,0.18032725,17.790139,2.9608696,-23.784434,0.60945324,0.076941492,0.29805156,0.18032725,0.25814826,2.9608696,0.10117243,0.0039065191,3.8668617,0.1703883,0.18032725,22.694408,2.9608696,-56.679348,0.10440568,-2.6924262e-05,-0.0099710071,4.1973662,0.0027002551,2.8581845,0.0099811036,0.92484445,0.00077298018,0.28626191,0.25814826,0.0027002551,0.10117243,0.0099811036,0.005669122,-0.93918718,-0.20763497,17.790139,4.5232611,-23.784434,19.024185,0.047029365,-101.82715,-0.20378865,0.18032725,499.67035,2.9608696,683.74856,0.051361684,78.073784,0.33513735,4.1973662,232.96055,2.8581845,497.48105,0.0010925009,-86.229443,-0.37014611,17.790139,232.96055,-23.784434,497.48105,0.00028160654,253.71227,0.5077593,4.1973662,499.67035,2.8581845,683.74856,2.388929e-07,-323.8979,-0.64822317,17.790139,499.67035,-23.784434,683.74856,2.8401611e-12,-145.35049,-0.29089276,0.25814826,499.67035,0.10117243,683.74856,0.0049066047,-236.18756,-0.47268677,22.694408,499.67035,-56.679348,683.74856,1.9587678e-06,-184.15781,-0.36855861,0.0027002551,499.67035,0.0099811036,683.74856,0.00030048273,274.11335,0.54858838,4.5232611,499.67035,19.024185,683.74856,1.5027928e-08,24952.759,293291.11,1.1953789,497.48105,1,4
-0.11128185,-0.0078860734,0.18110305,14.111186,2.9592391,5.2012293,0.94052701,1.7722817,0.099522621,0.18110305,17.807828,2.9592391,-22.752433,0.34523009,0.02613905,0.078055407,0.18110305,0.33487814,2.9592391,0.13998731,0.45955845,3.7094674,0.16792342,0.18110305,22.090232,2.9592391,-45.951087,0.10959264,0.00018015915,0.06785367,14.111186,0.0026551128,5.2012293,0.009941624,0.52043678,0.00070487817,0.26547956,0.33487814,0.0026551128,0.13998731,0.009941624,0.010538355,-0.51066705,-0.11419701,17.807828,4.4718075,-22.752433,18.748098,0.27840315,-112.8732,-0.23343861,0.18110305,483.5241,2.9592391,654.22081,0.025124182,62.045261,0.26810992,14.111186,231.41725,5.2012293,494.24182,0.0097675645,-63.3665,-0.27381925,17.807828,231.41725,-22.752433,494.24182,0.0082624223,28.235024,0.058394244,14.111186,483.5241,5.2012293,654.22081,0.58032365,-238.47925,-0.49321068,17.807828,483.5241,-22.752433,654.22081,5.8834304e-07,-80.999671,-0.16751941,0.33487814,483.5241,0.13998731,654.22081,0.11046161,-230.00887,-0.47569266,22.090232,483.5241,-45.951087,654.22081,1.6503774e-06,-174.48927,-0.36086984,0.0026551128,483.5241,0.009941624,654.22081,0.00040950414,262.6527,0.54320499,4.4718075,483.5241,18.748098,654.22081,2.2107198e-08,24854.06,292968.81,1.1968366,494.24182,1,5
1.3324162,0.084857106,0.18587094,15.701882,2.9550562,25.427422,0.42914768,1.2232235,0.061214383,0.18587094,19.982615,2.9550562,3.3756554,0.56876833,-0.031903848,-0.083621206,0.18587094,0.38152819,2.9550562,0.73374577,0.43592391,0.33713711,0.012747543,0.1829576,26.447222,2.9565217,45.478261,0.90400528,-0.00060864385,-0.23072777,15.701882,0.0026379307,25.427422,0.010413049,0.029603698,-0.00040060617,-0.1518638,0.38152819,0.0026379307,0.73374577,0.010413049,0.15540933,-0.61079358,-0.17028565,19.982615,3.5868763,3.3756554,20.577753,0.11061438,-106.92622,-0.23532104,0.1829576,454.38445,2.9565217,768.93549,0.023941323,46.833849,0.19429457,15.701882,241.04559,25.427422,487.86246,0.068078319,-11.904207,-0.049385706,19.982615,241.04559,3.3756554,487.86246,0.64580469,146.44091,0.32531699,15.701882,450.14835,25.427422,786.58391,0.0018662678,-132.86888,-0.29516687,19.982615,450.14835,3.3756554,786.58391,0.0049836685,126.394,0.28078299,0.38152819,450.14835,0.73374577,786.58391,0.0076919556,-109.90864,-0.24188468,26.447222,454.38445,45.478261,768.93549,0.020181125,-241.02777,-0.53044899,0.0026139937,454.38445,0.010471594,768.93549,5.3729297e-08,204.9169,0.45097692,3.5484049,454.38445,20.530109,768.93549,6.4399535e-06,26178.984,294715.79,1.194681,482.89305,1,6
0.42522226,0.017257689,0.18721962,24.639583,2.9522222,61.375031,0.87174352,-3.5775353,-0.084761124,0.18721962,42.207266,2.9522222,83.712047,0.42701777,0.020611336,0.10426767,0.18721962,0.19767715,2.9522222,0.44533241,0.32806843,0.36423603,0.0064254426,0.18528332,56.686527,2.9532609,205.69565,0.95152754,-0.00047126426,-0.17658028,24.639583,0.0026688385,61.375031,0.010659778,0.095936448,0.0005786621,0.2168217,0.19767715,0.0026688385,0.44533241,0.010659778,0.04010309,-1.1257209,-0.35084268,42.207266,3.2086203,83.712047,23.537278,0.00069814846,-106.95029,-0.23258251,0.18528332,459.83804,2.9532609,1099.8326,0.025678369,23.015088,0.088472736,24.639583,260.13763,61.375031,542.97414,0.40697916,12.723809,0.048911836,42.207266,260.13763,83.712047,542.97414,0.64709159,183.17076,0.3986888,24.639583,459.43291,61.375031,1109.5825,9.9382637e-05,21.673095,0.047173579,42.207266,459.43291,83.712047,1109.5825,0.65883799,66.156401,0.14399578,0.19767715,459.43291,0.44533241,1109.5825,0.17572465,116.73768,0.25386694,56.686527,459.83804,205.69565,1099.8326,0.014611826,-283.46007,-0.61643458,0.0026721359,459.83804,0.010690317,1099.8326,6.0844608e-11,190.61267,0.4145213,3.1917024,459.83804,23.503587,1099.8326,3.9912106e-05,26725.792,297678.89,1.1839299,544.18902,1,7
6.5419356,0.21657675,0.18543154,30.206085,2.9532609,89.102415,0.038115706,-4.6144232,-0.067186148,0.18543154,68.681169,2.9532609,189.9093,0.5245578,0.021827958,0.14453044,0.18543154,0.15102672,2.9532609,0.34000883,0.16926725,-2.4525055,-0.029073167,0.18543154,84.356325,2.9532609,375.61413,0.78323525,-5.4081104e-05,-0.019828038,30.206085,0.0027275065,89.102415,0.010584954,0.85118868,0.00098977945,0.36288802,0.15102672,0.0027275065,0.34000883,0.010584954,0.00037782792,-0.93276534,-0.26980254,68.681169,3.4572149,189.9093,25.597283,0.0092980999,-77.184869,-0.1492483,0.18543154,517.15746,2.9532609,1384.1074,0.15562724,22.444867,0.078416177,30.206085,286.2275,89.102415,637.38233,0.45747989,22.963107,0.080226765,68.681169,286.2275,189.9093,637.38233,0.44712702,46.648508,0.090201751,30.206085,517.15746,89.102415,1384.1074,0.39249558,40.237712,0.077805534,68.681169,517.15746,189.9093,1384.1074,0.46100113,-44.329569,-0.085717741,0.15102672,517.15746,0.34000883,1384.1074,0.41654427,187.23861,0.36205339,84.356325,517.15746,375.61413,1384.1074,0.00039064443,-317.22143,-0.6133943,0.0027275065,517.15746,0.010584954,1384.1074,8.0123376e-11,255.11291,0.49329833,3.4572149,517.15746,25.597283,1384.1074,5.8522925e-07,26462.385,299780.04,1.1723209,637.38233,1,8
