SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
6.6732532,0.1771137,1.4847458,37.677793,10.459645,208.12684,0.37681587,-5.3609021,-0.14587281,1.4847458,36.750522,10.459645,-53.639514,0.46783368,-0.028565823,-0.31179816,1.4847458,0.091616395,10.459645,0.66114554,0.1133648,1.3430911,0.085605239,1.4847458,15.689357,10.459645,228.10417,0.67116438,0.00065802826,0.42550165,37.677793,0.0015464764,208.12684,0.006922706,0.026916371,0.0001473056,0.095252407,0.091616395,0.0015464764,0.66114554,0.006922706,0.63649652,-3.3280094,-0.63815981,36.750522,5.2150095,-53.639514,24.457106,0.00034165286,24.796815,0.04038023,1.4847458,614.08306,10.459645,2064.336,0.84150047,85.66696,0.2339282,37.677793,366.21049,208.12684,976.51937,0.24023808,-105.56823,-0.288272,36.750522,366.21049,-53.639514,976.51937,0.14478812,-89.594931,-0.14590035,37.677793,614.08306,208.12684,2064.336,0.46774877,-222.91171,-0.36299929,36.750522,614.08306,-53.639514,2064.336,0.062744044,145.78764,0.23740704,0.091616395,614.08306,0.66114554,2064.336,0.2331158,176.09104,0.28675444,15.689357,614.08306,228.10417,2064.336,0.14701037,-104.54275,-0.17024204,0.0015464764,614.08306,0.006922706,2064.336,0.39589916,484.44768,0.78889602,5.2150095,614.08306,24.457106,2064.336,1.0135091e-06,17306.765,298701.2,1.1478022,976.51937,1,daily
10.666951,0.62498351,2.0137986,17.067571,10.733333,26.574074,0.00049160243,-8.5660606,-0.3694916,2.0137986,23.18337,10.733333,-44.240741,0.057849791,-0.05385918,-0.14014603,2.0137986,0.38430757,10.733333,0.13333333,0.4856685,-0.26483947,-0.016669378,2.0137986,15.887783,10.733333,-76.037037,0.93423039,0.00034071092,0.16831736,17.067571,0.0020242174,26.574074,0.0063465334,0.40134065,9.6856124e-05,0.047848678,0.38430757,0.0020242174,0.13333333,0.0063465334,0.81265701,1.2447669,0.2268436,23.18337,5.4873354,-44.240741,19.954259,0.25518332,-88.423992,-0.094493024,2.0137986,935.7727,10.733333,1661.5552,0.63919968,40.244122,0.073251786,17.067571,549.39441,26.574074,406.63267,0.7165264,-76.565334,-0.13936315,23.18337,549.39441,-44.240741,406.63267,0.48813313,-206.1825,-0.22033396,17.067571,935.7727,26.574074,1661.5552,0.26943909,266.31697,0.28459579,23.18337,935.7727,-44.240741,1661.5552,0.15021342,-15.726436,-0.016805829,0.38430757,935.7727,0.13333333,1661.5552,0.93369318,525.35916,0.56141749,15.887783,935.7727,-76.037037,1661.5552,0.0023117531,-582.54941,-0.62253303,0.0020242174,935.7727,0.0063465334,1661.5552,0.00052507853,740.66633,0.7915024,5.4873354,935.7727,19.954259,1661.5552,8.8107272e-07,15866.333,294159.98,1.2030676,406.63267,1,0
10.116694,0.65669714,2.0561976,15.405419,10.688889,22.166667,0.00019885917,-9.6693809,-0.43779346,2.0561976,22.086627,10.688889,-37.87037,0.022380113,0.077688831,0.3364025,2.0561976,0.23094011,10.688889,0.044444444,0.086217412,-0.18731155,-0.012192815,2.0561976,15.362454,10.688889,-73.796296,0.95186901,0.00040681642,0.20420027,15.405419,0.0019922423,22.166667,0.0065263213,0.30693984,0.00053000934,0.26603658,0.23094011,0.0019922423,0.044444444,0.0065263213,0.17983128,0.60142538,0.10886741,22.086627,5.524384,-37.87037,19.000741,0.58882821,-75.104788,-0.081494918,2.0561976,921.5886,10.688889,1487.4091,0.68614231,16.624027,0.029994905,15.405419,554.22835,22.166667,383.23158,0.88193542,-39.879992,-0.071955885,22.086627,554.22835,-37.87037,383.23158,0.72134302,-119.67242,-0.1298545,15.405419,921.5886,22.166667,1487.4091,0.51856565,205.45089,0.22293124,22.086627,921.5886,-37.87037,1487.4091,0.26369095,-143.59488,-0.15581235,0.23094011,921.5886,0.044444444,1487.4091,0.43770638,494.54822,0.5366258,15.362454,921.5886,-73.796296,1487.4091,0.0039049486,-556.47912,-0.60382596,0.0019922423,921.5886,0.0065263213,1487.4091,0.00085317183,730.92801,0.79311746,5.524384,921.5886,19.000741,1487.4091,8.070456e-07,16315.803,293216.5,1.2068597,383.23158,1,1
6.4241389,0.5160621,2.097003,12.448383,10.637037,19.092593,0.005860234,-5.6531125,-0.34441382,2.097003,16.413722,10.637037,-32.055556,0.078539965,-0.073391947,-0.24889129,2.097003,0.29487551,10.637037,0.081481481,0.2106084,-1.4645443,-0.10669289,2.097003,13.726729,10.637037,-72,0.59633705,0.00015087068,0.072438593,12.448383,0.002082739,19.092593,0.0065756873,0.71954766,-0.0002139474,-0.10272406,0.29487551,0.002082739,0.081481481,0.0065756873,0.61014615,1.047051,0.19277314,16.413722,5.4315193,-32.055556,18.079074,0.33536827,-109.15815,-0.11938419,2.097003,914.34346,10.637037,1365.2524,0.5531059,-32.551011,-0.058966074,12.448383,552.02947,19.092593,369.60218,0.77016994,-4.5522575,-0.008246403,16.413722,552.02947,-32.055556,369.60218,0.96743736,-145.19847,-0.15880079,12.448383,914.34346,19.092593,1365.2524,0.42885789,280.77341,0.30707652,16.413722,914.34346,-32.055556,1365.2524,0.11922595,86.093486,0.094158803,0.29487551,914.34346,0.081481481,1365.2524,0.64039083,585.02719,0.63983307,13.726729,914.34346,-72,1365.2524,0.00032583355,-551.23666,-0.60287702,0.002082739,914.34346,0.0065756873,1365.2524,0.00087374547,698.29621,0.76371324,5.4315193,914.34346,18.079074,1365.2524,3.5741814e-06,16439.218,292294.66,1.2098865,369.60218,1,2
5.816512,0.41170486,2.1134052,14.127868,10.607407,18.445502,0.032866336,-5.629675,-0.29079337,2.1134052,19.359709,10.607407,-31.225822,0.14114951,-0.017180578,-0.17344728,2.1134052,0.099053606,10.607407,0.023809524,0.38693068,-1.1294744,-0.073459252,2.1134052,15.375523,10.607407,-68.185185,0.71575626,0.00022699137,0.11284854,14.127868,0.0020114693,18.445502,0.0065412536,0.57518832,-0.00013310022,-0.066170642,0.099053606,0.0020114693,0.023809524,0.0065412536,0.74297013,0.56134359,0.10350124,19.359709,5.4235445,-31.225822,17.33963,0.60743155,-87.506209,-0.099392397,2.1134052,880.41149,10.607407,1278.5501,0.62183999,-31.644687,-0.057491293,14.127868,550.42573,18.445502,365.40744,0.7757718,9.2746562,0.016849969,19.359709,550.42573,-31.225822,365.40744,0.93351941,-67.764639,-0.076969281,14.127868,880.41149,18.445502,1278.5501,0.70276833,216.87095,0.24632907,19.359709,880.41149,-31.225822,1278.5501,0.21549702,-39.571749,-0.044946879,0.099053606,880.41149,0.023809524,1278.5501,0.82383771,415.02372,0.47139743,15.375523,880.41149,-68.185185,1278.5501,0.013060469,-512.14207,-0.58170762,0.0020114693,880.41149,0.0065412536,1278.5501,0.001459231,664.81833,0.75512227,5.4235445,880.41149,17.33963,1278.5501,5.307527e-06,16353.134,291534.24,1.2120822,365.40744,1,3
2.8652341,0.18711435,2.0958207,15.312743,10.564815,18.646091,0.35001589,-3.291171,-0.16479702,2.0958207,19.971059,10.564815,-29.644841,0.41140167,-0.14211387,-0.29937119,2.0958207,0.4747079,10.564815,0.2228836,0.12926474,-2.5018587,-0.12010982,2.0958207,20.82976,10.564815,-63.925926,0.55067845,0.00027336646,0.14042262,15.312743,0.001946741,18.646091,0.0065625317,0.48479928,8.6302272e-05,0.044331667,0.4747079,0.001946741,0.2228836,0.0065625317,0.82621253,0.18426261,0.033742897,19.971059,5.460782,-29.644841,16.765741,0.86730401,-39.49566,-0.046610719,2.0958207,847.35143,10.564815,1193.4048,0.81742265,99.441531,0.17879006,15.312743,556.1916,18.646091,367.40167,0.37224265,-2.825034,-0.0050792461,19.971059,556.1916,-29.644841,367.40167,0.97994029,15.144041,0.017872208,15.312743,847.35143,18.646091,1193.4048,0.92949581,51.444213,0.060711779,19.971059,847.35143,-29.644841,1193.4048,0.76355353,-15.79948,-0.018645723,0.4747079,847.35143,0.2228836,1193.4048,0.92645232,172.16949,0.20318546,20.82976,847.35143,-63.925926,1193.4048,0.30940196,-472.53603,-0.5576624,0.001946741,847.35143,0.0065625317,1193.4048,0.0025092895,645.89922,0.7622566,5.460782,847.35143,16.765741,1193.4048,3.8263923e-06,16406.329,290917.61,1.2137848,367.40167,1,4
3.8106942,0.2958746,2.0342421,12.879423,10.527778,20.467283,0.13401794,-2.7680461,-0.18504909,2.0342421,14.958442,10.527778,-24.796296,0.35545515,-0.007168927,-0.016058541,2.0342421,0.44642454,10.527778,0.20555556,0.93663562,-4.819042,-0.31015745,2.0342421,15.537405,10.527778,-39.759259,0.1153768,0.00032255925,0.16611979,12.879423,0.0019417268,20.467283,0.0066615785,0.40760486,-0.00044100363,-0.2271193,0.44642454,0.0019417268,0.20555556,0.0066615785,0.25459063,-0.060977106,-0.011591481,14.958442,5.2605106,-24.796296,16.431852,0.95424026,-60.225212,-0.074645136,2.0342421,806.82032,10.527778,1122.7783,0.71135936,35.073797,0.061257862,12.879423,572.55992,20.467283,374.31608,0.76148712,53.51493,0.093466078,14.958442,572.55992,-24.796296,374.31608,0.64286244,-149.01264,-0.18469123,12.879423,806.82032,20.467283,1122.7783,0.35640272,171.1758,0.212161,14.958442,806.82032,-24.796296,1122.7783,0.28804963,-51.039147,-0.06325962,0.44642454,806.82032,0.20555556,1122.7783,0.75392607,67.77998,0.084008766,15.537405,806.82032,-39.759259,1122.7783,0.67696772,-437.90887,-0.54275886,0.0019417268,806.82032,0.0066615785,1122.7783,0.0034426118,593.01873,0.73500719,5.2605106,806.82032,16.431852,1122.7783,1.2624583e-05,16653.946,290541.04,1.2146012,374.31608,1,5
3.7862235,0.20026755,1.9652175,18.905826,10.485185,62.419754,0.31654938,-0.50787098,-0.021787501,1.9652175,23.310199,10.485185,-17,0.91410144,-0.01148709,-0.067783095,1.9652175,0.16946836,10.485185,1.098005,0.7369223,0.30443989,0.012205733,1.9652175,24.942369,10.485185,79.888889,0.95181807,-4.9229269e-06,-0.0025808671,18.905826,0.0019074701,62.419754,0.0072335026,0.98980651,-0.00015283346,-0.080123647,0.16946836,0.0019074701,1.098005,0.0072335026,0.69116539,-2.7585771,-0.59223104,23.310199,4.6579407,-17,17.571852,0.0011358123,-0.85914415,-0.0012827142,1.9652175,669.78611,10.485185,1100.9803,0.99493365,173.20929,0.30322669,18.905826,571.22046,62.419754,412.71844,0.12416741,-67.756853,-0.11861769,23.310199,571.22046,-17,412.71844,0.55567538,-87.703118,-0.13094198,18.905826,669.78611,62.419754,1100.9803,0.51503921,-257.02533,-0.3837424,23.310199,669.78611,-17,1100.9803,0.048151758,279.39157,0.41713551,0.16946836,669.78611,1.098005,1100.9803,0.03040958,-16.417521,-0.024511588,24.942369,669.78611,79.888889,1100.9803,0.90340821,-327.14791,-0.48843638,0.0019074701,669.78611,0.0072335026,1100.9803,0.0097384241,460.62597,0.68772099,4.6579407,669.78611,17.571852,1100.9803,7.3754782e-05,18083.757,291652.78,1.209348,412.71844,1,6
22.692411,0.39936842,1.9026766,56.820743,10.453704,163.40741,0.039041081,-6.2503044,-0.095796435,1.9026766,65.24569,10.453704,-14,0.63456274,-0.025874974,-0.14378587,1.9026766,0.17995492,10.453704,0.99354065,0.47429326,13.006943,0.30787118,1.9026766,42.248004,10.453704,265.51852,0.11822423,-0.00021017435,-0.10282247,56.820743,0.0020440508,163.40741,0.0077754112,0.60980213,0.00040000807,0.1956938,0.17995492,0.0020440508,0.99354065,0.0077754112,0.3279555,-4.1141489,-0.82605049,65.24569,4.9805054,-14,20.278704,1.1184342e-07,54.934653,0.092722098,1.9026766,592.4656,10.453704,1301.8284,0.64552106,54.532841,0.09633628,56.820743,566.06754,163.40741,479.30798,0.63264614,71.117962,0.12563512,65.24569,566.06754,-14,479.30798,0.53235797,378.61951,0.63905738,56.820743,592.4656,163.40741,1301.8284,0.00033308534,-488.28998,-0.82416597,65.24569,592.4656,-14,1301.8284,1.265882e-07,383.65853,0.64756255,0.17995492,592.4656,0.99354065,1301.8284,0.00026079482,165.52348,0.27938075,42.248004,592.4656,265.51852,1301.8284,0.15815699,-183.43733,-0.30961685,0.0020440508,592.4656,0.0077754112,1301.8284,0.11604547,404.7755,0.68320507,4.9805054,592.4656,20.278704,1301.8284,8.5835487e-05,19438.528,294343.97,1.1984483,479.30798,1,7
35.618546,0.43975108,1.8287024,80.997063,10.412963,273.2037,0.021718945,-19.762059,-0.20246797,1.8287024,97.605852,10.412963,0.46296296,0.31115009,0.01577533,0.080361369,1.8287024,0.19630489,10.412963,0.95072425,0.69029367,10.359345,0.2274258,1.8287024,45.55044,10.412963,453.14815,0.25393277,5.4875966e-05,0.026124209,80.997063,0.0021005791,273.2037,0.0080287912,0.89708559,0.000552399,0.26297462,0.19630489,0.0021005791,0.95072425,0.0080287912,0.18508324,-4.5572714,-0.83371283,97.605852,5.4662364,0.46296296,22.937037,6.6554545e-08,93.126354,0.16429336,1.8287024,566.82968,10.412963,1573.5498,0.41285249,139.55867,0.2489762,80.997063,560.53015,273.2037,614.60852,0.2104477,65.360299,0.11660443,97.605852,560.53015,0.46296296,614.60852,0.56245024,297.49302,0.5248367,80.997063,566.82968,273.2037,1573.5498,0.0049432366,-457.32508,-0.80681216,97.605852,566.82968,0.46296296,1573.5498,3.7132459e-07,459.91892,0.81138822,0.19630489,566.82968,0.95072425,1573.5498,2.8258412e-07,111.87964,0.19737788,45.55044,566.82968,453.14815,1573.5498,0.32372695,-73.002758,-0.12879135,0.0021005791,566.82968,0.0080287912,1573.5498,0.52202447,407.2456,0.71846201,5.4662364,566.82968,22.937037,1573.5498,2.4359167e-05,20071.978,297012.23,1.1819717,614.60852,1,8
