SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
20.243953,0.796423,8.4721119,25.418594,14.152337,30.814666,1.5380648e-27,-10.656449,-0.37252696,8.4721119,28.605845,14.152337,92.143926,2.790116e-05,0.090769704,0.52433016,8.4721119,0.17311555,14.152337,0.2385131,7.9266718e-10,11.585458,0.26717233,8.4721119,43.36324,14.152337,168.10504,0.0031786439,0.0011314444,0.54495247,25.418594,0.0020762258,30.814666,0.0075138695,1.2355887e-10,0.0012516642,0.60285551,0.17311555,0.0020762258,0.2385131,0.0075138695,3.2023667e-13,-0.60736112,-0.13724524,28.605845,4.4253712,92.143926,23.828868,0.13496852,-342.86863,-0.53395706,8.4721119,642.12772,14.152337,1853.7234,3.3808914e-10,-80.616684,-0.33377737,25.418594,241.52831,30.814666,845.23474,0.00019492567,93.141422,0.38563356,28.605845,241.52831,92.143926,845.23474,1.3635288e-05,-317.93053,-0.4951204,25.418594,642.12772,30.814666,1853.7234,8.9913921e-09,172.40676,0.26849295,28.605845,642.12772,92.143926,1853.7234,0.0030263219,-291.08275,-0.45330974,0.17311555,642.12772,0.2385131,1853.7234,2.002292e-07,20.145203,0.03137258,43.36324,642.12772,168.10504,1853.7234,0.73373906,-360.65602,-0.56165777,0.0020762258,642.12772,0.0075138695,1853.7234,2.4924516e-11,439.16685,0.68392446,4.4253712,642.12772,23.828868,1853.7234,7.3576724e-18,18784.674,299026.76,1.1455559,845.23474,1,daily
3.7042778,0.36367278,8.6472306,10.185744,14.147917,4.5817229,4.4487681e-05,-1.1629179,-0.082277977,8.6472306,14.134012,14.147917,-21.426105,0.37164722,-0.030659271,-0.087174289,8.6472306,0.35170085,14.147917,0.16558858,0.34376363,4.2799644,0.18572219,8.6472306,23.044981,14.147917,-60.816667,0.042265695,0.00062984583,0.27978459,10.185744,0.0022511813,4.5817229,0.0079278387,0.0019690573,0.00010568652,0.046947139,0.35170085,0.0022511813,0.16558858,0.0079278387,0.61062739,0.14254143,0.032592805,14.134012,4.3734018,-21.426105,19.276625,0.72379373,-280.27222,-0.45309281,8.6472306,618.57574,14.147917,1172.5099,2.0326435e-07,73.035098,0.23929693,10.185744,305.207,4.5817229,344.23612,0.008481183,-142.89662,-0.46819576,14.134012,305.207,-21.426105,344.23612,6.9534e-08,-93.570397,-0.15126749,10.185744,618.57574,4.5817229,1172.5099,0.099104081,-30.24419,-0.048893268,14.134012,618.57574,-21.426105,1172.5099,0.59589689,-28.76942,-0.04650913,0.35170085,618.57574,0.16558858,1172.5099,0.61396459,-16.918842,-0.027351286,23.044981,618.57574,-60.816667,1172.5099,0.76681945,-331.35736,-0.53567791,0.0022511813,618.57574,0.0079278387,1172.5099,2.8949994e-10,386.67733,0.62510911,4.3734018,618.57574,19.276625,1172.5099,2.3233116e-14,19819.597,294456.46,1.1946736,344.23612,1,0
3.5981169,0.28984646,8.6226135,12.413872,14.0875,4.7354861,0.0013222931,-0.27763538,-0.019708396,8.6226135,14.087163,14.0875,-21.422029,0.8308156,0.013321027,0.041378715,8.6226135,0.32192944,14.0875,0.15524897,0.65362721,4.5932573,0.20215393,8.6226135,22.721582,14.0875,-60.166667,0.026813652,0.0004932635,0.22709719,12.413872,0.0021720369,4.7354861,0.0078979905,0.012618188,0.00053699453,0.24723085,0.32192944,0.0021720369,0.15524897,0.0078979905,0.0064824005,-0.35851012,-0.080043359,14.087163,4.478949,-21.422029,18.559042,0.38482041,-266.54443,-0.43654908,8.6226135,610.57152,14.0875,1086.5237,6.2121535e-07,32.47916,0.10657311,12.413872,304.75943,4.7354861,336.52046,0.24664655,-142.38302,-0.46719809,14.087163,304.75943,-21.422029,336.52046,7.4759925e-08,8.59555,0.014077876,12.413872,610.57152,4.7354861,1086.5237,0.87870679,-159.25812,-0.2608345,14.087163,610.57152,-21.422029,1086.5237,0.0040099844,-58.416866,-0.095675714,0.32192944,610.57152,0.15524897,1086.5237,0.29857615,-65.080698,-0.1065898,22.721582,610.57152,-60.166667,1086.5237,0.24657211,-302.25291,-0.49503277,0.0021720369,610.57152,0.0078979905,1086.5237,9.0540811e-09,395.55397,0.64784217,4.478949,610.57152,18.559042,1086.5237,1.271349e-15,19744.976,293752.83,1.1965528,336.52046,1,1
2.1728904,0.24293368,8.6081772,8.944377,14.024583,4.6675882,0.0075058536,-0.72101771,-0.04928829,8.6081772,14.62858,14.024583,-19.722188,0.59292656,-0.011585244,-0.032977811,8.6081772,0.35130421,14.024583,0.155042,0.72066521,4.6669414,0.2105254,8.6081772,22.168068,14.024583,-58.716667,0.021000179,0.00037066846,0.1758606,8.944377,0.0021077402,4.6675882,0.0078731185,0.054694663,0.00018344397,0.087033482,0.35130421,0.0021077402,0.155042,0.0078731185,0.3445466,-0.909386,-0.19487843,14.62858,4.6664272,-19.722188,18.051875,0.032929989,-253.93097,-0.41541779,8.6081772,611.26647,14.024583,1025.7597,2.3810467e-06,44.807367,0.1471359,8.944377,304.53049,4.6675882,331.66274,0.10878827,-135.58283,-0.44521922,14.62858,304.53049,-19.722188,331.66274,3.4847303e-07,13.34696,0.021834929,8.944377,611.26647,4.6675882,1025.7597,0.81287844,-176.55803,-0.2888397,14.62858,611.26647,-19.722188,1025.7597,0.0013769391,-102.08846,-0.16701139,0.35130421,611.26647,0.155042,1025.7597,0.068273701,-77.969444,-0.12755394,22.168068,611.26647,-58.716667,1025.7597,0.16503473,-270.32923,-0.44224449,0.0021077402,611.26647,0.0078731185,1025.7597,4.2569372e-07,417.06727,0.68230025,4.6664272,611.26647,18.051875,1025.7597,9.4263583e-18,19682.796,293257.41,1.1978239,331.66274,1,2
3.9583082,0.29819292,8.5849218,13.27432,13.975833,5.3299071,0.00093984776,-1.7394609,-0.11358336,8.5849218,15.314399,13.975833,-18.712744,0.216748,0.029385664,0.07975109,8.5849218,0.36846724,13.975833,0.18862882,0.38656395,4.5209701,0.20485723,8.5849218,22.068882,13.975833,-57.6125,0.024802214,0.00039514018,0.18772376,13.27432,0.0021049024,5.3299071,0.0078762758,0.040055384,0.00038947399,0.18503186,0.36846724,0.0021049024,0.18862882,0.0078762758,0.04305127,-0.77483829,-0.16373279,15.314399,4.7323343,-18.712744,17.57625,0.073952236,-243.45368,-0.40820723,8.5849218,596.39729,13.975833,965.17249,3.689735e-06,56.926128,0.18796046,13.27432,302.86226,5.3299071,330.58325,0.03980052,-132.13399,-0.43628411,15.314399,302.86226,-18.712744,330.58325,6.3212989e-07,6.5316911,0.010951913,13.27432,596.39729,5.3299071,965.17249,0.90549719,-141.8655,-0.2378708,15.314399,596.39729,-18.712744,965.17249,0.0088931864,-92.562059,-0.15520201,0.36846724,596.39729,0.18862882,965.17249,0.090525912,-30.954447,-0.051902393,22.068882,596.39729,-57.6125,965.17249,0.57344114,-241.55052,-0.40501613,0.0021049024,596.39729,0.0078762758,965.17249,4.4645892e-06,405.5798,0.6800497,4.7323343,596.39729,17.57625,965.17249,1.3252621e-17,19690.69,292771.61,1.1990369,330.58325,1,3
0.71691138,0.053396125,8.5694051,13.426281,13.92375,4.9184226,0.56244322,0.028479025,0.0020058465,8.5694051,14.198008,13.92375,-17.746932,0.98265298,0.0037385021,0.011445079,8.5694051,0.32664712,13.92375,0.16329466,0.90126276,3.9865961,0.18367422,8.5694051,21.704712,13.92375,-55.795833,0.044631763,-7.7388474e-05,-0.036900212,13.426281,0.0020972366,4.9184226,0.0078820312,0.68906303,-6.9896949e-05,-0.033328118,0.32664712,0.0020972366,0.16329466,0.0078820312,0.71782266,-1.1030186,-0.23193475,14.198008,4.755728,-17.746932,17.101817,0.01080377,-225.66669,-0.38709733,8.5694051,582.97143,13.92375,903.30201,1.2563245e-05,19.558159,0.066632581,13.426281,293.52246,4.9184226,326.69276,0.46962615,-102.36886,-0.3487599,14.198008,293.52246,-17.746932,326.69276,9.469842e-05,94.707649,0.16245676,13.426281,582.97143,4.9184226,903.30201,0.076262857,-200.19707,-0.34340804,14.198008,582.97143,-17.746932,903.30201,0.00012307214,-41.113256,-0.07052362,0.32664712,582.97143,0.16329466,903.30201,0.44402443,-24.882782,-0.042682678,21.704712,582.97143,-55.795833,903.30201,0.64344868,-220.5282,-0.37828303,0.0020972366,582.97143,0.0078820312,903.30201,2.0450296e-05,395.25118,0.67799408,4.755728,582.97143,17.101817,903.30201,1.8042608e-17,19705.078,292262.79,1.2007933,326.69276,1,4
4.0783367,0.23215527,8.5643364,17.56728,13.948739,7.5167197,0.011066422,-0.32736864,-0.022886813,8.5643364,14.30381,13.948739,-14.885127,0.80485969,0.082502641,0.18227254,8.5643364,0.45263339,13.948739,0.30530244,0.04725314,4.8244198,0.24351379,8.5575609,19.811691,13.884167,-38.883333,0.0073598204,0.00032666716,0.15776069,17.56728,0.0020706499,7.5167197,0.007922277,0.086611677,0.000436192,0.21065464,0.45263339,0.0020706499,0.30530244,0.007922277,0.021471871,-1.9427633,-0.40091908,14.30381,4.845774,-14.885127,17.118794,6.2314086e-06,-214.19713,-0.35963735,8.5575609,595.59202,13.884167,892.72497,5.4781885e-05,74.080526,0.26518868,17.56728,279.35025,7.5167197,314.25537,0.0035602406,-119.00529,-0.42600743,14.30381,279.35025,-14.885127,314.25537,1.3629831e-06,44.803059,0.07491051,17.56728,598.08775,7.5167197,893.19798,0.41811828,-238.00513,-0.3979435,14.30381,598.08775,-14.885127,893.19798,7.4027849e-06,-137.80759,-0.23041366,0.45263339,598.08775,0.30530244,893.19798,0.011702082,-65.260615,-0.10957268,19.811691,595.59202,-38.883333,892.72497,0.23352173,-215.84605,-0.36240588,0.0020749971,595.59202,0.0079435005,892.72497,4.750615e-05,415.64241,0.69786431,4.8396967,595.59202,17.152762,892.72497,8.1991717e-19,19858.751,292271.86,1.2020323,317.65677,1,5
7.8102387,0.43883501,8.5791498,17.797666,13.884454,23.33075,5.9689603e-07,-3.6966013,-0.19122821,8.5791498,19.330836,13.884454,18.485444,0.037223794,0.12970209,0.37477782,8.5791498,0.34607727,13.884454,0.55099034,2.6774444e-05,6.9291259,0.26139554,8.5492911,26.508203,13.854583,50.491667,0.0039292263,0.00037648199,0.1742681,17.797666,0.0021603609,23.33075,0.0080191272,0.058025452,0.00076379951,0.35355181,0.34607727,0.0021603609,0.55099034,0.0080191272,8.0048586e-05,-1.8434722,-0.40037391,19.330836,4.6043764,18.485444,19.155504,6.4320044e-06,-244.27176,-0.38069177,8.5492911,641.65232,13.854583,1125.0967,1.7925808e-05,43.906162,0.15304466,17.797666,286.88464,23.33075,328.32094,0.096572475,16.260928,0.056681067,19.330836,286.88464,18.485444,328.32094,0.54035024,-101.40954,-0.15761275,17.797666,643.40947,23.33075,1128.2862,0.086911185,-27.624084,-0.04293391,19.330836,643.40947,18.485444,1128.2862,0.64291721,-19.304624,-0.030003636,0.34607727,643.40947,0.55099034,1128.2862,0.7459992,-52.245559,-0.08142347,26.508203,641.65232,50.491667,1125.0967,0.37665163,-315.71426,-0.49203322,0.002177314,641.65232,0.0080497807,1125.0967,1.1471406e-08,437.32597,0.68156221,4.5943701,641.65232,19.182292,1125.0967,1.0544125e-17,20124.452,294264.83,1.1974733,329.58536,1,6
15.976203,0.56940408,8.0567398,28.05776,13.606723,37.072712,1.405297e-11,-12.608835,-0.31607428,8.5472832,39.891999,13.875833,87.175074,0.00043681032,0.14289795,0.57559921,8.0567398,0.24825946,13.606723,0.30763526,7.5024056e-12,3.5106668,0.062298024,8.5472832,56.352779,13.875833,191.69583,0.49906946,0.000625953,0.27951297,28.05776,0.0022394417,37.072712,0.0078957792,0.0020801336,0.0012197762,0.54467872,0.24825946,0.0022394417,0.30763526,0.0078957792,1.5175611e-10,-0.74295269,-0.16015891,39.891999,4.6388471,87.175074,21.473371,0.080570128,-290.77462,-0.41885052,8.5472832,694.22051,13.875833,1442.3779,1.925949e-06,30.664784,0.10224065,28.05776,299.92751,37.072712,415.73243,0.26853454,47.415898,0.15808836,39.891999,299.93289,87.175074,413.21719,0.084616414,-209.81085,-0.30612921,28.05776,685.36696,37.072712,1453.983,0.00070946312,174.04361,0.25070364,39.891999,694.22051,87.175074,1442.3779,0.0057478998,-276.21967,-0.40302449,0.24825946,685.36696,0.30763526,1453.983,5.5108432e-06,110.37924,0.15899738,56.352779,694.22051,191.69583,1442.3779,0.082820454,-394.30403,-0.56798095,0.0023054975,694.22051,0.0079491929,1442.3779,1.3280801e-11,468.91562,0.67545631,4.6388471,694.22051,21.473371,1442.3779,2.6317152e-17,19872.982,296525.29,1.186434,413.21719,1,7
24.681924,0.64150858,8.5895921,38.474816,13.955462,49.197828,3.8315651e-15,-15.561875,-0.26323493,8.5895921,59.11782,13.955462,163.79336,0.0038226419,0.12053628,0.53605545,8.5895921,0.22485786,13.955462,0.25254311,3.3277384e-10,5.4030399,0.062112049,8.5549263,86.988597,13.940833,338.94583,0.50035404,0.00088947382,0.36626435,38.474816,0.0024285023,49.197828,0.0078528983,4.1928265e-05,0.0013632621,0.56135921,0.22485786,0.0024285023,0.25254311,0.0078528983,3.1143472e-11,-0.31591488,-0.067136333,59.11782,4.7055725,163.79336,23.317382,0.46817013,-327.92967,-0.44046844,8.5549263,744.50206,13.940833,1715.9994,4.7929713e-07,10.399184,0.034029565,38.474816,305.59263,49.197828,536.91901,0.71331556,58.303199,0.19078732,59.11782,305.59263,163.79336,536.91901,0.037671848,-273.24894,-0.37181353,38.474816,734.90853,49.197828,1703.5056,3.1344591e-05,199.74592,0.27179698,59.11782,734.90853,163.79336,1703.5056,0.0027882963,-389.52362,-0.53003007,0.22485786,734.90853,0.25254311,1703.5056,5.6855555e-10,129.25726,0.17361572,86.988597,744.50206,338.94583,1715.9994,0.05790897,-453.8363,-0.60958367,0.0024182773,744.50206,0.0078527909,1715.9994,1.4803827e-13,507.71298,0.68194973,4.8231879,744.50206,23.421737,1715.9994,9.9420406e-18,19631.977,298467.77,1.1726704,537.06384,1,8
