SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
20.653063,0.69491066,3.2031554,29.720458,2.7139727,39.674784,1.4333636e-09,-30.801664,-0.8161076,3.2031554,37.74216,2.7139727,100.88294,5.946072e-15,0.28042676,0.83537425,3.2031554,0.33568997,2.7139727,0.36911726,3.5242578e-16,-9.7929352,-0.3239184,3.2031554,30.232723,2.7139727,152.21624,0.01312119,0.0018638205,0.47952826,29.720458,0.0038867793,39.674784,0.0080593738,0.00013975981,0.0031008312,0.79778936,0.33568997,0.0038867793,0.36911726,0.0080593738,6.531875e-14,1.4766459,0.44241127,37.74216,3.3377221,100.88294,31.113718,0.00050656747,-763.80588,-0.71038216,3.2031554,1075.2042,2.7139727,2873.4273,4.2175459e-10,-205.7825,-0.59036632,29.720458,348.56749,39.674784,1247.5812,1.0733419e-06,244.7618,0.70219342,37.74216,348.56749,100.88294,1247.5812,8.1370226e-10,-491.33399,-0.45696808,29.720458,1075.2042,39.674784,2873.4273,0.00031106679,875.03528,0.81383172,37.74216,1075.2042,100.88294,2873.4273,8.1228374e-15,-846.65257,-0.78743421,0.33568997,1075.2042,0.36911726,2873.4273,2.2775716e-13,509.99898,0.47432756,30.232723,1075.2042,152.21624,2873.4273,0.00016890113,-1039.101,-0.966422,0.0038867793,1075.2042,0.0080593738,2873.4273,9.8332446e-35,590.24888,0.54896445,3.3377221,1075.2042,31.113718,2873.4273,8.1187064e-06,20148.435,310719.59,1.0497827,1247.5812,1,daily
9.9393925,0.67840247,3.2803832,14.651174,2.8525862,12.824945,4.8738917e-09,3.6179501,0.32992099,3.2803832,10.966111,2.8525862,-17.819243,0.011433663,0.3991672,0.73706194,3.2803832,0.54156534,2.8525862,0.37014131,4.1979657e-11,19.123775,0.73300646,3.2803832,26.089504,2.8525862,-70.491379,6.0672633e-11,0.0022946761,0.52727848,14.651174,0.0043519244,12.824945,0.0085543657,2.1126924e-05,0.0032763833,0.75285851,0.54156534,0.0043519244,0.37014131,0.0085543657,9.3547536e-12,-0.55214976,-0.17570724,10.966111,3.1424417,-17.819243,28.481638,0.18706636,-746.80654,-0.6840771,3.2803832,1091.6994,2.8525862,2441.9305,3.228968e-09,-21.709135,-0.083194808,14.651174,260.94338,12.824945,352.19582,0.53467986,-17.002939,-0.065159496,10.966111,260.94338,-17.819243,352.19582,0.62699951,-570.73518,-0.52279519,14.651174,1091.6994,12.824945,2441.9305,2.5538447e-05,-592.67887,-0.54289568,10.966111,1091.6994,-17.819243,2441.9305,1.0681512e-05,-827.17431,-0.75769423,0.54156534,1091.6994,0.37014131,2441.9305,5.775879e-12,-955.5473,-0.87528429,26.089504,1091.6994,-70.491379,2441.9305,2.5892414e-19,-1055.8635,-0.96717424,0.0043519244,1091.6994,0.0085543657,2441.9305,5.2662323e-35,403.24936,0.36937766,3.1424417,1091.6994,28.481638,2441.9305,0.0043236822,21385.914,307982.52,1.1193723,352.19582,1,0
9.0539207,0.71931019,3.3161543,12.586949,2.8974138,12.792168,2.0068894e-10,3.7189755,0.35791395,3.3161543,10.390697,2.8974138,-17.789451,0.005807079,0.35666155,0.65143072,3.3161543,0.54750495,2.8974138,0.37304044,3.0660829e-08,19.0159,0.73891539,3.3161543,25.734881,2.8974138,-68.663793,3.5396483e-11,0.0025248129,0.57721008,12.586949,0.0043741663,12.792168,0.0086635122,2.1040836e-06,0.0032198373,0.73610308,0.54750495,0.0043741663,0.37304044,0.0086635122,4.5826921e-11,-0.26259453,-0.085156478,10.390697,3.0836706,-17.789451,27.546293,0.52505624,-693.87351,-0.66721496,3.3161543,1039.955,2.8974138,2298.4398,1.0693006e-08,16.44254,0.065453791,12.586949,251.20837,12.792168,342.6762,0.62544081,-47.579785,-0.18940367,10.390697,251.20837,-17.789451,342.6762,0.15445208,-586.03511,-0.5635197,12.586949,1039.955,12.792168,2298.4398,4.1119103e-06,-605.43937,-0.58217845,10.390697,1039.955,-17.789451,2298.4398,1.6374619e-06,-737.00014,-0.70868467,0.54750495,1039.955,0.37304044,2298.4398,4.8419825e-10,-880.98147,-0.84713425,25.734881,1039.955,-68.663793,2298.4398,5.220325e-17,-1003.5742,-0.96501699,0.0043741663,1039.955,0.0086635122,2298.4398,3.0414366e-34,279.53505,0.26879535,3.0836706,1039.955,27.546293,2298.4398,0.041326662,21658.781,307062.04,1.1214464,342.6762,1,1
8.830589,0.60744691,3.2994602,14.537219,2.9336207,13.17823,4.27935e-07,3.1555318,0.29293722,3.2994602,10.772041,2.9336207,-17.534453,0.025642621,0.36091556,0.63793573,3.2994602,0.56575537,2.9336207,0.39701507,7.1965138e-08,17.434088,0.72700488,3.2994602,23.980703,2.9336207,-67.931034,1.0338986e-10,0.002249033,0.51290153,14.537219,0.0043849217,13.17823,0.0087899905,3.8448659e-05,0.0030879964,0.70423068,0.56575537,0.0043849217,0.39701507,0.0087899905,6.9240622e-10,-0.45319932,-0.14403164,10.772041,3.1465261,-17.534453,26.773276,0.28073474,-660.72907,-0.66113363,3.2994602,999.38808,2.9336207,2169.1677,1.6164725e-08,-12.78039,-0.049299481,14.537219,259.23986,13.17823,343.71471,0.71324303,-35.995543,-0.13885034,10.772041,259.23986,-17.534453,343.71471,0.29858206,-487.09818,-0.48739643,14.537219,999.38808,13.17823,2169.1677,0.00010433064,-497.39111,-0.49769566,10.772041,999.38808,-17.534453,2169.1677,7.0383915e-05,-709.7242,-0.71015876,0.56575537,999.38808,0.39701507,2169.1677,4.2951256e-10,-870.10543,-0.87063819,23.980703,999.38808,-67.931034,2169.1677,6.7607415e-19,-959.18746,-0.95977476,0.0043849217,999.38808,0.0087899905,2169.1677,1.4152487e-32,210.97901,0.21110819,3.1465261,999.38808,26.773276,2169.1677,0.11166834,21974.976,306297.26,1.1225746,343.71471,1,2
5.9352304,0.51877818,3.5491158,11.440786,3.0198276,12.30288,3.0199874e-05,5.0384442,0.41125973,3.5491158,12.251246,3.0198276,-18.663956,0.0013409427,0.35986302,0.61965064,3.5491158,0.58075147,3.0198276,0.43586481,2.1447239e-07,16.33029,0.67742143,3.5491158,24.106545,3.0198276,-65.37931,5.2286562e-09,0.0023899425,0.54142162,11.440786,0.0044141985,12.30288,0.0088576083,1.1408391e-05,0.0036299302,0.82233053,0.58075147,0.0044141985,0.43586481,0.0088576083,2.4777837e-15,-0.13026528,-0.041985515,12.251246,3.1026243,-18.663956,26.153793,0.75433417,-627.55529,-0.63561841,3.5491158,987.31452,3.0198276,2078.617,8.2974956e-08,6.6792004,0.025769041,11.440786,259.19476,12.30288,335.52457,0.8477337,-55.538023,-0.21427139,12.251246,259.19476,-18.663956,335.52457,0.10628045,-513.33979,-0.51993542,11.440786,987.31452,12.30288,2078.617,2.878219e-05,-585.02114,-0.59253776,12.251246,987.31452,-18.663956,2078.617,9.5772456e-07,-817.08375,-0.82758203,0.58075147,987.31452,0.43586481,2078.617,1.1523336e-15,-834.55114,-0.84527385,24.106545,987.31452,-65.37931,2078.617,7.1359753e-17,-945.84283,-0.95799547,0.0044141985,987.31452,0.0088576083,2078.617,4.6440346e-32,168.6409,0.17080768,3.1026243,987.31452,26.153793,2078.617,0.19985678,22144.021,305677.09,1.1242476,335.52457,1,3
7.3347844,0.65526111,3.4761721,11.193682,3.0353448,11.435853,2.3879686e-08,4.1289375,0.35560309,3.4761721,11.611084,3.0353448,-17.596661,0.006155078,0.35549056,0.62133294,3.4761721,0.57214182,3.0353448,0.42023537,1.9453913e-07,16.106072,0.67110253,3.4761721,23.99942,3.0353448,-63.810345,8.169292e-09,0.0025307371,0.58692725,11.193682,0.0043118413,11.435853,0.0088504371,1.2835001e-06,0.003398305,0.78813314,0.57214182,0.0043118413,0.42023537,0.0088504371,2.0980288e-13,-0.394894,-0.12544345,11.611084,3.1479841,-17.596661,25.598966,0.34810803,-633.11376,-0.65139108,3.4761721,971.94109,3.0353448,2003.0597,3.0739679e-08,1.4456016,0.0056438318,11.193682,256.13831,11.435853,328.79365,0.9664614,-65.606865,-0.25613843,11.611084,256.13831,-17.596661,328.79365,0.052289996,-536.29848,-0.55178085,11.193682,971.94109,11.435853,2003.0597,7.1350832e-06,-562.43341,-0.57867027,11.611084,971.94109,-17.596661,2003.0597,1.9554469e-06,-762.84821,-0.78487083,0.57214182,971.94109,0.42023537,2003.0597,3.0699223e-13,-791.09343,-0.81393146,23.99942,971.94109,-63.810345,2003.0597,8.0132539e-15,-924.91236,-0.9516136,0.0043118413,971.94109,0.0088504371,2003.0597,2.2384597e-30,172.59167,0.17757421,3.1479841,971.94109,25.598966,2003.0597,0.18235081,22126.093,305102.23,1.1259434,328.79365,1,4
5.7308907,0.57584181,3.3335774,9.9521962,3.0232759,10.244658,2.2528784e-06,4.9002265,0.41463918,3.3335774,11.81805,3.0232759,-17.222682,0.0012119013,0.35957224,0.63760268,3.3335774,0.56394405,3.0232759,0.40452468,7.345807e-08,15.597583,0.6761543,3.3335774,23.068082,3.0232759,-63.672414,5.7230992e-09,0.0027399394,0.63677446,9.9521962,0.0043028412,10.244658,0.0088312131,7.7298053e-08,0.0034307764,0.79732814,0.56394405,0.0043028412,0.40452468,0.0088312131,6.9160844e-14,-0.48531198,-0.15245123,11.81805,3.1833916,-17.222682,25.184224,0.25326586,-634.88427,-0.65554476,3.3335774,968.48347,3.0232759,1953.7275,2.343842e-08,36.480012,0.14603343,9.9521962,249.8059,10.244658,325.69854,0.27403227,-51.0024,-0.20416812,11.81805,249.8059,-17.222682,325.69854,0.12422157,-570.91376,-0.58949252,9.9521962,968.48347,10.244658,1953.7275,1.1234517e-06,-607.63881,-0.62741268,11.81805,968.48347,-17.222682,1953.7275,1.3608181e-07,-755.67425,-0.78026551,0.56394405,968.48347,0.40452468,1953.7275,5.1963655e-13,-775.32691,-0.80055771,23.068082,968.48347,-63.672414,1953.7275,4.6205396e-14,-913.87557,-0.94361504,0.0043028412,968.48347,0.0088312131,1953.7275,1.4583237e-28,172.62452,0.17824209,3.1833916,968.48347,25.184224,1953.7275,0.18068489,22078.033,304640.71,1.1274632,325.69854,1,5
6.9818657,0.65555567,3.3087005,10.650302,3.0491071,9.8099552,4.1788629e-08,2.9306543,0.19398681,3.3087005,15.107492,3.0491071,-13.537214,0.1519803,0.34621036,0.60664019,3.3087005,0.57070133,3.0491071,0.46150748,7.202435e-07,13.985164,0.6803157,3.2552364,20.556874,3.0310345,-58.181034,4.2464993e-09,0.0023496295,0.52568579,10.650302,0.0044696463,9.8099552,0.008917335,3.1764241e-05,0.0031980156,0.71549636,0.57070133,0.0044696463,0.46150748,0.008917335,5.7664443e-10,-0.56187861,-0.16867455,15.107492,3.3311404,-13.537214,24.690357,0.21397754,-633.17731,-0.63780885,3.2552364,992.73835,3.0310345,1890.6489,7.2530483e-08,41.197416,0.16861143,10.650302,244.33348,9.8099552,329.4929,0.21415154,-59.45363,-0.24332985,15.107492,244.33348,-13.537214,329.4929,0.070744772,-504.77287,-0.50057267,10.650302,1008.3908,9.8099552,1886.6061,8.5346081e-05,-308.24955,-0.30568461,15.107492,1008.3908,-13.537214,1886.6061,0.021958652,-718.67697,-0.71269688,0.57070133,1008.3908,0.46150748,1886.6061,7.2138509e-10,-720.15493,-0.72542269,20.556874,992.73835,-58.181034,1890.6489,1.1871183e-10,-924.50346,-0.93126598,0.0044002938,992.73835,0.0088956801,1890.6489,3.1628705e-26,196.0955,0.1975299,3.2829975,992.73835,24.740172,1890.6489,0.13720431,22239.2,304127.96,1.1293673,322.01745,1,6
7.720368,0.34647286,3.3428756,22.28275,3.1116071,31.156745,0.0089003895,-7.0242169,-0.38981525,3.3428756,18.019349,3.1116071,12.161495,0.0029802349,0.20669111,0.59728364,3.3428756,0.34605186,3.1116071,0.67815023,1.1770924e-06,-6.6084741,-0.2462566,3.2967969,26.835724,3.0784483,35.362069,0.06240352,0.0019329956,0.42263331,22.28275,0.0045736943,31.156745,0.0088186171,0.0011750526,0.0025022822,0.54710307,0.34605186,0.0045736943,0.67815023,0.0088186171,1.2824898e-05,0.074107849,0.02254455,18.019349,3.2871735,12.161495,25.834196,0.86900399,-708.94052,-0.6491583,3.2967969,1092.0919,3.0784483,2060.6835,3.5502924e-08,-70.917005,-0.27611474,22.28275,256.8389,31.156745,398.5895,0.039409705,63.565824,0.24749297,18.019349,256.8389,12.161495,398.5895,0.065912142,-414.01818,-0.37384736,22.28275,1107.4525,31.156745,2063.2715,0.0045365548,292.83392,0.26442121,18.019349,1107.4525,12.161495,2063.2715,0.048915913,-573.95253,-0.51826381,0.34605186,1107.4525,0.67815023,2063.2715,4.2887262e-05,289.69027,0.26526181,26.835724,1092.0919,35.362069,2060.6835,0.044177205,-1034.1614,-0.94695453,0.0045381787,1092.0919,0.0088841011,2060.6835,2.7595332e-29,365.18022,0.33438598,3.3036837,1092.0919,25.965,2060.6835,0.010303163,22210.253,305315.3,1.1223301,392.68453,1,7
11.716469,0.30843411,3.3738354,37.986945,3.0973214,54.850927,0.020736325,-33.685574,-0.72469618,3.3738354,46.482339,3.0973214,95.96575,2.7101226e-10,0.19426153,0.73845663,3.3738354,0.26306424,3.0973214,0.38983938,8.2653743e-11,-29.915138,-0.58725346,3.3578543,50.94076,3.1215517,196.87069,1.2620255e-06,0.001763923,0.40259475,37.986945,0.0043813859,54.850927,0.008177567,0.0020972377,0.0030163647,0.6884499,0.26306424,0.0043813859,0.38983938,0.008177567,4.5192137e-09,0.98345734,0.27272794,46.482339,3.6060014,95.96575,28.782232,0.041991296,-780.22009,-0.65061511,3.3578543,1199.2038,3.1215517,2543.0623,3.232221e-08,-85.607916,-0.22705712,37.986945,377.03251,54.850927,686.51024,0.092399147,70.106181,0.185942,46.482339,377.03251,95.96575,686.51024,0.17003903,-399.13337,-0.33151185,37.986945,1203.9792,54.850927,2579.3764,0.012564694,791.53155,0.65742958,46.482339,1203.9792,95.96575,2579.3764,3.708586e-08,-788.67162,-0.65505418,0.26306424,1203.9792,0.38983938,2579.3764,4.3139292e-08,762.8473,0.63612817,50.94076,1199.2038,196.87069,2543.0623,8.0424989e-08,-1151.0239,-0.95982345,0.004392376,1199.2038,0.0083362225,2543.0623,1.368945e-32,606.53052,0.5057777,3.5429167,1199.2038,28.791897,2543.0623,5.1221738e-05,20840.556,308162.52,1.0964698,675.76407,1,8
