SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.98515402,-0.043556221,1.4932395,22.617986,25.146927,84.690386,0.78957306,-11.121116,-0.26159199,1.4932395,42.513212,25.146927,52.399868,0.10299082,-0.00041797225,-0.0032838378,1.4932395,0.12728164,25.146927,0.46729367,0.98395541,-15.025701,-0.29156527,2.6582639,51.534604,26.838974,111.49139,0.022615446,-0.00021510624,-0.11489123,22.617986,0.0018722598,84.690386,0.008274638,0.48022712,0.00071611933,0.38248929,0.12728164,0.0018722598,0.46729367,0.008274638,0.0148594,-0.90306511,-0.19239313,42.513212,4.6938531,52.399868,16.907302,0.23429531,-84.064553,-0.13930477,2.6582639,603.45782,26.838974,863.06189,0.28429183,68.12133,0.2768849,22.617986,246.02761,84.690386,786.03874,0.083694357,67.508289,0.27439315,42.513212,246.02761,52.399868,786.03874,0.086630517,378.5707,0.57197353,22.617986,661.86751,84.690386,923.51457,0.00011537664,162.37338,0.24532611,42.513212,661.86751,52.399868,923.51457,0.12705916,-119.83803,-0.18106045,0.12728164,661.86751,0.46729367,923.51457,0.26352993,149.67257,0.24802491,51.534604,603.45782,111.49139,863.06189,0.053943071,-174.71448,-0.28952227,0.0019949584,603.45782,0.0087085943,863.06189,0.023625201,440.79528,0.73044919,4.8139724,603.45782,17.196445,863.06189,2.3694429e-11,21771.486,298148.98,1.0889555,743.8737,1,daily
0.35033561,0.0061763304,1.4332847,56.72229,25.087179,31.466915,0.97023261,-4.9007979,-0.17350597,1.4332847,28.245702,25.087179,-39.589077,0.29081807,-0.1338809,-0.28222264,1.4332847,0.47438044,25.087179,0.31555447,0.081732905,-9.5394435,-0.2554842,2.5451389,37.338683,26.40283,-68.707547,0.064837753,-0.00032384784,-0.15629762,56.72229,0.0020719947,31.466915,0.0081730721,0.34202175,-0.00018671085,-0.090111644,0.47438044,0.0020719947,0.31555447,0.0081730721,0.58537548,-2.5407835,-0.45717876,28.245702,5.5575275,-39.589077,15.267692,0.0034337362,67.380203,0.089463149,2.5451389,753.16154,26.40283,770.28757,0.52409196,51.486476,0.15686975,56.72229,328.21163,31.466915,330.35305,0.34023553,87.471127,0.26650831,28.245702,328.21163,-39.589077,330.35305,0.10100357,100.01937,0.12390116,56.72229,807.25126,31.466915,738.36433,0.45235746,-356.19357,-0.44124251,28.245702,807.25126,-39.589077,738.36433,0.0049265962,-134.34627,-0.16642436,0.47438044,807.25126,0.31555447,738.36433,0.31125663,-434.60884,-0.58569011,35.952585,742.04571,-67.347458,702.24571,1.0997358e-06,-234.9349,-0.31660435,0.0021416907,742.04571,0.008423537,702.24571,0.014563413,570.31948,0.76857728,5.6968875,742.04571,15.441864,702.24571,1.1865958e-12,21058.843,296382.76,1.1249698,312.80022,1,0
1.612831,0.028475414,1.4313768,56.639423,25.089744,27.485175,0.86337628,-3.0128557,-0.10270569,1.4313768,29.334847,25.089744,-36.363706,0.53382518,-0.065848694,-0.1213781,1.4313768,0.54250888,25.089744,0.37456732,0.46168691,-12.751197,-0.32093617,2.542745,39.731257,26.453704,-66.768519,0.017973016,-0.00012928052,-0.065282727,56.639423,0.0019803174,27.485175,0.008043412,0.69295524,-1.070609e-05,-0.0054062496,0.54250888,0.0019803174,0.37456732,0.008043412,0.97394273,-1.9959783,-0.35208462,29.334847,5.6690299,-36.363706,15.084615,0.027938307,53.329488,0.068314367,2.542745,780.64821,26.453704,770.75307,0.62354405,30.318535,0.08984422,56.639423,337.45671,27.485175,333.36083,0.58649369,104.02277,0.30825516,29.334847,337.45671,-36.363706,333.36083,0.056235915,117.41889,0.13976184,56.639423,840.13551,27.485175,743.84875,0.39610875,-332.47299,-0.39573734,29.334847,840.13551,-36.363706,743.84875,0.012641522,106.3265,0.12655874,0.54250888,840.13551,0.37456732,743.84875,0.44264215,-437.97295,-0.56917685,38.44845,769.48483,-64.966102,714.45476,2.5514815e-06,-242.24587,-0.31481566,0.0020367902,769.48483,0.0083098806,714.45476,0.015161187,606.40793,0.78807003,5.7925914,769.48483,15.353559,714.45476,1.2900012e-13,20774.701,296313.74,1.1250956,310.34603,1,1
-6.5050562,-0.099443883,1.4287403,65.414342,25.091026,23.469902,0.54696282,-1.4363546,-0.045158147,1.4287403,31.807209,25.091026,-38.216224,0.7848714,-0.035128231,-0.07997212,1.4287403,0.43925597,25.091026,0.2505641,0.62841918,-11.101688,-0.27542227,2.6080464,40.307881,26.601786,-63.705357,0.039926603,-0.00030665694,-0.15222205,65.414342,0.002014537,23.469902,0.007959989,0.35491175,-0.00035461567,-0.17602837,0.43925597,0.002014537,0.2505641,0.007959989,0.28375218,-2.2010686,-0.3831491,31.807209,5.7446791,-38.216224,14.902436,0.01605794,-27.776926,-0.034985849,2.6080464,793.94745,26.601786,718.4814,0.79796358,-27.830454,-0.085493267,65.414342,325.52802,23.469902,317.62009,0.60481866,120.01358,0.36867359,31.807209,325.52802,-38.216224,317.62009,0.020917174,180.56101,0.20826544,65.414342,866.97541,23.469902,744.0655,0.20326428,-349.93934,-0.40363237,31.807209,866.97541,-38.216224,744.0655,0.010830699,130.1683,0.15014071,0.43925597,866.97541,0.2505641,744.0655,0.36160637,-448.49759,-0.57126421,39.466852,785.0966,-62.762712,687.32627,2.2997707e-06,-253.92529,-0.32343191,0.0020977418,785.0966,0.0083383205,687.32627,0.012463879,611.20215,0.77850566,5.8418761,785.0966,15.155678,687.32627,3.9407789e-13,20845.801,296126.24,1.1260022,301.06275,1,2
0.97068008,0.02391615,1.4248707,40.586803,25.097436,22.319539,0.88509187,0.3737724,0.012812802,1.4248707,29.171792,25.097436,-41.912564,0.93829289,-0.02697937,-0.056315331,1.4248707,0.47907682,25.097436,0.27673197,0.7334671,-10.639035,-0.26911026,2.5249136,39.534113,26.401887,-64.424528,0.051349428,0.00062174149,0.31427366,40.586803,0.0019783443,22.319539,0.0079171269,0.051358851,0.00062845126,0.31766527,0.47907682,0.0019783443,0.27673197,0.0079171269,0.048763734,-2.854782,-0.49838306,29.171792,5.7280879,-41.912564,14.654615,0.0012423435,-50.950995,-0.06672702,2.5249136,763.57366,26.401887,686.3245,0.63498216,-11.053675,-0.034315898,40.586803,322.11527,22.319539,301.76372,0.83570433,124.70408,0.38714117,29.171792,322.11527,-41.912564,301.76372,0.014899032,231.73468,0.272333,40.586803,850.92395,22.319539,722.4897,0.093492646,-362.63366,-0.42616459,29.171792,850.92395,-41.912564,722.4897,0.0068273732,-209.41945,-0.2461083,0.47907682,850.92395,0.27673197,722.4897,0.13097238,-441.45815,-0.57595024,38.128097,766.48662,-63.211864,658.18496,1.8166997e-06,-236.18639,-0.30814157,0.0020994957,766.48662,0.0083441027,658.18496,0.017580865,586.12177,0.76468624,5.7740725,766.48662,14.926441,658.18496,1.8009562e-12,20860.257,295888.44,1.1268447,296.43057,1,3
-1.295074,-0.030562611,1.4300786,42.374456,25.097436,27.959094,0.853467,0.79288917,0.027594428,1.4300786,28.73367,25.097436,-38.734365,0.86756518,-0.04830222,-0.11042737,1.4300786,0.43741167,25.097436,0.24961274,0.5033469,-10.779361,-0.27175098,2.602671,39.666319,26.603571,-61.964286,0.04276131,-9.5086315e-06,-0.0050174311,42.374456,0.0018951195,27.959094,0.0079058379,0.9758162,0.00016226836,0.085624345,0.43741167,0.0018951195,0.24961274,0.0079058379,0.60426302,-2.5133742,-0.44424311,28.73367,5.6576549,-38.734365,14.414872,0.004608802,-41.249937,-0.056159639,2.602671,734.51216,26.603571,660.3449,0.68099462,38.767855,0.12446648,42.374456,311.47225,27.959094,301.90838,0.45028123,99.582473,0.31971539,28.73367,311.47225,-38.734365,301.90838,0.047246949,23.051541,0.027936118,42.374456,825.15189,27.959094,691.38337,0.86594009,-410.33608,-0.49728551,28.73367,825.15189,-38.734365,691.38337,0.0012785662,-81.960837,-0.099328181,0.43741167,825.15189,0.24961274,691.38337,0.54743163,-435.57001,-0.59855573,38.877825,727.70168,-60.957627,629.63235,5.5235571e-07,-208.60655,-0.28666493,0.0020854493,727.70168,0.0084146884,629.63235,0.027719995,540.89376,0.74329052,5.5878376,727.70168,14.831864,629.63235,1.5606117e-11,21036.721,295768.71,1.1275378,293.46694,1,4
-3.7135503,-0.11215536,1.4305846,33.110768,25.097436,31.19819,0.49664918,-8.6922273,-0.18414002,1.4305846,47.204443,25.097436,-26.9521,0.26179078,-0.027177723,-0.051956274,1.4305846,0.52308837,25.097436,0.39980988,0.75342809,-10.658767,-0.29812328,2.640917,35.752885,26.680702,-47.263158,0.024296801,0.00012783709,0.070580017,33.110768,0.0018112363,31.19819,0.0078718164,0.66940518,0.00041476315,0.2289945,0.52308837,0.0018112363,0.39980988,0.0078718164,0.16083902,-2.5819347,-0.46613297,47.204443,5.5390519,-26.9521,14.292692,0.0027821295,-79.823609,-0.11025415,2.640917,723.9964,26.680702,620.67584,0.41424138,-71.984129,-0.2341721,33.110768,307.3984,31.19819,302.60648,0.15132616,74.88972,0.2436243,47.204443,307.3984,-26.9521,302.60648,0.13503053,151.28161,0.18481553,33.110768,818.55466,31.19819,678.61184,0.2600142,-353.49385,-0.43185124,47.204443,818.55466,-26.9521,678.61184,0.0060470804,-64.224123,-0.078460397,0.52308837,818.55466,0.39980988,678.61184,0.63494651,-358.36862,-0.50204782,35.098167,713.81371,-46.5,608.29803,4.370266e-05,-199.92481,-0.28007981,0.0020079788,713.81371,0.0084338216,608.29803,0.030201713,539.1208,0.75526821,5.4772981,713.81371,14.738583,608.29803,3.1112887e-12,21084.554,295633.17,1.1286246,288.62957,1,5
6.0681349,0.14044003,1.4499203,43.208015,25.094737,27.130958,0.40035342,-1.479042,-0.041953488,1.4499203,35.254328,25.094737,-15.379122,0.80251813,0.056985082,0.11234395,1.4499203,0.50723765,25.094737,0.59037129,0.50188216,-19.396663,-0.45187787,2.6223465,42.92457,26.610714,8.4375,0.00047227493,7.8071994e-05,0.042735115,43.208015,0.0018268816,27.130958,0.0080470575,0.7989138,-0.00018386997,-0.1006469,0.50723765,0.0018268816,0.59037129,0.0080470575,0.54768444,-0.85440643,-0.15833386,35.254328,5.3962332,-15.379122,14.694868,0.34239776,-68.741704,-0.09809787,2.6223465,700.74614,26.610714,618.23477,0.4719698,-22.239687,-0.075163588,43.208015,295.88378,27.130958,305.12087,0.65379459,59.959262,0.20264464,35.254328,295.88378,-15.379122,305.12087,0.22240263,307.86668,0.38629464,43.208015,796.97372,27.130958,685.27839,0.016595405,-260.08871,-0.32634541,35.254328,796.97372,-15.379122,685.27839,0.045538222,181.39691,0.22760715,0.50723765,796.97372,0.59037129,685.27839,0.16934505,43.102777,0.062526524,41.6562,689.35188,8.7,593.99937,0.63506863,-176.57458,-0.25614579,0.0019896262,689.35188,0.0085695523,593.99937,0.048216925,522.89619,0.75853306,5.3826751,689.35188,14.89325,593.99937,2.2152641e-12,21423.881,295755,1.1276102,303.93439,1,6
-12.039884,-0.12752083,1.4104075,94.415039,25.027027,78.385784,0.45197028,-4.881272,-0.097932544,1.4104075,49.843206,25.027027,20.87846,0.56418031,0.027664363,0.074672042,1.4104075,0.37047819,25.027027,0.8031411,0.66049002,-29.614131,-0.37140404,2.6446091,79.735621,26.721552,97.051724,0.0040995175,0.00047669386,0.23177724,94.415039,0.0020566897,78.385784,0.0082621285,0.16748286,0.00052057434,0.25311273,0.37047819,0.0020566897,0.8031411,0.0082621285,0.13065706,-0.67885032,-0.12594874,49.843206,5.3898936,20.87846,15.479189,0.45761078,-78.977311,-0.11106581,2.6446091,711.08573,26.721552,641.24959,0.40653245,-87.910621,-0.28401469,94.415039,309.52843,78.385784,427.77521,0.088459484,89.27655,0.28842763,49.843206,309.52843,20.87846,427.77521,0.083411346,164.75884,0.20176497,94.415039,816.58793,78.385784,740.95034,0.2311007,-5.7030717,-0.0069840264,49.843206,816.58793,20.87846,740.95034,0.96727635,77.063903,0.094373062,0.37047819,816.58793,0.8031411,740.95034,0.57849213,187.60697,0.26635504,78.638936,704.34922,96.95,635.07874,0.039676663,-195.60484,-0.27771002,0.0020939632,704.34922,0.0087221097,635.07874,0.031687133,531.59608,0.75473368,5.4180887,704.34922,15.47,635.07874,3.2875553e-12,21805.274,296318.41,1.1179805,416.40489,1,7
-0.6650432,-0.0085633719,1.4598661,77.66137,25.097368,114.91158,0.95930509,-0.78238567,-0.010518519,1.4598661,74.38173,25.097368,74.278991,0.95002438,0.044343072,0.1368462,1.4598661,0.32403582,25.097368,0.62188779,0.41263722,-31.136112,-0.26482374,2.6929457,117.57296,26.805085,206.16949,0.042665118,0.00011240216,0.051468933,77.66137,0.0021838837,114.91158,0.0084691578,0.75893423,0.00089579608,0.41018488,0.32403582,0.0021838837,0.62188779,0.0084691578,0.010535325,0.51278479,0.098384385,74.38173,5.2120546,74.278991,16.3825,0.5567665,-105.65593,-0.15123785,2.6929457,698.6077,26.805085,710.98927,0.25286587,10.638403,0.034231659,77.66137,310.77674,114.91158,598.71827,0.83833108,57.954886,0.18648399,74.38173,310.77674,74.278991,598.71827,0.26227432,141.52494,0.18032727,77.66137,784.82273,114.91158,810.44814,0.27863525,298.84143,0.38077571,74.38173,784.82273,74.278991,810.44814,0.018350516,-42.972465,-0.054754358,0.32403582,784.82273,0.62188779,810.44814,0.74404729,266.86076,0.38525485,118.52979,692.68632,203.4,710.23987,0.0023684094,-204.24478,-0.29485897,0.0022158962,692.68632,0.0089015484,710.23987,0.022194237,506.77545,0.73160886,5.3571002,692.68632,16.350833,710.23987,3.1428002e-11,22253.871,297207.03,1.1050456,564.68775,1,8
