SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
6.3186097,0.43749478,0.9085714,14.442709,13.839153,44.1158,1.2957804e-05,-5.4780068,-0.1434198,0.9085714,38.19561,13.839153,131.42233,0.17260275,0.013018779,0.10396588,0.9085714,0.12522164,13.839153,0.25385059,0.32401189,-5.6698895,-0.1111171,0.9085714,51.026257,13.839153,192.6427,0.29165631,0.00035872645,0.24164753,14.442709,0.0014845029,44.1158,0.0074850495,0.02030759,0.00055413525,0.37328001,0.12522164,0.0014845029,0.25385059,0.0074850495,0.00024751002,-0.70276258,-0.14635329,38.19561,4.8018229,131.42233,23.029826,0.16389624,29.645807,0.051132109,0.9085714,579.78847,13.839153,1740.7688,0.62834815,55.614809,0.21357924,14.442709,260.39426,44.1158,946.02204,0.040931571,-8.04012,-0.030876717,38.19561,260.39426,131.42233,946.02204,0.77014942,-99.200868,-0.17109838,14.442709,579.78847,44.1158,1740.7688,0.10294757,-35.037572,-0.060431647,38.19561,579.78847,131.42233,1740.7688,0.56716064,-54.086535,-0.093286669,0.12522164,579.78847,0.25385059,1740.7688,0.37644193,111.97805,0.19313604,51.026257,579.78847,192.6427,1740.7688,0.065099316,-149.82355,-0.25841072,0.0014845029,579.78847,0.0074850495,1740.7688,0.012879025,474.3614,0.81816287,4.8018229,579.78847,23.029826,1740.7688,2.3859501e-23,18712.624,298398.1,1.137106,946.02204,1,daily
5.5136424,0.46841105,1.0010773,11.770949,13.571196,3.8812179,2.4923173e-06,-0.2649208,-0.012854916,1.0010773,20.608521,13.571196,-25.67151,0.90320061,0.083194531,0.26033092,1.0010773,0.31957222,13.571196,0.16582007,0.012202272,0.98787511,0.057445229,1.0010773,17.196817,13.571196,-75.804348,0.58650259,9.6297667e-05,0.057357584,11.770949,0.0016789003,3.8812179,0.0077701854,0.58707475,0.00039320869,0.2342061,0.31957222,0.0016789003,0.16582007,0.0077701854,0.024636046,0.49746988,0.094938785,20.608521,5.2399015,-25.67151,19.583859,0.36801075,65.956895,0.093060163,1.0010773,708.75542,13.571196,1226.8349,0.37760691,71.874306,0.20574307,11.770949,349.34011,3.8812179,437.19692,0.049120962,-130.86274,-0.3745998,20.608521,349.34011,-25.67151,437.19692,0.00023432482,186.16192,0.26266031,11.770949,708.75542,3.8812179,1226.8349,0.01142306,-42.267672,-0.059636472,20.608521,708.75542,-25.67151,1226.8349,0.57228125,-130.85291,-0.18462351,0.31957222,708.75542,0.16582007,1226.8349,0.078100834,64.673476,0.091249357,17.196817,708.75542,-75.804348,1226.8349,0.38699873,-280.6897,-0.39603183,0.0016789003,708.75542,0.0077701854,1226.8349,9.3177472e-05,587.95213,0.82955574,5.2399015,708.75542,19.583859,1226.8349,1.6959522e-24,19425.463,294893.23,1.1846151,437.19692,1,0
0.74758893,0.078433049,0.99284393,9.5315551,13.50163,3.1275373,0.45738281,1.4868662,0.081984393,0.99284393,18.135967,13.50163,-24.328247,0.43720355,-0.011749916,-0.036487234,0.99284393,0.32202815,13.50163,0.15902425,0.72986644,1.0721853,0.060122591,0.99284393,17.833318,13.50163,-73.804348,0.56914827,-5.3821079e-05,-0.031938461,9.5315551,0.0016851494,3.1275373,0.0078222242,0.76247556,0.00029230015,0.17345652,0.32202815,0.0016851494,0.15902425,0.0078222242,0.098219234,0.77115975,0.15060042,18.135967,5.1205685,-24.328247,18.911902,0.15187358,51.437015,0.077697449,0.99284393,662.01678,13.50163,1130.639,0.46162594,29.639821,0.084815621,9.5315551,349.46181,3.1275373,424.50888,0.42148376,-136.56176,-0.39077735,18.135967,349.46181,-24.328247,424.50888,0.00011750571,148.73703,0.2246726,9.5315551,662.01678,3.1275373,1130.639,0.03130868,23.129615,0.034938109,18.135967,662.01678,-24.328247,1130.639,0.74092124,-26.313032,-0.039746775,0.32202815,662.01678,0.15902425,1130.639,0.70678766,47.403479,0.071604649,17.833318,662.01678,-73.804348,1130.639,0.49758873,-227.71389,-0.34396997,0.0016851494,662.01678,0.0078222242,1130.639,0.0007873793,537.26247,0.81155416,5.1205685,662.01678,18.911902,1130.639,1.0176189e-22,19555.56,294236.95,1.1867497,424.50888,1,1
3.5067525,0.34057617,0.98247104,10.296529,13.439674,3.0387637,0.00089398079,0.11677898,0.0068768243,0.98247104,16.981528,13.439674,-24.022261,0.94812695,0.033587956,0.10529063,0.98247104,0.31900233,13.439674,0.14409169,0.31785094,1.1496949,0.062658851,0.98247104,18.348483,13.439674,-72.222826,0.55293436,6.8280791e-08,4.1427035e-05,10.296529,0.0016482181,3.0387637,0.0078387244,0.99968729,8.8872838e-05,0.053920555,0.31900233,0.0016482181,0.14409169,0.0078387244,0.60970956,0.42009866,0.083255258,16.981528,5.0459115,-24.022261,18.338424,0.43010666,50.583857,0.080691801,0.98247104,626.87728,13.439674,1053.0854,0.44448927,8.3546841,0.024342631,10.296529,343.21204,3.0387637,418.96201,0.81783686,-132.95979,-0.38739838,16.981528,343.21204,-24.022261,418.96201,0.00013613172,213.87988,0.34118302,10.296529,626.87728,3.0387637,1053.0854,0.00087400347,-22.45914,-0.035827012,16.981528,626.87728,-24.022261,1053.0854,0.73457129,-30.50314,-0.048658869,0.31900233,626.87728,0.14409169,1053.0854,0.64507758,67.773753,0.10811327,18.348483,626.87728,-72.222826,1053.0854,0.3049773,-183.02219,-0.29195856,0.0016482181,626.87728,0.0078387244,1053.0854,0.00474459,508.40136,0.8110062,5.0459115,626.87728,18.338424,1053.0854,1.1447277e-22,19596.811,293673.53,1.1881771,418.96201,1,2
2.6755928,0.15456572,0.97738936,17.310389,13.391848,5.4927523,0.14125636,0.61738788,0.034328323,0.97738936,17.984796,13.391848,-26.410169,0.74528738,0.017629985,0.053498155,0.97738936,0.3295438,13.391848,0.15913141,0.61251743,1.1359204,0.059001656,0.97738936,19.252348,13.391848,-70.391304,0.57638465,0.00059702334,0.35499726,17.310389,0.0016817689,5.4927523,0.007889547,0.00051606336,0.0004025467,0.23935911,0.3295438,0.0016817689,0.15913141,0.007889547,0.021563264,-0.31755054,-0.064614447,17.984796,4.914544,-26.410169,17.885163,0.54058658,40.978518,0.069724152,0.97738936,587.72343,13.391848,984.32783,0.5089772,32.948207,0.098017634,17.310389,336.14571,5.4927523,415.3889,0.35261005,-121.85642,-0.3625107,17.984796,336.14571,-26.410169,415.3889,0.00038357339,13.019114,0.02215177,17.310389,587.72343,5.4927523,984.32783,0.83398538,-81.739834,-0.13907874,17.984796,587.72343,-26.410169,984.32783,0.18610386,-67.653762,-0.11511156,0.3295438,587.72343,0.15913141,984.32783,0.27454661,94.545044,0.16086656,19.252348,587.72343,-70.391304,984.32783,0.1255529,-151.32741,-0.25748065,0.0016817689,587.72343,0.007889547,984.32783,0.013218392,467.83696,0.7960155,4.914544,587.72343,17.885163,984.32783,2.4878761e-21,19723.868,293210.76,1.189492,415.3889,1,3
1.7737086,0.14653866,0.96856021,12.104032,13.342935,3.0438414,0.1633572,-0.73551658,-0.04060845,0.96856021,18.112402,13.342935,-23.135245,0.7007297,0.00063844547,0.0017245939,0.96856021,0.37020047,13.342935,0.20567839,0.98698264,0.9210534,0.05031796,0.96856021,18.304665,13.342935,-68.798913,0.63383505,0.00024367094,0.14845812,12.104032,0.0016413446,3.0438414,0.0079129165,0.15785268,0.00050511597,0.30774522,0.37020047,0.0016413446,0.20567839,0.0079129165,0.0028431116,0.51508361,0.10716576,18.112402,4.8064196,-23.135245,17.418913,0.30926027,43.356839,0.077437388,0.96856021,559.89541,13.342935,917.9992,0.4631312,34.874731,0.10839832,12.104032,321.72761,3.0438414,403.72718,0.30369644,-143.20625,-0.44511644,18.112402,321.72761,-23.135245,403.72718,8.7591232e-06,125.86152,0.22479469,12.104032,559.89541,3.0438414,917.9992,0.031214447,-2.9326456,-0.0052378453,18.112402,559.89541,-23.135245,917.9992,0.96047855,46.521567,0.083089744,0.37020047,559.89541,0.20567839,917.9992,0.4310272,57.578391,0.10283776,18.304665,559.89541,-68.798913,917.9992,0.32931827,-127.71826,-0.22811092,0.0016413446,559.89541,0.0079129165,917.9992,0.028744862,444.5511,0.79398954,4.8064196,559.89541,17.418913,917.9992,3.6981559e-21,19782.291,292709.03,1.1918422,403.72718,1,4
2.8227356,0.22947331,0.95950933,12.300932,13.298913,4.1795125,0.027779336,-0.88034806,-0.058006172,0.95950933,15.1768,13.298913,-18.41734,0.58284672,-0.0063107721,-0.014947149,0.95950933,0.42220572,13.298913,0.24441749,0.88754157,0.77179642,0.040422159,0.95950933,19.093399,13.298913,-50.353261,0.70203784,0.00033546723,0.20152099,12.300932,0.0016646764,4.1795125,0.007944288,0.054066262,0.00050906757,0.30580573,0.42220572,0.0016646764,0.24441749,0.007944288,0.0030322984,0.85028736,0.18411277,15.1768,4.6182964,-18.41734,17.129674,0.078942644,34.57515,0.06608324,0.95950933,523.20604,13.298913,874.40202,0.53140254,93.52349,0.30323018,12.300932,308.42408,4.1795125,394.00083,0.0033009558,-146.71949,-0.47570699,15.1768,308.42408,-18.41734,394.00083,1.6490234e-06,101.93361,0.19482499,12.300932,523.20604,4.1795125,874.40202,0.062741201,61.94599,0.11839693,15.1768,523.20604,-18.41734,874.40202,0.26098952,24.23238,0.046315177,0.42220572,523.20604,0.24441749,874.40202,0.66109561,43.095846,0.082368786,19.093399,523.20604,-50.353261,874.40202,0.43505002,-113.84192,-0.21758526,0.0016646764,523.20604,0.007944288,874.40202,0.0372055,401.14616,0.76670782,4.6182964,523.20604,17.129674,874.40202,5.1719324e-19,19860.72,292378.41,1.1937913,394.00083,1,5
3.078804,0.16542739,0.95095242,18.61121,13.27663,21.719134,0.11504703,-0.69314648,-0.02631711,0.95095242,26.338244,13.27663,15.597471,0.8033479,0.041726399,0.11479229,0.95095242,0.36349479,13.27663,0.51952387,0.27588883,-2.7999094,-0.093736337,0.95095242,29.870054,13.27663,55.048913,0.37413563,-8.774878e-05,-0.049557556,18.61121,0.0017706438,21.719134,0.0080589444,0.63897768,0.00016732105,0.094497296,0.36349479,0.0017706438,0.51952387,0.0080589444,0.37025238,-1.9819407,-0.45659233,26.338244,4.3407227,15.597471,17.744457,4.7704122e-06,21.289957,0.041474058,0.95095242,513.3319,13.27663,927.14693,0.69466288,116.55263,0.37070917,18.61121,314.40449,21.719134,408.75156,0.00027517832,80.333328,0.25550948,26.338244,314.40449,15.597471,408.75156,0.013963427,76.624386,0.1492687,18.61121,513.3319,21.719134,927.14693,0.15557008,-195.79679,-0.38142339,26.338244,513.3319,15.597471,927.14693,0.00017590406,178.02813,0.34680902,0.36349479,513.3319,0.51952387,927.14693,0.00070725833,17.574702,0.034236528,29.870054,513.3319,55.048913,927.14693,0.74594535,-155.54398,-0.3030086,0.0017706438,513.3319,0.0080589444,927.14693,0.0033250361,367.08718,0.7151069,4.3407227,513.3319,17.744457,927.14693,1.1711988e-15,20147.361,292955.44,1.1919002,408.75156,1,6
6.9048068,0.24746971,0.95507161,27.901624,13.297802,60.336172,0.018030647,-6.0703909,-0.09602881,0.95507161,63.214268,13.297802,100.86726,0.36520694,0.043509207,0.17613648,0.95507161,0.24701985,13.297802,0.41892021,0.09490116,-5.0478355,-0.080551819,0.95073462,62.665692,13.302174,212.98913,0.44528235,-0.00050583621,-0.29968269,27.901624,0.001687906,60.336172,0.0079858331,0.0039028019,-6.1821808e-05,-0.036626333,0.24701985,0.001687906,0.41892021,0.0079858331,0.73033595,-2.2356972,-0.51203348,63.214268,4.3663105,100.86726,19.416374,2.1282547e-07,5.7222118,0.010710308,0.95073462,534.27143,13.302174,1139.746,0.91929011,110.5248,0.33196833,27.901624,332.9378,60.336172,492.01038,0.0013059049,105.05484,0.31553893,63.214268,332.9378,100.86726,492.01038,0.0023138765,147.08975,0.27982175,27.901624,525.65516,60.336172,1151.2469,0.0072244351,-193.82079,-0.36872232,63.214268,525.65516,100.86726,1151.2469,0.00032270958,278.04981,0.52895858,0.24701985,525.65516,0.41892021,1151.2469,7.0438389e-08,40.575488,0.075945456,62.665692,534.27143,212.98913,1139.746,0.47181839,-189.31537,-0.35434305,0.0018273824,534.27143,0.0080611302,1139.746,0.00052938784,375.29903,0.70245011,4.3444128,534.27143,19.430652,1139.746,6.0369087e-15,20152.825,294628.15,1.1817203,494.74298,1,7
13.741895,0.36573671,0.94145134,37.573191,13.393478,83.436081,0.00033693823,-5.3659203,-0.067960175,0.94145134,78.956835,13.393478,187.83832,0.51978078,0.02874931,0.15268767,0.94145134,0.18828835,13.393478,0.34023679,0.14621277,-3.8461877,-0.040378262,0.94145134,95.253918,13.393478,376.56522,0.70234621,4.5302899e-05,0.023447252,37.573191,0.0019321198,83.436081,0.0079077025,0.8244278,0.00025635063,0.13267843,0.18828835,0.0019321198,0.34023679,0.0079077025,0.20738479,-1.5930282,-0.33208089,78.956835,4.797109,187.83832,21.26038,0.001220903,3.3750178,0.0055412798,0.94145134,609.06828,13.393478,1410.7198,0.95819103,12.311214,0.034681893,37.573191,354.97527,83.436081,619.28503,0.74275479,78.707531,0.2217268,78.956835,354.97527,187.83832,619.28503,0.033656181,177.01177,0.29062714,37.573191,609.06828,83.436081,1410.7198,0.0049477411,-121.1389,-0.19889215,78.956835,609.06828,187.83832,1410.7198,0.057346748,169.0768,0.2775991,0.18828835,609.06828,0.34023679,1410.7198,0.0073819347,102.78956,0.16876525,95.253918,609.06828,376.56522,1410.7198,0.10779908,-234.27424,-0.38464364,0.0019321198,609.06828,0.0079077025,1410.7198,0.00015330139,442.69462,0.72683906,4.797109,609.06828,21.26038,1410.7198,2.361704e-16,19769.256,296469.71,1.1680429,619.28503,1,8
