SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.5804242,0.046661456,6.0781615,33.870015,14.441881,96.551086,0.59807459,-9.9450938,-0.21985521,6.0781615,45.234741,14.441881,72.296114,0.011958867,-0.012121544,-0.11048182,6.0781615,0.10971528,14.441881,0.3768087,0.21080499,1.4581896,0.023873677,5.8575433,61.079387,15.208534,211.33384,0.79747953,2.270083e-06,0.0012704754,33.870015,0.0017867981,96.551086,0.0080961294,0.98855414,0.00015681094,0.087760865,0.10971528,0.0017867981,0.3768087,0.0080961294,0.32076802,-2.9645933,-0.54857502,45.234741,5.4041711,72.296114,17.654258,1.4123628e-11,-10.88765,-0.01618226,6.0781615,672.81393,14.441881,1054.2822,0.85500508,31.483948,0.12400077,33.870015,253.90124,96.551086,821.41951,0.15984224,-27.36621,-0.10778289,45.234741,253.90124,72.296114,821.41951,0.22223588,378.67275,0.56281942,33.870015,672.81393,96.551086,1054.2822,3.1815805e-12,-269.68169,-0.40082656,45.234741,672.81393,72.296114,1054.2822,2.293507e-06,182.59656,0.27139237,0.10971528,672.81393,0.3768087,1054.2822,0.001788361,36.247668,0.053044715,61.079387,683.34174,211.33384,1053.7531,0.56835147,-169.94842,-0.25259349,0.0017867981,672.81393,0.0080961294,1054.2822,0.0037392236,566.3343,0.84173985,5.4041711,672.81393,17.654258,1054.2822,4.5220514e-36,20240.324,298542.79,1.0833649,821.41951,1,daily
2.1165592,0.11949037,5.9922519,17.713221,14.744787,10.328081,0.18988158,-3.7115001,-0.11789031,5.9922519,31.482656,14.744787,-40.157411,0.19592428,-0.020741421,-0.075219163,5.9922519,0.27574649,14.744787,0.12253253,0.41025936,3.4980509,0.10447154,5.8113052,33.483291,15.296175,-56.877193,0.26864518,4.5356567e-05,0.020965824,17.713221,0.0021633573,10.328081,0.0080514445,0.81870078,0.00026225357,0.12122527,0.27574649,0.0021633573,0.12253253,0.0080514445,0.18348407,-2.4872446,-0.40292184,31.482656,6.17302,-40.157411,15.052746,4.2008676e-06,25.288868,0.031567157,6.0398053,801.11326,14.557312,718.84569,0.72673423,-73.414727,-0.22875082,17.713221,320.93754,10.328081,404.58343,0.01126651,93.314979,0.29075744,31.482656,320.93754,-40.157411,404.58343,0.001158321,403.80793,0.50235683,17.713221,803.8269,10.328081,735.4302,3.7318143e-09,-439.88045,-0.5472328,31.482656,803.8269,-40.157411,735.4302,6.9365249e-11,-250.72742,-0.31191718,0.27574649,803.8269,0.12253253,735.4302,0.00046973145,-385.82438,-0.48420454,33.483291,796.82107,-56.877193,728.81786,4.8090242e-08,-259.92734,-0.32445767,0.0021455465,801.11326,0.0080691177,718.84569,0.00022294561,656.28461,0.81921576,6.1319451,801.11326,14.96044,718.84569,1.7348968e-31,20172.794,295806.43,1.1199181,402.586,1,0
2.6180018,0.14678802,5.952224,17.835256,14.875812,8.6864008,0.10963628,-1.9920911,-0.073579613,5.952224,27.073954,14.875812,-39.411102,0.42448116,-0.041167158,-0.16186648,5.952224,0.25432787,14.875812,0.11180131,0.077351215,3.1009432,0.094273155,5.8098463,32.893173,15.295592,-53.27193,0.31842826,0.00013291759,0.061466035,17.835256,0.0021624559,8.6864008,0.0080053153,0.50482961,8.3908981e-05,0.038802633,0.25432787,0.0021624559,0.11180131,0.0080053153,0.67392232,-2.9286626,-0.46720408,27.073954,6.2684868,-39.411102,14.978667,7.4727463e-08,31.4928,0.038204961,6.0384605,824.31178,14.55678,710.68663,0.67228962,-23.269763,-0.074310383,17.835256,313.14282,8.6864008,386.19653,0.41988248,107.06108,0.34189219,27.073954,313.14282,-39.411102,386.19653,0.00013244218,335.40818,0.40396413,17.835256,830.29198,8.6864008,737.83808,4.7521169e-06,-496.35764,-0.59781096,27.073954,830.29198,-39.411102,737.83808,5.6443379e-13,-180.5826,-0.21749288,0.25432787,830.29198,0.11180131,737.83808,0.01702275,-443.41738,-0.54275819,32.893173,816.97042,-53.27193,718.64007,4.4250022e-10,-276.39567,-0.33530477,0.0021261109,824.31178,0.0080127256,710.68663,0.00013214571,684.57988,0.83048659,6.2156076,824.31178,14.79084,710.68663,4.7765628e-33,20031.814,295668.2,1.1212724,383.24742,1,1
2.8723932,0.15523392,5.9494718,18.503644,14.800107,8.8931975,0.08909877,-0.13929404,-0.0048401812,5.9494718,28.778682,14.800107,-41.867126,0.95797919,-0.021361468,-0.068295623,5.9494718,0.31277946,14.800107,0.13736479,0.45668078,2.9375338,0.088546427,5.7866169,33.175069,15.285202,-54.25,0.34884094,0.00016614399,0.075120736,18.503644,0.0022116927,8.8931975,0.0078981009,0.41283847,-9.3160875e-05,-0.042121979,0.31277946,0.0022116927,0.13736479,0.0078981009,0.64642378,-2.6281567,-0.4183556,28.778682,6.2821119,-41.867126,14.837314,1.7968257e-06,55.905722,0.067100818,6.0169276,833.16008,14.547304,731.19197,0.45717198,-47.447718,-0.15741839,18.503644,301.41154,8.8931975,376.98354,0.084636242,95.149767,0.31568057,28.778682,301.41154,-41.867126,376.98354,0.00042017446,342.61889,0.40927239,18.503644,837.14146,8.8931975,754.03106,3.1453079e-06,-365.44814,-0.43654288,28.778682,837.14146,-41.867126,754.03106,5.5692127e-07,-172.52857,-0.2060925,0.31277946,837.14146,0.13736479,754.03106,0.023335931,-373.01279,-0.4483613,33.175069,831.9469,-54.25,744.89278,5.6556428e-07,-302.77214,-0.36340212,0.0021807991,833.16008,0.0079102439,731.19197,3.1071178e-05,664.27437,0.79729501,6.2346325,833.16008,14.69228,731.19197,9.6332044e-29,19775.61,295594.59,1.1217444,374.91636,1,2
1.2675151,0.071747182,7.1369995,17.666409,15.080372,10.862603,0.43419373,-0.40909089,-0.014425276,7.1369995,28.359311,15.080372,-42.423761,0.87521402,-0.018203976,-0.085193607,7.1369995,0.21367773,15.080372,0.084188262,0.352841,4.0250213,0.12244015,7.0492446,32.873377,15.582675,-54.916667,0.19436133,8.347771e-07,0.00035962543,17.666409,0.0023212404,10.862603,0.0078198621,0.99687644,0.00026232271,0.11300971,0.21367773,0.0023212404,0.084188262,0.0078198621,0.21714283,-2.672905,-0.43570066,28.359311,6.134728,-42.423761,14.653595,5.8885917e-07,-9.7192984,-0.011913278,7.1682206,815.83746,14.8186,733.92323,0.89509419,-37.10218,-0.12593265,17.666409,294.61923,10.862603,376.82978,0.16870826,89.684585,0.30440846,28.359311,294.61923,-42.423761,376.82978,0.00068711061,342.51635,0.41805444,17.666409,819.31039,10.862603,756.76755,1.8309746e-06,-397.00243,-0.48455681,28.359311,819.31039,-42.423761,756.76755,1.7851272e-08,-168.26304,-0.20537154,0.21367773,819.31039,0.084188262,756.76755,0.023834768,-358.70421,-0.44407245,32.873377,807.76056,-54.916667,745.08126,7.4570996e-07,-314.18818,-0.38511125,0.0022869368,815.83746,0.0078308852,733.92323,9.2199533e-06,625.01607,0.76610367,6.08955,815.83746,14.50904,733.92323,2.2690294e-25,19577.213,295418.11,1.1220211,374.05869,1,3
1.2274496,0.057423566,5.9232871,21.375363,14.863846,12.681626,0.5333017,-3.6488909,-0.12818135,5.9232871,28.466629,14.863846,-41.030525,0.16294896,-0.043514572,-0.15347166,5.9232871,0.2835349,14.863846,0.11600036,0.094222871,1.3642774,0.04148519,5.7795405,32.88589,15.282996,-53.403509,0.6612066,6.0654867e-05,0.026527918,21.375363,0.0022864541,12.681626,0.0078833896,0.77364703,-0.00015461864,-0.067623766,0.2835349,0.0022864541,0.11600036,0.0078833896,0.46302908,-3.0149507,-0.50918218,28.466629,5.921163,-41.030525,14.395542,2.8738719e-09,17.034159,0.021881557,6.0104773,778.47107,14.545292,681.0991,0.80861397,-27.908412,-0.093991575,21.375363,296.92461,12.681626,386.12008,0.30720153,92.91107,0.31291131,28.466629,296.92461,-41.030525,386.12008,0.00050197284,282.36951,0.35984324,21.375363,784.70145,12.681626,705.77215,5.4206836e-05,-419.13518,-0.5341333,28.466629,784.70145,-41.030525,705.77215,3.3277254e-10,-146.00855,-0.18606892,0.2835349,784.70145,0.11600036,705.77215,0.041875667,-307.50944,-0.39848924,32.88589,771.68818,-53.403509,688.21535,1.127744e-05,-293.45923,-0.3769687,0.0022446585,778.47107,0.0078858213,681.0991,1.4691265e-05,591.06619,0.75926545,5.8670938,778.47107,14.22312,681.0991,1.0609317e-24,19714.553,295107.09,1.1222959,380.89567,1,4
3.542038,0.13752082,5.9602104,25.756376,14.732475,12.633064,0.13091169,-2.4236445,-0.086547347,5.9602104,28.003683,14.732475,-36.666972,0.34318762,-0.010644626,-0.033827029,5.9602104,0.31467811,14.732475,0.13724985,0.7114635,2.9567807,0.090240992,5.7784578,32.765383,15.282123,-43.710526,0.33965782,-0.0002438104,-0.10702654,25.756376,0.0022780369,12.633064,0.0078332632,0.24065518,-0.0003198595,-0.14041015,0.31467811,0.0022780369,0.13724985,0.0078332632,0.12293574,-2.9780896,-0.51246365,28.003683,5.8113188,-36.666972,14.270451,1.5988715e-09,42.281168,0.054510231,6.0094301,775.65563,14.544496,686.65868,0.54599696,-48.839784,-0.16660199,25.756376,293.15246,12.633064,380.3158,0.066642783,79.386868,0.27080403,28.003683,293.15246,-36.666972,380.3158,0.0025535858,358.18888,0.46034439,25.756376,778.08895,12.633064,702.92982,9.5567907e-08,-409.64629,-0.52647745,28.003683,778.08895,-36.666972,702.92982,4.7107316e-10,-114.03581,-0.14655884,0.31467811,778.08895,0.13724985,702.92982,0.1072143,-312.35092,-0.40284048,32.765383,775.37123,-43.710526,694.05061,8.8491907e-06,-304.48984,-0.39255801,0.0022513187,775.65563,0.0078343505,686.65868,5.9554097e-06,575.22014,0.74159216,5.788306,775.65563,14.15556,686.65868,4.551426e-23,19585.876,295006.55,1.1230511,378.11002,1,5
1.1099898,0.033365744,5.890215,33.267348,14.683057,34.478925,0.71522756,-6.5516682,-0.17755069,5.890215,36.900268,14.683057,-4.1194872,0.05040664,-0.06210154,-0.12980603,5.890215,0.47841798,14.683057,0.66388912,0.15414814,2.2765948,0.079694979,5.7049266,28.566352,15.230114,28.912281,0.39929908,-0.0004710058,-0.20397012,33.267348,0.0023091902,34.478925,0.0078974834,0.024229127,-0.00027547474,-0.11929495,0.47841798,0.0023091902,0.66388912,0.0078974834,0.19061221,-3.4663191,-0.60281309,36.900268,5.7502386,-4.1194872,14.667607,2.0318883e-13,80.804531,0.10289284,5.9391455,785.32704,14.497064,719.91432,0.25351494,-60.466106,-0.20561367,33.267348,294.0763,34.478925,383.79738,0.023084643,63.771504,0.2168536,36.900268,294.0763,-4.1194872,383.79738,0.016431341,373.55107,0.47418293,33.267348,787.77839,34.478925,736.36093,3.4446393e-08,-492.35601,-0.62499304,36.900268,787.77839,-4.1194872,736.36093,1.4243956e-14,196.6518,0.24962833,0.47841798,787.77839,0.66388912,736.36093,0.0055560714,-258.78786,-0.32759139,28.566352,789.97149,28.912281,729.39359,0.00037387178,-337.66414,-0.42996627,0.0022821512,785.32704,0.0079018224,719.91432,5.609393e-07,589.81668,0.75104594,5.7247114,785.32704,14.557104,719.91432,6.3375769e-24,19754.556,295375.17,1.1222131,385.93097,1,6
-1.4011227,-0.02694633,5.8906473,51.996791,14.576933,77.73871,0.77017526,-8.616457,-0.14738938,5.8906473,58.4605,14.576933,49.884539,0.10817359,0.026875024,0.075795286,5.8906473,0.35457382,14.576933,0.63594452,0.41062766,-0.36930072,-0.0056202688,5.7216367,65.70873,15.185239,170.88938,0.95288802,-0.0001104727,-0.050376768,51.996791,0.0021929294,77.73871,0.0081221687,0.58477671,5.0773113e-05,0.0231531,0.35457382,0.0021929294,0.63594452,0.0081221687,0.8018076,-3.6318038,-0.63946014,58.4605,5.6794842,49.884539,15.533458,3.8174625e-15,90.156232,0.1227653,5.9501526,734.3788,14.450258,757.81736,0.17435091,-100.14959,-0.34121754,51.996791,293.50657,77.73871,442.83057,0.00013682225,83.540692,0.28462972,58.4605,293.50657,49.884539,442.83057,0.0016284411,424.77427,0.57664028,51.996791,736.6365,77.73871,779.48109,5.4862131e-12,-442.0022,-0.60002756,58.4605,736.6365,49.884539,779.48109,4.4054215e-13,517.85083,0.70299371,0.35457382,736.6365,0.63594452,779.48109,3.5419344e-19,65.587977,0.088679873,65.70873,739.60386,170.88938,763.56658,0.35028299,-259.15321,-0.35288765,0.0021623718,734.3788,0.008135166,757.81736,5.8221198e-05,573.89674,0.78147237,5.6401055,734.3788,15.397782,757.81736,9.3360624e-27,20337.915,296196.16,1.1165039,444.30537,1,7
-4.6039282,-0.064049452,5.9395091,71.880837,14.481795,126.20447,0.48337379,-11.844831,-0.13885608,5.9395091,85.302933,14.481795,113.79222,0.12717781,0.024325824,0.08674457,5.9395091,0.28043051,14.481795,0.56792126,0.34208483,-7.6237325,-0.063261011,5.7355809,120.51234,15.218398,334.61947,0.50562591,-8.8572648e-05,-0.042465344,71.880837,0.0020857631,126.20447,0.008315403,0.64234253,0.00019657974,0.094248351,0.28043051,0.0020857631,0.56792126,0.008315403,0.30179537,-2.7607325,-0.49586273,85.302933,5.5675339,113.79222,16.540697,6.3416456e-09,45.623058,0.067334351,5.966126,677.55993,14.480476,843.04968,0.45744918,-69.373984,-0.23396546,71.880837,296.51378,126.20447,558.90719,0.0094940033,53.741778,0.18124547,85.302933,296.51378,113.79222,558.90719,0.045728386,441.55825,0.65130866,71.880837,677.95544,126.20447,853.17972,4.5615919e-16,-314.65436,-0.46412247,85.302933,677.95544,113.79222,853.17972,7.2653956e-08,441.47525,0.65118623,0.28043051,677.95544,0.56792126,853.17972,4.6388529e-16,124.80445,0.18314842,120.51234,681.43886,334.61947,842.17557,0.052172854,-189.23071,-0.27928262,0.0020711686,677.55993,0.0083194323,843.04968,0.0016824959,534.5229,0.7888939,5.5472164,677.55993,16.473508,843.04968,1.448632e-27,20798.581,297269.73,1.1058236,561.07377,1,8
