SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.12815327,-0.036222382,5.7270383,3.5379582,35.651082,2.7694643,0.49026943,-2.0261545,-0.14845602,5.0874713,13.64818,36.3755,-13.414607,0.0060968724,-0.010298755,-0.10106994,5.0874713,0.10189731,36.3755,0.12848644,0.062667424,0.43393425,0.029316364,5.0545712,14.801776,36.444781,-5.9347536,0.59175637,0.00018663138,0.13146443,3.581887,0.001419634,2.933587,0.0047332536,0.0088132105,-0.00029186074,-0.20718769,0.10283698,0.001408678,0.13070985,0.0048129887,5.7960313e-05,-2.516662,-0.60390742,13.58477,4.1672978,-13.532206,4.3919683,3.0494313e-38,-33.977076,-0.26220397,5.7270383,129.58262,35.651082,237.33521,3.7467489e-07,92.474328,0.29814268,3.581887,310.16803,2.933587,540.92826,1.4270355e-09,-225.56742,-0.71989056,13.58477,313.3357,-13.532206,553.43089,1.7444294e-60,27.36343,0.21188218,3.581887,129.14455,2.933587,231.88241,2.1240036e-05,-33.862509,-0.26658445,13.58477,127.02357,-13.532206,229.45112,1.8674383e-07,-7.9085784,-0.062260715,0.10283698,127.02357,0.13070985,229.45112,0.23156382,-36.637228,-0.28653836,14.801776,127.86151,-5.9347536,235.58795,8.6381728e-08,-34.497727,-0.26712491,0.001419634,129.14455,0.0047332536,231.88241,6.7650546e-08,-7.417881,-0.05743859,4.1847016,129.14455,4.1603315,231.88241,0.25414388,11833.134,279028.22,1.2133581,540.92826,1,daily
0.085164549,0.034376829,5.7046742,2.4773823,35.758664,0.48053398,0.52150943,-2.685721,-0.17637322,5.096376,15.227487,36.505161,-16.331903,0.0013868652,-0.019281041,-0.13626613,5.0950698,0.14149547,36.488254,0.05232974,0.013948539,-1.1430353,-0.039663394,5.1038577,28.818393,36.509699,-28.187191,0.47679811,-1.2643773e-05,-0.0084300046,2.4800424,0.0014998536,0.59712142,0.0046805239,0.86989444,-0.0002603209,-0.17420147,0.13613042,0.0014943668,0.048102408,0.0047606622,0.00098118631,-2.5937525,-0.5748558,15.063401,4.5120054,-16.455677,3.9843174,1.0657956e-32,-32.204986,-0.21914817,5.7062516,146.9553,35.776446,207.24007,3.4497178e-05,60.436893,0.17287207,2.4800424,349.60474,0.59712142,489.30523,0.00071357552,-238.85686,-0.67471687,15.063401,354.01051,-16.455677,502.2212,1.2719873e-48,17.892306,0.12339433,2.4800424,145.00103,0.59712142,203.4529,0.016098353,-45.819352,-0.31809222,15.063401,144.04424,-16.455677,201.04929,8.2070817e-10,-15.870983,-0.11009616,0.13613042,144.15565,0.048102408,201.32176,0.038138666,-47.463873,-0.32380788,28.818393,146.58035,-28.187191,205.687,2.4083345e-09,-41.363046,-0.28546094,0.0014979278,144.89914,0.0046811445,203.19272,1.4104256e-08,-10.308226,-0.071140699,4.5225212,144.89914,3.7481719,203.19272,0.16580654,11702.861,278600.21,1.219171,488.92455,1,0
0.038585892,0.015622155,5.6914119,2.4699468,35.783103,0.46846778,0.76991166,-2.5996741,-0.17160278,5.0738812,15.149371,36.509502,-16.129641,0.0017556303,-0.022791962,-0.13784833,5.0731811,0.16534086,36.493421,0.056236427,0.012322036,-1.7739743,-0.06132323,5.0767704,28.928259,36.521688,-26.808207,0.26738131,-7.2769329e-06,-0.0048186486,2.549339,0.0015101605,0.59034836,0.0046843927,0.92511304,-0.00027143736,-0.18091741,0.17036382,0.0015003385,0.056011502,0.0047651457,0.00057231519,-2.4161908,-0.53430827,14.998018,4.5220914,-16.163118,3.9626181,5.7800303e-28,-33.163186,-0.22948162,5.6923348,144.51347,35.8001,203.8969,1.2962774e-05,65.02525,0.18877342,2.549339,344.46189,0.59034836,479.55213,0.00020259826,-227.95012,-0.65408442,14.998018,348.50259,-16.163118,492.1373,2.5406108e-45,18.725144,0.13104626,2.549339,142.88957,0.59034836,200.25858,0.010248696,-45.682858,-0.32419069,14.998018,140.91354,-16.163118,197.21507,2.9637236e-10,-8.5889408,-0.060907072,0.17036382,141.01713,0.056011502,197.48477,0.24970403,-44.640177,-0.31247251,28.928259,142.86114,-26.808207,201.35223,6.9622867e-09,-41.908926,-0.29349245,0.0015082075,142.79388,0.0046847862,199.99851,4.5706005e-09,-11.923047,-0.083498303,4.5445489,142.79388,3.7237148,199.99851,0.10231226,11711.966,278583.19,1.2199389,479.0778,1,1
0.043409109,0.016864003,5.7067207,2.5740692,35.766115,0.54204201,0.75219645,-2.5380853,-0.16990173,5.0770368,14.938549,36.499056,-15.866518,0.001953215,-0.001496966,-0.0069381293,5.076153,0.2157593,36.482792,0.075622343,0.90023159,-2.1794287,-0.076015459,5.0797152,28.670861,36.511515,-25.731307,0.16896449,4.362767e-05,0.028869016,2.6220397,0.0015112281,0.64548287,0.004681392,0.57326568,-0.00018047019,-0.12006126,0.21580071,0.0015031508,0.073300098,0.0047619988,0.022897636,-2.3795755,-0.52790605,14.82027,4.5075739,-16.079611,3.9100542,3.1875779e-27,-34.945545,-0.23708744,5.7077984,147.39517,35.783301,198.43183,6.4995028e-06,59.642958,0.1722337,2.6220397,346.29086,0.64548287,477.13627,0.0007118025,-231.42412,-0.660348,14.82027,350.45782,-16.079611,489.45572,1.879904e-46,10.488495,0.071880499,2.6220397,145.91572,0.64548287,194.72897,0.16033444,-42.164868,-0.29044558,14.82027,145.17304,-16.079611,192.38124,1.9872127e-08,-10.400989,-0.071555792,0.21580071,145.35496,0.073300098,192.51033,0.1761211,-43.409024,-0.29498203,28.670861,147.1582,-25.731307,196.43563,4.9830631e-08,-44.552679,-0.30568655,0.0015092823,145.74629,0.0046818642,194.60216,9.4916791e-10,-13.55009,-0.092970395,4.5319414,145.74629,3.6692422,194.60216,0.068782744,11704.661,278532.63,1.2202041,476.71994,1,2
-0.01110175,-0.0048881302,5.7092368,2.2711649,35.759797,0.46736994,0.92708384,-2.1061987,-0.13902059,5.080214,15.150265,36.45442,-15.401756,0.011466877,-0.026199383,-0.1726225,5.080214,0.1517727,36.45442,0.049990907,0.0016461337,-2.2897409,-0.08115759,5.0818512,28.213515,36.468111,-25.517173,0.14186355,8.815151e-05,0.058343392,2.3248994,0.0015109082,0.5829966,0.0046851716,0.25468603,-0.00024528906,-0.16307532,0.16013732,0.0015041458,0.051341836,0.004761906,0.0019080654,-2.5713915,-0.57030813,14.995934,4.5087758,-15.521853,3.8848,1.9166329e-32,-34.726476,-0.23585733,5.7194798,147.23509,35.735476,196.8308,7.2787077e-06,71.254505,0.20390691,2.3248994,349.44624,0.5829966,475.19632,5.8246358e-05,-239.15719,-0.67564801,14.995934,353.96713,-15.521853,486.47253,2.4787694e-49,5.8496666,0.040624897,2.3248994,143.99216,0.5829966,191.41462,0.42790978,-42.049357,-0.29154222,14.995934,144.23076,-15.521853,189.50848,1.7478187e-08,-5.6958893,-0.039491501,0.16013732,144.23076,0.051341836,189.50848,0.45507316,-38.175403,-0.2582948,28.213515,147.7978,-25.517173,194.74498,2.0541408e-06,-42.669607,-0.29598737,0.0015136804,144.16023,0.0046790595,191.93143,3.3334235e-09,-12.471402,-0.086510696,4.5376911,144.16023,3.6370846,191.93143,0.090473571,11697.649,278505.78,1.2203869,474.64157,1,3
-0.018545126,-0.009412426,5.7373354,1.9702812,35.719683,0.48449839,0.86012104,-2.6380525,-0.16896571,5.1052135,15.612946,36.417418,-15.36611,0.0020704105,-0.0088097589,-0.059055029,5.1052135,0.14917881,36.417418,0.050347514,0.28477644,-2.4068732,-0.084794129,5.1060451,28.384904,36.432061,-25.582675,0.12479907,8.3344411e-05,0.055153211,2.0499688,0.0015111434,0.58585846,0.0046652391,0.28100024,-0.00027863642,-0.18541225,0.14350391,0.0015027941,0.047161628,0.00474354,0.00039805631,-2.6808935,-0.59019706,15.417908,4.5423701,-15.474351,3.7987438,2.9413118e-35,-36.087941,-0.24860721,5.7477033,145.16048,35.695192,194.10793,2.1848793e-06,76.812287,0.21618805,2.0499688,355.30312,0.58585846,473.92105,1.9266054e-05,-247.84866,-0.68858613,15.417908,359.93849,-15.474351,484.47845,4.7795566e-52,18.609291,0.13119355,2.0499688,141.84609,0.58585846,188.45373,0.010064383,-41.657623,-0.29328911,15.417908,142.03604,-15.474351,186.68279,1.3586206e-08,-11.012076,-0.077530156,0.14350391,142.03604,0.047161628,186.68279,0.1415136,-34.119614,-0.23439486,28.384904,145.56469,-25.582675,192.10172,1.7442334e-05,-41.164702,-0.28966175,0.0015139416,142.11301,0.0046591208,189.03076,7.0521569e-09,-12.538887,-0.088231804,4.5808122,142.11301,3.5420299,189.03076,0.0838132,11647.802,278422.19,1.220557,473.36936,1,4
-0.010070609,-0.0043637212,5.7461945,2.3078031,35.708411,0.50085846,0.93498083,-2.0316676,-0.13459261,5.1193498,15.094942,36.383517,-15.375634,0.014410606,-0.010133926,-0.07407658,5.1193498,0.13680337,36.383517,0.049331505,0.17946415,-1.5061631,-0.052768691,5.1194353,28.542741,36.398968,-26.505015,0.34000297,6.8914265e-05,0.045505753,2.3239579,0.0015144078,0.6354866,0.004657267,0.37447924,-0.00020844993,-0.13839203,0.13296206,0.0015062279,0.046754252,0.0047317302,0.008463175,-2.5388272,-0.55764521,14.97253,4.5527643,-15.488738,3.7173269,6.9032988e-31,-34.819062,-0.24813291,5.7703642,140.32424,35.657092,188.9,2.2876295e-06,82.422087,0.23283165,2.3239579,353.99863,0.6354866,472.7613,4.1216094e-06,-239.58608,-0.668097,14.97253,358.60972,-15.488738,482.01781,5.1050578e-48,17.193192,0.12497862,2.3239579,137.56907,0.6354866,183.43435,0.014385575,-41.951493,-0.30450205,14.97253,137.77081,-15.488738,182.05033,3.498434e-09,-18.269376,-0.13260702,0.13296206,137.77081,0.046754252,182.05033,0.011670891,-38.116187,-0.27171793,28.542741,140.27852,-26.505015,186.61338,5.608853e-07,-42.281303,-0.30597022,0.0015198277,138.18764,0.00464511,184.6134,8.6935373e-10,-16.042926,-0.11609524,4.601275,138.18764,3.4514896,184.6134,0.022711408,11612.775,278337.47,1.2208438,471.18161,1,5
-0.029406219,-0.01541728,5.7986346,1.9073545,35.615458,0.37978225,0.77253115,-2.3654015,-0.1546241,5.1449338,15.297754,36.344309,-15.017247,0.0048750242,-0.013352271,-0.098164849,5.1449338,0.13601886,36.344309,0.044487109,0.074946802,-1.1913404,-0.043317615,5.1444465,27.502447,36.360401,-25.256991,0.43357569,-0.00012025273,-0.078679125,2.0089333,0.0015283943,0.50358775,0.0046202772,0.12327638,-0.00020786945,-0.13718334,0.14499734,0.0015152675,0.046254702,0.0047065982,0.0090596927,-2.588002,-0.56244062,15.118954,4.6013781,-14.989581,3.6409044,1.6800586e-31,-35.088765,-0.23906088,5.7986346,146.77753,35.615458,189.88714,5.412991e-06,60.562972,0.17251779,2.0089333,351.05348,0.50358775,469.12901,0.00067494332,-224.76065,-0.63212557,15.118954,355.5633,-14.989581,480.2551,1.1319879e-41,31.601362,0.2176317,2.0089333,145.2057,0.50358775,185.86588,1.6466056e-05,-43.270051,-0.29612925,15.118954,146.1188,-14.989581,184.03754,9.6880104e-09,-14.664326,-0.10035892,0.14499734,146.1188,0.046254702,184.03754,0.056777663,-41.055462,-0.27722697,27.502447,148.09332,-25.256991,188.41898,3.2249444e-07,-43.572682,-0.30007556,0.0015283943,145.2057,0.0046202772,185.86588,1.8809276e-09,-15.07286,-0.1038035,4.655774,145.2057,3.3689909,185.86588,0.041785401,11550.693,278256.18,1.2211758,469.12901,1,6
-0.093284191,-0.048618997,5.822528,1.9186778,35.606574,0.42176615,0.36310387,-2.6291779,-0.16944704,5.177112,15.516222,36.315088,-14.999856,0.0020415172,-0.012093935,-0.076510191,5.177112,0.15806959,36.315088,0.04889212,0.16620008,-0.75888605,-0.027791725,5.1835441,27.306187,36.326801,-24.175535,0.61655839,-7.4326424e-05,-0.048785386,2.1172657,0.0015235387,0.55596247,0.0046167732,0.340998,-0.00020539848,-0.13574768,0.17482256,0.0015130902,0.053762294,0.0046979518,0.0099195758,-2.5336532,-0.54830396,15.472386,4.6208917,-14.979145,3.6051944,1.2152349e-29,-38.381259,-0.25119855,5.8331145,152.79252,35.581626,188.48644,1.7554993e-06,47.836926,0.13517618,2.1172657,353.88577,0.55596247,468.4331,0.0080737105,-228.55778,-0.6379743,15.472386,358.25547,-14.979145,478.95992,1.5612501e-42,28.429079,0.18811924,2.1172657,151.12265,0.55596247,184.42331,0.00021336541,-47.432266,-0.31074031,15.472386,152.64279,-14.979145,182.98335,1.6891865e-09,-18.663803,-0.12227111,0.17482256,152.64279,0.053762294,182.98335,0.020309711,-36.376584,-0.23619576,27.306187,154.01032,-24.175535,185.80713,1.5886252e-05,-42.911658,-0.2828697,0.0015265412,151.70114,0.0046104778,185.20529,1.6942682e-08,-11.413277,-0.075235271,4.6735887,151.70114,3.3322135,185.20529,0.14113321,11526.195,278217.1,1.2214164,467.86934,1,7
-0.15123302,-0.069936636,5.7824198,2.1624291,35.63698,0.62041421,0.19371538,-2.932094,-0.18703332,5.0974038,15.676854,36.348396,-14.633734,0.00072954736,-0.0030033989,-0.014927143,5.0974038,0.20120387,36.348396,0.064760519,0.78927789,-0.034411557,-0.0014070802,5.1990219,24.456003,36.304714,-19.404154,0.97984058,-8.4342125e-05,-0.055200379,2.2485283,0.0015279266,0.71461621,0.0046236769,0.28633541,-0.00026484669,-0.17722733,0.20372024,0.0014943897,0.065256668,0.0046952784,0.00085315823,-2.6211097,-0.57839211,15.887661,4.5317176,-14.795518,3.6297372,8.1580778e-33,-35.810997,-0.24190269,5.8646402,148.03885,35.544806,187.85995,4.7043497e-06,52.388662,0.146769,2.2485283,356.94638,0.71461621,478.39147,0.0043978359,-244.31061,-0.67593277,15.887661,361.44218,-14.795518,486.6284,2.5368052e-48,30.51716,0.20638668,2.2485283,147.864,0.71461621,185.35938,5.6552266e-05,-44.223819,-0.29788131,15.887661,148.46121,-14.795518,182.93985,1.2068551e-08,-9.996741,-0.067294738,0.20372024,148.5516,0.065256668,183.25975,0.20850196,-39.833127,-0.2672029,24.456003,149.07445,-19.404154,185.47669,1.0204002e-06,-40.620038,-0.27608499,0.0015365031,147.12874,0.0046107094,185.17836,4.4788586e-08,-10.480145,-0.071231116,4.6916924,147.12874,3.3316592,185.17836,0.16582744,11526.774,278202.25,1.2209237,476.40026,1,8
