SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00011166502,-0.14753138,20.370959,0.00075688997,79.729158,0.017884027,0.088920246,0.00017435127,0.23035221,0.10904741,0.00075688997,0.53007846,0.017884027,0.0074141332,0.38524576,0.33752159,9.1551374,1.1413959,17.563065,25.551734,6.6584452e-05,,,,,,,,65.435017,0.39316875,20.370959,166.42985,79.729158,510.02237,2.6107092e-06,27.890083,0.16757861,9.1551374,166.42985,17.563065,510.02237,0.052941465,105.15909,0.64508531,20.370959,163.01578,79.729158,346.92619,4.0123219e-17,72.477842,0.44460629,9.1551374,163.01578,17.563065,346.92619,7.3737921e-08,-59.905225,-0.36748114,0.10904741,163.01578,0.53007846,346.92619,1.2546023e-05,111.90437,0.66640669,39.717207,167.92204,119.07667,362.00478,1.5568658e-14,-74.800603,-0.45885498,0.00075688997,163.01578,0.017884027,346.92619,2.4617597e-08,139.9403,0.85844634,1.1413959,163.01578,25.551734,346.92619,4.2723023e-40,44710.069,302216.57,1.1487918,510.02237,1,daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00010267312,-0.11651069,8.741601,0.0008812335,3.0708385,0.017973205,0.18680272,-2.1179717e-05,-0.024034172,0.36239239,0.0008812335,0.21442364,0.017973205,0.78606473,-0.24541498,-0.20126076,10.772057,1.2193881,-14.338224,24.615715,0.021669571,,,,,,,,27.86524,0.15505087,8.741601,179.71676,3.0708385,334.69663,0.078162888,-105.14395,-0.58505367,10.772057,179.71676,-14.338224,334.69663,2.6815602e-13,24.17851,0.15826715,8.741601,152.77023,3.0708385,216.54823,0.072106113,-36.930742,-0.24174043,10.772057,152.77023,-14.338224,216.54823,0.0055907634,-8.9689688,-0.058708877,0.36239239,152.77023,0.21442364,216.54823,0.50701565,-35.586046,-0.21885593,11.68507,162.60033,-23.679626,224.07526,0.029526074,-50.16243,-0.32835212,0.0008812335,152.77023,0.017973205,216.54823,0.00013677176,119.57806,0.78273139,1.2193881,152.77023,24.615715,216.54823,3.8823319e-28,44933.012,301281.3,1.1644836,334.69663,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00023862703,-0.2673313,9.2123749,0.0008926266,3.3727622,0.017849202,0.0021066491,-8.1644683e-05,-0.091465662,0.40708269,0.0008926266,0.25543057,0.017849202,0.30068383,-0.18437466,-0.1586918,11.013011,1.1618411,-14.443833,24.285154,0.071335626,,,,,,,,20.84776,0.10989369,9.2123749,189.70844,3.3727622,337.77791,0.2132594,-111.46165,-0.58754188,11.013011,189.70844,-14.443833,337.77791,2.0093102e-13,36.425968,0.26517435,9.2123749,137.36611,3.3727622,190.14949,0.0022958165,-30.379365,-0.22115619,11.013011,137.36611,-14.443833,190.14949,0.01145163,-15.316289,-0.11149977,0.40708269,137.36611,0.25543057,190.14949,0.20660474,-40.662785,-0.27900919,11.261749,145.73995,-22.550899,196.46779,0.0051641312,-39.544984,-0.28788021,0.0008926266,137.36611,0.017849202,190.14949,0.00089619397,101.43313,0.73841455,1.1618411,137.36611,24.285154,190.14949,1.1844768e-23,44623.004,300976.78,1.1645129,337.77791,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00018072899,-0.20102638,9.3194996,0.00089903119,0.88190713,0.017799011,0.021826113,-0.00013214732,-0.14698858,0.35228279,0.00089903119,0.23602855,0.017799011,0.095153347,-0.18848804,-0.1678867,11.346767,1.1227098,-14.719389,24.047392,0.056224697,,,,,,,,21.520832,0.1123205,9.3194996,191.60199,0.88190713,347.62211,0.2032622,-108.51656,-0.56636446,11.346767,191.60199,-14.719389,347.62211,2.1712607e-12,29.889462,0.24119763,9.3194996,123.92104,0.88190713,166.58769,0.0057018387,-31.715388,-0.25593223,11.346767,123.92104,-14.719389,166.58769,0.0032926758,-7.0749939,-0.057092757,0.35228279,123.92104,0.23602855,166.58769,0.51879948,-38.994499,-0.29745074,11.367863,131.09565,-22.331092,171.23283,0.0029349943,-29.690106,-0.2395889,0.00089903119,123.92104,0.017799011,166.58769,0.0060426861,86.905346,0.70129613,1.1227098,123.92104,24.047392,166.58769,1.5259052e-20,44497.527,300751.79,1.1639801,347.62211,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.2235649e-05,-0.046293821,9.0984224,0.00091233879,1.9491085,0.017778009,0.60096491,-4.8913689e-05,-0.053613514,0.36884215,0.00091233879,0.22583809,0.017778009,0.5446342,-0.14246682,-0.13384457,10.03497,1.0644199,-15.03451,23.811462,0.12897323,,,,,,,,4.7209308,0.025243275,9.0984224,187.01737,1.9491085,353.31917,0.77558036,-94.570917,-0.50567987,10.03497,187.01737,-15.03451,353.31917,8.4293165e-10,17.397844,0.15364035,9.0984224,113.23747,1.9491085,139.46965,0.080945154,-23.137516,-0.20432738,10.03497,113.23747,-15.03451,139.46965,0.019708714,-0.78845041,-0.0069628047,0.36884215,113.23747,0.22583809,139.46965,0.93733298,-35.41715,-0.29413906,11.858379,120.40955,-21.81996,144.19427,0.0031252321,-28.354936,-0.25040241,0.00091233879,113.23747,0.017778009,139.46965,0.004061107,73.492343,0.6490108,1.0644199,113.23747,23.811462,139.46965,6.7898805e-17,44445.022,300508.84,1.1640372,353.31917,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.0588654e-05,-0.066972028,7.6805506,0.00090468598,0.83801538,0.017747189,0.44900543,-3.1547505e-06,-0.0034871221,0.31067872,0.00090468598,0.17675147,0.017747189,0.96859107,-0.070431841,-0.069947849,9.3411171,1.0069193,-15.750628,23.606008,0.42906377,,,,,,,,-10.362859,-0.055914389,7.6805506,185.33439,0.83801538,362.62969,0.52747875,-78.655596,-0.42439826,9.3411171,185.33439,-15.750628,362.62969,4.8513336e-07,15.291166,0.15187563,7.6805506,100.68216,0.83801538,116.74967,0.084537343,-12.258058,-0.12175006,9.3411171,100.68216,-15.750628,116.74967,0.16761861,-3.0572898,-0.030365757,0.31067872,100.68216,0.17675147,116.74967,0.73162997,-27.113728,-0.2542715,10.774342,106.63298,-21.51197,120.5716,0.011093905,-23.511465,-0.23352167,0.00090468598,100.68216,0.017747189,116.74967,0.0074971157,60.708995,0.60297672,1.0069193,100.68216,23.606008,116.74967,3.1701865e-14,44367.973,300279.17,1.1639859,362.62969,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.4596686e-05,-0.067443509,7.9481397,0.00080951728,0.27128571,0.017606581,0.453037,3.3157837e-05,0.040960012,0.30020759,0.00080951728,0.1763751,0.017606581,0.64883303,-0.15473553,-0.18086815,8.8235225,0.85551563,-13.857836,23.354976,0.042687604,,,,,,,,-6.9383748,-0.0393655,7.9481397,176.25522,0.27128571,365.07871,0.66164545,-69.445821,-0.39400718,8.8235225,176.25522,-13.857836,365.07871,5.0023573e-06,6.1150489,0.073376621,7.9481397,83.337838,0.27128571,100.17714,0.41418944,-16.862162,-0.20233501,8.8235225,83.337838,-13.857836,100.17714,0.023079018,-13.794126,-0.16552056,0.30020759,83.337838,0.1763751,100.17714,0.063990685,-17.735003,-0.20175961,11.459424,87.90165,-16.309424,103.16084,0.045216751,-22.430139,-0.26914712,0.00080951728,83.337838,0.017606581,100.17714,0.0023075275,45.139369,0.54164315,0.85551563,83.337838,23.354976,100.17714,5.7853078e-11,44016.452,299985.28,1.1648053,365.07871,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.489958e-05,-0.041970227,14.053253,0.00083153183,10.925983,0.0176596,0.64076812,8.5214195e-05,0.10247857,0.52917094,0.00083153183,0.59606686,0.0176596,0.25351059,-0.0037670907,-0.0043027631,9.1607853,0.87550502,-6.2657008,23.458563,0.96186188,,,,,,,,21.301863,0.12635746,14.053253,168.58413,10.925983,390.16474,0.15857481,0.10901253,0.00064663576,9.1607853,168.58413,-6.2657008,390.16474,0.99426635,18.333951,0.23917877,14.053253,76.653757,10.925983,105.81807,0.0069907653,-4.3196807,-0.05635315,9.1607853,76.653757,-6.2657008,105.81807,0.53081877,13.463453,0.17563984,0.52917094,76.653757,0.59606686,105.81807,0.049157361,26.244979,0.31433647,31.303748,83.49327,44.457939,108.17283,0.0015316986,-15.935726,-0.2078923,0.00083153183,76.653757,0.0176596,105.81807,0.019495925,39.652856,0.51729827,0.87550502,76.653757,23.458563,105.81807,5.5734565e-10,44149,300036.49,1.1632824,390.16474,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00012267108,0.15124157,37.403821,0.0008110937,60.652056,0.017984233,0.090931998,1.4778741e-05,0.018220757,0.23190845,0.0008110937,0.7207114,0.017984233,0.83952122,0.46696776,0.42403217,20.089867,1.1012555,20.640532,24.04231,7.5050015e-07,,,,,,,,40.839435,0.22243438,37.403821,183.60217,60.652056,443.13784,0.012301306,53.745117,0.29272593,20.089867,183.60217,20.640532,443.13784,0.00088018159,65.538366,0.62535798,37.403821,104.80136,60.652056,140.03436,4.9667655e-15,50.48813,0.48175072,20.089867,104.80136,20.640532,140.03436,1.1226431e-08,13.731398,0.13102309,0.23190845,104.80136,0.7207114,140.03436,0.14363574,77.573902,0.70188247,72.873356,110.52264,159.12497,149.27306,5.8162177e-16,-2.6021206,-0.024829073,0.0008110937,104.80136,0.017984233,140.03436,0.78257067,78.038405,0.74463162,1.1012555,104.80136,24.04231,140.03436,1.6206086e-23,44960.582,300565.95,1.1587331,443.13784,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6208511e-06,0.0071657565,65.737781,0.00078440443,157.64052,0.018142982,0.93576309,0.00010242524,0.13057708,0.099627069,0.00078440443,0.76498259,0.018142982,0.14022384,0.5640277,0.42035546,28.567937,1.3417875,50.750527,24.962116,7.0641555e-07,,,,,,,,39.026017,0.20298967,65.737781,192.25617,157.64052,522.85015,0.021046286,43.661172,0.22709893,28.567937,192.25617,50.750527,522.85015,0.0096492689,83.699007,0.52979107,65.737781,157.98493,157.64052,236.04883,1.0750933e-10,79.096236,0.50065683,28.567937,157.98493,50.750527,236.04883,1.5216262e-09,-24.180278,-0.15305433,0.099627069,157.98493,0.76498259,236.04883,0.083333952,110.96824,0.71125612,120.51329,156.01728,285.04624,252.91359,1.1132952e-16,-26.457805,-0.16747043,0.00078440443,157.98493,0.018142982,236.04883,0.057827307,134.78373,0.85314292,1.3417875,157.98493,24.962116,236.04883,1.0640296e-37,45357.456,301458.79,1.151126,522.85015,1,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.9587893e-05,-0.099541478,80.911888,0.00090000566,209.24381,0.017973723,0.26170957,7.8465951e-05,0.087183841,0.094565653,0.00090000566,0.75464946,0.017973723,0.32587715,0.66876241,0.45354856,40.605979,1.4745112,74.232196,25.807349,6.7484195e-08,,,,,,,,49.524026,0.25399309,80.911888,194.98179,209.24381,605.2212,0.0036782046,39.594582,0.2030681,40.605979,194.98179,74.232196,605.2212,0.020995595,115.14914,0.58920687,80.911888,195.43074,209.24381,361.09212,2.0550654e-13,95.422236,0.48826625,40.605979,195.43074,74.232196,361.09212,4.3639226e-09,-39.100237,-0.20007209,0.094565653,195.43074,0.75464946,361.09212,0.023008113,135.11614,0.72152148,143.46601,187.26558,363.97903,379.87212,7.6401495e-17,-72.024177,-0.36854067,0.00090000566,195.43074,0.017973723,361.09212,1.7286337e-05,166.94703,0.85425162,1.4745112,195.43074,25.807349,361.09212,6.8219138e-38,44934.308,302299.32,1.1432406,605.2212,1,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00011595358,-0.11607487,95.142266,0.00099895513,239.44769,0.01781533,0.18846787,8.0471761e-05,0.080467094,0.10349057,0.001000058,0.75929947,0.017821862,0.36466812,0.56739534,0.37084251,48.052546,1.530017,82.16905,26.494465,1.5166448e-05,,,,,,,,30.523769,0.14880338,95.142266,205.1282,239.44769,676.61394,0.09109423,23.951495,0.11650171,48.052546,205.58921,82.16905,675.58249,0.18857449,104.60585,0.4603298,95.142266,227.24111,239.44769,467.73289,3.5796939e-08,101.55296,0.44873199,48.052546,226.31094,82.16905,465.22305,9.6384314e-08,-33.373687,-0.14746829,0.10349057,226.31094,0.75929947,465.22305,0.095366103,137.96996,0.64633956,163.90827,213.46358,407.02842,488.98016,4.9968156e-13,-121.79576,-0.53597592,0.00099895513,227.24111,0.01781533,467.73289,4.9843099e-11,195.52596,0.86043394,1.5324164,227.24111,26.508469,467.73289,2.7091112e-39,44538.324,303023.34,1.1362167,676.61394,1,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00017424617,-0.17088103,95.226672,0.0010196929,247.32031,0.017787303,0.052841917,0.00040696955,0.39794562,0.10123995,0.0010226763,0.75290036,0.017791316,3.2924945e-06,0.74618623,0.45726487,51.240974,1.6318468,88.147095,26.913961,5.7633738e-08,,,,,,,,53.668311,0.24093144,95.226672,222.75346,247.32031,735.12633,0.0059511868,67.358975,0.30737665,51.240974,219.14148,88.147095,739.03546,0.00041666744,119.70782,0.47575437,95.226672,251.61687,247.32031,520.74633,1.2128744e-08,146.66617,0.58183988,51.240974,252.07308,88.147095,522.18399,5.909018e-13,-94.095138,-0.37328515,0.10123995,252.07308,0.75290036,522.18399,1.4265115e-05,169.88921,0.68812109,185.96799,246.88854,427.67147,540.93344,3.4944376e-14,-149.14487,-0.59274592,0.0010196929,251.61687,0.017787303,520.74633,1.3585095e-13,222.80182,0.88548044,1.6344646,251.61687,26.898876,520.74633,4.2583408e-44,44468.257,303455.3,1.1305696,735.12633,1,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00011235127,-0.10341209,107.17889,0.0010864424,257.30916,0.017808813,0.24539216,0.00023047296,0.21370575,0.14235046,0.0010784594,0.74709222,0.017800097,0.016271841,1.0354872,0.55286223,56.014147,1.8729571,91.330759,27.216635,1.9135169e-11,,,,,,,,88.481294,0.38135468,107.17889,232.01837,257.30916,766.77921,8.9443682e-06,72.555389,0.3109919,56.014147,233.30315,91.330759,768.39565,0.00039351552,154.33325,0.53681617,107.17889,287.49739,257.30916,558.97263,6.4967419e-11,170.962,0.59233346,56.014147,288.62459,91.330759,560.73029,2.7583462e-13,-71.07006,-0.24623703,0.14235046,288.62459,0.74709222,560.73029,0.0054461684,188.53433,0.67306875,178.68598,280.11155,445.30022,587.41608,4.2875658e-14,-174.18456,-0.60586485,0.0010864424,287.49739,0.017808813,558.97263,3.5331422e-14,260.06764,0.90459132,1.8589718,287.49739,27.21007,558.97263,1.7188661e-48,44522.033,303829.48,1.1268594,766.77921,1,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.8083772e-05,-0.075224543,108.33874,0.0011709446,243.92633,0.01784464,0.40249982,0.0002909655,0.25095582,0.11025635,0.0011594292,0.76852365,0.017827368,0.0047590648,0.96124842,0.49804952,51.367941,1.9300258,83.867372,27.495064,3.4226876e-09,,,,,,,,66.428217,0.27394832,108.33874,242.48448,243.92633,774.8752,0.001909095,65.374912,0.26909827,51.367941,242.94066,83.867372,776.28581,0.0024088183,139.72179,0.45027267,108.33874,310.30485,243.92633,592.98273,1.2224955e-07,164.3153,0.52843675,51.367941,310.94601,83.867372,594.70831,2.3904835e-10,-122.45348,-0.39380945,0.11025635,310.94601,0.76852365,594.70831,5.527875e-06,195.3267,0.65421022,152.1862,298.56871,412.53426,635.11645,2.0896573e-13,-206.28661,-0.66478694,0.0011709446,310.30485,0.01784464,592.98273,2.0967935e-17,282.16753,0.90932361,1.9223404,310.30485,27.496302,592.98273,4.7216207e-49,44611.601,304194.23,1.1247835,774.8752,1,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00028685403,-0.24701822,95.484705,0.0011612667,200.8181,0.017798058,0.0051141624,0.00021021725,0.18102409,0.15639983,0.0011612667,0.79147316,0.017798058,0.04167746,0.86670309,0.42403187,46.796585,2.0439574,59.125291,27.646787,6.7715417e-07,,,,,,,,61.501829,0.26075473,95.484705,235.86084,200.8181,776.70895,0.003067392,33.124223,0.14043969,46.796585,235.86084,59.125291,776.70895,0.11529293,172.55317,0.52858709,95.484705,326.44228,200.8181,619.00722,1.6858203e-10,149.54601,0.45810858,46.796585,326.44228,59.125291,619.00722,6.109173e-08,-43.89064,-0.13445146,0.15639983,326.44228,0.79147316,619.00722,0.13179494,202.29575,0.64707301,142.75175,312.63203,331.76716,665.1075,8.0142296e-13,-216.83458,-0.66423561,0.0011612667,326.44228,0.017798058,619.00722,1.6949426e-17,300.68354,0.92109252,2.0439574,326.44228,27.646787,619.00722,4.7792171e-53,44495.146,304428.56,1.1232943,776.70895,1,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00034740219,-0.29602033,87.937752,0.0011735754,152.69435,0.017961413,0.00072734831,0.00014411517,0.12280009,0.18938247,0.0011735754,0.83044936,0.017961413,0.16900269,0.88385544,0.42196787,36.473767,2.0946037,37.437281,27.58115,7.769122e-07,,,,,,,,54.981641,0.23473086,87.937752,234.23269,152.69435,753.67562,0.0078991945,40.676118,0.17365688,36.473767,234.23269,37.437281,753.67562,0.05087582,176.56143,0.53871299,87.937752,327.74674,152.69435,593.43135,6.4388926e-11,143.37862,0.43746771,36.473767,327.74674,37.437281,593.43135,2.7061028e-07,-58.170794,-0.17748703,0.18938247,327.74674,0.83044936,593.43135,0.045903495,220.03992,0.67569274,117.09274,325.65086,223.93428,634.9496,2.3016986e-14,-207.66476,-0.6336135,0.0011735754,327.74674,0.017961413,593.43135,1.299815e-15,300.99396,0.91837363,2.0946037,327.74674,27.58115,593.43135,3.6449659e-52,44903.533,304414.57,1.1244782,753.67562,1,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00032051946,-0.26324595,49.254992,0.0012175665,77.558349,0.017978164,0.0028995268,0.00015663866,0.12864895,0.23389208,0.0012175665,0.92757575,0.017978164,0.15109854,0.3335063,0.15789848,17.207044,2.1121565,7.3060579,27.421468,0.077423236,,,,,,,,68.830805,0.28856044,49.254992,238.53167,77.558349,701.48934,0.0010499239,9.8591995,0.041332874,17.207044,238.53167,7.3060579,701.48934,0.64585153,151.66445,0.47200145,49.254992,321.32201,77.558349,572.3279,2.413522e-08,51.812781,0.16124878,17.207044,321.32201,7.3060579,572.3279,0.071263091,-11.434014,-0.035584284,0.23389208,321.32201,0.92757575,572.3279,0.69241704,192.54763,0.585365,55.555303,328.93601,94.966143,607.34688,2.4450549e-10,-187.17337,-0.58251029,0.0012175665,321.32201,0.017978164,572.3279,8.3579568e-13,290.29177,0.90342946,2.1121565,321.32201,27.421468,572.3279,1.9468617e-47,44945.411,304272.71,1.1284783,701.48934,1,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00028997103,-0.24707124,16.702734,0.0011736333,19.632009,0.018060625,0.005472986,4.9732465e-05,0.04237479,0.40764425,0.0011736333,0.95777889,0.018060625,0.63891538,0.043841587,0.023038959,7.5253099,1.9029327,-6.248912,26.994472,0.79870033,,,,,,,,53.677703,0.23926493,16.702734,224.34422,19.632009,610.15427,0.0072023881,-65.363809,-0.29135499,7.5253099,224.34422,-6.248912,610.15427,0.00097881739,93.184279,0.31994948,16.702734,291.24685,19.632009,508.99799,0.00027551116,-36.904193,-0.12671104,7.5253099,291.24685,-6.248912,508.99799,0.15909472,22.846482,0.078443703,0.40764425,291.24685,0.95777889,508.99799,0.38454237,29.273675,0.098030583,14.181539,298.61778,-5.1934021,528.62576,0.33943794,-169.56685,-0.58221006,0.0011736333,291.24685,0.018060625,508.99799,1.0669691e-12,259.52812,0.8910933,1.9029327,291.24685,26.994472,508.99799,5.0348885e-44,45151.563,303829.46,1.136364,610.15427,1,17
