SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.3705715,0.14917301,2.656885,9.1877984,28.551687,6.4737811,0.0042878806,-4.6755942,-0.27149342,2.6507517,17.221759,28.556136,-6.9016973,1.27173e-07,0.024724789,0.19644931,2.656885,0.12585836,28.551687,0.21977821,0.00015863006,3.268362,0.19310692,2.3542258,16.925142,28.29026,1.4202453,0.00017516761,0.00010052254,0.088055782,8.9258368,0.001141578,6.3137815,0.0043518746,0.080092488,0.00028497483,0.24963238,0.1227348,0.001141578,0.22094683,0.0043518746,4.8589549e-07,-1.1316133,-0.35897745,16.798426,3.1523243,-6.8890831,2.708068,1.5052317e-13,5.6431013,0.042257556,1.7969303,133.54064,28.484634,85.058174,0.61503747,56.251694,0.37539957,8.9258368,149.84485,6.3137815,202.53477,1.0644239e-14,-88.485181,-0.59016103,16.798426,149.93396,-6.8890831,202.59159,1.0294175e-38,34.893272,0.26384595,10.159784,132.24866,5.4591587,85.600157,0.0015705521,-9.3389417,-0.070616533,16.669989,132.24866,-4.9581764,85.600157,0.40535245,-1.0940056,-0.0082723381,0.096378551,132.24866,0.20327021,85.600157,0.92244381,-57.385691,-0.46158485,14.628751,124.32317,4.7227322,80.127165,1.2830081e-10,-56.047749,-0.45082304,0.00097726318,124.32317,0.0042886841,80.127165,3.8353555e-10,-34.483155,-0.27736709,2.7148558,124.32317,1.9059717,80.127165,0.00020231569,10721.71,276023.6,1.2610324,180.83198,1,daily
0.91968548,0.13718036,2.639025,6.7042069,28.486247,2.0147997,0.012088907,-5.4275926,-0.2067067,2.7472457,26.257458,28.665187,-15.02102,8.5324077e-05,0.0035906515,0.012826713,2.639025,0.27993544,28.486247,0.13178567,0.81533628,8.6604462,0.26146316,2.4489991,33.123007,28.410015,-25.047711,3.2511574e-07,3.7837052e-05,0.020452296,6.4570953,0.0018500149,1.943224,0.0042556954,0.69694992,9.7731875e-05,0.052827615,0.29171677,0.0018500149,0.14088325,0.0042556954,0.3141697,-0.98583886,-0.25434733,25.662557,3.8759552,-14.769256,2.2648947,3.9562303e-07,1.23477,0.0096774274,1.9646367,127.59279,28.613588,54.020475,0.9089974,79.195683,0.43767062,6.4570953,180.94814,1.943224,148.74529,1.637425e-18,-92.05646,-0.49330325,25.662557,186.61231,-14.769256,155.213,3.9801185e-25,69.249982,0.55093027,5.1506276,125.69646,1.6656776,53.346346,5.3013476e-12,-33.35673,-0.26537526,21.433044,125.69646,-12.723941,53.346346,0.0019422714,-14.165789,-0.1126984,0.31129393,125.69646,0.14838477,53.346346,0.19480649,-36.943217,-0.31460987,31.006658,117.42549,-23.653016,51.523959,2.4911887e-05,-8.2831254,-0.070539417,0.0023052928,117.42549,0.0042644681,51.523959,0.35641152,-10.871593,-0.092582904,3.9790206,117.42549,1.3360305,51.523959,0.22569854,10661.17,275436.33,1.2674944,129.3933,1,0
1.0082481,0.10387932,2.6060463,9.7059559,28.462839,2.5080835,0.056405731,-4.3144733,-0.15533641,2.7044687,27.775029,28.633159,-15.364729,0.003298791,-0.021277277,-0.087362012,2.6060463,0.24355296,28.462839,0.11407881,0.10887997,7.9920391,0.24658635,2.4280402,32.410712,28.390372,-24.689025,1.5244364e-06,7.9954238e-05,0.067469444,9.3204073,0.0011850437,2.3464625,0.0041843344,0.19596875,1.5115085e-05,0.012754876,0.24500081,0.0011850437,0.11597308,0.0041843344,0.80708227,-0.94097895,-0.26415322,26.872466,3.5622468,-15.22216,2.1520759,1.3373199e-07,0.16324123,0.0012166741,1.9319881,134.17005,28.595336,53.204518,0.98849361,69.518869,0.40292063,9.3204073,172.53738,2.3464625,147.57889,7.7745411e-16,-87.270236,-0.48895615,26.872466,178.48275,-15.22216,154.06147,1.1860981e-24,45.350805,0.35322983,9.5735758,128.38894,2.3988878,52.453442,2.4636285e-05,-37.881223,-0.29505051,22.049542,128.38894,-14.514229,52.453442,0.00048837577,-9.3569838,-0.072879981,0.2673223,128.38894,0.11972617,52.453442,0.39911862,-29.381416,-0.23903587,29.377436,122.91635,-23.049409,50.231519,0.0014903756,-37.608137,-0.3059653,0.0010491684,122.91635,0.0041361984,50.231519,4.0296831e-05,-14.903407,-0.12124838,3.2310947,122.91635,1.2161798,50.231519,0.11099572,10340.496,275315.71,1.2676381,130.81462,1,1
1.2748661,0.10903897,2.6011859,11.691839,28.448712,2.5231783,0.045476554,-3.2841043,-0.11666951,2.7411944,28.148779,28.629973,-13.847982,0.0281736,0.0053234668,0.021286277,2.5986786,0.25008914,28.438796,0.11782869,0.69744341,7.4135854,0.228685,2.4252123,32.418328,28.373687,-24.395082,8.6265466e-06,9.6244886e-05,0.071538205,11.218744,0.0013453634,2.3578988,0.0042038543,0.17086583,7.3610727e-05,0.054754513,0.26156142,0.0013443773,0.12402738,0.0041993167,0.29549075,-0.80949991,-0.21895929,27.218173,3.6970338,-13.732445,2.148101,1.4573506e-05,5.8090023,0.0407357,1.9269128,142.60225,28.576804,57.593893,0.62905784,73.309864,0.41866903,11.218744,175.10219,2.3578988,156.9815,4.7465473e-17,-88.985878,-0.49401237,27.218173,180.12885,-13.732445,160.76939,4.4107377e-25,48.890692,0.36298697,12.283926,134.68994,2.4718597,55.317119,1.404711e-05,-48.858603,-0.36246394,20.406663,134.79576,-12.73831,54.433974,1.5593605e-05,-17.330855,-0.12857122,0.30538994,134.79576,0.15356737,54.433974,0.13724035,-35.066296,-0.26908138,29.232754,130.31855,-22.665611,53.33466,0.00033030675,-26.977582,-0.20701259,0.0014035649,130.31855,0.0041658938,53.33466,0.0061298236,-9.235668,-0.070869939,3.5382431,130.31855,1.240122,53.33466,0.35274934,10414.735,275330.23,1.2665404,144.25325,1,2
0.89588475,0.10492188,2.5621346,8.5385885,28.444079,1.6005287,0.057286613,-3.524714,-0.13215663,2.7309126,26.670731,28.614263,-13.942135,0.012445996,-0.013989832,-0.054502048,2.5621346,0.25668451,28.444079,0.13851622,0.32435509,6.5281574,0.19731215,2.4212203,33.085431,28.352719,-24.195178,0.00012786499,3.8967637e-05,0.024389429,8.206836,0.0015977265,1.4459306,0.0042301564,0.6451067,3.8836681e-05,0.024307465,0.24784092,0.0015977265,0.13257201,0.0042301564,0.64621812,-0.88970649,-0.23224883,25.986558,3.8308329,-13.857073,2.0910582,3.886144e-06,10.32235,0.072739249,1.907488,141.90895,28.551156,58.91791,0.38626426,59.191981,0.34480815,8.206836,171.66642,1.4459306,153.016,1.8485114e-11,-94.300493,-0.51567466,25.986558,182.86819,-13.857073,162.61601,1.1196181e-27,75.619419,0.5527298,9.3408235,136.81082,1.314823,57.249541,3.0178243e-12,-55.56624,-0.40615383,30.571775,136.81082,-14.722145,57.249541,9.2970116e-07,-15.455639,-0.11297088,0.23849591,136.81082,0.12842214,57.249541,0.19036799,-44.2187,-0.33950322,30.811933,130.2453,-23.24307,54.588327,4.584864e-06,-17.521508,-0.13452698,0.00189727,130.2453,0.0041783195,54.588327,0.07676111,-7.1611199,-0.05498179,3.7521702,130.2453,1.1805132,54.588327,0.47116955,10445.799,275267.25,1.2667972,143.10412,1,3
0.89730274,0.075663417,2.6044794,11.859136,28.431519,2.6439797,0.16580124,-2.655399,-0.095028452,2.690395,27.943199,28.587605,-13.343399,0.074152875,0.0054679581,0.019160329,2.6044794,0.28537913,28.431519,0.14245437,0.72599188,6.9067373,0.21001118,2.425685,32.887475,28.335863,-23.762075,4.4547057e-05,0.00011002965,0.092873559,11.390793,0.0011847252,2.4433772,0.0041763562,0.07517253,2.9097046e-05,0.024560165,0.27617033,0.0011847252,0.13754043,0.0041763562,0.63863109,-0.88317716,-0.24327409,27.206431,3.630379,-13.313461,2.0439285,1.3610634e-06,10.984047,0.072272676,1.9056785,151.98063,28.532566,64.561786,0.39100692,40.844697,0.23384948,11.390793,174.66234,2.4433772,155.12696,5.7941468e-06,-73.845781,-0.4069816,27.206431,181.44747,-13.313461,161.13129,8.6051825e-17,100.98502,0.67050787,8.2588535,150.60974,1.9852381,62.594612,4.3034436e-19,-84.358385,-0.5601124,23.508359,150.60974,-13.252246,62.594612,1.3424967e-12,-20.902206,-0.13878389,0.19510393,150.60974,0.098589887,62.594612,0.10710276,-53.124257,-0.38157575,30.735995,139.22336,-23.3647,58.550995,2.0475652e-07,-39.935786,-0.28684688,0.0010374367,139.22336,0.0040699175,58.550995,0.00012431494,-5.3648764,-0.038534313,3.2386317,139.22336,1.0593609,58.550995,0.61368082,10174.794,275163.55,1.266815,142.33008,1,4
1.1214439,0.088225602,2.5790798,12.711094,28.419703,2.9310652,0.10593375,-4.1458345,-0.15327654,2.7062972,27.04807,28.58881,-14.389314,0.0036949844,0.0070456265,0.02378182,2.5790798,0.29626103,28.419703,0.14441259,0.66355111,6.8186299,0.20842639,2.4188708,32.714811,28.311165,-24.309348,5.0992618e-05,0.00014677629,0.1258567,12.199063,0.0011662175,2.7089661,0.0041555051,0.015702863,9.6360978e-05,0.082626934,0.28617058,0.0011662175,0.13648207,0.0041555051,0.11356427,-0.96457793,-0.2679987,26.284899,3.5991888,-14.178289,1.9743452,8.3085068e-08,8.386277,0.060488256,1.8793628,138.64306,28.496367,60.736896,0.47297719,46.323041,0.2766884,12.199063,167.41953,2.7089661,153.37815,6.8355955e-08,-62.864254,-0.37574409,26.284899,167.30604,-14.178289,156.51151,1.8606847e-14,85.379225,0.624767,6.0802392,136.65771,1.5938803,58.756063,3.3818085e-16,-57.750614,-0.42259318,24.529671,136.65771,-12.638518,58.756063,2.6883614e-07,-1.4608746,-0.010690028,0.25768365,136.65771,0.11921021,58.756063,0.9013306,-41.8084,-0.32875174,31.573322,127.17317,-23.889417,55.055671,9.4665243e-06,-42.861244,-0.33703056,0.00094992061,127.17317,0.0040437438,55.055671,5.4298572e-06,-12.889942,-0.1013574,3.0735403,127.17317,0.97565899,55.055671,0.18325843,10109.36,275086.63,1.2671297,139.17872,1,5
1.0917607,0.13593675,2.5790493,8.0313876,28.457708,1.9787581,0.012496675,-3.5970887,-0.15901413,2.6215246,22.621188,28.561427,-13.020851,0.0028521078,0.01584952,0.055584801,2.576027,0.28514125,28.447469,0.13871551,0.309689,6.3252507,0.19612851,2.4184447,32.250542,28.301772,-23.590222,0.00013770957,8.3722571e-05,0.073162628,7.7460978,0.0011443352,1.7896909,0.004141882,0.16133211,0.00010388295,0.090733947,0.29739232,0.0011449183,0.15000052,0.0041394165,0.082587735,-0.83592048,-0.23472483,21.959588,3.5612784,-12.608782,1.8769658,3.6310368e-06,1.4445098,0.011708545,1.8657608,123.37227,28.501594,52.156621,0.8896163,35.894623,0.23897023,7.7460978,150.20541,1.7896909,144.55489,3.5523761e-06,-58.755504,-0.37359014,21.959588,157.27263,-12.608782,150.73981,4.5899579e-14,61.119068,0.50105986,4.9437082,121.97957,1.0267646,52.95766,5.2064389e-10,-42.379558,-0.34680201,13.999634,122.20101,-9.1635181,52.312862,3.7782961e-05,-4.263627,-0.034890275,0.3189103,122.20101,0.17799215,52.312862,0.68787461,-37.538272,-0.33125191,30.738352,113.32243,-22.669395,48.073487,8.0172127e-06,-39.565048,-0.34913695,0.00093112089,113.32243,0.0040230788,48.073487,2.3390673e-06,-15.899317,-0.14030158,3.0441298,113.32243,0.85382555,48.073487,0.064818248,10057.697,274979.24,1.2678467,131.46912,1,6
0.70894151,0.078393667,2.5393736,9.0433518,28.402245,1.8184732,0.15409726,-3.1872466,-0.13834043,2.6302302,23.039155,28.563411,-13.341607,0.0093558033,-0.0051007817,-0.017700746,2.5393736,0.28816761,28.402245,0.13625284,0.74795904,5.975319,0.18715909,2.3940409,31.926416,28.273374,-23.252725,0.00027832769,0.00010337884,0.090507701,8.7496921,0.0011422104,1.7783357,0.0041332259,0.085071038,8.2482611e-05,0.07221315,0.28660357,0.0011422104,0.13843616,0.0041332259,0.16978562,-1.0479504,-0.29046572,22.922587,3.6078281,-13.324551,1.8851111,6.9853762e-09,-2.8167742,-0.022942088,1.8311421,122.77759,28.466865,48.524698,0.78489812,35.325822,0.22454327,8.7496921,157.323,1.7783357,145.58196,1.569933e-05,-54.041089,-0.33634882,22.922587,160.66977,-13.324551,151.17091,1.3905921e-11,68.920785,0.56059294,5.170798,122.94266,1.0101202,51.426403,1.2726659e-12,-42.706494,-0.34736921,19.472386,122.94266,-10.837933,51.426403,3.4223426e-05,-7.130962,-0.058002342,0.28543849,122.94266,0.13951877,51.426403,0.50238668,-32.147076,-0.28430325,28.924197,113.07319,-20.856803,45.058084,0.00014356461,-31.250527,-0.27637432,0.00092632094,113.07319,0.0040204244,45.058084,0.00022292147,-6.3896616,-0.056509076,3.0995997,113.07319,0.82724753,45.058084,0.45892068,10051.061,274949.45,1.2681572,129.27118,1,7
0.59356521,0.044685849,2.573622,13.283069,28.416785,2.9615202,0.41634418,-2.0987378,-0.083161812,2.6146551,25.236797,28.53749,-12.672795,0.1199048,0.0096357525,0.031311983,2.573622,0.3077337,28.416785,0.16700599,0.56909752,5.3455203,0.17908407,2.377715,29.849222,28.25187,-13.326929,0.00051044547,9.3561535e-05,0.082198757,12.761822,0.0011382354,2.8679753,0.0041693359,0.11746371,-2.2387227e-05,-0.019668363,0.3123679,0.0011382354,0.17123811,0.0041693359,0.70840881,-0.85934769,-0.24369308,24.764251,3.5263525,-12.738424,1.9919263,1.4342288e-06,-3.7725539,-0.032708293,1.8202753,115.33937,28.432965,44.265665,0.70021132,49.123636,0.29333831,12.761822,167.4641,2.8679753,148.78908,1.1755507e-08,-74.699667,-0.44431769,24.764251,168.1222,-12.738424,154.50215,6.4942796e-20,54.621889,0.47361037,5.3284195,115.33085,1.2730655,45.762828,7.4881817e-09,-11.896461,-0.103477,17.137002,114.9672,-10.146237,45.423844,0.23235161,6.3723794,0.055253032,0.32787967,115.33085,0.18675365,45.762828,0.52602042,-37.75418,-0.35648976,24.68644,105.90537,-7.6535684,41.020915,1.587641e-06,-36.041851,-0.34032127,0.00092407804,105.90537,0.0040579601,41.020915,4.9282147e-06,-14.851416,-0.14023289,3.0310214,105.90537,0.9330316,41.020915,0.066534803,10144.9,275032.59,1.2685326,126.60384,1,8
