SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.16488635,0.030794597,5.5102331,5.3543922,16.351931,4.6324325,0.5939919,-1.0474664,-0.034319522,5.1359834,30.521007,16.282887,9.4233797,0.52703281,0.0023515947,0.02271931,5.4406009,0.10350643,16.405322,0.15440841,0.69463271,-1.9241296,-0.090772616,5.3491067,21.197248,15.894133,18.019852,0.080381293,-2.9770921e-05,-0.026911824,7.1793274,0.0011062394,4.566927,0.0022159127,0.54946875,0.00037910179,0.34250533,0.11496086,0.0011068493,0.15988359,0.0022174141,4.2508163e-15,-3.1129226,-0.486772,28.476462,6.3950322,11.411117,-5.8906015,2.3546788e-33,-20.250083,-0.1193994,5.3491067,169.59954,15.894133,373.35788,0.021257043,32.745814,0.12013246,7.1793274,272.5809,4.566927,587.69943,0.0073370698,5.1817077,0.018914702,28.476462,273.95132,11.411117,586.03814,0.66157333,18.842673,0.094340631,7.1793274,199.7302,4.566927,406.90509,0.035502672,51.033668,0.25826463,28.476462,197.60223,11.411117,400.68806,1.2024554e-09,-20.830633,-0.10419332,0.11496086,199.92291,0.15988359,406.82039,0.020288946,0.59553898,0.0034666931,20.892014,171.78878,17.421721,371.53546,0.94441413,-95.810761,-0.48670043,0.0011405029,196.85777,0.0022578199,389.15809,2.0055908e-38,-59.621724,-0.30286701,6.3005752,196.85777,-5.8816446,389.15809,1.0521304e-14,5644.5499,269404.63,1.2242534,,1,daily
-0.58111472,-0.072621101,5.7397736,8.0020091,16.193837,0.87845982,0.25747358,5.695805,0.087994323,5.2868661,64.729232,16.15919,-16.891856,0.14048882,-0.011710501,-0.05407435,5.6585535,0.21656296,16.283832,0.10337299,0.40135512,-1.0957497,-0.040023673,5.5489413,27.377539,15.741423,-25.856007,0.46331798,0.00013626793,0.11908527,9.0461623,0.0011442886,0.85190781,0.0020822312,0.013364566,8.0822195e-05,0.070731293,0.22235202,0.0011426653,0.11016748,0.0020803732,0.14358597,-0.28519221,-0.039932901,56.056949,7.1417854,-14.454867,-7.0132608,0.38873465,-24.422743,-0.12523243,5.5489413,195.01931,15.741423,319.87959,0.02128367,50.341539,0.13890905,9.0461623,362.40649,0.85190781,501.28898,0.0038588891,-31.581614,-0.087571426,56.056949,360.63834,-14.454867,498.62251,0.058353682,14.079275,0.062642194,9.0461623,224.75705,0.85190781,365.00212,0.19429282,-38.473855,-0.17306786,56.056949,222.30502,-14.454867,360.81854,0.00016825908,10.756145,0.047888076,0.22235202,224.61009,0.11016748,365.83647,0.32239569,-74.533964,-0.38178374,27.267115,195.22561,-25.431478,318.604,1.7077541e-14,-91.821346,-0.41473035,0.0012586687,221.40011,0.0022201879,335.59199,6.259665e-26,-44.5213,-0.20108978,7.0953734,221.40011,-6.612743,335.59199,8.4582557e-07,5550.4697,268671.85,1.2340128,,1,0
0.4511849,0.079696607,5.7941238,5.6612812,16.164761,0.23938277,0.21863486,2.2440379,0.077520377,5.386893,28.947717,16.023444,-19.678108,0.19752355,0.014189758,0.055623749,5.7766288,0.25510251,16.127009,0.12824121,0.39195523,-1.1810914,-0.044132767,5.5522832,26.762232,15.730402,-24.818598,0.41934782,-0.00010891976,-0.094796624,5.6254429,0.0011489836,0.15404183,0.0020760904,0.050283603,0.00010008639,0.087435406,0.23597189,0.0011446894,0.11885731,0.0020705886,0.071419957,-1.4831216,-0.20526804,30.213473,7.225292,-16.245318,-7.1969056,8.1175775e-06,-29.680622,-0.15462665,5.5522832,191.95023,15.730402,307.3867,0.0044390226,27.284671,0.075121671,5.6254429,363.20639,0.15404183,500.63602,0.12115281,-72.606955,-0.20042733,30.213473,362.26076,-16.245318,497.29301,1.3329915e-05,36.79933,0.16288754,5.6254429,225.91863,0.15404183,354.5611,0.0007284824,-37.887909,-0.16978396,30.213473,223.15364,-16.245318,349.09749,0.00023499537,-7.7528804,-0.034371548,0.23597189,225.56099,0.11885731,355.37217,0.47922762,-76.997898,-0.39773569,26.498812,193.59062,-24.288604,307.61672,9.6916146e-16,-94.106227,-0.42468519,0.0012650244,221.59055,0.0022140187,325.08536,2.8038681e-27,-48.36956,-0.21828349,7.2017148,221.59055,-6.7898445,325.08536,8.3169698e-08,5535.0468,268502.5,1.2345906,,1,1
0.21257578,0.042428011,5.7470986,5.0102696,16.177797,-0.066584573,0.5094845,0.65881858,0.022539606,5.3674865,29.229375,16.069692,-19.7946,0.70576892,-0.023512332,-0.12900277,5.7470986,0.18226223,16.177797,0.090854036,0.044097846,-1.4311017,-0.053208994,5.5375375,26.895862,15.728159,-25.026681,0.32941018,-0.00024825424,-0.21389608,5.6538909,0.0011606302,-0.0078762283,0.0020690368,7.2956717e-06,0.0002344164,0.20197338,0.21425358,0.0011606302,0.10807598,0.0020690368,2.3427246e-05,-1.608547,-0.21918491,29.925744,7.3387672,-16.399815,-7.3415919,1.5649974e-06,-32.225399,-0.17165014,5.5375375,187.73885,15.728159,297.46418,0.0015370247,26.002628,0.072271495,5.6538909,359.79092,-0.0078762283,493.50446,0.13368066,-83.308456,-0.23135438,29.925744,360.09025,-16.399815,492.23788,3.8410495e-07,49.900605,0.22065027,5.6538909,226.15248,-0.0078762283,347.69812,3.6561301e-06,-32.428443,-0.14472435,29.925744,224.07039,-16.399815,340.66503,0.0016375512,-13.102228,-0.057935373,0.21425358,226.15248,0.10807598,347.69812,0.22948569,-71.285512,-0.37597978,26.465015,189.59933,-24.30501,299.41252,4.1902755e-14,-96.840379,-0.43614208,0.0012735826,222.0386,0.0022041727,320.20411,6.9490389e-29,-52.679959,-0.23725586,7.2943514,222.0386,-6.9391335,320.20411,5.0922336e-09,5510.4317,268341.89,1.2353577,,1,2
0.46748502,0.082412263,5.7360879,5.6725177,16.179415,0.017868739,0.19860123,-3.2194615,-0.10076529,5.2746731,31.950103,16.100748,-19.428609,0.091234322,-0.010290898,-0.050282731,5.6477185,0.20466068,16.212913,0.092636142,0.43522472,-1.7020576,-0.062791996,5.5383188,27.106282,15.715874,-25.084544,0.25032531,1.4083768e-05,0.012057519,13.898526,0.0011680486,0.53008126,0.0020563118,0.80266949,0.00015453073,0.13566668,0.22934999,0.0011390471,0.10678966,0.0020397467,0.004830951,-1.1574422,-0.15632524,30.72081,7.4040646,-16.354762,-7.5668149,0.00068049766,-29.222098,-0.15731532,5.5383188,185.75495,15.715874,290.81116,0.0037886443,7.6816141,0.021506504,13.898526,357.17632,0.53008126,493.40563,0.6557701,-83.430902,-0.23211671,30.72081,359.43515,-16.354762,491.87979,3.7154734e-07,5.5558967,0.025271226,13.898526,219.8507,0.53008126,343.18089,0.60040765,-42.257999,-0.19451967,30.72081,217.24281,-16.354762,336.39684,2.2159426e-05,-13.010074,-0.059215646,0.22934999,219.70669,0.10678966,344.31753,0.22041589,-68.840014,-0.36655063,26.936441,187.80493,-24.751246,293.43807,2.1187002e-13,-95.616419,-0.44113586,0.0012783019,216.75051,0.0021923454,315.30705,1.5467691e-29,-54.82337,-0.25293307,7.3848879,216.75051,-7.0901789,315.30705,4.4429319e-10,5480.8634,268193.43,1.2355683,,1,3
-0.01212584,-0.0015076932,5.8320532,8.0426444,16.121773,0.98979815,0.98126862,-0.33579879,-0.010990175,5.2988343,30.554454,16.15418,-19.538241,0.8544738,-0.0049475445,-0.021520513,5.6736286,0.229899,16.277011,0.10292526,0.73906949,-2.1998015,-0.082540853,5.542922,26.651064,15.723769,-24.727191,0.13048297,-9.5757625e-05,-0.082353479,8.0910886,0.0011627636,0.72937421,0.0020279198,0.088074121,0.000141941,0.12227356,0.23666941,0.0011608478,0.1145724,0.0020213823,0.011544614,-1.7864768,-0.23602687,30.29063,7.5689549,-16.972471,-7.7605013,2.6205352e-07,-27.292334,-0.14609016,5.542922,186.81842,15.723769,287.82747,0.0072243592,76.239844,0.21542419,8.0910886,353.90568,0.72937421,490.32519,6.5702462e-06,-76.114016,-0.21434632,30.29063,355.0983,-16.972471,487.97162,3.1010567e-06,29.394855,0.13403934,8.0910886,219.3002,0.72937421,342.82952,0.0053696114,-35.799891,-0.165543,30.29063,216.25735,-16.972471,335.63312,0.0003372046,-17.113312,-0.078135118,0.23666941,219.02202,0.1145724,344.42985,0.10730729,-67.245031,-0.3519642,26.743144,191.05645,-24.513644,290.96248,2.0912252e-12,-91.169121,-0.42637408,0.001267207,213.82426,0.0021640971,311.65083,1.8429428e-27,-51.466193,-0.2406939,7.5107713,213.82426,-7.3273171,311.65083,3.1939765e-09,5410.2428,267962.23,1.2363088,,1,4
0.14384885,0.027867979,5.7617635,5.1617969,16.191077,0.41697705,0.66489814,-1.7343383,-0.051863813,5.3074347,33.440239,16.136337,-18.230794,0.38558204,-0.0052056734,-0.029154302,5.6819376,0.17855593,16.256562,0.087448397,0.65110807,-2.3782811,-0.088992604,5.5400976,26.72448,15.716785,-24.631566,0.10240798,-9.671815e-05,-0.083196402,5.9427793,0.001162528,0.35328203,0.0020178488,0.084495383,0.00015567126,0.1337646,0.22464924,0.0011637703,0.11230842,0.0020186253,0.005465707,-1.079426,-0.14052465,32.540834,7.6813991,-16.015299,-7.8636735,0.0022862261,-25.034996,-0.13527903,5.5400976,185.06191,15.716785,286.44314,0.012798976,86.123843,0.23403322,5.9427793,367.99837,0.35328203,494.59996,8.9721305e-07,-63.25305,-0.17202085,32.540834,367.70572,-16.015299,490.30261,0.00018158098,42.901816,0.19929502,5.9427793,215.26788,0.35328203,341.09212,3.0818223e-05,-31.069585,-0.14618297,32.540834,212.53902,-16.015299,332.50397,0.001501368,4.5909967,0.021309654,0.22464924,215.4421,0.11230842,340.81581,0.65946628,-67.759605,-0.35760519,26.669729,189.4816,-24.38808,289.76799,8.1584701e-13,-88.5895,-0.42359044,0.0012574634,209.13952,0.0021478591,308.40033,3.5512488e-27,-48.794496,-0.23331075,7.624347,209.13952,-7.4840926,308.40033,9.2380309e-09,5369.6478,267805.44,1.2367952,,1,5
-0.34822613,-0.044714011,5.7501144,7.7878527,16.196782,1.0223304,0.48512143,-0.63099998,-0.018067874,5.3099715,34.923864,16.144486,-17.756617,0.76217327,0.0088097653,0.04393155,5.671742,0.2005339,16.261377,0.086572435,0.49369014,-2.3396354,-0.09009058,5.5482304,25.969812,15.721314,-23.735795,0.098224411,-0.00010132688,-0.087129196,7.6942391,0.0011629498,0.6982893,0.0020202632,0.070102776,0.00013858522,0.11977436,0.22463981,0.0011570524,0.10690432,0.0020140378,0.012730361,-1.0299729,-0.13286265,32.736163,7.7521634,-15.423948,-7.9640057,0.0039075999,-24.384446,-0.13111246,5.5482304,185.98114,15.721314,285.67358,0.015866832,13.560178,0.038521093,7.6942391,352.01955,0.6982893,482.2117,0.42397057,-53.62479,-0.15292307,32.736163,350.66515,-15.423948,477.29555,0.0008808673,22.24967,0.10389244,7.6942391,214.16062,0.6982893,338.0159,0.030659476,-33.56807,-0.15910548,32.736163,210.97997,-15.423948,331.66834,0.00053574159,-2.1143681,-0.0098696671,0.22463981,214.22892,0.10690432,338.43754,0.83792544,-71.790394,-0.38181607,26.046283,188.0235,-23.521027,287.20442,1.5677039e-14,-85.651438,-0.41340194,0.0012375378,207.18683,0.0021285238,307.24942,7.6794251e-26,-45.732007,-0.22072835,7.6974381,207.18683,-7.6170894,307.24942,5.7544241e-08,5321.3096,267657.5,1.2380878,,1,6
0.52127608,0.098069473,5.8454285,5.3153756,16.137629,-0.10380937,0.12502339,-0.27514814,-0.010285689,5.3856596,26.75058,16.086268,-20.217862,0.86370834,0.01911654,0.084996829,5.7578425,0.22490886,16.194917,0.10957408,0.18665864,-2.8161501,-0.10953394,5.5526302,25.710296,15.723918,-22.195322,0.044182457,-3.4123794e-05,-0.028951333,5.8078417,0.0011786606,0.20355326,0.0020262778,0.54842328,0.00013740299,0.11692343,0.23692604,0.0011751535,0.11851633,0.0020177638,0.015392703,-1.8249505,-0.2312452,27.00024,7.8918419,-16.624715,-8.0479324,4.3606356e-07,-22.995571,-0.12702837,5.5526302,181.02704,15.723918,280.80729,0.019480393,53.158293,0.1555943,5.8078417,341.64678,0.20355326,473.16745,0.0011770769,-37.949184,-0.11121019,27.00024,341.23836,-16.624715,467.18369,0.016203731,25.420921,0.12001401,5.8078417,211.81628,0.20355326,332.90037,0.012551576,-20.759341,-0.099454253,27.00024,208.73256,-16.624715,326.80525,0.031650684,1.8966527,0.0089662064,0.23692604,211.53347,0.11851633,334.03323,0.85309352,-66.508503,-0.36781993,25.58652,180.81811,-21.969642,280.85614,1.6032374e-13,-84.188633,-0.411085,0.0012352494,204.79617,0.0021233142,303.24222,1.5225486e-25,-46.88542,-0.228937,7.7667462,204.79617,-7.7038812,303.24222,1.7659647e-08,5308.2856,267554.77,1.2392896,,1,7
-0.41069347,-0.087791554,5.8142723,4.6780522,16.157507,0.81134624,0.16813519,0.1886294,0.0060760878,5.3506142,31.044548,16.088637,-9.5892915,0.91865642,0.024960444,0.10553565,5.7245671,0.23651197,16.18834,0.12447985,0.098647473,-3.0204424,-0.13461585,5.5384176,22.437494,15.725928,4.9087379,0.01311294,-0.00025038348,-0.20933023,5.4977436,0.0011961172,0.77324294,0.002050686,1.149578e-05,4.7686065e-05,0.039914241,0.27294506,0.0011947131,0.15048106,0.0020464516,0.40903155,-2.572169,-0.32862002,31.074648,7.8271828,-6.7173601,-7.8445487,2.8458936e-13,-23.154765,-0.12926106,5.5384176,179.13179,15.725928,280.78492,0.017258418,34.481595,0.10299759,5.4977436,334.7806,0.77324294,468.66273,0.032333999,-17.778292,-0.052883443,31.074648,336.17879,-6.7173601,460.6615,0.25303477,58.207513,0.27245808,5.4977436,213.63842,0.77324294,334.72641,8.6244938e-09,13.234185,0.062720193,31.074648,211.00358,-6.7173601,327.86189,0.17509765,10.621835,0.049706811,0.27294506,213.68973,0.15048106,335.13635,0.30377214,-48.905317,-0.27567254,22.282515,177.40366,4.1899769,279.61227,5.0981002e-08,-87.801861,-0.42486667,0.0012385457,206.65745,0.0021407449,305.26647,2.1693682e-27,-50.812817,-0.24587944,7.6818982,206.65745,-7.5507277,305.26647,1.2925143e-09,5351.8623,267689.19,1.2397505,,1,8
-0.2998044,-0.04116176,5.7211494,7.2835661,16.192194,5.013744,0.51964072,0.62108018,0.015298574,5.1727178,40.59726,16.232198,21.104396,0.79671225,-0.012817092,-0.048319963,5.5588019,0.26525459,16.346153,0.20009574,0.452445,-0.53702404,-0.013441962,5.5118256,39.951313,15.716217,65.045997,0.80465942,-0.00030711499,-0.25982369,10.163829,0.001182013,4.6911034,0.0021096941,4.7641071e-08,8.4095567e-05,0.071257753,0.25450233,0.0011801602,0.19597125,0.0021022146,0.14202572,-3.9260704,-0.53006899,41.204997,7.4067158,23.570173,-7.0434773,2.0810204e-35,-19.105407,-0.098990647,5.5118256,193.00214,15.716217,307.44369,0.067887302,27.703434,0.083367361,10.163829,332.30552,4.6911034,507.21035,0.084582195,20.687425,0.061628231,41.204997,335.68097,23.570173,497.5064,0.18227644,57.916848,0.25580516,10.163829,226.41001,4.6911034,367.1522,7.7650797e-08,71.967487,0.32106716,41.204997,224.15088,23.570173,358.12311,9.9126676e-13,1.6989614,0.0075114197,0.25450233,226.1838,0.19597125,368.54057,0.87715196,35.34448,0.18388049,39.880866,192.21441,63.270267,304.71668,0.00031401582,-99.050141,-0.44613132,0.001234852,222.02015,0.0022146123,332.34079,1.9256999e-30,-57.388281,-0.25848231,7.2381599,222.02015,-6.7189567,332.34079,1.5446855e-10,5536.5309,268508.52,1.2345853,,1,9
-0.48278773,-0.03490086,5.6803716,13.833118,16.190626,11.117339,0.58284564,5.7134424,0.084012024,5.2172365,68.007436,16.185838,65.9514,0.1550129,-0.018832137,-0.087210438,5.5962431,0.21593902,16.304179,0.18253141,0.17185373,0.9728709,0.012775945,5.5040089,76.148643,15.706567,128.60879,0.81415728,-0.0001148575,-0.09818042,12.937581,0.0011698616,11.332318,0.0021813095,0.040680645,0.00035032195,0.29964968,0.20943258,0.001169105,0.1849643,0.0021749501,2.0612753e-10,-3.6650126,-0.52777193,66.196881,6.9443114,67.042061,-5.9554957,2.3855474e-35,-16.026769,-0.074928481,5.5040089,213.89422,15.706567,363.71324,0.16743154,65.150337,0.19485775,12.937581,334.34819,11.332318,597.06647,4.2827184e-05,53.235769,0.15609567,66.196881,341.04579,67.042061,594.74992,0.00064868194,43.367893,0.17484718,12.937581,248.03313,11.332318,426.50188,0.00024782148,111.77421,0.45549359,66.196881,245.39139,67.042061,420.01012,1.1747928e-25,-24.028412,-0.097137349,0.20943258,247.36532,0.1849643,428.43655,0.043603103,82.284063,0.38183628,74.677038,215.49567,125.4551,360.05984,1.134112e-14,-120.6294,-0.48669466,0.0012321187,247.85438,0.0022872503,391.10944,9.0524879e-37,-67.617012,-0.27280943,6.782427,247.85438,-5.6806794,391.10944,1.2434364e-11,5718.1259,269545.55,1.2245134,,1,10
0.42621479,0.02988234,5.7325881,14.2631,16.118838,15.330537,0.63617061,4.7140485,0.055289259,5.2039405,85.261561,16.126825,99.068845,0.34647371,-0.013967472,-0.069822688,5.5774563,0.20004203,16.244872,0.17869243,0.27045155,2.8366063,0.029034283,5.5038553,97.698516,15.704382,172.20753,0.59313648,-0.00010749298,-0.09252889,14.396167,0.0011617235,15.374102,0.0022150232,0.052705513,0.0003689181,0.31704196,0.19179489,0.0011636255,0.17672781,0.0022176758,1.1653707e-11,-3.1316219,-0.46761211,82.004157,6.6970506,99.574187,-5.0083024,2.1458327e-27,-17.598666,-0.070299653,5.5038553,250.33787,15.704382,436.96122,0.1953194,96.456794,0.28785105,14.396167,335.09273,15.374102,700.87365,8.0226346e-10,68.125261,0.20058186,82.004157,339.6382,99.574187,699.54394,9.710883e-06,72.171862,0.25800749,14.396167,279.72778,15.374102,502.47042,4.1685731e-08,133.8646,0.48102079,82.004157,278.29275,99.574187,494.85083,4.1632192e-29,-42.403989,-0.15125331,0.19179489,280.35081,0.17672781,502.6579,0.0015186905,126.49369,0.49845603,96.771697,253.77101,167.69003,431.53985,2.9309521e-25,-137.92548,-0.48681111,0.0012242859,283.32442,0.002322467,463.07845,9.9219436e-37,-61.498528,-0.21706045,6.4893404,283.32442,-4.8090736,463.07845,8.9215429e-08,5806.1676,270451.18,1.2131257,,1,11
0.68347061,0.044988118,5.7349996,15.192247,16.167487,17.879541,0.47446365,7.6650989,0.084815617,5.3487814,90.373674,16.074748,113.61454,0.14479902,0.0039039149,0.018570352,5.7349996,0.21022299,16.167487,0.18256141,0.76790737,5.7746976,0.055085312,5.5200359,104.83189,15.691407,185.29869,0.31046312,-0.00012422511,-0.10603919,15.162099,0.0011715018,17.859386,0.002250949,0.025127045,0.00050264042,0.42905645,0.20918253,0.0011715018,0.18447659,0.002250949,2.1179846e-21,-3.0086093,-0.46307266,86.729608,6.4970566,113.98327,-4.3557527,2.6219913e-27,-22.003941,-0.079324563,5.5200359,277.39127,15.691407,499.92045,0.14381037,104.06644,0.30448391,15.162099,341.77979,17.859386,790.7605,5.0695992e-11,62.402241,0.17963927,86.729608,347.37529,113.98327,794.15044,6.5880417e-05,65.650346,0.21405821,15.162099,306.69389,17.859386,554.25521,5.0930054e-06,148.73566,0.49118465,86.729608,302.81007,113.98327,548.20358,5.329233e-31,-74.890457,-0.24418633,0.20918253,306.69389,0.18447659,554.25521,1.773064e-07,143.67999,0.50905321,103.00905,282.24944,180.51548,492.91327,1.9213299e-26,-145.1826,-0.47543968,0.0012250655,305.36493,0.002344463,518.56618,6.0845257e-35,-51.444843,-0.16847004,6.3104899,305.36493,-4.183424,518.56618,3.5677362e-05,5861.1575,271125.65,1.2031959,,1,12
0.34402882,0.021187989,5.6992091,16.236974,16.133577,17.451744,0.73532441,6.9058357,0.078126098,5.2515568,88.393455,16.085868,106.60326,0.17934441,-0.0082200123,-0.037208816,5.6230343,0.22091572,16.195516,0.19388475,0.55342689,4.7498835,0.050062741,5.5179291,94.878615,15.683557,164.89024,0.3560011,-0.00012337995,-0.10558525,15.518272,0.0011685339,16.608953,0.0022658503,0.025928049,0.00047617601,0.40706105,0.22196341,0.0011697902,0.19016124,0.0022664202,3.774819e-19,-2.8606923,-0.45140847,84.968178,6.3372589,106.40968,-4.0098161,1.006003e-25,-27.154208,-0.087885455,5.5179291,308.97272,15.683557,538.06377,0.10470117,86.735423,0.25458615,15.518272,340.69184,16.608953,857.50162,5.1696314e-08,82.359412,0.236997,84.968178,347.51247,106.40968,860.50401,1.2828826e-07,64.306157,0.19602983,15.518272,328.04271,16.608953,583.37449,3.1259344e-05,162.69164,0.50259937,84.968178,323.70044,106.40968,576.50411,2.0802819e-32,-75.278334,-0.22923249,0.22196341,328.39295,0.19016124,583.54524,1.0513941e-06,171.03255,0.5509523,92.895764,310.43077,160.39407,528.43928,1.4982767e-31,-155.27329,-0.4774736,0.0012248506,325.19765,0.0023535332,549.07535,3.2774403e-35,-48.997807,-0.15067085,6.1570468,325.19765,-3.8582646,549.07535,0.00022548594,5883.833,271484.61,1.1967881,,1,13
-0.53495874,-0.039985755,5.6836251,13.378733,16.141819,14.352719,0.52174786,6.648562,0.093077225,5.2167671,71.4306,16.091514,82.215803,0.1088261,0.0074972252,0.030984404,5.5935763,0.24196771,16.19596,0.2117426,0.62169971,2.7480012,0.037876076,5.5135984,72.552425,15.699931,119.57385,0.48444893,-0.00020110867,-0.17318357,12.837454,0.0011612457,13.928359,0.0022563731,0.00023406181,0.00047833131,0.41561235,0.22383153,0.0011509074,0.20171995,0.0022454284,5.6932104e-20,-2.9295921,-0.47180922,68.799476,6.2092727,81.514687,-3.9851389,2.6176103e-28,-27.965258,-0.086780341,5.5135984,322.25338,15.699931,554.83442,0.10863574,89.08411,0.26981282,12.837454,330.17005,13.928359,882.62816,6.7771779e-09,75.977425,0.22624538,68.799476,335.81868,81.514687,889.63974,4.6473126e-07,82.370386,0.2447532,12.837454,336.54468,13.928359,593.90926,1.6050514e-07,151.22646,0.45706588,68.799476,330.8636,81.514687,589.32207,1.8482652e-26,-73.362024,-0.21866085,0.22383153,335.50598,0.20171995,596.66162,3.3052043e-06,169.73433,0.52683557,71.294524,322.17704,115.96319,542.2146,1.1481663e-28,-166.29743,-0.49460499,0.0012320055,336.22272,0.0023522818,559.79698,3.7140054e-38,-53.123005,-0.15799945,6.0590561,336.22272,-3.7774358,559.79698,0.00010584855,5880.7046,271568.48,1.1944902,,1,14
