SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.79566545,0.2404108,2.7343355,3.3096077,41.28838,4.4652006,3.40715e-05,-2.8292416,-0.17906816,3.2108537,15.799803,41.671936,7.2240737,0.0016902466,0.015552953,0.10412081,2.7343355,0.14937412,41.28838,0.18708196,0.076171371,-2.2274004,-0.20063216,3.1970017,11.101911,41.661257,10.139308,0.00039582198,0.00018972684,0.19313698,3.3096077,0.0009823434,4.4652006,0.0013736653,0.00092722641,0.00016412979,0.16707985,0.14937412,0.0009823434,0.18708196,0.0013736653,0.0042629607,-5.3373063,-0.65445069,15.799803,8.1553987,7.2240737,-13.870962,1.1309095e-38,-42.240737,-0.26264905,3.1970017,160.82578,41.661257,349.59575,2.9679119e-06,115.31624,0.50976101,3.3096077,226.21627,4.4652006,431.42642,1.1906005e-20,-68.311167,-0.3046124,15.799803,224.25603,7.2240737,430.46292,5.7145924e-08,-1.7327143,-0.010822446,3.3096077,160.10376,4.4652006,356.93437,0.85414848,54.987171,0.34280222,15.799803,160.40494,7.2240737,351.46941,7.7712828e-10,-36.17864,-0.22596996,0.14937412,160.10376,0.18708196,356.93437,0.00010083138,-3.9062958,-0.02428899,11.101911,160.82578,10.139308,349.59575,0.67112868,-77.210917,-0.48009043,0.00098348946,160.82578,0.0013847168,349.59575,3.6632916e-19,-67.138973,-0.417464,8.1249014,160.82578,-13.854776,349.59575,2.0294933e-14,3461.792,262836.77,1.2310251,428.42394,1,daily
0.58209659,0.15774093,2.7223055,3.6902063,41.304145,1.7939533,0.0079593477,-1.5362506,-0.094443146,3.2531274,16.266406,41.743512,-10.650123,0.10370984,0.0030785214,0.010167389,2.7223055,0.30278388,41.304145,0.14809366,0.86502153,-0.24632564,-0.0084419465,3.229959,29.178773,41.723457,-30.620162,0.88365038,0.00020158867,0.20204807,3.6702355,0.00099772628,1.7770029,0.0013500694,0.00057411784,3.4781598e-05,0.034860861,0.30033934,0.00099772628,0.14752285,0.0013500694,0.55641022,-1.6574018,-0.19005896,16.215052,8.7204614,-10.537382,-14.218274,0.0008841215,-36.654391,-0.22409935,3.229959,163.56313,41.723457,311.22831,8.3227327e-05,145.94679,0.48066699,3.6702355,303.63389,1.7770029,406.6114,5.3532414e-18,-83.344932,-0.27643119,16.215052,301.50335,-10.537382,405.01955,1.021319e-06,4.7140416,0.028815461,3.6702355,163.59418,1.7770029,317.48358,0.62687117,-17.399148,-0.10647644,16.215052,163.40843,-10.537382,312.16135,0.064165404,-12.379286,-0.0756707,0.30033934,163.59418,0.14752285,317.48358,0.20118537,-69.631426,-0.42669325,29.218837,163.18849,-30.806498,309.88813,4.6589779e-15,-74.201972,-0.45470102,0.0010168311,163.18849,0.0013719741,309.88813,4.0293582e-17,-62.180386,-0.38103415,8.6632531,163.18849,-14.210906,309.88813,4.4268967e-12,3429.9353,262479.38,1.2345749,402.43293,1,0
0.45056775,0.13071564,2.7158307,3.4469308,41.303459,1.6079818,0.028180525,-1.5132939,-0.10136723,3.2345223,14.928828,41.737471,-10.144497,0.080634227,0.0026234954,0.0094596986,2.7158307,0.27733393,41.303459,0.13296521,0.874336,-0.062081407,-0.0020998007,3.2113073,29.56538,41.717911,-31.12838,0.97096343,0.00019603383,0.1961239,3.4239792,0.00099954077,1.5828016,0.0013337632,0.00083612578,5.6746285e-05,0.056772357,0.27504436,0.00099954077,0.13217986,0.0013337632,0.337881,-1.327029,-0.14944646,14.862852,8.8796286,-10.028895,-14.500756,0.0091795636,-38.487806,-0.2356753,3.2113073,163.30861,41.717911,307.01039,3.4139247e-05,137.05778,0.45793786,3.4239792,299.29341,1.5828016,401.35553,2.7707978e-16,-81.264292,-0.27317479,14.862852,297.48094,-10.028895,400.39385,1.3818608e-06,3.7830915,0.023164008,3.4239792,163.31765,1.5828016,312.97816,0.6959724,-16.487851,-0.10120855,14.862852,162.90967,-10.028895,307.92159,0.078583608,-23.82414,-0.14587609,0.27504436,163.31765,0.13217986,312.97816,0.013369973,-67.661605,-0.41601347,29.533375,162.64282,-31.311981,305.68743,2.5472064e-14,-73.206161,-0.45010385,0.0010201491,162.64282,0.001355721,305.68743,9.0580449e-17,-61.6683,-0.37916398,8.8216879,162.64282,-14.492805,305.68743,5.7354689e-12,3389.3026,262198.71,1.2356009,397.55582,1,1
0.47994453,0.14352297,2.7030444,3.3440259,41.302236,1.5078435,0.015867225,-1.3532321,-0.0899369,3.2519347,15.046461,41.744842,-9.5440022,0.12134144,0.014238706,0.043920325,2.7030444,0.32419401,41.302236,0.16751477,0.46256712,-0.1316965,-0.0045052689,3.2292865,29.231662,41.723472,-30.484682,0.9377493,0.00020917775,0.20806912,3.3207578,0.0010053282,1.4859609,0.0013134897,0.00038751349,2.9625824e-05,0.029468809,0.32162582,0.0010053282,0.16580302,0.0013134897,0.61907443,-1.4795172,-0.16321284,15.038118,9.0649554,-9.3579791,-14.802215,0.0043938242,-37.037743,-0.22933795,3.2292865,161.49853,41.723472,307.72717,5.5920536e-05,126.88462,0.4277533,3.3207578,296.63038,1.4859609,391.99177,3.3894246e-14,-81.386891,-0.27614107,15.038118,294.7294,-9.3579791,391.59069,1.0493696e-06,2.4985935,0.015495481,3.3207578,161.24659,1.4859609,313.86952,0.79379936,-10.233228,-0.063638534,15.038118,160.80238,-9.3579791,308.98224,0.26946721,-20.970005,-0.13004929,0.32162582,161.24659,0.16580302,313.86952,0.027600158,-66.117218,-0.41174216,29.117792,160.57918,-30.558692,306.73042,4.9417555e-14,-72.45288,-0.45119722,0.0010260905,160.57918,0.0013364172,306.73042,7.479026e-17,-62.534913,-0.38943351,9.0064738,160.57918,-14.786849,306.73042,1.3553566e-12,3341.0431,261890.6,1.237259,388.77094,1,2
0.33844317,0.11531808,2.7383454,2.9348663,41.310874,1.3731315,0.05349381,-2.0820232,-0.12621501,3.2495451,16.495844,41.745384,-9.7706347,0.029653993,0.0087857659,0.029903622,2.7383454,0.29380273,41.310874,0.14526007,0.61767143,-0.58972442,-0.020610206,3.2285269,28.613223,41.701188,-29.221423,0.72041153,0.00024132883,0.24056893,2.9224429,0.0010031587,1.3525086,0.001290469,4.0632991e-05,-4.0061975e-05,-0.039935827,0.29483899,0.0010031587,0.14711914,0.001290469,0.50190249,-1.5233396,-0.16517041,16.45523,9.2228358,-9.6624701,-15.132445,0.0040603086,-37.87528,-0.24411092,3.2285269,155.15603,41.701188,303.74535,1.6776197e-05,123.22746,0.41883467,2.9224429,294.21505,1.3525086,381.03429,1.5612973e-13,-98.653834,-0.33804293,16.45523,291.83818,-9.6624701,380.91419,1.7601719e-09,9.9151197,0.063932202,2.9224429,155.08804,1.3525086,309.90223,0.28208059,-11.448339,-0.073914582,16.45523,154.88607,-9.6624701,305.19966,0.20097303,-17.338286,-0.11179641,0.29483899,155.08804,0.14711914,309.90223,0.059435348,-59.489958,-0.38585829,28.521634,154.17567,-29.345346,303.43768,2.2524363e-12,-66.353138,-0.43037361,0.0010325062,154.17567,0.0013200072,303.43768,2.558227e-15,-58.002807,-0.37621247,9.190161,154.17567,-15.072409,303.43768,8.6023047e-12,3300.0179,261598.86,1.2389658,377.95397,1,3
0.445587,0.11787298,2.711928,3.7802304,41.29427,1.604452,0.048787619,-2.7320695,-0.16017012,3.2321859,17.057297,41.734341,-8.9262331,0.0055840116,0.0030656674,0.011722268,2.711928,0.26152512,41.29427,0.13234261,0.84517353,-1.1848592,-0.041985648,3.2199293,28.220578,41.705798,-27.324772,0.46727031,0.00022154227,0.21847982,3.7640372,0.0010140171,1.5719421,0.0012747617,0.00020678942,-7.8651441e-06,-0.0077564216,0.25979366,0.0010140171,0.13157594,0.0012747617,0.89645645,-1.6181747,-0.17283693,16.957923,9.3624361,-8.8956869,-15.309209,0.0025796099,-36.372711,-0.2340747,3.21089,155.38933,41.701628,305.86801,3.7588451e-05,125.38364,0.43263797,3.7640372,289.81191,1.5719421,370.98317,2.2051489e-14,-85.101469,-0.29586616,16.957923,287.63502,-8.8956869,373.63472,1.6230993e-07,14.236956,0.091432724,3.7640372,155.70964,1.5719421,312.36626,0.12422533,-6.6170277,-0.042691305,16.957923,154.99708,-8.8956869,307.44715,0.45981214,-4.5617513,-0.029296525,0.25979366,155.70964,0.13157594,312.36626,0.62297251,-51.965257,-0.33562248,28.212092,154.83247,-27.655578,305.23651,1.7169074e-09,-69.378562,-0.44924442,0.0010393904,154.43389,0.0013033275,305.43748,1.052484e-16,-60.715088,-0.39314615,9.2867327,154.43389,-15.310839,305.43748,7.9456992e-13,3258.3188,261365.56,1.2400907,370.21324,1,4
0.34127664,0.086137834,2.7021948,3.9619831,41.276299,1.6997351,0.14981793,-2.1834641,-0.13687421,3.2221747,15.952341,41.725787,-8.6717032,0.018077767,0.015190871,0.051643021,2.7021948,0.29415148,41.276299,0.14870953,0.38846109,-1.8144508,-0.064036008,3.2097895,28.334852,41.697806,-27.503498,0.26727869,0.00028089057,0.27343438,3.9446685,0.0010272686,1.6657388,0.0012686805,2.793987e-06,3.101387e-05,0.030190613,0.29213378,0.0010272686,0.14819262,0.0012686805,0.61176757,-1.641756,-0.17306356,15.854215,9.486434,-8.6453892,-15.551111,0.0025457001,-39.21359,-0.25311949,3.2007784,154.92125,41.693689,306.684,7.8924686e-06,121.49139,0.42452485,3.9446685,286.18204,1.6657388,348.62565,6.7476574e-14,-60.386633,-0.21287113,15.854215,283.67695,-8.6453892,349.33222,0.00019395119,8.0822771,0.052166121,3.9446685,154.93345,1.6657388,313.36604,0.3802734,-0.06105929,-0.00039519633,15.854215,154.50369,-8.6453892,308.34425,0.99454307,-6.6138034,-0.042688027,0.29213378,154.93345,0.14819262,313.36604,0.47287016,-54.517248,-0.3532571,28.363506,154.32739,-27.813614,305.93352,2.0120275e-10,-70.379212,-0.45707536,0.0010436076,153.97726,0.0012880548,306.25123,2.639071e-17,-63.252323,-0.41079002,9.4078446,153.97726,-15.550932,306.25123,5.7211471e-14,3220.1369,261124.09,1.2428951,345.83213,1,5
0.37707744,0.095728323,2.6712712,3.9390373,41.243928,1.6630458,0.11060815,-1.5323967,-0.096067292,3.2464679,15.951285,41.710769,-7.8854633,0.099018987,0.019218215,0.056163899,2.6712712,0.34218093,41.243928,0.17792978,0.34996959,-1.7214448,-0.060929559,3.2298664,28.253032,41.673216,-26.533502,0.29203436,0.00028179381,0.27444215,3.9206658,0.0010267877,1.601736,0.0012498243,2.5589912e-06,3.2197325e-05,0.031357336,0.33888958,0.0010267877,0.17685431,0.0012498243,0.59807144,-1.482899,-0.15534442,15.840359,9.5458784,-7.9703217,-15.797343,0.0068336839,-40.944757,-0.26010554,3.2251981,157.41594,41.677086,310.19309,4.638898e-06,132.69086,0.47472274,3.9206658,279.51232,1.601736,342.00379,2.002804e-17,-45.820134,-0.1658936,15.840359,276.20194,-7.9703217,342.7249,0.0038398597,10.400357,0.066205582,3.9206658,157.09185,1.601736,316.91334,0.26528371,-1.8114647,-0.011572965,15.840359,156.52555,-7.9703217,311.79827,0.84125427,-7.9917804,-0.050873298,0.33888958,157.09185,0.17685431,316.91334,0.3922081,-60.953267,-0.38992101,28.32865,156.32209,-26.80699,309.60484,1.3748774e-12,-72.781079,-0.46631869,0.0010380939,156.07583,0.0012659147,309.51176,4.9225719e-18,-64.397016,-0.41260082,9.4665923,156.07583,-15.791039,309.51176,4.3286251e-14,3164.7868,260872.07,1.2441409,339.3663,1,6
0.48809251,0.14582474,2.7398774,3.3471173,41.275133,1.4669671,0.014774357,-2.0416273,-0.13305247,3.2447436,15.344528,41.710236,-8.0410273,0.022270607,0.02876854,0.098536545,2.7398774,0.29195807,41.275133,0.14253197,0.10048746,-0.79684297,-0.028453709,3.2197451,28.00489,41.666224,-27.14151,0.62235044,0.00025780031,0.24916194,3.3376302,0.0010346697,1.4185874,0.0012408572,2.1606069e-05,-1.7239877e-05,-0.016662204,0.28947082,0.0010346697,0.14202669,0.0012408572,0.77980171,-1.1309344,-0.11720604,15.255194,9.6491132,-8.1147602,-16.013058,0.042500043,-39.080287,-0.25281574,3.2145393,154.58012,41.66788,310.30451,8.3842168e-06,115.81827,0.42259604,3.3376302,274.06378,1.4185874,335.84433,9.9285246e-14,-37.732968,-0.13912449,15.255194,271.2173,-8.1147602,336.26548,0.015892047,4.3625995,0.028358167,3.3376302,153.83926,1.4185874,316.9434,0.63415393,-5.5286037,-0.036006379,15.255194,153.54512,-8.1147602,312.14678,0.5344373,-13.051727,-0.084840025,0.28947082,153.83926,0.14202669,316.9434,0.15386371,-64.907717,-0.42221593,28.05996,153.7311,-27.241889,310.11373,1.0570574e-14,-76.332405,-0.49728779,0.0010450768,153.49744,0.001252796,309.98384,1.2064434e-20,-68.401655,-0.44562081,9.5817402,153.49744,-16.021633,309.98384,1.9725275e-16,3131.9901,260625.84,1.2453569,333.96815,1,7
0.56012335,0.17365225,2.7603277,3.2255462,41.336474,1.718551,0.0078922482,-1.6565265,-0.10862341,3.315974,15.25018,41.842277,-6.9966086,0.087175571,-0.00026590933,-0.0010308307,2.7603277,0.25795635,41.336474,0.13080143,0.98751335,-1.8643063,-0.088148522,3.292075,21.149604,41.77941,-12.159369,0.1596609,0.00027267425,0.26016269,3.0755173,0.0010480913,1.5253026,0.001243955,9.2574226e-06,-7.5285938e-05,-0.07183147,0.27328318,0.0010480913,0.13959215,0.001243955,0.22835747,-1.0017109,-0.10272122,15.4532,9.7517427,-7.6781243,-16.13382,0.075657436,-41.771482,-0.26267004,3.2857586,159.02644,41.78116,305.51702,1.9942634e-05,112.4485,0.41265763,3.0755173,272.4983,1.5253026,335.43711,4.6115605e-13,-25.816089,-0.095335762,15.4532,270.79124,-7.6781243,335.8757,0.099326761,-4.3145582,-0.028174545,3.0755173,153.13675,1.5253026,315.7331,0.63695166,-8.6531532,-0.05674094,15.4532,152.50282,-7.6781243,311.41992,0.32734858,-11.001816,-0.071843081,0.27328318,153.13675,0.13959215,315.7331,0.22828209,-60.710539,-0.39578377,21.585114,153.3932,-13.063843,309.79447,6.441031e-13,-79.422624,-0.51940689,0.0010544482,152.91022,0.0012502608,309.70316,1.1157821e-22,-73.55502,-0.48103402,9.6763508,152.91022,-16.138959,309.70316,3.0527009e-19,3125.652,260496.23,1.2459302,332.91225,1,8
