SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.069959035,0.018641771,6.1221936,3.7528105,20.402961,3.2646334,0.80877564,-0.048455957,-0.0016133417,6.1221936,30.034527,20.402961,-22.878015,0.98329156,0.012627616,0.18555409,6.1221936,0.068053557,20.402961,0.08867209,0.015108138,-1.3152761,-0.11410319,6.100437,11.527076,20.206644,-4.0106472,0.13963242,0.00031498485,0.28786241,3.7528105,0.0010942202,3.2646334,0.0022504892,0.00013464076,0.00019813588,0.18107497,0.068053557,0.0010942202,0.08867209,0.0022504892,0.017782226,-6.5195203,-0.64508329,30.034527,10.106478,-22.878015,-4.5003531,1.689685e-21,32.77307,0.081982932,5.9520243,399.75479,20.452541,737.43509,0.27122622,56.727716,0.22590583,3.7528105,251.11222,3.2646334,468.68371,0.0029689153,-100.30884,-0.39945822,30.034527,251.11222,-22.878015,468.68371,6.2217719e-08,208.13318,0.52889219,3.7528105,393.52666,3.2646334,766.9819,1.0379705e-13,-239.45248,-0.60847841,30.034527,393.52666,-22.878015,766.9819,1.0686502e-18,-46.162848,-0.11730552,0.068053557,393.52666,0.08867209,766.9819,0.12651306,-128.928,-0.32377933,11.527076,398.19714,-4.0106472,719.99631,1.7537125e-05,160.63477,0.40183325,0.0011134441,399.75479,0.0021691632,737.43509,1.8823948e-08,260.51856,0.65169591,10.421265,399.75479,-5.3516964,737.43509,2.220553e-23,5422.9079,276859.69,1.1288885,463.47218,1,daily
0.11078147,0.028864638,6.2050019,3.837965,20.460671,1.3814763,0.71369598,-2.9726103,-0.081445484,6.2050019,36.49816,20.460671,-34.699477,0.29984921,0.0079755585,0.064793503,6.2050019,0.12309195,20.460671,0.039591657,0.40977956,-3.4951404,-0.18035507,6.1096057,19.379219,20.291716,-26.647678,0.018951163,1.6710952e-05,0.014605103,3.837965,0.0011441858,1.3814763,0.0022095766,0.85274601,-0.00020225673,-0.17676913,0.12309195,0.0011441858,0.039591657,0.0022095766,0.023555925,-6.3258919,-0.60156642,36.49816,10.5157,-34.699477,-5.5189299,1.6204992e-17,26.511461,0.0648751,5.9689447,408.65388,20.549176,628.39777,0.38424585,45.023423,0.15196665,3.837965,296.27173,1.3814763,391.92162,0.05207242,-123.05143,-0.41533302,36.49816,296.27173,-34.699477,391.92162,3.2015781e-08,177.00941,0.43622542,3.837965,405.7751,1.3814763,670.88616,5.2571849e-09,-267.67119,-0.65965406,36.49816,405.7751,-34.699477,670.88616,7.599998e-22,-109.17378,-0.26904998,0.12309195,405.7751,0.039591657,670.88616,0.00049466625,-256.64665,-0.62345163,19.379219,411.65448,-26.647678,621.17857,1.3928262e-19,136.64053,0.3343674,0.0011522912,408.65388,0.0021086179,628.39777,3.963945e-06,238.28209,0.58309023,10.737379,408.65388,-6.6113764,628.39777,5.7908873e-18,5271.5447,275545.35,1.138355,385.27281,1,0
-0.10989964,-0.035079354,6.2080468,3.1328868,20.45122,1.221695,0.6556434,-1.6722609,-0.045921837,6.2080468,36.415376,20.45122,-34.077998,0.55928998,0.015609077,0.097067973,6.2080468,0.16080563,20.45122,0.039098394,0.21627624,-3.8575786,-0.20265539,6.1150847,19.035165,20.285799,-26.309101,0.0082310061,0.00011929027,0.10320787,3.1328868,0.0011558254,1.221695,0.0022129428,0.18847262,1.3544771e-05,0.0117187,0.16080563,0.0011558254,0.039098394,0.0022129428,0.88160901,-6.3389626,-0.59897725,36.415376,10.582977,-34.077998,-5.7111768,2.412155e-17,30.449718,0.077730197,5.9719874,391.73602,20.539835,611.4411,0.29695219,61.507093,0.20493891,3.1328868,300.12403,1.221695,386.16022,0.0084777604,-121.03757,-0.40329183,36.415376,300.12403,-34.077998,386.16022,8.5879654e-08,175.49879,0.45071171,3.1328868,389.38146,1.221695,651.97968,1.395324e-09,-258.85204,-0.66477752,36.415376,389.38146,-34.077998,651.97968,2.8339345e-22,-104.82269,-0.26920307,0.16080563,389.38146,0.039098394,651.97968,0.00049087529,-235.00328,-0.60106787,19.035165,390.97628,-26.309101,597.99424,5.6215709e-18,135.73814,0.3465041,0.0011641395,391.73602,0.0021069369,611.4411,1.6539566e-06,225.57942,0.57584548,10.809291,391.73602,-6.8236703,611.4411,1.8285438e-17,5267.3421,275337.03,1.1392853,377.86021,1,1
-0.18326614,-0.0300695,6.2110974,6.0947518,20.471914,0.91332485,0.70406083,-1.3882602,-0.039082461,6.2110974,35.521309,20.471914,-35.570358,0.62146489,0.026686607,0.14375069,6.2110974,0.18564506,20.471914,0.055205882,0.068005574,-3.6704008,-0.20009321,6.1154301,18.343455,20.27574,-25.279503,0.009098291,0.00019772133,0.17285981,6.0947518,0.0011438248,0.91332485,0.0022157429,0.027828524,-7.7285805e-05,-0.067567869,0.18564506,0.0011438248,0.055205882,0.0022157429,0.39292994,-6.5594104,-0.62594316,35.521309,10.479243,-35.570358,-5.5850679,5.2727355e-19,22.416136,0.055238776,5.971362,405.80436,20.528297,614.61448,0.45890986,60.244349,0.20203239,6.0947518,298.19154,0.91332485,373.70799,0.009932145,-128.18023,-0.42985871,35.521309,298.19154,-35.570358,373.70799,1.1397339e-08,157.74495,0.38881884,6.0947518,405.70296,0.91332485,659.04774,3.1677996e-07,-293.90404,-0.72443159,35.521309,405.70296,-35.570358,659.04774,1.2213541e-27,-114.35305,-0.28186398,0.18564506,405.70296,0.055205882,659.04774,0.00027936346,-221.72027,-0.54932299,18.343455,403.62459,-25.279503,599.38865,1.0446274e-14,129.13582,0.31822186,0.0011592711,405.80436,0.0020940503,614.61448,1.198749e-05,229.32232,0.56510562,10.847631,405.80436,-6.8980659,614.61448,9.5520028e-17,5235.1257,275247.66,1.1404399,367.74365,1,2
-0.080353258,-0.026447079,6.1986865,3.0382659,20.507143,1.3003776,0.7391197,-0.040158376,-0.001099515,6.1986865,36.523719,20.507143,-35.73677,0.98895557,0.038820712,0.221224,6.1986865,0.17548147,20.507143,0.046476368,0.0047997452,-3.8198622,-0.20999841,6.1145758,18.189958,20.26716,-25.019793,0.0061375063,0.00015497807,0.13494412,3.0382659,0.0011484611,1.3003776,0.0022177651,0.087873574,4.6263282e-05,0.040282846,0.17548147,0.0011484611,0.046476368,0.0022177651,0.6119055,-6.4084495,-0.60859757,36.523719,10.529864,-35.73677,-5.5845528,1.0911769e-17,21.111423,0.053395114,5.9692904,395.38117,20.517857,614.87066,0.47406095,52.564691,0.17945931,3.0382659,292.90589,1.3003776,361.98051,0.02273458,-145.60735,-0.49711308,36.523719,292.90589,-35.73677,361.98051,1.9763797e-11,212.89835,0.53824974,3.0382659,395.53822,1.3003776,660.58391,1.7872932e-13,-275.76461,-0.69718827,36.523719,395.53822,-35.73677,660.58391,9.357656e-25,-108.74256,-0.27492301,0.17548147,395.53822,0.046476368,660.58391,0.00041640714,-209.18731,-0.52857896,18.189958,395.75413,-25.019793,603.98055,1.5069988e-13,135.91692,0.34376174,0.0011654733,395.38117,0.00208768,614.87066,2.0216263e-06,227.10764,0.57440175,10.906643,395.38117,-6.9650247,614.87066,2.2916667e-17,5219.1999,275176.05,1.1414229,357.37354,1,3
-0.19862767,-0.055165069,6.1804837,3.6006059,20.474845,1.2536178,0.48702915,-0.28936645,-0.0078198032,6.1804837,37.004313,20.474845,-34.541797,0.92157453,0.014290255,0.083661275,6.1804837,0.17081087,20.474845,0.051960766,0.29136945,-4.0096568,-0.21636435,6.1143662,18.531966,20.256805,-24.674234,0.0047220466,0.00017562165,0.15216253,3.6006059,0.0011541714,1.2536178,0.0021940578,0.053989852,6.3508527e-06,0.0055025213,0.17081087,0.0011541714,0.051960766,0.0021940578,0.94477019,-6.749865,-0.63973598,37.004313,10.551017,-34.541797,-5.9169752,6.5559317e-20,17.353655,0.044678329,5.9681832,388.41325,20.506593,595.8727,0.5492463,77.351381,0.26884655,3.6006059,287.71572,1.2536178,357.8552,0.00056389336,-140.4744,-0.48824026,37.004313,287.71572,-34.541797,357.8552,5.0344968e-11,219.07428,0.56467865,3.6006059,387.96275,1.2536178,641.01153,6.1004902e-15,-273.15115,-0.70406539,37.004313,387.96275,-34.541797,641.01153,2.0580859e-25,-128.82031,-0.33204298,0.17081087,387.96275,0.051960766,641.01153,1.684617e-05,-213.34162,-0.54810003,18.531966,389.23847,-24.674234,586.63852,1.2289364e-14,137.68891,0.35449077,0.001166988,388.41325,0.0020652182,595.8727,9.1178828e-07,221.17563,0.5694338,10.882499,388.41325,-7.2778022,595.8727,4.9417614e-17,5163.0454,274863.26,1.1423789,351.56117,1,4
-0.61753635,-0.16027973,6.1570245,3.8528662,20.459259,1.3852377,0.041607759,0.97006471,0.026434608,6.1570245,36.696769,20.459259,-33.995609,0.73844701,-0.0044384081,-0.029449453,6.1570245,0.15071275,20.459259,0.048193479,0.70988651,-3.5655768,-0.19160287,6.1118223,18.609204,20.251775,-24.265293,0.012577399,0.00011547685,0.099635217,3.8528662,0.0011589964,1.3852377,0.0021692363,0.20713932,-8.8872713e-05,-0.076680753,0.15071275,0.0011589964,0.048193479,0.0021692363,0.33211735,-6.7540112,-0.63230239,36.696769,10.681616,-33.995609,-6.2017747,1.809899e-19,12.684884,0.031461095,5.9639326,403.19271,20.498626,589.10848,0.67330718,80.912489,0.29031457,3.8528662,278.70627,1.3852377,355.52746,0.00017858691,-125.89485,-0.45171159,36.696769,278.70627,-33.995609,355.52746,1.605439e-09,228.77439,0.56487588,3.8528662,404.9994,1.3852377,631.52038,4.888176e-15,-288.95477,-0.71346961,36.696769,404.9994,-33.995609,631.52038,1.686729e-26,-115.40008,-0.28493888,0.15071275,404.9994,0.048193479,631.52038,0.00023777601,-223.02723,-0.55186638,18.609204,404.13266,-24.265293,581.43353,7.4349496e-15,135.45683,0.33596051,0.0011681157,403.19271,0.0020546378,589.10848,3.5416748e-06,225.77875,0.55997726,10.943825,403.19271,-7.4313626,589.10848,2.0599571e-16,5136.5945,274711.1,1.1428464,348.28701,1,5
-0.34279055,-0.088479469,6.1566508,3.8742384,20.392025,1.433756,0.26137761,0.16017419,0.0044761524,6.1566508,35.7839,20.392025,-34.061209,0.95477767,0.0022531233,0.013349299,6.1566508,0.16878214,20.392025,0.060607419,0.86569569,-3.3127957,-0.17447072,6.0997167,18.987688,20.231065,-24.098577,0.023285636,6.5894343e-05,0.056607159,3.8742384,0.0011640638,1.433756,0.0021679966,0.47292644,-0.00013670679,-0.11743927,0.16878214,0.0011640638,0.060607419,0.0021679966,0.13543809,-7.0571675,-0.65963622,35.7839,10.698575,-34.061209,-6.1844785,1.0177286e-21,18.88256,0.046552461,5.9514512,405.61895,20.476099,596.72821,0.53260236,49.408505,0.17191351,3.8742384,287.40327,1.433756,358.74801,0.02821265,-113.69481,-0.3955933,35.7839,287.40327,-34.061209,358.74801,1.7272521e-07,218.96848,0.53637977,3.8742384,408.23403,1.433756,636.55329,1.5893573e-13,-277.73165,-0.68032458,35.7839,408.23403,-34.061209,636.55329,1.7192617e-23,-127.15148,-0.31146713,0.16878214,408.23403,0.060607419,636.55329,5.1860459e-05,-226.94115,-0.55790658,18.987688,406.77268,-24.098577,590.49488,3.2770862e-15,130.7509,0.3223491,0.0011786984,405.61895,0.0020610894,596.72821,9.0881273e-06,226.02613,0.55723759,11.000918,405.61895,-7.3661566,596.72821,3.0890042e-16,5152.7235,274781.46,1.1423926,351.94528,1,6
-0.26329478,-0.062337436,6.1614935,4.2237025,20.331481,1.5350845,0.43066811,-1.7118613,-0.046899839,6.1614935,36.500366,20.331481,-34.136674,0.55342122,0.014729658,0.11910338,6.1614935,0.1236712,20.331481,0.043709415,0.13115104,-4.4373985,-0.23402996,6.0998169,18.960813,20.206805,-23.904373,0.0021953035,0.0001452077,0.12213243,4.2237025,0.0011889365,1.5350845,0.0021911173,0.12156053,-0.00021461426,-0.18050944,0.1236712,0.0011889365,0.043709415,0.0021911173,0.021525705,-7.0970484,-0.6532564,36.500366,10.864109,-34.136674,-6.0181451,4.4512371e-21,10.156802,0.024782235,5.9492427,409.84206,20.447527,607.46824,0.73983027,64.334302,0.21929432,4.2237025,293.36966,1.5350845,364.27165,0.0050510678,-113.06049,-0.38538575,36.500366,293.36966,-34.136674,364.27165,4.1016512e-07,222.8851,0.5416058,4.2237025,411.52643,1.5350845,651.3627,9.9146444e-14,-273.99805,-0.66580912,36.500366,411.52643,-34.136674,651.3627,4.1892221e-22,-114.22439,-0.27756271,0.1236712,411.52643,0.043709415,651.3627,0.00034893758,-227.31978,-0.55032054,18.960813,413.06795,-23.904373,600.15525,9.1450686e-15,129.35046,0.31561051,0.0012001978,409.84206,0.0020827981,607.46824,1.4252933e-05,228.01703,0.55635341,11.141597,409.84206,-7.2179313,607.46824,3.5177297e-16,5206.9951,274933.17,1.1417982,356.25946,1,7
-0.34186996,-0.077785465,6.1315683,4.3950366,20.308589,1.8058367,0.32366625,-0.83595714,-0.021039796,6.1315683,39.732187,20.308589,-30.275466,0.78979225,0.026297622,0.16590534,6.1315683,0.1585098,20.308589,0.048733329,0.034300015,-3.6507364,-0.20591841,6.0915212,17.729043,20.184911,-17.78895,0.0072330663,0.0001670041,0.14007462,4.3950366,0.0011922509,1.8058367,0.002206899,0.074522337,0.00010086569,0.084601059,0.1585098,0.0011922509,0.048733329,0.002206899,0.28294469,-6.5498984,-0.60175979,39.732187,10.884573,-30.275466,-5.8363374,1.975269e-17,1.4798194,0.003641002,5.9393025,406.4319,20.421703,617.35464,0.9610934,76.589544,0.2571055,4.3950366,297.89151,1.8058367,378.88836,0.00092262421,-118.17687,-0.39671112,39.732187,297.89151,-30.275466,378.88836,1.5830201e-07,200.19407,0.4919136,4.3950366,406.96998,1.8058367,659.48179,2.5841656e-11,-244.66369,-0.60118363,39.732187,406.96998,-30.275466,659.48179,2.1577162e-17,-72.469409,-0.17807065,0.1585098,406.96998,0.048733329,659.48179,0.022956096,-219.11276,-0.53393692,17.729043,410.37201,-17.78895,607.99859,7.6962088e-14,139.24407,0.34260122,0.0012045623,406.4319,0.00209803,617.35464,2.1996028e-06,234.45488,0.57686141,11.15854,406.4319,-7.0143132,617.35464,1.5589147e-17,5245.0751,275130.03,1.140345,371.47527,1,8
