SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00025527998,0.29276647,3.0520562,0.00087195772,2.3325894,0.0012778661,9.1729707e-08,0.00033788667,0.3875035,0.094909554,0.00087195772,0.12476344,0.0012778661,6.0735687e-13,-3.6046912,-0.42528146,14.108869,8.4760131,-2.3206015,-15.438323,1.5680449e-15,,,,,,,,95.478523,0.50273128,3.0520562,189.9196,2.3325894,290.84867,5.7984854e-22,-62.912018,-0.33125606,14.108869,189.9196,-2.3206015,290.84867,1.1691015e-09,29.164714,0.14036894,3.0520562,207.77185,2.3325894,319.70206,0.011816349,-15.330306,-0.073784328,14.108869,207.77185,-2.3206015,319.70206,0.18730427,-63.568978,-0.30595568,0.094909554,207.77185,0.12476344,319.70206,2.2062331e-08,-46.934728,-0.23415646,16.04056,200.44174,-2.3395491,321.51122,1.5905119e-06,-80.76907,-0.40419939,0.00085970885,199.82482,0.0012279557,321.03371,1.055698e-17,-71.104357,-0.35583346,8.3247799,199.82482,-15.916713,321.03371,8.3975395e-14,3069.8892,262825.47,1.2142534,288.44085,1,daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00019084808,0.21134477,3.1992894,0.00090301778,0.79291127,0.001222147,0.00015754974,0.0001314395,0.14555583,0.21479848,0.00090301778,0.073023914,0.001222147,0.0096849182,-1.4376648,-0.15908647,18.738613,9.0370024,-15.130854,-16.260656,0.0046500531,,,,,,,,113.00723,0.51003871,3.1992894,221.56599,0.79291127,247.1759,2.9129478e-22,-66.430903,-0.29982446,18.738613,221.56599,-15.130854,247.1759,5.7783931e-08,62.710551,0.2857599,3.1992894,219.45189,0.79291127,301.48943,2.4753574e-07,-59.177652,-0.26966116,18.738613,219.45189,-15.130854,301.48943,1.1902199e-06,-35.666574,-0.1625257,0.21479848,219.45189,0.073023914,301.48943,0.0038239378,-64.373486,-0.31866357,28.092339,202.01081,-27.656886,301.00492,5.8019374e-11,-79.538692,-0.38031441,0.00087766158,209.1393,0.0011754026,302.29409,1.362029e-15,-74.892978,-0.35810092,8.8006591,209.1393,-16.686946,302.29409,7.0218525e-14,2938.5065,262031.12,1.2198907,249.39408,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00017273988,0.19129728,3.6937845,0.00090299182,0.71676008,0.0012160137,0.00062915436,6.525205e-05,0.072262061,0.2403609,0.00090299182,0.099345127,0.0012160137,0.20014331,-1.4399681,-0.15942981,31.325284,9.0319878,-14.352665,-16.388736,0.0044965417,,,,,,,,106.64404,0.49286192,3.6937845,216.37711,0.71676008,241.83134,9.596691e-21,-57.83872,-0.26730518,31.325284,216.37711,-14.352665,241.83134,1.4291495e-06,59.134719,0.27665522,3.6937845,213.7488,0.71676008,297.41667,5.8442135e-07,-30.731143,-0.14377224,31.325284,213.7488,-14.352665,297.41667,0.010499467,-21.739127,-0.10170409,0.2403609,213.7488,0.099345127,297.41667,0.071004142,-69.121849,-0.3469475,28.096197,199.22856,-27.663449,298.16293,8.7284493e-13,-84.410887,-0.41186437,0.00087952351,204.94826,0.0011710105,299.39779,2.6666103e-18,-82.545888,-0.40276452,8.7982962,204.94826,-16.788477,299.39779,1.6852909e-17,2927.5263,261931.38,1.2204329,245.02376,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013418773,0.14923244,3.0851951,0.00089918605,0.59615605,0.0012084487,0.007879353,4.6565552e-05,0.051786337,0.22728365,0.00089918605,0.10067553,0.0012084487,0.35885884,-1.1704154,-0.12957896,23.549104,9.0324491,-14.680365,-16.503859,0.021220417,,,,,,,,90.903714,0.42978836,3.0851951,211.50809,0.59615605,237.77478,1.2283898e-15,-83.083179,-0.39281325,23.549104,211.50809,-14.680365,237.77478,4.2120448e-13,56.51495,0.26405324,3.0851951,214.02862,0.59615605,295.47153,1.9353539e-06,-50.750295,-0.2371192,23.549104,214.02862,-14.680365,295.47153,2.0505147e-05,-21.749091,-0.10161767,0.22728365,214.02862,0.10067553,295.47153,0.07124559,-68.087841,-0.36391748,28.662322,187.09692,-27.56953,293.16517,5.7001853e-14,-86.569627,-0.42253681,0.00088038351,204.88068,0.0011661219,297.80986,2.8523275e-19,-88.139608,-0.43019971,8.8202418,204.88068,-16.887909,297.80986,5.4519989e-20,2915.3047,261832.45,1.2208758,241.98826,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00019862269,0.22181295,3.0852049,0.00089545129,0.5908529,0.0012053261,6.7936756e-05,9.4537319e-05,0.10557505,0.23104106,0.00089545129,0.099990747,0.0012053261,0.06044479,-1.1040934,-0.12169345,24.046182,9.072743,-15.4616,-16.577287,0.030296831,,,,,,,,97.65917,0.46198222,3.0852049,211.39162,0.5908529,236.50056,3.6454586e-18,-90.496538,-0.42809898,24.046182,211.39162,-15.4616,236.50056,1.4704853e-15,39.860077,0.18250437,3.0852049,218.40615,0.5908529,294.3444,0.0010984459,-38.799511,-0.17764843,24.046182,218.40615,-15.4616,294.3444,0.0014945345,-32.440868,-0.14853459,0.23104106,218.40615,0.099990747,294.3444,0.0080767333,-65.126396,-0.35534894,28.216752,183.27449,-27.346199,291.92067,2.3858608e-13,-87.441126,-0.42193046,0.00087974762,207.24061,0.0011609627,297.42398,3.2455265e-19,-91.740874,-0.44267808,8.8761355,207.24061,-16.989106,297.42398,3.3609516e-21,2902.4067,261725.02,1.2213676,239.87031,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00015445767,0.17355886,2.7913568,0.00088994403,0.38135005,0.0011995411,0.0019254834,8.9124551e-05,0.10014624,0.26498402,0.00088994403,0.11363155,0.0011995411,0.074996137,-1.0210571,-0.11286995,25.010701,9.0463142,-16.011445,-16.641103,0.044635337,,,,,,,,87.624585,0.41159416,2.7913568,212.89074,0.38135005,239.49198,2.1623187e-14,-81.505299,-0.38285037,25.010701,212.89074,-16.011445,239.49198,1.660966e-12,36.358136,0.18316977,2.7913568,198.4942,0.38135005,289.86783,0.0010524295,-38.94283,-0.19619127,25.010701,198.4942,-16.011445,289.86783,0.00044225545,-29.642075,-0.14933472,0.26498402,198.4942,0.11363155,289.86783,0.0077383995,-66.995138,-0.3727563,27.957568,179.72906,-26.994769,290.42031,1.2437557e-14,-85.510853,-0.45143737,0.00087461714,189.41908,0.0011543939,293.2067,4.4328922e-22,-85.472924,-0.45123713,8.864421,189.41908,-17.069655,293.2067,4.6460526e-22,2885.9848,261645.66,1.2213813,241.24523,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0243694e-05,0.090940316,3.0317984,0.00088237756,0.3994161,0.0011911596,0.10607262,9.0944673e-05,0.10306775,0.22889683,0.00088237756,0.090856807,0.0011911596,0.066846664,-0.81863103,-0.091045772,24.988599,8.9914228,-16.46275,-16.690494,0.10566642,,,,,,,,91.737801,0.41142582,3.0317984,222.97532,0.3994161,242.79443,2.2207518e-14,-79.881705,-0.35825358,24.988599,222.97532,-16.46275,242.79443,4.9388281e-11,46.594927,0.22943778,3.0317984,203.08306,0.3994161,291.00286,3.7229659e-05,-34.032368,-0.16757856,24.988599,203.08306,-16.46275,291.00286,0.0027619683,-31.223497,-0.15374742,0.22889683,203.08306,0.090856807,291.00286,0.0060897721,-66.040035,-0.35182048,27.771305,187.70947,-26.863357,292.85862,4.2489513e-13,-87.466903,-0.4534407,0.00086729962,192.89601,0.001145695,294.17757,2.7661433e-22,-85.159915,-0.44148096,8.8182905,192.89601,-17.132015,294.17757,4.4129984e-21,2864.2374,261587.67,1.221286,243.05794,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2707695e-05,0.060141457,2.400066,0.00087639538,0.33100205,0.0011811703,0.28497029,9.8950901e-05,0.11290669,0.19770543,0.00087639538,0.082747023,0.0011811703,0.044227987,-0.75457406,-0.084303217,22.175231,8.9507149,-14.79175,-16.814272,0.13359027,,,,,,,,74.811685,0.32267404,2.400066,231.8491,0.33100205,246.73852,3.8683499e-09,-78.527982,-0.33870299,22.175231,231.8491,-14.79175,246.73852,5.632879e-10,42.622828,0.20094628,2.400066,212.11056,0.33100205,289.62146,0.00031080277,-32.063674,-0.15116491,22.175231,212.11056,-14.79175,289.62146,0.006921932,-37.690327,-0.17769189,0.19770543,212.11056,0.082747023,289.62146,0.0014647494,-61.938032,-0.32226368,27.300775,192.19675,-26.026716,291.15255,4.0549795e-11,-93.193385,-0.46501474,0.00086425886,200.40953,0.0011382215,292.86497,1.7051305e-23,-91.690789,-0.45751711,8.8032114,200.40953,-17.243613,292.86497,1.0493524e-22,2845.5539,261475.98,1.2212714,245.95937,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1508929e-05,0.070055255,2.3783707,0.00087800591,0.41732807,0.0011783968,0.21280999,9.4694194e-05,0.10785143,0.222844,0.00087800591,0.089701531,0.0011783968,0.05469384,-0.52348575,-0.058100149,23.393161,9.0100587,-14.937187,-16.863869,0.30166624,,,,,,,,80.017072,0.33597159,2.3783707,238.16619,0.41732807,252.02478,7.8842626e-10,-73.238855,-0.30751156,23.393161,238.16619,-14.937187,252.02478,2.1639504e-08,40.968351,0.18163542,2.3783707,225.55266,0.41732807,292.61792,0.0011404419,-37.683963,-0.16707391,23.393161,225.55266,-14.937187,292.61792,0.0028020739,-29.08175,-0.12893552,0.222844,225.55266,0.089701531,292.61792,0.021459389,-64.966096,-0.32379139,27.790743,200.64183,-25.314595,292.94299,3.2418016e-11,-93.941118,-0.44395748,0.00086436908,211.59936,0.0011352365,294.97176,2.5092386e-21,-93.444042,-0.44160835,8.8427608,211.59936,-17.29139,294.97176,4.2871702e-21,2838.0913,261427.76,1.2211002,249.26615,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00014040745,0.15948246,2.6273507,0.00088039428,0.60258098,0.0011746709,0.004357508,8.9476128e-05,0.10163188,0.26516697,0.00088039428,0.11903668,0.0011746709,0.07031003,-0.42153095,-0.046756584,21.730482,9.0154352,-14.427307,-16.929887,0.40599595,,,,,,,,112.18419,0.47013465,2.6273507,238.62139,0.60258098,255.03632,6.8457199e-19,-73.049361,-0.30613081,21.730482,238.62139,-14.427307,255.03632,2.5192345e-08,29.414128,0.13995595,2.6273507,210.16704,0.60258098,290.64806,0.012480762,-45.750662,-0.21768714,21.730482,210.16704,-14.427307,290.64806,9.0905387e-05,-29.032584,-0.13814052,0.26516697,210.16704,0.11903668,290.64806,0.013681105,-63.373016,-0.32225627,27.783606,196.6541,-24.925107,292.13027,4.5407531e-11,-93.691079,-0.46904222,0.00086590812,199.74978,0.0011321509,293.74443,6.3057294e-24,-93.038459,-0.46577504,8.8415594,199.74978,-17.340124,293.74443,1.4146175e-23,2830.3772,261378.3,1.2211266,250.23104,1,8
