SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.20585644,0.12310276,4.2409787,1.6722325,21.182674,2.8689945,0.25318524,-0.45736449,-0.069078561,4.2409787,6.6209326,21.182674,4.2176475,0.52248896,0.0075572065,0.12380491,4.2409787,0.061041249,21.182674,0.092741859,0.25046744,-4.4312574,-0.59281049,4.2409787,7.4749982,21.182674,8.7215931,1.1644967e-09,0.00045312911,0.45475271,1.6722325,0.00099642972,2.8689945,0.0012411635,8.548005e-06,0.0003277245,0.32889876,0.061041249,0.00099642972,0.092741859,0.0012411635,0.0017554429,-4.8881888,-0.58208313,6.6209326,8.3977503,4.2176475,-16.341228,2.7102592e-09,-4.807502,-0.043614843,4.2409787,110.22628,21.182674,230.02082,0.68659106,62.296146,0.29146354,1.6722325,213.73564,2.8689945,406.43131,0.0058662092,-70.577609,-0.33020983,6.6209326,213.73564,4.2176475,406.43131,0.0016780848,-34.262789,-0.31084047,1.6722325,110.22628,2.8689945,230.02082,0.0032021097,59.396635,0.53886092,6.6209326,110.22628,4.2176475,230.02082,6.0948286e-08,-43.084037,-0.39086901,0.061041249,110.22628,0.092741859,230.02082,0.00016641803,7.0876101,0.064300546,7.4749982,110.22628,8.7215931,230.02082,0.55172021,-89.810483,-0.81478285,0.00099642972,110.22628,0.0012411635,230.02082,4.5674538e-22,-92.731487,-0.84128292,8.3977503,110.22628,-16.341228,230.02082,1.0801199e-24,3102.9089,259541.42,1.2514843,,1,daily
0.073115535,0.05666843,4.1158287,1.290234,21.333569,1.5914512,0.60212847,0.79349327,0.097040896,4.1158287,8.1768955,21.333569,-14.3098,0.37123718,0.0046935487,0.082330991,4.1158287,0.057008286,21.333569,0.012649588,0.448383,-2.1429942,-0.20325347,4.1158287,10.543457,21.333569,-10.831069,0.059004236,0.00024612361,0.24124847,1.290234,0.001020208,1.5914512,0.0011832113,0.024383719,-4.7429443e-05,-0.046489974,0.057008286,0.001020208,0.012649588,0.0011832113,0.66895035,0.65609268,0.070894993,8.1768955,9.254429,-14.3098,-17.362813,0.51406453,1.7361496,0.015173604,4.1158287,114.41907,21.333569,202.81691,0.88906223,-26.128707,-0.10133419,1.290234,257.84691,1.5914512,352.13542,0.35034596,-8.4892884,-0.032923755,8.1768955,257.84691,-14.3098,352.13542,0.76209355,-1.8654425,-0.016303598,1.290234,114.41907,1.5914512,202.81691,0.88085907,-9.8427339,-0.086023547,8.1768955,114.41907,-14.3098,202.81691,0.42822132,-1.7185355,-0.01501966,0.057008286,114.41907,0.012649588,202.81691,0.89018071,-53.8633,-0.47075458,10.543457,114.41907,-10.831069,202.81691,4.1973279e-06,-85.487292,-0.74714202,0.001020208,114.41907,0.0011832113,202.81691,9.5475227e-17,-86.555609,-0.7564789,9.254429,114.41907,-17.362813,202.81691,2.3912807e-17,2958.0282,258518.31,1.259052,,1,0
0.043560082,0.029977015,4.1109381,1.4531161,21.322328,1.7411978,0.78283628,-0.17257424,-0.021325796,4.1109381,8.0922765,21.322328,-13.867166,0.84456397,-0.031594856,-0.12369509,4.1109381,0.25542532,21.322328,0.06894439,0.25368131,-2.02255,-0.20943767,4.1109381,9.6570498,21.322328,-9.7403387,0.051546727,0.00022428022,0.21696169,1.4531161,0.0010337319,1.7411978,0.0011801759,0.043536504,2.1116694e-05,0.02042763,0.25542532,0.0010337319,0.06894439,0.0011801759,0.85103346,1.4258758,0.15147738,8.0922765,9.4131273,-13.867166,-17.502901,0.16134944,2.4410188,0.021605956,4.1109381,112.97897,21.322328,204.43759,0.84254805,-14.17724,-0.055160742,1.4531161,257.01685,1.7411978,347.0393,0.61183903,-13.369057,-0.052016267,8.0922765,257.01685,-13.867166,347.0393,0.63230709,12.272463,0.10862608,1.4531161,112.97897,1.7411978,204.43759,0.31658063,-7.4071872,-0.065562528,8.0922765,112.97897,-13.867166,204.43759,0.54628832,17.520181,0.15507471,0.25542532,112.97897,0.06894439,204.43759,0.15151185,-51.033259,-0.45170581,9.6570498,112.97897,-9.7403387,204.43759,1.1254348e-05,-86.753483,-0.76787282,0.0010337319,112.97897,0.0011801759,204.43759,4.0483503e-18,-88.809734,-0.78607312,9.4131273,112.97897,-17.502901,204.43759,1.9030514e-19,2950.4398,258379.61,1.2598285,,1,1
0.080278131,0.042091977,4.1067809,1.9072074,21.310132,1.7430829,0.69868151,-1.0366625,-0.11598701,4.1067809,8.9377465,21.310132,-12.945669,0.28469905,0.012558206,0.044592589,4.1067809,0.28162091,21.310132,0.087454041,0.68171779,-2.2614739,-0.2411874,4.1067809,9.376418,21.310132,-9.7563213,0.024420937,0.00015196474,0.14645168,1.9072074,0.0010376442,1.7430829,0.0011683143,0.1758757,3.5519674e-05,0.034231072,0.28162091,0.0010376442,0.087454041,0.0011683143,0.7529436,1.6339975,0.17115126,8.9377465,9.5470962,-12.945669,-17.745422,0.11296127,4.9175802,0.045582186,4.1067809,107.88382,21.310132,204.15459,0.67504738,-0.76381019,-0.0030078396,1.9072074,253.9398,1.7430829,346.08447,0.97794167,-13.493385,-0.053136157,8.9377465,253.9398,-12.945669,346.08447,0.62498464,-1.4735554,-0.013658725,1.9072074,107.88382,1.7430829,204.15459,0.90007764,-11.592242,-0.10745117,8.9377465,107.88382,-12.945669,204.15459,0.32187443,7.8045176,0.072341874,0.28162091,107.88382,0.087454041,204.15459,0.50549178,-61.487412,-0.569941,9.376418,107.88382,-9.7563213,204.15459,8.3229119e-09,-88.263138,-0.81813139,0.0010376442,107.88382,0.0011683143,204.15459,3.9307508e-22,-94.019345,-0.871487,9.5470962,107.88382,-17.745422,204.15459,4.9239685e-28,2920.7858,258131.73,1.2605377,,1,2
0.06685503,0.042652835,4.1033703,1.5674229,21.29931,1.8508002,0.69486351,-1.9450211,-0.19877333,4.1033703,9.7851212,21.29931,-12.34135,0.06493846,0.0019147065,0.0084177952,4.1033703,0.22745938,21.29931,0.05313902,0.93831991,-1.9255391,-0.1871173,4.1033703,10.290546,21.29931,-9.7106134,0.082664008,0.00026138222,0.25148551,1.5674229,0.001039353,1.8508002,0.0011541968,0.018790028,-9.1180947e-05,-0.087728567,0.22745938,0.001039353,0.05313902,0.0011541968,0.41908955,1.1351556,0.11700017,9.7851212,9.7021702,-12.34135,-18.036273,0.28048416,7.5317664,0.071135249,4.1033703,105.87953,21.29931,202.98368,0.5126359,-10.440001,-0.041739619,1.5674229,250.1221,1.8508002,346.27638,0.70108401,-6.3861798,-0.025532249,9.7851212,250.1221,-12.34135,346.27638,0.81440845,-3.6313116,-0.034296636,1.5674229,105.87953,1.8508002,202.98368,0.75248559,-11.509181,-0.10870073,9.7851212,105.87953,-12.34135,202.98368,0.31624619,9.197943,0.086871782,0.22745938,105.87953,0.05313902,202.98368,0.42366419,-55.967445,-0.52859554,10.290546,105.87953,-9.7106134,202.98368,1.4205041e-07,-90.409996,-0.85389499,0.001039353,105.87953,0.0011541968,202.98368,7.8450972e-26,-98.948338,-0.93453704,9.7021702,105.87953,-18.036273,202.98368,6.6676897e-40,2885.4921,257842.5,1.2611602,,1,3
0.13213,0.10184339,4.1027923,1.2973841,21.290931,1.8015388,0.34791771,-0.52485088,-0.051288248,4.1027923,10.233356,21.290931,-12.932759,0.6370864,0.012894133,0.08105448,4.1027923,0.15907983,21.290931,0.034571091,0.45547406,-1.1568225,-0.11153252,4.1027923,10.372065,21.290931,-8.863366,0.30372764,0.0003429444,0.32912905,1.2973841,0.0010419755,1.8015388,0.0011437904,0.0018537125,2.4400208e-05,0.023417257,0.15907983,0.0010419755,0.034571091,0.0011437904,0.82953971,2.4184312,0.24764754,10.233356,9.7656178,-12.932759,-18.210135,0.020742334,9.1773906,0.086460722,4.1027923,106.1452,21.290931,202.22609,0.42586911,-12.136576,-0.049014572,1.2973841,247.61159,1.8015388,346.88183,0.65210765,13.422283,0.054207004,10.233356,247.61159,-12.932759,346.88183,0.61801669,-16.375,-0.15426981,1.2973841,106.1452,1.8015388,202.22609,0.15367305,-24.820198,-0.2338325,10.233356,106.1452,-12.932759,202.22609,0.029271242,3.4879005,0.03285971,0.15907983,106.1452,0.034571091,202.22609,0.76254266,-60.538507,-0.57033673,10.372065,106.1452,-8.863366,202.22609,8.0844992e-09,-90.641711,-0.85394074,0.0010419755,106.1452,0.0011437904,202.22609,7.7491014e-26,-100.30745,-0.94500223,9.7656178,106.1452,-18.210135,202.22609,5.0546889e-43,2859.4759,257665.43,1.2615495,,1,4
0.12141649,0.097125426,4.1069634,1.2500999,21.289259,1.7983702,0.37081867,-1.390188,-0.16491666,4.1069634,8.4296398,21.289259,-13.023406,0.12689433,-0.021275567,-0.14504637,4.1069634,0.14668114,21.289259,0.033020948,0.18010392,-1.0065988,-0.10628158,4.1069634,9.4710559,21.289259,-8.6042272,0.32720026,0.00027356448,0.2595579,1.2500999,0.0010539632,1.7983702,0.0011417091,0.015193141,9.3293892e-05,0.08851722,0.14668114,0.0010539632,0.033020948,0.0011417091,0.41490403,2.2573835,0.22943236,8.4296398,9.8389937,-13.023406,-18.28794,0.03254488,8.7738349,0.08043628,4.1069634,109.07808,21.289259,204.68586,0.45893033,-37.084097,-0.13732006,1.2500999,270.05593,1.7983702,340.48729,0.20468061,1.4803556,0.0054816631,8.4296398,270.05593,-13.023406,340.48729,0.95981129,-4.7939804,-0.043949989,1.2500999,109.07808,1.7983702,204.68586,0.68606243,-23.907982,-0.21918227,8.4296398,109.07808,-13.023406,204.68586,0.04138019,-10.891974,-0.099854834,0.14668114,109.07808,0.033020948,204.68586,0.35746028,-65.723912,-0.60254006,9.4710559,109.07808,-8.6042272,204.68586,6.6366546e-10,-92.231858,-0.84555814,0.0010539632,109.07808,0.0011417091,204.68586,6.9148566e-25,-102.29639,-0.93782718,9.8389937,109.07808,-18.28794,204.68586,7.9811065e-41,2854.2728,257582.52,1.2625546,,1,5
0.15747238,0.12682684,4.112513,1.2416329,21.290121,1.8235933,0.24176524,0.28845463,0.04233716,4.112513,6.813273,21.290121,-12.360542,0.69701152,0.0084962636,0.10596773,4.112513,0.080177835,21.290121,0.020166153,0.32863889,-0.63092521,-0.060261307,4.112513,10.469823,21.290121,-9.0445775,0.57926779,0.00027903343,0.26253764,1.2416329,0.0010628321,1.8235933,0.0011316879,0.014024829,7.2935158e-05,0.068623406,0.080177835,0.0010628321,0.020166153,0.0011316879,0.52767195,2.2807219,0.23025012,6.813273,9.9054099,-12.360542,-18.445965,0.03191418,5.9286501,0.053888413,4.112513,110.01716,21.290121,207.57674,0.62008626,-15.278171,-0.056655167,1.2416329,269.66951,1.8235933,340.45053,0.60221359,3.8607909,0.014316749,6.813273,269.66951,-12.360542,340.45053,0.89529039,-6.8339405,-0.062117042,1.2416329,110.01716,1.8235933,207.57674,0.5676191,-18.414704,-0.1673803,6.813273,110.01716,-12.360542,207.57674,0.12123939,-3.7391998,-0.033987424,0.080177835,110.01716,0.020166153,207.57674,0.75464636,-57.013794,-0.51822638,10.469823,110.01716,-9.0445775,207.57674,2.7313493e-07,-92.893676,-0.84435626,0.0010628321,110.01716,0.0011316879,207.57674,9.3635437e-25,-103.74644,-0.94300234,9.9054099,110.01716,-18.445965,207.57674,2.2123803e-42,2829.2198,257417.64,1.263033,,1,6
0.33922912,0.16343946,4.115913,2.0755644,21.286655,1.3229731,0.13038046,-0.26635058,-0.025446142,4.115913,10.467228,21.286655,-10.520511,0.81502319,0.0034674156,0.022799053,4.115913,0.15208594,21.286655,0.053635066,0.83397453,-1.5872919,-0.1657916,4.115913,9.5740184,21.286655,-6.8536724,0.12486337,0.00030623411,0.28711142,2.0755644,0.0010666037,1.3229731,0.0011212898,0.0070118125,3.0992402e-05,0.029057091,0.15208594,0.0010666037,0.053635066,0.0011212898,0.78934377,0.64348097,0.064544986,10.467228,9.9694958,-10.520511,-18.610619,0.55254708,7.4526582,0.066564193,4.115913,111.96197,21.286655,210.17458,0.54016113,-20.713011,-0.07867686,2.0755644,263.26688,1.3229731,340.03434,0.46884557,-42.641372,-0.16197014,10.467228,263.26688,-10.520511,340.03434,0.13391992,-24.221678,-0.21633844,2.0755644,111.96197,1.3229731,210.17458,0.044158195,-12.469042,-0.11136855,10.467228,111.96197,-10.520511,210.17458,0.30444356,-11.041039,-0.098614188,0.15208594,111.96197,0.053635066,210.17458,0.36349499,-53.8456,-0.48092758,9.5740184,111.96197,-6.8536724,210.17458,2.418117e-06,-94.105038,-0.84050896,0.0010666037,111.96197,0.0011212898,210.17458,2.4294905e-24,-105.74461,-0.94446905,9.9694958,111.96197,-18.610619,210.17458,7.532696e-43,2803.2246,257244.53,1.2635537,,1,7
0.29778311,0.080891634,4.1171823,3.6812596,21.28123,0.74727009,0.45638311,-2.3951657,-0.25751084,4.1171823,9.3012231,21.28123,2.564424,0.016043721,-0.011266983,-0.029082734,4.1171823,0.38741139,21.28123,0.36463837,0.78916217,-5.4978508,-0.40914811,4.1171823,13.437312,21.28123,12.818739,8.3274678e-05,0.00019043609,0.17883908,3.6812596,0.0010648461,0.74727009,0.0011316428,0.097445985,0.00011647912,0.10938587,0.38741139,0.0010648461,0.36463837,0.0011316428,0.31318728,0.69656251,0.071417765,9.3012231,9.7533507,2.564424,-18.297837,0.51095857,7.0364898,0.061435941,4.1171823,114.53377,21.28123,217.11927,0.57188165,26.123248,0.10263391,3.6812596,254.52843,0.74727009,339.03549,0.34416886,6.7671604,0.026587051,9.3012231,254.52843,2.564424,339.03549,0.80688706,1.2899602,0.011262707,3.6812596,114.53377,0.74727009,217.11927,0.91753808,-5.6618706,-0.049434073,9.3012231,114.53377,2.564424,217.11927,0.6493255,-32.356694,-0.2825079,0.38741139,114.53377,0.36463837,217.11927,0.0080210269,38.606378,0.3370742,13.437312,114.53377,12.818739,217.11927,0.0014103628,-95.577493,-0.83449183,0.0010648461,114.53377,0.0011316428,217.11927,1.0271346e-23,-107.38309,-0.93756712,9.7533507,114.53377,-18.297837,217.11927,9.4786573e-41,2829.107,257540.81,1.2631938,,1,8
