SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.24895616,-0.11235217,4.3641217,2.2158554,11.267753,2.9052709,0.11504443,-3.8012327,-0.26671622,4.3676341,14.251974,11.475718,5.5832023,0.00021569409,-0.0016819809,-0.016282734,4.4089289,0.10329843,11.443424,0.1116265,0.82635474,-3.1253485,-0.20173879,4.3275016,15.492055,11.301287,14.875139,0.0039879274,0.00013910204,0.15686148,2.2158554,0.00088678268,2.9052709,0.0011305088,0.027318132,0.0002410812,0.27396831,0.10329843,0.00087996016,0.1116265,0.001076252,0.00016773878,-5.8484754,-0.69757597,14.251974,8.3839978,5.5832023,-17.988179,9.8183259e-29,-18.681343,-0.16181338,4.3275016,115.44993,11.301287,307.76421,0.02140796,59.259175,0.28121693,2.2158554,210.72406,2.9052709,419.10795,5.98729e-05,-72.342755,-0.34111149,14.251974,212.0795,5.5832023,414.58369,1.664884e-06,-0.39577968,-0.0034772708,2.2158554,113.81906,2.9052709,304.4922,0.96122222,68.800998,0.60671276,14.251974,113.39962,5.5832023,312.96919,2.7542933e-20,-37.84869,-0.33876113,0.10329843,111.72678,0.1116265,309.56137,2.5549688e-06,15.196958,0.13163245,15.492055,115.44993,14.875139,307.76421,0.061849626,-89.79028,-0.77774219,0.00088565227,115.44993,0.0011142798,307.76421,3.3980912e-42,-92.356018,-0.799966,8.4623067,115.44993,-17.389719,307.76421,3.0438358e-46,2785.6994,259602.95,1.2338727,419.55844,1,daily
0.19926582,0.099002354,4.365169,2.0127382,11.449385,0.52453326,0.16851549,-0.16588148,-0.012680767,4.3748147,13.081345,11.657505,-12.810944,0.86434569,-0.012165923,-0.055897398,4.4245871,0.2176474,11.652961,0.07824503,0.45736168,4.7597209,0.19646835,4.3241621,24.2264,11.440859,-21.543515,0.005415397,0.00017210236,0.18354338,2.0127382,0.00093766584,0.52453326,0.0010697305,0.010216252,6.2896542e-05,0.069049065,0.2176474,0.00091089636,0.07824503,0.00099726622,0.35838948,-1.3184939,-0.14553456,13.081345,9.0596618,-12.810944,-19.119448,0.048703164,-12.656805,-0.11316457,4.3206196,111.84424,11.458655,278.38972,0.11060343,98.06868,0.37667146,2.0127382,260.35601,0.52453326,380.93851,5.7198679e-08,-72.234002,-0.27141711,13.081345,266.13651,-12.810944,377.84912,0.00019393047,-4.3427519,-0.039599288,2.0127382,109.66742,0.52453326,275.82839,0.58257015,0.59071089,0.0053805177,13.081345,109.787,-12.810944,285.91042,0.94221352,-12.369858,-0.11506992,0.2176474,107.49862,0.07824503,283.33022,0.1250679,-50.59395,-0.45444452,24.2264,111.33141,-21.543515,277.44968,1.5594121e-11,-87.328865,-0.78080789,0.00093320501,111.84424,0.0010584592,278.38972,2.5816213e-42,-93.329925,-0.8344634,9.2079431,111.84424,-18.35625,278.38972,3.8780686e-53,2646.148,258626.41,1.2396504,382.79064,1,0
-0.011806663,-0.0065811415,4.362336,1.7940144,11.429123,0.5849021,0.92724566,-0.62545863,-0.048165432,4.3758728,12.985633,11.646361,-13.069331,0.51616242,-0.016685864,-0.063879599,4.4223323,0.26120803,11.631168,0.097977407,0.39558568,4.4618381,0.18956575,4.3248297,23.537153,11.430304,-19.152583,0.0073256311,0.00012334666,0.13147717,1.7940144,0.00093816024,0.5849021,0.0010525717,0.066931124,8.0546662e-05,0.088370035,0.26120803,0.00091147029,0.097977407,0.00097910985,0.23946288,-1.4048852,-0.15143069,12.985633,9.2774143,-13.069331,-19.335416,0.040173943,-14.062163,-0.12557042,4.3213279,111.98627,11.448153,279.96786,0.076440655,93.013325,0.35675977,1.7940144,260.71697,0.5849021,376.39135,3.0665097e-07,-72.079679,-0.2720184,12.985633,264.98089,-13.069331,370.01689,0.00018743486,-1.7508996,-0.0159119,1.7940144,110.03712,0.5849021,278.42745,0.8252614,4.1207285,0.03755019,12.985633,109.73922,-13.069331,287.93997,0.61281247,-17.005491,-0.15801033,0.26120803,107.62265,0.097977407,286.48456,0.034642457,-52.130604,-0.46887278,23.537153,111.18283,-19.152583,278.86918,2.8554266e-12,-88.591669,-0.79109404,0.00093911388,111.98627,0.0010525501,279.96786,3.8671845e-44,-96.188466,-0.8589309,9.4195091,111.98627,-18.560515,279.96786,1.8584467e-59,2631.3752,258417.47,1.2407464,376.67118,1,1
0.12625479,0.059170041,4.3572018,2.1337621,11.411169,0.68011498,0.41126325,-0.81703766,-0.061698091,4.3768612,13.242511,11.635207,-11.944627,0.40540712,0.021811004,0.088650845,4.417404,0.24603267,11.611888,0.089818764,0.23796716,4.168546,0.17704967,4.3255055,23.5445,11.419739,-18.667173,0.012361455,0.00019058575,0.2008027,2.1337621,0.00094911949,0.68011498,0.0010544981,0.0048814201,3.2265481e-05,0.034778514,0.24603267,0.00092774179,0.089818764,0.00098365571,0.64394877,-1.454098,-0.15383889,13.242511,9.4520832,-11.944627,-19.520717,0.037071189,-12.810737,-0.11448478,4.3220445,111.89903,11.43764,281.14617,0.10647909,102.91727,0.3990629,2.1337621,257.89737,0.68011498,370.90544,7.5299549e-09,-77.063202,-0.29455627,13.242511,261.62472,-11.944627,363.64451,4.9337523e-05,-3.7900437,-0.034386271,2.1337621,110.21968,0.68011498,279.13404,0.63319683,1.9784689,0.018102865,13.242511,109.29038,-11.944627,288.49135,0.80730381,-13.318749,-0.12391295,0.24603267,107.48472,0.089818764,286.50454,0.098411652,-49.598692,-0.44466639,23.5445,111.54135,-18.667173,280.30225,4.7135077e-11,-88.77355,-0.79333616,0.00094376674,111.89903,0.0010459071,281.14617,1.4997782e-44,-95.29374,-0.85160467,9.5810686,111.89903,-18.740672,281.14617,1.9049514e-57,2614.7678,258225.52,1.2417656,372.0177,1,2
0.29975338,0.12023405,4.3589329,2.4930824,11.397818,0.72182263,0.094079176,-0.75888446,-0.064411146,4.373634,11.781881,11.603646,-12.452379,0.38372507,0.014016468,0.070190087,4.4136058,0.19969299,11.580136,0.073805934,0.34912202,3.8310888,0.15861703,4.3273229,24.153074,11.406153,-18.754068,0.025243374,0.00018762433,0.19911502,2.4930824,0.00094229116,0.72182263,0.0010422025,0.0052608479,7.8880745e-05,0.085425154,0.19969299,0.00092339014,0.073805934,0.00097793007,0.25420312,-1.49981,-0.15667905,11.781881,9.5724987,-12.452379,-19.664927,0.033188709,-12.902493,-0.11327586,4.3239106,113.90329,11.424123,284.27021,0.11025099,92.889355,0.36221919,2.4930824,256.44516,0.72182263,368.10948,1.9569542e-07,-100.70892,-0.39011298,11.781881,258.15322,-12.452379,359.98214,4.0374827e-08,-7.1173582,-0.063486842,2.4930824,112.10761,0.72182263,281.98649,0.37791981,1.9462893,0.017461582,11.781881,111.46122,-12.452379,290.65566,0.81350141,-12.330064,-0.11256044,0.19969299,109.54172,0.073805934,288.359,0.13247299,-40.208094,-0.35542579,24.153074,113.12655,-18.754068,283.17328,2.5839044e-07,-89.709445,-0.7875931,0.00093750718,113.90329,0.0010335893,284.27021,1.6585545e-43,-97.457509,-0.85561628,9.6859228,113.90329,-18.940733,284.27021,1.5581996e-58,2583.9733,258025.81,1.2424951,368.78368,1,3
0.11517938,0.068064187,4.3575956,1.6922171,11.385513,0.53086675,0.34442876,-0.42483453,-0.034517205,4.3729896,12.307907,11.590135,-12.535669,0.64089938,-0.018840675,-0.098193015,4.4127394,0.19187388,11.566806,0.070265657,0.18972568,4.3150487,0.18434373,4.3261311,23.407624,11.393593,-18.076161,0.0091477383,0.0001868437,0.20171494,1.6922171,0.00092627597,0.53086675,0.0010274717,0.0046867215,6.4820277e-05,0.071098082,0.19187388,0.00091170218,0.070265657,0.00096622466,0.34290738,-1.8176241,-0.1880307,12.307907,9.6666344,-12.535669,-19.854897,0.010375325,-15.093018,-0.13040396,4.3227762,115.74048,11.411625,287.47592,0.06569516,82.364396,0.31943965,1.6922171,257.84024,0.53086675,367.83583,5.3167779e-06,-99.99569,-0.38928252,12.307907,256.87177,-12.535669,358.0299,4.3381497e-08,-4.2081345,-0.03707141,1.6922171,113.51428,0.53086675,284.97618,0.60688657,7.5359128,0.06729037,12.307907,111.99096,-12.535669,293.14561,0.36278212,-19.495297,-0.17800225,0.19187388,109.52275,0.070265657,290.59506,0.016819178,-49.156362,-0.42692935,23.407624,115.13934,-18.076161,286.46248,3.2110733e-10,-89.956521,-0.77722606,0.00092221147,115.74048,0.0010185918,287.47592,1.0573022e-41,-98.007193,-0.84678402,9.7634274,115.74048,-19.131163,287.47592,3.5053463e-56,2546.4795,257837.69,1.242973,367.78872,1,4
0.26058142,0.12812569,4.3632641,2.0337953,11.374738,0.69764663,0.074254946,-0.78114996,-0.065135525,4.3786307,11.992687,11.578778,-12.062691,0.37838817,0.011643333,0.056267253,4.4183967,0.20692912,11.556244,0.07601609,0.45311028,5.2838148,0.22399191,4.3317299,23.589311,11.38203,-18.533359,0.0014707276,0.00023302766,0.25341346,2.0337953,0.00091955519,0.69764663,0.0010132313,0.00035089668,1.0984346e-05,0.01211022,0.20692912,0.00090703111,0.07601609,0.00095360581,0.87181803,-1.3592217,-0.13976613,11.992687,9.7249719,-12.062691,-20.055308,0.057766716,-14.935031,-0.12740646,4.3283994,117.2235,11.40012,290.50966,0.072202461,115.85267,0.42816378,2.0337953,270.58026,0.69764663,358.73233,4.2694057e-10,-74.590341,-0.27398487,11.992687,272.24255,-12.062691,350.31621,0.00016077271,-11.016923,-0.095799378,2.0337953,114.99994,0.69764663,288.05229,0.18278434,4.5162681,0.039940099,11.992687,113.07604,-12.062691,295.41821,0.58935049,-9.5111236,-0.0860193,0.20692912,110.56965,0.07601609,292.89241,0.25090277,-52.151959,-0.44776443,23.589311,116.47187,-18.533359,289.40552,3.3326679e-11,-90.915932,-0.77557769,0.00091582203,117.2235,0.0010040887,290.50966,2.0052651e-41,-99.29482,-0.84705558,9.8199467,117.2235,-19.32659,290.50966,2.9829335e-56,2510.2217,257637.96,1.2444485,358.14291,1,5
0.35189425,0.17034096,4.3623649,2.0658229,11.359367,0.74450722,0.017274368,-0.62721832,-0.049042735,4.3782892,12.78922,11.562846,-11.628807,0.50737462,0.0078767174,0.038245643,4.4179779,0.20595071,11.540425,0.077021441,0.61023998,4.8415481,0.20588489,4.3312533,23.515801,11.366967,-17.773176,0.0035297669,0.00025323928,0.2730368,2.0658229,0.00092749138,0.74450722,0.0010079018,0.00011251988,8.3924157e-05,0.091710683,0.20595071,0.00091509685,0.077021441,0.00094875522,0.22078703,-1.3231645,-0.13480977,12.78922,9.8150486,-11.628807,-20.213597,0.067318179,-13.834882,-0.11803553,4.3275739,117.20947,11.384633,290.59818,0.095985474,136.14184,0.51696613,2.0658229,263.34769,0.74450722,354.61187,1.0168078e-14,-72.159432,-0.27438124,12.78922,262.98967,-11.628807,345.44774,0.00015715021,-16.872997,-0.14761841,2.0658229,114.30144,0.74450722,287.72475,0.039453816,0.33119016,0.0028998573,12.78922,114.20913,-11.628807,296.14436,0.96875081,-20.763215,-0.18699738,0.20595071,111.03479,0.077021441,293.18554,0.011951702,-48.944882,-0.42051611,23.515801,116.39241,-17.773176,289.46032,6.2555527e-10,-91.986642,-0.78480552,0.00092363919,117.20947,0.00099798858,290.59818,5.1848278e-43,-102.08487,-0.87096092,9.9107822,117.20947,-19.490187,290.59818,5.1072112e-63,2494.9714,257461.97,1.2453753,354.19952,1,6
0.37887754,0.16694339,4.3764717,2.2694971,11.330702,0.76937947,0.020314152,-0.82027398,-0.068773103,4.3778681,11.92725,11.551489,-10.836494,0.35227939,0.012981826,0.068947411,4.4354045,0.18828591,11.51166,0.073211645,0.36046403,2.5858089,0.11993757,4.3299519,21.559624,11.356158,-13.60546,0.09153309,0.00022754764,0.24072869,2.2694971,0.00094524522,0.76937947,0.0010154261,0.00074538958,3.4329019e-05,0.03668913,0.18828591,0.00093567274,0.073211645,0.00095738678,0.62681886,-1.3668274,-0.13748778,11.92725,9.9414465,-10.836494,-20.359176,0.06200869,-14.719364,-0.12077875,4.3263222,121.87048,11.373878,292.5508,0.088454864,125.99042,0.48623506,2.2694971,259.11422,0.76937947,354.82539,7.5749952e-13,-64.581326,-0.25142557,11.92725,256.86061,-10.836494,344.1572,0.0005560288,-9.7815849,-0.083640817,2.2694971,116.94751,0.76937947,287.06013,0.24749522,4.762863,0.040211986,11.92725,118.44386,-10.836494,298.16264,0.58681661,-8.3709539,-0.074027585,0.18828591,113.07885,0.073211645,292.42997,0.32607961,-43.14038,-0.35649528,21.559624,121.01249,-13.60546,291.36341,2.3646357e-07,-94.681972,-0.77690651,0.00094071114,121.87048,0.0009953183,292.5508,1.1974899e-41,-106.01688,-0.86991431,10.033004,121.87048,-19.634877,292.5508,1.0763661e-62,2488.2957,257303.54,1.2460095,353.26973,1,7
0.41858651,0.14458755,4.4050771,2.8950385,11.329818,1.4775263,0.048343728,-1.9253915,-0.14287207,4.3446867,13.476332,11.428483,-4.948002,0.055709262,-0.024658474,-0.084899343,4.4088439,0.29044364,11.395716,0.15160734,0.27243034,-6.0495607,-0.23725655,4.3334768,25.497971,11.341844,23.383354,0.0007404706,0.00013413327,0.1381578,2.8950385,0.00097087006,1.4775263,0.0010338827,0.05934019,-3.8350927e-05,-0.039477294,0.29044364,0.00097146796,0.15160734,0.00098391498,0.61033546,-2.8748479,-0.28788113,13.476332,9.9862325,-4.948002,-20.087836,8.902499e-05,-16.553275,-0.13416624,4.3298911,123.37884,11.359635,294.00948,0.058214843,101.95349,0.39917971,2.8950385,255.40751,1.4775263,351.88707,1.5215113e-08,-8.4825669,-0.033344768,13.476332,254.38974,-4.948002,346.38131,0.65677226,10.286987,0.08451785,2.8950385,121.71378,1.4775263,289.26074,0.25011352,27.293752,0.23068403,13.476332,118.3166,-4.948002,297.91679,0.0018362117,5.684692,0.048453452,0.29044364,117.32274,0.15160734,294.69336,0.5315855,42.184846,0.34385633,25.497971,122.6816,23.383354,292.89773,6.6060529e-07,-94.212757,-0.76360546,0.00095237487,123.37884,0.0010026497,294.00948,1.7885457e-39,-104.11831,-0.84389112,10.04138,123.37884,-19.53699,294.00948,1.9187738e-55,2506.6242,257390.22,1.2460212,352.95948,1,8
