SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.7348477,0.38031829,0.58327936,4.5615678,24.303039,2.8208277,0.050355722,-7.2944438,-0.44221935,0.57371523,16.49508,24.295635,-9.5185219,0.018459607,-0.058484897,-0.36569571,0.58327936,0.15992776,24.303039,0.20063017,0.060673766,-15.116216,-0.71833239,0.57371523,21.043484,24.295635,-1.6950199,1.6724925e-05,0.00026826885,0.42074794,4.5615678,0.00063759992,2.8208277,0.0010432357,0.028858946,-5.3188257e-05,-0.083419485,0.15992776,0.00063759992,0.20063017,0.0010432357,0.6791144,-5.1226378,-0.66176693,16.49508,7.7408489,-9.5185219,-16.033574,0.00012550459,415.67442,0.76770438,0.57371523,541.45115,24.295635,704.06042,1.8607912e-06,36.049985,0.31369241,4.5615678,114.92144,2.8208277,168.83876,0.11107426,-30.85632,-0.26897361,16.49508,114.71876,-9.5185219,164.86293,0.16634425,304.0065,0.55563098,4.5615678,547.13742,2.8208277,690.83521,0.0026220611,-330.10564,-0.60966837,16.49508,541.45115,-9.5185219,704.06042,0.00057295039,-262.10082,-0.4790402,0.15992776,547.13742,0.20063017,690.83521,0.011469804,-387.59571,-0.71584613,21.043484,541.45115,-1.6950199,704.06042,1.8455655e-05,146.44595,0.27046938,0.00064276013,541.45115,0.0010154202,704.06042,0.16390936,247.03447,0.45624517,7.7408489,541.45115,-16.033574,704.06042,0.014675651,2538.5504,259626.64,1.2772024,164.86293,1,daily
6.0302312,0.41355963,0.68694274,14.581286,24.428781,5.5547459,0.11131651,-15.09016,-0.56551673,0.63127787,26.683843,24.359925,-12.999674,0.0093585208,-0.09599025,-0.5178846,0.68694274,0.18535066,24.428781,0.12583956,0.039894698,-18.409086,-0.74210587,0.63127787,24.806549,24.359925,-16.376193,0.00017952698,0.00028982818,0.53856755,14.581286,0.00053814639,5.5547459,0.0010101085,0.031368281,-0.00010086708,-0.18743428,0.18535066,0.00053814639,0.12583956,0.0010101085,0.48698025,-7.4275643,-0.79355808,26.683843,9.3598245,-12.999674,-16.315028,2.9737125e-05,592.1625,0.79998494,0.63127787,740.21706,24.359925,864.44636,2.2943058e-05,83.351483,0.55586384,14.581286,149.94946,5.5547459,166.7456,0.025368088,-84.121737,-0.60684406,26.683843,138.62167,-12.999674,152.81816,0.004551952,596.22847,0.73656762,14.581286,809.46874,5.5547459,926.50898,0.0011369606,-618.86132,-0.83605384,26.683843,740.21706,-12.999674,864.44636,4.4094354e-06,-359.38407,-0.44397522,0.18535066,809.46874,0.12583956,926.50898,0.084934573,-564.6181,-0.7627737,24.806549,740.21706,-16.376193,864.44636,9.1961047e-05,488.56027,0.66002297,0.00054532738,740.21706,0.00088334443,864.44636,0.001541421,575.42328,0.77737101,9.3598245,740.21706,-16.315028,864.44636,5.5028355e-05,2208.3611,259324.23,1.2798903,152.81816,1,0
4.719314,0.3931363,0.6526642,12.004269,24.3975,5.3377411,0.10653577,-13.145455,-0.45088615,0.6174199,29.154711,24.351167,-12.748497,0.040227411,-0.12112531,-0.41021068,0.6526642,0.29527586,24.3975,0.19703504,0.090876389,-18.29201,-0.73026075,0.6174199,25.048601,24.351167,-14.755316,0.00017090619,0.00038741634,0.48699147,12.004269,0.00079553003,5.3377411,0.0011092945,0.040395546,-0.00021902859,-0.2753241,0.29527586,0.00079553003,0.19703504,0.0011092945,0.26881888,-7.7548241,-0.81700503,29.154711,9.4917703,-12.748497,-15.690909,6.1927075e-06,586.628,0.79382296,0.6174199,738.99097,24.351167,824.58029,1.7452732e-05,84.812577,0.62109861,12.004269,136.55251,5.3377411,170.66036,0.0059411056,-79.62083,-0.62006665,29.154711,128.40689,-12.748497,161.17812,0.0027132068,503.94127,0.63970151,12.004269,787.77564,5.3377411,877.63271,0.0042507173,-452.89061,-0.61284999,29.154711,738.99097,-12.748497,824.58029,0.003139156,-282.90793,-0.35912247,0.29527586,787.77564,0.19703504,877.63271,0.14330495,-567.93959,-0.76853387,25.048601,738.99097,-14.755316,824.58029,4.7070809e-05,244.22784,0.33048826,0.00077880021,738.99097,0.0010049928,824.58029,0.143403,470.58572,0.63679495,9.4917703,738.99097,-15.690909,824.58029,0.0019084169,2512.482,260049.43,1.275976,161.17812,1,1
5.472522,0.43935997,0.65322987,12.455668,24.398833,4.8389033,0.068107958,-12.453877,-0.43256247,0.62107701,28.790933,24.379375,-12.376323,0.056796007,-0.14104738,-0.36442877,0.65322987,0.38703688,24.398833,0.27412733,0.13705941,-16.2916,-0.68738617,0.62107701,23.700798,24.379375,-16.78415,0.00081156621,0.00035637527,0.43990066,12.455668,0.0008101267,4.8389033,0.0011116838,0.067730174,-0.00016207455,-0.20006075,0.38703688,0.0008101267,0.27412733,0.0011116838,0.42606295,-7.6811919,-0.80609673,28.790933,9.5288711,-12.376323,-15.469322,1.7772787e-05,908.20769,0.68279893,0.62107701,1330.1247,24.379375,1013.8004,0.00090787892,77.311598,0.58897405,12.455668,131.26486,4.8389033,166.93102,0.01011737,-64.994346,-0.51512496,28.790933,126.172,-12.376323,159.65709,0.020107287,414.21054,0.29772968,12.455668,1391.2303,4.8389033,1076.6684,0.23016792,-356.46052,-0.26799031,28.790933,1330.1247,-12.376323,1013.8004,0.2533005,-404.40531,-0.2906818,0.38703688,1391.2303,0.27412733,1076.6684,0.24191824,-767.56413,-0.5770618,23.700798,1330.1247,-16.78415,1013.8004,0.0077230637,236.20387,0.17758025,0.00079916571,1330.1247,0.0010380256,1013.8004,0.45385039,463.27043,0.34829098,9.5288711,1330.1247,-15.469322,1013.8004,0.13235146,2595.0639,260354.8,1.2740549,159.65709,1,2
4.3584102,0.35195884,0.63643023,12.383295,24.351275,5.4753641,0.1280502,-13.125549,-0.481489,0.60717149,27.26033,24.337841,-11.4007,0.023278073,-0.20411969,-0.48776676,0.63643023,0.41847807,24.351275,0.34015754,0.029132999,-15.775469,-0.69283246,0.6118344,22.769529,24.361333,-14.831665,0.0004987462,0.00031856787,0.42416252,12.383295,0.00075105142,5.4753641,0.0011298725,0.062336535,-5.9733144e-05,-0.079532695,0.41847807,0.00075105142,0.34015754,0.0011298725,0.7389022,-6.169724,-0.67574051,27.26033,9.1303154,-11.4007,-15.311411,0.0005572992,730.48414,0.79911898,0.60717149,914.11187,24.337841,882.43531,8.1806879e-06,73.974425,0.55771746,12.383295,132.63781,5.4753641,164.90858,0.010615034,-63.645124,-0.49662535,27.26033,128.15521,-11.4007,157.95683,0.018717729,397.64208,0.41917294,12.383295,948.63491,5.4753641,927.60691,0.065815373,-416.75747,-0.45591517,27.26033,914.11187,-11.4007,882.43531,0.032965895,-263.13676,-0.27738465,0.41847807,948.63491,0.34015754,927.60691,0.23639764,-653.30263,-0.69933747,22.769529,934.17364,-14.831665,896.69957,0.00041878442,161.5132,0.17668865,0.0007468253,914.11187,0.001062725,882.43531,0.43152405,339.57107,0.37147649,9.1303154,914.11187,-15.311411,882.43531,0.088717058,2656.8125,260463.32,1.2746621,157.95683,1,3
3.9114453,0.41619621,0.65396466,9.3980801,24.356658,3.4686589,0.076323489,-9.2441906,-0.38711055,0.6075735,23.879976,24.338636,-12.659512,0.075098097,-0.1148489,-0.37634458,0.65396466,0.30516953,24.356658,0.18611021,0.11226059,-14.461365,-0.68287753,0.61211371,21.177098,24.362286,-13.258074,0.00064622929,0.00027092366,0.38269223,9.3980801,0.00070794136,3.4686589,0.0011796388,0.10585096,-0.00016794929,-0.23723616,0.30516953,0.00070794136,0.18611021,0.0011796388,0.32810314,-6.2255878,-0.67701913,23.879976,9.1955863,-12.659512,-15.274841,0.00053895694,620.32605,0.76153502,0.6075735,814.57324,24.338636,830.06998,3.8380154e-05,67.450167,0.47859155,9.3980801,140.93472,3.4686589,185.40504,0.038180814,-59.932035,-0.4326464,23.879976,138.52429,-12.659512,167.67771,0.04431626,461.40405,0.5505113,9.3980801,838.1373,3.4686589,820.45831,0.014587412,-338.46647,-0.41551386,23.879976,814.57324,-12.659512,830.06998,0.054460302,-255.13017,-0.3044014,0.30516953,838.1373,0.18611021,820.45831,0.20511708,-597.44345,-0.71737192,21.177098,832.82246,-13.258074,841.6783,0.00025178538,123.72791,0.15189292,0.00072091122,814.57324,0.0010640035,830.06998,0.49981151,253.46818,0.31116684,9.1955863,814.57324,-15.274841,830.06998,0.15866135,2660.0088,260441.81,1.2746819,167.67771,1,4
2.9236853,0.36220711,0.65420098,8.0718607,24.357763,2.6231226,0.12752561,-4.4421511,-0.22441369,0.62265102,19.794475,24.342786,-13.628753,0.3280888,-0.091226092,-0.33189787,0.65420098,0.27486194,24.357763,0.12144977,0.16507029,-15.375616,-0.75448141,0.62781913,20.379052,24.3679,-11.766301,0.0001211997,0.00018147298,0.2759281,8.0718607,0.00065768212,2.6231226,0.0011502967,0.25284656,-6.1045419e-05,-0.092819034,0.27486194,0.00065768212,0.12144977,0.0011502967,0.70547572,-4.7231647,-0.55206406,19.794475,8.5554648,-13.628753,-14.866588,0.009464279,468.62783,0.80523984,0.58350079,581.97298,24.287475,668.83168,1.8430357e-05,65.30423,0.37724294,8.0718607,173.10922,2.6231226,207.77494,0.11133699,-44.2401,-0.2600664,19.794475,170.11079,-13.628753,193.90104,0.25490135,462.55208,0.75689602,8.2818973,611.11708,2.7637336,690.55849,0.00027656521,-348.11123,-0.59815704,20.087261,581.97298,-14.26489,668.83168,0.0053385187,-147.69777,-0.2416849,0.28120686,611.11708,0.12819698,690.55849,0.33394632,-443.6854,-0.74225704,19.809153,597.75169,-10.290564,671.92284,0.00027366009,187.1084,0.32150702,0.00068585444,581.97298,0.001076616,668.83168,0.16688889,319.04226,0.54820802,8.7776668,581.97298,-14.873193,668.83168,0.012328736,2691.5401,260871.95,1.2700771,200.67436,1,5
3.2341935,0.34343218,0.65972791,9.4172699,24.38875,2.5408769,0.16291703,-5.6628339,-0.24979255,0.62283171,22.670147,24.343595,-15.662435,0.27482101,-0.076045678,-0.27942703,0.65972791,0.27214861,24.38875,0.12048564,0.26145797,-16.113891,-0.78848401,0.62788323,20.436548,24.36885,-12.178479,3.6268069e-05,0.00013076998,0.19564455,9.4172699,0.00066840597,2.5408769,0.0011753754,0.43655517,-6.2759902e-05,-0.093894886,0.27214861,0.00066840597,0.12048564,0.0011753754,0.71094758,-5.2849571,-0.62425418,22.670147,8.466034,-15.662435,-15.096217,0.0024890519,698.33123,0.71119436,0.62283171,981.91334,24.343595,826.39946,0.00030098132,72.564552,0.37901761,9.4172699,191.4543,2.5408769,219.26383,0.12087043,-45.97192,-0.25143279,22.670147,182.8398,-15.662435,203.21111,0.27157717,362.17718,0.34422449,9.4172699,1052.154,2.5408769,886.80369,0.16188511,-205.20485,-0.20898469,22.670147,981.91334,-15.662435,826.39946,0.36327505,-177.47445,-0.16867725,0.27214861,1052.154,0.12048564,886.80369,0.50344423,-634.94618,-0.63098063,20.436548,1006.2847,-12.178479,836.57709,0.0028525075,195.7047,0.19930954,0.00067507958,981.91334,0.0010664009,826.39946,0.38640141,321.89859,0.3278279,8.466034,981.91334,-15.096217,826.39946,0.14684825,2666.0023,260649.67,1.2702763,203.21111,1,6
2.0341033,0.35937359,0.65958681,5.6601359,24.389639,2.2135144,0.14300503,-5.7480431,-0.24368418,0.62279516,23.588085,24.344238,-15.035117,0.28711408,-0.0708714,-0.25536873,0.65958681,0.27752575,24.389639,0.11025035,0.30642969,-15.169832,-0.69344061,0.62779419,21.87618,24.36955,-11.796225,0.00069778771,0.00023657433,0.32600386,5.6601359,0.00072567954,2.2135144,0.0012101846,0.1867559,-8.4827728e-05,-0.1168942,0.27752575,0.00072567954,0.11025035,0.0012101846,0.64413501,-3.7408555,-0.43538296,23.588085,8.5921035,-15.035117,-14.931167,0.04853082,447.65891,0.75906858,0.62279516,589.74765,24.344238,693.95695,6.6158033e-05,82.393125,0.41873328,5.6601359,196.76756,2.2135144,214.41592,0.083717957,-58.062085,-0.30879749,23.588085,188.02641,-15.035117,203.71219,0.1731976,373.32228,0.59265534,5.6601359,629.91466,2.2135144,734.82556,0.0095445415,-286.80681,-0.48632124,23.588085,589.74765,-15.035117,693.95695,0.025389408,-113.56606,-0.18028802,0.27752575,629.91466,0.11025035,734.82556,0.4740632,-460.9778,-0.76205512,21.87618,604.91398,-11.796225,696.86348,9.4228035e-05,195.86543,0.33211736,0.00072739454,589.74765,0.0010969442,693.95695,0.1413216,302.04663,0.5121625,8.5921035,589.74765,-14.931167,693.95695,0.017613455,2742.3605,260805.34,1.2700192,203.71219,1,7
1.7675375,0.35354483,0.6595629,4.999472,24.390389,2.1871117,0.1500793,-6.4999647,-0.29721167,0.62285618,21.869816,24.344738,-13.341848,0.19073843,-0.080153297,-0.30794076,0.6595629,0.26028804,24.390389,0.1579131,0.21380462,-15.350773,-0.68678336,0.62772382,22.351697,24.3702,-11.099102,0.00082370676,0.00030707422,0.4312899,4.999472,0.00071199028,2.1871117,0.0012035379,0.073934015,-0.00023155513,-0.32522232,0.26028804,0.00071199028,0.1579131,0.0012035379,0.1878765,-4.9077333,-0.58538476,21.869816,8.3837737,-13.341848,-14.782679,0.0053053045,416.18411,0.77155051,0.62285618,539.41266,24.344738,674.9398,4.2091811e-05,81.612443,0.41939687,4.999472,194.59478,2.1871117,209.54481,0.083178416,-87.853961,-0.46764675,21.869816,187.86394,-13.341848,202.63692,0.032540951,359.99206,0.62673845,4.999472,574.38962,2.1871117,715.68027,0.0053794162,-292.10711,-0.5415281,21.869816,539.41266,-13.341848,674.9398,0.011231209,-157.35012,-0.27394319,0.26028804,574.38962,0.1579131,715.68027,0.2713249,-438.07944,-0.79157805,22.351697,553.42546,-11.099102,675.05283,3.2153132e-05,223.2211,0.41382251,0.00070918034,539.41266,0.001097413,674.9398,0.062201406,310.59773,0.57580728,8.3837737,539.41266,-14.782679,674.9398,0.0063041365,2743.5324,260943.54,1.2699178,202.63692,1,8
