SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-1.1348728,-0.27151948,0.67019976,4.1797103,9.8859767,4.2703544,0.0084714306,0.96331442,0.07729739,0.67019976,12.462444,9.8859767,2.4602491,0.46145678,-0.071169758,-0.43979406,0.67019976,0.16182519,9.8859767,0.23613305,1.0298377e-05,7.4587226,0.42914826,0.67019976,17.380293,9.8859767,12.965382,1.7690787e-05,0.00024983079,0.27925683,4.1797103,0.0008946273,4.2703544,0.0012680909,0.0067123827,0.00051257044,0.57294299,0.16182519,0.0008946273,0.23613305,0.0012680909,1.9569141e-09,-1.1488245,-0.12681675,12.462444,9.0589336,2.4602491,-17.084921,0.22576753,82.402652,0.64552462,0.67019976,127.65222,9.8859767,197.82074,2.8380306e-12,99.395997,0.58662484,4.1797103,169.43707,4.2703544,325.2419,6.4508899e-10,-52.114026,-0.30757157,12.462444,169.43707,2.4602491,325.2419,0.0027081934,-29.273641,-0.2293234,4.1797103,127.65222,4.2703544,197.82074,0.027024682,15.69711,0.12296778,12.462444,127.65222,2.4602491,197.82074,0.24028183,-71.553264,-0.56053285,0.16182519,127.65222,0.23613305,197.82074,5.1289537e-09,78.181122,0.61245406,17.380293,127.65222,12.965382,197.82074,6.8559312e-11,-111.59485,-0.87421001,0.0008946273,127.65222,0.0012680909,197.82074,2.6626152e-30,-123.54377,-0.96781524,9.0589336,127.65222,-17.084921,197.82074,2.5673985e-56,3170.2272,262275.04,1.203056,325.2419,1,daily
-0.29176888,-0.088248089,0.70437423,3.3062346,9.9193548,1.2425262,0.40025464,-2.7063643,-0.18822959,0.70437423,14.377996,9.9193548,-7.4254461,0.070784478,-0.091895679,-0.28211115,0.70437423,0.32574281,9.9193548,0.20163644,0.0061500961,0.70306566,0.04079212,0.70437423,17.23533,9.9193548,-7.0762849,0.69784865,4.1435433e-05,0.044215354,3.3062346,0.00093712771,1.2425262,0.0012221782,0.67387452,0.00023964528,0.25572318,0.32574281,0.00093712771,0.20163644,0.0012221782,0.01335963,1.776592,0.18055415,14.377996,9.8396632,-7.4254461,-17.842468,0.083288465,83.713877,0.59103812,0.70437423,141.63871,9.9193548,192.02969,4.460022e-10,81.548893,0.37738587,3.3062346,216.08888,1.2425262,283.27144,0.00019221475,-53.927791,-0.249563,14.377996,216.08888,-7.4254461,283.27144,0.015845614,-6.9484397,-0.049057491,3.3062346,141.63871,1.2425262,192.02969,0.64051692,-32.128497,-0.22683416,14.377996,141.63871,-7.4254461,192.02969,0.028778317,-32.815538,-0.23168481,0.32574281,141.63871,0.20163644,192.02969,0.025445785,2.2609394,0.015962722,17.23533,141.63871,-7.0762849,192.02969,0.87929216,-119.88096,-0.84638559,0.00093712771,141.63871,0.0012221782,192.02969,1.2363781e-26,-134.65605,-0.95070092,9.8396632,141.63871,-17.842468,192.02969,4.6830484e-48,3055.4455,261511.34,1.2086512,283.27144,1,0
-0.41206015,-0.12001568,0.71204819,3.433386,9.9193548,1.2431031,0.25184345,-1.708774,-0.11234307,0.71204819,15.210319,9.9193548,-8.3788512,0.28365577,-0.026120215,-0.08412077,0.71204819,0.31050851,9.9193548,0.17898173,0.42273694,1.3037622,0.071996825,0.71204819,18.108607,9.9193548,-7.3963441,0.49283126,0.00010829382,0.11470711,3.433386,0.00094408982,1.2431031,0.0012193894,0.27358111,0.00012506477,0.13247126,0.31050851,0.00094408982,0.17898173,0.0012193894,0.20557911,0.75981558,0.076704126,15.210319,9.9057979,-8.3788512,-17.931183,0.46491289,85.584345,0.60411349,0.71204819,141.66932,9.9193548,191.77056,1.4453961e-10,57.873044,0.2767714,3.433386,209.10052,1.2431031,283.60033,0.0072385229,-63.66432,-0.30446753,15.210319,209.10052,-8.3788512,283.60033,0.0030047061,-17.764809,-0.1253963,3.433386,141.66932,1.2431031,191.77056,0.23105058,-19.654511,-0.13873513,15.210319,141.66932,-8.3788512,191.77056,0.18475961,-26.913525,-0.18997427,0.31050851,141.66932,0.17898173,191.77056,0.068164831,7.2350923,0.051070284,18.108607,141.66932,-7.3963441,191.77056,0.62685341,-119.71779,-0.84505096,0.00094408982,141.66932,0.0012193894,191.77056,1.7761021e-26,-135.21546,-0.95444422,9.9057979,141.66932,-17.931183,191.77056,1.4005829e-49,3048.4734,261434.08,1.2085875,283.60033,1,1
-0.33793875,-0.091338347,0.73834308,3.6998562,9.9347826,1.1532186,0.38653394,-2.395294,-0.15806991,0.74068944,15.153384,9.9247312,-9.5551813,0.13020718,-0.063116537,-0.19943515,0.73834308,0.3164765,9.9347826,0.17325306,0.056656136,1.4969651,0.083982554,0.74068944,17.824715,9.9247312,-7.5066667,0.4235022,8.4981924e-05,0.09285852,3.6998562,0.00091517638,1.1532186,0.0011908203,0.37864586,0.00016137735,0.1763347,0.3164765,0.00091517638,0.17325306,0.0011908203,0.092681201,2.1527434,0.21622469,15.153384,9.9560477,-9.5551813,-18.023113,0.037370999,87.961533,0.62529945,0.74068944,140.67105,9.9247312,188.90917,2.0808782e-11,66.07835,0.32179022,3.6998562,205.34604,1.1532186,287.33902,0.0017603337,-33.792995,-0.16428672,15.153384,205.69524,-9.5551813,284.79506,0.11557797,-9.4428923,-0.067433104,3.6998562,140.03348,1.1532186,190.96253,0.52303127,-28.684731,-0.20391353,15.153384,140.67105,-9.5551813,188.90917,0.049934299,-31.804769,-0.2271226,0.3164765,140.03348,0.17325306,190.96253,0.02946293,6.3427595,0.045089301,17.824715,140.67105,-7.5066667,188.90917,0.66780464,-119.95106,-0.85270609,0.00094023042,140.67105,0.0012152689,188.90917,2.1198093e-27,-135.34302,-0.96212414,9.9560477,140.67105,-18.023113,188.90917,3.7339607e-53,3038.1721,261344.17,1.2086067,284.79506,1,2
0.10355013,0.029958376,0.74804651,3.4564668,9.9402174,0.78413811,0.77680475,-2.1194047,-0.13953185,0.75033108,15.189398,9.9301075,-9.3978466,0.18222572,-0.049038333,-0.13247765,0.74804651,0.37016305,9.9402174,0.20040038,0.20807936,2.0035417,0.12345935,0.75033108,16.228352,9.9301075,-6.9853226,0.23839297,7.4121873e-05,0.08257157,3.4564668,0.00089766821,0.78413811,0.0011876703,0.43391637,0.00018140413,0.20208371,0.37016305,0.00089766821,0.20040038,0.0011876703,0.053384452,2.372832,0.23962845,15.189398,9.9021299,-9.3978466,-18.019355,0.02069768,95.496346,0.67233089,0.75033108,142.03772,9.9301075,187.59116,1.5908448e-13,69.962298,0.35003535,3.4564668,199.8721,0.78413811,284.09034,0.00062529395,-41.304074,-0.2069584,15.189398,199.5767,-9.3978466,282.24634,0.046541708,-4.9993553,-0.035345919,3.4564668,141.44081,0.78413811,189.6302,0.73800583,-37.632688,-0.26494855,15.189398,142.03772,-9.3978466,187.59116,0.010271385,-33.700135,-0.23826317,0.37016305,141.44081,0.20040038,189.6302,0.022187776,5.7859568,0.040735355,16.228352,142.03772,-6.9853226,187.59116,0.69824879,-121.42013,-0.85484424,0.00092180339,142.03772,0.0012114687,187.59116,1.1457327e-27,-137.38623,-0.96725173,9.9021299,142.03772,-18.019355,187.59116,5.5855534e-56,3028.6718,261340.04,1.2089169,282.24634,1,3
-0.51479936,-0.086975274,0.74066495,5.9189162,9.9402174,1.7344118,0.40971509,-2.4018624,-0.14918179,0.7430526,16.100238,9.9301075,-8.9053311,0.15352237,-0.067447372,-0.22936117,0.74066495,0.29406621,9.9402174,0.1543982,0.027857758,2.6269225,0.13383437,0.7430526,19.628161,9.9301075,-7.8529032,0.20091166,8.0420736e-05,0.091865536,5.9189162,0.00087541792,1.7344118,0.0011680834,0.38378729,0.00024096959,0.27526235,0.29406621,0.00087541792,0.1543982,0.0011680834,0.0079159193,2.1828821,0.22228087,16.100238,9.8203777,-8.9053311,-18.132258,0.032235722,95.466302,0.66417742,0.7430526,143.73615,9.9301075,192.50479,3.9427015e-13,37.298476,0.18958313,5.9189162,196.73943,1.7344118,284.9137,0.070294635,-34.600538,-0.17640902,16.100238,196.13815,-8.9053311,283.50523,0.090739105,-16.356395,-0.11430647,5.9189162,143.09247,1.7344118,194.59724,0.27793968,-36.321923,-0.25269861,16.100238,143.73615,-8.9053311,192.50479,0.014534298,-42.24216,-0.29520883,0.29406621,143.09247,0.1543982,194.59724,0.0042795011,-0.36223722,-0.002520154,19.628161,143.73615,-7.8529032,192.50479,0.98087269,-123.48161,-0.85908528,0.00090158621,143.73615,0.0011923647,192.50479,3.2823229e-28,-138.8378,-0.96592126,9.8203777,143.73615,-18.132258,192.50479,3.3205543e-55,2980.9119,261225.55,1.2089994,283.50523,1,4
-0.15136677,-0.051598812,0.74854533,2.9335321,9.9891304,0.7002155,0.62521189,-4.3664067,-0.25846174,0.75149843,16.893822,9.9784946,-7.5036003,0.012368124,-0.042774742,-0.12810705,0.74854533,0.33389843,9.9891304,0.196867,0.2236115,2.2319985,0.11215722,0.75149843,19.900622,9.9784946,-7.3122043,0.28445814,0.00011389118,0.13072839,2.9335321,0.0008712046,0.7002155,0.0011440619,0.21420085,0.00015623213,0.17932886,0.33389843,0.0008712046,0.196867,0.0011440619,0.08718463,2.7571053,0.28199059,16.893822,9.7772953,-7.5036003,-18.368269,0.0061729743,94.952005,0.66570608,0.75149843,142.63352,9.9784946,193.93235,3.3329549e-13,53.161515,0.26744643,2.9335321,198.77444,0.7002155,288.38631,0.0099571795,-12.909945,-0.06521534,16.893822,197.95872,-7.5036003,287.31948,0.53455373,-17.202956,-0.12118935,2.9335321,141.95105,0.7002155,196.04031,0.24983037,-40.517958,-0.28407037,16.893822,142.63352,-7.5036003,193.93235,0.005788683,-29.535774,-0.20807014,0.33389843,141.95105,0.196867,196.04031,0.046558829,5.0825836,0.035633864,19.900622,142.63352,-7.3122043,193.93235,0.73453393,-122.20501,-0.85677619,0.00089889334,142.63352,0.0011688756,193.93235,6.5153125e-28,-138.3973,-0.97029996,9.7772953,142.63352,-18.368269,193.93235,7.0096645e-58,2922.189,260989.11,1.2090881,287.31948,1,5
-0.4875658,-0.12144904,0.75592895,4.014571,10,1.4880923,0.24880952,-3.1722199,-0.19221042,0.75892693,16.503891,9.9892473,-7.4358658,0.064922454,-0.035999463,-0.11808742,0.75592895,0.30485433,10,0.19485056,0.26224694,2.1908017,0.11537395,0.75892693,18.988703,9.9892473,-6.7304301,0.27078334,0.00019620912,0.22527279,4.014571,0.00087098455,1.4880923,0.0011344933,0.030847731,0.0001667086,0.19140248,0.30485433,0.00087098455,0.19485056,0.0011344933,0.067593961,2.23558,0.22913526,16.503891,9.7565954,-7.4358658,-18.469349,0.027153977,95.079821,0.66664923,0.75892693,142.62346,9.9892473,192.87409,3.0033029e-13,65.916829,0.32484516,4.014571,202.91769,1.4880923,293.0189,0.0015812069,-21.730811,-0.10761698,16.503891,201.92734,-7.4358658,292.31088,0.30452883,-21.982574,-0.15485392,4.014571,141.95684,1.4880923,194.97055,0.14050714,-36.494721,-0.25588161,16.503891,142.62346,-7.4358658,192.87409,0.013300445,-37.656229,-0.26526533,0.30485433,141.95684,0.19485056,194.97055,0.010603413,7.9308313,0.055606779,18.988703,142.62346,-6.7304301,192.87409,0.59652135,-120.88314,-0.84756839,0.00090038871,142.62346,0.0011599634,192.87409,8.9428732e-27,-139.06579,-0.97505552,9.7565954,142.62346,-18.469349,192.87409,2.7743107e-61,2899.9085,260897.75,1.2086779,292.31088,1,6
-0.97282107,-0.1769408,0.76134123,5.498003,9.9945652,1.9477728,0.091547002,-2.9296319,-0.19280146,0.75719241,15.195072,9.9946237,-6.4798151,0.064086708,-0.10152347,-0.29524633,0.76134123,0.34386022,9.9945652,0.22124259,0.0042743809,1.6078998,0.095723502,0.75719241,16.797336,9.9946237,-5.8519301,0.36138074,0.00020721763,0.2276672,5.498003,0.00091017778,1.9477728,0.0011732054,0.029065394,0.00029098289,0.31969896,0.34386022,0.00091017778,0.22124259,0.0011732054,0.0018933235,2.1507581,0.21997233,15.195072,9.7774031,-6.4798151,-18.469355,0.034118349,94.997068,0.6620724,0.75719241,143.48441,9.9946237,191.40598,4.9610682e-13,85.383327,0.41955912,5.498003,203.50726,1.9477728,296.05981,3.140371e-05,-25.644523,-0.12598754,15.195072,203.54808,-6.4798151,293.81946,0.22884119,-17.879611,-0.12512433,5.498003,142.89476,1.9477728,189.35605,0.23466869,-35.38522,-0.24661369,15.195072,143.48441,-6.4798151,191.40598,0.017171175,-50.338477,-0.35227657,0.34386022,142.89476,0.22124259,189.35605,0.00057357419,9.7998399,0.068298987,16.797336,143.48441,-5.8519301,191.40598,0.51536689,-120.1758,-0.837553,0.00091096979,143.48441,0.0011626067,191.40598,1.2780414e-25,-139.4443,-0.97184288,9.7774031,143.48441,-18.469355,191.40598,6.4018894e-59,2906.5168,260900.26,1.2085119,293.81946,1,7
-0.81471215,-0.1884213,0.77691824,4.3238855,9.956044,2.3463654,0.073673627,-2.712946,-0.1982033,0.77265126,13.687693,9.9565217,-6.5781193,0.058232739,-0.061783323,-0.17739834,0.77691824,0.34827453,9.956044,0.22383172,0.092520467,1.7695306,0.10433923,0.77602125,16.959398,9.9677419,-5.9929032,0.31957952,7.512044e-05,0.082226831,4.3238855,0.00091357576,2.3463654,0.0011719414,0.43841999,0.00030280948,0.33145524,0.34827453,0.00091357576,0.22383172,0.0011719414,0.0013300805,2.2378969,0.22787009,13.687693,9.820933,-6.5781193,-18.498908,0.028918459,94.340302,0.65998175,0.77602125,142.9438,9.9677419,191.69883,6.2214031e-13,75.677937,0.36486815,4.3238855,207.41174,2.3463654,299.54063,0.00037665406,-28.337387,-0.13654995,13.687693,207.52396,-6.5781193,297.16478,0.19431401,-18.085658,-0.12664797,4.3238855,142.80259,2.3463654,190.30267,0.23159225,-38.394358,-0.26749766,13.687693,143.53156,-6.5781193,192.47168,0.0099424247,-42.275844,-0.29604396,0.34827453,142.80259,0.22383172,190.30267,0.0043829032,10.491603,0.073396696,16.959398,142.9438,-5.9929032,191.69883,0.48443767,-118.94796,-0.83213091,0.00091017715,142.9438,0.0011650523,191.69883,5.008103e-25,-139.15019,-0.97346077,9.7917159,142.9438,-18.427414,191.69883,4.492248e-60,2912.6307,260942.52,1.2082362,296.09294,1,8
