SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3041988e-06,0.0095838176,0.59834309,0.00076213876,0.075914359,0.001146391,0.9108442,0.00040294808,0.52870698,0.068032225,0.00076213876,0.085690578,0.001146391,2.2310145e-11,0.26464326,0.032223414,8.6244059,8.2127628,-6.9410186,-16.944897,0.70444703,,,,,,,,79.267685,0.42738804,0.59834309,185.47006,0.075914359,317.4744,1.5435428e-07,-75.70322,-0.40998289,8.6244059,184.64971,-6.9410186,317.18615,4.4486583e-07,6.220053,0.049799096,0.59834309,124.90293,0.075914359,313.6109,0.56044394,-59.173622,-0.46888483,8.6244059,126.20076,-6.9410186,316.24613,4.5136238e-09,-78.978442,-0.63231858,0.068032225,124.90293,0.085690578,313.6109,6.9060179e-17,-47.960568,-0.33791142,17.68549,141.93237,-11.32758,310.79754,3.4000785e-07,-87.533203,-0.61672475,0.00083398484,141.93237,0.0012108339,310.79754,3.9601366e-24,-85.847648,-0.60484899,8.5829851,141.93237,-16.350921,310.79754,4.8570484e-23,3027.0848,261732.09,1.2248619,,1,daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00010360348,0.1354831,1.4519059,0.00076469667,0.12251062,0.0010630076,0.12579852,5.4742127e-05,0.071586722,0.19672793,0.00076469667,0.086197762,0.0010630076,0.42013332,0.58520219,0.068142067,11.796118,8.5879724,-6.4134375,-18.046755,0.43577879,,,,,,,,66.582763,0.31664674,1.4519059,210.27459,0.12251062,263.48186,0.00025623419,-89.632746,-0.42140352,11.796118,212.70052,-6.4134375,262.85806,4.3890997e-07,9.6051962,0.075781278,1.4519059,126.74893,0.12251062,284.66593,0.39334855,-52.125854,-0.40760751,11.796118,127.88247,-6.4134375,289.09658,1.1184382e-06,-20.526454,-0.16194577,0.19672793,126.74893,0.086197762,284.66593,0.066717792,-45.212191,-0.32258083,21.848632,140.15771,-13.668396,280.63453,1.2046125e-06,-95.220086,-0.67937814,0.00087114736,140.15771,0.0011221971,280.63453,9.9660722e-31,-96.872548,-0.69116816,9.5213919,140.15771,-17.746168,280.63453,3.7040212e-32,2805.4928,260298.88,1.2326578,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2726204e-05,0.095149964,1.0735944,0.00076433244,0.019058136,0.0010263147,0.27780799,0.00013442333,0.17587024,0.15857564,0.00076433244,0.080895684,0.0010263147,0.043682199,0.5218612,0.058379718,12.032916,8.939084,-6.3847287,-18.709211,0.49960548,,,,,,,,50.438134,0.24744111,1.0735944,203.83894,0.019058136,257.53529,0.0042302126,-84.56514,-0.41117238,12.032916,205.66834,-6.3847287,256.994,6.6088946e-07,10.650251,0.083846287,1.0735944,127.02115,0.019058136,284.44192,0.33915177,-41.6872,-0.3258241,12.032916,127.94388,-6.3847287,288.54989,0.00010846487,-33.531247,-0.26398161,0.15857564,127.02115,0.080895684,284.44192,0.0022243666,-42.049032,-0.30037302,21.827278,139.98938,-13.911703,278.55612,6.6796183e-06,-97.370012,-0.69555286,0.0008674573,139.98938,0.0011065853,278.55612,1.0453782e-32,-99.196389,-0.7085994,9.6499255,139.98938,-18.019988,278.55612,2.1105787e-34,2766.4633,260028.77,1.2335901,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3376362e-05,0.09702299,1.4914471,0.00075627809,0.089447801,0.0010132224,0.26657475,9.0050291e-05,0.11907034,0.18535665,0.00075627809,0.092282839,0.0010132224,0.17222609,0.33877588,0.037008353,12.154371,9.1540381,-6.2865172,-18.987084,0.66766866,,,,,,,,53.4655,0.27551629,1.4914471,194.05567,0.089447801,253.13832,0.0013283901,-91.234413,-0.46558211,12.154371,195.95773,-6.2865172,251.96817,9.8817299e-09,21.048668,0.16325038,1.4914471,128.93488,0.089447801,283.95487,0.060444154,-44.835856,-0.3425898,12.154371,130.8733,-6.2865172,289.03342,4.1694669e-05,-24.744526,-0.19191492,0.18535665,128.93488,0.092282839,283.95487,0.026898194,-43.801409,-0.30249324,22.257874,144.80128,-13.480323,279.40006,5.70576e-06,-97.378794,-0.67249952,0.00085649875,144.80128,0.001098616,279.40006,6.3425109e-30,-99.078561,-0.68423814,9.7626819,144.80128,-18.132003,279.40006,2.6139937e-31,2746.5399,259918.9,1.2340644,,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7314375e-05,-0.036035018,1.1903671,0.00075799531,0.031269226,0.001009366,0.68049547,8.0575629e-05,0.10630096,0.12306367,0.00075799531,0.073691096,0.001009366,0.22329834,0.018545121,0.0020165477,12.908295,9.1964704,-6.348998,-19.057881,0.9813417,,,,,,,,15.934351,0.082668116,1.1903671,192.75086,0.031269226,254.36296,0.34415042,-82.994966,-0.4282416,12.908295,193.80407,-6.348998,252.78825,1.7869318e-07,4.3014285,0.034918142,1.1903671,123.18606,0.031269226,285.43783,0.68988128,-38.106415,-0.30577104,12.908295,124.62402,-6.348998,290.10608,0.00027950432,-25.468206,-0.20674584,0.12306367,123.18606,0.073691096,285.43783,0.016956056,-40.223378,-0.2821496,22.070495,142.56046,-13.173055,280.02304,2.4610568e-05,-97.029798,-0.68062208,0.00085128827,142.56046,0.0010919049,280.02304,7.0929769e-31,-99.167046,-0.69561395,9.8207868,142.56046,-18.229011,280.02304,1.0269487e-32,2729.7623,259816.17,1.2346363,,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.9665967e-05,-0.12943469,0.88194473,0.00077000973,-0.045019762,0.0010357734,0.13909301,8.414748e-05,0.10928106,0.16977363,0.00077000973,0.077234738,0.0010357734,0.21227231,0.34097618,0.037637616,11.455666,9.0594521,-6.3845442,-18.687746,0.66354134,,,,,,,,-21.773924,-0.11287108,0.88194473,192.90968,-0.045019762,257.7906,0.19754486,-77.933367,-0.4027506,11.455666,193.5028,-6.3845442,255.82206,1.1681186e-06,-4.5831662,-0.038894851,0.88194473,117.83478,-0.045019762,281.90388,0.65792113,-38.673931,-0.32284693,11.455666,119.7903,-6.3845442,286.76774,0.00012636869,-26.797015,-0.22741176,0.16977363,117.83478,0.077234738,281.90388,0.0087322024,-42.534128,-0.29960838,21.42499,141.96575,-12.641638,280.47016,7.0680816e-06,-98.375206,-0.69295028,0.00084966405,141.96575,0.0010947484,280.47016,2.2210611e-32,-101.02384,-0.71160717,9.8670582,141.96575,-18.213823,280.47016,8.3236886e-35,2736.8709,259835.99,1.234425,,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00011283892,-0.14816796,1.2961299,0.0007615609,-0.058340762,0.0010186115,0.091230526,0.00014371612,0.18871257,0.20986952,0.0007615609,0.097392727,0.0010186115,0.030877498,0.37009837,0.040625974,12.508871,9.1098953,-6.9851389,-18.960283,0.6399026,,,,,,,,6.9880261,0.03629489,1.2961299,192.53471,-0.058340762,260.69058,0.68065589,-90.07307,-0.46742949,12.508871,192.69873,-6.9851389,258.57266,1.0933967e-08,1.7316759,0.014845874,1.2961299,116.64358,-0.058340762,278.22413,0.86634764,-42.067755,-0.35389662,12.508871,118.87018,-6.9851389,283.11846,2.5450543e-05,-31.839668,-0.27296545,0.20986952,116.64358,0.097392727,278.22413,0.0016081881,-43.118587,-0.30579017,22.204479,141.00711,-13.003025,278.77731,4.4547343e-06,-97.999799,-0.69499901,0.00085010798,141.00711,0.0010749245,278.77731,1.2280475e-32,-101.20589,-0.71773612,10.050556,141.00711,-18.583561,278.77731,1.2040679e-35,2687.3113,259463.33,1.2350207,,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00016336333,-0.21623015,0.97738258,0.0007555067,0.024956004,0.0010195797,0.01242648,0.00011544008,0.15279822,0.17404112,0.0007555067,0.089066941,0.0010195797,0.079114525,0.36707571,0.041197687,12.803287,8.9101048,-6.2728661,-18.757728,0.633924,,,,,,,,-18.706823,-0.095878567,0.97738258,195.10954,0.024956004,261.88415,0.2722833,-80.762982,-0.41369931,12.803287,195.22146,-6.2728661,260.56274,5.5537042e-07,0.1162066,0.00097012644,0.97738258,119.785,0.024956004,278.08907,0.99115768,-41.605305,-0.34366652,12.803287,121.06301,-6.2728661,281.54261,4.1981915e-05,-24.826001,-0.20725467,0.17404112,119.785,0.089066941,278.08907,0.01668091,-45.161255,-0.3243569,22.578999,139.23322,-13.332147,275.62595,1.044067e-06,-96.766198,-0.69499363,0.00086552894,139.23322,0.0010896825,275.62595,1.2299692e-32,-101.32479,-0.7277343,9.8476269,139.23322,-18.335082,275.62595,4.5919401e-37,2724.2063,259718.5,1.2341366,,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00016312405,-0.21313129,0.95786985,0.00076536885,0.0098258897,0.0010420988,0.014518534,9.1561308e-05,0.1196303,0.15841521,0.00076536885,0.07109679,0.0010420988,0.1735132,0.011790364,0.0013319848,12.825232,8.8517254,-6.2975921,-18.425979,0.98781327,,,,,,,,16.009304,0.079030028,0.95786985,202.57242,0.0098258897,268.36461,0.36957207,-92.237306,-0.45625403,12.825232,202.16217,-6.2975921,266.82807,3.0188924e-08,32.390834,0.26166642,0.95786985,123.78674,0.0098258897,280.34347,0.002536206,-50.770768,-0.40521847,12.825232,125.29234,-6.2975921,284.16712,1.1930174e-06,-16.454309,-0.13292464,0.15841521,123.78674,0.07109679,280.34347,0.13014368,-47.620188,-0.33687642,22.190694,141.35803,-12.56018,278.66995,3.711277e-07,-97.097709,-0.68689206,0.00087520549,141.35803,0.0011003588,278.66995,1.2448359e-31,-102.18569,-0.72288563,9.8888207,141.35803,-18.214822,278.66995,2.2790413e-36,2750.8971,259842.64,1.23343,,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00020733011,-0.26462406,0.92317467,0.00078348923,-0.036828573,0.0010736131,0.0021677248,0.00014883607,0.18996568,0.15850077,0.00078348923,0.069340889,0.0010736131,0.029132605,0.1447694,0.01640216,13.123561,8.8262398,-7.1025437,-17.990284,0.8502367,,,,,,,,13.333567,0.062701766,0.92317467,212.65058,-0.036828573,275.23718,0.47507885,-104.92172,-0.49562755,13.123561,211.69468,-7.1025437,273.54804,9.8489102e-10,27.634237,0.221585,0.92317467,124.71168,-0.036828573,284.42889,0.010666813,-50.423958,-0.39827424,13.123561,126.60612,-7.1025437,288.50408,1.7189021e-06,-33.914599,-0.27194405,0.15850077,124.71168,0.069340889,284.42889,0.0016085622,-47.211348,-0.33103423,22.387177,142.61772,-11.948702,281.35954,6.0482317e-07,-98.478522,-0.6905069,0.00086827756,142.61772,0.0011123428,281.35954,4.4738386e-32,-102.70226,-0.72012271,9.8321401,142.61772,-18.004874,281.35954,5.5928471e-36,2780.8571,260052.05,1.2327331,,1,8
