SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.2602549,0.27895005,1.7774538,4.5178515,11.278924,5.6566227,4.476575e-07,-4.7951315,-0.3181086,1.7774538,15.073882,11.278924,-1.6028591,6.9327243e-09,0.030879477,0.20633581,1.7774538,0.14965641,11.278924,0.16819552,0.00021638699,-1.1694568,-0.07363833,2.2804639,15.881088,11.733734,2.7683475,0.12602595,0.00017932759,0.14468757,4.4002819,0.0012394125,5.3453346,0.002481717,0.0058178616,9.7894326e-05,0.078984457,0.14531866,0.0012394125,0.16117058,0.002481717,0.13363292,-2.8531308,-0.5025915,14.831305,5.6768386,-2.2851289,-4.4965417,1.4405742e-24,-51.84166,-0.29441405,2.2804639,176.08419,11.733734,359.96921,4.1666223e-10,121.86648,0.38473569,4.4002819,316.75378,5.3453346,657.48407,3.2271793e-14,-4.4355118,-0.014003027,14.831305,316.75378,-2.2851289,657.48407,0.79061096,31.553523,0.18312473,4.4002819,172.30619,5.3453346,366.28992,0.00046213944,54.551137,0.31659418,14.831305,172.30619,-2.2851289,366.28992,7.1831983e-10,-36.666573,-0.21279893,0.14531866,172.30619,0.16117058,366.28992,4.4723512e-05,25.177738,0.14359102,15.478331,175.3434,2.2157457,357.2264,0.0016283808,-83.97317,-0.47890694,0.0012520264,175.3434,0.0025317679,357.2264,7.841445e-29,-57.041236,-0.32531157,5.8837016,175.3434,-4.3746029,357.2264,2.8626757e-13,6329.4197,270774.39,1.2174464,640.0354,1,daily
0.84467141,0.15808302,1.8387256,5.3432141,11.343931,2.6129086,0.0050593296,1.5951217,0.075344478,1.8387256,21.17105,11.343931,-25.894803,0.18367081,0.030430002,0.12632104,1.8387256,0.24089418,11.343931,0.084543679,0.025426185,2.4532941,0.10350362,2.4134028,23.702496,11.863515,-28.857962,0.031688053,0.00014455329,0.10295802,5.2192133,0.0014040023,2.5548071,0.0024915104,0.051276878,7.4299597e-05,0.052919854,0.24159905,0.0014040023,0.08531938,0.0024915104,0.31736276,-0.40194316,-0.061457698,20.834926,6.5401597,-25.334523,-5.035773,0.24544092,-42.910218,-0.20268173,2.4134028,211.71231,11.863515,298.03828,2.2387323e-05,176.75009,0.4696991,5.2192133,376.30494,2.5548071,600.36055,4.2347182e-21,-112.23432,-0.29825366,20.834926,376.30494,-25.334523,600.36055,8.2592469e-09,69.820313,0.33616186,5.2192133,207.6985,2.5548071,309.4187,6.218314e-11,-57.678744,-0.2777042,20.834926,207.6985,-25.334523,309.4187,8.8458183e-08,-56.90429,-0.27397545,0.24159905,207.6985,0.08531938,309.4187,1.333025e-07,-77.323082,-0.36933186,22.837733,209.35936,-29.187196,296.68702,6.2996261e-17,-81.372681,-0.38867467,0.0014203404,209.35936,0.0025507295,296.68702,1.009487e-18,-35.189865,-0.16808355,6.7322355,209.35936,-4.8914593,296.68702,0.00021954056,6376.8237,270276.87,1.2235683,584.07039,1,0
1.6212586,0.27015404,1.8553737,6.0012376,11.360551,2.9996304,1.1360247e-06,1.5201706,0.072606012,1.8553737,20.937256,11.360551,-25.10547,0.19872144,0.023065135,0.11084497,1.8553737,0.20808463,11.360551,0.071825396,0.049351437,1.2437094,0.050613903,2.4023343,24.572485,11.847878,-29.023233,0.29445784,0.00033341746,0.23862697,5.8023164,0.0013972329,2.8748276,0.0024817646,4.5488504e-06,0.00015490854,0.11086809,0.20399054,0.0013972329,0.069906588,0.0024817646,0.035231851,-0.44979978,-0.06775635,20.615141,6.6384889,-24.723408,-5.1515125,0.19900822,-39.026433,-0.19291384,2.4023343,202.29981,11.847878,293.4567,5.5470583e-05,153.86151,0.42248137,5.8023164,364.1853,2.8748276,588.47864,4.6330816e-17,-102.74623,-0.28212624,20.615141,364.1853,-24.723408,588.47864,4.9534362e-08,61.088878,0.31096201,5.8023164,196.45126,2.8748276,303.07688,1.559058e-09,-57.354176,-0.29195117,20.615141,196.45126,-24.723408,303.07688,1.5912113e-08,-48.160653,-0.24515319,0.20399054,196.45126,0.069906588,303.07688,2.4304099e-06,-73.75764,-0.36757275,23.653159,200.66134,-29.316282,291.85347,9.0508398e-17,-72.812132,-0.36286079,0.0014082229,200.66134,0.0025346888,291.85347,2.3631763e-16,-32.055317,-0.15974835,6.8319816,200.66134,-5.0296514,291.85347,0.00044862464,6336.7219,270146.75,1.224525,574.85736,1,1
1.6188562,0.2835245,1.8397256,5.7097578,11.340801,2.6874737,3.2343488e-07,0.90915279,0.040962195,1.8397256,22.194923,11.340801,-25.470063,0.46951972,0.0049060791,0.020208031,1.8397256,0.24277868,11.340801,0.084669386,0.72131975,1.2078949,0.04930019,2.3852775,24.500816,11.832657,-28.989862,0.30718469,0.00032965281,0.23863307,5.5497507,0.0013814213,2.5996743,0.0024651424,4.687503e-06,0.00014373802,0.10405082,0.24247511,0.0013814213,0.082684537,0.0024651424,0.048527793,-0.4381534,-0.06562363,21.651821,6.6767627,-25.105758,-5.2636528,0.21418865,-37.649851,-0.19015971,2.3852775,197.99068,11.832657,287.9859,7.1074407e-05,155.96671,0.43388355,5.5497507,359.46675,2.5996743,580.26661,5.8665891e-18,-86.381718,-0.24030517,21.651821,359.46675,-25.105758,580.26661,4.0004535e-06,58.146544,0.29907279,5.5497507,194.42271,2.5996743,298.00906,7.1325784e-09,-53.149545,-0.27337107,21.651821,194.42271,-25.105758,298.00906,1.3677919e-07,-55.176425,-0.28379619,0.24247511,194.42271,0.082684537,298.00906,4.2777758e-08,-69.942323,-0.35420822,23.613238,197.46104,-29.32211,286.95834,1.3216958e-15,-71.819551,-0.36371505,0.0013944267,197.46104,0.0025195543,286.95834,1.9881098e-16,-33.941653,-0.17189038,6.8451813,197.46104,-5.131977,286.95834,0.00015660876,6298.8857,270035.02,1.2255494,567.27401,1,2
1.406294,0.24965461,1.8390929,5.6329582,11.333745,2.5814992,7.5577341e-06,0.61732961,0.028876492,1.8390929,21.378276,11.333745,-25.353375,0.61022079,0.013805846,0.049774097,1.8390929,0.27737009,11.333745,0.10026016,0.37938684,1.232584,0.050927415,2.3727941,24.202761,11.820094,-29.762329,0.29147345,0.00026807876,0.19740973,5.4646142,0.0013579815,2.4641521,0.0024425799,0.00016342942,5.0291492e-05,0.037034005,0.26606742,0.0013579815,0.094845594,0.0024425799,0.48363544,-0.56965259,-0.084783611,20.932461,6.7188999,-25.233109,-5.3666986,0.108284,-39.321124,-0.20166468,2.3727941,194.9827,11.820094,288.32822,2.4656422e-05,158.65164,0.4392055,5.4646142,361.22416,2.4641521,580.22145,2.0747765e-18,-100.73732,-0.27887759,20.932461,361.22416,-25.233109,580.22145,7.4471381e-08,56.998045,0.29780148,5.4646142,191.39611,2.4641521,296.25058,8.3128827e-09,-60.171461,-0.31438183,20.932461,191.39611,-25.233109,296.25058,1.0635282e-09,-40.942596,-0.2139155,0.26606742,191.39611,0.094845594,296.25058,4.2746383e-05,-71.097219,-0.36549154,23.343583,194.52494,-30.034569,286.76009,1.3855919e-16,-68.794289,-0.3536528,0.0013773729,194.52494,0.0024973329,286.76009,1.4734899e-15,-34.825506,-0.17902849,6.8969261,194.52494,-5.2388017,286.76009,8.1526559e-05,6243.3323,269926.31,1.2259482,565.90147,1,3
2.3327742,0.26669407,1.8243361,8.7470042,11.318169,2.8530833,1.6341362e-06,0.60221023,0.028808882,1.8243361,20.903631,11.318169,-25.117669,0.61105765,0.028121794,0.10709182,1.8243361,0.26259517,11.318169,0.097523245,0.0580185,1.23913,0.052418575,2.3584251,23.63914,11.802832,-29.809479,0.27755679,0.00025526705,0.18978261,8.2818345,0.0013450497,2.6936726,0.0024168614,0.00029311115,6.7041626e-05,0.049843232,0.25032468,0.0013450497,0.090626275,0.0024168614,0.34567777,-0.79726549,-0.11739269,20.44567,6.7914404,-24.833815,-5.5343361,0.025925222,-40.6006,-0.20407509,2.3584251,198.94931,11.802832,284.58688,1.9598372e-05,96.454972,0.2697383,8.2818345,357.58724,2.6936726,574.58894,2.0278824e-07,-98.45882,-0.2753421,20.44567,357.58724,-24.833815,574.58894,1.1019913e-07,25.946667,0.13359827,8.2818345,194.2141,2.6936726,293.12957,0.011167362,-61.351005,-0.31589367,20.44567,194.2141,-24.833815,293.12957,8.7604588e-10,-34.705501,-0.17869712,0.25032468,194.2141,0.090626275,293.12957,0.00065872862,-66.686099,-0.33877318,22.776561,196.84586,-30.010137,281.88343,2.5062043e-14,-65.441619,-0.33245108,0.0013689012,196.84586,0.0024798563,281.88343,7.9847075e-14,-29.977061,-0.15228697,6.9881083,196.84586,-5.384238,281.88343,0.00082645887,6199.6407,269787.85,1.2265655,561.10873,1,4
1.0712317,0.20287005,1.8174678,5.2803838,11.306732,2.3530613,0.00030336188,1.1331016,0.054607563,1.8174678,20.749903,11.306732,-24.611096,0.33556772,0.016435891,0.063190131,1.8174678,0.26010218,11.306732,0.10108889,0.26502663,1.260146,0.053978585,2.3467566,23.345296,11.787728,-29.742267,0.26404566,0.00018426936,0.13806312,5.1137079,0.0013346747,2.2297922,0.0023924897,0.0087152601,-3.0203558e-05,-0.022629902,0.26195279,0.0013346747,0.10084224,0.0023924897,0.66869936,-0.69487884,-0.10227267,20.311281,6.7943744,-24.387,-5.6941194,0.052522579,-44.728526,-0.22972691,2.3467566,194.70303,11.787728,279.62501,1.4765014e-06,175.48625,0.46070902,5.1137079,380.90475,2.2297922,563.39007,2.5712846e-20,-97.588197,-0.25620105,20.311281,380.90475,-24.387,563.39007,8.3657399e-07,54.235784,0.28394685,5.1137079,191.00682,2.2297922,290.59495,4.2050287e-08,-52.810564,-0.27648524,20.311281,191.00682,-24.387,290.59495,9.7143258e-08,-35.553915,-0.18613951,0.26195279,191.00682,0.10084224,290.59495,0.00038443455,-61.55239,-0.3199282,22.457212,192.39439,-30.002095,277.04982,7.3340375e-13,-67.590703,-0.35131328,0.0013510285,192.39439,0.0024560145,277.04982,2.3238461e-15,-33.456712,-0.17389651,6.989474,192.39439,-5.5473267,277.04982,0.00013069274,6140.0363,269619.42,1.2279304,552.19207,1,5
1.1506882,0.22585257,1.8230348,5.0948643,11.298848,2.4498068,5.5311103e-05,0.72381091,0.036024299,1.8230348,20.092297,11.298848,-23.799085,0.52543422,0.047547776,0.15757087,1.8230348,0.30175486,11.298848,0.11361934,0.0052054901,1.7522687,0.075903869,2.3363438,23.085367,11.771635,-28.784803,0.11602884,0.00020870074,0.15822029,4.8842186,0.0013190517,2.3084928,0.002372443,0.0026076322,2.2003747e-05,0.01668149,0.29434836,0.0013190517,0.10926186,0.002372443,0.75243503,-0.88458318,-0.13086622,19.562679,6.759446,-23.713641,-5.8234042,0.012952502,-45.697938,-0.24096593,2.3363438,189.64481,11.771635,274.95861,4.2604629e-07,173.26322,0.45525591,4.8842186,380.58423,2.3084928,558.59035,8.0640057e-20,-81.259128,-0.21351155,19.562679,380.58423,-23.713641,558.59035,4.4228892e-05,46.621532,0.25178601,4.8842186,185.16331,2.3084928,284.51543,1.3058127e-06,-44.932217,-0.24266263,19.562679,185.16331,-23.713641,284.51543,3.1930927e-06,-25.468038,-0.13754365,0.29434836,185.16331,0.10926186,284.51543,0.00897351,-58.634404,-0.313403,22.182238,187.08948,-29.138626,272.23976,2.2372659e-12,-66.549013,-0.35570686,0.0013360633,187.08948,0.0024329736,272.23976,9.8462253e-16,-31.82596,-0.1701109,6.9682172,187.08948,-5.6855752,272.23976,0.00018355996,6082.4339,269464.05,1.2289899,546.35632,1,6
0.92739865,0.19180232,1.8087446,4.8351796,11.34165,2.5525527,0.00079051186,0.25982118,0.01255928,1.8087446,20.687585,11.34165,-22.748988,0.8276449,0.028097185,0.10527923,1.8087446,0.26688251,11.34165,0.10418286,0.06723515,1.0868404,0.046352594,2.3134671,23.447239,11.803413,-28.302093,0.34332099,0.00019785228,0.15023036,4.66217,0.0013169927,2.2950318,0.0023588484,0.0042802,-4.1675649e-05,-0.031644557,0.26531069,0.0013169927,0.099912556,0.0023588484,0.549523,-0.82356347,-0.12193715,20.010468,6.7539995,-23.242009,-5.9720958,0.020657277,-48.657136,-0.25503488,2.3134671,190.7862,11.803413,273.0369,1.1646466e-07,181.20958,0.4851693,4.66217,373.49761,2.2950318,553.57942,1.1770612e-22,-72.205232,-0.1933218,20.010468,373.49761,-23.242009,553.57942,0.00022413375,48.658525,0.26079836,4.66217,186.57528,2.2950318,285.84428,5.2158268e-07,-44.700002,-0.2395816,20.010468,186.57528,-23.242009,285.84428,4.285059e-06,-21.534207,-0.11541833,0.26531069,186.57528,0.099912556,285.84428,0.028552149,-63.338317,-0.33447166,22.315532,189.36826,-28.748602,272.96388,5.5293643e-14,-65.669736,-0.34678323,0.0013361034,189.36826,0.0024162138,272.96388,5.5548371e-15,-28.32508,-0.1495767,6.9902131,189.36826,-5.8390595,272.96388,0.0010249634,6040.5345,269291.74,1.2301038,540.16727,1,7
1.4152141,0.25245697,1.8116948,5.6057636,11.321607,3.5756942,8.6433719e-06,-1.6073061,-0.096361432,1.8116948,16.679973,11.321607,-11.860127,0.094067964,0.021195075,0.054374571,1.8116948,0.38979755,11.321607,0.24736049,0.34553854,-0.88845714,-0.050610478,2.2985726,17.554806,11.776095,-9.9449393,0.30077249,0.00019710271,0.1488584,5.3721698,0.0013240952,3.2817327,0.0023814676,0.0048857136,-0.00011099911,-0.083830157,0.37838884,0.0013240952,0.23157873,0.0023814676,0.11435399,-2.2017404,-0.33586175,16.17739,6.5554959,-12.045519,-5.6754073,7.78744e-11,-52.34924,-0.26719563,2.2985726,195.92102,11.776095,291.22627,2.6825515e-08,153.04291,0.41464862,5.3721698,369.0906,3.2817327,551.80625,3.1718067e-16,-15.923908,-0.04314363,16.17739,369.0906,-12.045519,551.80625,0.41705136,38.207904,0.19960604,5.3721698,191.41657,3.2817327,303.09089,0.00014996133,-4.228654,-0.022091368,16.17739,191.41657,-12.045519,303.09089,0.67784627,3.2788815,0.017129559,0.37838884,191.41657,0.23157873,303.09089,0.74738691,-32.337197,-0.16711894,17.046318,193.4981,-9.6036096,290.09851,0.00023888679,-75.589961,-0.39064964,0.0013337425,193.4981,0.0024228202,290.09851,6.5161911e-19,-38.738374,-0.20020028,6.8038154,193.4981,-5.6271514,290.09851,1.0104584e-05,6057.0506,269487.19,1.2299957,538.83648,1,8
