SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.7842505,0.4078102,6.906317,4.3751983,16.666316,4.5561603,0.0001298461,-4.4088321,-0.20600503,6.906317,21.401575,16.666316,5.9101269,0.061702601,0.075326086,0.48882272,6.906317,0.15409694,16.666316,0.14787805,2.7488916e-06,-4.8333101,-0.27963117,6.906317,17.28459,16.666316,20.894778,0.010460651,-0.00013593692,-0.10283085,4.3751983,0.0013219469,4.5561603,0.0024569208,0.35492362,8.9831137e-05,0.067953666,0.15409694,0.0013219469,0.14787805,0.0024569208,0.54159376,-3.6444982,-0.54446403,21.401575,6.6937354,5.9101269,-3.287443,1.0337215e-07,-35.719658,-0.15431654,6.906317,231.47005,16.666316,546.21345,0.16364137,165.49985,0.52111223,4.3751983,317.58966,4.5561603,712.74625,4.3989746e-07,86.016698,0.27084225,21.401575,317.58966,5.9101269,712.74625,0.013266073,82.893745,0.35811866,4.3751983,231.47005,4.5561603,546.21345,0.00088699783,96.392639,0.41643676,21.401575,231.47005,5.9101269,546.21345,9.0095824e-05,9.378487,0.040517064,0.15409694,231.47005,0.14787805,546.21345,0.71609747,44.950878,0.19419738,17.28459,231.47005,20.894778,546.21345,0.078546959,-105.50301,-0.45579552,0.0013219469,231.47005,0.0024569208,546.21345,1.4907992e-05,-45.386823,-0.19608076,6.6937354,231.47005,-3.287443,546.21345,0.075637636,6142.3019,270114.14,1.2364715,712.74625,1,daily
1.4836283,0.30929087,6.9555725,4.7968708,16.858652,1.8779866,0.0046923052,3.3032062,0.13282396,6.9555725,24.869055,16.858652,-23.472407,0.23420898,0.096199726,0.2951521,6.9555725,0.32593272,16.858652,0.14535421,0.0071038354,5.143347,0.17661706,6.9555725,29.121462,16.858652,-33.859524,0.11244739,-0.0001685692,-0.12041741,4.7968708,0.0013998739,1.8779866,0.0024293655,0.28120656,-6.7300098e-05,-0.048075828,0.32593272,0.0013998739,0.14535421,0.0024293655,0.66798879,-0.31343585,-0.043272505,24.869055,7.2433027,-23.472407,-3.8612805,0.69948596,-42.952615,-0.16901454,6.9555725,254.13562,16.858652,500.42937,0.12902979,198.54985,0.52779839,4.7968708,376.18501,1.8779866,692.8337,3.4794994e-07,-19.225353,-0.051106112,24.869055,376.18501,-23.472407,692.8337,0.64840505,78.712491,0.30972632,4.7968708,254.13562,1.8779866,500.42937,0.0046312851,-24.741418,-0.097355179,24.869055,254.13562,-23.472407,500.42937,0.38423264,35.496971,0.13967728,0.32593272,254.13562,0.14535421,500.42937,0.2107304,-107.3347,-0.42235204,29.121462,254.13562,-33.859524,500.42937,7.7350209e-05,-116.71204,-0.45925101,0.0013998739,254.13562,0.0024293655,500.42937,1.4257138e-05,-48.106188,-0.18929337,7.2433027,254.13562,-3.8612805,500.42937,0.088522181,6073.4138,269562.85,1.2395037,692.8337,1,0
1.7272482,0.30449275,6.9508936,5.6725431,16.838311,2.0127647,0.0054134673,3.4998492,0.14297478,6.9508936,24.478787,16.838311,-22.317773,0.20004958,0.1111122,0.33392069,6.9508936,0.33275028,16.838311,0.15680238,0.0021703528,4.4222347,0.1513555,6.9508936,29.217535,16.838311,-35.116768,0.17466189,-0.00010993581,-0.080785334,5.6725431,0.0013608387,2.0127647,0.0024020739,0.47060673,-2.0738124e-05,-0.015239222,0.33275028,0.0013608387,0.15680238,0.0024020739,0.89191111,0.07322047,0.010184983,24.478787,7.1890617,-22.317773,-4.0761951,0.92763928,-30.507105,-0.12287555,6.9508936,248.27645,16.838311,484.99547,0.27142916,144.2734,0.39647191,5.6725431,363.89313,2.0127647,662.71801,0.00022653806,-18.189399,-0.049985551,24.478787,363.89313,-22.317773,662.71801,0.65562,58.697095,0.2364183,5.6725431,248.27645,2.0127647,484.99547,0.032483744,-32.346393,-0.13028377,24.478787,248.27645,-22.317773,484.99547,0.24335649,54.604204,0.21993308,0.33275028,248.27645,0.15680238,484.99547,0.047101599,-105.84353,-0.4263132,29.217535,248.27645,-35.116768,484.99547,6.5106502e-05,-108.77911,-0.43813706,0.0013608387,248.27645,0.0024020739,484.99547,3.8426793e-05,-43.654704,-0.17583103,7.1890617,248.27645,-4.0761951,484.99547,0.11408134,6005.1848,269352.07,1.2425214,662.71801,1,1
1.4884272,0.2473774,6.9839644,6.0168276,16.861738,1.8491521,0.025048361,2.6479401,0.11291865,6.9839644,23.44998,16.861738,-23.412404,0.31246697,0.085291064,0.28289518,6.9839644,0.30149352,16.861738,0.12963067,0.010017265,4.2061341,0.14530604,6.9839644,28.946725,16.861738,-34.061293,0.19273623,-0.00020821349,-0.14783868,6.0168276,0.001408383,1.8491521,0.0024243449,0.1850118,-3.7301965e-05,-0.026485668,0.30149352,0.001408383,0.12963067,0.0024243449,0.81327952,-0.39410478,-0.053859251,23.44998,7.3173091,-23.412404,-4.1733537,0.6308165,-33.940312,-0.1341725,6.9839644,252.96027,16.861738,467.95349,0.22945107,171.28989,0.46711198,6.0168276,366.69984,1.8491521,636.53983,9.6894561e-06,7.6855472,0.020958687,23.44998,366.69984,-23.412404,636.53983,0.85174229,75.199741,0.29727886,6.0168276,252.96027,1.8491521,467.95349,0.0066826718,-31.505632,-0.12454775,23.44998,252.96027,-23.412404,467.95349,0.26491001,67.164216,0.2655129,0.30149352,252.96027,0.12963067,467.95349,0.015915252,-95.79564,-0.37869836,28.946725,252.96027,-34.061293,467.95349,0.00045108338,-113.17834,-0.44741548,0.001408383,252.96027,0.0024243449,467.95349,2.5055847e-05,-48.538586,-0.19188225,7.3173091,252.96027,-4.1733537,467.95349,0.084171335,6060.8622,269241.32,1.2453219,636.53983,1,2
1.4653405,0.24383907,6.9922532,6.0094576,16.84222,2.0172783,0.027272477,4.34585,0.17262135,6.9922532,25.175623,16.84222,-26.002549,0.1209443,0.10890023,0.33678464,6.9922532,0.32335272,16.84222,0.14118672,0.0019760364,3.7361708,0.12460659,6.9922532,29.983735,16.84222,-37.25625,0.26468256,-8.8843064e-05,-0.063178649,6.0094576,0.0014062197,2.0172783,0.0024043979,0.57283045,0.00015493675,0.11017961,0.32335272,0.0014062197,0.14118672,0.0024043979,0.32442464,-0.067192948,-0.009113528,25.175623,7.3728799,-26.002549,-4.2736402,0.9352342,-33.683784,-0.13071341,6.9922532,257.69187,16.84222,469.47888,0.24179225,188.35549,0.50193101,6.0094576,375.2617,2.0172783,639.18857,1.5539586e-06,18.888138,0.050333243,25.175623,375.2617,-26.002549,639.18857,0.6533779,63.190027,0.24521544,6.0094576,257.69187,2.0172783,469.47888,0.026388216,-42.008394,-0.16301792,25.175623,257.69187,-26.002549,469.47888,0.14337545,11.070837,0.042961529,0.32335272,257.69187,0.14118672,469.47888,0.70154345,-99.434891,-0.38586739,29.983735,257.69187,-37.25625,469.47888,0.00034326726,-107.61412,-0.41760774,0.0014062197,257.69187,0.0024043979,469.47888,9.4815417e-05,-40.172023,-0.1558917,7.3728799,257.69187,-4.2736402,469.47888,0.16194668,6010.9947,269142.89,1.2453589,639.18857,1,3
1.7943597,0.26375169,6.9841302,6.8032159,16.799537,2.5407362,0.016653576,3.730164,0.13935851,6.9841302,26.766676,16.799537,-25.536683,0.21178396,0.086151053,0.36424061,6.9841302,0.23652237,16.799537,0.096089436,0.00076805993,3.6521685,0.12488693,6.9841302,29.2438,16.799537,-37.401811,0.26360069,-0.00016119887,-0.11603016,6.8032159,0.0013892842,2.5407362,0.0023686521,0.2992334,-1.6937556e-05,-0.012191571,0.23652237,0.0013892842,0.096089436,0.0023686521,0.91343367,-0.67735502,-0.091897064,26.766676,7.3708015,-25.536683,-4.4090549,0.41157363,-26.648814,-0.10270718,6.9841302,259.464,16.799537,475.30117,0.35851091,203.46139,0.54082152,6.8032159,376.20802,2.5407362,630.95799,1.5607671e-07,9.5060187,0.025267986,26.766676,376.20802,-25.536683,630.95799,0.82171898,93.998458,0.36227938,6.8032159,259.464,2.5407362,475.30117,0.00082401169,-15.201468,-0.058587966,26.766676,259.464,-25.536683,475.30117,0.6010847,13.011014,0.050145738,0.23652237,259.464,0.096089436,475.30117,0.65458665,-99.055649,-0.3817703,29.2438,259.464,-37.401811,475.30117,0.00040156593,-104.97896,-0.40459934,0.0013892842,259.464,0.0023686521,475.30117,0.00016317661,-33.226907,-0.1280598,7.3708015,259.464,-4.4090549,475.30117,0.25156506,5921.6303,269012.92,1.2463419,630.95799,1,4
1.3525485,0.33730745,6.985538,4.0098388,16.761079,1.6246315,0.0019423055,1.060815,0.036193934,6.985538,29.309193,16.761079,-26.845887,0.74682837,0.06504809,0.20078616,6.985538,0.32396701,16.761079,0.12782171,0.070489674,2.405294,0.08228554,6.985538,29.231065,16.761079,-36.848646,0.46237862,-6.9714849e-05,-0.049804546,4.0098388,0.0013997688,1.6246315,0.0023446853,0.65678842,-9.58054e-05,-0.068443732,0.32396701,0.0013997688,0.12782171,0.0023446853,0.54120845,-0.72447995,-0.098515683,29.309193,7.3539554,-26.845887,-4.5220671,0.37856324,-18.24931,-0.06910683,6.985538,264.0739,16.761079,478.28144,0.53728742,204.69865,0.48831655,4.0098388,419.19253,1.6246315,631.23595,3.2557774e-06,39.94921,0.095300387,29.309193,419.19253,-26.845887,631.23595,0.39439504,96.577412,0.36572115,4.0098388,264.0739,1.6246315,478.28144,0.00072813828,6.293401,0.023831969,29.309193,264.0739,-26.845887,478.28144,0.83169767,39.117592,0.14813123,0.32396701,264.0739,0.12782171,478.28144,0.18413424,-107.039,-0.40533729,29.231065,264.0739,-36.848646,478.28144,0.0001583212,-107.76635,-0.40809165,0.0013997688,264.0739,0.0023446853,478.28144,0.00014135253,-27.698737,-0.1048901,7.3539554,264.0739,-4.5220671,478.28144,0.34833232,5861.7134,268893.08,1.2469087,631.23595,1,5
1.2285656,0.2614854,6.9839238,4.6984101,16.718915,1.9751094,0.017646896,0.33218995,0.012345337,6.9839238,26.908131,16.718915,-24.630132,0.91234614,0.06161371,0.18992471,6.9839238,0.32441125,16.718915,0.14536057,0.08744511,1.6813279,0.057735348,6.9839238,29.121291,16.718915,-35.287122,0.60639951,-0.0001295711,-0.092151295,4.6984101,0.0014060692,1.9751094,0.0023205679,0.41027552,-0.00010345573,-0.07357798,0.32441125,0.0014060692,0.14536057,0.0023205679,0.51121974,-1.2248601,-0.16789165,26.908131,7.2955392,-24.630132,-4.6235244,0.1316293,-24.76226,-0.097483177,6.9839238,254.01573,16.718915,481.17757,0.38360484,240.25961,0.57803467,4.6984101,415.64914,1.9751094,620.45407,1.2966515e-08,23.854138,0.057390082,26.908131,415.64914,-24.630132,620.45407,0.60855759,93.042984,0.36628828,4.6984101,254.01573,1.9751094,481.17757,0.00071335381,5.6233604,0.022137844,26.908131,254.01573,-24.630132,481.17757,0.84350411,14.498997,0.057079132,0.32441125,254.01573,0.14536057,481.17757,0.61050404,-100.7769,-0.39673488,29.121291,254.01573,-35.287122,481.17757,0.00022417545,-106.87957,-0.42075967,0.0014060692,254.01573,0.0023205679,481.17757,8.2848505e-05,-31.872735,-0.12547544,7.2955392,254.01573,-4.6235244,481.17757,0.26133938,5801.4198,268769.94,1.248419,620.45407,1,6
1.389433,0.35220793,6.9838343,3.9449225,16.668354,1.9361319,0.0011742325,0.6726274,0.025327866,6.9838343,26.556813,16.668354,-21.958119,0.82130348,0.042964187,0.14391984,6.9838343,0.29852858,16.668354,0.13925386,0.19706124,1.2807515,0.045719565,6.9838343,28.013205,16.668354,-32.540689,0.68337217,-0.00010424832,-0.07176828,3.9449225,0.0014525682,1.9361319,0.0023436046,0.52169202,-0.00012675519,-0.087262819,0.29852858,0.0014525682,0.13925386,0.0023436046,0.43565221,-1.6865518,-0.22721074,26.556813,7.4228525,-21.958119,-4.6534329,0.040089393,-14.563891,-0.057789958,6.9838343,252.01423,16.668354,470.12552,0.60605849,261.50383,0.64919486,3.9449225,402.81254,1.9361319,617.45195,4.1993679e-11,41.353984,0.1026631,26.556813,402.81254,-21.958119,617.45195,0.35871829,131.21333,0.52065844,3.9449225,252.01423,1.9361319,470.12552,5.3248139e-07,0.88190785,0.0034994367,26.556813,252.01423,-21.958119,470.12552,0.97510816,62.335086,0.24734749,0.29852858,252.01423,0.13925386,470.12552,0.025066495,-103.20325,-0.40951359,28.013205,252.01423,-32.540689,470.12552,0.00013326564,-104.90735,-0.41627551,0.0014525682,252.01423,0.0023436046,470.12552,0.00010033934,-32.183161,-0.12770375,7.4228525,252.01423,-4.6534329,470.12552,0.25289661,5859.0116,268713.91,1.2491273,617.45195,1,7
1.5686741,0.26968112,6.9820406,5.8167738,16.614732,2.1832258,0.014279459,-0.59652886,-0.020805348,6.9820406,28.6719,16.614732,-12.776104,0.85281478,0.05293914,0.17821105,6.9820406,0.29705869,16.614732,0.16304628,0.10918957,-10.366911,-0.49048424,6.9820406,21.136073,16.614732,9.8651646,2.9002191e-06,-0.00029536632,-0.2027665,5.8167738,0.0014566821,2.1832258,0.0023627597,0.067704433,-0.00015847874,-0.10879432,0.29705869,0.0014566821,0.16304628,0.0023627597,0.33058216,-3.019899,-0.40982779,28.6719,7.3687023,-12.776104,-4.4742134,0.00013153742,-8.363828,-0.03357959,6.9820406,249.07475,16.614732,478.76535,0.76456434,174.79737,0.45907798,5.8167738,380.75746,2.1832258,609.68527,1.4377328e-05,132.9307,0.34912171,28.6719,380.75746,-12.776104,609.68527,0.0013058599,109.74514,0.44061126,5.8167738,249.07475,2.1832258,478.76535,3.4326907e-05,65.263421,0.26202343,28.6719,249.07475,-12.776104,478.76535,0.017406578,46.433321,0.18642324,0.29705869,249.07475,0.16304628,478.76535,0.093551542,-28.526745,-0.11453086,21.136073,249.07475,9.8651646,478.76535,0.30556358,-111.28826,-0.44680666,0.0014566821,249.07475,0.0023627597,478.76535,2.5778746e-05,-42.083646,-0.1689599,7.3687023,249.07475,-4.4742134,478.76535,0.12915537,5906.8993,268871.08,1.2496919,609.68527,1,8
