SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.833083,-0.16611295,15.820156,5.0151599,20.828336,4.6378247,0.11764159,-1.0938854,-0.076766194,15.820156,14.249572,20.828336,-18.954442,0.47204839,-0.036206078,-0.31587252,15.820156,0.11462244,20.828336,0.17643522,0.0024230262,,,,,,,,9.5642486e-05,0.10260166,5.0151599,0.00093217289,4.6378247,0.0023966813,0.33589829,1.4428415e-05,0.01547826,0.11462244,0.00093217289,0.17643522,0.0023966813,0.88487215,-2.2155572,-0.48232408,14.249572,4.5935032,-18.954442,-3.9411211,1.4807449e-06,-120.06508,-0.22969178,15.820156,522.72261,20.828336,801.90701,0.029421359,-21.582535,-0.12651074,5.0151599,170.59843,4.6378247,107.90603,0.23475838,58.050364,0.34027489,14.249572,170.59843,-18.954442,107.90603,0.0010325217,171.12965,0.32738139,5.0151599,522.72261,4.6378247,801.90701,0.0016345173,-262.58546,-0.50234189,14.249572,522.72261,-18.954442,801.90701,4.5390172e-07,-48.037379,-0.091898414,0.11462244,522.72261,0.17643522,801.90701,0.38898307,,,,,,,,-288.72281,-0.55234421,0.00093217289,522.72261,0.0023966813,801.90701,1.6629906e-08,126.16725,0.24136559,4.5935032,522.72261,-3.9411211,801.90701,0.021918171,5991.7033,289268.37,1.0088789,107.90603,1,daily
-1.020761,-0.1128953,15.895509,9.0416603,20.88177,3.764062,0.29217239,1.7761264,0.082235193,15.895509,21.59813,20.88177,-21.070273,0.4435948,-0.025275249,-0.079845029,15.895509,0.31655382,20.88177,0.15423211,0.45699946,,,,,,,,0.00014348108,0.14995993,9.0416603,0.00095679613,3.764062,0.002370152,0.16071665,5.6048271e-05,0.058579115,0.31655382,0.00095679613,0.15423211,0.002370152,0.58555372,-2.2855681,-0.46668974,21.59813,4.8974039,-21.070273,-4.4856236,4.0288583e-06,-126.84935,-0.2252012,15.895509,563.27122,20.88177,742.24351,0.033850524,5.6436863,0.032358839,9.0416603,174.40942,3.764062,63.50124,0.76338703,38.024931,0.21802109,21.59813,174.40942,-21.070273,63.50124,0.040121927,152.59903,0.27091572,9.0416603,563.27122,3.764062,742.24351,0.010231744,-292.07216,-0.51852845,21.59813,563.27122,-21.070273,742.24351,1.9385589e-07,-128.48081,-0.2280976,0.31655382,563.27122,0.15423211,742.24351,0.031565058,,,,,,,,-296.15015,-0.5257683,0.00095679613,563.27122,0.002370152,742.24351,1.2176354e-07,152.92029,0.27148607,4.8974039,563.27122,-4.4856236,742.24351,0.010067104,5925.3801,288659.51,1.0135658,63.50124,1,0
-0.57702414,-0.058553931,15.897946,9.8545756,20.877545,3.3691397,0.58571522,2.5095101,0.10669024,15.897946,23.521459,20.877545,-21.415827,0.31967358,-0.0015295551,-0.0072585834,15.897946,0.21072363,20.877545,0.093014077,0.94617556,,,,,,,,0.00014092698,0.14649589,9.8545756,0.0009619859,3.3691397,0.0023652287,0.17071642,-7.0807636e-05,-0.07360569,0.21072363,0.0009619859,0.093014077,0.0023652287,0.49302275,-1.6027552,-0.33455665,23.521459,4.790684,-21.415827,-4.5608427,0.0013531812,-139.35963,-0.25023153,15.897946,556.92273,20.877545,740.25308,0.018026866,10.432977,0.066646973,9.8545756,156.5409,3.3691397,54.574625,0.53489673,12.310793,0.07864266,23.521459,156.5409,-21.415827,54.574625,0.46382627,115.12191,0.20671074,9.8545756,556.92273,3.3691397,740.25308,0.051945619,-237.71843,-0.42684275,23.521459,556.92273,-21.415827,740.25308,3.0285639e-05,-36.921654,-0.066295828,0.21072363,556.92273,0.093014077,740.25308,0.53705549,,,,,,,,-310.33687,-0.55723505,0.0009619859,556.92273,0.0023652287,740.25308,1.4144653e-08,123.00966,0.22087383,4.790684,556.92273,-4.5608427,740.25308,0.03752309,5913.0716,288598.24,1.0141148,54.574625,1,1
-1.6178989,-0.15137842,15.898634,10.687778,20.877382,2.9360981,0.15674981,3.7657888,0.17799471,15.898634,21.156746,20.877382,-21.416088,0.09515399,0.00024511761,0.0007887595,15.898634,0.31076343,20.877382,0.15481887,0.99414681,,,,,,,,4.1396614e-05,0.041987032,10.687778,0.00098593809,2.9360981,0.0023699808,0.6960355,9.2879399e-05,0.094204089,0.31076343,0.00098593809,0.15481887,0.0023699808,0.37988342,-1.5600584,-0.32678849,21.156746,4.7739086,-21.416088,-4.4914888,0.0017742906,-145.71335,-0.2541832,15.898634,573.26116,20.877382,752.60774,0.016230923,7.6692808,0.073008168,10.687778,105.04689,2.9360981,43.190932,0.49654929,5.5572635,0.052902695,21.156746,105.04689,-21.416088,43.190932,0.62245587,121.83806,0.21253499,10.687778,573.26116,2.9360981,752.60774,0.045541924,-282.52154,-0.49283216,21.156746,573.26116,-21.416088,752.60774,9.2837093e-07,-63.656932,-0.11104351,0.31076343,573.26116,0.15481887,752.60774,0.30021091,,,,,,,,-336.07944,-0.58625887,0.00098593809,573.26116,0.0023699808,752.60774,1.5773893e-09,114.76311,0.20019342,4.7739086,573.26116,-4.4914888,752.60774,0.059970289,5924.952,288680.93,1.0146931,43.190932,1,2
-0.84487874,-0.11205923,15.89926,7.5395731,20.877472,3.4635402,0.29578397,0.99662124,0.039765292,15.89926,25.062591,20.877472,-22.255025,0.71139132,-0.016054765,-0.066592479,15.89926,0.24108976,20.877472,0.10074824,0.53523146,,,,,,,,0.00016351829,0.16234527,7.5395731,0.0010072255,3.4635402,0.0023730402,0.12850745,0.00010482385,0.10407188,0.24108976,0.0010072255,0.10074824,0.0023730402,0.33176172,-1.2693515,-0.26876832,25.062591,4.7228466,-22.255025,-4.543073,0.010872932,-146.46123,-0.25776831,15.89926,568.18943,20.877472,748.06704,0.014737401,9.4448383,0.087444551,7.5395731,108.00945,3.4635402,44.186219,0.41515771,14.816562,0.13717838,25.062591,108.00945,-22.255025,44.186219,0.19987305,97.108961,0.17090948,7.5395731,568.18943,3.4635402,748.06704,0.10929501,-202.0752,-0.35564758,25.062591,568.18943,-22.255025,748.06704,0.00062554867,-121.07249,-0.21308472,0.24108976,568.18943,0.10074824,748.06704,0.044972839,,,,,,,,-341.0109,-0.60017113,0.0010072255,568.18943,0.0023730402,748.06704,5.0949663e-10,93.833189,0.1651442,4.7228466,568.18943,-4.543073,748.06704,0.12196387,5932.6006,288641.16,1.0145329,44.186219,1,3
-1.0238045,-0.18031542,15.900134,5.677853,20.877691,2.366326,0.090849216,3.911738,0.21036433,15.900134,18.595063,20.877691,-23.13438,0.04784758,0.02165264,0.10829704,15.900134,0.19993751,20.877691,0.078103225,0.3123975,,,,,,,,4.8635324e-05,0.0470672,5.677853,0.0010333167,2.366326,0.0023753604,0.66138854,0.00010764034,0.10416975,0.19993751,0.0010333167,0.078103225,0.0023753604,0.33130474,-0.93823249,-0.20150726,18.595063,4.656073,-23.13438,-4.6490337,0.058276054,-156.08341,-0.26739297,15.900134,583.72291,20.877691,741.0147,0.011301785,10.919027,0.14286872,5.677853,76.426995,2.366326,38.760413,0.18167019,13.272193,0.17365844,18.595063,76.426995,-23.13438,38.760413,0.1036262,110.00753,0.18845848,5.677853,583.72291,2.366326,741.0147,0.076949769,-255.98399,-0.43853681,18.595063,583.72291,-23.13438,741.0147,1.7195801e-05,-28.024069,-0.048009199,0.19993751,583.72291,0.078103225,741.0147,0.655039,,,,,,,,-366.94916,-0.62863588,0.0010333167,583.72291,0.0023753604,741.0147,4.2266515e-11,76.705508,0.1314074,4.656073,583.72291,-4.6490337,741.0147,0.21963442,5938.4011,288540.98,1.0149476,38.760413,1,4
0.46579896,0.055413594,15.900793,8.4058609,20.878601,3.4811404,0.60601003,0.53185699,0.025176246,15.900793,21.125349,20.878601,-19.863668,0.81483613,0.0059333583,0.018473287,15.900793,0.32118585,20.878601,0.16329893,0.86357306,,,,,,,,0.00026732391,0.26212499,8.4058609,0.0010198338,3.4811404,0.0023633082,0.013083882,0.00014239124,0.13962201,0.32118585,0.0010198338,0.16329893,0.0023633082,0.19190198,-1.4970143,-0.31785023,21.125349,4.7098104,-19.863668,-4.6755281,0.0024027058,-142.86703,-0.24179501,15.900793,590.8601,20.878601,744.76986,0.022440452,14.253083,0.25941145,8.4058609,54.943926,3.4811404,34.557837,0.014093657,4.9341322,0.089803051,21.125349,54.943926,-19.863668,34.557837,0.40263945,46.814953,0.079231874,8.4058609,590.8601,3.4811404,744.76986,0.46047388,-240.05619,-0.40628262,21.125349,590.8601,-19.863668,744.76986,7.7990316e-05,-164.90135,-0.27908696,0.32118585,590.8601,0.16329893,744.76986,0.0080843291,,,,,,,,-363.67601,-0.61550275,0.0010198338,590.8601,0.0023633082,744.76986,1.374908e-10,92.205682,0.15605332,4.7098104,590.8601,-4.6755281,744.76986,0.14419242,5908.2704,288519.09,1.0152299,34.557837,1,5
-1.0813379,-0.11450884,15.902036,9.44327,20.878039,1.5233721,0.28528499,3.3561785,0.12182252,15.902036,27.549737,20.878039,-20.3567,0.25542694,-0.0071320009,-0.028994056,15.902036,0.24598148,20.878039,0.13955089,0.7873762,,,,,,,,-1.5783624e-05,-0.015600106,9.44327,0.0010117639,1.5233721,0.0023480279,0.88463238,0.00014775729,0.1460393,0.24598148,0.0010117639,0.13955089,0.0023480279,0.17206788,-0.93835164,-0.19755396,27.549737,4.7498498,-20.3567,-4.7465674,0.063495266,-140.3217,-0.23266744,15.902036,603.09987,20.878039,748.37274,0.028224122,4.9836354,0.074610109,9.44327,66.795713,1.5233721,37.270826,0.48712456,5.1832559,0.077598632,27.549737,66.795713,-20.3567,37.270826,0.46979902,153.7829,0.25498746,9.44327,603.09987,1.5233721,748.37274,0.015884965,-195.52887,-0.32420645,27.549737,603.09987,-20.3567,748.37274,0.001938509,-215.69446,-0.35764302,0.24598148,603.09987,0.13955089,748.37274,0.00057988906,,,,,,,,-370.73259,-0.61471176,0.0010117639,603.09987,0.0023480279,748.37274,1.4735799e-10,98.890815,0.16397088,4.7498498,603.09987,-4.7465674,748.37274,0.12467509,5870.0698,288439.37,1.0152023,37.270826,1,6
-0.27686773,-0.028111796,15.902774,9.8488094,20.879101,3.5180345,0.79370022,1.9321587,0.076389101,15.902774,25.293643,20.879101,-21.313296,0.4767705,0.026258828,0.098909664,15.902774,0.26548293,20.879101,0.11352471,0.35643217,,,,,,,,0.00016602517,0.16514311,9.8488094,0.0010053412,3.5180345,0.0023318524,0.12196635,0.00030578984,0.30416524,0.26548293,0.0010053412,0.11352471,0.0023318524,0.0037564584,-1.2008382,-0.25349617,25.293643,4.7371057,-21.313296,-4.7860562,0.016531586,-130.88323,-0.21363034,15.902774,612.66217,20.879101,756.09204,0.04441385,9.2460875,0.074954633,9.8488094,123.35578,3.5180345,44.714653,0.4851101,18.32045,0.14851716,25.293643,123.35578,-21.313296,44.714653,0.16482736,84.515106,0.13794732,9.8488094,612.66217,3.5180345,756.09204,0.19733956,-265.61249,-0.43353825,25.293643,612.66217,-21.313296,756.09204,2.1958501e-05,-163.43044,-0.26675458,0.26548293,612.66217,0.11352471,756.09204,0.011505813,,,,,,,,-380.74164,-0.62145446,0.0010053412,612.66217,0.0023318524,756.09204,8.1110136e-11,97.717922,0.15949724,4.7371057,612.66217,-4.7860562,756.09204,0.13543763,5829.6311,288379.86,1.0149674,44.714653,1,7
-0.37173129,-0.044168456,15.902975,8.4162166,20.880584,3.0118361,0.68107651,1.9045952,0.086339621,15.902975,22.059342,20.880584,-22.593167,0.42109924,-0.051728829,-0.18774118,15.902975,0.27553268,20.880584,0.11518055,0.078101279,,,,,,,,3.9236414e-05,0.038626054,8.4162166,0.0010158018,3.0118361,0.0023474821,0.71931061,8.1135645e-05,0.079873501,0.27553268,0.0010158018,0.11518055,0.0023474821,0.45683848,-1.2611581,-0.26563482,22.059342,4.7477139,-22.593167,-4.703382,0.011871443,-115.57166,-0.18642041,15.902975,619.95174,20.880584,755.38047,0.08025758,-3.6678221,-0.023102451,8.4162166,158.76333,3.0118361,48.321733,0.82984862,17.675144,0.11133014,22.059342,158.76333,-22.593167,48.321733,0.29895729,169.32378,0.27312413,8.4162166,619.95174,3.0118361,755.38047,0.00960708,-346.48557,-0.55889119,22.059342,619.95174,-22.593167,755.38047,1.2550802e-08,-145.40797,-0.23454724,0.27553268,619.95174,0.11518055,755.38047,0.026939464,,,,,,,,-383.11994,-0.61798348,0.0010158018,619.95174,0.0023474821,755.38047,1.1049094e-10,107.15277,0.17284051,4.7477139,619.95174,-4.703382,755.38047,0.10528838,5868.7052,288447.07,1.014845,48.321733,1,8
