SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.38739276,0.036449814,2.2015208,10.628114,56.751994,12.497945,0.58652219,-1.1686504,-0.092616051,2.2015208,12.618228,56.751994,-3.4201322,0.16621139,0.010125768,0.05424026,2.2015208,0.18668362,56.751994,0.61507727,0.41813072,3.2920676,0.25908226,1.8517768,12.70665,57.045974,4.09928,0.00039793709,0.00066203697,0.56943885,10.628114,0.0011626129,12.497945,0.0037782773,9.7343079e-21,-6.3478853e-05,-0.054600161,0.18668362,0.0011626129,0.61507727,0.0037782773,0.41504431,-2.6529779,-0.6331399,12.618228,4.1901922,-3.4201322,0.40985213,1.308801e-26,-2.6282066,-0.016946065,2.1487486,155.09244,56.613795,191.75679,0.7872914,158.41289,0.64846834,10.628114,244.28778,12.497945,252.59245,3.1068144e-28,-192.58818,-0.78836598,12.618228,244.28778,-3.4201322,252.59245,6.04054e-49,80.976454,0.51148717,10.628114,158.31571,12.497945,194.13178,2.1205429e-16,-65.090764,-0.41114532,12.618228,158.31571,-3.4201322,194.13178,1.3722649e-10,8.4974384,0.053674006,0.18668362,158.31571,0.61507727,194.13178,0.42301383,-21.851014,-0.1473911,12.70665,148.25192,4.09928,164.9741,0.046470389,-4.9496449,-0.03191416,0.001129419,155.09244,0.0037105378,191.75679,0.61127302,34.02509,0.21938587,4.0699777,155.09244,0.16339673,191.75679,0.00040596983,9276.3446,276794.9,1.2198943,243.95509,1,daily
0.50713505,0.042365008,2.1358138,11.970612,56.832823,6.5331296,0.53476423,-0.86504157,-0.046165503,2.1311593,18.737835,56.835131,-8.7321724,0.49772834,0.034672895,0.068612583,2.1358138,0.50534309,56.832823,0.52405035,0.31437951,-1.2344449,-0.04979513,1.8074627,24.790474,57.12636,-20.670199,0.50920312,0.00040118455,0.33787636,11.970612,0.0011873709,6.5331296,0.0036272431,3.4101984e-07,-6.8574584e-05,-0.057753298,0.50534309,0.0011873709,0.52405035,0.0036272431,0.39724469,-2.7935564,-0.62172964,18.737835,4.4932013,-8.7321724,-0.63866743,1.0418971e-24,-11.522491,-0.066584772,2.0984611,173.04994,56.695401,125.5099,0.29628182,136.91579,0.56196991,11.970612,243.63544,6.5331296,174.75803,1.8312794e-19,-152.56351,-0.62707733,18.737835,243.29298,-8.7321724,174.05815,3.1679689e-25,95.120289,0.53970824,11.970612,176.24391,6.5331296,124.7981,8.3949118e-18,-103.04799,-0.5853706,18.737835,176.03888,-8.7321724,124.22774,1.9251059e-21,4.9703348,0.028201456,0.50534309,176.24391,0.52405035,124.7981,0.67952151,-9.2581836,-0.058710875,24.790474,157.69112,-20.670199,95.991436,0.43630141,8.9634779,0.05179706,0.0011469035,173.04994,0.0035731227,125.5099,0.41671975,55.053277,0.31813521,4.3560042,173.04994,-0.81330645,125.5099,3.0832969e-07,8932.8068,275785.42,1.2292469,167.67787,1,0
-0.10440602,-0.0071803524,2.141371,14.540515,56.812342,7.4055729,0.91585785,-1.8802926,-0.097821397,2.1367681,19.221691,56.814723,-8.3090372,0.14814052,-0.026630954,-0.052451291,2.141371,0.50772733,56.812342,0.59359692,0.43993799,-2.2005365,-0.091370281,1.8105334,24.083723,57.11766,-20.227582,0.22513662,0.0005069885,0.43200987,14.540515,0.0011735577,7.4055729,0.0036215666,2.2676736e-11,-0.00019294219,-0.16440793,0.50772733,0.0011735577,0.59359692,0.0036215666,0.014863469,-2.7131664,-0.61089003,19.221691,4.4413336,-8.3090372,-0.70574773,6.7774285e-24,-13.656431,-0.085120525,2.1032977,160.4364,56.677858,118.01833,0.17973714,153.97799,0.59254235,14.540515,259.85988,7.4055729,178.19407,3.7819865e-22,-164.20701,-0.63286167,19.221691,259.46746,-8.3090372,177.50471,5.0806858e-26,72.550397,0.44327401,14.540515,163.66941,7.4055729,118.17117,5.891401e-12,-82.24372,-0.50305499,19.221691,163.48853,-8.3090372,117.63544,1.6323865e-15,-0.39339846,-0.0024036163,0.50772733,163.66941,0.59359692,118.17117,0.97178729,-6.0028568,-0.042293639,24.083723,141.93285,-20.227582,89.342678,0.57510911,8.5604764,0.053357444,0.0011353028,160.4364,0.0035620281,118.01833,0.4008939,47.877913,0.298423,4.3090216,160.4364,-0.910798,118.01833,1.5493334e-06,8905.0701,275692.94,1.2292646,169.30996,1,1
0.78318926,0.053131338,2.1341149,14.740627,56.803336,7.6676036,0.43402355,-1.431728,-0.079814246,2.1305144,17.938252,56.808309,-7.7498937,0.23840837,-0.05401978,-0.10679173,2.1341149,0.50584237,56.803336,0.61125281,0.11506298,-1.8587533,-0.079321529,1.8254174,23.43315,57.107736,-19.186338,0.29257724,0.00045472826,0.3862608,14.740627,0.0011772571,7.6676036,0.0036269675,3.3273318e-09,-0.00019236159,-0.16339812,0.50584237,0.0011772571,0.61125281,0.0036269675,0.015498183,-2.8180296,-0.62733067,17.938252,4.492096,-7.7498937,-0.7287,1.8066247e-25,-12.550618,-0.078814693,2.1010663,159.24211,56.67399,115.85746,0.21428927,125.8322,0.46548585,14.740627,270.32444,7.6676036,185.15422,3.5562041e-13,-185.51277,-0.68753059,17.938252,269.82475,-7.7498937,184.61585,3.9554483e-32,65.555855,0.4019063,14.740627,163.11228,7.6676036,117.03021,6.5736425e-10,-90.395035,-0.55502688,17.938252,162.86605,-7.7498937,116.59736,3.5594699e-19,-17.029178,-0.10440156,0.50584237,163.11228,0.61125281,117.03021,0.12346952,-7.0470225,-0.050100851,23.43315,140.65674,-19.186338,86.172516,0.50660281,10.512483,0.066015719,0.001144818,159.24211,0.0035622815,115.85746,0.29847757,48.104541,0.30208429,4.3580304,159.24211,-0.937264,115.85746,1.1353019e-06,8905.7038,275660.87,1.2289502,174.96322,1,2
-0.24958721,-0.022888022,2.1541284,10.904709,56.804424,6.7045895,0.73684162,-0.95735987,-0.05652579,2.1457141,16.936691,56.811332,-7.291687,0.40410967,-0.035636375,-0.069679697,2.1541284,0.51143125,56.804424,0.56755808,0.30576963,-0.99945935,-0.043329059,1.8307051,23.066722,57.113306,-18.119369,0.56577915,0.00042717118,0.36177979,10.904709,0.0011807492,6.7045895,0.0035949578,3.8350856e-08,-0.00025131107,-0.21284035,0.51143125,0.0011807492,0.56755808,0.0035949578,0.0015734805,-2.9959012,-0.66295223,16.936691,4.5190302,-7.291687,-0.84742727,3.1806319e-29,-11.86209,-0.072718386,2.1132776,163.12368,56.675566,118.02305,0.25198814,129.32358,0.45912934,10.904709,281.67136,6.7045895,196.54016,9.1480694e-13,-181.83913,-0.64767313,16.936691,280.75756,-7.291687,195.16055,1.4934857e-27,85.153849,0.50972403,10.904709,167.05873,6.7045895,119.06791,8.1263502e-16,-98.127027,-0.58898618,16.936691,166.60327,-7.291687,118.10569,6.1788974e-22,-12.486644,-0.074744036,0.51143125,167.05873,0.56755808,119.06791,0.27186598,-1.1092903,-0.0078668798,23.066722,141.00765,-18.119369,87.339852,0.91699522,9.6787219,0.059333643,0.0011434852,163.12368,0.003529658,118.02305,0.35016511,49.179646,0.30148687,4.3724443,163.12368,-1.05175,118.02305,1.1947344e-06,8824.1451,275552.3,1.2282877,184.55449,1,3
-0.52469759,-0.033384121,2.1584389,15.716981,56.804151,8.0622265,0.62398283,-1.3518714,-0.086869546,2.1499419,15.562087,56.810923,-6.9432283,0.19929201,0.031780747,0.062239513,2.1584389,0.51062011,56.804151,0.59826514,0.36042306,-1.2104838,-0.052633152,1.832062,22.998505,57.11068,-17.629421,0.48533331,0.00043404657,0.36841576,15.716981,0.0011781433,8.0622265,0.0035748542,2.0612226e-08,-0.0001963219,-0.16663668,0.51062011,0.0011781433,0.59826514,0.0035748542,0.013760145,-3.0264713,-0.66989369,15.562087,4.5178382,-6.9432283,-0.962525,5.1305616e-30,-12.569221,-0.076988361,2.1165578,163.26131,56.674004,115.35581,0.22513231,84.946583,0.31146331,15.716981,272.73384,8.0622265,194.66248,2.7396244e-06,-170.7863,-0.62821636,15.562087,271.85905,-6.9432283,193.30598,1.4770236e-25,52.329854,0.31302677,15.716981,167.17374,8.0622265,116.17795,2.4263037e-06,-89.307084,-0.53577526,15.562087,166.68758,-6.9432283,115.26813,9.5842157e-18,-20.005439,-0.11966855,0.51062011,167.17374,0.59826514,116.17795,0.077889022,-9.7094286,-0.065778382,22.998505,147.6082,-17.629421,86.645018,0.3830145,4.2597762,0.026091767,0.0011404839,163.26131,0.0035081482,115.35581,0.68140292,42.129674,0.25805056,4.3704621,163.26131,-1.170612,115.35581,3.6299957e-05,8770.3705,275442.85,1.228439,183.52068,1,4
0.12223328,0.01005756,2.150043,12.153374,56.798742,6.2341827,0.88181226,-1.5765175,-0.1170871,2.1416977,13.464485,56.805406,-5.7760887,0.081043574,0.00050896081,0.0010218731,2.150043,0.49806657,56.798742,0.56593084,0.98794834,-1.2747287,-0.057396487,1.8248706,22.209176,57.082593,-15.740923,0.44152494,0.00038703393,0.32504783,12.153374,0.0011906984,6.2341827,0.0035819259,7.8294577e-07,-0.00015499969,-0.13017544,0.49806657,0.0011906984,0.56593084,0.0035819259,0.053303564,-2.8464524,-0.63175265,13.464485,4.5056437,-5.7760887,-0.96350224,3.0377587e-26,-8.4905163,-0.049916846,2.1085033,170.0932,56.662722,115.16871,0.42829444,124.8552,0.44551876,12.153374,280.24678,6.2341827,194.38959,3.5724074e-12,-176.15094,-0.6308929,13.464485,279.20894,-5.7760887,193.33502,3.7132191e-26,53.463303,0.30734027,12.153374,173.95476,6.2341827,115.61618,3.2206512e-06,-71.922275,-0.41467229,13.464485,173.44365,-5.7760887,114.69818,1.1160775e-10,-3.3027697,-0.018986372,0.49806657,173.95476,0.56593084,115.61618,0.77895785,-12.472161,-0.076745775,22.209176,162.51267,-15.740923,90.508713,0.3031306,-9.026,-0.053065025,0.0011486497,170.0932,0.0035148899,115.16871,0.39970993,26.376083,0.15506841,4.3447846,170.0932,-1.1683681,115.16871,0.013354307,8787.2248,275453.85,1.2283479,183.20103,1,5
0.96247903,0.074163031,2.1494945,12.977882,56.796649,5.9780256,0.27120921,-1.2913195,-0.095413709,2.1451783,13.533899,56.799843,-6.3003691,0.15558877,-0.046730883,-0.09501844,2.1494945,0.49180857,56.796649,0.52452217,0.15826086,-0.6056136,-0.029440174,1.8237067,20.570992,57.073956,-14.577684,0.6931981,0.00035315088,0.29421517,12.977882,0.001200315,5.9780256,0.0035627858,8.2717241e-06,-0.00019615409,-0.16341885,0.49180857,0.001200315,0.52452217,0.0035627858,0.014787194,-2.8498737,-0.63525149,13.533899,4.4862134,-6.3003691,-1.0357713,1.3330672e-26,-11.030169,-0.059332996,2.1086269,185.90278,56.655969,115.94688,0.34630623,143.32027,0.5015321,12.977882,285.76489,5.9780256,196.13522,1.5247438e-15,-175.35061,-0.61450557,13.533899,285.35236,-6.3003691,195.36515,1.5168582e-24,59.885942,0.31304313,12.977882,191.30253,5.9780256,115.90648,1.9548377e-06,-66.331893,-0.34723768,13.533899,191.02735,-6.3003691,115.38933,1.0219827e-07,24.812118,0.12970094,0.49180857,191.30253,0.52452217,115.90648,0.053637824,-15.21469,-0.082611576,20.570992,184.1714,-14.577684,93.25481,0.26755591,-24.087958,-0.12957287,0.00115445,185.90278,0.0035034402,115.94688,0.03905821,8.4193555,0.045289024,4.3173,185.90278,-1.2314035,115.94688,0.47238932,8758.6004,275386.98,1.2284205,184.6486,1,6
0.083369115,0.0051865594,2.1528599,16.074069,56.790894,7.4219706,0.93874903,-1.0537522,-0.061379003,2.1485394,17.167958,56.794101,-6.4366581,0.3616143,-0.020125937,-0.040031304,2.1528599,0.50275497,56.790894,0.52826938,0.5529645,0.68001142,0.032306563,1.8366156,21.048708,57.065684,-15.150656,0.66505145,0.00034590903,0.2957637,16.074069,0.0011695452,7.4219706,0.0035500023,7.3740445e-06,-6.6720835e-05,-0.057048529,0.50275497,0.0011695452,0.52826938,0.0035500023,0.39761155,-2.2819505,-0.51670433,17.167958,4.4163564,-6.4366581,-1.0537601,1.2761322e-16,-13.994022,-0.079496782,2.1104211,176.03256,56.64964,114.64326,0.20668971,127.66978,0.45692193,16.074069,279.41268,7.4219706,189.72274,7.5181241e-13,-133.94072,-0.48005899,17.167958,279.00887,-6.4366581,188.97053,2.954182e-14,57.863626,0.31964884,16.074069,181.02248,7.4219706,114.52002,1.1504429e-06,-78.578475,-0.43467273,17.167958,180.77618,-6.4366581,114.00785,1.0800093e-11,-9.5682475,-0.052856681,0.50275497,181.02248,0.52826938,114.52002,0.43324616,-22.060982,-0.14148282,21.048708,155.92693,-15.150656,88.063137,0.056760385,-16.203289,-0.092047113,0.001125563,176.03256,0.0034899565,114.64326,0.14350541,21.974601,0.1248326,4.2513399,176.03256,-1.2533091,114.64326,0.046870122,8724.8912,275354.72,1.2291338,178.71352,1,7
-0.37151481,-0.027451877,2.1761136,13.533312,56.779493,7.7002019,0.68484275,-1.0888909,-0.070644886,2.1717314,15.413584,56.782764,-5.5057645,0.29466033,-0.006456764,-0.013026417,2.1761136,0.4956669,56.779493,0.64022077,0.84730231,1.6228845,0.088898707,1.8497991,18.255434,57.056536,-7.5688773,0.23401436,0.00039835221,0.34192149,13.533312,0.00116504,7.7002019,0.0035527444,1.8666592e-07,-9.1672866e-05,-0.078686453,0.4956669,0.00116504,0.64022077,0.0035527444,0.2440466,-2.3596002,-0.54368419,15.413584,4.3400199,-5.5057645,-1.0470766,1.782302e-18,-9.1213381,-0.05121475,2.128895,178.09982,56.63602,115.20141,0.41729736,188.92609,0.66853434,13.533312,282.59744,7.7002019,184.90039,5.4628493e-30,-202.23283,-0.71669263,15.413584,282.17513,-5.5057645,184.15649,2.7391454e-36,79.779938,0.43530294,13.533312,183.27452,7.7002019,114.74348,1.2402679e-11,-73.316907,-0.40059366,15.413584,183.02064,-5.5057645,114.22799,5.7745499e-10,25.317499,0.13813977,0.4956669,183.27452,0.64022077,114.74348,0.040189422,-32.864402,-0.20038029,18.255434,164.01016,-7.5688773,91.494278,0.0068376163,-30.496539,-0.17123284,0.0011215962,178.09982,0.0034926108,115.20141,0.0063270539,4.9629564,0.02786615,4.1786188,178.09982,-1.2432213,115.20141,0.6591196,8731.5271,275344.24,1.2298527,174.18425,1,8
