SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.2388724,0.10913746,7.0318582,11.351487,24.771763,16.915712,0.036886488,2.498049,0.14782402,7.0318582,16.898803,24.771763,-10.57644,0.0045976317,0.017720985,0.11461767,7.0318582,0.15460955,24.771763,0.32750625,0.028343814,-7.434121,-0.30916977,1.6393837,24.045433,27.153227,-10.665741,0.00010083866,9.2587189e-05,0.10791268,11.108937,0.00085798252,12.538955,0.0024346172,0.0050058498,0.00026126519,0.30451108,0.14927562,0.00085798252,0.29041803,0.0024346172,5.9829855e-16,-1.3190639,-0.3614617,15.887504,3.6492494,-9.7222477,-3.5864083,2.9091355e-22,-19.10493,-0.039762108,7.0318582,480.48081,24.771763,672.12991,0.44821648,22.845464,0.20241899,11.108937,112.86225,12.538955,95.60448,1.13133e-07,-26.911174,-0.23844264,15.887504,112.86225,-9.7222477,95.60448,3.5153708e-10,-15.969414,-0.031334129,11.108937,509.64919,12.538955,714.17474,0.4163469,-26.94289,-0.05286556,15.887504,509.64919,-9.7222477,714.17474,0.17009416,-209.83265,-0.41171978,0.14927562,509.64919,0.29041803,714.17474,5.315471e-29,-324.73072,-0.61104741,22.883622,531.43294,-3.6284722,759.3472,9.8144963e-49,-330.44401,-0.64866941,0.00085734681,509.41821,0.0024346046,713.7046,5.6864799e-82,120.73026,0.23699637,3.6472653,509.41821,-3.5891956,713.7046,4.3866763e-10,6086.5116,285420.81,1.0622809,96.213664,1,daily
1.4749727,0.10891864,7.1810414,13.541967,24.850506,6.901021,0.043508362,2.4370286,0.079908112,7.1810414,30.497887,24.850506,-22.348261,0.13912796,0.026760617,0.062718432,7.1810414,0.42667867,24.850506,0.24003434,0.24598282,-4.9744207,-0.1123426,1.6699849,44.279023,27.185446,-73.581268,0.17401161,0.00010001808,0.10950096,12.073026,0.00091339917,4.0072694,0.0024136785,0.0051936285,0.00010282412,0.11257304,0.38305584,0.00091339917,0.20953721,0.0024136785,0.0040572531,-1.0521943,-0.26706603,28.911216,3.9398285,-20.703829,-4.3506792,4.4568841e-12,-34.072512,-0.067920025,7.1810414,501.65635,24.850506,595.01624,0.20890027,17.028204,0.15194978,12.073026,112.06468,4.0072694,56.153633,0.00010060725,-14.118077,-0.1259815,28.911216,112.06468,-20.703829,56.153633,0.001288358,-24.651958,-0.048576678,12.073026,507.48547,4.0072694,625.78412,0.21615629,-98.603564,-0.1942983,28.911216,507.48547,-20.703829,625.78412,5.9829343e-07,-84.057423,-0.16563513,0.38305584,507.48547,0.20953721,625.78412,2.1946735e-05,-323.65104,-0.61822781,44.435052,523.5142,-62.380522,658.05866,2.5534567e-49,-322.07039,-0.63516131,0.00091238937,507.06866,0.0024147328,624.73477,6.0455549e-75,96.433902,0.19017918,3.9343382,507.06866,-4.3516741,624.73477,1.0007914e-06,6036.832,284596.04,1.0671661,56.617664,1,0
1.2459283,0.069725884,7.1635932,17.868949,24.803486,8.3785801,0.19636633,2.8990041,0.088868104,7.1656988,32.621424,24.826225,-20.453195,0.09887606,0.038053978,0.090755102,7.1635932,0.419304,24.803486,0.24943617,0.092363823,-5.5286994,-0.12161883,1.6664167,45.459239,27.181639,-73.360788,0.14089036,0.00012366612,0.13553301,14.756232,0.0009124428,4.882053,0.0024107684,0.00052542115,9.2983609e-05,0.10190623,0.39688073,0.0009124428,0.22834377,0.0024107684,0.0092712467,-1.1155053,-0.28215333,29.123174,3.9535431,-19.270515,-4.3841457,2.1292751e-13,-38.775529,-0.078545375,7.1656988,493.67044,24.826225,598.96159,0.14484201,9.786493,0.11086057,14.756232,88.277495,4.882053,51.440777,0.0046276407,-10.424011,-0.11816042,29.123174,88.219149,-19.270515,51.390124,0.0025115571,-20.19272,-0.040562176,14.756232,497.82141,4.882053,624.63378,0.30143164,-84.266311,-0.16931739,29.123174,497.68254,-19.270515,625.24357,1.3831189e-05,-115.68356,-0.23237965,0.39688073,497.82141,0.22834377,624.63378,1.9728328e-09,-313.7744,-0.60685248,44.672442,517.05218,-62.767751,657.26149,4.0676238e-47,-314.5733,-0.63269067,0.00091232152,497.1992,0.0024091612,624.4046,1.993252e-74,88.572145,0.17814217,3.9476928,497.1992,-4.3856239,624.4046,4.5681332e-06,6022.9031,284573.43,1.0674452,51.461023,1,1
1.8191006,0.10746682,7.1613861,16.92709,24.868614,7.3913845,0.04513867,3.7315343,0.12642683,7.1613861,29.515367,24.868614,-21.792174,0.018301987,-0.0062706865,-0.01612715,7.1613861,0.38882794,24.868614,0.22382533,0.76434104,-6.8452271,-0.15432152,1.6643106,44.35692,27.178419,-73.001938,0.061107275,6.6680993e-05,0.07303721,13.996858,0.0009129729,4.4436262,0.0024087358,0.061939012,9.7554987e-05,0.1068542,0.36310459,0.0009129729,0.20869893,0.0024087358,0.0062335766,-0.74057117,-0.18672101,29.15149,3.966191,-19.801196,-4.4101575,1.5221122e-06,-34.457199,-0.069554643,7.1613861,495.39754,24.868614,596.92123,0.19551873,7.2793099,0.085909607,13.996858,84.732199,4.4436262,49.780539,0.028030256,-2.2263665,-0.02627533,29.15149,84.732199,-19.801196,49.780539,0.50236036,9.306714,0.018573974,13.996858,501.06207,4.4436262,622.26509,0.63540554,-110.14565,-0.21982437,29.15149,501.06207,-19.801196,622.26509,1.3427466e-08,-100.16543,-0.19990624,0.36310459,501.06207,0.20869893,622.26509,2.5413883e-07,-307.41054,-0.59126093,44.312639,519.92364,-61.787389,652.04638,3.0696881e-44,-315.15966,-0.62978445,0.00091160512,500.42465,0.002408426,621.65873,8.8111078e-74,90.653608,0.18115336,3.9608549,500.42465,-4.4143415,621.65873,3.0174333e-06,6021.065,284539.46,1.0676855,49.703849,1,2
1.8645874,0.1153141,7.155556,16.169639,24.855052,7.2165307,0.03126323,2.0794238,0.070874464,7.155556,29.339535,24.855052,-23.745748,0.18651609,0.034455437,0.091931767,7.155556,0.37479359,24.855052,0.19996952,0.086363761,-8.49616,-0.19275647,1.6646555,44.077172,27.176321,-73.135715,0.018917311,0.00012178207,0.1320319,14.155844,0.00092236855,4.5188327,0.0024133612,0.00071209961,0.00013161563,0.1426931,0.36073437,0.00092236855,0.20003103,0.0024133612,0.0002513113,-1.0054557,-0.25427809,30.07846,3.9541581,-20.853722,-4.4513379,4.1369013e-11,-28.604201,-0.057613801,7.155556,496.48177,24.855052,582.39121,0.28311634,10.598322,0.11574995,14.155844,91.562221,4.5188327,48.12484,0.0030324467,-5.8840461,-0.064262816,30.07846,91.562221,-20.853722,48.12484,0.10059542,-32.911946,-0.065064093,14.155844,505.83886,4.5188327,616.00907,0.096414482,-99.810059,-0.19731592,30.07846,505.83886,-20.853722,616.00907,3.6477045e-07,-97.111192,-0.19198049,0.36073437,505.83886,0.20003103,616.00907,7.5642088e-07,-313.16495,-0.59401502,44.562663,527.20039,-60.958233,650.40205,9.7759376e-45,-321.09566,-0.63610055,0.00092036648,504.78759,0.0024129789,615.56712,8.5770899e-76,88.083597,0.17449636,3.9474333,504.78759,-4.4533562,615.56712,6.8359133e-06,6032.4473,284510.37,1.0677282,48.200464,1,3
2.3835324,0.10613743,7.1716825,22.457038,24.874684,7.7014756,0.048203406,0.42345518,0.014081413,7.1716825,30.071924,24.874684,-22.144422,0.793804,0.011488974,0.028255805,7.1716825,0.40660579,24.874684,0.22932753,0.59989406,-7.5013299,-0.16540496,1.6619387,45.351301,27.184279,-72.075429,0.045271705,0.00012727862,0.13815925,18.250504,0.00092124575,4.9319869,0.0024095048,0.00039901846,0.0001386387,0.15049046,0.37220694,0.00092124575,0.19569557,0.0024095048,0.00011327101,-0.82709815,-0.2104324,29.788864,3.9304696,-19.747998,-4.4714342,5.700465e-08,-26.282247,-0.052532867,7.1716825,500.30102,24.874684,579.58121,0.32920236,6.2380654,0.060415909,18.250504,103.25203,4.9319869,47.030419,0.12299801,-5.9232392,-0.057366805,29.788864,103.25203,-19.747998,47.030419,0.1431008,-36.43338,-0.071628216,18.250504,508.64565,4.9319869,617.20775,0.067366518,-85.451715,-0.16799852,29.788864,508.64565,-19.747998,617.20775,1.5924616e-05,-115.23943,-0.22656132,0.37220694,508.64565,0.19569557,617.20775,4.7780752e-09,-322.92368,-0.61246421,45.131571,527.25315,-60.054687,650.47043,4.3321221e-48,-326.8028,-0.64344964,0.00092004595,507.8918,0.0024084215,616.93834,7.8849727e-78,83.78619,0.16496858,3.9259231,507.8918,-4.4773687,616.93834,2.2047683e-05,6021.0538,284498.35,1.0677045,47.00694,1,4
2.662915,0.14058154,7.1159571,18.942139,24.903713,6.6086631,0.0080769151,2.1254173,0.068216502,7.1159571,31.156937,24.903713,-18.485827,0.20039101,0.0089172241,0.020940199,7.1159571,0.42584238,24.903713,0.26425517,0.69458755,-7.161551,-0.15785638,1.6500175,45.367512,27.170297,-70.503025,0.051319394,8.1917761e-05,0.088958156,15.285753,0.00092085723,4.144469,0.0024184451,0.022279012,0.00012968483,0.14083055,0.3776282,0.00092085723,0.21191971,0.0024184451,0.00028424969,-0.82269911,-0.20898521,30.815987,3.9366379,-17.725701,-4.4815947,6.0035775e-08,-21.895753,-0.043674193,7.1159571,501.34304,24.903713,572.10605,0.41266678,7.4876227,0.077096891,15.285753,97.119646,4.144469,45.723642,0.047720612,-4.1273148,-0.042497218,30.815987,97.119646,-17.725701,45.723642,0.27562668,-17.808881,-0.034839279,15.285753,511.17247,4.144469,610.70307,0.37152955,-103.75886,-0.2029821,30.815987,511.17247,-17.725701,610.70307,1.4431467e-07,-88.500085,-0.17313155,0.3776282,511.17247,0.21191971,610.70307,7.704981e-06,-332.77587,-0.62725457,44.951388,530.52761,-59.430071,646.46581,8.7112369e-52,-328.76569,-0.64450701,0.00091894074,510.10414,0.0024176685,610.57662,4.2756228e-79,83.137201,0.16298084,3.9308086,510.10414,-4.4833597,610.57662,2.4772058e-05,6044.1712,284501.39,1.0676842,45.771498,1,5
1.5695309,0.10516554,7.1254605,14.924384,24.908935,6.9954565,0.048341853,4.079955,0.12895616,7.1254605,31.63831,24.908935,-20.125492,0.01533355,0.040025647,0.098013697,7.1254605,0.40836789,24.908935,0.23532827,0.065854942,-6.1155529,-0.13434494,1.646203,45.521273,27.16731,-70.039301,0.097794394,0.00010111179,0.10886383,13.145059,0.00092879139,4.2514393,0.0024145099,0.0051136481,0.00016109102,0.17344155,0.36685685,0.00092879139,0.20580177,0.0024145099,7.4170776e-06,-0.80904878,-0.20551201,30.088663,3.936747,-18.182305,-4.492297,1.0004061e-07,-14.021927,-0.027791225,7.1254605,504.54514,24.908935,579.29976,0.60278603,13.674824,0.14379579,13.145059,95.098916,4.2514393,45.179204,0.00021017873,-6.1955438,-0.065148417,30.088663,95.098916,-18.182305,45.179204,0.0944657,-37.395242,-0.072528773,13.145059,515.59181,4.2514393,613.73619,0.062572233,-116.60408,-0.2261558,30.088663,515.59181,-18.182305,613.73619,4.2202261e-09,-107.61768,-0.20872652,0.36685685,515.59181,0.20580177,613.73619,6.2382081e-08,-339.37616,-0.63115651,45.060605,537.70524,-59.153228,646.75723,1.3404905e-52,-333.74329,-0.6481695,0.00092758974,514.90126,0.0024134778,613.49559,3.8026267e-80,82.217105,0.15967548,3.9321931,514.90126,-4.4977583,613.49559,3.6737966e-05,6033.6946,284486.32,1.0677578,45.143756,1,6
-0.025501569,-0.0013564481,7.1031781,18.800255,24.869494,6.9033921,0.97965343,3.8339112,0.12498077,7.1031781,30.676009,24.869494,-18.566278,0.018319519,0.070810795,0.16484576,7.1031781,0.42955787,24.869494,0.27020896,0.001803964,-6.0418006,-0.13309886,1.6439236,45.39333,27.163863,-67.64265,0.10097472,9.8603313e-05,0.10658125,15.092903,0.00092514692,4.4875171,0.002412418,0.0060145455,0.00013249368,0.14321367,0.40055483,0.00092514692,0.23572252,0.002412418,0.00021584841,-0.89129514,-0.22812782,29.537086,3.9069988,-18.330783,-4.5191327,2.8251351e-09,-17.269366,-0.033736251,7.0943963,511.89345,24.876405,578.5082,0.52518512,7.8567519,0.078692793,15.092903,99.840807,4.4875171,44.84374,0.042809658,-4.6772541,-0.046847118,29.537086,99.840807,-18.330783,44.84374,0.22834166,-28.70344,-0.055119268,15.092903,520.75146,4.4875171,611.57301,0.15629181,-94.207682,-0.18090719,29.537086,520.75146,-18.330783,611.57301,2.7577302e-06,-109.77535,-0.2108018,0.40055483,520.75146,0.23572252,611.57301,4.269247e-08,-339.28063,-0.6232113,44.779164,544.40706,-58.011574,643.11052,5.8915263e-51,-338.76242,-0.65130972,0.0009233399,520.12493,0.0024110498,610.2687,1.2165363e-81,83.520097,0.16057699,3.90606,520.12493,-4.5336089,610.2687,3.1372542e-05,6027.6246,284431.1,1.0680867,44.772063,1,7
1.6839517,0.10757065,7.0785031,15.654379,24.833196,8.8572809,0.041939512,1.9280984,0.057255855,7.0805592,33.67513,24.854897,-18.30618,0.27927563,-0.014120433,-0.034502618,7.0785031,0.40925686,24.833196,0.24664958,0.51522023,-6.4033927,-0.12302118,1.641644,52.051141,27.160549,-48.77349,0.12978013,5.7305406e-05,0.061911785,15.366584,0.00092559771,5.8437365,0.0024141938,0.11069373,7.920206e-05,0.085568556,0.37833837,0.00092559771,0.21892568,0.0024141938,0.027348731,-0.86265142,-0.21972074,30.665997,3.9261266,-18.337271,-4.5018686,1.0052556e-08,-17.216806,-0.033745089,7.0805592,510.20183,24.854897,576.50777,0.52390999,16.617172,0.15743372,15.366584,105.55027,5.8437365,46.955705,4.5492412e-05,-11.333819,-0.10745007,30.665997,105.47987,-18.337271,46.902347,0.0055067359,-0.36148916,-0.00069110398,15.366584,523.06044,5.8437365,611.57319,0.98580767,-83.613868,-0.15986269,30.665997,523.03555,-18.337271,610.8125,3.4054796e-05,-85.338454,-0.16315218,0.37833837,523.06044,0.21892568,611.57319,2.360437e-05,-313.85712,-0.56696615,45.719838,553.57294,-41.324803,646.03935,1.4561933e-40,-337.08057,-0.64506981,0.00092388997,522.54898,0.0024149761,609.89844,7.3537499e-80,89.953327,0.17214334,3.9223056,522.54898,-4.508128,609.89844,7.6671388e-06,6037.4403,284438.21,1.0681356,46.877902,1,8
