SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.40127081,0.026819485,3.5440445,14.961913,23.689193,16.174038,0.61704573,3.356613,0.11408063,3.5440445,29.423163,23.689193,8.900264,0.032876495,0.032660351,0.17492286,3.5440445,0.18671288,23.689193,0.37034185,0.0010155896,,,,,,,,0.0001723377,0.15988695,15.296112,0.0010778722,16.903122,0.00358753,0.0014934875,-5.5593119e-05,-0.051576725,0.18582895,0.0010778722,0.37794766,0.00358753,0.30840047,-0.51557556,-0.12114266,33.219306,4.2559373,11.507784,-0.76066551,0.016409106,-36.092154,-0.15862145,3.5440445,227.53641,23.689193,203.30669,0.0029224276,56.668748,0.20450933,15.296112,277.09614,16.903122,323.0468,4.5163184e-05,17.700893,0.063879968,33.219306,277.09614,11.507784,323.0468,0.2069455,29.677704,0.12774564,15.296112,232.31872,16.903122,202.21035,0.011356371,16.495554,0.07100398,33.219306,232.31872,11.507784,202.21035,0.16059027,-37.22863,-0.16024808,0.18582895,232.31872,0.37794766,202.21035,0.0014565016,,,,,,,,-34.228034,-0.14733222,0.0010778722,232.31872,0.00358753,202.21035,0.0034591485,67.512568,0.29060321,4.2559373,232.31872,-0.76066551,202.21035,4.5659536e-09,8968.825,279294.74,1.1634788,323.0468,1,daily
-1.4353683,-0.064698748,3.5853447,22.185412,23.715738,9.4060097,0.23067546,3.63645,0.071385603,3.5853447,50.940944,23.715738,-6.9167934,0.18590032,0.0049238007,0.010881225,3.5853447,0.45250427,23.715738,0.3346047,0.8403997,,,,,,,,9.3630529e-06,0.0082627421,23.466123,0.0011331653,10.021966,0.0035874998,0.87112097,-7.7975402e-05,-0.068812026,0.45377816,0.0011331653,0.3478348,0.0035874998,0.17616098,-0.41550483,-0.092970343,50.740643,4.4692191,-6.9509587,-0.83512725,0.066991682,-46.135332,-0.16760052,3.5853447,275.26962,23.715738,196.2788,0.0017849004,10.934431,0.034482369,23.466123,317.10207,10.021966,244.63492,0.4982576,24.377616,0.076541084,50.740643,318.4906,-6.9509587,246.34809,0.13181594,46.391817,0.16921046,23.466123,274.16636,10.021966,193.79114,0.00081848064,-11.509273,-0.042006321,50.740643,273.98906,-6.9509587,193.29296,0.4086948,4.0329365,0.014709815,0.45377816,274.16636,0.3478348,193.79114,0.77271107,,,,,,,,-56.086879,-0.20470481,0.0011379454,273.98906,0.0035935343,193.29296,4.7505716e-05,76.029459,0.27749085,4.4692191,273.98906,-0.83512725,193.29296,2.6211512e-08,8983.8358,279212.2,1.1704102,246.34809,1,0
0.39774294,0.023106151,3.5951363,17.213725,23.709942,8.1170111,0.66843191,6.0669806,0.11355694,3.5951363,53.426768,23.709942,-5.2307037,0.034731774,0.018096087,0.039784515,3.5951363,0.45485253,23.709942,0.32776759,0.46072786,,,,,,,,0.00015497099,0.13691276,18.254204,0.0011318958,9.187892,0.0035793198,0.0068428263,-8.533046e-05,-0.075387203,0.45714856,0.0011318958,0.34481842,0.0035793198,0.13775697,-0.17597089,-0.039904164,56.904677,4.4098377,-4.3548523,-0.98722436,0.43196848,-37.033716,-0.14957899,3.5951363,247.58634,23.709942,180.23674,0.005304064,28.611196,0.09809439,18.254204,291.67005,9.187892,241.59571,0.053216221,41.410518,0.14143359,56.904677,292.79126,-4.3548523,243.09272,0.0051387788,-5.5806044,-0.022320607,18.254204,250.02028,9.187892,178.46497,0.66075636,-3.0517206,-0.012213615,56.904677,249.86219,-4.3548523,178.00737,0.80999357,-15.368033,-0.061467145,0.45714856,250.02028,0.34481842,178.46497,0.22644616,,,,,,,,-53.289443,-0.21327534,0.0011366213,249.86219,0.0035853141,178.00737,2.1636512e-05,59.932787,0.23986337,4.4098377,249.86219,-0.98722436,178.00737,1.6525042e-06,8963.2853,279063.95,1.1708251,243.09272,1,1
-1.065298,-0.043379916,3.5946249,24.557402,23.721172,10.10102,0.42185909,9.0961001,0.17612588,3.5943432,51.645448,23.711053,-4.2512251,0.0010017642,0.026065619,0.057609834,3.5946249,0.45245087,23.721172,0.35225621,0.2859456,,,,,,,,0.00016314418,0.14457157,24.437283,0.0011284666,10.68709,0.0035609393,0.0043234102,-1.2230857e-05,-0.010838475,0.4527847,0.0011284666,0.35969011,0.0035609393,0.83147467,-0.69324361,-0.15925155,55.988964,4.3531359,-2.802561,-1.1210436,0.0016048206,-31.356168,-0.13095413,3.5943432,239.4439,23.711053,169.73499,0.014785996,44.423271,0.14509649,24.437283,306.16365,10.68709,253.32024,0.0041830305,16.458186,0.053670979,55.988964,306.64963,-2.802561,254.0211,0.29038522,-4.8411414,-0.019817758,24.437283,244.283,10.68709,169.05964,0.69717014,-23.147999,-0.094893846,55.988964,243.93572,-2.802561,168.22002,0.061176896,-34.361261,-0.1406617,0.4527847,244.283,0.35969011,169.05964,0.0055102176,,,,,,,,-57.973036,-0.23765701,0.0011345956,243.93572,0.0035709595,168.22002,2.0700827e-06,49.876996,0.20446778,4.3531359,243.93572,-1.1210436,168.22002,4.7416038e-05,8927.3988,278922.47,1.1702992,254.0211,1,2
0.67380837,0.035642301,3.5871362,18.904738,23.72263,9.6047516,0.50874318,3.9556704,0.078544914,3.5871935,50.361891,23.71222,-8.2411112,0.14426072,0.034379463,0.073782872,3.5871362,0.46595452,23.72263,0.38219819,0.17089261,,,,,,,,9.6564619e-05,0.085355984,25.646618,0.0011313163,11.16158,0.0035641324,0.093160134,-8.55371e-05,-0.075608473,0.46722079,0.0011313163,0.39360775,0.0035641324,0.13711053,-0.67152523,-0.15521372,49.58317,4.3264554,-7.1359696,-1.2036282,0.0021118356,-28.419279,-0.12088929,3.5871935,235.08518,23.71222,160.98794,0.024318629,62.367578,0.19931164,25.646618,312.91489,11.16158,260.16856,7.7161547e-05,25.730443,0.082216508,49.58317,312.95956,-7.1359696,260.54476,0.10497907,-18.793897,-0.078388744,25.646618,239.7525,11.16158,159.31432,0.12320242,-7.8547253,-0.032750706,49.58317,239.83377,-7.1359696,159.73595,0.51901041,-12.50029,-0.05213831,0.46722079,239.7525,0.39360775,159.31432,0.30565162,,,,,,,,-58.540921,-0.24408957,0.001134061,239.83377,0.0035670673,159.73595,1.066783e-06,45.64976,0.19033917,4.3264554,239.83377,-1.2036282,159.73595,0.00015591252,8917.6683,278843.1,1.1698694,260.54476,1,3
-0.14194786,-0.0075805578,3.5856162,18.725252,23.724196,9.26739,0.88858994,5.1768489,0.098714255,3.5844321,52.442769,23.704685,-7.7070105,0.066649783,0.055278906,0.12183955,3.5856162,0.45370247,23.724196,0.36353224,0.023822004,,,,,,,,0.00016516351,0.14586282,19.138927,0.0011323208,10.106616,0.0035513971,0.0040810236,-8.2242763e-05,-0.072632032,0.45689414,0.0011323208,0.36953803,0.0035513971,0.15437507,-0.29366311,-0.067945707,53.77548,4.322026,-7.2126995,-1.2805474,0.1805508,-32.040273,-0.13522636,3.5844321,236.93808,23.704685,157.0442,0.011808083,65.297322,0.20708892,19.138927,315.31055,10.106616,258.28463,4.1317376e-05,13.25611,0.041842028,53.77548,316.81328,-7.2126995,261.10442,0.40992683,-5.8880535,-0.024290647,19.138927,242.40003,10.106616,156.99718,0.63424684,-1.9847306,-0.0081939715,53.77548,242.21839,-7.2126995,157.6198,0.87185613,-37.738006,-0.15568483,0.45689414,242.40003,0.36953803,156.99718,0.0021583851,,,,,,,,-59.192277,-0.24437565,0.0011310652,242.21839,0.0035519594,157.6198,1.0353416e-06,45.872987,0.18938689,4.322026,242.21839,-1.2805474,157.6198,0.00016843314,8879.8985,278774.05,1.1698499,261.10442,1,4
0.26976442,0.0083572252,3.5804006,32.279186,23.725025,10.988155,0.87726128,2.8068039,0.064572147,3.5793508,43.467719,23.705393,-8.1281566,0.23091099,0.031793407,0.06737406,3.5804006,0.47189389,23.725025,0.41831104,0.2125915,,,,,,,,0.00011776766,0.10335669,33.496707,0.0011394295,12.100573,0.0035456971,0.042140138,-2.7972048e-05,-0.02454917,0.47296788,0.0011394295,0.43229619,0.0035456971,0.63019714,-0.34090341,-0.078912342,44.050253,4.3200265,-7.7104557,-1.3650526,0.11975122,-36.255365,-0.15489107,3.5793508,234.07008,23.705393,152.30438,0.0038749767,60.818057,0.1884656,33.496707,322.70109,12.100573,261.21364,0.00019221689,39.260625,0.12081965,44.050253,324.95232,-7.7104557,263.59563,0.016982394,-14.165374,-0.058836904,33.496707,240.75662,12.100573,151.74486,0.24820732,-12.303696,-0.051071453,44.050253,240.91141,-7.7104557,152.67853,0.31441576,-19.657329,-0.081648134,0.47296788,240.75662,0.43229619,151.74486,0.10878226,,,,,,,,-60.180837,-0.24980484,0.001136554,240.91141,0.0035419376,152.67853,5.8272969e-07,42.95329,0.17829496,4.3200265,240.91141,-1.3650526,152.67853,0.00040297,8854.8441,278692.19,1.1697706,263.59563,1,5
2.3397214,0.1206859,3.5781299,19.386866,23.715568,8.7278749,0.024980425,1.3028281,0.027605649,3.5782412,47.194258,23.705101,-8.791527,0.60883713,0.0087315886,0.019142988,3.5781299,0.45612465,23.715568,0.37316403,0.72310863,,,,,,,,0.00013419408,0.11820677,20.652942,0.0011352486,9.2400574,0.0035262427,0.019855782,5.9166915e-06,0.0052118023,0.45598394,0.0011352486,0.38198152,0.0035262427,0.91849469,-0.51941345,-0.12036919,51.855363,4.3151694,-5.9487275,-1.4618538,0.017400999,-35.104411,-0.15264382,3.5782412,229.97597,23.705101,149.50568,0.0044305683,43.24179,0.13245805,20.652942,326.4565,9.2400574,262.91778,0.0089955703,19.010462,0.058302033,51.855363,326.0686,-5.9487275,262.88522,0.25069851,-26.910798,-0.11352654,20.652942,237.04412,9.2400574,148.62643,0.025336538,-12.097989,-0.05089313,51.855363,237.71359,-5.9487275,150.10394,0.31611064,-19.752788,-0.083329583,0.45598394,237.04412,0.38198152,148.62643,0.10122199,,,,,,,,-59.953324,-0.25220823,0.0011341312,237.71359,0.0035221494,150.10394,4.4989054e-07,41.141658,0.17307239,4.3151694,237.71359,-1.4618538,150.10394,0.00059721579,8805.3735,278589.29,1.1700866,262.88522,1,6
0.48572782,0.020891894,3.5781707,23.249583,23.715221,9.4464617,0.69940878,0.97537357,0.021102323,3.5782812,46.221148,23.704725,-6.3034418,0.69610828,0.032456794,0.067817586,3.5781707,0.47858964,23.715221,0.40649965,0.20958931,,,,,,,,8.7659504e-05,0.077327085,23.727456,0.0011336197,10.838389,0.0035121869,0.12837783,-6.9894252e-05,-0.061655822,0.47573336,0.0011336197,0.41376233,0.0035121869,0.22562207,-0.50421359,-0.11710871,50.40698,4.3055175,-3.9829224,-1.5335,0.020708727,-31.870389,-0.14196075,3.5782812,224.50142,23.704725,146.37469,0.0082754327,79.541063,0.24713744,23.727456,321.84951,10.838389,259.275,8.2650918e-07,19.60474,0.061003612,50.40698,321.37015,-3.9829224,259.12716,0.22937223,-15.017634,-0.064587485,23.727456,232.51615,10.838389,146.33454,0.2042817,-11.932461,-0.051107287,50.40698,233.47867,-3.9829224,147.77337,0.3140759,-42.855654,-0.18431259,0.47573336,232.51615,0.41376233,146.33454,0.00026209461,,,,,,,,-59.600601,-0.25527215,0.0011326521,233.47867,0.0035081313,147.77337,3.2225546e-07,37.99952,0.16275371,4.3055175,233.47867,-1.5335,147.77337,0.0012582216,8770.3284,278504.85,1.1706994,259.12716,1,7
2.0166287,0.078962211,3.5716429,25.539162,23.703166,12.335275,0.14388293,4.1398348,0.08413923,3.5717842,49.202195,23.692658,-6.633722,0.11878063,0.042007442,0.090267696,3.5716429,0.46536517,23.703166,0.41112314,0.094615753,,,,,,,,0.00011665779,0.10313691,24.677592,0.0011310964,13.247015,0.0034970828,0.042581768,-4.3880701e-05,-0.038794838,0.46617661,0.0011310964,0.41639937,0.0034970828,0.44665582,-0.64021607,-0.14822052,62.96308,4.3193486,-2.8757998,-1.5167141,0.0033468117,-36.193652,-0.15748821,3.5684679,229.81817,23.686458,154.93707,0.0033119087,61.780956,0.19340208,24.677592,319.44308,13.247015,255.9544,0.00012889146,32.619205,0.1023513,62.96308,318.6985,-2.8757998,255.12589,0.043373428,3.8596341,0.016356002,24.677592,235.97662,13.247015,153.72481,0.74840663,-20.600973,-0.086609174,62.96308,237.86133,-2.8757998,156.47138,0.087615016,-23.536949,-0.099742717,0.46617661,235.97662,0.41639937,153.72481,0.049912292,,,,,,,,-57.930778,-0.2437262,0.0011320459,237.68794,0.0034978648,156.0712,1.073339e-06,43.070686,0.18120687,4.3227563,237.68794,-1.5026547,156.0712,0.00031636041,8744.6619,278519,1.1712705,254.53305,1,8
