SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
2.5303204,0.27883527,4.2811417,9.0746068,47.630269,12.772581,0.00046216609,-2.3662323,-0.18743391,4.2811417,12.624355,47.630269,-9.1017285,0.019927416,-0.047108963,-0.18496191,4.2811417,0.25469548,47.630269,0.43659976,0.021649155,4.545912,0.30959777,4.5867484,14.683284,47.52523,0.32723127,0.00035662408,0.00048448675,0.40792102,8.7801105,0.0011876974,12.370894,0.0038302167,1.5878815e-08,-0.00032778296,-0.27598187,0.24136597,0.0011876974,0.42755922,0.0038302167,0.00019239559,-2.8074302,-0.63478925,12.804372,4.4226177,-7.935785,0.55917626,1.8233173e-21,56.698271,0.37313846,4.1984525,151.94968,47.70287,209.61279,4.6248004e-07,175.61871,0.55924789,8.7801105,314.02659,12.370894,372.71103,4.9135732e-16,-241.17292,-0.76800157,12.804372,314.02659,-7.935785,372.71103,6.8026882e-36,62.12535,0.40019225,8.7801105,155.23876,12.370894,195.61503,3.1181728e-08,-40.296117,-0.2595751,12.804372,155.23876,-7.935785,195.61503,0.00046712193,1.7889073,0.011523587,0.24136597,155.23876,0.42755922,195.61503,0.87866189,-25.617609,-0.16851342,14.331346,152.02118,0.13232139,185.99561,0.048185257,-6.4648125,-0.04286628,0.0011509544,150.81347,0.0037575333,191.78147,0.53282879,26.654474,0.17673801,4.3091278,150.81347,0.29901538,191.78147,0.0095770286,9393.8333,277081.66,1.2086729,346.15593,1,daily
0.43003799,0.044379751,4.3825921,9.6899596,47.60861,7.5265865,0.59479841,-2.8652319,-0.1988771,4.3711271,14.407048,47.623177,-12.564702,0.015741888,-0.045169207,-0.092203402,4.3825921,0.48988656,47.60861,0.34281324,0.26834523,-1.4219044,-0.057688595,4.6149572,24.647929,47.516207,-20.886914,0.51775598,0.00026346375,0.22031747,9.2059283,0.0011958369,7.309776,0.0037412148,0.0037848362,-0.00031534002,-0.26369819,0.47933693,0.0011958369,0.34094432,0.0037412148,0.00049232394,-3.1425025,-0.68187702,14.327681,4.6086059,-11.72331,-0.11159593,7.2878662e-25,44.763141,0.24609174,4.2762371,181.89615,47.659443,156.42733,0.0013021922,221.41019,0.66144266,9.2059283,334.7383,7.309776,280.29518,7.05654e-23,-226.27822,-0.67673777,14.327681,334.36617,-11.72331,278.75829,2.2101776e-24,74.397993,0.40632996,9.2059283,183.09748,7.309776,148.21062,3.5026112e-08,-72.78446,-0.3981018,14.327681,182.82876,-11.72331,147.45688,6.3654129e-08,-5.1735634,-0.028255787,0.47933693,183.09748,0.34094432,148.21062,0.71372678,-39.889359,-0.22780629,24.065753,175.1021,-20.416058,136.99851,0.0074224738,-2.8574037,-0.016775312,0.0011506721,170.33387,0.0036573801,139.46798,0.80769239,38.211152,0.22433092,4.4716164,170.33387,-0.45169953,139.46798,0.00097773384,9143.4501,276307.35,1.218385,258.50229,1,0
0.64672299,0.062499835,4.3615936,10.347595,47.677363,7.5633908,0.45359795,-2.668578,-0.17639475,4.3360767,15.128444,47.69926,-12.775823,0.031986024,-0.059059228,-0.12921951,4.3615936,0.45704577,47.677363,0.29679901,0.12007258,-0.24400768,-0.0097404896,4.5942916,25.050865,47.593973,-19.496779,0.91310525,0.0002980129,0.24188089,9.7650842,0.0012320647,7.2689772,0.0037395651,0.0014362403,-0.00036280098,-0.29446586,0.45059724,0.0012320647,0.30894216,0.0037395651,9.2511764e-05,-3.3109539,-0.70479829,14.975541,4.6977325,-11.426579,-0.24166474,2.7380368e-27,40.085526,0.23408587,4.2614923,171.24282,47.724751,146.40247,0.0021897894,236.68168,0.69425745,9.7650842,340.91342,7.2689772,290.57153,6.3749521e-26,-255.00222,-0.7496546,14.975541,340.15961,-11.426579,287.45039,1.8012402e-32,82.874792,0.47846018,9.7650842,173.21147,7.2689772,141.45161,3.6227632e-11,-72.526996,-0.42021348,14.975541,172.5956,-11.426579,140.21269,8.6294367e-09,0.5574143,0.0032181142,0.45059724,173.21147,0.30894216,141.45161,0.96667906,-37.707149,-0.24597051,24.267778,153.29947,-18.960227,124.47099,0.0036371197,-2.0486181,-0.012696996,0.0011799758,161.34668,0.0036535784,131.9374,0.85349524,33.084331,0.2050512,4.5278502,161.34668,-0.55168224,131.9374,0.002576872,9133.9459,276213.09,1.2181149,262.97661,1,1
1.1592395,0.10765385,4.3547645,10.768212,47.644641,7.5033602,0.19744907,-2.6567227,-0.1935713,4.3413601,13.724776,47.714767,-11.39911,0.018409852,-0.079934593,-0.16986858,4.3547645,0.47056726,47.644641,0.32580774,0.041086634,1.0332811,0.045995195,4.5921309,22.46498,47.582445,-16.400941,0.60617263,0.00033414652,0.265123,10.109214,0.0012603453,7.2443881,0.0037286008,0.00047581366,-0.00044477537,-0.35289962,0.462756,0.0012603453,0.3311041,0.0037286008,2.3577644e-06,-3.2588352,-0.68661686,14.109233,4.7462207,-10.495324,-0.33882081,1.8607724e-25,39.229155,0.24293024,4.2589402,161.48321,47.718154,135.32326,0.0014602643,234.35554,0.67200351,10.109214,348.74154,7.2443881,301.5251,1.1044693e-23,-244.58223,-0.70411748,14.109233,347.35998,-10.495324,297.06234,3.2251904e-27,79.080286,0.48476522,10.109214,163.13111,7.2443881,130.34117,2.1030056e-11,-47.660342,-0.29395501,14.109233,162.13482,-10.495324,129.33798,8.6575674e-05,12.554798,0.076961399,0.462756,163.13111,0.3311041,130.34117,0.31850692,-20.52595,-0.14721134,21.737603,139.43185,-16.111573,112.11326,0.084886354,0.20037555,0.001318175,0.0011990335,152.00982,0.0036471311,122.08275,0.98470525,30.356459,0.19970064,4.5844219,152.00982,-0.67327804,122.08275,0.0033476591,9117.8277,276090.5,1.217801,269.78229,1,2
1.4265244,0.14078319,4.3694055,10.132775,47.634428,7.346185,0.091218604,-2.8981479,-0.20234036,4.3566676,14.323133,47.704426,-11.466263,0.013652793,-0.041034515,-0.085564747,4.3694055,0.47957268,47.634428,0.34206263,0.30616772,2.1767309,0.11384643,4.6050714,19.119888,47.575832,-14.550115,0.20070183,0.00035406563,0.27629608,9.5622997,0.0012814718,7.088692,0.0037144267,0.0002651771,-0.00041029942,-0.32017827,0.46897377,0.0012814718,0.34540637,0.0037144267,2.077367e-05,-3.2412349,-0.68096455,14.867679,4.7597704,-10.535434,-0.4398237,6.4910072e-25,35.664079,0.21862626,4.2630916,163.12806,47.694266,132.2664,0.0042945204,227.7516,0.64846762,9.5622997,351.21507,7.088692,303.02502,1.1725783e-21,-254.24532,-0.72722103,14.867679,349.61217,-10.535434,299.0142,9.4625698e-30,74.563397,0.45459909,9.5622997,164.02012,7.088692,127.31716,4.7453515e-10,-49.748097,-0.3051033,14.867679,163.05329,-10.535434,125.7471,4.4713855e-05,18.342609,0.11183146,0.46897377,164.02012,0.34540637,127.31716,0.14652819,-30.386682,-0.2199259,18.469707,138.16782,-14.265924,107.6619,0.0095459094,-8.5860242,-0.055988686,0.0012208659,153.35284,0.003638607,120.34874,0.41513741,23.096079,0.15060744,4.6098156,153.35284,-0.74567757,120.34874,0.027603676,9096.5175,276022.71,1.2178748,269.81656,1,3
1.0023886,0.1269799,4.3987684,7.8940729,47.617326,6.8363514,0.1293615,-2.6336565,-0.18400894,4.2608515,14.312655,47.764452,-11.267786,0.025679122,-0.090038893,-0.18260436,4.2896125,0.49308184,47.703811,0.35999217,0.029046633,1.9994818,0.11920258,4.6193671,16.773813,47.553723,-13.213603,0.18018774,0.00038973561,0.30247853,7.4820166,0.0012884736,6.6171242,0.0037055154,6.4129389e-05,-0.00042582986,-0.33154338,0.4812958,0.0012843866,0.36268711,0.0037164846,1.1333805e-05,-3.1410079,-0.66649413,14.553466,4.7127316,-10.225688,-0.48959593,1.8892727e-23,37.287933,0.22937912,4.2704371,162.56028,47.696641,126.30793,0.0026219932,224.43034,0.65270097,7.4820166,343.84864,6.6171242,302.05803,6.9149832e-22,-254.27851,-0.74194498,14.553466,342.71882,-10.225688,297.90173,2.4954015e-31,65.625507,0.39988038,7.4820166,164.11285,6.6171242,118.45843,7.1921326e-08,-48.462676,-0.29732827,14.553466,162.99384,-10.225688,117.98653,7.4653637e-05,-5.8946304,-0.035857945,0.4812958,164.38841,0.36268711,119.10354,0.64447542,-35.875242,-0.27893633,16.240556,128.61445,-13.00427,99.307293,0.00092313107,-11.277738,-0.073809662,0.0012240723,152.79487,0.0036314476,115.23715,0.28242613,20.983175,0.13732906,4.60182,152.79487,-0.81826168,115.23715,0.044781374,9078.6191,275957.97,1.2180348,267.96133,1,4
1.1923182,0.12101542,4.3117026,9.8526136,47.6955,7.2489386,0.1514019,-2.629263,-0.19159419,4.2962905,13.723083,47.759531,-11.02637,0.02096795,-0.077992429,-0.17727343,4.3117026,0.43995554,47.6955,0.29609985,0.034812623,1.4246276,0.081888135,4.6482247,17.397241,47.536551,-12.66195,0.36006232,0.00031301739,0.24383062,9.2581282,0.0012837493,6.9764078,0.0037000397,0.0014963745,-0.00040097903,-0.31234994,0.43469909,0.0012837493,0.30552731,0.0037000397,3.9663988e-05,-3.09359,-0.6477802,14.065438,4.7756786,-9.8162316,-0.55575588,1.3354938e-21,44.251923,0.26034541,4.2921187,169.9739,47.69517,126.66348,0.00065384544,215.42971,0.60583459,9.2581282,355.59163,6.9764078,312.80272,4.1648936e-18,-249.20034,-0.70422314,14.065438,353.86559,-9.8162316,309.71408,8.8630615e-27,64.493559,0.37560747,9.2581282,171.70468,6.9764078,120.20596,5.6787517e-07,-43.773383,-0.25654807,14.065438,170.62449,-9.8162316,118.58707,0.00073281469,4.3280323,0.025206257,0.43469909,171.70468,0.30552731,120.20596,0.74643668,-31.128509,-0.25302708,16.838003,123.02442,-12.473786,98.042919,0.0028527845,-11.981297,-0.075622799,0.0012239769,158.43498,0.0036196408,114.81796,0.27187363,23.0395,0.14541927,4.6346197,158.43498,-0.87340376,114.81796,0.033911384,9049.1019,275903.24,1.2173808,277.03965,1,5
1.3173316,0.13846047,4.2948584,9.5141351,47.707229,7.1253,0.097919131,-3.0056427,-0.21018126,4.2795162,14.300241,47.769381,-10.809832,0.01061372,-0.10849184,-0.22118831,4.2948584,0.49049535,47.707229,0.40413048,0.0077169424,0.7888495,0.043574989,4.6457502,18.103263,47.538652,-12.679921,0.62527318,0.00034435915,0.26787499,8.9607768,0.0012855219,6.8469966,0.0036834311,0.00042975574,-0.00030490772,-0.23718595,0.47513881,0.0012855219,0.39234731,0.0036834311,0.0019030274,-2.8558241,-0.60754154,14.280075,4.7006235,-9.6802845,-0.61745349,9.8750112e-19,45.129841,0.2889552,4.2881644,156.18283,47.6955,126.2632,0.00013888839,230.17347,0.6470885,8.9607768,355.70631,6.8469966,311.97355,2.0018386e-21,-238.1055,-0.6727386,14.280075,353.93465,-9.6802845,308.67184,5.1602497e-24,57.144386,0.36302779,8.9607768,157.4105,6.8469966,119.88617,1.2292768e-06,-43.514758,-0.27807481,14.280075,156.48579,-9.6802845,118.34568,0.00022124086,3.6364344,0.0231016,0.47513881,157.4105,0.39234731,119.88617,0.76560265,-45.179974,-0.36367616,17.553757,124.23133,-12.545178,98.827948,1.1627442e-05,-16.660451,-0.1136366,0.0012265001,146.61166,0.0036158264,114.27775,0.097317692,12.070585,0.082330325,4.5777963,146.61166,-0.89363785,114.27775,0.23038329,9039.5659,275875.05,1.2174687,277.72505,1,6
1.6855352,0.15169959,4.4304376,11.111007,47.61811,7.5109963,0.068538306,-3.1351487,-0.23018005,4.4139444,13.620419,47.681057,-10.533471,0.0048866657,-0.02276119,-0.047008047,4.4304376,0.48419774,47.61811,0.36693839,0.57448184,-0.1569949,-0.0090119476,4.6671754,17.420752,47.535273,-12.404263,0.91958189,0.00031023407,0.24050022,10.394234,0.0012899534,7.1978048,0.0036789121,0.0015825541,-0.00033122953,-0.25677635,0.46877461,0.0012899534,0.36146816,0.0036789121,0.0007245729,-3.0462708,-0.6418202,13.621459,4.7462994,-9.464905,-0.68296821,1.8191224e-21,44.980049,0.30964773,4.3055346,145.262,47.688976,121.92387,4.1909699e-05,214.07506,0.6097061,10.394234,351.11189,7.1978048,309.33926,1.1038859e-18,-237.91337,-0.68103781,13.621459,349.33945,-9.464905,306.23327,6.3878828e-25,68.537896,0.46913228,10.394234,146.09503,7.1978048,114.6066,1.0982006e-10,-52.969651,-0.36477294,13.621459,145.21267,-9.464905,113.3723,8.0504355e-07,21.80394,0.14924491,0.46877461,146.09503,0.36146816,114.6066,0.052082441,-49.093566,-0.37188314,16.961509,132.01342,-12.335375,99.427921,7.0873418e-06,-13.081802,-0.095192833,0.0012250356,137.42424,0.0036239509,110.92719,0.16527471,10.729555,0.078076148,4.5663542,137.42424,-0.8821215,110.92719,0.25545346,9059.8773,275872.53,1.2177512,276.56188,1,7
1.4631423,0.13550084,4.4688799,10.798031,47.594766,8.21607,0.10661767,-3.0179086,-0.21463572,4.4385105,14.060608,47.594352,-10.135219,0.0095288505,-0.110973,-0.23758891,4.4688799,0.46707987,47.594766,0.36580399,0.0042733566,1.304121,0.071765711,4.6769897,18.171923,47.514965,-4.8845557,0.42081383,0.00029712081,0.22943044,10.123372,0.0012950366,8.0368989,0.0036904806,0.002775506,-0.00040656488,-0.31394085,0.45570248,0.0012950366,0.37343646,0.0036904806,3.4127133e-05,-3.15355,-0.6607444,14.580366,4.7727231,-8.8898615,-0.65226765,1.0841101e-22,44.857088,0.29706436,4.3064316,151.00124,47.650342,121.74171,9.2184915e-05,213.88743,0.61308154,10.123372,348.87273,8.0368989,310.72728,1.0172093e-18,-234.30265,-0.67353679,14.580366,347.86912,-8.8898615,307.81683,8.0295711e-24,79.71348,0.5286994,10.123372,150.77278,8.0368989,114.14594,1.7541317e-13,-59.890564,-0.39876393,14.580366,150.19052,-8.8898615,114.02549,7.2049933e-08,-6.7024023,-0.044453662,0.45570248,150.77278,0.37343646,114.14594,0.56720923,-42.96788,-0.28836564,17.651131,149.00485,-5.0850879,104.8005,0.00060386047,-13.27497,-0.093806477,0.0012263585,141.51443,0.003632101,111.48323,0.17154696,13.098685,0.092560773,4.5676186,141.51443,-0.84205841,111.48323,0.17733225,9080.2524,275896.09,1.2179677,276.13635,1,8
