SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
8.9441714,0.54476231,6.0165675,16.418484,17.512231,27.696906,1.6504944e-08,1.5833754,0.078409945,6.0165675,20.193554,17.512231,23.575427,0.45501372,0.00058366469,0.0028308805,6.0165675,0.20617779,17.512231,0.47725083,0.97851489,3.2010834,0.13027849,6.0165675,24.571082,17.512231,44.789222,0.21324915,-0.0011572699,-0.50651168,16.418484,0.0022847842,27.696906,0.0061741897,2.217447e-07,0.00061905134,0.27094521,0.20617779,0.0022847842,0.47725083,0.0061741897,0.0086168476,1.0091156,0.24334162,20.193554,4.1469094,23.575427,11.545391,0.018752692,76.438934,0.15564955,6.0165675,491.09639,17.512231,746.80544,0.13627024,10.704838,0.079981966,16.418484,133.84064,27.696906,380.30981,0.44599532,0.33274767,0.0024861482,20.193554,133.84064,23.575427,380.30981,0.98113074,312.86126,0.63706691,16.418484,491.09639,27.696906,746.80544,6.6463156e-12,327.49697,0.66686902,20.193554,491.09639,23.575427,746.80544,2.9311295e-13,-240.23519,-0.48918135,0.20617779,491.09639,0.47725083,746.80544,6.5048417e-07,247.42438,0.5038204,24.571082,491.09639,44.789222,746.80544,2.6310957e-07,-308.2316,-0.62763973,0.0022847842,491.09639,0.0061741897,746.80544,1.6646935e-11,21.815205,0.044421432,4.1469094,491.09639,11.545391,746.80544,0.67244133,15435.474,287538.36,1.1946923,380.30981,1,daily
0.28264986,0.027734457,6.0664773,10.191289,17.532796,4.8329563,0.79186095,-4.1673723,-0.25115495,6.0664773,16.592833,17.532796,-13.759958,0.015167603,-0.015279001,-0.029980103,6.0664773,0.50963803,17.532796,0.392162,0.77543612,-10.059551,-0.24736348,6.0664773,40.667081,17.532796,-47.140591,0.016825423,-0.00092138605,-0.38552344,10.191289,0.0023899611,4.8329563,0.0060744475,0.00013552584,0.00037003317,0.15482811,0.50963803,0.0023899611,0.392162,0.0060744475,0.13837597,1.7919579,0.40234175,16.592833,4.4538205,-13.759958,11.450844,6.3907817e-05,81.046892,0.13925219,6.0664773,582.01519,17.532796,770.16423,0.18311224,50.890208,0.23627958,10.191289,215.38132,4.8329563,213.36829,0.022597707,-61.614443,-0.28607143,16.592833,215.38132,-13.759958,213.36829,0.0054391137,25.245262,0.043375606,10.191289,582.01519,4.8329563,770.16423,0.67972662,-44.938299,-0.077211558,16.592833,582.01519,-13.759958,770.16423,0.46195593,-117.56346,-0.20199381,0.50963803,582.01519,0.392162,770.16423,0.052176209,-295.38627,-0.50752331,40.667081,582.01519,-47.140591,770.16423,2.0785731e-07,-353.80798,-0.60790162,0.0023899611,582.01519,0.0060744475,770.16423,1.0328453e-10,86.351514,0.14836643,4.4538205,582.01519,11.450844,770.16423,0.15580827,15186.119,287413.72,1.2097206,213.36829,1,0
0.42300022,0.048400592,6.0619319,8.7395671,17.530108,6.2066663,0.64500252,-1.0620378,-0.083810192,6.0619319,12.671941,17.530108,-12.218041,0.42445763,0.0030457598,0.0058192441,6.0619319,0.52339442,17.530108,0.40366584,0.95585148,-10.935451,-0.27389318,6.0619319,39.925969,17.530108,-44.072995,0.0078930099,-0.00084245802,-0.35510275,8.7395671,0.0023724345,6.2066663,0.0060720611,0.00047810894,0.00027225794,0.11475889,0.52339442,0.0023724345,0.40366584,0.0060720611,0.2733632,2.1446459,0.48528927,12.671941,4.4193145,-12.218041,11.152839,8.2169697e-07,62.832573,0.11512071,6.0619319,545.79728,17.530108,730.57443,0.27184353,114.97289,0.54492,8.7395671,210.9904,6.2066663,209.53509,1.6318023e-08,-83.742453,-0.39690172,12.671941,210.9904,-12.218041,209.53509,8.1860769e-05,-51.652394,-0.09463659,8.7395671,545.79728,6.2066663,730.57443,0.36688354,-50.974336,-0.093394265,12.671941,545.79728,-12.218041,730.57443,0.3732357,-153.83529,-0.28185425,0.52339442,545.79728,0.40366584,730.57443,0.0061989377,-272.94081,-0.50007726,39.925969,545.79728,-44.072995,730.57443,3.3296521e-07,-331.20654,-0.60683069,0.0023724345,545.79728,0.0060720611,730.57443,1.1362971e-10,61.195402,0.11212112,4.4193145,545.79728,11.152839,730.57443,0.28461419,15180.153,287126.25,1.2104827,209.53509,1,1
1.9933982,0.17548302,6.0632595,11.359493,17.529032,5.0991641,0.09247349,-0.69462544,-0.046837613,6.0632595,14.830505,17.529032,-9.9417873,0.65572621,-0.0049760744,-0.0097913239,6.0632595,0.50821262,17.529032,0.43829414,0.92578498,-11.574868,-0.28981035,6.0632595,39.939456,17.529032,-42.030285,0.0048358398,-0.00078007614,-0.33416217,11.359493,0.0023344239,5.0991641,0.0060851278,0.0010618682,0.00056177199,0.24064695,0.50821262,0.0023344239,0.43829414,0.0060851278,0.020147697,2.0435054,0.46948654,14.830505,4.3526389,-9.9417873,10.76643,2.0611923e-06,53.93286,0.10970618,6.0632595,491.61187,17.529032,672.75828,0.29518124,94.574042,0.45430105,11.359493,208.17482,5.0991641,208.48606,4.7818324e-06,-73.671437,-0.35389215,14.830505,208.17482,-9.9417873,208.48606,0.00050143734,-58.283569,-0.11855607,11.359493,491.61187,5.0991641,672.75828,0.25769861,-54.979919,-0.11183603,14.830505,491.61187,-9.9417873,672.75828,0.2858484,-89.588587,-0.18223438,0.50821262,491.61187,0.43829414,672.75828,0.080410758,-246.07663,-0.50055062,39.939456,491.61187,-42.030285,672.75828,3.2324661e-07,-294.99239,-0.60005139,0.0023344239,491.61187,0.0060851278,672.75828,2.0624249e-10,28.723906,0.058428015,4.3526389,491.61187,10.76643,672.75828,0.57799599,15212.819,286758.1,1.211077,208.48606,1,2
0.051940221,0.0042682294,6.0645,12.169032,17.530108,7.4033683,0.96761096,-0.022841607,-0.0014416792,6.0645,15.843751,17.530108,-11.616831,0.98905734,0.019206236,0.037332666,6.0645,0.51446195,17.530108,0.43572738,0.72238143,-10.530344,-0.26554735,6.0645,39.65524,17.530108,-39.507161,0.010094523,-0.00075236179,-0.32314544,12.169032,0.0023282451,7.4033683,0.0060551973,0.0015810908,0.00066591569,0.28601615,0.51446195,0.0023282451,0.43572738,0.0060551973,0.0054485146,2.0605012,0.47627525,15.843751,4.3262822,-11.616831,10.54929,1.3963006e-06,75.263404,0.15815697,6.0645,475.8779,17.530108,654.96226,0.129993,108.61272,0.53658065,12.169032,202.41638,7.4033683,207.7982,2.9566746e-08,-78.435486,-0.38749574,15.843751,202.41638,-11.616831,207.7982,0.00012434798,-79.490073,-0.1670388,12.169032,475.8779,7.4033683,654.96226,0.10952254,-74.255375,-0.15603871,15.843751,475.8779,-11.616831,654.96226,0.13528119,-171.89701,-0.36122084,0.51446195,475.8779,0.43572738,654.96226,0.0003747188,-268.8376,-0.56492978,39.65524,475.8779,-39.507161,654.96226,3.6621865e-09,-289.68514,-0.60873837,0.0023282451,475.8779,0.0060551973,654.96226,9.5837637e-11,12.721877,0.026733491,4.3262822,475.8779,10.54929,654.96226,0.79921195,15137.993,286554.48,1.2113618,207.7982,1,3
1.2362818,0.082757014,6.063686,14.938695,17.532796,9.0872367,0.43032242,0.095629909,0.0056172254,6.063686,17.024403,17.532796,-11.467313,0.95738267,-0.0038612681,-0.0075059217,6.063686,0.51442958,17.532796,0.44456925,0.94307424,-10.79121,-0.27451014,6.063686,39.310787,17.532796,-37.227909,0.0077484865,-0.00079395855,-0.34077501,14.938695,0.0023298614,9.0872367,0.006049951,0.00083025016,-3.4595849e-05,-0.014848887,0.51442958,0.0023298614,0.44456925,0.006049951,0.8876578,1.5978719,0.37452187,17.024403,4.2664315,-11.467313,10.30643,0.00021690134,78.789158,0.16999507,6.063686,463.47907,17.532796,628.02183,0.10329569,100.94289,0.51059333,14.938695,197.69723,9.0872367,208.08591,1.705958e-07,-55.027386,-0.27834171,17.024403,197.69723,-11.467313,208.08591,0.0069020375,-15.897604,-0.034300587,14.938695,463.47907,9.0872367,628.02183,0.7441178,-122.57972,-0.26447736,17.024403,463.47907,-11.467313,628.02183,0.010412458,-98.232886,-0.21194676,0.51442958,463.47907,0.44456925,628.02183,0.041397167,-266.46805,-0.57493007,39.310787,463.47907,-37.227909,628.02183,1.6708817e-09,-289.87147,-0.62542515,0.0023298614,463.47907,0.006049951,628.02183,2.056184e-11,-13.687732,-0.029532579,4.2664315,463.47907,10.30643,628.02183,0.77870173,15124.877,286317.72,1.2117272,208.08591,1,4
2.1245616,0.18301863,6.0581164,11.608445,17.52957,7.64116,0.079095071,-1.5653735,-0.10556983,6.0581164,14.827848,17.52957,-10.704162,0.31387371,0.014361386,0.026574062,6.0581164,0.54042873,17.52957,0.55361887,0.80038442,-12.778816,-0.3275882,6.0581164,39.008781,17.52957,-36.797005,0.0013489668,-0.00058220161,-0.2518305,11.608445,0.0023118789,7.64116,0.006035361,0.014887569,0.00034125679,0.14761015,0.54042873,0.0023118789,0.55361887,0.006035361,0.15795113,2.0250527,0.48825899,14.827848,4.1474971,-10.704162,10.039371,6.8769837e-07,73.491679,0.16410565,6.0581164,447.83149,17.52957,599.46307,0.11598527,108.28726,0.5569522,11.608445,194.42829,7.64116,208.58515,6.7235163e-09,-70.081453,-0.36044885,14.827848,194.42829,-10.704162,208.58515,0.00038652232,-28.410493,-0.063440142,11.608445,447.83149,7.64116,599.46307,0.54575772,-113.43874,-0.25330675,14.827848,447.83149,-10.704162,599.46307,0.014291168,-76.507424,-0.17083976,0.54042873,447.83149,0.55361887,599.46307,0.10156833,-258.86057,-0.57803118,39.008781,447.83149,-36.797005,599.46307,1.3029462e-09,-291.51416,-0.65094609,0.0023118789,447.83149,0.006035361,599.46307,1.621803e-12,-50.020019,-0.11169384,4.1474971,447.83149,10.039371,599.46307,0.28646527,15088.403,286027.44,1.2125613,208.58515,1,5
1.7961835,0.14194884,6.0564479,12.653739,17.529032,7.1760026,0.17469391,-1.3898576,-0.099975953,6.0564479,13.901919,17.529032,-10.457496,0.34034433,-0.019898385,-0.036791353,6.0564479,0.54084406,17.529032,0.48523058,0.72624645,-12.394133,-0.31653596,6.0564479,39.155529,17.529032,-37.843435,0.0019936763,-0.00064507254,-0.28127007,12.653739,0.0022934276,7.1760026,0.0059971824,0.0063112829,0.00055914432,0.24380291,0.54084406,0.0022934276,0.48523058,0.0059971824,0.018522411,2.0707849,0.50387014,13.901919,4.1097592,-10.457496,9.8000161,2.622826e-07,54.450536,0.12231806,6.0564479,445.15533,17.529032,579.71177,0.24279427,102.22992,0.52703393,12.653739,193.97218,7.1760026,210.79076,5.726114e-08,-85.390569,-0.44022069,13.901919,193.97218,-10.457496,210.79076,1.0073642e-05,-1.1655684,-0.0026183408,12.653739,445.15533,7.1760026,579.71177,0.98012763,-99.437155,-0.22337631,13.901919,445.15533,-10.457496,579.71177,0.031373481,-120.1569,-0.26992129,0.54084406,445.15533,0.48523058,579.71177,0.0088815716,-240.8208,-0.5409815,39.155529,445.15533,-37.843435,579.71177,2.1649787e-08,-289.79654,-0.65100095,0.0022934276,445.15533,0.0059971824,579.71177,1.6125527e-12,-56.33528,-0.12655196,4.1097592,445.15533,9.8000161,579.71177,0.22674588,14992.956,285749.46,1.2134171,210.79076,1,6
3.7089225,0.2543257,6.0529931,14.583357,17.526882,9.8654231,0.013891707,-2.7559885,-0.17927272,6.0529931,15.373162,17.526882,-10.672007,0.085537806,-0.0057541872,-0.010804379,6.0529931,0.53257917,17.526882,0.45015733,0.91813166,-10.721058,-0.30867693,6.0529931,34.732294,17.526882,-31.181237,0.0026091283,-0.00074559467,-0.32993432,14.583357,0.0022598276,9.8654231,0.0059595013,0.0012392862,0.0004459575,0.19734139,0.53257917,0.0022598276,0.45015733,0.0059595013,0.057954315,2.0244388,0.490931,15.373162,4.1236727,-10.672007,9.6331129,5.8507299e-07,60.558063,0.13696,6.0529931,442.15877,17.526882,565.32132,0.19049728,110.11689,0.56569734,14.583357,194.6569,9.8654231,219.6448,3.4513082e-09,-66.350451,-0.34085845,15.373162,194.6569,-10.672007,219.6448,0.00082764778,-7.8850086,-0.01783298,14.583357,442.15877,9.8654231,565.32132,0.86527549,-78.15379,-0.17675504,15.373162,442.15877,-10.672007,565.32132,0.090097652,-84.916575,-0.19204996,0.53257917,442.15877,0.45015733,565.32132,0.065150874,-244.53449,-0.5530468,34.732294,442.15877,-31.181237,565.32132,9.0002423e-09,-280.32453,-0.63399067,0.0022598276,442.15877,0.0059595013,565.32132,8.9990446e-12,-37.016181,-0.083716945,4.1236727,442.15877,9.6331129,565.32132,0.42497503,14898.753,285537.94,1.2136465,219.6448,1,7
9.5449642,0.49791887,6.0454377,19.169718,17.525269,20.996195,3.8090296e-07,1.7071979,0.086564959,6.0454377,19.721582,17.525269,7.2178781,0.40933634,0.018060392,0.044073066,6.0454377,0.40978299,17.525269,0.63876239,0.67486476,4.3854857,0.20734933,6.0454377,21.150229,17.525269,22.931565,0.046120299,-0.0010682218,-0.4764077,19.169718,0.002242243,20.996195,0.0059945847,1.3856152e-06,-0.00046495373,-0.20736099,0.40978299,0.002242243,0.63876239,0.0059945847,0.04610777,-0.4030488,-0.098323112,19.721582,4.0992275,7.2178781,9.7986989,0.34842729,55.129158,0.12171251,6.0454377,452.9457,17.525269,572.02235,0.24515221,20.755976,0.10538909,19.169718,196.94615,20.996195,243.10177,0.31470759,2.2531408,0.01144039,19.721582,196.94615,7.2178781,243.10177,0.91333057,165.10428,0.36451231,19.169718,452.9457,20.996195,572.02235,0.00032801747,83.111122,0.18349026,19.721582,452.9457,7.2178781,572.02235,0.078312166,157.55662,0.3478488,0.40978299,452.9457,0.63876239,572.02235,0.0006342847,43.660136,0.096391546,21.150229,452.9457,22.931565,572.02235,0.35802397,-286.11006,-0.63166526,0.002242243,452.9457,0.0059945847,572.02235,1.1290659e-11,-23.282001,-0.051401306,4.0992275,452.9457,9.7986989,572.02235,0.62461817,14986.462,285653.75,1.2120075,243.10177,1,8
