SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.4034787,0.41934755,0.21791132,3.346815,5.040163,4.6025213,0.00069237788,-5.8026215,-0.54505888,0.21791132,10.645862,5.040163,8.4690839,4.6382117e-06,0.003551682,0.066628046,0.21791132,0.053306111,5.040163,0.12371377,0.60688473,-5.484036,-0.33227605,0.21791132,16.504458,5.040163,5.403374,0.008326736,4.6785236e-05,0.20557387,3.346815,0.00022758357,4.6025213,0.00080399834,0.10895225,4.8802882e-05,0.21443939,0.053306111,0.00022758357,0.12371377,0.00080399834,0.094196158,-1.6596376,-0.48406244,10.645862,3.428561,8.4690839,-17.238906,6.7160408e-05,1.518697,0.0063241962,0.21791132,240.14072,5.040163,615.00989,0.96109157,52.078861,0.23595981,3.346815,220.71073,4.6025213,406.46456,0.064848172,-37.830121,-0.17140137,10.645862,220.71073,8.4690839,406.46456,0.1828499,162.95356,0.67857529,3.346815,240.14072,4.6025213,615.00989,1.3558014e-09,-33.804787,-0.14077074,10.645862,240.14072,8.4690839,615.00989,0.27513322,-19.426727,-0.080897263,0.053306111,240.14072,0.12371377,615.00989,0.53193947,-94.661392,-0.39419134,16.504458,240.14072,5.403374,615.00989,0.0015237314,-58.099674,-0.24194012,0.00022758357,240.14072,0.00080399834,615.00989,0.058155995,70.406817,0.29318983,3.428561,240.14072,-17.238906,615.00989,0.020740587,2009.9958,268515.19,1.0990254,406.46456,1,daily
-0.063355644,-0.017733515,0.25426037,3.57265,4.9548387,-0.32938773,0.89118662,-4.954585,-0.37219381,0.25426037,13.311842,4.9548387,-22.887695,0.0028934586,-0.0018621221,-0.029939415,0.25426037,0.062196341,4.9548387,0.058552511,0.81731688,-5.3676581,-0.24800554,0.25426037,21.643299,4.9548387,-54.631112,0.05195124,9.9537038e-06,0.040510842,3.57265,0.00024570469,-0.32938773,0.00070227137,0.75456981,1.6779374e-06,0.0068290819,0.062196341,0.00024570469,0.058552511,0.00070227137,0.95798806,-1.5122652,-0.35426981,13.311842,4.2686821,-22.887695,-19.556887,0.0047280184,33.268179,0.14320581,0.25426037,232.31025,4.9548387,498.70834,0.26683069,1.4272671,0.0050697032,3.57265,281.52873,-0.32938773,295.24296,0.9688053,-95.012086,-0.33748629,13.311842,281.52873,-22.887695,295.24296,0.0073077386,98.731104,0.42499675,3.57265,232.31025,-0.32938773,498.70834,0.00057504594,-62.396328,-0.2685905,13.311842,232.31025,-22.887695,498.70834,0.034789564,-57.525229,-0.24762243,0.062196341,232.31025,0.058552511,498.70834,0.052326484,-107.51686,-0.46281582,21.643299,232.31025,-54.631112,498.70834,0.00015214592,12.205848,0.052541152,0.00024570469,232.31025,0.00070227137,498.70834,0.68505829,100.37126,0.43205694,4.2686821,232.31025,-19.556887,498.70834,0.00045387238,1755.6784,266010.99,1.1143918,295.24296,1,0
0.52620599,0.22692793,0.25779236,2.3188243,4.933871,-0.56776645,0.076114864,-3.804573,-0.25979956,0.25779236,14.644263,4.933871,-22.225836,0.041430785,0.00013633084,0.0036493457,0.25779236,0.037357612,4.933871,0.042781355,0.9775423,-4.7474394,-0.20084936,0.25779236,23.636816,4.933871,-53.238122,0.11751204,7.0921701e-05,0.29514846,2.3188243,0.00024029162,-0.56776645,0.00069306509,0.019867139,-5.4749973e-06,-0.022784804,0.037357612,0.00024029162,0.042781355,0.00069306509,0.86046728,-1.2830008,-0.29845377,14.644263,4.2988259,-22.225836,-19.715024,0.018464106,35.492344,0.16485144,0.25779236,215.29896,4.933871,498.22371,0.20040245,2.3493654,0.0088053007,2.3188243,266.81262,-0.56776645,290.24108,0.94584669,-116.40697,-0.43628733,14.644263,266.81262,-22.225836,290.24108,0.00039289806,116.27022,0.54004077,2.3188243,215.29896,-0.56776645,498.22371,5.8956624e-06,-70.715065,-0.32845056,14.644263,215.29896,-22.225836,498.22371,0.0091517657,-85.068632,-0.39511863,0.037357612,215.29896,0.042781355,498.22371,0.0014816533,-108.76425,-0.50517777,23.636816,215.29896,-53.238122,498.22371,2.8197061e-05,21.034843,0.097700626,0.00024029162,215.29896,0.00069306509,498.22371,0.44997928,92.081661,0.42769208,4.2988259,215.29896,-19.715024,498.22371,0.00052569258,1732.6627,265843.6,1.1150876,290.24108,1,1
-0.028802612,-0.0064354186,0.2619891,4.4756393,4.9145161,-0.17902651,0.96040784,-4.6953144,-0.32473298,0.2619891,14.459001,4.9145161,-23.734048,0.010020756,-0.035067696,-0.21982207,0.2619891,0.15952764,4.9145161,0.072111486,0.086029791,-4.6573035,-0.19064339,0.2619891,24.429399,4.9145161,-52.956067,0.13774835,1.045989e-05,0.044765293,4.4756393,0.00023366072,-0.17902651,0.00067774097,0.72973191,-4.419552e-05,-0.18914399,0.15952764,0.00023366072,0.072111486,0.00067774097,0.14092948,-1.5204092,-0.351752,14.459001,4.3223896,-23.734048,-19.912952,0.0050546303,36.151745,0.16671806,0.2619891,216.84361,4.9145161,503.35163,0.19528254,-14.834543,-0.059316021,4.4756393,250.09337,-0.17902651,281.26556,0.64698594,-103.59893,-0.41424103,14.459001,250.09337,-23.734048,281.26556,0.0008166621,45.103652,0.20800083,4.4756393,216.84361,-0.17902651,503.35163,0.10474625,-76.723154,-0.35381791,14.459001,216.84361,-23.734048,503.35163,0.004785231,-26.053433,-0.12014849,0.15952764,216.84361,0.072111486,503.35163,0.35228175,-117.91775,-0.54379168,24.429399,216.84361,-52.956067,503.35163,4.92967e-06,27.14354,0.12517565,0.00023366072,216.84361,0.00067774097,503.35163,0.33234806,100.44544,0.46321604,4.3223896,216.84361,-19.912952,503.35163,0.00014989372,1694.3524,265627.63,1.1163088,281.26556,1,2
0.41762571,0.17984674,0.25952123,2.3221201,4.8879032,-0.9953574,0.16189408,-5.3078145,-0.38048597,0.25952123,13.950092,4.8879032,-23.249578,0.0022837773,-0.0075002158,-0.1121787,0.25952123,0.066859535,4.8879032,0.060580494,0.38535902,-6.1286001,-0.24529289,0.25952123,24.984825,4.8879032,-52.591715,0.054655979,2.6586754e-05,0.11722133,2.3221201,0.00022680816,-0.9953574,0.0006579933,0.36422113,-2.0445036e-05,-0.090142417,0.066859535,0.00022680816,0.060580494,0.0006579933,0.4859544,-1.8243804,-0.43716274,13.950092,4.1732294,-23.249578,-20.334306,0.00038125253,25.987696,0.12528944,0.25952123,207.42128,4.8879032,491.78822,0.33190525,7.0121696,0.030277624,2.3221201,231.59577,-0.9953574,267.69064,0.81528934,-83.511763,-0.36059279,13.950092,231.59577,-23.249578,267.69064,0.0039884823,104.99018,0.50616882,2.3221201,207.42128,-0.9953574,491.78822,2.7033128e-05,-58.960766,-0.28425612,13.950092,207.42128,-23.249578,491.78822,0.025149833,-81.735984,-0.39405786,0.066859535,207.42128,0.060580494,491.78822,0.0015298757,-121.13909,-0.58402443,24.984825,207.42128,-52.591715,491.78822,6.264344e-07,13.907254,0.067048346,0.00022680816,207.42128,0.0006579933,491.78822,0.60461291,83.52302,0.40267335,4.1732294,207.42128,-20.334306,491.78822,0.0011758626,1644.9832,265195.88,1.1181078,267.69064,1,3
0.052482178,0.020019416,0.25426557,2.6215639,4.8758065,-0.52525838,0.87726244,-4.3257432,-0.29043981,0.25426557,14.893768,4.8758065,-22.749896,0.022021869,-0.028603028,-0.17853796,0.25426557,0.16020699,4.8758065,0.076424479,0.16502037,-6.3478668,-0.24325302,0.25426557,26.095737,4.8758065,-51.268553,0.056764416,3.5790167e-06,0.016544177,2.6215639,0.0002163309,-0.52525838,0.00065155828,0.89844451,-4.1191583e-05,-0.19041007,0.16020699,0.0002163309,0.076424479,0.00065155828,0.13823978,-1.3831641,-0.35428477,14.893768,3.9041027,-22.749896,-20.480339,0.0047261359,6.9554457,0.03431269,0.25426557,202.70768,4.8758065,482.54699,0.79119595,-22.11224,-0.10101584,2.6215639,218.89873,-0.52525838,256.63413,0.43467682,-84.2437,-0.3848524,14.893768,218.89873,-22.749896,256.63413,0.0020112659,19.73799,0.097371693,2.6215639,202.70768,-0.52525838,482.54699,0.45151363,-84.332095,-0.41602812,14.893768,202.70768,-22.749896,482.54699,0.00077104249,-38.186866,-0.18838391,0.16020699,202.70768,0.076424479,482.54699,0.14256294,-123.16757,-0.60761174,26.095737,202.70768,-51.268553,482.54699,1.6333653e-07,-2.723256,-0.0134344,0.0002163309,202.70768,0.00065155828,482.54699,0.91745947,69.056219,0.34066898,3.9041027,202.70768,-20.480339,482.54699,0.0067404482,1628.8957,265063.88,1.1189709,256.63413,1,4
0.59545164,0.16003806,0.25065884,3.7206876,4.858871,-1.1766145,0.21404378,-5.4063016,-0.34497657,0.25065884,15.671504,4.858871,-20.875096,0.0060342645,-0.022857446,-0.11849385,0.25065884,0.19289985,4.858871,0.094663069,0.35900077,-4.6190902,-0.17453474,0.25065884,26.465162,4.858871,-49.451552,0.17485759,1.4088106e-05,0.063977247,3.7206876,0.00022020495,-1.1766145,0.00064781194,0.62129772,-2.3973094e-05,-0.10886719,0.19289985,0.00022020495,0.094663069,0.00064781194,0.39962939,-1.18606,-0.30833599,15.671504,3.8466481,-20.875096,-20.646355,0.014762366,-8.2983452,-0.042848464,0.25065884,193.66727,4.858871,473.04218,0.74089009,28.336301,0.13278756,3.7206876,213.39574,-1.1766145,247.93592,0.303547,-46.869762,-0.21963776,15.671504,213.39574,-20.875096,247.93592,0.08629988,45.886866,0.23693661,3.7206876,193.66727,-1.1766145,473.04218,0.063714643,-33.424852,-0.17258905,15.671504,193.66727,-20.875096,473.04218,0.17978997,-21.092723,-0.10891217,0.19289985,193.66727,0.094663069,473.04218,0.39943351,-114.93624,-0.5934727,26.465162,193.66727,-49.451552,473.04218,3.703522e-07,-20.534924,-0.10603198,0.00022020495,193.66727,0.00064781194,473.04218,0.41208985,48.322617,0.24951359,3.8466481,193.66727,-20.646355,473.04218,0.050495433,1619.5298,264892.69,1.1199908,247.93592,1,5
0.17256905,0.057311403,0.24961234,3.011077,4.8395161,-1.3757539,0.65816316,-4.7001126,-0.35069626,0.24961234,13.402232,4.8395161,-22.160059,0.005197392,-0.037511015,-0.19220702,0.24961234,0.19515945,4.8395161,0.09451926,0.13448875,-4.7044651,-0.17531794,0.24961234,26.833906,4.8395161,-48.047961,0.17290021,-3.973465e-06,-0.017396184,3.011077,0.00022841015,-1.3757539,0.00064151371,0.8932443,-1.8414796e-05,-0.080621617,0.19515945,0.00022841015,0.09451926,0.00064151371,0.53334275,-1.5378252,-0.39995338,13.402232,3.8450112,-22.160059,-20.894065,0.0012787047,-12.130098,-0.064282617,0.24961234,188.6995,4.8395161,459.83347,0.61962998,0.078928858,0.000380159,3.011077,207.62065,-1.3757539,240.95256,0.99766024,-80.073087,-0.38567015,13.402232,207.62065,-22.160059,240.95256,0.0019635919,29.271517,0.15512238,3.011077,188.6995,-1.3757539,459.83347,0.22863563,-59.786103,-0.31683233,13.402232,188.6995,-22.160059,459.83347,0.012108266,-36.470125,-0.19327091,0.19515945,188.6995,0.09451926,459.83347,0.13230437,-116.92203,-0.61962024,26.833906,188.6995,-48.047961,459.83347,7.8928788e-08,-34.618828,-0.18346009,0.00022841015,188.6995,0.00064151371,459.83347,0.15348934,33.360628,0.17679234,3.8450112,188.6995,-20.894065,459.83347,0.16925877,1603.7843,264616.8,1.1213377,240.95256,1,6
-0.024711001,-0.0069655513,0.25518551,3.5476016,4.8298387,-0.76115104,0.95714929,-4.9520348,-0.34054244,0.25518551,14.541608,4.8298387,-22.04962,0.0067622446,-0.022158107,-0.092394938,0.25518551,0.23981949,4.8298387,0.10056972,0.47507711,-4.7080268,-0.16884654,0.25518551,27.883467,4.8298387,-45.011789,0.18955926,-1.3071345e-05,-0.058805861,3.5476016,0.00022227962,-0.76115104,0.00063436053,0.64982323,-4.9656075e-06,-0.022339464,0.23981949,0.00022227962,0.10056972,0.00063436053,0.86316803,-1.3431476,-0.35387354,14.541608,3.7955582,-22.04962,-21.023629,0.0047781556,-10.938984,-0.061311934,0.25518551,178.41524,4.8298387,458.15536,0.63593384,0.30054951,0.001468344,3.5476016,204.68604,-0.76115104,241.25261,0.99096299,-64.768311,-0.3164276,14.541608,204.68604,-22.04962,241.25261,0.012224637,9.0226942,0.050571319,3.5476016,178.41524,-0.76115104,458.15536,0.69628134,-70.885801,-0.39730799,14.541608,178.41524,-22.04962,458.15536,0.0013864168,-29.492582,-0.16530304,0.23981949,178.41524,0.10056972,458.15536,0.19915509,-112.03613,-0.62795157,27.883467,178.41524,-45.011789,458.15536,4.6792507e-08,-37.809263,-0.21191723,0.00022227962,178.41524,0.00063436053,458.15536,0.098225354,24.874072,0.13941675,3.7955582,178.41524,-21.023629,458.15536,0.27982332,1585.9013,264457.14,1.1219144,241.25261,1,7
0.1947969,0.067909713,0.23886769,2.8684689,4.8556452,1.1893971,0.59996867,-4.043051,-0.38841837,0.23886769,10.409011,4.8556452,-6.3583612,0.001810693,-0.067931674,-0.19572781,0.23886769,0.34707216,4.8556452,0.19172185,0.12736235,-7.9765172,-0.20273227,0.23886769,39.345078,4.8556452,1.146771,0.11404096,2.1326702e-05,0.097358433,2.8684689,0.00021905347,1.1893971,0.00066168265,0.45157554,-1.9505025e-05,-0.089042304,0.34707216,0.00021905347,0.19172185,0.00066168265,0.49131411,-1.5761656,-0.42948379,10.409011,3.669907,-6.3583612,-20.440919,0.00049504779,-14.05341,-0.08507689,0.23886769,165.18481,4.8556452,467.40743,0.51088736,1.8336927,0.0093279292,2.8684689,196.5809,1.1893971,240.71942,0.94263774,-34.295873,-0.17446188,10.409011,196.5809,-6.3583612,240.71942,0.17504052,-2.5027517,-0.015151222,2.8684689,165.18481,1.1893971,467.40743,0.90695545,-75.030843,-0.45422364,10.409011,165.18481,-6.3583612,467.40743,0.00020864306,-49.37831,-0.29892767,0.34707216,165.18481,0.19172185,467.40743,0.018270043,-109.1439,-0.66073812,39.345078,165.18481,1.146771,467.40743,5.0990189e-09,-39.962364,-0.24192518,0.00021905347,165.18481,0.00066168265,467.40743,0.058171982,15.619028,0.094554872,3.669907,165.18481,-20.440919,467.40743,0.46477052,1654.2066,265057.12,1.1208561,240.71942,1,8
