SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,,,,,,,,,,,,,,,-10.863434,-0.21476551,6.0790193,50.582768,45.356266,107.04901,0.20178369,,,,,,,,,,,,,,,,,,,,,,-2.6185074,-0.22757297,6.0790193,11.506232,45.356266,22.414456,0.17554095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0149219,0.5227534,50.582768,11.506232,107.04901,22.414456,0.00090238394,-6.5065065,-0.56547673,0.0010679852,11.506232,0.017168949,22.414456,0.00026527187,5.8069818,0.50468144,0.86349659,11.506232,24.431577,22.414456,0.0014455769,42922.373,298829.31,1.1944071,352.37743,1,daily
,,,,,,,,,,,,,,,,,,,,,4.9877177,0.252557,3.7303649,19.748879,47.677613,-30.417806,0.17045814,,,,,,,,,,,,,,,,,,,,,,-4.7369646,-0.50791611,3.7303649,9.3262736,47.677613,8.4292145,0.0035343943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.239378,-0.3635592,19.023066,8.9101802,-29.117972,7.8233034,0.0292896,-3.0380748,-0.34096671,0.00095877933,8.9101802,0.016981578,7.8233034,0.041847117,3.9829989,0.44701664,0.93454076,8.9101802,23.024167,7.8233034,0.0062706486,42453.944,297365.01,1.2174592,122.71491,1,0
,,,,,,,,,,,,,,,,,,,,,0.73169684,0.040593043,3.6599823,18.025178,47.65179,-29.32621,0.82835343,,,,,,,,,,,,,,,,,,,,,,-1.9592526,-0.22933712,3.6599823,8.5431117,47.65179,8.2777922,0.21458964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2410131,-0.39733687,17.950011,8.1568396,-27.261986,7.7144017,0.016412516,-4.2693823,-0.52341134,0.00098043886,8.1568396,0.016827116,7.7144017,0.0010538617,1.7609837,0.21589044,0.80275373,8.1568396,22.852639,7.7144017,0.20601341,42067.791,297242.92,1.2182508,109.43101,1,1
,,,,,,,,,,,,,,,,,,,,,2.801248,0.13140075,3.5883084,21.318357,47.637258,-28.498581,0.48105432,,,,,,,,,,,,,,,,,,,,,,-2.0707516,-0.25752036,3.5883084,8.041118,47.637258,6.6219975,0.16192993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.5303305,-0.72007709,20.916748,7.6801923,-26.283319,6.0106872,7.3961323e-07,-4.3929198,-0.57198045,0.001046324,7.6801923,0.016699403,6.0106872,0.00026791156,0.39459159,0.051377826,0.82062726,7.6801923,22.57875,6.0106872,0.7660205,41748.509,297010.24,1.2189367,101.19796,1,2
,,,,,,,,,,,,,,,,,,,,,2.3398274,0.113299,3.5431208,20.651792,47.637242,-29.334468,0.543945,,,,,,,,,,,,,,,,,,,,,,0.13175634,0.032004529,3.5431208,4.116803,47.637242,2.9224548,0.86429101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2088742,-0.53279294,20.42321,4.1458398,-27.357861,2.9401166,0.0008218452,-1.3002685,-0.31363211,0.0010433279,4.1458398,0.016625337,2.9401166,0.062506031,0.059811208,0.014426802,0.95221329,4.1458398,22.256111,2.9401166,0.9334459,41563.343,296709.77,1.2194892,98.874145,1,3
,,,,,,,,,,,,,,,,,,,,,1.5661009,0.065121013,3.5247898,24.049087,47.648565,-35.297194,0.72780388,,,,,,,,,,,,,,,,,,,,,,0.32999437,0.054399314,3.5247898,6.0661495,47.648565,3.9559012,0.77131822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.4967623,-0.5969292,23.634542,5.8579181,-32.644514,3.7569782,0.00012155004,-1.8660921,-0.31855892,0.0010560996,5.8579181,0.016482426,3.7569782,0.058283086,0.80659206,0.13769262,0.97719935,5.8579181,22.186667,3.7569782,0.42323329,41206.065,296611.82,1.2228513,66.426642,1,4
,,,,,,,,,,,,,,,,,,,,,2.4911422,0.10265258,3.5666149,24.267703,47.706581,-35.990468,0.58265325,,,,,,,,,,,,,,,,,,,,,,-1.0069627,-0.12060048,3.5666149,8.349575,47.706581,6.1335578,0.51811963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5675328,-0.44103907,23.950218,8.0889268,-33.327653,5.6602832,0.0070933326,-3.4031692,-0.4207195,0.0011164427,8.0889268,0.016289867,5.6602832,0.01061729,1.4932826,0.18460825,1.0046982,8.0889268,22.149722,5.6602832,0.28109786,40724.666,296552.87,1.2230851,68.331624,1,5
,,,,,,,,,,,,,,,,,,,,,-4.9183651,-0.29814975,7.3557707,16.496291,45.261306,-17.933139,0.077365334,,,,,,,,,,,,,,,,,,,,,,0.052754655,0.0074829117,7.3557707,7.050017,45.261306,4.7871285,0.96545163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4697857,-0.20847974,16.496291,7.050017,-17.933139,4.7871285,0.222391,-1.823642,-0.25867199,0.0011246681,7.050017,0.016226158,4.7871285,0.1276792,1.838926,0.26083993,1.0993097,7.050017,22.023056,4.7871285,0.12440489,40565.396,296388.05,1.2238053,69.429294,1,6
,,,,,,,,,,,,,,,,,,,,,-5.4968491,-0.15928915,5.6744425,34.508622,45.984861,52.540222,0.353434,,,,,,,,,,,,,,,,,,,,,,2.2915531,0.24832271,5.6744425,9.2281257,45.984861,8.0228022,0.14419667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26736625,0.028972974,34.508622,9.2281257,52.540222,8.0228022,0.86678952,-4.61413,-0.50000727,0.0010855618,9.2281257,0.01658444,8.0228022,0.0019015834,2.1450348,0.23244534,0.92754621,9.2281257,22.647083,8.0228022,0.1724975,41461.099,296953.48,1.2212628,93.57017,1,7
,,,,,,,,,,,,,,,,,,,,,-8.3072038,-0.078647419,5.728588,105.62589,46.000167,181.92918,0.64843438,,,,,,,,,,,,,,,,,,,,,,1.2030165,0.08487714,5.728588,14.173622,46.000167,15.398984,0.62259223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8790109,0.34423177,105.62589,14.173622,181.92918,15.398984,0.0398015,-6.8108211,-0.48052792,0.0011304047,14.173622,0.017167803,15.398984,0.0030138679,8.3691256,0.59047191,1.1491129,14.173622,23.837917,15.398984,0.00015007044,42919.507,298084.6,1.2063568,249.54642,1,8
