SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.6845711,0.50490601,6.9387137,3.3364052,34.872098,5.0024832,3.3311061e-07,4.1254132,0.11610469,6.9387137,35.531839,34.872098,15.23679,0.27309248,0.0099676687,0.083782871,6.9387137,0.11897024,34.872098,0.18461831,0.42977384,-1.2821197,-0.09781732,6.9387137,13.107287,34.872098,-1.063738,0.35630272,0.00017756246,0.15869414,3.4896425,0.0011188974,4.7985248,0.0033117303,0.080833409,0.0001962637,0.17540812,0.11364699,0.0011188974,0.17908982,0.0033117303,0.053296373,-1.5710833,-0.34274841,39.443219,4.58378,15.148146,0.12115249,0.00011129835,-36.026872,-0.1679366,6.9387137,214.52663,34.872098,348.6207,0.11156681,122.66169,0.47351542,3.4896425,259.04477,4.7985248,439.31489,3.6222042e-08,-32.866489,-0.12687571,39.443219,259.04477,15.148146,439.31489,0.16374196,82.25302,0.39089192,3.4896425,210.42394,4.7985248,358.24513,8.5260001e-06,-7.5966262,-0.036101529,39.443219,210.42394,15.148146,358.24513,0.6930066,-61.315242,-0.29138909,0.11364699,210.42394,0.17908982,358.24513,0.0011286254,-95.577457,-0.45421379,13.504644,210.42394,-1.7116202,358.24513,1.4806943e-07,-75.149759,-0.35713502,0.0011188974,210.42394,0.0033117303,358.24513,5.3891382e-05,-8.9236566,-0.04240799,4.58378,210.42394,0.12115249,358.24513,0.64279231,8279.3256,274631.43,1.2357789,439.31489,1,daily
0.91694407,0.21518631,6.8342803,4.2611635,34.978527,1.2322126,0.040517529,1.9927388,0.043701111,6.8342803,45.599272,34.978527,-5.1211863,0.68084105,-0.015229468,-0.052933961,6.8342803,0.28770694,34.978527,0.14578667,0.61825363,1.5218499,0.051064185,6.8342803,29.802687,34.978527,-33.876223,0.63072889,4.6997444e-05,0.041149878,6.4501108,0.0011421041,1.3505295,0.0032636301,0.65269102,-3.1586194e-05,-0.027656142,0.2983858,0.0011421041,0.14959687,0.0032636301,0.76235841,-0.81588326,-0.16789283,52.679318,4.8595478,-0.7489924,-0.55306967,0.06453142,-17.640672,-0.082822986,6.8342803,212.99247,34.978527,285.00694,0.43509589,102.46193,0.31669037,6.4501108,323.53978,1.3505295,366.0381,0.00037959701,-31.576278,-0.097596279,52.679318,323.53978,-0.7489924,366.0381,0.28486956,58.05037,0.26991213,6.4501108,215.07137,1.3505295,297.91849,0.0026419103,-17.818571,-0.082849575,52.679318,215.07137,-0.7489924,297.91849,0.36427784,-5.6384181,-0.026216498,0.2983858,215.07137,0.14959687,297.91849,0.77438877,-91.73592,-0.42653711,30.464117,215.07137,-35.32958,297.91849,9.6388675e-07,-65.377995,-0.3039828,0.0011421041,215.07137,0.0032636301,297.91849,0.00066416972,2.2526396,0.010473917,4.8595478,215.07137,-0.55306967,297.91849,0.90884115,8159.0751,273940.14,1.2443742,366.0381,1,0
0.85022787,0.25226022,6.8373342,3.3704398,34.956418,1.3281793,0.015852501,1.9400489,0.040317831,6.8373342,48.11888,34.956418,-2.3876017,0.70435731,-0.015129628,-0.055421971,6.8373342,0.27298971,34.956418,0.1338628,0.60182027,1.8232207,0.061139066,6.8373342,29.820878,34.956418,-33.287408,0.56481391,-7.6388373e-05,-0.066155286,3.7191754,0.0011546828,1.0963157,0.0032437891,0.4690778,-0.00011543693,-0.099972847,0.25314131,0.0011546828,0.11884232,0.0032437891,0.27324686,-1.1113942,-0.22383292,61.587885,4.9652847,3.0343881,-0.65539344,0.013197508,-17.200567,-0.075578936,6.8373342,227.58414,34.956418,284.75511,0.47644636,110.07808,0.32787793,3.7191754,335.72886,1.0963157,371.267,0.00022717906,-38.70386,-0.11528309,61.587885,335.72886,3.0343881,371.267,0.20606664,95.303407,0.40836662,3.7191754,233.37707,1.0963157,298.18047,3.0214935e-06,-19.941167,-0.085446126,61.587885,233.37707,3.0343881,298.18047,0.3493863,-29.032558,-0.12440193,0.25314131,233.37707,0.11884232,298.18047,0.17218124,-94.276633,-0.40396698,30.525089,233.37707,-34.476648,298.18047,3.9451367e-06,-67.879237,-0.29085649,0.0011546828,233.37707,0.0032437891,298.18047,0.0011536178,14.109065,0.06045609,4.9652847,233.37707,-0.65539344,298.18047,0.50829779,8109.4727,273844.83,1.2440896,371.267,1,1
0.96743434,0.27190254,6.8415268,3.5580188,34.93172,1.5538882,0.0091273777,8.0876549,0.10141232,6.8415268,79.750221,34.93172,5.1054163,0.33881597,-0.0020577551,-0.007796675,6.8415268,0.26392726,34.93172,0.11875807,0.94152881,0.96013537,0.031603103,6.8415268,30.381048,34.93172,-33.843429,0.76617555,-9.8763369e-06,-0.0084981671,5.0605954,0.0011621726,0.85034922,0.0032404558,0.92598245,1.3296235e-05,0.011440844,0.23677709,0.0011621726,0.10887334,0.0032404558,0.900467,-0.34010331,-0.068366731,91.181464,4.9746902,10.247084,-0.75155738,0.4543169,-17.507119,-0.077961086,6.8415268,224.56228,34.93172,276.98125,0.46261997,81.648505,0.24560431,5.0605954,332.43922,0.85034922,371.34264,0.0063959804,-8.2738177,-0.024888212,91.181464,332.43922,10.247084,371.34264,0.7855363,83.881768,0.36469412,5.0605954,230.00582,0.85034922,289.5151,3.6296504e-05,-20.228744,-0.087948837,91.181464,230.00582,10.247084,289.5151,0.33539975,-52.248498,-0.22716164,0.23677709,230.00582,0.10887334,289.5151,0.01186148,-91.649383,-0.3984655,31.071029,230.00582,-35.250615,289.5151,5.4779048e-06,-70.942285,-0.30843692,0.0011621726,230.00582,0.0032404558,289.5151,0.00054745492,9.0412712,0.039308881,4.9746902,230.00582,-0.75155738,289.5151,0.66728489,8101.1394,273750.35,1.2442473,371.34264,1,2
1.2044339,0.32050426,6.8526847,3.7579342,34.916473,1.4161497,0.0019529783,5.6594964,0.099305747,6.8526847,56.990623,34.916473,-0.37833849,0.348996,-0.0053892878,-0.018343178,6.8526847,0.29380338,34.916473,0.14568069,0.86298289,0.54224853,0.01810087,6.8526847,29.957042,34.916473,-33.02624,0.86477559,-6.8580857e-06,-0.0059017909,4.8060054,0.0011620347,0.99750497,0.0032355908,0.94855866,-7.5499137e-05,-0.064971501,0.27326983,0.0011620347,0.13833322,0.0032355908,0.47708566,-0.28287743,-0.056305959,57.611979,5.0239341,-1.6741896,-0.89993443,0.53789039,-17.636001,-0.080582257,6.8526847,218.85713,34.916473,257.69237,0.44766399,53.056309,0.17464152,4.8060054,303.80122,0.99750497,358.77541,0.054362929,-28.707902,-0.094495675,57.611979,303.80122,-1.6741896,358.77541,0.30052285,56.612038,0.25078597,4.8060054,225.73845,0.99750497,274.39302,0.0053333836,-27.616816,-0.12233988,57.611979,225.73845,-1.6741896,274.39302,0.17945795,-19.020732,-0.084260046,0.27326983,225.73845,0.13833322,274.39302,0.35614064,-83.341718,-0.36919593,29.818182,225.73845,-32.93337,274.39302,2.8547936e-05,-66.8577,-0.29617329,0.0011620347,225.73845,0.0032355908,274.39302,0.00092530824,10.904633,0.048306492,5.0239341,225.73845,-0.89993443,274.39302,0.59723666,8088.9769,273609.03,1.2454449,358.77541,1,3
1.0028611,0.29721076,6.8599753,3.3742423,34.891582,1.4011408,0.0042235147,7.0230179,0.10719948,6.8984019,65.513542,34.892439,0.59952471,0.3145747,-0.01271904,-0.048838998,6.8984019,0.26042794,34.892439,0.12354456,0.64758209,0.94414997,0.032798826,6.8599753,28.78609,34.891582,-31.812948,0.75759639,-8.1005638e-06,-0.0069644687,5.1451082,0.0011631273,0.86583894,0.003240794,0.93931243,-0.00010107537,-0.086573238,0.23315431,0.0011675129,0.10800591,0.0032437193,0.34507006,-0.46918706,-0.092614221,79.900303,5.0660369,9.9957766,-0.95991322,0.31232516,-23.986438,-0.11975132,6.8599753,200.30208,34.891582,238.83002,0.25820785,34.306706,0.11319164,5.1451082,303.08515,0.86583894,361.54091,0.21447067,-43.262441,-0.14214977,79.900303,304.34409,9.9957766,361.46093,0.11986846,46.148625,0.21375195,5.1451082,215.89803,0.86583894,263.96368,0.0180762,-29.625126,-0.13668369,79.900303,216.74222,9.9957766,263.52939,0.13493023,-28.122118,-0.12974915,0.23315431,216.74222,0.10800591,263.52939,0.15606548,-104.94072,-0.48606613,29.119277,215.89803,-31.612357,263.96368,1.3823934e-08,-61.614551,-0.28538727,0.0011631273,215.89803,0.003240794,263.96368,0.0014410968,10.254437,0.047496667,5.0451006,215.89803,-0.9617582,263.96368,0.6034048,8101.9849,273552.08,1.2452459,361.54091,1,4
1.1910978,0.21401653,6.8688926,5.5654477,34.87011,1.7096685,0.041646846,3.2898324,0.065015033,6.9073712,50.601104,34.870767,-2.5716613,0.5426506,-0.015612765,-0.04877463,6.9073712,0.32010012,34.870767,0.1657199,0.64801568,0.25613476,0.0087828257,6.8688926,29.163138,34.87011,-30.806074,0.93414877,6.7651406e-05,0.058984767,6.0675543,0.0011469301,1.1996138,0.0032321395,0.51869176,-3.2515355e-05,-0.028253029,0.28776841,0.0011508626,0.13619963,0.0032360963,0.75837241,-0.58434302,-0.11579154,63.838841,5.0465086,3.3117982,-1.0317769,0.20596283,-21.745882,-0.1093809,6.8688926,198.80876,34.87011,231.32133,0.30202352,113.30612,0.37028805,6.0675543,305.99454,1.1996138,355.19323,2.6917812e-05,-73.26282,-0.2384375,63.838841,307.26215,3.3117982,355.03961,0.0084463206,65.44929,0.29886438,6.0675543,218.99328,1.1996138,256.82216,0.0008262522,-44.249639,-0.20123971,63.838841,219.88522,3.3117982,256.56406,0.026873224,-49.705912,-0.2260539,0.28776841,219.88522,0.13619963,256.56406,0.012661792,-94.667963,-0.43228707,29.229933,218.99328,-30.163139,256.82216,6.6203631e-07,-60.257932,-0.27515882,0.0011469301,218.99328,0.0032321395,256.82216,0.0021594515,14.356557,0.065557069,5.0264425,218.99328,-1.0400492,256.82216,0.4731153,8080.3487,273472.33,1.2460003,355.19323,1,5
1.1758311,0.26036281,6.8841247,4.5161254,34.855571,1.9656248,0.012684137,3.5585976,0.047125271,6.9226899,75.513573,34.856061,-4.2594014,0.65916564,0.030257372,0.095941582,6.9226899,0.31537287,34.856061,0.17126667,0.36836711,1.7203708,0.060988547,6.8841247,28.208095,34.855571,-29.610355,0.56577426,-1.3868553e-05,-0.0121569,4.5076142,0.0011407969,1.4615254,0.0032258404,0.89427253,-8.4553871e-05,-0.073896276,0.28037036,0.0011442237,0.13434132,0.0032307908,0.42051755,-0.33945921,-0.067269437,76.958943,5.0462621,-1.0513021,-1.0888843,0.46348893,-24.246537,-0.12259405,6.8841247,197.77907,34.855571,229.35138,0.24699508,68.573054,0.2307975,4.5076142,297.1135,1.4615254,342.74051,0.010538914,-54.21139,-0.18186827,76.958943,298.08053,-1.0513021,343.8812,0.045883034,53.155452,0.24279226,4.5076142,218.93388,1.4615254,252.70017,0.0070480801,-32.688425,-0.14891195,76.958943,219.51512,-1.0513021,251.61601,0.1030738,-52.48119,-0.23907779,0.28037036,219.51512,0.13434132,251.61601,0.0082668561,-92.885214,-0.42426148,28.60228,218.93388,-29.917816,252.70017,1.1162638e-06,-61.857019,-0.28253744,0.0011407969,218.93388,0.0032258404,252.70017,0.0016154458,14.606705,0.066717425,5.0258918,218.93388,-1.0954631,252.70017,0.465301,8064.601,273406.15,1.2473639,342.74051,1,6
1.1743183,0.23036145,6.8966863,5.0977206,34.838121,1.2007591,0.028037197,6.5227164,0.069413697,6.9353227,93.968722,34.838467,6.6640652,0.51563027,-0.015803017,-0.05476157,6.9353227,0.2885786,34.838467,0.16134184,0.60820541,2.4362534,0.086846396,6.8966863,28.052441,34.838121,-28.364228,0.41303896,-0.00014656557,-0.12920071,5.0737553,0.0011344022,0.70447303,0.0032175208,0.15609457,1.3460816e-06,0.0011832817,0.25764766,0.0011375834,0.13986651,0.0032228518,0.98972274,-0.30235693,-0.059522021,87.945094,5.0797491,5.0705327,-1.1576694,0.51664781,-21.123207,-0.10601536,6.8966863,199.24667,34.838121,229.40828,0.31723128,76.169825,0.26516609,5.0737553,287.25326,0.70447303,330.23163,0.0031599595,-46.053608,-0.1599901,87.945094,287.85286,5.0705327,331.90092,0.079613424,60.66391,0.28423043,5.0737553,213.43214,0.70447303,248.41258,0.0015096944,-39.492009,-0.18476997,87.945094,213.73608,5.0705327,246.98764,0.042470835,-48.796479,-0.22830249,0.25764766,213.73608,0.13986651,246.98764,0.011781735,-104.53212,-0.48976746,27.534784,213.43214,-27.756142,248.41258,1.0327967e-08,-57.429724,-0.2690772,0.0011344022,213.43214,0.0032175208,248.41258,0.0027270805,14.727683,0.069004052,5.0591236,213.43214,-1.1634918,248.41258,0.45011143,8043.8019,273320.25,1.248869,330.23163,1,7
1.439936,0.19865554,6.9055348,7.2484062,34.814011,3.8459623,0.059063995,-2.9142734,-0.045000802,6.3675031,64.760477,35.646976,12.151126,0.68623919,-0.0093546526,-0.035400542,6.3675031,0.26425167,35.646976,0.16944676,0.75069525,-0.45944663,-0.023731714,6.9055348,19.360027,34.814011,3.7594066,0.82331135,-3.7921335e-05,-0.033737372,6.848657,0.0011240157,3.7127382,0.003222166,0.71219455,-0.00013962198,-0.12478296,0.25874766,0.0011189186,0.15999517,0.0032959889,0.1858982,-0.72230901,-0.14618098,61.503945,4.941197,12.168271,-0.75985088,0.12067801,-25.341038,-0.12052646,6.9055348,210.25291,34.814011,244.11326,0.25511658,65.559732,0.24018122,6.848657,272.95944,3.7127382,324.25058,0.0077056544,-18.407579,-0.067901083,61.503945,271.09405,12.168271,323.06008,0.47286554,91.120756,0.41389176,6.848657,220.156,3.7127382,261.61778,2.149805e-06,-42.021479,-0.18864703,61.503945,222.75187,12.168271,253.12644,0.044421927,-10.441234,-0.046873831,0.25874766,222.75187,0.15999517,253.12644,0.62043611,-110.35007,-0.50123582,19.525992,220.156,3.7311262,261.61778,4.092752e-09,-63.751967,-0.28957633,0.0011240157,220.156,0.003222166,261.61778,0.0012157693,14.356195,0.065209193,4.9784762,220.156,-1.0170328,261.61778,0.47547185,8055.4149,273447.07,1.249335,324.25058,1,8
