SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.34659795,-0.064319758,3.3425763,5.38867,19.297937,5.2600075,0.62839981,-5.5065254,-0.22423541,3.3425763,24.556895,19.297937,-4.0656167,0.087757154,0.0057940034,0.076144836,3.3425763,0.076091876,19.297937,0.12888843,0.5665102,-1.3974178,-0.092245088,3.3425763,15.148967,19.297937,5.6669987,0.48713583,-0.00012917818,-0.1210661,8.3035101,0.0010670054,1.668181,0.0033089902,0.077198526,0.00035946714,0.33689346,0.12673341,0.0010670054,0.21043105,0.0033089902,4.469251e-07,-2.5505863,-0.60801107,26.564863,4.1949669,-10.852621,-2.5859639,5.0654047e-23,-89.598609,-0.27090228,3.3425763,330.74143,19.297937,204.86505,0.037958886,-41.495792,-0.15078332,8.3035101,275.20148,1.668181,457.81881,0.027420734,-119.57691,-0.43450677,26.564863,275.20148,-10.852621,457.81881,2.8821764e-11,40.280857,0.1861088,8.3035101,216.43715,1.668181,117.15743,0.006324067,12.521203,0.057851452,26.564863,216.43715,-10.852621,117.15743,0.39976409,-40.912465,-0.189027,0.12673341,216.43715,0.21043105,117.15743,0.005535729,-80.524309,-0.37204477,13.080845,216.43715,8.0493894,117.15743,1.9829516e-08,-77.309935,-0.35719347,0.0010670054,216.43715,0.0033089902,117.15743,7.7441296e-08,-10.401703,-0.04805877,4.1949669,216.43715,-2.5859639,117.15743,0.48434844,8272.4755,276953.35,1.1628999,457.81881,1,daily
2.1267146,0.16801151,3.3336845,12.658148,19.361551,4.0086676,0.20338279,-0.10084289,-0.0024325764,3.3336845,41.45518,19.361551,-18.872791,0.98541133,-0.013393436,-0.056140309,3.3336845,0.23857075,19.361551,0.1165975,0.67278506,4.0979228,0.1240043,3.3336845,33.046619,19.361551,-25.82145,0.34941031,-0.00011258576,-0.10109386,11.633013,0.0011136755,-1.2802497,0.0032928568,0.14048351,0.00021580474,0.19377703,0.26516731,0.0011136755,0.18206415,0.0032928568,0.0044393521,-1.736682,-0.39244497,35.746547,4.4252879,-22.356958,-2.8076075,2.7196585e-09,-75.879469,-0.17474954,3.3336845,434.21843,19.361551,199.96363,0.18557972,-23.767037,-0.072577178,11.633013,327.4726,-1.2802497,386.31022,0.29056238,-84.692323,-0.25862415,35.746547,327.4726,-22.356958,386.31022,0.00012998221,42.812172,0.16240322,11.633013,263.61652,-1.2802497,100.16304,0.017423553,-30.338004,-0.11508385,35.746547,263.61652,-22.356958,100.16304,0.093102305,-25.850221,-0.098059943,0.26516731,263.61652,0.18206415,100.16304,0.15284932,-138.52029,-0.52546134,26.943585,263.61652,-18.513222,100.16304,1.3736253e-16,-86.499967,-0.32812802,0.0011136755,263.61652,0.0032928568,100.16304,9.1743012e-07,3.4601629,0.013125744,4.4252879,263.61652,-2.8076075,100.16304,0.84860652,8232.1419,276721.75,1.169723,386.31022,1,0
1.2312921,0.13210991,3.3372462,9.3202103,19.35578,3.2143096,0.31855876,-1.2955835,-0.031792608,3.3372462,40.751093,19.35578,-16.205718,0.81107531,-0.019712595,-0.074891356,3.3372462,0.26321588,19.35578,0.090779388,0.57293387,0.54616491,0.016480848,3.3372462,33.139368,19.35578,-27.194185,0.90140111,-0.00015484613,-0.14016981,10.376426,0.0011047038,-1.7290125,0.0032696076,0.040499006,0.00017646049,0.15973556,0.26172018,0.0011047038,0.17445431,0.0032696076,0.019383275,-1.5727818,-0.35550952,37.924878,4.4240216,-23.143318,-2.8719696,8.998693e-08,-70.125269,-0.16131382,3.3372462,434.71335,19.35578,191.18492,0.22224646,-46.939579,-0.14345041,10.376426,327.21815,-1.7290125,388.97145,0.035987728,-95.629688,-0.29225056,37.924878,327.21815,-23.143318,388.97145,1.3898078e-05,49.239624,0.16668692,10.376426,295.40185,-1.7290125,105.26726,0.014636875,-14.062213,-0.047603671,37.924878,295.40185,-23.143318,105.26726,0.48850042,-0.46005682,-0.0015573931,0.26172018,295.40185,0.17445431,105.26726,0.98193004,-151.24399,-0.51199405,27.764525,295.40185,-20.073239,105.26726,1.068633e-15,-100.44306,-0.34002176,0.0011047038,295.40185,0.0032696076,105.26726,3.4387839e-07,13.253596,0.044866326,4.4240216,295.40185,-2.8719696,105.26726,0.51387071,8174.019,276663.84,1.1695153,388.97145,1,1
0.66998294,0.086767491,3.3370031,7.7215894,19.351492,2.6098934,0.51346758,-4.0103757,-0.11507555,3.3370031,34.849939,19.351492,-16.446898,0.38545566,-0.027572386,-0.084817484,3.3370031,0.32507904,19.351492,0.12911579,0.52301258,-0.64120938,-0.019961492,3.3370031,32.122317,19.351492,-25.12508,0.88071616,-0.0001759543,-0.16056453,10.452447,0.0010958479,-2.1172613,0.0032597967,0.01875477,0.0002152305,0.19640546,0.2760787,0.0010958479,0.18557378,0.0032597967,0.003920553,-1.711345,-0.38804552,34.254126,4.4101656,-22.989775,-2.9604182,4.2229337e-09,-72.401249,-0.1733984,3.3370031,417.54277,19.351492,180.75211,0.18905652,-61.151335,-0.18876877,10.452447,323.94838,-2.1172613,388.87822,0.0056017568,-82.550658,-0.25482658,34.254126,323.94838,-22.989775,388.87822,0.00016432383,47.861672,0.17365691,10.452447,275.61053,-2.1172613,97.781726,0.0109319,-47.805192,-0.17345198,34.254126,275.61053,-22.989775,97.781726,0.011027738,-44.020604,-0.15972032,0.2760787,275.61053,0.18557378,97.781726,0.019394998,-142.86021,-0.5183409,26.886956,275.61053,-18.782583,97.781726,4.1100271e-16,-91.932106,-0.33355803,0.0010958479,275.61053,0.0032597967,97.781726,5.8915358e-07,7.117702,0.025825218,4.4101656,275.61053,-2.9604182,97.781726,0.70718428,8149.4919,276572.89,1.1697039,388.87822,1,2
0.3412659,0.047223649,3.3370453,7.226589,19.347008,2.6377431,0.72246303,-4.2959411,-0.13045257,3.3370453,32.931058,19.347008,-17.048957,0.32472121,0.012952401,0.056775021,3.3370453,0.22813555,19.347008,0.10228402,0.66929831,0.81533514,0.026657081,3.3370453,30.586062,19.347008,-24.738789,0.84115878,-0.00019215191,-0.17573682,9.3318145,0.0010934072,-2.0788801,0.003246208,0.010000015,0.00021197136,0.19386315,0.24407705,0.0010934072,0.17643578,0.003246208,0.00442142,-1.7462581,-0.3976449,31.016516,4.3915014,-21.71684,-3.0386893,1.6032296e-09,-82.154018,-0.19658147,3.3370453,417.91334,19.347008,193.06964,0.13562917,-60.059713,-0.18790946,9.3318145,319.62048,-2.0788801,387.03155,0.0058265779,-65.020553,-0.2034305,31.016516,319.62048,-21.71684,387.03155,0.0027913381,32.657706,0.13035252,9.3318145,250.53376,-2.0788801,95.177063,0.05692899,-43.071003,-0.17191696,31.016516,250.53376,-21.71684,95.177063,0.011769483,-44.193209,-0.17639622,0.24407705,250.53376,0.17643578,95.177063,0.0097196134,-123.476,-0.49285175,27.069261,250.53376,-18.519655,95.177063,1.696298e-14,-86.486939,-0.34521072,0.0010934072,250.53376,0.003246208,95.177063,2.2121853e-07,-5.8205749,-0.023232697,4.3915014,250.53376,-3.0386893,95.177063,0.73542338,8115.5199,276503.1,1.1698423,387.03155,1,3
1.3450927,0.21135728,3.3350358,6.364071,19.340542,1.7466925,0.10806708,-2.4863522,-0.066006208,3.3350358,37.66846,19.340542,-16.414747,0.61940228,0.026219195,0.12565143,3.3350358,0.20866611,19.340542,0.10513946,0.34299618,2.5459447,0.088172764,3.3350358,28.874502,19.340542,-22.828278,0.50664412,-0.00012629183,-0.11532991,9.1846124,0.0010950484,-2.4457804,0.0032401894,0.092400281,0.00019361372,0.17680837,0.28983457,0.0010950484,0.20260137,0.0032401894,0.0095479078,-1.579434,-0.35948705,35.124296,4.3935769,-22.591453,-3.0833692,6.3030331e-08,-68.536361,-0.19099457,3.3350358,358.83931,19.340542,183.57737,0.14732499,-94.568962,-0.29125391,9.1846124,324.69593,-2.4457804,389.57971,1.4913105e-05,-63.156169,-0.19450865,35.124296,324.69593,-22.591453,389.57971,0.0042890704,24.294474,0.10901715,9.1846124,222.85002,-2.4457804,92.202633,0.11179289,-24.300979,-0.10904634,35.124296,222.85002,-22.591453,92.202633,0.1116964,-35.0577,-0.15731522,0.28983457,222.85002,0.20260137,92.202633,0.021323995,-117.78088,-0.52852084,26.959845,222.85002,-18.309798,92.202633,8.5094163e-17,-78.269085,-0.35121865,0.0010950484,222.85002,0.0032401894,92.202633,1.3141075e-07,-12.423603,-0.055748717,4.3935769,222.85002,-3.0833692,92.202633,0.41714278,8100.4734,276463.9,1.1696347,389.57971,1,4
0.87202202,0.13364452,3.3351081,6.5249364,19.335059,2.6984153,0.31291957,-2.6564678,-0.075723264,3.3351081,35.081264,19.335059,-15.552104,0.56866687,0.022584988,0.11108332,3.3351081,0.20331575,19.335059,0.078447754,0.40226235,2.5331454,0.089009004,3.3351081,28.459428,19.335059,-22.837155,0.50260581,-0.00018470572,-0.16865202,10.021965,0.0010951883,-2.2235597,0.0032367533,0.013494756,0.00018073913,0.16503018,0.29595746,0.0010951883,0.19692939,0.0032367533,0.01566462,-1.7117578,-0.39033212,36.447909,4.3853879,-22.834173,-3.1415841,3.3623372e-09,-61.198075,-0.18755419,3.3351081,326.29544,19.335059,177.02106,0.15489124,-57.449747,-0.1791629,10.021965,320.6565,-2.2235597,388.47527,0.0086175235,-67.145227,-0.20939924,36.447909,320.6565,-22.834173,388.47527,0.0020733512,26.353344,0.12771285,10.021965,206.34841,-2.2235597,86.689444,0.062184223,-16.232321,-0.07866463,36.447909,206.34841,-22.834173,86.689444,0.25187753,-33.714639,-0.16338696,0.29595746,206.34841,0.19692939,86.689444,0.016745695,-117.56772,-0.56975349,25.344594,206.34841,-17.318393,86.689444,8.1399585e-20,-75.195005,-0.36440797,0.0010951883,206.34841,0.0032367533,86.689444,4.0299648e-08,-19.196838,-0.093031192,4.3853879,206.34841,-3.1415841,86.689444,0.17513081,8091.8832,276404.39,1.1698262,388.47527,1,5
1.0898333,0.2464287,3.3368087,4.4225099,19.327085,1.4001663,0.059906083,-3.7816902,-0.1326567,3.3368087,28.507345,19.327085,-19.883465,0.31654212,-0.0032988488,-0.012875599,3.3368087,0.25620935,19.327085,0.1207517,0.92289534,2.4255734,0.084797252,3.3368087,28.604387,19.327085,-22.864545,0.52311208,-0.00013309691,-0.12144556,9.2704803,0.0010959389,-2.0626174,0.0032313297,0.076268891,0.00013638701,0.12444765,0.29815163,0.0010959389,0.20854508,0.0032313297,0.069229493,-1.519643,-0.34567623,33.002174,4.3961457,-23.712352,-3.1639252,2.1255153e-07,-62.89352,-0.18001396,3.3368087,349.38134,19.327085,180.53492,0.17247209,-53.934636,-0.17213401,9.2704803,313.32934,-2.0626174,386.21391,0.011662004,-79.203252,-0.25277956,33.002174,313.32934,-23.712352,386.21391,0.00018618324,19.901595,0.090968326,9.2704803,218.775,-2.0626174,87.344883,0.18493637,-18.670013,-0.085338877,33.002174,218.775,-23.712352,87.344883,0.21373598,-35.090307,-0.1603945,0.29815163,218.775,0.20854508,87.344883,0.018882217,-125.62987,-0.57424237,24.803721,218.775,-16.875613,87.344883,3.5969987e-20,-79.246798,-0.36222968,0.0010959389,218.775,0.0032313297,87.344883,4.9168943e-08,-16.30538,-0.074530363,4.3961457,218.775,-3.1639252,87.344883,0.27774016,8078.3243,276374.62,1.1701379,386.21391,1,6
1.3783795,0.23986247,3.3364824,5.7465412,19.321076,1.7313553,0.067278155,-6.0017847,-0.20969193,3.3364824,28.621915,19.321076,-17.406859,0.1109383,0.005698928,0.043838825,3.3364824,0.12999728,19.321076,0.07900517,0.74163708,0.26204793,0.0092260214,3.3364824,28.403135,19.321076,-22.369229,0.94470976,-0.0002944249,-0.27076753,7.5856337,0.0010873715,-2.4110336,0.0032230373,5.9949599e-05,0.0001676321,0.15416267,0.26766498,0.0010873715,0.19125427,0.0032230373,0.024102118,-1.6892779,-0.3873328,30.343301,4.3613087,-20.100329,-3.2184907,4.5321989e-09,-68.772275,-0.17793706,3.3364824,386.49777,19.321076,182.29626,0.17756032,-49.800924,-0.15864897,7.5856337,313.90639,-2.4110336,382.11099,0.020234731,-71.48267,-0.22771971,30.343301,313.90639,-20.100329,382.11099,0.0007909507,32.296383,0.13771168,7.5856337,234.52173,-2.4110336,84.236472,0.044183355,-18.403443,-0.07847223,30.343301,234.52173,-20.100329,84.236472,0.25304282,-36.931801,-0.15747709,0.26766498,234.52173,0.19125427,84.236472,0.021189146,-123.46457,-0.52645258,24.382022,234.52173,-15.833603,84.236472,1.1768438e-16,-84.112494,-0.35865543,0.0010873715,234.52173,0.0032230373,84.236472,6.7928897e-08,-15.383506,-0.065595227,4.3613087,234.52173,-3.2184907,84.236472,0.33958565,8057.5932,276301.61,1.170848,382.11099,1,7
0.17002733,0.030198897,3.336891,5.6302497,19.31372,3.3882325,0.82038426,-7.8677101,-0.30326164,3.336891,25.943637,19.31372,-4.433227,0.019552065,-0.036392565,-0.17837931,3.336891,0.20401785,19.31372,0.092998336,0.17646782,-2.2710529,-0.11831644,3.336891,19.194737,19.31372,5.9790992,0.37212424,-0.00019836354,-0.18193694,8.8628868,0.0010902873,-0.52067271,0.0032435572,0.0076252954,4.9746894e-05,0.045627326,0.28579916,0.0010902873,0.19564457,0.0032435572,0.50674995,-2.2493874,-0.51825937,29.720627,4.3402734,-11.890657,-3.0751238,4.1613132e-16,-63.20666,-0.1949854,3.336891,324.16099,19.31372,172.34333,0.13889679,-58.986755,-0.19184159,8.8628868,307.47637,-0.52067271,376.94743,0.0048600129,-99.433183,-0.3233848,29.720627,307.47637,-11.890657,376.94743,1.341455e-06,33.51613,0.15735447,8.8628868,212.99764,-0.52067271,88.514315,0.021291229,1.778256,0.0083487125,29.720627,212.99764,-11.890657,88.514315,0.90336001,2.8356827,0.013313212,0.28579916,212.99764,0.19564457,88.514315,0.84647075,-65.010039,-0.30521484,17.550512,212.99764,8.619633,88.514315,5.4224127e-06,-76.219632,-0.35784262,0.0010902873,212.99764,0.0032435572,88.514315,7.3069261e-08,-13.963214,-0.065555721,4.3402734,212.99764,-3.0751238,88.514315,0.33987722,8108.8931,276426.69,1.1712646,376.94743,1,8
