SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5656961e-05,0.054380726,3.8155859,0.0010234685,5.0709817,0.0032659176,0.42542703,-0.00018780301,-0.18349662,0.20688044,0.0010234685,0.30340952,0.0032659176,0.0067178726,-2.7996897,-0.60967669,12.011554,4.5920892,-2.2561547,-2.111245,1.7755558e-23,,,,,,,,139.24521,0.50287803,3.8155859,276.89658,5.0709817,390.67608,2.6127451e-15,-199.44039,-0.72027034,12.011554,276.89658,-2.2561547,390.67608,5.3323534e-36,55.964881,0.33642384,3.8155859,166.3523,5.0709817,155.52318,3.8557728e-07,-90.503015,-0.54404426,12.011554,166.3523,-2.2561547,155.52318,4.0743196e-18,-57.745607,-0.34712839,0.20688044,166.3523,0.30340952,155.52318,1.5368245e-07,-78.022458,-0.43791463,10.109434,178.16819,3.8248012,161.69865,6.2736142e-09,-11.793885,-0.070897035,0.0010234685,166.3523,0.0032659176,155.52318,0.29850004,35.066761,0.21079817,4.5920892,166.3523,-2.111245,155.52318,0.0017933572,8164.794,275165.05,1.2017917,390.67608,1,daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.1598513e-06,-0.0028820333,4.8636825,0.0010963965,2.2656885,0.0031752114,0.96640991,-0.00015104398,-0.137764,0.40032139,0.0010963965,0.25613076,0.0031752114,0.043112869,-2.4616813,-0.46158552,13.4979,5.333099,-7.4588014,-3.0630691,7.542462e-13,,,,,,,,109.66494,0.3045395,4.8636825,360.10086,2.2656885,336.72735,5.1501749e-06,-183.67584,-0.5111848,13.4979,359.31397,-7.4588014,336.33017,7.6005841e-16,42.471497,0.28723406,4.8636825,147.86372,2.2656885,100.18075,1.8056042e-05,-85.070451,-0.57661022,13.4979,147.53546,-7.4588014,100.32072,1.2599685e-20,-35.233972,-0.2382868,0.40032139,147.86372,0.25613076,100.18075,0.00041119808,-64.940201,-0.41677257,17.783836,155.81688,-13.742499,110.6533,5.6504069e-08,-13.874433,-0.09404135,0.0011032927,147.53546,0.0031654364,100.32072,0.16747108,16.355053,0.11085507,5.333099,147.53546,-3.0630691,100.32072,0.1034001,7913.5909,274191.12,1.2091563,336.33017,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8974944e-05,-0.02628413,3.1819783,0.0011023741,1.9430105,0.0031487683,0.70022285,-0.00015996862,-0.14511282,0.39816829,0.0011023741,0.25460147,0.0031487683,0.032628809,-2.5600834,-0.47533651,14.975543,5.3858337,-7.6993021,-3.1942304,1.2433417e-13,,,,,,,,94.063997,0.29754312,3.1819783,316.13568,1.9430105,328.34304,8.227401e-06,-202.27014,-0.63982065,14.975543,316.13568,-7.6993021,328.34304,2.2013862e-26,25.034874,0.18049762,3.1819783,138.69919,1.9430105,94.537314,0.0076881429,-79.642227,-0.57420829,14.975543,138.69919,-7.6993021,94.537314,1.9726652e-20,-36.09783,-0.26025984,0.39816829,138.69919,0.25460147,94.537314,0.00010498212,-64.633618,-0.4444912,15.020674,145.41034,-11.977406,104.14869,5.483635e-09,-10.288838,-0.074180952,0.0011023741,138.69919,0.0031487683,94.537314,0.27662075,14.549677,0.10490095,5.3858337,138.69919,-3.1942304,94.537314,0.12341028,7871.9207,274064.59,1.2099097,328.34304,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.7939621e-05,-0.088135567,3.636623,0.0011112383,1.9984308,0.0031568508,0.19589433,-0.00015556311,-0.13999077,0.39461405,0.0011112383,0.24987795,0.0031568508,0.039356572,-2.6514153,-0.49599448,14.153464,5.3456547,-7.4987804,-3.2119793,7.088817e-15,,,,,,,,86.084564,0.28080847,3.636623,306.55972,1.9984308,329.47286,2.6994709e-05,-180.37196,-0.58837463,14.153464,306.55972,-7.4987804,329.47286,1.3282543e-21,23.374506,0.17894739,3.636623,130.62223,1.9984308,89.084724,0.0082370373,-59.406378,-0.45479533,14.153464,130.62223,-7.4987804,89.084724,1.7839911e-12,-22.416812,-0.17161561,0.39461405,130.62223,0.24987795,89.084724,0.011332685,-65.745792,-0.46491599,15.763765,141.41435,-12.014028,98.699293,8.557994e-10,-18.599433,-0.14239103,0.0011112383,130.62223,0.0031568508,89.084724,0.036070791,4.797703,0.036729607,5.3456547,130.62223,-3.2119793,89.084724,0.59049592,7892.1271,274045.61,1.2098169,329.47286,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.4416108e-05,-0.059073948,3.6478498,0.0010904317,2.0901166,0.0031403875,0.38763009,-0.00016803782,-0.1541021,0.38352375,0.0010904317,0.2371883,0.0031403875,0.023498239,-2.5412459,-0.4793656,12.354525,5.3012688,-6.9618199,-3.3006728,7.2190486e-14,,,,,,,,114.60802,0.37307077,3.6478498,307.20183,2.0901166,332.96997,1.5427713e-08,-181.59341,-0.59112625,12.354525,307.19904,-6.9618199,331.55381,7.7442034e-22,39.247013,0.29916983,3.6478498,131.1864,2.0901166,89.164971,7.6673181e-06,-72.837883,-0.55591989,12.354525,131.02226,-6.9618199,88.754072,5.3279158e-19,-34.474109,-0.26278722,0.38352375,131.1864,0.2371883,89.164971,9.2803175e-05,-56.092826,-0.40391479,17.369242,138.87292,-12.774142,95.403623,1.5555852e-07,-14.732678,-0.11244408,0.0010940785,131.02226,0.0031325085,88.754072,0.098517979,8.0104338,0.061137958,5.3012688,131.02226,-3.3006728,88.754072,0.37011636,7831.2712,273964.97,1.2096985,331.55381,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.609575e-05,-0.01480003,3.5669521,0.0010875485,2.3793291,0.0031079244,0.82838703,-0.00017704461,-0.16279238,0.39110019,0.0010875485,0.25324118,0.0031079244,0.016383233,-2.4858411,-0.46324175,13.585508,5.3661853,-7.2172732,-3.3761382,6.0961941e-13,,,,,,,,119.12498,0.38189844,3.5669521,311.92843,2.3793291,334.56481,6.0584175e-09,-194.08984,-0.62222556,13.585508,311.92843,-7.2172732,334.56481,1.1956806e-24,40.738141,0.28188663,3.5669521,144.51959,2.3793291,93.662464,2.5061772e-05,-82.339122,-0.56974368,13.585508,144.51959,-7.2172732,93.662464,4.4950766e-20,-30.30667,-0.20970631,0.39110019,144.51959,0.25324118,93.662464,0.0018967907,-77.764559,-0.50244625,15.682511,154.7719,-11.828648,102.16948,2.0144719e-11,-14.184281,-0.098147806,0.0010875485,144.51959,0.0031079244,93.662464,0.14960214,14.097369,0.097546427,5.3661853,144.51959,-3.3761382,93.662464,0.15212474,7769.8109,273890.82,1.2095946,334.56481,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00013967281,-0.12643433,3.3776206,0.0011047063,2.1572357,0.0030985097,0.06299812,-0.00021009093,-0.19017808,0.41355918,0.0011047063,0.27074707,0.0030985097,0.0049385055,-2.3833278,-0.43748809,13.946996,5.4477547,-7.5235112,-3.437818,1.4715833e-11,,,,,,,,95.518453,0.30532954,3.3776206,312.83725,2.1572357,334.76389,4.612312e-06,-155.7612,-0.49789851,13.946996,312.83725,-7.5235112,334.76389,5.3906875e-15,36.550228,0.22919278,3.3776206,159.47373,2.1572357,93.786833,0.00066865208,-99.192131,-0.62199667,13.946996,159.47373,-7.5235112,93.786833,1.2573663e-24,-37.038327,-0.23225347,0.41355918,159.47373,0.27074707,93.786833,0.00056302607,-84.896966,-0.49327891,15.889691,172.10743,-11.16143,101.72852,5.2514768e-11,-14.135486,-0.088638332,0.0011047063,159.47373,0.0030985097,93.786833,0.19334594,20.090963,0.12598289,5.4477547,159.47373,-3.437818,93.786833,0.063952203,7746.2742,273830.56,1.2096776,334.76389,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00011214263,-0.10196196,3.8422529,0.0010998477,2.3285284,0.0030906769,0.13433522,-0.00016280577,-0.14802574,0.41765622,0.0010998477,0.27196739,0.0030906769,0.029258597,-2.7200043,-0.49974175,15.717596,5.4428197,-7.2836872,-3.4501152,4.1286262e-15,,,,,,,,84.400311,0.2722301,3.8422529,310.03299,2.3285284,335.00461,4.8226552e-05,-131.10126,-0.42286229,15.717596,310.03299,-7.2836872,335.00461,7.9949069e-11,50.512117,0.29879586,3.8422529,169.05227,2.3285284,94.294562,7.5043434e-06,-116.28699,-0.68787594,15.717596,169.05227,-7.2836872,94.294562,9.4360581e-32,-39.320697,-0.23259491,0.41765622,169.05227,0.27196739,94.294562,0.00055225245,-80.209022,-0.45266376,15.071774,177.19338,-10.572789,98.736406,2.6463495e-09,-7.7197192,-0.045664689,0.0010998477,169.05227,0.0030906769,94.294562,0.50340181,29.573011,0.17493413,5.4428197,169.05227,-3.4501152,94.294562,0.0098230301,7726.6922,273808.73,1.2098029,335.00461,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8676274e-05,-0.026622874,3.3175118,0.0010771291,2.1502465,0.003102787,0.69722189,-0.00022235621,-0.20958401,0.39368063,0.0010609407,0.26023589,0.0031232655,0.0020540892,-2.9049994,-0.55249987,15.710358,5.2579186,-7.2475133,-3.2772488,1.3955975e-18,,,,,,,,78.964021,0.25536412,3.3175118,309.22128,2.1502465,334.85742,0.00014800297,-175.03852,-0.56527678,15.710358,309.65099,-7.2475133,335.63086,1.4941775e-19,34.317594,0.20790641,3.3175118,165.0627,2.1502465,94.230567,0.002129929,-98.650547,-0.5966918,15.710358,165.32915,-7.2475133,93.801015,3.9930347e-22,-40.916403,-0.24721646,0.39368063,165.50841,0.26023589,93.235747,0.00026006838,-75.573218,-0.45334401,15.00409,166.7017,-9.7703547,96.51713,2.4884659e-09,2.5503478,0.015467591,0.0010851068,164.88333,0.003092577,94.786041,0.82077415,36.769944,0.22300583,5.3925725,164.88333,-3.4023433,94.786041,0.00094010847,7731.4426,273839.35,1.2100855,333.72868,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0963326e-05,-0.019769859,4.6175948,0.001060368,3.5057595,0.0031667836,0.77369708,-5.304798e-05,-0.050027895,0.42517814,0.001060368,0.35034579,0.0031667836,0.46660458,-3.0547495,-0.58657174,16.168466,5.2078021,-4.4889777,-3.0308041,1.8862346e-21,,,,,,,,57.6852,0.18602575,4.6175948,310.09256,3.5057595,337.84676,0.0063479013,-190.33044,-0.61439126,16.168466,309.78703,-4.4889777,333.85582,6.5352804e-24,30.145235,0.17252228,4.6175948,174.73242,3.5057595,105.93556,0.011471895,-111.55537,-0.64107244,16.168466,174.01368,-4.4889777,106.50388,1.6404053e-26,-56.743197,-0.32474338,0.42517814,174.73242,0.35034579,105.93556,1.2039272e-06,-81.813047,-0.46816691,14.071601,174.75188,3.116207,108.35499,6.2951038e-10,4.7087804,0.027059829,0.0010756663,174.01368,0.003141824,106.50388,0.69181993,46.153617,0.26522983,5.2078021,174.01368,-3.0308041,106.50388,7.6345893e-05,7854.56,274196.19,1.2095641,333.85582,1,8
