SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.052694446,0.005971951,4.9784913,8.8236567,24.477232,3.6733776,0.89846787,-3.3816656,-0.18496183,4.9784913,18.283046,24.477232,-14.420483,6.7106969e-05,-0.016532617,-0.11730692,4.9784913,0.14093472,24.477232,0.17984397,0.011901453,1.3593133,0.087506114,4.9661211,15.533924,24.496862,-10.686341,0.061319329,0.00020758091,0.17488155,8.3259334,0.00118698,3.3667374,0.0035974625,5.8945445e-05,-0.00018053017,-0.15209201,0.13567143,0.00118698,0.17335033,0.0035974625,0.00048870907,-4.2341307,-0.77120368,18.208149,5.4902885,-13.140503,0.83919459,4.597857e-104,39.527991,0.22643261,4.9784913,174.56846,24.477232,318.85928,9.4992917e-07,85.468523,0.26457087,8.3259334,323.04585,3.3667374,527.51559,8.2527679e-10,-270.80302,-0.83828045,18.208149,323.04585,-13.140503,527.51559,4.4188024e-139,60.9835,0.35143997,8.3259334,173.52466,3.3667374,309.60324,1.2775148e-16,-120.09358,-0.69208364,18.208149,173.52466,-13.140503,309.60324,1.2158067e-75,-1.7121684,-0.0098670033,0.13567143,173.52466,0.17335033,309.60324,0.82205737,-41.636645,-0.24000896,15.616088,173.47955,-10.642279,309.97826,2.9157713e-08,64.708016,0.37290387,0.00118698,173.52466,0.0035974625,309.60324,1.1492916e-18,97.38913,0.56124087,5.4902885,173.52466,0.83919459,309.60324,1.1851391e-44,8993.6562,275613.74,1.2230176,527.51559,1,daily
-0.30356177,-0.037256062,4.9974858,8.1479834,24.619572,0.86766462,0.43305232,-3.3885343,-0.14756541,4.9974858,22.96293,24.619572,-17.621434,0.0018008843,-0.024878727,-0.090461174,4.9974858,0.27502104,24.619572,0.13584065,0.056543335,0.63878018,0.021351034,4.9843147,29.917997,24.640095,-28.962038,0.65366459,-1.280444e-05,-0.010309159,7.5746628,0.0012420451,0.82285052,0.0035506753,0.81475303,-0.00027340198,-0.22012243,0.27218344,0.0012420451,0.13311945,0.0035506753,4.086203e-07,-3.9605,-0.68020712,22.425976,5.8224913,-16.391698,0.34815607,9.4677959e-72,36.317297,0.18106129,4.9974858,200.58013,24.619572,285.69183,0.00012276498,45.583146,0.11722571,7.5746628,388.84939,0.82285052,467.41838,0.007509347,-292.65513,-0.75261819,22.425976,388.84939,-16.391698,467.41838,7.0227647e-96,28.392469,0.1421754,7.5746628,199.70029,0.82285052,273.89977,0.0011634923,-133.57222,-0.66886341,22.425976,199.70029,-16.391698,273.89977,1.36851e-68,-32.624879,-0.16336921,0.27218344,199.70029,0.13311945,273.89977,0.00018550785,-55.534998,-0.27804668,30.154059,199.73264,-29.440703,273.86325,1.1437447e-10,55.665615,0.27878159,0.0012412804,199.67464,0.0035492385,273.54189,9.7602822e-11,102.60001,0.51383593,5.8191457,199.67464,0.34103462,273.54189,2.2315907e-36,8873.0963,275106.14,1.2299158,466.61545,1,0
-0.004501719,-0.00032489975,4.986409,13.855717,24.622453,1.3955485,0.99455307,-4.0040156,-0.17037168,4.983933,23.50165,24.614064,-17.852452,0.00030582548,-0.019334596,-0.070141258,4.986409,0.27565225,24.622453,0.13403694,0.14004605,0.68305782,0.023184745,4.9707367,29.46152,24.634564,-28.786588,0.62610156,-2.5161266e-05,-0.020083683,12.846153,0.0012528213,1.2092022,0.0035390198,0.64836223,-0.00023643234,-0.18871992,0.26821905,0.0012528213,0.12754339,0.0035390198,1.534147e-05,-3.9196421,-0.6662782,22.963973,5.8828911,-16.698915,0.24108574,6.8696105e-68,34.730136,0.18225202,4.983933,190.56105,24.614064,282.55063,0.000110533,25.007486,0.067067525,12.846153,372.87026,1.2092022,461.66175,0.1273938,-285.97293,-0.76721754,22.963973,372.74034,-16.698915,461.08685,8.7215041e-102,21.734023,0.11382776,12.846153,190.93781,1.2092022,271.77673,0.0095184493,-122.70774,-0.6430388,22.963973,190.82478,-16.698915,271.54768,6.8086604e-62,-34.192459,-0.17907642,0.26821905,190.93781,0.12754339,271.77673,4.1485938e-05,-49.336021,-0.25849173,29.808508,190.86112,-29.227948,271.50792,2.2795677e-09,54.876626,0.28759468,0.0012542364,190.81238,0.003533581,271.19295,2.323315e-11,97.122594,0.50899524,5.8791974,190.81238,0.23440096,271.19295,1.2789416e-35,8833.9524,275009.27,1.2304988,460.27043,1,1
-0.25006656,-0.027690058,5.0034282,9.0309152,24.613825,1.0321614,0.56150133,-3.2686938,-0.138603,5.0063693,23.583139,24.589607,-17.632727,0.0034285403,-0.027453409,-0.10645899,5.0034282,0.2578778,24.613825,0.12513039,0.025208144,-0.24563968,-0.0082926494,4.9933748,29.621376,24.610087,-28.042167,0.86182622,-8.5947485e-05,-0.067942853,8.3842852,0.0012649967,0.87572533,0.0035379479,0.12285414,-0.00025662188,-0.20286367,0.25835581,0.0012649967,0.12589161,0.0035379479,3.3207933e-06,-3.9253833,-0.66682901,23.171011,5.8866415,-16.577896,0.19231792,4.8779187e-68,29.991454,0.15940503,5.0063693,188.14622,24.589607,277.93213,0.00074900506,17.129125,0.04622033,8.3842852,370.5972,0.87572533,464.60219,0.29419753,-286.93617,-0.77478105,23.171011,370.34484,-16.577896,463.46373,5.0997547e-105,18.905394,0.10068026,8.3842852,187.77657,0.87572533,268.27659,0.022049735,-124.88718,-0.66521907,23.171011,187.73842,-16.577896,267.63041,1.3242435e-67,-29.663032,-0.15796983,0.25835581,187.77657,0.12589161,268.27659,0.00031115552,-47.108873,-0.25087446,29.957043,187.77867,-28.551888,267.58549,6.854366e-09,55.313901,0.29465749,0.0012659129,187.72271,0.0035306609,267.28508,7.0892294e-12,96.009164,0.5114414,5.882933,187.72271,0.18565,267.28508,5.3113921e-36,8826.6522,274961.33,1.230371,462.60485,1,2
0.30879548,0.044163405,4.9986516,6.9921122,24.641462,0.73391318,0.35593511,-3.4517394,-0.14531256,5.0061406,23.753895,24.624152,-17.964909,0.0022456159,-0.014978561,-0.061520207,4.9986516,0.24347384,24.641462,0.11752077,0.19825631,-1.1599288,-0.038721983,4.9929006,29.955305,24.644887,-28.677551,0.41833913,-5.9534019e-05,-0.046649846,6.4793491,0.001276189,0.68728596,0.0035308253,0.29066844,-0.00018934257,-0.14836562,0.24457701,0.001276189,0.11876185,0.0035308253,0.00073153084,-3.9838134,-0.67036421,23.224002,5.9427596,-16.544777,0.12796042,7.1815794e-69,28.78826,0.15603,5.0061406,184.50464,24.624152,277.90833,0.0010244072,17.276378,0.046899445,6.4793491,368.37063,0.68728596,466.2083,0.28809216,-281.99339,-0.7665248,23.224002,367.88554,-16.544777,464.62975,2.6503349e-101,20.088848,0.10761563,6.4793491,186.67222,0.68728596,266.80543,0.014551523,-119.31936,-0.63875377,23.224002,186.80024,-16.544777,265.60564,9.9232827e-61,-25.405279,-0.13609566,0.24457701,186.67222,0.11876185,266.80543,0.0019654026,-50.954185,-0.27279624,30.28921,186.78478,-28.987881,265.72109,2.6156178e-10,55.951983,0.29965077,0.0012742541,186.72398,0.0035208954,265.42852,3.0023616e-12,95.578232,0.5118691,5.9346276,186.72398,0.11579519,265.42852,4.551589e-36,8802.2384,274899.41,1.2303546,463.06985,1,3
0.13004847,0.025278801,5.0257991,5.1445662,24.631201,0.72859065,0.5981849,-2.9101336,-0.12100278,5.0345098,24.050137,24.612979,-17.630436,0.01126134,-0.026555857,-0.099585306,5.0257991,0.26666441,24.631201,0.13770141,0.03743406,-0.53050304,-0.018159632,5.0214164,29.213314,24.633772,-28.585789,0.70501258,-3.1873214e-05,-0.024868654,4.7795455,0.0012816622,0.67251596,0.0035262834,0.57375789,-0.000255409,-0.19927949,0.26472311,0.0012816622,0.13622987,0.0035262834,5.2956439e-06,-4.1125131,-0.68738935,23.353726,5.9828002,-16.077616,0.087541506,1.0959537e-73,26.434874,0.14815178,5.0345098,178.43102,24.612979,276.81117,0.0018778539,-3.3341547,-0.0090929675,4.7795455,366.674,0.67251596,470.93236,0.83706105,-281.89961,-0.76951168,23.353726,366.33572,-16.077616,468.48382,1.4730681e-102,6.1576683,0.033857025,4.7795455,181.87269,0.67251596,265.90258,0.44371042,-119.2135,-0.65514945,23.353726,181.96382,-16.077616,264.9506,7.8838157e-65,-30.732232,-0.16897662,0.26472311,181.87269,0.13622987,265.90258,0.00011843043,-51.714892,-0.28427164,29.6626,181.92068,-28.990925,265.02815,4.1920527e-11,59.754537,0.3285722,0.0012789127,181.86121,0.0035147695,264.7435,1.4820682e-14,95.516104,0.52521428,5.9742844,181.86121,0.076195192,264.7435,3.2934286e-38,8786.9237,274869.19,1.2299244,467.23262,1,4
-0.035564816,-0.0077207619,5.0503207,4.6063868,24.618384,0.43663268,0.87214134,-3.311227,-0.13935021,5.0596708,23.761909,24.599701,-17.674469,0.0034743366,-0.028224264,-0.10444393,5.0503207,0.27023366,24.618384,0.13341228,0.029030435,-0.31005542,-0.01080081,5.0467759,28.706682,24.620452,-27.003089,0.82186578,-0.00012928644,-0.10045305,4.2740767,0.0012870335,0.39046525,0.0035274824,0.022747606,-0.00024270386,-0.18857617,0.25359748,0.0012870335,0.12151659,0.0035274824,1.6806056e-05,-4.0203544,-0.665595,23.121031,6.0402413,-16.091537,0.068955513,1.8876631e-67,26.587014,0.14972535,5.0596708,177.57189,24.599701,275.03623,0.0016762865,-18.023436,-0.049259781,4.2740767,365.88542,0.39046525,477.94254,0.26495571,-277.42533,-0.7590959,23.121031,365.46809,-16.091537,476.30067,4.4858209e-98,1.3449669,0.0074231715,4.2740767,181.18495,0.39046525,263.97013,0.86667177,-115.42561,-0.63661885,23.121031,181.31039,-16.091537,262.79972,4.2221294e-60,-29.04442,-0.16030261,0.25359748,181.18495,0.12151659,263.97013,0.00026317302,-42.273762,-0.23344,29.380016,181.09048,-27.699355,262.89147,7.4563805e-08,62.744692,0.34660663,0.0012844095,181.02565,0.0035158244,262.61512,4.0033171e-16,96.686609,0.53410446,6.0274898,181.02565,0.051278846,262.61512,1.0915247e-39,8789.5611,274849.53,1.2292713,474.33545,1,5
0.31023661,0.053611478,5.0362992,5.7867572,24.608934,0.60472626,0.26343121,-3.3625443,-0.14428419,5.0434775,23.305009,24.581659,-18.379978,0.0024427738,-0.014091077,-0.055170019,5.0362992,0.25541185,24.608934,0.12180509,0.24978261,-1.130076,-0.038062647,5.0306288,29.689895,24.602311,-27.944498,0.42684402,8.7055086e-06,0.006753442,5.3637878,0.0012890476,0.54218955,0.0035263609,0.87872105,-0.00021758292,-0.16879355,0.25458487,0.0012890476,0.11980577,0.0035263609,0.00012235417,-4.1016402,-0.67543436,23.29653,6.0725963,-16.434462,0.035582364,5.2621968e-70,23.49989,0.1288499,5.0434775,182.38191,24.581659,273.46793,0.006865783,21.68601,0.060586989,5.3637878,357.9318,0.54218955,482.65111,0.17063175,-270.37675,-0.75600666,23.29653,357.63805,-16.434462,480.92599,1.1653493e-96,3.8931747,0.021163134,5.3637878,183.96022,0.54218955,262.42414,0.63249452,-126.00218,-0.68527434,23.29653,183.87115,-16.434462,261.51226,8.5575102e-73,-27.131695,-0.14748675,0.25458487,183.96022,0.11980577,262.42414,0.00080609275,-49.061948,-0.26713166,29.862531,183.66205,-28.13806,261.7185,6.5025904e-10,61.568056,0.33536079,0.0012889388,183.58752,0.0035128809,261.44881,4.1573399e-15,96.731017,0.5268932,6.0590126,183.58752,0.019615607,261.44881,2.0539992e-38,8782.2022,274819.26,1.2288635,478.99871,1,6
0.359476,0.055838822,5.0259237,6.4377433,24.571147,0.62532557,0.2446228,-3.0837061,-0.12144495,5.0334393,25.391801,24.543728,-18.439768,0.010964962,-0.026566761,-0.10948493,5.0259237,0.24265222,24.571147,0.11850392,0.022229303,-1.2938861,-0.043607122,5.0206895,29.671439,24.564328,-27.614588,0.36313441,6.965035e-05,0.054425459,5.9632965,0.0012797384,0.55660728,0.003520972,0.21891853,-0.00016698939,-0.13048713,0.23753054,0.0012797384,0.11474398,0.003520972,0.0030961517,-4.0616132,-0.66982598,24.972698,6.0636842,-16.697293,0.013406008,1.830985e-68,25.276965,0.13988013,5.0334393,180.70448,24.543728,273.03396,0.003351164,16.224424,0.046097063,5.9632965,351.9622,0.55660728,485.9003,0.29784698,-258.31671,-0.73471239,24.972698,351.58889,-16.697293,483.63494,1.1379889e-88,6.6097055,0.035995361,5.9632965,183.62659,0.55660728,263.18997,0.4163587,-121.32431,-0.66100574,24.972698,183.54502,-16.697293,261.91399,4.1665594e-66,-26.204709,-0.1427065,0.23753054,183.62659,0.11474398,263.18997,0.0012046647,-48.235698,-0.26316061,30.154536,183.29376,-28.275869,262.05874,1.1832273e-09,60.998136,0.33292798,0.0012799077,183.21721,0.0035049304,261.79245,6.7195448e-15,96.034995,0.52415924,6.0506374,183.21721,-0.003367052,261.79245,5.7612683e-38,8762.326,274783.29,1.2288364,481.74128,1,7
0.026984981,0.0042398256,5.0417941,6.364644,24.55248,0.89287683,0.93022578,-3.2816326,-0.1172865,5.0389733,27.979628,24.532375,-16.866601,0.014839455,-0.015120276,-0.059920984,5.0417941,0.25233692,24.55248,0.12131179,0.21549575,0.95019131,0.03456823,5.0219654,27.487416,24.547068,-22.293248,0.47412418,2.1047084e-05,0.016556467,5.883617,0.0012712304,0.78613797,0.0035171438,0.70859772,-0.00019075448,-0.150055,0.24689842,0.0012712304,0.11907041,0.0035171438,0.00065834377,-3.8028025,-0.62726332,26.756289,6.0625297,-15.192539,0.065928155,1.1259282e-57,24.145859,0.13271649,5.0347211,181.93564,24.526274,279.04378,0.0057325625,34.041013,0.096864086,5.883617,351.4307,0.78613797,491.26857,0.028409651,-235.70955,-0.67067791,26.756289,351.44971,-15.192539,489.25582,1.4483319e-68,21.63162,0.11799198,5.883617,183.33127,0.78613797,267.87681,0.0075250206,-114.91209,-0.62731964,26.756289,183.17949,-15.192539,267.01856,1.0926823e-57,-27.312014,-0.1489763,0.24689842,183.33127,0.11907041,267.87681,0.00072065408,-46.694373,-0.25538151,27.250293,182.84164,-22.335869,266.97402,3.7153033e-09,64.721195,0.35411197,0.0012694215,182.77043,0.0035042336,266.70164,8.8827037e-17,98.100419,0.5367412,6.0437076,182.77043,0.046460501,266.70164,4.6225948e-40,8760.584,274812.72,1.2285726,487.23719,1,8
-1.3705738,-0.071194562,5.0755351,19.251102,24.610055,4.2546431,0.1447584,-3.2756365,-0.15487983,5.0881524,21.149536,24.585832,-13.085036,0.0013969361,-0.050704756,-0.15278061,5.0755351,0.33187953,24.610055,0.18639067,0.0016668264,0.56151494,0.028661393,5.0759248,19.591334,24.594306,5.6378132,0.5566301,6.1726667e-05,0.048726096,17.54003,0.0012668092,3.6003514,0.0035600292,0.2711123,-0.00012743292,-0.10059362,0.32186195,0.0012668092,0.17913406,0.0035600292,0.022822848,-4.2221037,-0.7110804,20.844259,5.9375898,-11.289362,0.3822219,1.1579647e-80,24.894042,0.13275104,5.0891982,187.52428,24.572815,293.5734,0.0061895435,53.715871,0.15097285,17.54003,355.79823,3.6003514,511.2782,0.00060929887,-247.19976,-0.6950842,20.844259,355.64002,-11.289362,509.1191,1.095752e-75,41.781537,0.22287039,17.54003,187.47011,3.6003514,282.29935,3.4897158e-07,-117.38672,-0.62710192,20.844259,187.18923,-11.289362,281.66755,9.5472902e-58,-13.523511,-0.072136894,0.32186195,187.47011,0.17913406,282.29935,0.10301557,-10.679779,-0.057106937,20.22893,187.01369,6.1452124,281.58536,0.19440727,63.686626,0.3406772,0.0012649206,186.94126,0.0035477968,281.30624,1.4343517e-15,100.45174,0.53734388,5.9219244,186.94126,0.37237283,281.30624,3.6498771e-40,8869.492,275123.65,1.226375,507.23133,1,9
-0.043046701,-0.0021065696,5.0985118,20.434502,24.726544,8.0332823,0.96628911,-3.3722836,-0.16907154,5.1061479,19.945898,24.695637,-7.155909,0.00059574247,-0.0051678195,-0.012306562,5.0985118,0.41992391,24.726544,0.29574333,0.80497893,1.6025935,0.048466652,5.0919334,33.0659,24.718216,38.568333,0.32879256,0.000266457,0.2109536,18.427787,0.0012631072,6.8233632,0.0036363133,1.4648727e-06,7.2143817e-05,0.05711615,0.40169322,0.0012631072,0.27543786,0.0036363133,0.19695151,-3.6909397,-0.64258908,20.153406,5.7438568,-4.551847,0.9547027,1.1482842e-61,24.236419,0.12111139,5.1061479,200.11675,24.695637,326.37553,0.014251618,101.93442,0.28705167,18.427787,355.10828,6.8233632,554.40205,3.6122662e-11,-208.21429,-0.58624003,20.153406,355.169,-4.551847,551.4455,3.9086457e-49,72.951033,0.3645019,18.427787,200.13896,6.8233632,311.12085,1.5610389e-17,-89.403735,-0.44708081,20.153406,199.9722,-4.551847,310.93601,8.0458555e-27,46.986178,0.23476777,0.40169322,200.13896,0.27543786,311.12085,7.6796004e-08,53.41147,0.26691498,34.261347,200.10668,38.698668,311.45963,6.7202173e-10,59.430715,0.29723097,0.0012628761,199.94792,0.0036229211,311.29662,4.7827936e-12,105.72636,0.52876947,5.7383204,199.94792,0.95422158,311.29662,1.0065497e-38,9057.3027,275695.85,1.2214323,551.24668,1,10
-0.29076255,-0.010555865,5.0938134,27.545118,24.715022,12.467772,0.8349683,-2.8561021,-0.1418992,5.1134063,20.127683,24.676646,-1.5778713,0.0047730769,0.0085748601,0.020249672,5.0938134,0.42345674,24.715022,0.37268885,0.6893895,2.6616692,0.058531467,5.1276756,45.474159,24.653452,61.056519,0.24580523,0.00031767028,0.25290782,24.487248,0.0012560714,10.454162,0.0036892475,5.8731586e-09,0.00025773965,0.20526814,0.40207687,0.0012556243,0.33294202,0.0036921,2.6991366e-06,-2.9699875,-0.52908153,21.070519,5.6134779,0.86437292,1.5458639,1.0540341e-38,31.879021,0.14648483,5.1276756,217.62677,24.653452,365.57395,0.0035244592,122.64475,0.34457563,24.487248,355.92985,10.454162,574.56399,8.3847855e-16,-160.039,-0.45022701,21.070519,355.4629,0.86437292,574.17229,3.2102436e-27,93.491749,0.43303738,24.487248,215.89764,10.454162,351.25732,5.9337404e-25,-51.772404,-0.23957725,21.070519,216.099,0.86437292,352.86217,3.3879892e-08,60.336187,0.27951347,0.40207687,215.86146,0.33294202,351.71158,1.1141431e-10,81.22769,0.37596588,46.885926,216.0507,61.982365,352.09056,6.6500923e-19,54.895221,0.25408491,0.0012568724,216.0507,0.0036779732,352.09056,4.1827224e-09,112.68726,0.52157786,5.6137772,216.0507,1.5262356,352.09056,1.2892912e-37,9194.9331,276272.74,1.2182765,572.63791,1,11
0.65983773,0.025145605,5.0920694,26.240678,24.59895,14.469046,0.61563386,-2.0633913,-0.097952877,5.0869693,21.065143,24.581898,-0.10713528,0.050272668,0.01422385,0.032674098,5.0869693,0.43532496,24.581898,0.40752492,0.51465222,3.7653732,0.079653786,5.0875762,47.271741,24.616146,66.398271,0.11079837,0.00035299602,0.28152163,23.649764,0.001253886,12.427015,0.0037169496,7.4360106e-11,0.00022317882,0.17827636,0.4107032,0.00125187,0.36561964,0.003722934,4.8121148e-05,-2.4776994,-0.45272599,22.2768,5.4728455,2.3680138,2.006466,2.1741034e-27,30.296583,0.13109594,5.1074225,231.10238,24.590419,403.59202,0.008415248,137.03336,0.38869273,23.649764,352.54932,12.427015,622.86082,4.6830016e-20,-132.66878,-0.37671519,22.2768,352.17264,2.3680138,624.21419,8.2472553e-19,125.45544,0.54000104,23.649764,232.32445,12.427015,387.37823,2.1539813e-40,-24.209905,-0.1043995,22.2768,231.89676,2.3680138,389.25828,0.017791739,79.769136,0.34415492,0.4107032,231.78264,0.36561964,388.70539,9.7367431e-16,97.226294,0.41803925,48.622846,232.57695,66.378314,388.20775,2.2716149e-23,45.05431,0.19385569,0.001250606,232.41159,0.003714197,388.43703,8.4972986e-06,116.45842,0.50108698,5.4918287,232.41159,1.9757981,388.43703,2.088073e-34,9285.4925,276746.71,1.2125365,623.67018,1,12
1.4598443,0.052228775,5.0799175,27.950958,24.677119,15.482562,0.29740341,-2.8342654,-0.12845544,5.0737267,22.064191,24.675087,-2.1144147,0.010025044,0.0017470686,0.003958214,5.0799175,0.44137801,24.677119,0.39822191,0.93709877,3.4598034,0.075647421,5.0683212,45.735907,24.656592,55.774615,0.12950233,0.0003146081,0.25313162,25.323745,0.0012428637,13.221157,0.0037382041,5.6889103e-09,0.00025230715,0.20300468,0.42279693,0.0012428637,0.36753978,0.0037382041,3.4146512e-06,-2.5870265,-0.48056123,23.061046,5.3833443,0.58472365,2.2852611,3.1348171e-31,36.513526,0.14782445,5.0683212,247.006,24.656592,435.6651,0.0029327867,145.86274,0.40986748,25.323745,355.8778,13.221157,669.96629,2.771637e-22,-143.83489,-0.40449007,23.061046,355.5956,0.58472365,669.78507,9.0095263e-22,129.31387,0.51579412,25.323745,250.7083,13.221157,416.56519,2.378608e-36,-21.405078,-0.085307332,23.061046,250.91721,0.58472365,417.43284,0.052558982,79.595854,0.31748392,0.42279693,250.7083,0.36753978,416.56519,1.5935127e-13,109.12755,0.43573543,46.432306,250.44453,56.037942,418.14442,1.6525865e-25,30.484583,0.1217219,0.0012423305,250.44453,0.0037327222,418.14442,0.0054468137,119.21983,0.4760329,5.3736506,250.44453,2.2984038,418.14442,9.1146106e-31,9331.8055,277095.87,1.2075563,669.27387,1,13
