SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.0166486,0.19831418,4.6088261,5.1264544,47.39519,3.2533962,0.0005871628,-4.130061,-0.3245913,4.6088261,12.723881,47.39519,-13.250657,1.0276517e-08,-0.0046973354,-0.034633682,4.6088261,0.13562911,47.39519,0.17793486,0.55215934,2.5204695,0.20942122,4.5748554,12.035406,47.429054,-5.2322991,0.00024151303,0.00028745464,0.26281265,5.1264544,0.0010937626,3.2533962,0.0033899359,4.4093527e-06,-9.6044982e-05,-0.087811547,0.13562911,0.0010937626,0.17793486,0.0033899359,0.13108088,-2.9624807,-0.61063112,12.723881,4.8515062,-13.250657,-0.46143343,9.742297e-32,-2.3284464,-0.011536317,4.5748554,201.8362,47.429054,291.72911,0.84148988,118.58652,0.38239319,5.1264544,310.11673,3.2533962,468.8553,8.8957867e-12,-179.10157,-0.57752954,12.723881,310.11673,-13.250657,468.8553,8.106903e-28,96.699267,0.47523981,5.1264544,203.47468,3.2533962,291.40081,3.8577954e-18,-122.5997,-0.60253049,12.723881,203.47468,-13.250657,291.40081,9.781292e-31,-13.472101,-0.066210209,0.13562911,203.47468,0.17793486,291.40081,0.25533646,-93.460015,-0.46304883,12.035406,201.8362,-5.2322991,291.72911,1.6527439e-17,-14.36,-0.071146804,0.0010944605,201.8362,0.0033702846,291.72911,0.21687085,42.826917,0.2121865,4.8550001,201.8362,-0.54544754,291.72911,0.00019867394,8425.7114,276291.78,1.199344,464.14539,1,daily
0.52745955,0.094464924,4.7081331,5.5836551,47.551041,1.4433229,0.10599652,-4.5145647,-0.24767544,4.7081331,18.227745,47.551041,-15.958346,1.7408401e-05,-0.039615186,-0.131835,4.7121718,0.30049066,47.56237,0.14600169,0.024016527,0.36835696,0.01717905,4.6592624,21.442219,47.567983,-18.582304,0.76584061,0.00017534306,0.15188043,5.5836551,0.0011544809,1.4433229,0.0033516871,0.009100345,-0.00019119601,-0.1656115,0.30049066,0.0011544851,0.14600169,0.0033556165,0.00447826,-3.0199683,-0.54085324,18.227745,5.5837112,-15.958346,-1.148102,9.7805682e-24,8.7462281,0.042179559,4.6592624,207.35703,47.567983,231.76542,0.4644701,70.719558,0.19289813,5.5836551,366.61609,1.4433229,413.24309,0.00088512757,-150.20131,-0.40969646,18.227745,366.61609,-15.958346,413.24309,2.5044963e-13,99.203148,0.47582722,5.5836551,208.48565,1.4433229,230.33735,5.1165323e-18,-134.99521,-0.64750362,18.227745,208.48565,-15.958346,230.33735,2.4937001e-36,-39.345408,-0.18841266,0.30049066,208.82572,0.14600169,230.49077,0.0011936678,-78.071906,-0.37650957,21.442219,207.35703,-18.582304,231.76542,1.220097e-11,9.5438136,0.046025995,0.0011603209,207.35703,0.0033202624,231.76542,0.42470723,63.675566,0.30708178,5.6131711,207.35703,-1.2867393,231.76542,4.8800474e-08,8300.6559,275534.12,1.2062906,407.24294,1,0
0.3136202,0.058750129,4.6822272,5.3382044,47.542563,1.5254775,0.31541192,-4.4113924,-0.24275797,4.6822272,18.171978,47.542563,-15.286822,2.5785581e-05,-0.015385672,-0.055910076,4.68626,0.27518603,47.553807,0.12259198,0.34024483,0.21716902,0.01018384,4.6331984,21.324867,47.558799,-18.428119,0.85986901,0.00012979735,0.1128151,5.3382044,0.0011505317,1.5254775,0.003339438,0.053321448,-0.00013460722,-0.11699979,0.27518603,0.0011504911,0.12259198,0.0033433982,0.045389103,-3.0650636,-0.54687978,18.171978,5.6046387,-15.286822,-1.2390799,2.4854748e-24,7.9161377,0.038313591,4.6331984,206.61435,47.558799,227.30024,0.50642915,69.005888,0.20810955,5.3382044,331.58444,1.5254775,402.15895,0.00032746227,-167.01252,-0.50368021,18.171978,331.58444,-15.286822,402.15895,2.5607808e-20,121.52307,0.58316167,5.3382044,208.38659,1.5254775,225.97247,3.5174837e-28,-139.4605,-0.66923935,18.171978,208.38659,-15.286822,225.97247,1.5074085e-39,-37.135805,-0.17791065,0.27518603,208.73289,0.12259198,226.09268,0.0022375491,-68.345864,-0.33078953,21.324867,206.61435,-18.428119,227.30024,3.6092841e-09,10.079062,0.048782003,0.0011567101,206.61435,0.0033066706,227.30024,0.39747612,63.164186,0.30571055,5.6275395,206.61435,-1.383703,227.30024,5.6345681e-08,8266.6765,275443.6,1.2072232,396.37725,1,1
0.21575198,0.045653298,4.6730118,4.7258794,47.542548,1.469198,0.43626006,-4.8196322,-0.27559456,4.6689691,17.488125,47.531366,-15.07859,1.5979529e-06,-0.029227024,-0.10056806,4.6773524,0.29061934,47.553373,0.13485687,0.086255734,0.44867705,0.021208459,4.620744,21.155571,47.546274,-18.208729,0.71310523,0.000150131,0.13043662,4.7258794,0.0011509881,1.469198,0.0033318793,0.02556753,-0.00021592541,-0.18764029,0.29061934,0.0011507412,0.13485687,0.0033360527,0.0012760815,-3.0965616,-0.54855113,17.488125,5.6449826,-15.07859,-1.3150782,1.6915063e-24,7.8117723,0.038801705,4.620744,201.32549,47.546274,225.21604,0.50102429,71.273695,0.21390458,4.7258794,333.20322,1.469198,412.18714,0.00022550217,-166.8715,-0.50059693,17.488125,333.34504,-15.07859,410.91814,4.7152628e-20,103.66145,0.50927036,4.7258794,203.54896,1.469198,223.93264,9.6982882e-21,-129.16111,-0.63561246,17.488125,203.20732,-15.07859,223.84145,1.1198112e-34,-43.768047,-0.21471756,0.29061934,203.8401,0.13485687,223.64829,0.00021853753,-65.023198,-0.32297549,21.155571,201.32549,-18.208729,225.21604,8.7315418e-09,11.903296,0.059124632,0.0011575686,201.32549,0.0032938866,225.21604,0.30497641,61.124005,0.30360788,5.6668641,201.32549,-1.4641419,225.21604,7.0142542e-08,8234.7165,275360.25,1.2066827,405.05922,1,2
0.1453417,0.029373302,4.6650421,4.9480888,47.531106,1.3173278,0.61715524,-6.106063,-0.3658428,4.6650421,16.690401,47.531106,-15.097471,1.1209466e-10,-0.030793304,-0.1245136,4.6650421,0.24730876,47.531106,0.11165924,0.033432835,-0.97731346,-0.04732262,4.605912,20.652142,47.53016,-18.105055,0.41176298,0.00011136987,0.095986533,4.9480888,0.0011602656,1.3173278,0.0033266665,0.10163778,-0.00010439925,-0.089978755,0.24730876,0.0011602656,0.11165924,0.0033266665,0.12501098,-3.2187945,-0.56588205,16.690401,5.6881014,-15.097471,-1.3293288,4.0524993e-26,14.569584,0.073432091,4.605912,198.40895,47.53016,227.46927,0.20242856,66.78656,0.19832981,4.9480888,336.74494,1.3173278,417.21636,0.00065334302,-191.4064,-0.5684017,16.690401,336.74494,-15.097471,417.21636,2.19037e-26,80.426474,0.40059631,4.9480888,200.76688,1.3173278,225.18188,1.1089048e-12,-122.472,-0.61002095,16.690401,200.76688,-15.097471,225.18188,3.7506321e-31,-43.812797,-0.21822721,0.24730876,200.76688,0.11165924,225.18188,0.00017095438,-66.060617,-0.33295179,20.652142,198.40895,-18.105055,227.46927,2.8140151e-09,7.3262506,0.036925,0.0011680295,198.40895,0.0032826886,227.46927,0.5219702,55.511331,0.27978239,5.7102591,198.40895,-1.5173762,227.46927,7.4517893e-07,8206.7216,275314.73,1.2063677,408.78184,1,3
0.12791242,0.02526196,4.6480072,5.0634401,47.520765,1.6970376,0.66727305,-5.5626917,-0.32704877,4.6480072,17.008753,47.520765,-15.088123,1.0479311e-08,-0.024314868,-0.084932104,4.6522934,0.28628595,47.531637,0.13165686,0.14839896,-0.90660137,-0.041556661,4.5893193,21.81603,47.517536,-18.87709,0.47109784,0.00019278415,0.16542544,5.0634401,0.0011653839,1.6970376,0.0033179955,0.0045937835,-0.00016063068,-0.1378636,0.28628595,0.001165142,0.13165686,0.0033222271,0.018627615,-3.2216398,-0.56595684,17.008753,5.6923771,-15.088123,-1.3073836,3.9794592e-26,15.303501,0.075826184,4.5893193,201.82344,47.517536,234.6714,0.18806037,75.428028,0.22211415,5.0634401,339.59128,1.6970376,421.45635,0.00012965009,-189.57054,-0.55823147,17.008753,339.59128,-15.088123,421.45635,2.5421717e-25,72.421722,0.35417369,5.0634401,204.4808,1.6970376,233.0098,4.6870379e-10,-131.26442,-0.64194007,17.008753,204.4808,-15.088123,233.0098,2.5772955e-35,-40.773199,-0.19906257,0.28628595,204.82605,0.13165686,232.91085,0.00063692777,-70.808027,-0.35084144,21.81603,201.82344,-18.87709,234.6714,3.3286086e-10,6.3118615,0.031274174,0.001172565,201.82344,0.0032739693,234.6714,0.58763331,57.375276,0.2842845,5.7242745,201.82344,-1.5011881,234.6714,4.8471591e-07,8184.9233,275338.96,1.2058398,413.30018,1,4
0.19814315,0.038085253,4.6413242,5.2026214,47.494317,1.4914097,0.51610346,-4.7723923,-0.24947948,4.6413242,19.129398,47.494317,-14.429635,1.5556434e-05,-0.034371408,-0.11630699,4.6456174,0.29552314,47.505096,0.13267969,0.047069548,0.20630994,0.0095319775,4.5865141,21.643981,47.50162,-18.544648,0.86875501,5.1663066e-05,0.043638162,5.2026214,0.0011838965,1.4914097,0.0033089521,0.4567999,-0.00025346979,-0.21410625,0.29552314,0.0011838505,0.13267969,0.0033130451,0.00022799604,-2.7708508,-0.48338222,19.129398,5.732215,-14.429635,-1.3544317,1.459011e-18,11.32456,0.055146658,4.5865141,205.35352,47.50162,237.19393,0.33872241,69.343957,0.20531113,5.2026214,337.75059,1.4914097,421.3933,0.00040455851,-153.32176,-0.45394964,19.129398,337.75059,-14.429635,421.3933,2.6629788e-16,81.976484,0.39488652,5.2026214,207.59504,1.4914097,234.95217,2.2549055e-12,-128.7731,-0.6203091,19.129398,207.59504,-14.429635,234.95217,1.5074969e-32,-36.822541,-0.17708908,0.29552314,207.93231,0.13267969,234.78769,0.0023881867,-75.229907,-0.3663434,21.643981,205.35352,-18.544648,237.19393,4.6815144e-11,2.318397,0.011289784,0.0011894085,205.35352,0.0032696236,237.19393,0.84483398,55.111961,0.26837602,5.755781,205.35352,-1.5214092,237.19393,2.1422984e-06,8174.0589,275323.43,1.2056963,414.51693,1,5
0.070203394,0.012325608,4.6293198,5.6957349,47.472556,1.470231,0.83360013,-4.17008,-0.2441677,4.6293198,17.078754,47.472556,-14.753645,2.3815205e-05,-0.050785923,-0.18865341,4.6336719,0.26920226,47.483204,0.12210253,0.0011994284,0.4500286,0.020892397,4.5746474,21.540305,47.478068,-17.679169,0.71719649,2.0244086e-06,0.0016956846,5.6957349,0.0011938591,1.470231,0.003304037,0.97694323,-0.00026313538,-0.22042121,0.26920226,0.0011937843,0.12210253,0.0033081924,0.00014633359,-3.1246851,-0.53912365,17.078754,5.7958599,-14.753645,-1.3739096,1.7148085e-23,8.4182547,0.03920326,4.5746474,214.73354,47.478068,240.14608,0.49660079,75.629115,0.22334851,5.6957349,338.61482,1.470231,418.4522,0.00011545329,-176.79485,-0.52211197,17.078754,338.61482,-14.753645,418.4522,6.8536735e-22,73.351225,0.3378662,5.6957349,217.1014,1.470231,237.42143,2.9559647e-09,-148.02587,-0.68182824,17.078754,217.1014,-14.753645,237.42143,2.1025741e-41,-33.979065,-0.15624419,0.26920226,217.4741,0.12210253,237.42419,0.0074752089,-73.212154,-0.3409442,21.540305,214.73354,-17.679169,240.14608,1.1026138e-09,0.010408682,4.8472548e-05,0.0011993832,214.73354,0.003264696,240.14608,0.99932956,57.238617,0.26655648,5.822246,214.73354,-1.5390116,240.14608,2.5242154e-06,8161.7399,275304.41,1.2059988,411.72748,1,6
0.36197937,0.073635024,4.6496967,4.9158586,47.476483,1.1976905,0.20963034,-4.9200655,-0.26839458,4.6496967,18.331464,47.476483,-15.525856,3.2826026e-06,-0.022969391,-0.083528132,4.6496967,0.27498988,47.476483,0.12938195,0.15453444,0.47666672,0.021885592,4.5903766,21.779932,47.469091,-17.898343,0.70436779,6.0263314e-05,0.050038307,4.9158586,0.0012043436,1.1976905,0.0033153615,0.39425783,-0.00026902739,-0.22338093,0.27498988,0.0012043436,0.12938195,0.0033153615,0.00011835135,-3.1004754,-0.5351018,18.331464,5.7941785,-15.525856,-1.3579555,4.9554178e-23,6.9716117,0.032700316,4.5903766,213.19708,47.469091,236.48406,0.57070743,75.780993,0.2228194,4.9158586,340.10052,1.1976905,419.52746,0.00012324077,-157.28095,-0.46245431,18.331464,340.10052,-15.525856,419.52746,7.0332617e-17,87.427648,0.40424041,4.9158586,216.27637,1.1976905,234.50513,6.6180832e-13,-145.21595,-0.67143696,18.331464,216.27637,-15.525856,234.50513,1.2569861e-39,-35.736829,-0.16523686,0.27498988,216.27637,0.12938195,234.50513,0.0046411004,-82.420719,-0.38659404,21.779932,213.19708,-17.898343,236.48406,3.0667596e-12,-1.627409,-0.0076333552,0.0012099513,213.19708,0.0032711291,236.48406,0.89472665,54.38022,0.2550702,5.8245048,213.19708,-1.5496865,236.48406,6.917236e-06,8177.8228,275284.6,1.2061293,412.01718,1,7
0.23421801,0.044050515,4.6554493,5.3170322,47.485395,1.764718,0.45489685,-3.418647,-0.18998318,4.6474958,17.994472,47.483796,-14.996746,0.0011274273,-0.018261306,-0.069870255,4.6554493,0.26136023,47.485395,0.12382385,0.23555957,1.3865769,0.071849134,4.598167,19.29845,47.452622,-11.962418,0.21235593,6.6119031e-05,0.055956746,5.3170322,0.0011816097,1.764718,0.0033519795,0.34234721,-0.00023134745,-0.19579008,0.26136023,0.0011816097,0.12382385,0.0033519795,0.00080146754,-2.66675,-0.48578548,17.994472,5.4895629,-14.996746,-1.0860206,1.2245596e-18,2.1054103,0.010001697,4.598167,210.5053,47.452622,246.3328,0.8623502,83.059032,0.24811493,5.3170322,334.76031,1.764718,419.15143,1.9198342e-05,-146.65169,-0.43792715,17.994472,334.8769,-14.996746,417.88801,4.5882528e-15,79.620422,0.37321924,5.3170322,213.33418,1.764718,244.05786,5.1320511e-11,-128.49598,-0.6031973,17.994472,213.0248,-14.996746,243.7646,3.1822528e-30,-46.476013,-0.21785544,0.26136023,213.33418,0.12382385,244.05786,0.00018480656,-87.426178,-0.4153158,19.29845,210.5053,-11.962418,246.3328,4.5960695e-14,-5.2776112,-0.025071156,0.0011978239,210.5053,0.0032924373,246.3328,0.66379797,51.726274,0.24572433,5.5870401,210.5053,-1.3237459,246.3328,1.5175252e-05,8231.0932,275496.3,1.2060411,409.81834,1,8
