SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.53158421,-0.072367271,4.3506152,7.345644,40.57844,-1.6280351,0.12743512,-3.7655494,-0.14648822,4.2565045,25.705476,40.549621,-14.212462,0.0015931239,0.0079130908,0.070962281,4.3451868,0.11151122,40.554043,0.22679757,0.13589749,-0.47228155,-0.033009787,4.1017656,14.307319,40.545143,-3.574997,0.46461121,-0.00063477934,-0.54949484,7.2994941,0.0011552053,-1.5381901,0.0036831013,2.9687328e-37,0.00029460987,0.25572578,0.11096899,0.0011520539,0.22540357,0.0036755613,3.3934327e-08,-2.4047818,-0.5223314,25.620993,4.6039388,-14.432407,-0.18409573,2.136643e-34,-12.748079,-0.080890192,4.2165717,157.59733,40.961779,183.27081,0.062017626,-140.23142,-0.44541427,7.2994941,314.83369,-1.5381901,558.39923,1.4732811e-23,-123.61029,-0.3957022,25.620993,312.38211,-14.432407,558.92015,3.8349229e-19,14.944774,0.081486557,7.2994941,183.40172,-1.5381901,203.4197,0.082515257,-35.371164,-0.1901805,25.620993,185.98733,-14.432407,204.60423,3.1986981e-05,12.108013,0.065942797,0.11096899,183.61389,0.22540357,203.58392,0.16116601,-74.847699,-0.40631289,14.614456,184.21197,-3.9055753,199.07697,2.0388995e-21,-10.571672,-0.058174303,0.0011612971,181.72408,0.0036447573,192.43318,0.17585726,38.862399,0.21385388,4.617176,181.72408,-0.36627731,192.43318,4.9016484e-07,9111.8934,277506.5,1.1769611,540.93684,1,daily
-0.6019,-0.066695597,4.4068931,9.0245838,40.619215,-6.3735355,0.16495718,-4.2191852,-0.13328137,4.3050307,31.656227,40.577012,-25.830055,0.0045787105,8.650988e-05,0.00043284464,4.3955855,0.19986358,40.579113,0.19505109,0.99284272,-1.7968471,-0.058340113,4.1359355,30.799513,40.596742,-24.661557,0.19824554,-0.00050263396,-0.41118008,8.9242887,0.0012224181,-6.2865699,0.0036796599,1.0503534e-19,0.00024122736,0.19853844,0.19812661,0.0012150159,0.19149234,0.0036661195,2.4597703e-05,-1.9098842,-0.4019714,31.597989,4.7512938,-26.255932,-0.37473707,1.9053563e-19,-6.0334284,-0.033114064,4.2417453,182.20139,41.019689,164.08327,0.44723648,-142.70589,-0.36904896,8.9242887,386.68553,-6.2865699,506.35383,6.6752051e-16,-115.88203,-0.30195535,31.597989,383.77207,-26.255932,502.36537,3.0851856e-11,-28.711717,-0.1299725,8.9242887,220.9061,-6.2865699,186.31806,0.0058690598,-53.313255,-0.23928804,31.597989,222.7995,-26.255932,186.98217,1.8234349e-07,-14.289233,-0.064515074,0.19812661,221.48673,0.19149234,186.24949,0.17429407,-91.909838,-0.42309169,31.253184,217.23385,-25.377365,179.25668,3.5489372e-23,-31.219004,-0.14554723,0.0012207779,214.49397,0.0036321418,174.38304,0.00067691669,34.881209,0.16262093,4.7777509,214.49397,-0.57274815,174.38304,0.0001432082,9080.3546,277284.45,1.1824334,487.30912,1,0
-0.9184597,-0.1036956,4.400304,8.857268,40.619045,-6.2380473,0.03001905,-5.0220874,-0.15264109,4.3077666,32.90128,40.574607,-26.370163,0.0011327113,0.0031824616,0.016600687,4.3894066,0.19170663,40.57951,0.18978554,0.72989717,-2.0054882,-0.065110216,4.1359585,30.801437,40.586392,-25.118875,0.15053463,-0.00054305429,-0.44095427,8.7626512,0.0012315433,-6.1670129,0.003677274,7.8271095e-23,0.00016996736,0.13838244,0.19106292,0.0012282437,0.1885663,0.0036669318,0.0033715751,-1.8618545,-0.39130319,32.783316,4.7580865,-26.667689,-0.40394181,1.9902481e-18,-13.626023,-0.074594804,4.2462805,182.66718,41.003952,163.82742,0.086526776,-146.53631,-0.39690668,8.7626512,369.19587,-6.1670129,499.14227,1.9768864e-18,-108.30675,-0.29527292,32.783316,366.80216,-26.667689,498.06,8.6727534e-11,-19.658233,-0.090983996,8.7626512,216.06253,-6.1670129,183.04133,0.053768641,-44.25199,-0.20425504,32.783316,216.65066,-26.667689,183.53016,9.2175091e-06,-0.36900128,-0.0017115251,0.19106292,215.59794,0.1885663,181.87698,0.97121505,-82.295069,-0.38804913,31.171238,212.07384,-25.657874,176.74383,1.8828394e-19,-31.42505,-0.14976843,0.0012299808,209.82426,0.0036264258,172.26514,0.00047370628,32.306228,0.15396803,4.800203,209.82426,-0.62359889,172.26514,0.00032516933,9066.0644,277248.01,1.1828694,479.96375,1,1
-1.0849779,-0.11132609,4.3927778,9.7459451,40.605978,-6.5881054,0.019781179,-3.1968893,-0.095078257,4.3005438,33.623769,40.561581,-25.797109,0.043344697,0.0043364924,0.019887806,4.3820611,0.2180478,40.566625,0.20429655,0.67913742,-1.8586215,-0.062025627,4.1291006,29.965381,40.572871,-24.712863,0.17087346,-0.00053042993,-0.42423094,9.6603996,0.001250333,-6.5161171,0.0036822538,4.3833156e-21,0.00014853633,0.11918323,0.22027418,0.0012462855,0.20474765,0.0036716694,0.011677095,-2.0164114,-0.42297983,33.464131,4.7671573,-26.041269,-0.44412177,1.4551221e-21,-20.792286,-0.11757486,4.2421972,176.84295,40.991904,158.20061,0.0067849172,-132.33771,-0.35761476,9.6603996,370.05661,-6.5161171,501.09835,5.0634307e-15,-116.48669,-0.31752626,33.464131,366.85688,-26.041269,500.32336,2.499595e-12,-19.371296,-0.090163291,9.6603996,214.84682,-6.5161171,177.54819,0.055975445,-45.322071,-0.21132864,33.464131,214.46251,-26.041269,178.31734,4.393531e-06,-1.9087709,-0.0089097565,0.22027418,214.23379,0.20474765,176.72266,0.85099448,-84.492056,-0.40288745,30.406095,209.71628,-25.304681,171.98976,5.6408157e-21,-33.486971,-0.16180727,0.0012457187,206.95591,0.0036302439,167.07156,0.00015697228,26.919626,0.13007421,4.8057336,206.95591,-0.66432902,167.07156,0.002434718,9075.6097,277207.03,1.1828315,481.32171,1,2
-1.3119849,-0.13691033,4.3953092,9.5828037,40.593015,-6.7444028,0.0040961313,-3.8733273,-0.11958141,4.2986507,32.390714,40.547181,-25.965373,0.010857228,0.0016718446,0.0081171443,4.3848366,0.20596463,40.553824,0.20384907,0.86594443,-1.8989289,-0.063844654,4.128804,29.742958,40.559197,-24.612382,0.15864481,-0.00060372244,-0.47959486,9.4933893,0.0012588176,-6.6397851,0.0036846564,2.914166e-27,0.00020470937,0.16312761,0.20478839,0.0012549033,0.19977465,0.0036745299,0.00053524501,-2.0687318,-0.4308519,32.436421,4.8014916,-26.404128,-0.52200538,1.9293274e-22,-24.205133,-0.14313694,4.2453806,169.10472,40.9809,151.71546,0.00096211626,-141.44305,-0.38569884,9.4933893,366.71889,-6.6397851,500.83601,2.0686893e-17,-115.56235,-0.31872839,32.436421,362.57312,-26.404128,498.53896,1.9373397e-12,-19.010831,-0.090068219,9.4933893,211.07147,-6.6397851,170.19579,0.056235877,-49.499304,-0.23569792,32.436421,210.01163,-26.404128,171.16025,2.725688e-07,-10.139065,-0.048265956,0.20478839,210.06659,0.19977465,169.43207,0.30858619,-82.513855,-0.40122768,30.221198,205.65345,-25.22001,166.27286,8.4255037e-21,-32.728553,-0.16128887,0.001252155,202.91886,0.0036318365,160.8388,0.00016489009,22.789011,0.11230603,4.8125926,202.91886,-0.71702865,160.8388,0.0089382992,9079.5912,277160.96,1.1828311,481.13538,1,3
-1.2850028,-0.13256061,4.3993642,9.6936996,40.584439,-6.0161611,0.0054588257,-4.8535449,-0.14303708,4.3035327,33.932076,40.54511,-26.017214,0.0022757456,0.017607924,0.086955925,4.3891127,0.20249252,40.545386,0.18824876,0.070013337,-1.4182202,-0.048556471,4.1292553,29.207646,40.554554,-23.892843,0.28388617,-0.00057888884,-0.45810314,9.5878707,0.0012636649,-5.9397605,0.0036718394,9.9409487e-25,0.00021833766,0.17315389,0.20090804,0.0012609457,0.18511628,0.0036624281,0.00023465001,-1.6727078,-0.3487478,34.252332,4.796325,-26.821516,-0.57087742,9.589808e-15,-24.977834,-0.15152486,4.2505116,164.84314,40.979472,148.65011,0.00047045135,-118.92769,-0.3274947,9.5878707,363.14387,-5.9397605,503.72864,1.0383572e-12,-89.121198,-0.24851818,34.252332,358.61037,-26.821516,501.22606,5.6352184e-08,-23.16291,-0.111528,9.5878707,207.68695,-5.9397605,168.25638,0.017948754,-50.110945,-0.24315229,34.252332,206.08872,-26.821516,168.34219,1.1018381e-07,-9.7668861,-0.047256828,0.20090804,206.67672,0.18511628,167.1722,0.31882227,-85.279328,-0.42309736,29.752418,201.55958,-24.526677,162.88972,3.5437177e-23,-32.332472,-0.16232644,0.0012536291,199.1818,0.0036277203,157.92509,0.0001494014,20.40784,0.10245835,4.8093295,199.1818,-0.76014787,157.92509,0.017130958,9069.3007,277127.72,1.1824912,484.13897,1,4
-1.6343061,-0.16850071,4.3981771,9.6991048,40.569592,-6.2755306,0.00042278852,-6.4627168,-0.19735758,4.3030641,32.746231,40.552733,-26.042578,2.3799187e-05,0.00060028689,0.0028100207,4.3937527,0.21362365,40.555723,0.19508672,0.95350662,-1.6663532,-0.058859841,4.1276062,28.310529,40.559869,-22.948504,0.19427102,-0.00059445276,-0.46999149,9.6048868,0.001264816,-6.211883,0.0036633251,6.0610009e-26,0.00014765402,0.11674795,0.21711197,0.0012647247,0.19362321,0.0036604028,0.013621647,-2.0257696,-0.42180222,33.192144,4.8026527,-26.817083,-0.62075699,1.7480579e-21,-19.568694,-0.12458449,4.2475723,157.07167,40.984421,145.60893,0.0041421682,-125.75466,-0.35100643,9.6048868,358.26882,-6.211883,508.77016,2.0907602e-14,-106.93999,-0.30160839,33.192144,354.56572,-26.817083,506.97369,3.102502e-11,-23.717396,-0.12450824,9.6048868,190.48857,-6.211883,163.71462,0.0084065244,-45.20204,-0.23932442,33.192144,188.87349,-26.817083,163.263,1.7608688e-07,4.2484559,0.022362399,0.21711197,189.98211,0.19362321,162.93224,0.6376417,-76.564521,-0.41008167,28.990291,186.70554,-23.727565,159.75177,9.6524196e-22,-29.56394,-0.1595586,0.0012564546,185.28578,0.0036238284,154.67147,0.00019411464,17.29295,0.093331231,4.8070099,185.28578,-0.80138909,154.67147,0.029965395,9059.5709,277091.87,1.1819282,490.58619,1,5
-1.2500299,-0.12000283,4.405251,10.41667,40.569671,-6.3468522,0.012457416,-5.3468809,-0.15685489,4.3099425,34.088072,40.552818,-24.891927,0.00083009852,0.0091532807,0.042997618,4.4010296,0.21287879,40.555909,0.20317939,0.37265472,-1.654869,-0.058793099,4.1340685,28.147334,40.569762,-22.389754,0.19477813,-0.00053140488,-0.42402057,10.310394,0.0012532526,-6.2564055,0.0036449282,6.8745023e-21,0.00018725874,0.14944311,0.21112732,0.0012530436,0.19921987,0.003641914,0.0015700739,-1.8823406,-0.39159197,34.619929,4.8068927,-25.898365,-0.67219289,1.8698636e-18,-11.598467,-0.074649872,4.2539537,155.37156,40.994389,145.59556,0.086593065,-127.92082,-0.36265744,10.310394,352.73183,-6.2564055,508.83057,2.6117572e-15,-98.585301,-0.28252734,34.619929,348.94075,-25.898365,506.82682,5.7884239e-10,-21.679493,-0.11421367,10.310394,189.81522,-6.2564055,164.20451,0.015814091,-52.803775,-0.28103135,34.619929,187.89283,-25.898365,163.37205,7.1883345e-10,-8.6844469,-0.045795747,0.21112732,189.63436,0.19921987,163.62566,0.33512067,-77.010552,-0.41791292,28.85872,184.27416,-23.210858,159.16364,1.3447541e-22,-26.74236,-0.14606019,0.0012476045,183.09137,0.0036110887,154.55331,0.0006551114,19.926108,0.10883149,4.808795,183.09137,-0.84346211,154.55331,0.011308169,9027.7218,277049.92,1.181986,490.63121,1,6
-1.4260695,-0.14967606,4.3874761,9.5277056,40.562416,-6.8153226,0.0017242427,-5.4790246,-0.16391649,4.3016357,33.425707,40.541803,-23.942334,0.00046708206,0.0076253144,0.037422266,4.3884064,0.2037641,40.548119,0.1992443,0.43678739,-1.4107504,-0.049488784,4.1248605,28.506467,40.557981,-22.152454,0.27473153,-0.00056241672,-0.45524748,9.4680869,0.0012354087,-6.7004671,0.0036298172,2.645453e-24,0.00022692863,0.18354314,0.20265623,0.0012363776,0.19534862,0.0036272152,9.679643e-05,-1.9201707,-0.40111235,34.339499,4.7871142,-24.988972,-0.71502909,2.308858e-19,-11.372221,-0.07468508,4.2444995,152.26898,40.981279,144.75452,0.086145432,-154.68771,-0.44200475,9.4680869,349.96844,-6.7004671,511.3316,7.5140017e-23,-90.068155,-0.25939372,34.339499,347.22566,-24.988972,511.56464,1.4298679e-08,-40.472003,-0.21838288,9.4680869,185.32589,-6.7004671,163.88051,3.0739624e-06,-48.80041,-0.26559714,34.339499,183.73846,-24.988972,163.56186,6.2329255e-09,-4.9466606,-0.026692128,0.20265623,185.32283,0.19534862,163.78662,0.57396504,-76.495869,-0.4251221,29.142881,179.93858,-23.009591,159.16027,2.0918067e-23,-24.44624,-0.13767755,0.0012357381,177.56156,0.0035988096,153.65599,0.0013264687,20.30146,0.11433477,4.7946673,177.56156,-0.88675693,153.65599,0.0077691236,8997.0241,276996.36,1.1818723,494.59832,1,7
-1.3994016,-0.14623022,4.3906561,9.5698524,40.557276,-5.3172327,0.0022848264,-4.044616,-0.12154772,4.3050014,33.275951,40.542864,-19.741539,0.0099392638,0.0080251536,0.036022307,4.3866918,0.22278289,40.54374,0.18784575,0.45519475,-0.32299286,-0.013248491,4.1231671,24.379596,40.540218,-15.202464,0.77010963,-0.00055930194,-0.45640456,9.4799464,0.0012254521,-5.2106088,0.003627393,2.7929932e-24,0.00017464976,0.14264722,0.22118865,0.0012243474,0.18382157,0.0036236959,0.002589253,-1.8927459,-0.39287526,33.894222,4.8176765,-20.710877,-0.73686551,1.8266948e-18,-12.607216,-0.08369508,4.240531,150.6327,40.962274,143.08854,0.054378441,-124.97388,-0.3618054,9.4799464,345.4174,-5.2106088,520.53111,3.2912761e-15,-81.605255,-0.23635471,33.894222,345.26604,-20.710877,519.35256,2.8381322e-07,-11.456321,-0.063470606,9.4799464,180.49806,-5.2106088,162.27199,0.18138724,-42.897217,-0.23913026,33.894222,179.38849,-20.710877,161.5928,2.0364617e-07,-11.813656,-0.065393099,0.22118865,180.656,0.18382157,162.07964,0.1689745,-69.121989,-0.39387053,25.041517,175.49419,-15.937166,157.15677,4.8560566e-20,-20.446418,-0.11781699,0.0012299012,173.54387,0.0035953845,151.19551,0.0060773968,22.077687,0.12721674,4.8183394,173.54387,-0.91446026,151.19551,0.0030347685,8988.4612,276949.07,1.1815113,502.94754,1,8
