SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
3.1689811,0.44248488,3.6361681,7.1617839,22.402013,11.329851,5.2506566e-07,0.29809693,0.019325496,3.6361681,15.42506,22.402013,-14.61047,0.83545285,0.026697555,0.16541267,3.6361681,0.1613997,22.402013,0.2275498,0.073443252,0.99374961,0.08002801,3.6361681,12.417523,22.402013,-2.8635065,0.38898731,0.00043037246,0.45040071,7.1617839,0.00095553237,11.329851,0.0036298693,3.0954336e-07,0.00014485535,0.15159649,0.1613997,0.00095553237,0.2275498,0.0036298693,0.10127264,-1.1343206,-0.27575895,15.42506,4.1134496,-14.61047,0.80827154,0.0025073642,8.0998296,0.042540441,3.6361681,190.40305,22.402013,272.28512,0.64738687,223.73736,0.63619696,7.1617839,351.67939,11.329851,549.98437,9.8318958e-15,-31.796073,-0.090412103,15.42506,351.67939,-14.61047,549.98437,0.33022152,59.674242,0.31341012,7.1617839,190.40305,11.329851,272.28512,0.00054875313,5.4290916,0.02851368,15.42506,190.40305,-14.61047,272.28512,0.75922173,27.866197,0.14635373,0.1613997,190.40305,0.2275498,272.28512,0.11378378,-44.274385,-0.23252981,12.417523,190.40305,-2.8635065,272.28512,0.011281246,25.879829,0.1359213,0.00095553237,190.40305,0.0036298693,272.28512,0.14221681,84.232911,0.44239266,4.1134496,190.40305,0.80827154,272.28512,5.2826675e-07,9074.6733,276456.22,1.2076847,549.98437,1,daily
3.858865,0.3627909,3.6777376,10.636609,22.421483,9.2923241,5.4045331e-05,-2.3587646,-0.10803907,3.6777376,21.832515,22.421483,-25.594818,0.24421188,0.0091744632,0.022480805,3.6777376,0.40810208,22.421483,0.18458807,0.80906302,-0.11481854,-0.0045243254,3.6777376,25.378046,22.421483,-25.712719,0.96121909,0.00033360582,0.33553622,10.636609,0.00099424683,9.2923241,0.0036009878,0.00020373942,-1.2963305e-05,-0.013038316,0.40810208,0.00099424683,0.18458807,0.0036009878,0.8885568,-1.642953,-0.38151133,21.832515,4.306433,-25.594818,0.5540678,2.0212562e-05,7.139564,0.029830802,3.6777376,239.3353,22.421483,251.53223,0.74846253,202.12996,0.51144215,10.636609,395.21569,9.2923241,478.98227,3.2506802e-09,-55.026323,-0.13923112,21.832515,395.21569,-25.594818,478.98227,0.13266611,72.35117,0.30230045,10.636609,239.3353,9.2923241,251.53223,0.00087765787,-75.786811,-0.31665538,21.832515,239.3353,-25.594818,251.53223,0.00047675529,7.7034291,0.032186765,0.40810208,239.3353,0.18458807,251.53223,0.7293386,-69.73011,-0.29134904,25.378046,239.3353,-25.712719,251.53223,0.0013699466,-0.69281491,-0.002894746,0.00099424683,239.3353,0.0036009878,251.53223,0.97518156,95.26205,0.39802758,4.306433,239.3353,0.5540678,251.53223,8.0623985e-06,9002.4696,276142.25,1.2154589,478.98227,1,0
3.1228857,0.32576011,3.6761044,9.5864583,22.420932,8.6953104,0.00031858759,-2.7540454,-0.13768956,3.6761044,20.001846,22.420932,-23.781908,0.13705151,-0.03234336,-0.079303551,3.6761044,0.40784253,22.420932,0.18700848,0.39330883,1.1650919,0.047164076,3.6761044,24.702953,22.420932,-24.847235,0.61204151,0.00034146114,0.34379218,9.5864583,0.00099321962,8.6953104,0.0035993833,0.00013804542,-0.00010299675,-0.10369988,0.40784253,0.00099321962,0.18700848,0.0035993833,0.26378344,-1.5452958,-0.36496456,20.001846,4.2340983,-23.781908,0.55169492,4.8361778e-05,11.608067,0.047597747,3.6761044,243.87849,22.420932,252.3255,0.60876993,190.69415,0.49766744,9.5864583,383.17586,8.6953104,479.04787,9.8373274e-09,-90.738729,-0.23680701,20.001846,383.17586,-23.781908,479.04787,0.0098277563,22.487804,0.092209049,9.5864583,243.87849,8.6953104,252.3255,0.32066045,-30.340912,-0.12440995,20.001846,243.87849,-23.781908,252.3255,0.17950755,45.010201,0.18455994,0.40784253,243.87849,0.18700848,252.3255,0.045423199,-70.432194,-0.28880035,24.702953,243.87849,-24.847235,252.3255,0.0015157789,-10.032621,-0.041137785,0.00099321962,243.87849,0.0035993833,252.3255,0.6582714,89.357679,0.36640245,4.2340983,243.87849,0.55169492,252.3255,4.4914817e-05,8998.4582,276153.8,1.2151781,479.04787,1,1
3.2280837,0.34254139,3.6723274,9.4239229,22.417627,9.1855602,0.00014653361,-1.9339908,-0.090370744,3.6723274,21.40063,22.417627,-25.112367,0.3304437,0.0032291754,0.0086791677,3.6723274,0.37206049,22.417627,0.1501739,0.9256827,-1.1962753,-0.047823448,3.6723274,25.014409,22.417627,-24.631073,0.6070703,0.00036909294,0.3632377,9.4239229,0.0010161196,9.1855602,0.0036169728,5.2828386e-05,-0.00014265304,-0.14039001,0.37206049,0.0010161196,0.1501739,0.0036169728,0.12944055,-1.672539,-0.39723887,21.40063,4.2104113,-25.112367,0.59826271,8.4336505e-06,8.3636458,0.033504291,3.6723274,249.6291,22.417627,252.18478,0.71871508,220.37558,0.57207052,9.4239229,385.22449,9.1855602,486.10511,1.3152981e-11,-116.99433,-0.30370427,21.40063,385.22449,-25.112367,486.10511,0.00082792401,12.238017,0.049024803,9.4239229,249.6291,9.1855602,252.18478,0.59805902,-51.207597,-0.20513473,21.40063,249.6291,-25.112367,252.18478,0.025856096,45.648363,0.18286476,0.37206049,249.6291,0.1501739,252.18478,0.047477031,-66.588983,-0.26675169,25.014409,249.6291,-24.631073,252.18478,0.0035012053,-22.138116,-0.088684036,0.0010161196,249.6291,0.0036169728,252.18478,0.33958609,80.39432,0.32205509,4.2104113,249.6291,0.59826271,252.18478,0.00037595162,9042.432,276206.67,1.2143972,486.10511,1,2
3.3004842,0.36997481,3.6687796,8.9208349,22.415381,8.8844035,3.7320367e-05,-2.9133994,-0.12902222,3.6687796,22.580603,22.415381,-26.173662,0.16378686,0.032136142,0.091235415,3.6687796,0.3522332,22.415381,0.1254479,0.32581851,-1.3659201,-0.050740731,3.6687796,26.919599,22.415381,-27.627446,0.58529305,0.00037381424,0.3558178,8.9208349,0.0010505777,8.8844035,0.0036253564,7.6778345e-05,-2.6111351e-05,-0.024854279,0.3522332,0.0010505777,0.1254479,0.0036253564,0.78935075,-1.9625224,-0.46083364,22.580603,4.2586352,-26.173662,0.60834746,1.5110091e-07,11.04986,0.043093169,3.6687796,256.41791,22.415381,252.3057,0.64311793,196.38737,0.51630963,8.9208349,380.36745,8.8844035,487.63074,2.1720566e-09,-84.63393,-0.22250571,22.580603,380.36745,-26.173662,487.63074,0.015446326,65.707098,0.25625003,8.9208349,256.41791,8.8844035,252.3057,0.0050963186,-81.283732,-0.31699709,22.580603,256.41791,-26.173662,252.3057,0.00046970354,-21.777118,-0.084928226,0.3522332,256.41791,0.1254479,252.3057,0.36051233,-74.863204,-0.29195778,26.919599,256.41791,-27.627446,252.3057,0.0013370608,-25.14207,-0.098051147,0.0010505777,256.41791,0.0036253564,252.3057,0.29082316,80.626674,0.31443464,4.2586352,256.41791,0.60834746,252.3057,0.00052501034,9063.3909,276229.93,1.2140164,487.63074,1,3
1.9774937,0.23332028,3.6631062,8.4754474,22.411822,8.3957309,0.010999232,-2.447966,-0.11288131,3.6631062,21.686193,22.411822,-25.649076,0.22358676,-0.021423552,-0.058528769,3.6631062,0.36603455,22.411822,0.14116707,0.52898438,-0.12484421,-0.0044608075,3.6631062,27.986908,22.411822,-28.500272,0.96176312,0.00039447182,0.36979123,8.4754474,0.001066742,8.3957309,0.0036289757,3.7679306e-05,2.420044e-06,0.0022686311,0.36603455,0.001066742,0.14116707,0.0036289757,0.98054844,-1.478504,-0.34302094,21.686193,4.3102442,-25.649076,0.52525424,0.0001432235,14.82563,0.069495953,3.6631062,213.33085,22.411822,239.15538,0.45458818,190.01053,0.51367675,8.4754474,369.90292,8.3957309,482.70937,2.7035107e-09,-57.922622,-0.15658871,21.686193,369.90292,-25.649076,482.70937,0.090389957,48.898663,0.22921516,8.4754474,213.33085,8.3957309,239.15538,0.012533951,-59.522579,-0.27901534,21.686193,213.33085,-25.649076,239.15538,0.0022161747,-8.3607809,-0.039191618,0.36603455,213.33085,0.14116707,239.15538,0.67349229,-66.198256,-0.31030794,27.986908,213.33085,-28.500272,239.15538,0.00062679441,-0.26958317,-0.0012636858,0.001066742,213.33085,0.0036289757,239.15538,0.98916425,77.146481,0.36162834,4.3102442,213.33085,0.52525424,239.15538,5.7335706e-05,9072.4392,276160.22,1.2143527,482.70937,1,4
1.9736278,0.27748081,3.6598972,7.1126639,22.409746,8.2172752,0.002349352,-0.76729357,-0.037118451,3.6598972,20.671487,22.409746,-25.519553,0.68985275,-0.0061007195,-0.017758973,3.6598972,0.34352884,22.409746,0.12583191,0.84862487,-0.5149441,-0.018292315,3.6598972,28.150844,22.409746,-28.830597,0.84413542,0.00049264466,0.46304051,7.1126639,0.0010639343,8.2172752,0.0036082514,1.2943367e-07,5.5847192e-05,0.052491205,0.34352884,0.0010639343,0.12583191,0.0036082514,0.57240033,-1.5490909,-0.35239016,20.671487,4.3959538,-25.519553,0.45004237,9.097152e-05,14.496371,0.071372492,3.6598972,203.10865,22.409746,239.88085,0.44246899,209.8331,0.57211172,7.1126639,366.76945,8.2172752,489.05375,1.3098725e-11,-92.56695,-0.25238457,20.671487,366.76945,-25.519553,489.05375,0.0058299218,43.93989,0.21633687,7.1126639,203.10865,8.2172752,239.88085,0.018625677,-54.250641,-0.26710158,20.671487,203.10865,-25.519553,239.88085,0.0034568035,-0.80694316,-0.003972963,0.34352884,203.10865,0.12583191,239.88085,0.96594214,-62.72243,-0.3088122,28.150844,203.10865,-28.830597,239.88085,0.00066795392,13.64251,0.067168534,0.0010639343,203.10865,0.0036082514,239.88085,0.46987244,82.536212,0.40636483,4.3959538,203.10865,0.45004237,239.88085,4.9741e-06,9020.6286,276097.32,1.2137773,489.05375,1,5
1.2212968,0.10570816,3.6730299,11.553477,22.416525,9.1997272,0.25459639,0.73921706,0.032362869,3.6730299,22.841518,22.416525,-26.250946,0.72791561,0.036149311,0.096846374,3.6730299,0.37326448,22.416525,0.15509474,0.2968202,1.5182141,0.05400619,3.6730299,28.111854,22.416525,-28.750481,0.5613507,0.00042216993,0.39471789,11.553477,0.0010695485,9.1997272,0.0035841589,9.7313935e-06,0.00011496424,0.10748857,0.37326448,0.0010695485,0.15509474,0.0035841589,0.24663753,-1.1189642,-0.25466526,22.841518,4.3938629,-26.250946,0.32605932,0.0053864882,-0.68485158,-0.0030954638,3.6730299,221.24361,22.416525,238.12659,0.97346129,202.98315,0.54774736,11.553477,370.57806,9.1997272,497.36911,1.3699297e-10,-90.379421,-0.24388767,22.841518,370.57806,-26.250946,497.36911,0.0077814137,40.724644,0.1840715,11.553477,221.24361,9.1997272,238.12659,0.046007251,-45.475727,-0.20554595,22.841518,221.24361,-26.250946,238.12659,0.025553485,11.805144,0.053358124,0.37326448,221.24361,0.15509474,238.12659,0.56606492,-56.597376,-0.25581474,28.111854,221.24361,-28.750481,238.12659,0.0051745975,-0.11390857,-0.0005148559,0.0010695485,221.24361,0.0035841589,238.12659,0.99558514,80.226822,0.36261759,4.3938629,221.24361,0.32605932,238.12659,5.4524391e-05,8960.3974,275975.81,1.2133046,497.36911,1,6
1.3483067,0.14195354,3.6756993,9.4982256,22.417542,8.7173433,0.12518444,1.753216,0.075397554,3.6756993,23.252956,22.417542,-27.013947,0.41709909,0.026317851,0.091335927,3.6756993,0.28814347,22.417542,0.095213185,0.32528358,1.6448192,0.06080606,3.6756993,27.050252,22.417542,-26.100906,0.51304924,0.00045563023,0.4247354,9.4982256,0.001072739,8.7173433,0.0035757022,1.637531e-06,2.7251798e-05,0.02540394,0.28814347,0.001072739,0.095213185,0.0035757022,0.78480412,-1.0853203,-0.24805875,23.252956,4.3752552,-27.013947,0.23237288,0.0067610372,-3.2991702,-0.014999025,3.6756993,219.95897,22.417542,231.33624,0.87193136,181.5828,0.48422064,9.4982256,375.00012,8.7173433,502.26165,2.768598e-08,-88.629651,-0.23634566,23.252956,375.00012,-27.013947,502.26165,0.0099761795,27.731195,0.1260744,9.4982256,219.95897,8.7173433,231.33624,0.17371145,-48.050632,-0.2184527,23.252956,219.95897,-27.013947,231.33624,0.017476766,-3.9378651,-0.017902725,0.28814347,219.95897,0.095213185,231.33624,0.84741434,-68.109993,-0.30964862,27.050252,219.95897,-26.100906,231.33624,0.00064464164,-5.94662,-0.027035132,0.001072739,219.95897,0.0035757022,231.33624,0.77135452,73.978366,0.33632802,4.3752552,219.95897,0.23237288,231.33624,0.00019636566,8939.2555,275875.31,1.2131996,502.26165,1,7
2.0262049,0.18830272,3.6687052,10.760359,22.411992,8.8653955,0.041149371,0.008069117,0.00039535095,3.6687052,20.41001,22.411992,-23.547574,0.99660988,0.00028194211,0.00067631811,3.6687052,0.41687796,22.411992,0.21339591,0.99420064,-0.83864175,-0.036037004,3.6687052,23.271684,22.411992,-17.286407,0.69844474,0.00044084446,0.40517688,10.760359,0.0010880296,8.8653955,0.0035744747,5.3326967e-06,0.00013292594,0.12217125,0.41687796,0.0010880296,0.21339591,0.0035744747,0.18752546,-0.77474732,-0.17817223,20.41001,4.3483057,-23.547574,0.21139831,0.05356751,-14.690975,-0.057445465,3.6687052,255.73777,22.411992,232.71437,0.53665099,194.79842,0.51820247,10.760359,375.9118,8.8653955,510.0006,1.8536624e-09,-30.955531,-0.082347857,20.41001,375.9118,-23.547574,510.0006,0.37534215,4.1325624,0.016159374,10.760359,255.73777,8.8653955,232.71437,0.86211817,-10.427539,-0.040774339,20.41001,255.73777,-23.547574,232.71437,0.66110354,71.411362,0.27923666,0.41687796,255.73777,0.21339591,232.71437,0.0021975412,-44.472897,-0.17390039,23.271684,255.73777,-17.286407,232.71437,0.059658534,-28.741863,-0.11238802,0.0010880296,255.73777,0.0035744747,232.71437,0.22562978,70.02952,0.27383331,4.3483057,255.73777,0.21139831,232.71437,0.0026953936,8936.1868,275841.29,1.2127805,510.0006,1,8
