SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5240826e-05,-0.014449286,9.508068,0.0010547805,10.138286,0.003878911,0.85929526,-0.00031132779,-0.29515884,0.22814405,0.0010547805,0.40574665,0.003878911,0.00021236194,-2.5701839,-0.71902183,14.897956,3.5745561,-15.601573,2.117021,1.2328263e-25,,,,,,,,132.7252,0.41545447,9.508068,319.46991,10.138286,594.90065,9.2885162e-08,-200.04002,-0.62616231,14.897956,319.46991,-15.601573,594.90065,4.9112941e-18,47.61076,0.29051388,9.508068,163.88463,10.138286,280.72268,0.00026960638,-31.517121,-0.19231286,14.897956,163.88463,-15.601573,280.72268,0.017240173,-1.5685113,-0.009570826,0.22814405,163.88463,0.40574665,280.72268,0.90653008,-87.798565,-0.53573398,14.458269,163.88463,-12.754971,280.72268,9.6327914e-13,-75.396091,-0.4600559,0.0010547805,163.88463,0.003878911,280.72268,2.1935588e-09,-34.644013,-0.21139269,3.5745561,163.88463,2.117021,280.72268,0.0087146094,9697.2774,275795.35,1.231262,594.90065,1,daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.2046587e-05,-0.046045202,14.261725,0.0011303368,9.5988498,0.0038793643,0.57971819,-0.00023836685,-0.21088126,0.49942987,0.0011303368,0.37123069,0.0038793643,0.010351168,-2.2357898,-0.58995168,19.635653,3.7897847,-18.954167,1.8961361,3.7600621e-15,,,,,,,,120.94777,0.33567498,14.261725,360.31214,9.5988498,548.19096,3.233733e-05,-175.94413,-0.48831029,19.635653,360.31214,-18.954167,548.19096,3.5163833e-10,63.192487,0.31407812,14.261725,201.1999,9.5988498,260.11732,0.00010707025,-40.889035,-0.20322592,19.635653,201.1999,-18.954167,260.11732,0.013557909,4.1752806,0.020751902,0.49942987,201.1999,0.37123069,260.11732,0.80298765,-81.371305,-0.40470285,22.322341,201.06432,-26.025919,261.61887,4.0525142e-07,-91.429402,-0.45442071,0.0011303368,201.1999,0.0038793643,260.11732,7.4058189e-09,-31.961497,-0.15885444,3.7897847,201.1999,1.8961361,260.11732,0.054632563,9698.4108,275567.53,1.2361106,548.19096,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.9086456e-05,-0.043467634,13.726556,0.0011292645,9.7352583,0.003875993,0.60113768,-0.00012574267,-0.11134918,0.4950052,0.0011292645,0.34250014,0.003875993,0.17937194,-2.0422159,-0.53583797,22.371575,3.8112563,-17.397535,1.837068,2.6792268e-12,,,,,,,,148.43596,0.40988583,13.726556,362.13978,9.7352583,546.2311,2.5290935e-07,-193.1934,-0.53347743,22.371575,362.13978,-17.397535,546.2311,3.4764225e-12,63.588094,0.32935534,13.726556,193.06835,9.7352583,254.23546,4.6336595e-05,-54.330837,-0.28140726,22.371575,193.06835,-17.397535,254.23546,0.00055479719,0.12708673,0.00065824731,0.4950052,193.06835,0.34250014,254.23546,0.99368665,-81.698135,-0.42424206,22.862077,192.57434,-26.879764,255.97441,9.485469e-08,-86.691201,-0.44901818,0.0011292645,193.06835,0.003875993,254.23546,1.1682602e-08,-31.506353,-0.16318756,3.8112563,193.06835,1.837068,254.23546,0.048278061,9689.9825,275516.34,1.2362928,546.2311,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.1603869e-05,-0.062730501,14.674942,0.0011414522,8.5808245,0.0038437041,0.44879518,-0.0002682201,-0.23498146,0.46907979,0.0011414522,0.32801418,0.0038437041,0.0040428366,-2.4479581,-0.62392132,20.5845,3.9235045,-19.060771,1.7357939,2.4321517e-17,,,,,,,,100.71521,0.2775481,14.674942,362.87481,8.5808245,544.82098,0.00063725636,-187.95117,-0.51795043,20.5845,362.87481,-19.060771,544.82098,1.5651655e-11,53.783095,0.28127637,14.674942,191.21085,8.5808245,258.19719,0.00053409311,-35.093125,-0.18353103,20.5845,191.21085,-19.060771,258.19719,0.025560736,10.030108,0.052455745,0.46907979,191.21085,0.32801418,258.19719,0.52661809,-71.984094,-0.37799427,23.052124,190.437,-26.771754,261.46198,2.5539216e-06,-80.846354,-0.42281258,0.0011414522,191.21085,0.0038437041,258.19719,8.6338913e-08,-25.824833,-0.13505945,3.9235045,191.21085,1.7357939,258.19719,0.10170457,9609.2601,275408.46,1.236755,544.82098,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1440112e-05,0.081842047,19.563307,0.0011172755,11.116935,0.0038179587,0.32439549,-0.00026884296,-0.2406237,0.51336498,0.0011172755,0.39389086,0.0038179587,0.0033272908,-2.2946726,-0.58226349,20.649023,3.9409522,-16.937549,1.5961429,1.0302552e-14,,,,,,,,84.213203,0.23241616,19.563307,362.33799,11.116935,545.65678,0.0046151284,-164.66911,-0.45446274,20.649023,362.33799,-16.937549,545.65678,7.3793744e-09,3.4106993,0.019241875,19.563307,177.254,11.116935,251.38128,0.81706221,-41.085249,-0.23178744,20.649023,177.254,-16.937549,251.38128,0.0047301512,-0.75958838,-0.0042853103,0.51336498,177.254,0.39389086,251.38128,0.95891649,-73.585711,-0.41661797,23.450772,176.62635,-26.006728,253.10307,1.6900927e-07,-71.017239,-0.4006524,0.0011172755,177.254,0.0038179587,251.38128,4.9444368e-07,-24.907868,-0.14052077,3.9409522,177.254,1.5961429,251.38128,0.089580794,9544.8967,275282.01,1.2367866,545.65678,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4623605e-05,0.022106465,14.08514,0.0011138644,8.1214028,0.003817325,0.78970859,-0.00023300434,-0.20918555,0.49562274,0.0011138644,0.39425553,0.003817325,0.010723924,-2.2201826,-0.56213639,22.000333,3.9495444,-16.835936,1.5574426,1.0525925e-13,,,,,,,,103.93991,0.29233219,14.08514,355.5541,8.1214028,546.35963,0.00031178795,-158.88722,-0.44687213,22.000333,355.5541,-16.835936,546.35963,1.2457742e-08,27.58649,0.16010627,14.08514,172.30112,8.1214028,247.61135,0.051917133,-29.880748,-0.17342167,22.000333,172.30112,-16.835936,247.61135,0.035041712,1.9036045,0.011048126,0.49562274,172.30112,0.39425553,247.61135,0.8939793,-70.99928,-0.41116871,23.426395,172.67676,-24.61283,249.53679,2.5318715e-07,-73.817831,-0.42842339,0.0011138644,172.30112,0.003817325,247.61135,5.5710258e-08,-29.691424,-0.17232287,3.9495444,172.30112,1.5574426,247.61135,0.036231799,9543.3125,275250.7,1.2366639,546.35963,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00021022515,-0.18816193,13.523382,0.0011172565,6.3907067,0.0038165019,0.022472103,-0.00035162593,-0.31472264,0.47241474,0.0011172565,0.33783474,0.0038165019,0.00010344617,-2.1956943,-0.54440548,20.582792,4.0331965,-17.935266,1.5037211,1.0232162e-12,,,,,,,,61.470486,0.17903507,13.523382,343.34327,6.3907067,543.25206,0.030028353,-167.97691,-0.48923899,20.582792,343.34327,-17.935266,543.25206,3.2192634e-10,36.684034,0.2214866,13.523382,165.62642,6.3907067,241.41973,0.0070171966,-36.048179,-0.21764752,20.582792,165.62642,-17.935266,241.41973,0.0080937874,-0.47178154,-0.0028484679,0.47241474,165.62642,0.33783474,241.41973,0.97268491,-64.405178,-0.38777145,22.82548,166.09056,-24.256412,243.16435,1.4436024e-06,-61.784489,-0.37303522,0.0011172565,165.62642,0.0038165019,241.41973,3.2668011e-06,-19.24355,-0.11618648,4.0331965,165.62642,1.5037211,241.41973,0.1610911,9541.2547,275209.8,1.2368143,543.25206,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.669049e-05,0.059541454,24.899009,0.0011200682,9.5310476,0.0038292901,0.47375989,-9.1238765e-05,-0.081458222,0.49066081,0.0011200682,0.39367944,0.0038292901,0.32667741,-2.4104341,-0.59384436,17.9075,4.0590334,-15.89671,1.5465884,2.2341003e-15,,,,,,,,98.566262,0.28262809,24.899009,348.749,9.5310476,550.38141,0.00052352694,-196.05794,-0.56217493,17.9075,348.749,-15.89671,550.38141,1.2710269e-13,27.761519,0.16460855,24.899009,168.65174,9.5310476,240.10738,0.046332983,-54.982491,-0.32601199,17.9075,168.65174,-15.89671,240.10738,5.5872369e-05,-2.5658394,-0.015213832,0.49066081,168.65174,0.39367944,240.10738,0.85488134,-61.014689,-0.36317877,22.124672,168.00181,-24.559394,244.01765,7.6808577e-06,-57.01056,-0.33803718,0.0011200682,168.65174,0.0038292901,240.10738,2.8211797e-05,-10.950063,-0.064927064,4.0590334,168.65174,1.5465884,240.10738,0.43462403,9573.2252,275244.64,1.2362625,550.38141,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.1999117e-05,-0.07137502,12.566172,0.0011488489,7.4591367,0.0038598705,0.39193851,-0.00021029796,-0.18305101,0.47362244,0.0011488489,0.33410502,0.0038598705,0.026999648,-2.3565716,-0.57849711,19.606034,4.0736099,-18.055211,1.6661164,2.0566897e-14,,,,,,,,83.818754,0.24178408,12.566172,346.66779,7.4591367,552.47285,0.0032807699,-206.56952,-0.59587169,19.606034,346.66779,-18.055211,552.47285,2.1224964e-15,47.532827,0.27280666,12.566172,174.23632,7.4591367,243.09532,0.00086402885,-49.527255,-0.28425334,19.606034,174.23632,-18.055211,243.09532,0.00050680448,-11.666941,-0.066960442,0.47362244,174.23632,0.33410502,243.09532,0.42195545,-68.362815,-0.39364495,22.537437,173.66618,-24.416119,244.76362,9.66552e-07,-62.303026,-0.35757772,0.0011488489,174.23632,0.0038598705,243.09532,9.3846107e-06,-12.536686,-0.071952197,4.0736099,174.23632,1.6661164,243.09532,0.38811105,9649.6762,275371.95,1.2357027,552.47285,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5350267e-05,-0.022084567,17.314352,0.0011478725,10.184693,0.0038609791,0.79275319,-0.00014167991,-0.12342826,0.51751697,0.0011478725,0.40245313,0.0038609791,0.14051599,-2.1088273,-0.51893289,20.098906,4.0637766,-16.940249,1.7030035,2.678718e-11,,,,,,,,116.43735,0.3354789,17.314352,347.07802,10.184693,557.61337,3.9492715e-05,-193.41559,-0.55726834,20.098906,347.07802,-16.940249,557.61337,4.0391915e-13,43.070113,0.24311534,17.314352,177.15918,10.184693,247.10424,0.0033232281,-54.997257,-0.31043979,20.098906,177.15918,-16.940249,247.10424,0.00015259533,-0.0013441663,-7.5873369e-06,0.51751697,177.15918,0.40245313,247.10424,0.99992799,-62.038264,-0.35136727,22.117513,176.56244,-22.007901,248.83043,1.6859258e-05,-64.679291,-0.3650914,0.0011478725,177.15918,0.0038609791,247.10424,6.8204139e-06,-12.275141,-0.069288767,4.0637766,177.15918,1.7030035,247.10424,0.4092518,9652.4478,275411.35,1.2351511,557.61337,1,8
