SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.25562564,-0.024484773,2.4042987,10.440188,36.379492,17.597444,0.82823141,0.021188404,0.004409551,2.3754087,4.805116,36.42607,2.4605963,0.96844084,-0.0023311075,-0.010031359,2.4144224,0.23238202,36.396735,0.8375966,0.92962767,4.4850481,0.20147911,2.2825448,22.260611,36.446764,-10.995577,0.05547877,5.9706958e-05,0.07092054,10.440188,0.00084188527,17.597444,0.0026222059,0.52924622,-7.2530684e-05,-0.085617261,0.23238202,0.00084715025,0.8375966,0.0026212242,0.45017708,-0.6994651,-0.18216982,4.805116,3.8396321,2.4605963,-4.7106609,0.09929109,-59.384919,-0.16183115,2.2825448,366.95605,36.446764,343.80483,0.12538653,36.30153,0.13020763,10.440188,278.79726,17.597444,358.38813,0.24662143,-20.502994,-0.073606796,4.805116,278.54756,2.4605963,360.8466,0.50840851,108.8145,0.28352201,10.440188,383.7956,17.597444,364.60331,0.010320529,-13.60989,-0.035808345,4.805116,380.07592,2.4605963,360.66879,0.74791853,47.168268,0.12222583,0.23238202,385.91079,0.8375966,366.3012,0.28011055,-227.36881,-0.61960775,22.260611,366.95605,-10.995577,343.80483,5.8290961e-11,-151.78634,-0.4136363,0.00082527608,366.95605,0.0026835981,343.80483,4.5939047e-05,73.47027,0.20021545,3.7165878,366.95605,-4.5533638,343.80483,0.057060629,6708.9952,281427.05,1.0806999,390.99243,1,daily
-0.32376959,-0.02473126,2.9209218,13.091512,36.523815,18.34663,0.83547208,0.37812827,0.11372159,2.9061512,3.3250351,36.683868,0.004375709,0.34152225,-0.054519248,-0.17584432,3.0521765,0.31004269,36.680592,0.92917523,0.16117257,3.2199704,0.12159006,2.6787715,26.482184,36.598185,-15.659045,0.25634181,4.9878717e-05,0.05151612,13.091512,0.00096821571,18.34663,0.0026796986,0.66512769,1.9517102e-05,0.019587809,0.31004269,0.00099639022,0.92917523,0.0027176191,0.87692177,-0.42513415,-0.097627576,3.3250351,4.3546523,0.004375709,-4.7451736,0.41458548,-59.345522,-0.1895618,2.6787715,313.06689,36.598185,309.35483,0.075205155,97.8787,0.33242663,13.091512,294.437,18.34663,254.69866,0.0040603607,39.973752,0.13707475,3.3250351,291.6201,0.004375709,251.00453,0.25088971,35.160975,0.10338191,13.091512,340.10763,18.34663,333.82146,0.38408988,33.081414,0.10138969,3.3250351,326.27988,0.004375709,322.67328,0.39674436,-24.785856,-0.072519643,0.31004269,341.78127,0.92917523,331.6989,0.56591079,-222.52378,-0.7107867,26.482184,313.06689,-15.659045,309.35483,6.047148e-15,-138.36742,-0.441974,0.00092080098,313.06689,0.0027114211,309.35483,1.4502207e-05,29.552402,0.094396447,4.0797721,313.06689,-4.7215449,309.35483,0.37890687,6778.5527,281250.84,1.0893226,287.83633,1,0
-0.12014764,-0.0081594451,2.8486024,14.724977,36.493151,18.263941,0.94537791,0.83390183,0.24717904,2.6580087,3.3736753,36.485714,0.27171437,0.039118213,-0.0069347499,-0.022444186,2.7715605,0.30897757,36.46875,0.92078142,0.86026506,2.454191,0.095384959,2.6150249,25.729329,36.573034,-15.051742,0.37391246,-3.5189189e-05,-0.037286598,14.724977,0.00094374899,18.263941,0.0026682178,0.75413845,2.5742046e-05,0.027155322,0.30897757,0.00094795584,0.92078142,0.0026547705,0.83132685,0.25090562,0.059588542,3.3736753,4.2106354,0.27171437,-4.8875,0.62412504,-54.145974,-0.17401411,2.6150249,311.15852,36.573034,312.82569,0.10290984,77.659206,0.25006573,14.724977,310.55517,18.263941,265.69975,0.032866387,39.303213,0.12612077,3.3736753,311.63156,0.27171437,263.19848,0.29817095,59.921596,0.17721265,14.724977,338.13386,18.263941,336.20894,0.13364776,33.247183,0.096691844,3.3736753,343.84682,0.27171437,342.79037,0.42586696,-29.159592,-0.081339728,0.30897757,358.49139,0.92078142,349.79501,0.52285366,-229.56278,-0.73776795,25.729329,311.15852,-15.051742,312.82569,1.6273864e-16,-134.08309,-0.43091569,0.00089528435,311.15852,0.0026973439,312.82569,2.4925677e-05,33.80773,0.10865115,4.0182605,311.15852,-4.7344944,312.82569,0.31080852,6743.3597,281247.01,1.0883435,299.21382,1,1
0.37023717,0.02833475,2.8192576,13.066541,36.47973,17.152033,0.81060691,0.40539593,0.11956355,2.6279913,3.3906314,36.471831,0.098967824,0.32063868,0.035430697,0.11136323,2.7176472,0.31815436,36.44697,0.93363159,0.37335507,2.4264312,0.090163786,2.5930832,26.911373,36.55618,-16.130112,0.40074458,1.5773012e-06,0.0017144534,13.066541,0.00092000238,17.152033,0.0026630367,0.98843331,-6.0404815e-05,-0.065735079,0.31815436,0.00091891295,0.93363159,0.0026465854,0.60000143,-0.082513682,-0.020026989,3.3906314,4.1201242,0.098967824,-4.8950775,0.86833663,-48.78551,-0.16009991,2.5930832,304.71916,36.55618,316.97652,0.13394796,83.552143,0.26975148,13.066541,309.73748,17.152033,266.30633,0.020112131,5.4080518,0.017509901,3.3906314,308.8568,0.098967824,261.7123,0.88476356,46.565859,0.14185161,13.066541,328.27163,17.152033,340.96366,0.22797692,-25.622053,-0.076748805,3.3906314,333.84302,0.098967824,344.40906,0.52467383,-8.9079333,-0.025820321,0.31815436,344.997,0.93363159,351.15965,0.83695367,-221.74251,-0.72769469,26.911373,304.71916,-16.130112,316.97652,6.5993934e-16,-127.21893,-0.41749569,0.00088092793,304.71916,0.0026892401,316.97652,4.6914374e-05,35.219872,0.11558142,3.9681473,304.71916,-4.7184888,316.97652,0.28076688,6723.1002,281264.43,1.0878835,304.59869,1,2
0.90932143,0.062956649,2.8059356,14.443612,36.483703,18.389074,0.5941149,-0.013871911,-0.0045170219,2.8271151,3.0710303,36.607681,-0.27217531,0.9699607,0.040221694,0.1439561,2.9459674,0.2794025,36.602318,0.95845927,0.24883735,3.4795116,0.12852895,2.5761371,27.071813,36.553865,-16.511854,0.22998997,0.00011627143,0.1341805,14.443612,0.00086653,18.389074,0.0026506989,0.25437948,0.00021985527,0.24328459,0.2794025,0.00090369585,0.95845927,0.0026618561,0.049025127,-1.0659609,-0.26451751,3.0710303,4.029831,-0.27217531,-4.8883472,0.024743703,-42.760517,-0.1473977,2.5761371,290.10302,36.553865,310.27034,0.1680701,60.723853,0.19395055,14.443612,313.08936,18.389074,272.10644,0.097765411,19.778565,0.063913898,3.0710303,309.4564,-0.27217531,266.14427,0.59376936,46.361755,0.14830772,14.443612,312.60514,18.389074,332.29505,0.20728783,-27.897981,-0.088264673,3.0710303,316.07188,-0.27217531,337.49998,0.4609499,1.9320796,0.0058777301,0.2794025,328.71186,0.95845927,344.84951,0.9626416,-219.22244,-0.75567101,27.071813,290.10302,-16.511854,310.27034,1.1460285e-17,-127.37251,-0.43905957,0.0008370305,290.10302,0.0026779419,310.27034,1.6757965e-05,25.378207,0.087479981,3.7299966,290.10302,-4.770736,310.27034,0.414968,6694.8547,281211.36,1.0873437,312.54712,1,3
1.134846,0.088331225,2.8504386,12.84762,36.5,17.945334,0.45740258,0.65061491,0.18822229,2.891669,3.4566305,36.635714,-0.29157617,0.11866342,0.037956647,0.11866619,2.9948273,0.31986066,36.623077,0.9151324,0.34645575,3.3454116,0.12447903,2.6238756,26.875302,36.568966,-17.241782,0.25066145,5.3519203e-05,0.060921508,12.84762,0.0008784944,17.945334,0.0025957445,0.60864708,5.3175258e-05,0.05784742,0.31986066,0.00091923302,0.9151324,0.0025953667,0.64715712,-0.62470347,-0.15455496,3.4566305,4.0419503,-0.29157617,-4.9818571,0.20142284,-49.183039,-0.14519618,2.6238756,338.73508,36.568966,328.6239,0.17964969,70.66185,0.22382585,12.84762,315.70013,17.945334,279.55837,0.056963689,16.78082,0.05344653,3.4566305,313.97399,-0.29157617,274.29655,0.66035106,91.121935,0.25055046,12.84762,363.68697,17.945334,353.83461,0.032517981,-9.9187786,-0.026822296,3.4566305,369.79603,-0.29157617,362.25441,0.82555157,34.49576,0.090272057,0.31986066,382.1311,0.9151324,370.53786,0.47452437,-241.03912,-0.71158594,26.875302,338.73508,-17.241782,328.6239,1.1197698e-14,-158.45083,-0.46777213,0.00084750718,338.73508,0.0026442214,328.6239,4.917503e-06,33.279649,0.098246834,3.7286272,338.73508,-4.8349425,328.6239,0.36529381,6610.5534,281169.96,1.0863449,322.70887,1,4
2.2996726,0.17566699,2.8581487,13.091091,36.5,18.758413,0.13994365,-0.014618009,-0.0043045435,2.630605,3.3959488,36.514286,-0.049354864,0.97178783,0.030967435,0.11448708,2.7429563,0.27048846,36.5,0.9578236,0.36768835,4.0832567,0.15684339,2.6130545,26.033975,36.557471,-16.647586,0.14684285,9.7109575e-05,0.11140744,13.091091,0.00087166152,18.758413,0.0025841823,0.3515001,2.5140873e-06,0.0028018724,0.27048846,0.0008972883,0.9578236,0.002582375,0.98246931,-0.68694834,-0.17508829,3.3959488,3.9234397,-0.049354864,-5.0712857,0.14713035,-53.213752,-0.13258909,2.6130545,401.34336,36.557471,353.40523,0.22086369,59.048666,0.18635202,13.091091,316.86625,18.758413,289.33352,0.11703552,-4.7873447,-0.01526362,3.3959488,313.64412,-0.049354864,284.06958,0.90019702,148.67963,0.34553871,13.091091,430.28359,18.758413,374.57613,0.0029506847,-43.273065,-0.09973151,3.3959488,433.89562,-0.049354864,374.77782,0.41139553,45.948838,0.10259992,0.27048846,447.84479,0.9578236,374.34393,0.41980808,-266.23053,-0.66334853,26.033975,401.34336,-16.647586,353.40523,2.5411552e-12,-194.72165,-0.4851747,0.00084990511,401.34336,0.0026169786,353.40523,1.9107104e-06,57.425027,0.14308204,3.7550477,401.34336,-4.8131609,353.40523,0.18613774,6542.4465,281197.82,1.0855817,330.96767,1,5
-0.042964194,-0.0031867215,2.7470237,13.482256,36.473807,18.172392,0.97835258,0.48190138,0.085495609,2.6035666,5.6365629,36.471014,0.8655162,0.4848732,0.02532279,0.087007293,2.6747124,0.29104215,36.453846,0.91898106,0.49071441,1.7011913,0.067232964,2.5498314,25.302935,36.528813,-15.937386,0.53368677,-1.5693735e-05,-0.018274853,13.482256,0.00085876121,18.172392,0.002529416,0.87633286,-8.1556149e-05,-0.090065328,0.29104215,0.00090552214,0.91898106,0.0025305315,0.47554098,0.5591028,0.14371456,5.6365629,3.8903698,0.8655162,-5.07,0.23875628,-52.325112,-0.12420954,2.5498314,421.26483,36.528813,362.92133,0.24891037,29.740957,0.097803782,13.482256,304.08801,18.172392,282.47768,0.40383974,-37.210882,-0.12005557,5.6365629,309.94717,0.8655162,286.28525,0.32580561,102.46759,0.22792309,13.482256,449.57091,18.172392,392.07651,0.049219187,3.5620227,0.0076814477,5.6365629,463.71764,0.8655162,396.41389,0.95005149,22.254839,0.046750698,0.29104215,476.03223,0.91898106,405.4254,0.71152772,-275.28759,-0.65347869,25.302935,421.26483,-15.937386,362.92133,5.1443732e-12,-206.75541,-0.49079674,0.00083955215,421.26483,0.0025865098,362.92133,1.2063039e-06,56.981556,0.13526303,3.6931177,421.26483,-4.8981591,362.92133,0.20892729,6466.2745,281097.88,1.0859459,330.31551,1,6
-0.63376156,-0.04937793,2.7472886,12.834915,36.469047,18.494748,0.67397428,0.33251188,0.088707807,2.8477838,3.7483948,36.649206,0.51250627,0.47191831,0.027710464,0.10294664,2.9292404,0.26917309,36.642906,0.92318793,0.41823041,1.430466,0.052367703,2.5501633,27.315805,36.524756,-16.48267,0.62798761,-3.7611512e-05,-0.043858627,12.834915,0.00085756246,18.494748,0.0025261507,0.70868171,-4.2494365e-05,-0.04703382,0.26917309,0.0009034853,0.92318793,0.0025777295,0.7120838,-0.32365772,-0.080553705,3.7483948,4.0179123,0.51250627,-4.8916618,0.51374984,-48.397171,-0.1153221,2.5501633,419.66954,36.524756,363.8868,0.28465374,23.12874,0.075595309,12.834915,305.9547,18.494748,287.17666,0.51918512,27.204939,0.087530794,3.7483948,310.80421,0.51250627,283.93328,0.47784091,132.3198,0.29538081,12.834915,447.96341,18.494748,392.14301,0.01008822,-56.38898,-0.12280117,3.7483948,459.18928,0.51250627,389.81156,0.31844794,71.445037,0.1514838,0.26917309,471.63485,0.92318793,398.05625,0.23212783,-275.05003,-0.65539671,27.315805,419.66954,-16.48267,363.8868,4.24737e-12,-206.19248,-0.49132106,0.00083999447,419.66954,0.0025758128,363.8868,1.1704649e-06,56.36669,0.13431208,3.7238603,419.66954,-4.9466648,363.8868,0.21217553,6439.532,281028.37,1.085951,334.63207,1,7
0.44453039,0.03327878,2.9450995,13.357773,36.53125,18.755096,0.79404982,0.52301051,0.078853254,2.7618791,6.6327067,36.666667,2.3206999,0.55986046,0.023433539,0.072084277,2.9682633,0.32508531,36.693878,0.85044884,0.62257447,3.3000702,0.10210949,2.5568516,32.318936,36.517241,-13.441609,0.34665295,-3.8075203e-05,-0.043172082,13.357773,0.00088194039,18.755096,0.0025290662,0.73481499,-1.5238054e-06,-0.0018829797,0.32508531,0.00080925219,0.85044884,0.0026064822,0.98975497,1.0100363,0.26738872,6.6327067,3.7774082,2.3206999,-5.0998246,0.044347438,-59.578401,-0.13309322,2.5568516,447.64414,36.517241,375.60217,0.21909756,42.169419,0.14059027,13.357773,299.9455,18.755096,301.3244,0.26783197,-98.691878,-0.30636537,6.6327067,322.13784,2.3206999,330.30442,0.020459987,202.63067,0.39988022,13.357773,506.7284,18.755096,419.59263,0.0010613629,46.849801,0.16533352,6.6327067,283.36541,2.3206999,332.93057,0.21904712,-61.024835,-0.20915551,0.32508531,291.76776,0.85044884,331.05598,0.14921775,-294.14365,-0.6570926,32.318936,447.64414,-13.441609,375.60217,4.7779101e-12,-224.03864,-0.50048382,0.00084824099,447.64414,0.0025666557,375.60217,7.9597186e-07,74.247085,0.16586185,3.7365952,447.64414,-4.912069,375.60217,0.1247014,6416.6393,281037.66,1.0856835,341.31034,1,8
