SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.3719403,-0.10179033,3.5015472,3.6539845,40.202462,-0.50338014,0.1377557,-3.1158498,-0.15508936,3.5015472,20.090674,40.202462,-8.3896213,0.023254858,0.0094947634,0.086168485,3.5015472,0.11018835,40.202462,0.16965458,0.20930096,2.4444972,0.17111522,3.5015472,14.285679,40.202462,-2.1982652,0.012174095,-0.00051398035,-0.46065767,3.6539845,0.0011157534,-0.50338014,0.0033809383,1.2229804e-12,0.0001538471,0.13788629,0.11018835,0.0011157534,0.16965458,0.0033809383,0.043912686,-2.2058256,-0.50443153,20.090674,4.3728939,-8.3896213,-1.5994208,3.2521181e-15,-36.971022,-0.2496049,3.5015472,148.11818,40.202462,171.88046,0.00022551424,-105.64524,-0.35824881,3.6539845,294.89349,-0.50338014,539.47979,7.0455373e-08,-72.458278,-0.24571,20.090674,294.89349,-8.3896213,539.47979,0.00028433335,21.035972,0.14202154,3.6539845,148.11818,-0.50338014,171.88046,0.03789744,15.917293,0.10746346,20.090674,148.11818,-8.3896213,171.88046,0.11702358,11.054589,0.074633574,0.11018835,148.11818,0.16965458,171.88046,0.27707341,-60.541742,-0.40873945,14.285679,148.11818,-2.1982652,171.88046,5.0331181e-10,-34.646734,-0.23391277,0.0011157534,148.11818,0.0033809383,171.88046,0.00056102015,-3.24591,-0.021914326,4.3728939,148.11818,-1.5994208,171.88046,0.74992395,8452.3457,276379.92,1.1776525,539.47979,1,daily
-0.34859855,-0.067925454,3.4649162,5.1320753,40.256098,-3.2147821,0.32266965,-2.2985278,-0.078103444,3.4649162,29.429276,40.256098,-21.891765,0.25528683,0.00028993893,0.0013052102,3.4649162,0.22213965,40.256098,0.15444292,0.98485566,3.9651826,0.13052418,3.4649162,30.378912,40.256098,-22.178084,0.056600342,-0.00044430772,-0.37502905,5.1320753,0.0011847288,-3.2147821,0.0033937856,1.4954426e-08,-2.0380892e-05,-0.017203001,0.22213965,0.0011847288,0.15444292,0.0033937856,0.80243052,-1.6729249,-0.3642065,29.429276,4.5933416,-21.891765,-1.7192056,4.1050511e-08,-36.557338,-0.22907013,3.4649162,159.59016,40.256098,150.50041,0.00073444196,-154.45448,-0.4645132,5.1320753,332.50826,-3.2147821,473.33775,7.4994797e-13,-112.95717,-0.33971237,29.429276,332.50826,-21.891765,473.33775,3.5295447e-07,-34.453381,-0.21588662,5.1320753,159.59016,-3.2147821,150.50041,0.0014870289,-30.224083,-0.18938563,29.429276,159.59016,-21.891765,150.50041,0.0054451902,4.0702921,0.025504656,0.22213965,159.59016,0.15444292,150.50041,0.71065533,-78.118863,-0.48949674,30.378912,159.59016,-22.178084,150.50041,2.705995e-14,-37.83033,-0.23704676,0.0011847288,159.59016,0.0033937856,150.50041,0.0004698776,-0.024762351,-0.00015516214,4.5933416,159.59016,-1.7192056,150.50041,0.99819955,8484.464,276257.3,1.183723,473.33775,1,0
-0.33314007,-0.061204398,3.4650641,5.443074,40.246986,-3.5521713,0.37296414,-1.9815943,-0.076016978,3.4650641,26.067786,40.246986,-20.394332,0.2682411,0.0033056184,0.012433875,3.4650641,0.26585584,40.246986,0.1738148,0.8564982,4.427103,0.15000591,3.4650641,29.512858,40.246986,-21.648435,0.028237291,-0.00044600343,-0.37877761,5.443074,0.001177481,-3.5521713,0.0033745837,1.0449147e-08,-1.0273172e-06,-0.0008724703,0.26585584,0.001177481,0.1738148,0.0033745837,0.9898764,-1.5765047,-0.34733067,26.067786,4.5389158,-20.394332,-1.7961215,1.8430901e-07,-34.124108,-0.22338184,3.4650641,152.76134,40.246986,150.21143,0.0010006919,-128.41602,-0.38243276,5.443074,335.78719,-3.5521713,475.44212,7.3343997e-09,-90.013458,-0.26806698,26.067786,335.78719,-20.394332,475.44212,7.1437823e-05,-23.147526,-0.15152739,5.443074,152.76134,-3.5521713,150.21143,0.026658227,-34.263013,-0.22429113,26.067786,152.76134,-20.394332,150.21143,0.00095289713,24.56749,0.1608227,0.26585584,152.76134,0.1738148,150.21143,0.018562679,-70.862396,-0.46387651,29.512858,152.76134,-21.648435,150.21143,8.1337005e-13,-40.30363,-0.26383397,0.001177481,152.76134,0.0033745837,150.21143,9.3683714e-05,-7.1813477,-0.047010244,4.5389158,152.76134,-1.7961215,150.21143,0.49394289,8436.4593,276190.38,1.183551,475.44212,1,1
-0.42547025,-0.093696733,3.4706543,4.5409294,40.240958,-3.1567891,0.17205093,-1.4384126,-0.052884044,3.4706543,27.199368,40.240958,-20.362629,0.44151668,0.019904209,0.086361447,3.4706543,0.23047563,40.240958,0.15086477,0.20827895,5.8040804,0.19839287,3.4706543,29.255488,40.240958,-21.579252,0.0035652901,-0.00044170965,-0.3712814,4.5409294,0.0011896897,-3.1567891,0.0033717054,2.1303923e-08,-5.3911143e-06,-0.0045315299,0.23047563,0.0011896897,0.15086477,0.0033717054,0.94745533,-1.27148,-0.28077862,27.199368,4.5284076,-20.362629,-1.8579907,3.0792545e-05,-34.261044,-0.22756669,3.4706543,150.55386,40.240958,145.96117,0.00079760021,-122.12535,-0.35313253,4.5409294,345.83432,-3.1567891,481.41473,1.1106587e-07,-51.781292,-0.14972861,27.199368,345.83432,-20.362629,481.41473,0.028533539,-21.749614,-0.14446401,4.5409294,150.55386,-3.1567891,145.96117,0.034682979,-27.816425,-0.18476063,27.199368,150.55386,-20.362629,145.96117,0.0067210382,5.6884949,0.037783787,0.23047563,150.55386,0.15086477,145.96117,0.58253324,-64.715012,-0.42984625,29.255488,150.55386,-21.579252,145.96117,4.9229961e-11,-45.480106,-0.30208529,0.0011896897,150.55386,0.0033717054,145.96117,6.8339828e-06,-16.24858,-0.10792537,4.5284076,150.55386,-1.8579907,145.96117,0.11544897,8429.2634,276128.36,1.1832055,481.41473,1,2
-0.35765044,-0.065730411,3.4716643,5.4411714,40.232266,-3.4406833,0.33858913,-0.23159818,-0.0091660426,3.4716643,25.266976,40.232266,-19.920071,0.89395209,0.0053890568,0.029734887,3.4716643,0.18123684,40.232266,0.139894,0.66535487,6.1777621,0.21418002,3.4716643,28.843784,40.232266,-21.017173,0.0016244243,-0.00044338377,-0.36972608,5.4411714,0.0011992223,-3.4406833,0.0033656015,2.4641741e-08,0.00010999914,0.091725389,0.18123684,0.0011992223,0.139894,0.0033656015,0.18129196,-1.4513654,-0.31937227,25.266976,4.5444316,-19.920071,-1.9048131,1.8407267e-06,-31.913145,-0.20639918,3.4716643,154.61856,40.232266,145.02055,0.0024100146,-167.09802,-0.48311656,5.4411714,345.87516,-3.4406833,483.64718,6.4859867e-14,-73.386114,-0.21217515,25.266976,345.87516,-19.920071,483.64718,0.0018005973,-14.818143,-0.095836768,5.4411714,154.61856,-3.4406833,145.02055,0.16242035,-23.942863,-0.15485116,25.266976,154.61856,-19.920071,145.02055,0.023470159,0.63372508,0.0040986352,0.18123684,154.61856,0.139894,145.02055,0.95246868,-67.200295,-0.43461984,28.843784,154.61856,-21.017173,145.02055,2.8446945e-11,-48.423376,-0.31317958,0.0011992223,154.61856,0.0033656015,145.02055,2.9730473e-06,-19.147515,-0.1238371,4.5444316,154.61856,-1.9048131,145.02055,0.070616487,8414.0038,276086.12,1.1830409,483.64718,1,3
-0.74374227,-0.14642277,3.4753027,5.0794168,40.225491,-3.2361441,0.032275026,-0.31424999,-0.013141377,3.4753027,23.913019,40.225491,-19.226872,0.84842838,0.026870976,0.11928335,3.4753027,0.22527013,40.225491,0.14427931,0.081689529,6.6393092,0.23500044,3.4753027,28.252326,40.225491,-20.344463,0.00052768221,-0.00050696332,-0.42229642,5.0794168,0.0012004916,-3.2361441,0.0033654442,1.1519484e-10,0.00011178815,0.093118638,0.22527013,0.0012004916,0.14427931,0.0033654442,0.17472383,-1.6434672,-0.35985948,23.913019,4.5669694,-19.226872,-1.9343925,6.0948469e-08,-35.568604,-0.23391952,3.4753027,152.05487,40.225491,142.08509,0.00056080735,-165.29517,-0.47396782,5.0794168,348.74767,-3.2361441,493.04549,2.2019103e-13,-82.945067,-0.23783691,23.913019,348.74767,-19.226872,493.04549,0.00044917142,-13.294212,-0.08743036,5.0794168,152.05487,-3.2361441,142.08509,0.20268259,-22.408563,-0.14737155,23.913019,152.05487,-19.226872,142.08509,0.031160757,-0.79107355,-0.0052025531,0.22527013,152.05487,0.14427931,142.08509,0.93968836,-66.545924,-0.43764413,28.252326,152.05487,-20.344463,142.08509,2.0007535e-11,-47.679339,-0.31356666,0.0012004916,152.05487,0.0033654442,142.08509,2.8861811e-06,-18.825442,-0.12380689,4.5669694,152.05487,-1.9343925,142.08509,0.070685691,8413.6106,276062.74,1.1822294,493.04549,1,4
-0.50373563,-0.10010789,3.4861666,5.0319272,40.225304,-3.303346,0.14441543,-0.92838443,-0.035628077,3.4861666,26.057663,40.225304,-18.501591,0.60424488,0.0090115237,0.037332519,3.4861666,0.24138536,40.225304,0.16297055,0.58704825,7.5164517,0.26354722,3.4861666,28.520323,40.225304,-21.790187,9.5404488e-05,-0.00041580602,-0.34615324,5.0319272,0.0012012195,-3.303346,0.0033554891,2.0400873e-07,9.9381385e-05,0.082733743,0.24138536,0.0012012195,0.16297055,0.0033554891,0.2280994,-1.4145137,-0.30840306,26.057663,4.5865747,-18.501591,-1.9781308,4.2720017e-06,-37.263151,-0.2472446,3.4861666,150.71371,40.225304,141.35291,0.00025963408,-165.63846,-0.4856798,5.0319272,341.04458,-3.303346,497.17759,4.5750751e-14,-56.833309,-0.16664481,26.057663,341.04458,-18.501591,497.17759,0.014662245,-44.235597,-0.29350745,5.0319272,150.71371,-3.303346,141.35291,1.2711122e-05,-26.032237,-0.1727264,26.057663,150.71371,-18.501591,141.35291,0.011373047,12.070689,0.080090185,0.24138536,150.71371,0.16297055,141.35291,0.24335924,-71.458654,-0.47413506,28.520323,150.71371,-21.790187,141.35291,2.1539591e-13,-45.009977,-0.29864554,0.0012012195,150.71371,0.0033554891,141.35291,8.785821e-06,-13.767217,-0.091346811,4.5865747,150.71371,-1.9781308,141.35291,0.18310772,8388.7228,276023.8,1.1818529,497.17759,1,5
-0.40096376,-0.06806652,3.4962514,5.8907633,40.225397,-3.3496909,0.32166342,-0.83541212,-0.03304218,3.4962514,25.283202,40.225397,-18.965076,0.63075412,0.016407922,0.077108869,3.4962514,0.21278904,40.225397,0.14863945,0.26140698,6.2950566,0.21806705,3.4962514,28.867528,40.225397,-20.756262,0.0013269662,-0.00028297302,-0.23941098,5.8907633,0.0011819551,-3.3496909,0.0033426969,0.00041041902,4.8437991e-05,0.040981246,0.21278904,0.0011819551,0.14863945,0.0033426969,0.55101272,-1.3649138,-0.29859013,25.283202,4.5711954,-18.965076,-2.0261215,8.8212182e-06,-36.827899,-0.24813492,3.4962514,148.41885,40.225397,140.46678,0.00024623545,-118.70604,-0.35548099,5.8907633,333.93078,-3.3496909,498.20058,9.0215441e-08,-49.720608,-0.14889496,25.283202,333.93078,-18.965076,498.20058,0.029440234,-24.04105,-0.16198111,5.8907633,148.41885,-3.3496909,140.46678,0.017721661,-35.952644,-0.24223772,25.283202,148.41885,-18.965076,140.46678,0.00034850595,14.796379,0.099693393,0.21278904,148.41885,0.14863945,140.46678,0.1460932,-72.419457,-0.48793976,28.867528,148.41885,-20.756262,140.46678,3.3550772e-14,-42.608014,-0.28707953,0.0011819551,148.41885,0.0033426969,140.46678,1.9977806e-05,-13.056966,-0.087973771,4.5711954,148.41885,-2.0261215,140.46678,0.19987959,8356.7422,275972.19,1.181874,498.20058,1,6
-0.058794479,-0.010997262,3.5044512,5.3462833,40.221636,-2.921739,0.87292938,-0.078871943,-0.0032064784,3.5044512,24.597684,40.221636,-17.475502,0.96280643,-0.0074413625,-0.03607842,3.5044512,0.20625522,40.221636,0.14274017,0.59967944,5.4687008,0.18861742,3.5044512,28.993615,40.221636,-20.963294,0.0056407807,-0.00028256107,-0.24384075,5.3462833,0.0011587935,-2.921739,0.0033220913,0.00031736908,8.3950836e-05,0.072446764,0.20625522,0.0011587935,0.14274017,0.0033220913,0.29143238,-1.2476153,-0.27262677,24.597684,4.5762756,-17.475502,-2.071028,5.307569e-05,-36.954931,-0.24823092,3.5044512,148.8732,40.221636,143.35261,0.00024482985,-76.266704,-0.2280666,5.3462833,334.40541,-2.921739,500.61894,0.00077606438,-36.160918,-0.10813497,24.597684,334.40541,-17.475502,500.61894,0.11473992,-33.025677,-0.22183763,5.3462833,148.8732,-2.921739,143.35261,0.0010869353,-28.070646,-0.18855406,24.597684,148.8732,-17.475502,143.35261,0.0056571905,20.63861,0.13863214,0.20625522,148.8732,0.14274017,143.35261,0.042772112,-70.468257,-0.47334415,28.993615,148.8732,-20.963294,143.35261,2.3900917e-13,-37.551487,-0.25223806,0.0011587935,148.8732,0.0033220913,143.35261,0.00019240382,-7.5173173,-0.050494766,4.5762756,148.8732,-2.071028,143.35261,0.46245075,8305.2284,275914.82,1.181931,500.61894,1,7
-0.31962833,-0.065095966,3.5243302,4.9101097,40.21662,-3.1742752,0.34442558,-1.7625451,-0.073962703,3.5243302,23.830188,40.21662,-15.860767,0.28256699,0.00033552482,0.0016730603,3.5243302,0.20054556,40.21662,0.12842914,0.98063418,3.1922699,0.1298169,3.5162225,24.590558,40.219019,-14.771168,0.057964596,-0.00038350998,-0.33364734,4.9101097,0.0011494471,-3.1742752,0.0033214745,6.2175672e-07,0.00015219492,0.13240706,0.20054556,0.0011494471,0.12842914,0.0033214745,0.053662581,-1.5558993,-0.34342462,23.830188,4.530541,-15.860767,-2.0595775,2.7502561e-07,-39.775729,-0.25643268,3.5162225,155.11178,40.219019,143.69253,0.00014887745,-158.62328,-0.47440755,4.9101097,334.36079,-3.1742752,504.92504,2.365953e-13,-43.813914,-0.13103784,23.830188,334.36079,-15.860767,504.92504,0.056207686,-52.606246,-0.33835962,4.9101097,155.47436,-3.1742752,143.62874,4.2111913e-07,-16.621722,-0.10690973,23.830188,155.47436,-15.860767,143.62874,0.1198089,17.454304,0.11226484,0.20054556,155.47436,0.12842914,143.62874,0.10226316,-66.867238,-0.43109065,24.590558,155.11178,-14.771168,143.69253,4.2706501e-11,-40.899677,-0.26367874,0.0011531422,155.11178,0.0033131833,143.69253,9.4611612e-05,-8.6345351,-0.055666534,4.5596621,155.11178,-2.1006542,143.69253,0.41783087,8282.9582,275861.46,1.1820425,503.92016,1,8
