SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.81494,0.23913329,6.4311018,7.5896586,34.043833,2.0462079,0.00045840688,-2.6235973,-0.074949483,6.4311018,35.004875,34.043833,4.8100468,0.27847038,0.020678231,0.19108475,6.4311018,0.10821497,34.043833,0.13240734,0.0053546611,-0.21952974,-0.01296365,6.7840199,16.934255,33.404719,0.37554302,0.86363773,-0.0001255368,-0.11984661,7.8205599,0.001047479,2.5136115,0.003240311,0.071513329,0.00035795329,0.34172838,0.10965363,0.001047479,0.13587137,0.003240311,1.2915044e-07,-1.8297512,-0.4062164,36.579563,4.5043755,7.0414958,-2.4902908,2.603147e-11,20.271536,0.093550286,6.4311018,216.69133,34.043833,148.73312,0.17580186,6.4136364,0.020625911,7.8205599,310.95045,2.5136115,419.62981,0.75726221,41.919783,0.13465204,36.579563,311.31933,7.0414958,421.30722,0.033689938,102.60959,0.48243802,7.8205599,212.68969,2.5136115,152.98052,1.2344037e-14,-77.979865,-0.38044643,36.579563,204.96937,7.0414958,151.53636,5.3610875e-10,45.334013,0.21314627,0.10965363,212.68969,0.13587137,152.98052,0.0012342215,-111.15973,-0.5109694,16.890524,217.54675,0.28481984,161.73878,9.1543345e-16,-23.588493,-0.11508301,0.0010549984,204.96937,0.0032908549,151.53636,0.069851923,43.095276,0.21025227,4.5043755,204.96937,-2.4902908,151.53636,0.00084254587,8227.1373,277872.47,1.1538894,421.30722,1,daily
1.6927289,0.12526569,6.4432683,13.513109,34.059538,-1.7051526,0.070729672,0.74768205,0.016014786,6.4432683,46.686984,34.059538,-4.9762801,0.81797576,-0.005419772,-0.025568138,6.4432683,0.21197367,34.059538,0.10931142,0.71326284,0.22524088,0.0064867033,6.773378,34.723476,33.375938,-24.003864,0.93190878,-0.00025592624,-0.23803629,13.200071,0.0010751564,-1.4219113,0.003248914,0.00032504824,0.00014883694,0.13843283,0.21661464,0.0010751564,0.1126906,0.003248914,0.038428054,-1.4171942,-0.30807028,50.669847,4.6002301,-1.7957827,-2.6176761,7.9024218e-07,2.0046854,0.010562829,6.4281423,189.7868,34.063874,127.18012,0.87906032,16.640195,0.042344653,13.200071,392.97039,-1.4219113,370.27213,0.52837149,80.37037,0.20648218,50.669847,389.23635,-1.7957827,373.21674,0.0010988802,21.129802,0.11295005,13.200071,187.07209,-1.4219113,131.00794,0.09171404,-83.954832,-0.4620812,50.669847,181.68848,-1.7957827,130.52169,1.8102937e-14,-4.0295187,-0.021539925,0.21661464,187.07209,0.1126906,131.00794,0.74850319,-104.97456,-0.54232026,34.170057,193.56562,-23.813961,137.39883,9.2321846e-18,-22.800757,-0.12570409,0.0010735261,181.38437,0.0032954585,130.21564,0.047991958,28.501674,0.15713413,4.5910128,181.38437,-2.6196411,130.21564,0.013232167,8238.6463,277746.5,1.1584619,372.83508,1,0
1.5702737,0.15392436,6.451802,10.201593,34.054069,-0.23926615,0.026068437,-0.65816087,-0.014127272,6.451802,46.587965,34.054069,-3.147687,0.83911873,0.015870476,0.073988626,6.451802,0.21449887,34.054069,0.10526216,0.28701799,-0.53304244,-0.015460411,6.7845523,34.477896,33.372472,-22.397756,0.83862217,-0.00013781355,-0.12934741,10.043805,0.0010654527,0.012677315,0.0032297364,0.053212457,0.00017844473,0.16748254,0.20819623,0.0010654527,0.10488928,0.0032297364,0.012060054,-1.4017892,-0.30319147,49.190544,4.6234453,-1.7824265,-2.638247,1.2000253e-06,-1.3131958,-0.0065466342,6.436994,200.59099,34.06036,132.71247,0.92486728,19.932254,0.05720213,10.043805,348.45301,0.012677315,351.81933,0.39419677,96.110115,0.27464693,49.190544,349.94062,-1.7824265,355.88062,1.1921357e-05,59.451234,0.30202829,10.043805,196.83995,0.012677315,135.54198,4.1643468e-06,-92.972313,-0.48484541,49.190544,191.75661,-1.7824265,135.02521,5.7420861e-16,1.1710041,0.0059490163,0.20819623,196.83995,0.10488928,135.54198,0.929448,-111.63788,-0.54661967,34.292696,204.23318,-22.730251,142.63309,4.5251419e-18,-21.591536,-0.11281401,0.0010663267,191.39056,0.0032805297,134.8388,0.076181252,37.362898,0.19521808,4.6141802,191.39056,-2.6402097,134.8388,0.0020114534,8201.3244,277734.48,1.1596853,355.62113,1,1
1.7235595,0.15848566,6.4600407,10.875177,34.047103,-0.27304209,0.022230396,-1.4630394,-0.030813968,6.4600407,47.479745,34.047103,-2.1081031,0.65861064,0.016441592,0.078516044,6.4600407,0.20940424,34.047103,0.096720962,0.25961919,-0.7815655,-0.02297581,6.7908534,34.016885,33.392159,-22.339858,0.76213634,-0.00015641307,-0.146409,10.655529,0.0010683296,0.05540953,0.0032129516,0.028826002,0.00024680524,0.23101975,0.20546267,0.0010683296,0.098796678,0.0032129516,0.0005058589,-1.6846837,-0.36070469,49.406286,4.6705345,-0.081850376,-2.6701545,5.6797522e-09,2.3229225,0.01040052,6.4451775,223.34677,34.0536,138.80976,0.88119,9.0462524,0.026221744,10.655529,344.99049,0.05540953,358.47761,0.69695031,85.907678,0.24782648,49.406286,346.64447,-0.081850376,359.75618,8.5416835e-05,76.193761,0.34873237,10.655529,218.48778,0.05540953,141.03374,8.9309638e-08,-100.27433,-0.47023252,49.406286,213.24414,-0.081850376,140.77029,6.1514339e-15,-4.0571382,-0.018569177,0.20546267,218.48778,0.098796678,141.03374,0.78273061,-117.18536,-0.51689596,33.820744,226.70976,-22.682954,149.43674,5.1177833e-16,-28.284972,-0.13291155,0.0010711983,212.8105,0.0032650513,140.75058,0.036839036,43.942347,0.2064858,4.6610559,212.8105,-2.6711053,140.75058,0.0010986532,8162.6283,277703.78,1.1593618,359.80343,1,2
1.7783426,0.17596591,6.4524446,10.106177,34.04624,-0.44692524,0.011009654,-3.5636934,-0.068768985,6.4524446,51.821231,34.04624,-1.7275028,0.32364631,-0.0056684517,-0.028787488,6.4524446,0.19690679,34.04624,0.096236964,0.67978053,-0.2796089,-0.0083497362,6.7823755,33.487153,33.393722,-22.972301,0.91242177,-0.00020062145,-0.18600321,9.9356716,0.0010785914,-0.10309274,0.0031972821,0.0053302418,0.00011087643,0.10279744,0.19909595,0.0010785914,0.10428739,0.0031972821,0.12588721,-1.7651428,-0.3774679,53.018375,4.6762725,-0.07194551,-2.733628,9.4743144e-10,7.1811815,0.028903734,6.4374493,248.45169,34.051976,142.57415,0.67782188,8.7153693,0.025409344,9.9356716,342.9986,-0.10309274,359.6726,0.70589796,60.391177,0.17488985,53.018375,345.3098,-0.07194551,360.05879,0.0059541164,89.38175,0.36848948,9.9356716,242.56255,-0.10309274,144.50548,1.4058617e-08,-104.71364,-0.44768401,53.018375,233.90077,-0.07194551,143.07374,1.5817519e-13,-13.80278,-0.056904001,0.19909595,242.56255,0.10428739,144.50548,0.39773805,-131.76652,-0.52935515,33.11923,248.91893,-23.314263,152.1373,7.4614366e-17,-39.395972,-0.16877264,0.0010813081,233.4263,0.0032501906,143.1255,0.0078580202,43.97763,0.1884005,4.666775,233.4263,-2.7344231,143.1255,0.0029529674,8125.4766,277648.61,1.1593175,360.20765,1,3
1.156154,0.12994019,6.4487266,8.8975861,34.038278,-0.69469438,0.060763105,-3.473848,-0.075321478,6.4487266,46.120284,34.038278,-2.0894474,0.27840032,0.0094940428,0.05785365,6.4487266,0.16410447,34.038278,0.083249993,0.40537417,-0.23228338,-0.0068347689,6.7973122,33.985551,33.378977,-22.877869,0.92826464,-0.00017703258,-0.16219365,8.8389651,0.001091489,-0.2819746,0.0031827961,0.015097866,0.00025733821,0.23576803,0.17265074,0.001091489,0.089788677,0.0031827961,0.00037196139,-1.8281708,-0.39215641,47.288431,4.6618411,-0.68266426,-2.7771802,1.6616813e-10,10.173491,0.038557437,6.4487266,263.85288,34.038278,146.8769,0.5793862,17.579667,0.050833057,8.8389651,345.8314,-0.2819746,362.26076,0.44903031,53.147975,0.15275666,47.288431,347.92574,-0.68266426,363.84824,0.016274562,79.008771,0.30762511,8.8389651,256.83459,-0.2819746,148.74479,2.6969513e-06,-100.26772,-0.40494063,47.288431,247.61091,-0.68266426,146.90774,3.6535429e-11,-27.270682,-0.10617994,0.17265074,256.83459,0.089788677,148.74479,0.11302359,-144.70359,-0.54784827,33.60254,264.13079,-23.030747,156.5669,3.6840265e-18,-50.201393,-0.20274306,0.0010966032,247.61091,0.0032373227,146.90774,0.0013575421,42.481768,0.17156663,4.6618411,247.61091,-2.7771802,146.90774,0.0068763679,8093.3067,277611.45,1.1590193,363.84824,1,4
2.0246976,0.19162235,6.4523219,10.566083,34.036998,-0.9064884,0.0054452436,-2.2206804,-0.04887568,6.4523219,45.435284,34.036998,-1.9674122,0.48219911,0.024243289,0.12047809,6.4523219,0.20122571,34.036998,0.099213999,0.082277704,0.88545275,0.025792325,6.7996426,34.330087,33.377216,-22.826534,0.73401302,-0.00023692812,-0.21420419,10.439057,0.0011060854,-0.48322867,0.0031755776,0.0012575306,0.000124127,0.1122219,0.19998036,0.0011060854,0.10266023,0.0031755776,0.093839415,-1.718108,-0.36972454,45.598647,4.6469948,-0.89947435,-2.8279636,2.0351913e-09,9.1497975,0.034166419,6.4523219,267.80089,34.036998,146.20061,0.62334208,3.2603625,0.0095372163,10.439057,341.85683,-0.48322867,360.76459,0.88712375,58.285679,0.16921808,45.598647,344.4412,-0.89947435,364.10289,0.0076936024,69.312161,0.26585472,10.439057,260.71443,-0.48322867,148.12394,5.5909859e-05,-100.58959,-0.39980374,45.598647,251.59743,-0.89947435,147.21781,6.7673937e-11,-24.897044,-0.095495458,0.19998036,260.71443,0.10266023,148.12394,0.15429992,-142.69421,-0.53150354,33.964229,268.47273,-23.190826,156.73017,5.3103169e-17,-55.860299,-0.22202254,0.0011119392,251.59743,0.0032280371,147.21781,0.0004386988,38.029692,0.15115295,4.6469948,251.59743,-2.8279636,147.21781,0.017445614,8070.0926,277564.56,1.1590025,364.10289,1,5
2.244596,0.14747247,6.4417453,15.22044,34.052464,-1.1749359,0.033100425,-2.3479631,-0.04962176,6.4417453,47.317208,34.052464,-3.4287876,0.47552973,0.024612111,0.10027404,6.4417453,0.24544848,34.052464,0.12152591,0.14857185,0.3196202,0.0093470356,6.7881553,34.19482,33.392074,-23.599801,0.90201086,-0.00025478036,-0.22621709,14.871249,0.0011262649,-0.69953097,0.0031794492,0.00064703341,0.00013620086,0.12093146,0.24371576,0.0011262649,0.1262423,0.0031794492,0.070848747,-1.5809745,-0.3346149,47.864302,4.7247584,-1.5506308,-2.8511377,7.1112742e-08,9.6547778,0.036791601,6.4417453,262.41799,34.052464,143.18502,0.59688928,23.92212,0.070750245,14.871249,338.12067,-0.69953097,356.5464,0.29175006,79.703965,0.23289231,47.864302,342.23528,-1.5506308,361.31722,0.00022203739,58.56573,0.22913444,14.871249,255.5955,-0.69953097,145.27773,0.00054768206,-96.999581,-0.39277194,47.864302,246.96159,-1.5506308,144.73784,1.5470877e-10,-9.0730737,-0.035497784,0.24371576,255.5955,0.1262423,145.27773,0.59716872,-135.63556,-0.51464043,33.441638,263.55403,-23.299708,153.42223,7.1919472e-16,-50.662617,-0.20514372,0.0011370932,246.96159,0.0032329631,144.73784,0.0011857564,35.922148,0.14545642,4.7247584,246.96159,-2.8511377,144.73784,0.022218864,8082.4078,277539.4,1.1592902,361.31722,1,6
1.1414222,0.076632147,6.4679462,14.894822,34.046385,-0.017034656,0.27009824,-2.6460522,-0.062392454,6.4679462,42.409812,34.046385,-4.022818,0.36947225,0.031372453,0.12097368,6.4679462,0.25933288,34.046385,0.13799307,0.081016011,-1.0462508,-0.030609692,6.8122745,34.180376,33.422401,-23.70113,0.68588558,-0.000209132,-0.18445572,14.51873,0.0011337789,0.3652572,0.0031799639,0.0056222496,0.0002341212,0.20649635,0.25436638,0.0011337789,0.13839307,0.0031799639,0.0018911344,-1.4128519,-0.29925233,43.683237,4.7212729,-1.8413173,-2.877836,1.6722218e-06,10.786549,0.040012687,6.4679462,269.57822,34.046385,141.39993,0.56514393,6.357426,0.01895961,14.51873,335.31417,0.3652572,352.81303,0.77779073,81.484273,0.23905439,43.683237,340.86082,-1.8413173,358.39676,0.0001487669,90.535577,0.34491303,14.51873,262.48813,0.3652572,143.5851,1.1788743e-07,-98.634261,-0.39032263,43.683237,252.69932,-1.8413173,142.21132,2.0540963e-10,6.8747593,0.026190743,0.25436638,262.48813,0.13839307,143.5851,0.69663935,-134.62869,-0.50017614,33.644461,269.16256,-23.229486,150.38111,5.1929975e-15,-55.687777,-0.2203717,0.0011444292,252.69932,0.0032342354,142.21132,0.00048513406,31.470149,0.12453595,4.7212729,252.69932,-2.877836,142.21132,0.050591943,8085.5884,277503.55,1.1597059,358.39676,1,7
2.622369,0.18027874,6.4945173,14.546191,33.926348,0.99485192,0.0098729083,-2.727439,-0.058863552,6.4945173,46.334938,33.926348,-2.5744409,0.40298674,0.00048272145,0.0026177389,6.4945173,0.18440397,33.926348,0.10291225,0.97035814,0.4029794,0.014330519,6.7948982,28.120364,33.396158,-12.190028,0.84984669,-0.00013671333,-0.12121415,14.216203,0.001127866,1.4190506,0.0032071637,0.073430351,0.0001625333,0.14410692,0.19014979,0.001127866,0.11216157,0.0032071637,0.033046195,-1.3451674,-0.28643585,47.558773,4.6962257,-0.32440909,-2.7742397,5.9527468e-06,20.431448,0.079366627,6.4592427,257.43122,34.005625,141.43034,0.25447701,18.299227,0.055147974,14.216203,331.82048,1.4190506,353.77224,0.41675536,63.189168,0.18736172,47.558773,337.25762,-0.32440909,359.10819,0.0034387555,81.941286,0.32800151,14.216203,249.81985,1.4190506,140.77994,6.8976995e-07,-99.582385,-0.41430573,47.558773,240.35966,-0.32440909,139.20901,1.8685509e-11,7.0078182,0.028051487,0.19014979,249.81985,0.11216157,140.77994,0.6797314,-119.68379,-0.46467131,28.020759,257.56656,-11.662775,151.11471,6.4931782e-13,-53.89512,-0.22223497,0.0011416538,242.51412,0.0032347349,142.75357,0.00044494115,30.294666,0.12491918,4.708682,242.51412,-2.8597195,142.75357,0.050350528,8086.8371,277506.32,1.1600011,356.89075,1,8
2.0005882,0.095195466,6.5000545,21.015583,33.901961,6.4012806,0.17668862,-2.4634717,-0.056432697,6.5000545,43.653269,33.901961,12.44455,0.42387615,0.026356481,0.10174296,6.5000545,0.25904967,33.901961,0.13842404,0.14862274,2.533392,0.11145349,6.802076,22.730486,33.400695,26.50726,0.13970467,-1.0291783e-05,-0.0090932023,20.482377,0.0011318106,6.7958195,0.0032473543,0.89380555,0.00015880454,0.14031017,0.25536904,0.0011318106,0.14496292,0.0032473543,0.038452754,-1.3546468,-0.29075883,45.885026,4.6590047,15.354813,-2.6280854,4.6444304e-06,31.427072,0.12969953,6.4741719,242.30676,34.021601,138.99055,0.061877137,4.47068,0.013373497,20.482377,334.29401,6.7958195,374.83635,0.84435118,22.167646,0.066057434,45.885026,335.5814,15.354813,375.74512,0.30814215,98.961303,0.41844921,20.482377,236.49538,6.7958195,139.64059,1.1884856e-10,-70.307746,-0.30596546,45.885026,229.78982,15.354813,139.41835,1.3542607e-06,57.86322,0.24466956,0.25536904,236.49538,0.14496292,139.64059,0.00026498417,-0.75576832,-0.003054706,23.882506,247.41115,27.062052,151.91114,0.96448212,-48.998832,-0.21004155,0.0011417569,233.28162,0.0032715078,143.21532,0.00091758941,32.453872,0.13911886,4.680505,233.28162,-2.6790102,143.21532,0.029146478,8178.7694,277669.78,1.1581884,377.52592,1,9
