SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
6.8339532,0.71984803,6.9668757,9.4936054,41.165371,8.4608343,4.3055995e-11,-2.3709712,-0.22544261,6.9668757,10.516961,41.165371,-14.341985,0.078108435,0.10812633,0.53946716,6.9668757,0.20043173,41.165371,0.28767898,6.0580781e-06,6.0048673,0.36940979,6.9668757,16.255301,41.165371,-2.4447203,0.0031284519,0.00064917743,0.593842,6.928074,0.0010931821,8.8723473,0.0040366871,4.5240269e-22,-2.3267044e-05,-0.021283777,0.20109789,0.0010931821,0.33073992,0.0040366871,0.75522742,-2.0307271,-0.53948322,10.736496,3.764208,-13.027011,0.99291292,8.7133658e-18,-53.755189,-0.26984384,6.9668757,199.20851,41.165371,194.31945,0.033919232,192.24339,0.63489174,6.928074,302.79713,8.8723473,529.92758,6.918257e-26,-193.24188,-0.63818929,10.736496,302.79713,-13.027011,529.92758,3.2232358e-26,20.025208,0.13853765,6.928074,144.54704,8.8723473,174.85602,0.041465804,-43.165787,-0.29862795,10.736496,144.54704,-13.027011,174.85602,7.5976281e-06,-23.89977,-0.16534251,0.20109789,144.54704,0.33073992,174.85602,0.014752999,-72.777327,-0.50348542,15.030364,144.54704,-3.525378,174.85602,2.389891e-15,-42.260596,-0.29236569,0.0010931821,144.54704,0.0040366871,174.85602,1.1978525e-05,-10.473199,-0.072455296,3.764208,144.54704,0.99291292,174.85602,0.2879789,10091.718,279229.35,1.169992,529.92758,1,daily
4.7529218,0.45842714,7.0029595,10.367889,41.06596,5.7112196,0.0001789629,-2.5499875,-0.15749761,7.0029595,16.190642,41.06596,-16.419005,0.22150099,0.019751581,0.051855763,7.0029595,0.38089462,41.06596,0.2019947,0.68895574,6.0246866,0.22268117,7.0029595,27.055214,41.06596,-18.698442,0.081924732,0.0004549645,0.39532057,7.9181182,0.0011508748,5.1002084,0.0039989218,1.5648427e-09,-0.00014870856,-0.1292135,0.39862697,0.0011508748,0.21297921,0.0039989218,0.057378749,-1.6961507,-0.42256419,15.369744,4.0139479,-17.373181,0.66360138,8.2685763e-11,-51.458106,-0.26788283,7.0029595,192.09184,41.06596,164.8397,0.035289135,168.445,0.49444492,7.9181182,340.67496,5.1002084,500.12662,8.8474772e-15,-168.40452,-0.49432608,15.369744,340.67496,-17.373181,500.12662,8.9987142e-15,26.522241,0.18623955,7.9181182,142.40929,5.1002084,148.48542,0.00592776,-49.66222,-0.3487288,15.369744,142.40929,-17.373181,148.48542,1.3353786e-07,-17.922312,-0.12585072,0.39862697,142.40929,0.21297921,148.48542,0.064233769,-69.632995,-0.48896387,27.983179,142.40929,-22.889898,148.48542,1.9203511e-14,-34.347942,-0.24119173,0.0011508748,142.40929,0.0039989218,148.48542,0.00033638814,-2.6587714,-0.01866993,4.0139479,142.40929,0.66360138,148.48542,0.78449916,9997.3044,278867.92,1.1737919,500.12662,1,0
5.610155,0.60689412,7.0120936,9.2440425,41.065242,5.501569,1.7042982e-07,-0.13249235,-0.007656791,7.0120936,17.3039,41.065242,-13.661994,0.95290152,0.10731636,0.28346026,7.0120936,0.37859401,41.065242,0.19104393,0.025578393,8.3760651,0.33191617,7.0120936,25.235484,41.065242,-17.787632,0.0084014839,0.00045813658,0.39517215,7.5890364,0.0011593342,5.2465368,0.0039879948,1.588974e-09,-0.00013425581,-0.11580423,0.43572847,0.0011593342,0.24724373,0.0039879948,0.088796565,-1.5758131,-0.38693575,14.600879,4.0725445,-15.145373,0.55457604,3.6712847e-09,-54.142449,-0.2809957,7.0120936,192.68071,41.065242,155.58374,0.02694478,176.98833,0.5276797,7.5890364,335.40864,5.2465368,490.35746,5.9117115e-17,-156.50933,-0.46662283,14.600879,335.40864,-15.145373,490.35746,3.9333792e-13,21.446954,0.1502973,7.5890364,142.69687,5.2465368,142.00754,0.026841138,-51.237659,-0.35906645,14.600879,142.69687,-15.145373,142.00754,5.2869207e-08,-15.618386,-0.1094515,0.43572847,142.69687,0.24724373,142.00754,0.10786955,-73.837421,-0.51744247,26.869829,142.69687,-21.007272,142.00754,2.9318023e-16,-36.633045,-0.25671933,0.0011593342,142.69687,0.0039879948,142.00754,0.00013121962,-5.7487153,-0.040286205,4.0725445,142.69687,0.55457604,142.00754,0.55501304,9969.9869,278766.49,1.1746695,490.35746,1,1
5.0414135,0.53462529,7.0130298,9.4298074,41.062661,4.9877651,7.6050474e-06,-2.743882,-0.2369433,7.0130298,11.580332,41.062661,-15.627494,0.063706928,0.097160104,0.24020131,7.0130298,0.40449448,41.062661,0.22203478,0.060041394,6.7987333,0.28597775,7.0130298,23.773645,41.062661,-17.860242,0.024243451,0.00051564768,0.44448596,7.7783433,0.0011600989,5.0061907,0.0039802849,6.3602539e-12,-4.5629611e-05,-0.039332517,0.40518479,0.0011600989,0.21905833,0.0039802849,0.56442542,-1.9184131,-0.46799704,13.103859,4.0991992,-16.187482,0.49948387,3.2871757e-13,-52.592259,-0.26335126,7.0130298,199.70384,41.062661,153.92557,0.038631488,179.25928,0.53419365,7.7783433,335.56984,5.0061907,487.42204,2.0741533e-17,-190.24829,-0.56694096,13.103859,335.56984,-16.187482,487.42204,7.4906907e-20,17.509536,0.12028093,7.7783433,145.572,5.0061907,139.34669,0.077054284,-41.119671,-0.28246965,13.103859,145.572,-16.187482,139.34669,2.4071762e-05,-17.552576,-0.1205766,0.40518479,145.572,0.21905833,139.34669,0.076325257,-68.034157,-0.46735745,25.136133,145.572,-20.056792,139.34669,3.5738997e-13,-37.203257,-0.25556603,0.0011600989,145.572,0.0039802849,139.34669,0.00014101385,-5.2108879,-0.03579595,4.0991992,145.572,0.49948387,139.34669,0.59997962,9950.7121,278715.65,1.1749562,487.42204,1,2
4.6522465,0.54998509,7.0170575,8.4588594,41.07871,5.2004272,3.6511401e-06,-4.6491649,-0.39589743,7.0202796,11.743357,41.189623,-15.682612,0.001587413,0.056124651,0.12821896,7.0202796,0.43772504,41.189623,0.23570081,0.3247335,5.591885,0.251262,7.0170575,22.255196,41.07871,-16.402855,0.048849476,0.00044597418,0.3805845,6.8755206,0.0011718138,4.8456619,0.0039788032,6.8944437e-09,-0.00012915847,-0.11128878,0.4046482,0.0011605705,0.22380181,0.0039910337,0.10285135,-1.7535518,-0.43106419,13.831424,4.0679598,-15.826313,0.50187269,3.471946e-11,-50.720254,-0.26746477,7.0170575,189.6334,41.07871,151.04052,0.035587053,167.04477,0.49595832,6.8755206,336.81211,4.8456619,487.33631,7.1256696e-15,-170.11184,-0.50559778,13.831424,336.45685,-15.826313,489.21179,2.0333528e-15,17.34249,0.12753499,6.8755206,135.98221,4.8456619,135.26708,0.060720837,-38.7139,-0.28426401,13.831424,136.18995,-15.826313,134.89945,2.2213252e-05,-15.129861,-0.11109382,0.4046482,136.18995,0.22380181,134.89945,0.10345933,-60.189492,-0.4426277,25.80667,135.98221,-20.028843,135.26708,7.962115e-12,-37.784111,-0.2778607,0.0011718138,135.98221,0.0039788032,135.26708,3.3023189e-05,-11.795711,-0.08674452,4.1488918,135.98221,0.44341244,135.26708,0.20307239,9947.0081,278663.27,1.1750082,487.33631,1,3
4.8180162,0.58588841,7.0328178,8.2234365,41.083524,5.4266553,5.654775e-07,-3.5329633,-0.28942847,7.0343342,12.206689,41.196393,-14.898785,0.023672464,-0.0043616218,-0.015314284,7.0343342,0.28480742,41.196393,0.11812516,0.9067485,4.7367726,0.22378428,7.0328178,21.16669,41.083524,-14.008283,0.080382922,0.00050271756,0.42267291,6.6109372,0.0011893773,5.0103802,0.0039787946,8.1677321e-11,-0.00016253571,-0.13791653,0.37143662,0.0011785078,0.19115781,0.0039909699,0.042880106,-1.8346335,-0.44369563,13.376741,4.1348919,-15.028087,0.46695139,7.8274137e-12,-46.722779,-0.25528275,7.0328178,183.02365,41.083524,146.94087,0.045230487,186.81959,0.5513337,6.6109372,338.85029,5.0103802,486.35769,1.1800898e-18,-165.54304,-0.48924858,13.376741,338.36183,-15.028087,488.34942,2.1205069e-14,13.335052,0.0998636,6.6109372,133.53266,5.0103802,133.29256,0.14257913,-43.417883,-0.32467953,13.376741,133.72535,-15.028087,132.91281,1.0777917e-06,-13.041146,-0.097521869,0.37143662,133.72535,0.19115781,132.91281,0.15318734,-59.668607,-0.44684653,25.279402,133.53266,-18.950623,133.29256,4.7719334e-12,-37.241877,-0.27889713,0.0011893773,133.53266,0.0039787946,133.29256,3.07718e-05,-12.483846,-0.093489079,4.2121694,133.53266,0.40918203,133.29256,0.16999086,9946.9865,278636.6,1.1750549,486.35769,1,4
5.2364687,0.57206536,7.1095159,9.1536197,41.130129,5.5099594,1.1902945e-06,-4.0139411,-0.35478486,7.1097646,11.313733,41.245492,-14.372551,0.0050234528,0.068434154,0.17457627,7.1097646,0.39200148,41.245492,0.20062854,0.1784199,4.6410398,0.23197202,7.1095159,20.006895,41.130129,-12.835461,0.069645112,0.00046446327,0.39114206,7.1185953,0.0011874542,5.4166904,0.0039717507,2.400646e-09,-0.00015214058,-0.12936031,0.38896627,0.0011760994,0.19365151,0.0039841275,0.057676076,-2.0382015,-0.49464962,13.509413,4.1204954,-15.079869,0.45215278,9.9094574e-15,-48.158329,-0.26015643,7.1095159,185.11297,41.130129,150.55424,0.041142158,193.2043,0.56865579,7.1185953,339.75615,5.4166904,484.47986,5.4837126e-20,-182.91531,-0.53937607,13.509413,339.12389,-15.079869,486.585,1.0556626e-17,16.539398,0.12010374,7.1185953,137.70927,5.4166904,135.07133,0.077493893,-34.955068,-0.25347498,13.509413,137.90343,-15.079869,134.67242,0.0001663033,-3.5287997,-0.02558892,0.38896627,137.90343,0.19365151,134.67242,0.70843569,-62.676011,-0.45513283,25.191177,137.70927,-18.19562,135.07133,1.7100297e-12,-41.29461,-0.29986804,0.0011874542,137.70927,0.0039717507,135.07133,6.9338194e-06,-16.32573,-0.11855215,4.2037231,137.70927,0.39252995,135.07133,0.081430502,9929.3768,278624.24,1.1751783,484.47986,1,5
4.7296223,0.4934564,7.1333571,9.5846812,41.167016,4.601898,4.5971196e-05,-4.6613568,-0.42166142,7.1316832,11.054739,41.284631,-14.450798,0.00071319691,0.042129456,0.13156046,7.1316832,0.32022886,41.284631,0.1483949,0.31217721,3.2761461,0.15354781,7.1333571,21.336326,41.167016,-14.593498,0.2334523,0.00043576118,0.36901169,7.3131304,0.0011808872,5.1394865,0.0039684353,2.1006277e-08,-0.00015574363,-0.13310649,0.36486855,0.001170068,0.18479861,0.0039805358,0.050747554,-2.0535336,-0.49981665,13.670664,4.1085738,-14.809133,0.45893519,4.725892e-15,-60.273849,-0.27296437,7.1333571,220.81215,41.167016,163.42659,0.031830841,186.97134,0.55029947,7.3131304,339.76289,5.1394865,483.02668,1.4095042e-18,-175.23354,-0.51666949,13.670664,339.15983,-14.809133,485.11016,3.8647163e-16,8.2847638,0.055438327,7.3131304,149.44109,5.1394865,137.96936,0.41646698,-32.563906,-0.21755285,13.670664,149.68274,-14.809133,137.58871,0.0012934364,-3.879415,-0.025917584,0.36486855,149.68274,0.18479861,137.58871,0.7048642,-66.442086,-0.44460388,24.484332,149.44109,-18.218317,137.96936,6.2699481e-12,-46.170748,-0.30895619,0.0011808872,149.44109,0.0039684353,137.96936,3.50239e-06,-17.916692,-0.11989134,4.1850069,149.44109,0.40165207,137.96936,0.078023499,9921.0883,278634.04,1.1752742,483.02668,1,6
6.0173251,0.47605398,7.0880727,12.640006,41.163968,5.4024318,9.1986332e-05,-4.2217101,-0.37283532,7.0880727,11.323257,41.163968,-14.355368,0.0028415889,0.11445926,0.25848008,7.0880727,0.44281654,41.163968,0.26571147,0.04251249,2.6537698,0.1270493,7.0880727,20.887717,41.163968,-13.432442,0.3251041,0.00033624952,0.28373115,8.302985,0.0011850991,5.154563,0.0039670539,2.2054668e-05,-0.00018091039,-0.15265424,0.41333957,0.0011850991,0.22380918,0.0039670539,0.024515897,-2.0750852,-0.49255441,13.583889,4.2129057,-15.349448,0.39042396,1.1576706e-14,-66.050451,-0.26693574,7.0880727,247.43952,41.163968,168.3636,0.035967045,164.28456,0.49409723,8.302985,332.49441,5.154563,479.86733,9.2971145e-15,-165.53244,-0.4978503,13.583889,332.49441,-15.349448,479.86733,5.4283084e-15,14.262753,0.089003611,8.302985,160.24915,5.154563,138.54059,0.19150965,-36.933465,-0.23047527,13.583889,160.24915,-15.349448,138.54059,0.00062234338,-8.815091,-0.055008661,0.41333957,160.24915,0.22380918,138.54059,0.42009372,-70.522681,-0.44008148,24.783566,160.24915,-17.776321,138.54059,1.0807924e-11,-50.384317,-0.31441239,0.0011850991,160.24915,0.0039670539,138.54059,2.2987166e-06,-18.727305,-0.11686368,4.2129057,160.24915,0.39042396,138.54059,0.085895832,9917.6348,278616.53,1.1756285,479.86733,1,7
4.2522944,0.3834652,7.0694089,11.089127,41.167315,5.9356003,0.0020945096,-2.452021,-0.21504756,7.0694089,11.402227,41.167315,-14.804887,0.093244198,0.044521073,0.12116872,7.0694089,0.3674304,41.167315,0.18860684,0.34817782,4.1486973,0.20457883,7.0694089,20.279211,41.167315,-10.440764,0.11071385,0.00034563308,0.28965695,8.1125138,0.0011932497,6.0404404,0.0039776689,1.4537874e-05,-0.00019183623,-0.16076788,0.42735583,0.0011932497,0.23528783,0.0039776689,0.017787244,-1.9767485,-0.46552727,14.030991,4.2462572,-15.152741,0.4392235,4.5358091e-13,-65.866763,-0.2605145,7.0694089,252.83338,41.167315,172.45881,0.040854229,168.12718,0.49713102,8.1125138,338.19492,6.0404404,487.67586,6.0210521e-15,-147.65971,-0.43661127,14.030991,338.19492,-15.152741,487.67586,1.6324828e-11,36.703958,0.22355329,8.1125138,164.18438,6.0404404,139.88325,0.00091252182,-52.778301,-0.3214575,14.030991,164.18438,-15.152741,139.88325,1.3180512e-06,0.61351311,0.0037367325,0.42735583,164.18438,0.23528783,139.88325,0.95635534,-74.822481,-0.45572228,22.917458,164.18438,-14.565078,139.88325,1.5879564e-12,-48.786556,-0.29714493,0.0011932497,164.18438,0.0039776689,139.88325,8.4707528e-06,-12.888896,-0.078502571,4.2462572,164.18438,0.4392235,139.88325,0.24952086,9944.1723,278652.08,1.1751096,487.67586,1,8
