SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
4.2581709,0.49410044,9.0010364,8.6180268,34.698472,13.478085,1.1526894e-06,-5.7220566,-0.46021469,9.0010364,12.43345,34.698472,-14.239877,7.2970661e-06,0.030078805,0.18447891,9.0010364,0.16304739,34.698472,0.35748478,0.087167614,2.6701779,0.16080949,9.0010364,16.604603,34.698472,-4.920941,0.13676705,0.00065069931,0.58011247,9.311745,0.0011216779,13.974293,0.0043556039,2.6358014e-17,-0.00015052058,-0.13419234,0.21685076,0.0011216779,0.38361366,0.0043556039,0.07495712,-3.129099,-0.7603971,13.611003,4.1150854,-15.796711,3.8391681,1.2401527e-34,-9.4674914,-0.071064949,9.0010364,133.22308,34.698472,291.46244,0.51305371,265.14655,0.8535224,9.311745,310.64978,13.974293,544.54356,2.0066314e-51,-258.61268,-0.83248951,13.611003,310.64978,-15.796711,544.54356,9.5093093e-47,100.13078,0.69415133,9.311745,144.24921,13.974293,307.09637,8.9308201e-27,-91.828171,-0.63659394,13.611003,144.24921,-15.796711,307.09637,1.6848231e-21,-35.771522,-0.24798419,0.21685076,144.24921,0.38361366,307.09637,0.00087478824,-30.513724,-0.21153478,15.67968,144.24921,-5.9183829,307.09637,0.0047073894,31.530575,0.21858405,0.0011216779,144.24921,0.0043556039,307.09637,0.0034679146,65.247085,0.45232197,4.1150854,144.24921,3.8391681,307.09637,2.6106755e-10,10889.01,278213.33,1.2212988,544.54356,1,daily
3.8135641,0.36590761,9.0008258,10.422205,34.862414,8.4905285,0.00049160851,-6.1804444,-0.36148211,9.0008258,17.097511,34.862414,-20.486603,0.00058168244,-0.043575427,-0.11383936,9.0008258,0.38277997,34.862414,0.1512521,0.29377213,8.9282613,0.27252643,9.0008258,32.761085,34.862414,-34.320957,0.010657736,0.0004160827,0.34328407,10.316841,0.0012120653,9.0356969,0.0042948515,3.5299946e-06,-0.00018236827,-0.15046077,0.40323753,0.0012120653,0.1746827,0.0042948515,0.047512319,-2.7316479,-0.62512713,18.077806,4.3697479,-21.587451,3.4504511,2.9792301e-20,-5.5006558,-0.030672655,9.0008258,179.33419,34.862414,253.39886,0.77792523,258.33661,0.7314524,10.316841,353.18308,9.0356969,501.06029,2.0718236e-30,-263.25848,-0.74538814,18.077806,353.18308,-21.587451,501.06029,4.1444202e-32,114.58007,0.57557483,10.316841,199.07068,9.0356969,283.15615,9.7542931e-17,-126.57318,-0.63582032,18.077806,199.07068,-21.587451,283.15615,4.2758089e-21,-34.546769,-0.17354022,0.40323753,199.07068,0.1746827,283.15615,0.022017995,-41.25248,-0.2072253,31.398976,199.07068,-34.182909,283.15615,0.0060763314,10.503413,0.052762233,0.0012120653,199.07068,0.0042948515,283.15615,0.48928467,79.330034,0.39850186,4.3697479,199.07068,3.4504511,283.15615,5.1515223e-08,10737.129,277780.8,1.2268548,501.06029,1,0
2.5155189,0.29999448,8.9717938,8.3852174,34.771115,6.727536,0.0047573268,-5.7101969,-0.33988952,8.9717938,16.800156,34.771115,-18.185254,0.0012779506,-0.051329011,-0.13820294,8.9717938,0.37140318,34.771115,0.15033258,0.20175688,9.2099412,0.28305075,8.9717938,32.538127,34.771115,-33.357674,0.0078957276,0.00035855,0.29790782,9.4161366,0.0012035602,8.1158515,0.004287026,6.5412733e-05,-0.00024777852,-0.20587131,0.44078366,0.0012035602,0.21502638,0.004287026,0.006424082,-2.7544358,-0.62457284,18.545084,4.4101115,-20.424194,3.3174741,3.2879236e-20,-3.0778603,-0.018676506,8.9717938,164.79851,34.771115,240.99917,0.86367482,227.74863,0.6583359,9.4161366,345.94594,8.1158515,495.77033,5.5369646e-23,-255.75851,-0.73930196,18.545084,345.94594,-20.424194,495.77033,2.3592399e-31,118.65695,0.6140007,9.4161366,193.25214,8.1158515,269.86963,2.0773208e-19,-128.63608,-0.6656386,18.545084,193.25214,-20.424194,269.86963,1.2466865e-23,-26.291131,-0.13604575,0.44078366,193.25214,0.21502638,269.86963,0.073459803,-34.069961,-0.17629798,31.589156,193.25214,-33.519432,269.86963,0.019963922,18.853559,0.097559381,0.0012035602,193.25214,0.004287026,269.86963,0.20030671,81.45138,0.42147725,4.4101115,193.25214,3.3174741,269.86963,6.9675814e-09,10717.565,277658.89,1.2273922,495.77033,1,1
4.0044091,0.43252623,9.0212138,9.2581879,34.771494,7.1244372,2.8672793e-05,-6.1915812,-0.38342192,9.0212138,16.148219,34.771494,-17.307949,0.00024662393,0.01003537,0.025676007,9.0212138,0.39084619,34.771494,0.17967149,0.81338235,9.8710956,0.30892571,9.0212138,31.952976,34.771494,-30.233405,0.0035985853,0.00049279991,0.40616046,9.4231067,0.0012133134,8.3422122,0.004290431,2.688786e-08,-0.0002191234,-0.18059918,0.44483048,0.0012133134,0.22847526,0.004290431,0.017091244,-2.8105724,-0.62606287,18.096262,4.4892813,-19.885753,3.2224483,2.5213066e-20,-0.50115677,-0.0033076524,9.0212138,151.51434,34.771494,224.96502,0.9757436,245.59945,0.71101412,9.4231067,345.42134,8.3422122,493.51089,4.2116937e-28,-248.21246,-0.7185788,18.096262,345.42134,-19.885753,493.51089,6.2232989e-29,115.14803,0.60498628,9.4231067,190.33164,8.3422122,258.33858,9.4789106e-19,-128.45081,-0.67487891,18.096262,190.33164,-19.885753,258.33858,1.7776237e-24,-38.344602,-0.20146205,0.44483048,190.33164,0.22847526,258.33858,0.0076827913,-31.000044,-0.16287384,30.741786,190.33164,-30.913378,258.33858,0.031767207,23.643512,0.12422271,0.0012133134,190.33164,0.004290431,258.33858,0.10244138,82.053386,0.43110745,4.4892813,190.33164,3.2224483,258.33858,2.8777151e-09,10726.077,277566.8,1.2277541,493.51089,1,2
2.988914,0.37810721,9.1477874,7.9049379,34.814885,7.5883333,0.00030530044,-6.6481916,-0.40797652,9.1477874,16.295525,34.814885,-17.454891,8.7666209e-05,-0.082363513,-0.21743997,9.1477874,0.37878735,34.814885,0.15947305,0.043064351,9.201972,0.29077163,9.1477874,31.646732,34.814885,-29.512076,0.0062910917,0.00055780026,0.45652939,8.3415007,0.0012218277,8.0671027,0.0042872494,2.4302833e-10,-0.00033562998,-0.27469501,0.39359229,0.0012218277,0.17338617,0.0042872494,0.00024428458,-3.0070219,-0.66186204,17.678398,4.543276,-19.861506,3.1464856,2.7094238e-23,4.4650791,0.028463894,9.1477874,156.86817,34.814885,225.18287,0.79354771,240.08368,0.68802387,8.3415007,348.94673,8.0671027,495.5422,9.8220629e-26,-252.18173,-0.72269405,17.678398,348.94673,-19.861506,495.5422,2.1415469e-29,114.54234,0.62490641,8.3415007,183.29519,8.0671027,251.35494,3.0985898e-20,-119.71452,-0.6531242,17.678398,183.29519,-19.861506,251.35494,1.5649159e-22,-43.97286,-0.23990188,0.39359229,183.29519,0.17338617,251.35494,0.0014305914,-20.378462,-0.11117838,31.371615,183.29519,-31.740713,251.35494,0.1441514,27.979648,0.15264802,0.0012218277,183.29519,0.0042872494,251.35494,0.044341025,81.233534,0.44318421,4.543276,183.29519,3.1464856,251.35494,9.1232101e-10,10718.124,277492.94,1.2277163,495.5422,1,3
3.2788371,0.37513434,9.3232927,8.7404345,34.903086,7.5456476,0.00034347334,-6.4101862,-0.39861478,9.3232927,16.081156,34.903086,-17.319047,0.0001312916,-0.014426824,-0.051424969,9.3232927,0.28054122,34.903086,0.10236592,0.63618771,9.3717227,0.3009304,9.3232927,31.142492,34.903086,-28.929817,0.0046220135,0.00056073306,0.45195747,8.9966268,0.0012406766,8.0633828,0.0042889721,3.8483262e-10,-0.00020314545,-0.16373763,0.37849883,0.0012406766,0.17716778,0.0042889721,0.030860121,-2.9612409,-0.64364568,17.198596,4.6007314,-19.244125,3.0617557,9.8355066e-22,-2.5217126,-0.016101316,9.3232927,156.61531,34.903086,217.50837,0.88232663,231.85883,0.66236237,8.9966268,350.04831,8.0633828,493.03187,2.4462138e-23,-241.78015,-0.6907051,17.198596,350.04831,-19.244125,493.03187,5.338891e-26,105.91642,0.62072144,8.9966268,170.63438,8.0633828,242.20283,6.4876275e-20,-109.88103,-0.64395596,17.198596,170.63438,-19.244125,242.20283,9.2706132e-22,-34.058254,-0.19959784,0.37849883,170.63438,0.17716778,242.20283,0.008277807,-16.531102,-0.096880253,30.785354,170.63438,-30.899969,242.20283,0.20347231,32.673078,0.19148003,0.0012406766,170.63438,0.0042889721,242.20283,0.011372027,76.743703,0.44975521,4.6007314,170.63438,3.0617557,242.20283,4.7904496e-10,10722.43,277418.02,1.2279751,493.03187,1,4
2.8501564,0.36723514,9.4892701,7.7611209,34.946052,7.3190992,0.00046719403,-5.5550028,-0.39527801,9.4892701,14.053407,34.946052,-16.594493,0.00015118496,-0.038367364,-0.10521655,9.4892701,0.3646514,34.946052,0.14773241,0.33209856,9.9737798,0.32530631,9.4892701,30.659656,34.946052,-29.019154,0.0021088971,0.00057249525,0.46340944,8.3237025,0.0012353983,8.0273247,0.0042887929,1.2012897e-10,-0.00024168534,-0.19563354,0.40772636,0.0012353983,0.19338942,0.0042887929,0.0096807006,-2.9538645,-0.64324284,16.705903,4.5921452,-18.87185,3.0377759,1.061949e-21,-7.3956097,-0.046618374,9.4892701,158.64152,34.946052,215.21939,0.66808968,232.06645,0.65403511,8.3237025,354.82261,8.0273247,496.53211,1.3069713e-22,-241.0276,-0.67929042,16.705903,354.82261,-18.87185,496.53211,6.8401974e-25,98.754351,0.5930824,8.3237025,166.51034,8.0273247,239.51087,6.5462049e-18,-108.76335,-0.65319278,16.705903,166.51034,-18.87185,239.51087,1.5438722e-22,-34.81017,-0.20905711,0.40772636,166.51034,0.19338942,239.51087,0.0056326333,-20.536441,-0.12333433,30.517813,166.51034,-30.428298,239.51087,0.10494011,33.123434,0.19892719,0.0012353983,166.51034,0.0042887929,239.51087,0.0085016529,73.448207,0.44110298,4.5921452,166.51034,3.0377759,239.51087,1.1156409e-09,10721.982,277400.68,1.2276432,496.53211,1,5
2.9356361,0.35550774,9.4307021,8.257587,34.875241,7.1969904,0.00072724472,-6.0231432,-0.37039735,9.4307021,16.261302,34.875241,-17.599679,0.00041344676,-0.010583148,-0.030327496,9.4307021,0.34896214,34.875241,0.13129944,0.7803609,8.8129078,0.28154874,9.4307021,31.301535,34.875241,-32.145524,0.0082466989,0.00051558018,0.42301679,9.473048,0.0012188173,8.2282872,0.004270171,6.7067336e-09,-0.00027430622,-0.22505934,0.4188539,0.0012188173,0.20562795,0.004270171,0.0029106285,-2.9665844,-0.64096068,17.685177,4.6283407,-19.868922,3.0036705,2.1378761e-21,-5.8317013,-0.034501845,9.4307021,169.02578,34.875241,216.25996,0.75105265,239.84273,0.67813585,9.473048,353.67948,8.2282872,497.04723,1.2003731e-24,-258.59289,-0.73115039,17.685177,353.67948,-19.868922,497.04723,3.3061347e-30,108.97532,0.62535015,9.473048,174.26288,8.2282872,242.56577,3.6796544e-20,-115.8511,-0.66480653,17.685177,174.26288,-19.868922,242.56577,1.9877846e-23,-36.101676,-0.2071679,0.4188539,174.26288,0.20562795,242.56577,0.0062408978,-24.093179,-0.13825766,31.175547,174.26288,-31.879859,242.56577,0.069672453,35.884709,0.20592285,0.0012188173,174.26288,0.004270171,242.56577,0.0065667944,79.67185,0.45719346,4.6283407,174.26288,3.0036705,242.56577,2.561819e-10,10675.428,277369.38,1.2276196,497.04723,1,6
2.8674476,0.33258716,9.3663062,8.6216425,34.772833,6.9231265,0.0016472383,-6.5324456,-0.37965821,9.3663062,17.206123,34.772833,-17.464245,0.000286972,-0.011829597,-0.033832726,9.3663062,0.34964954,34.772833,0.14555386,0.75572809,8.3768451,0.27443742,9.3663062,30.523699,34.772833,-31.478621,0.010101074,0.00058586283,0.47848841,8.8465877,0.0012244034,8.0729166,0.004269547,2.7692036e-11,-0.00032649494,-0.26665635,0.39975809,0.0012244034,0.18635691,0.004269547,0.00039064857,-2.8888479,-0.62363619,17.959795,4.6322647,-19.721677,3.0133295,4.9805056e-20,-5.9836106,-0.034620235,9.3663062,172.83564,34.772833,226.19917,0.75022633,263.61336,0.75749312,8.8465877,348.00759,8.0729166,490.95084,1.7214561e-33,-267.14814,-0.76765031,17.959795,348.00759,-19.721677,490.95084,7.1688358e-35,104.55577,0.59995441,8.8465877,174.27285,8.0729166,244.85975,2.7157806e-18,-112.63091,-0.64629062,17.959795,174.27285,-19.721677,244.85975,7.7899488e-22,-30.397278,-0.17442348,0.39975809,174.27285,0.18635691,244.85975,0.021723169,-27.080001,-0.15538852,30.548784,174.27285,-32.038798,244.85975,0.041209413,32.171727,0.1846055,0.0012244034,174.27285,0.004269547,244.85975,0.015038989,76.140743,0.43690536,4.6322647,174.27285,3.0133295,244.85975,1.8585483e-09,10673.867,277370.79,1.2282372,490.95084,1,7
2.9394746,0.34000905,9.301796,8.6452835,34.685397,7.3305188,0.0012725866,-5.9529789,-0.38938437,9.301796,15.288181,34.685397,-16.88762,0.00019326695,-0.027133196,-0.073223797,9.301796,0.37055161,34.685397,0.15849469,0.5003029,8.821107,0.31169211,9.301796,28.300707,34.685397,-25.437453,0.0032948049,0.00049198204,0.400538,9.2502299,0.001228303,8.5039046,0.0042661878,4.7503153e-08,-0.00033005176,-0.26870548,0.41687112,0.001228303,0.19795151,0.0042661878,0.00035074074,-3.0944905,-0.66747696,16.911179,4.6361008,-19.183887,3.0297023,1.1459767e-23,-6.8544973,-0.038276534,9.301796,179.07832,34.685397,231.7582,0.72484956,222.97367,0.63674055,9.2502299,350.17979,8.5039046,497.49479,4.6887821e-21,-264.79702,-0.75617447,16.911179,350.17979,-19.183887,497.49479,2.5711594e-33,101.5632,0.56708052,9.2502299,179.09838,8.5039046,248.45891,4.1603874e-16,-111.9194,-0.62490457,16.911179,179.09838,-19.183887,248.45891,3.9816448e-20,-34.97425,-0.19527954,0.41687112,179.09838,0.19795151,248.45891,0.010032191,-24.878565,-0.13926751,27.775613,178.63868,-26.125353,248.80599,0.066837464,29.00189,0.16234944,0.0012249191,178.63868,0.0042646354,248.80599,0.032328867,76.071087,0.4258377,4.6226906,178.63868,3.0290374,248.80599,4.684748e-09,10661.589,277379.14,1.2276883,498.24112,1,8
