SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.25835762,-0.034931278,6.4044905,7.3961686,28.784992,6.0336004,0.47684085,-7.7541188,-0.35415479,6.4044905,21.894717,28.784992,-6.8170566,9.1055287e-14,-0.031693136,-0.23922118,6.4044905,0.13248466,28.784992,0.19427643,7.7201758e-07,3.5631543,0.22560858,6.387975,15.793523,28.812229,-2.0303121,3.3559012e-06,0.00010745271,0.10817537,7.2627254,0.00099331956,6.0382848,0.0033693512,0.023566674,-3.1853185e-05,-0.032067409,0.13020897,0.00099331956,0.19390878,0.0033693512,0.50325597,-1.4519554,-0.30143278,21.4641,4.8168464,-6.7988161,0.012970684,1.1876088e-10,-75.327827,-0.25856105,6.4044905,291.33478,28.784992,327.41533,8.5341852e-08,112.66659,0.35911547,7.2627254,313.73359,6.0382848,463.77426,8.8743224e-15,-57.999116,-0.18486741,21.4641,313.73359,-6.7988161,463.77426,9.9616018e-05,83.525929,0.2705374,7.2627254,308.74078,6.0382848,337.39172,8.7475359e-09,-9.3724723,-0.030357092,21.4641,308.74078,-6.7988161,337.39172,0.52630443,10.515448,0.034059147,0.13020897,308.74078,0.19390878,337.39172,0.47710004,-163.12699,-0.52784394,15.704437,309.04398,-2.140614,337.12464,1.019052e-32,7.4883939,0.024254632,0.00099331956,308.74078,0.0033693512,337.39172,0.61269116,154.30301,0.49978177,4.8168464,308.74078,0.012970684,337.39172,4.689564e-29,8423.378,276741.57,1.1999267,463.77426,1,daily
-0.26520977,-0.03923281,6.5380915,6.7598973,28.958502,1.8724501,0.4270642,-6.012719,-0.1852298,6.5380915,32.460863,28.958502,-18.147198,0.00015613626,-0.027263093,-0.10132875,6.5380915,0.26905586,28.958502,0.12425067,0.039802373,6.0029244,0.1957964,6.5299758,30.659013,28.987467,-29.737768,6.5748962e-05,4.004741e-05,0.03850541,6.6570983,0.0010400463,1.9110845,0.0033500312,0.42254955,-6.1191067e-05,-0.058834943,0.27122781,0.0010400463,0.12481934,0.0033500312,0.22018166,-1.0131054,-0.20433243,32.117677,4.9581234,-18.562773,-0.25996904,1.7096246e-05,-90.401822,-0.28992147,6.5380915,311.81486,28.958502,302.63758,2.0205406e-09,67.86056,0.18964303,6.6570983,357.83314,1.9110845,404.58119,6.7562008e-05,-3.4390504,-0.0096107655,32.117677,357.83314,-18.562773,404.58119,0.84139675,77.636166,0.23741483,6.6570983,327.00639,1.9110845,312.34039,5.3028901e-07,-41.81684,-0.12787774,32.117677,327.00639,-18.562773,312.34039,0.0075067711,-12.812776,-0.039182034,0.27122781,327.00639,0.12481934,312.34039,0.41443745,-171.39571,-0.52373464,31.047244,327.25678,-30.557923,312.33939,5.1988938e-32,-12.950209,-0.039647631,0.0010431391,326.6326,0.0033455123,312.29418,0.40836919,150.62842,0.4611555,4.979294,326.6326,-0.2846762,312.29418,2.1368327e-24,8363.7808,276428.6,1.2061371,403.7747,1,0
-0.075494008,-0.010020179,6.493084,7.5341973,28.931316,2.3016576,0.83892466,-5.7419286,-0.19819572,6.493084,28.971002,28.931316,-18.882352,4.8894926e-05,-0.033590736,-0.12873237,6.493084,0.26093465,28.931316,0.12299129,0.0087334383,5.1008713,0.16666748,6.4851311,30.605079,28.959824,-29.085534,0.000682566,7.4270582e-05,0.070551524,7.583245,0.0010527141,2.3502334,0.0033360769,0.14089708,5.7136754e-05,0.054275663,0.26715858,0.0010527141,0.12826539,0.0033360769,0.2575533,-1.1600051,-0.23246845,29.159653,4.9899463,-19.371126,-0.37386499,8.9602666e-07,-91.811341,-0.29213617,6.493084,314.27584,28.931316,296.69779,1.3714958e-09,89.990524,0.26573784,7.583245,338.644,2.3502334,397.41457,1.6910861e-08,-42.733713,-0.12619067,29.159653,338.644,-19.371126,397.41457,0.0082669532,75.710686,0.22749077,7.583245,332.80773,2.3502334,307.70149,1.5466172e-06,-55.810471,-0.16769584,29.159653,332.80773,-19.371126,307.70149,0.00043069125,-5.3707608,-0.016137729,0.26715858,332.80773,0.12826539,307.70149,0.73656356,-174.34295,-0.52283889,30.937791,333.45444,-29.69046,307.73861,6.88693e-32,-18.552371,-0.055745013,0.0010527141,332.80773,0.0033360769,307.70149,0.2448738,150.26266,0.45149992,4.9899463,332.80773,-0.37386499,307.70149,2.4553971e-23,8340.1922,276346.38,1.2066978,397.41457,1,1
-0.24324376,-0.03300253,6.5168715,7.3704582,28.929458,2.1281949,0.50307821,-6.1940587,-0.22151432,6.5168715,27.96234,28.929458,-18.713357,5.360213e-06,-0.030880308,-0.11956112,6.5168715,0.25828051,28.929458,0.12071313,0.014929255,5.5321139,0.18167958,6.5088627,30.449838,28.958053,-29.34276,0.00020940818,6.6483745e-05,0.063002826,7.2837372,0.0010552502,2.2709628,0.0033216,0.18865129,-4.5620478e-05,-0.043231907,0.25660407,0.0010552502,0.11936592,0.0033216,0.36728192,-1.3749014,-0.27448144,27.784102,5.009087,-18.996641,-0.46219336,5.4148114e-09,-95.158297,-0.30313542,6.5168715,313.91348,28.929458,293.91242,3.0143468e-10,78.769373,0.22792524,7.2837372,345.59303,2.2709628,405.55628,1.4753779e-06,-36.426218,-0.10540206,27.784102,345.59303,-18.996641,405.55628,0.02757984,73.357675,0.21971834,7.2837372,333.87141,2.2709628,305.06713,3.5395174e-06,-58.920774,-0.17647744,27.784102,333.87141,-18.996641,305.06713,0.00020910458,8.3300172,0.024949776,0.25660407,333.87141,0.11936592,305.06713,0.60295844,-174.49386,-0.52161483,30.75374,334.52627,-29.901442,305.10453,1.0099804e-31,-19.908819,-0.059630199,0.0010552502,333.87141,0.0033216,305.06713,0.21347045,149.10072,0.44658126,5.009087,333.87141,-0.46219336,305.06713,8.2684591e-23,8304.0001,276255.34,1.2062391,405.55628,1,2
-0.60778357,-0.077257596,6.5146695,7.8669749,28.925454,1.804805,0.11651907,-6.6887515,-0.21286594,6.5146695,31.422367,28.925454,-17.979354,1.2524636e-05,-0.023525699,-0.085173682,6.5146695,0.27620855,28.925454,0.14248054,0.083463396,5.1811929,0.17290143,6.5071505,29.966165,28.953728,-29.313181,0.00042277966,-3.8651592e-05,-0.036392217,7.7193583,0.001062084,1.8758042,0.0033124716,0.44795116,2.1405015e-05,0.020153787,0.27276036,0.001062084,0.13814259,0.0033124716,0.67438193,-1.055694,-0.21113863,31.123621,5.0000042,-18.141176,-0.52192449,8.5313822e-06,-91.189314,-0.29517142,6.5146695,308.9368,28.925454,292.437,9.0865136e-10,61.074032,0.17470459,7.7193583,349.5846,1.8758042,410.10588,0.000242625,-27.611619,-0.078984084,31.123621,349.5846,-18.141176,410.10588,0.099152927,59.368085,0.17912817,7.7193583,331.42797,1.8758042,303.48338,0.00016697774,-33.683661,-0.10163192,31.123621,331.42797,-18.141176,303.48338,0.033671292,-13.877009,-0.041870363,0.27276036,331.42797,0.13814259,303.48338,0.38257757,-174.68999,-0.52604382,30.251839,332.08258,-29.861486,303.52811,2.5085714e-32,-22.430336,-0.067677861,0.001062084,331.42797,0.0033124716,303.48338,0.15784916,144.00021,0.43448417,5.0000042,331.42797,-0.52192449,303.48338,1.5078747e-21,8281.179,276204.39,1.2058488,410.10588,1,3
-0.21177152,-0.02479114,6.5128395,8.5422259,28.913188,1.7019035,0.61498027,-5.2643974,-0.18202423,6.5128395,28.92141,28.913188,-19.229563,0.00019640183,-0.02459393,-0.089970439,6.5128395,0.27335567,28.913188,0.12820011,0.067429113,4.433337,0.14813136,6.520698,29.928415,28.914318,-29.127456,0.0025451012,1.7417065e-05,0.016201749,8.4033945,0.0010750114,1.6991595,0.0033002863,0.7355574,1.1733338e-05,0.010914617,0.26783124,0.0010750114,0.12478536,0.0033002863,0.82002068,-1.4672788,-0.29305062,28.796829,5.0069124,-19.430371,-0.53530092,4.2056775e-10,-83.476191,-0.26690153,6.5128395,312.76026,28.913188,299.6685,3.4962353e-08,49.797806,0.14094763,8.4033945,353.30716,1.6991595,415.94762,0.0031494601,-52.793758,-0.14942737,28.796829,353.30716,-19.430371,415.94762,0.0017340228,31.435648,0.093598766,8.4033945,335.85537,1.6991595,310.10255,0.050544158,-58.242938,-0.17341673,28.796829,335.85537,-19.430371,310.10255,0.00027005638,2.0426918,0.0060820581,0.26783124,335.85537,0.12478536,310.10255,0.89911479,-182.2672,-0.54218167,30.278378,336.17366,-29.775703,310.42451,1.1022251e-34,-28.659434,-0.085332666,0.0010750114,335.85537,0.0033002863,310.10255,0.074752039,141.10978,0.42015045,5.0069124,335.85537,-0.53530092,310.10255,4.0581415e-20,8250.7156,276196.84,1.2053035,415.94762,1,4
-0.31686236,-0.045975858,6.4961903,6.8919293,28.893656,1.9736658,0.35133606,-6.1435818,-0.20414048,6.4961903,30.094872,28.893656,-18.451713,2.9131479e-05,-0.054019044,-0.16999198,6.4961903,0.31777408,28.893656,0.16492277,0.00052150797,4.4657369,0.14983554,6.5040524,29.804256,28.89472,-28.799054,0.0022935938,-6.7634037e-07,-0.00062431156,6.8282979,0.0010833379,2.0005437,0.0032898134,0.98961697,-4.2586277e-05,-0.039310244,0.31318306,0.0010833379,0.16221427,0.0032898134,0.41237234,-1.2120882,-0.24107518,29.908519,5.0278433,-18.836465,-0.56889588,3.3866523e-07,-80.893702,-0.25948063,6.4961903,311.75237,28.893656,302.9073,8.8353171e-08,74.048752,0.21201308,6.8282979,349.26501,2.0005437,417.25724,7.8123995e-06,-42.019086,-0.12030717,29.908519,349.26501,-18.836465,417.25724,0.011838868,40.828767,0.12164433,6.8282979,335.64053,2.0005437,313.03845,0.010924837,-65.576251,-0.19537644,29.908519,335.64053,-18.836465,313.03845,3.9181432e-05,15.264625,0.045479087,0.31318306,335.64053,0.16221427,313.03845,0.34288137,-192.52655,-0.57307051,30.193002,335.95613,-29.444439,313.36609,2.0154203e-39,-32.302389,-0.096241027,0.0010833379,335.64053,0.0032898134,313.03845,0.044348471,137.71007,0.41029034,5.0278433,335.64053,-0.56889588,313.03845,3.5727207e-19,8224.5336,276168.18,1.2051686,417.25724,1,5
-0.68808808,-0.084945439,6.4847682,8.1003535,28.880067,1.7087355,0.084675236,-6.3307754,-0.21587677,6.4689848,29.325875,28.907288,-18.65589,9.8363289e-06,-0.05280157,-0.1839509,6.4689848,0.28704164,28.907288,0.14192584,0.00017366102,4.4901534,0.15027493,6.4926202,29.87959,28.881072,-28.505952,0.0022254779,5.2669057e-05,0.048253678,7.9978681,0.0010915035,1.7519002,0.0032864216,0.31421436,3.1730895e-05,0.029038634,0.2900023,0.0010927131,0.14350571,0.0032868916,0.54535751,-1.183844,-0.23274725,29.248214,5.0863931,-19.055514,-0.61144495,8.9422028e-07,-75.243657,-0.24064848,6.4847682,312.67041,28.880067,301.14567,7.4732921e-07,88.782757,0.25563221,7.9978681,347.30662,1.7519002,414.16209,5.9979203e-08,-29.567187,-0.085097837,29.248214,347.44934,-19.055514,413.52436,0.075895429,61.484269,0.18410484,7.9978681,333.96335,1.7519002,311.10838,0.00010850517,-77.65333,-0.23231496,29.248214,334.25885,-19.055514,311.47519,9.3804532e-07,-5.0148527,-0.015002902,0.2900023,334.25885,0.14350571,311.47519,0.75474563,-181.85278,-0.5440153,30.050442,334.27881,-28.973867,311.431,5.9511614e-35,-31.328264,-0.093807493,0.0010915035,333.96335,0.0032864216,311.10838,0.050029754,134.60531,0.40305415,5.0808994,333.96335,-0.61426773,311.10838,1.6851501e-18,8216.0541,276123.04,1.2055184,414.16209,1,6
-0.57174294,-0.061545693,6.4804488,9.289731,28.871571,2.4085655,0.21197652,-6.2054734,-0.23451173,6.4652475,26.46125,28.898444,-18.486643,1.4876647e-06,-0.066230023,-0.21383688,6.4652475,0.30972217,28.898444,0.15252242,1.1979029e-05,4.0860712,0.13613993,6.4882983,30.01376,28.872533,-28.523986,0.0056429046,0.00012212238,0.11114817,9.1184478,0.001098735,2.3622775,0.0032982339,0.020122692,4.8656541e-05,0.044237077,0.31101656,0.0010999041,0.15285613,0.0032989176,0.35679114,-1.5450352,-0.30358399,26.19987,5.0893173,-18.644415,-0.616875,9.5287962e-11,-72.417671,-0.23364212,6.4804488,309.95127,28.871571,296.27133,1.5836672e-06,90.720598,0.26104335,9.1184478,347.53078,2.3622775,414.2251,3.065277e-08,-51.627997,-0.14849412,26.19987,347.67705,-18.644415,413.59127,0.001877213,46.25751,0.14005737,9.1184478,330.27545,2.3622775,305.04088,0.0033470656,-75.587642,-0.22864939,26.19987,330.58318,-18.644415,305.36985,1.4021796e-06,7.10456,0.021490991,0.31101656,330.58318,0.15285613,305.36985,0.65450795,-180.08358,-0.5447306,30.256749,330.59201,-28.943022,305.34892,4.674514e-35,-31.016526,-0.093911086,0.001098735,330.27545,0.0032982339,305.04088,0.049776078,129.19652,0.39117807,5.0839861,330.27545,-0.62031465,305.04088,1.9820451e-17,8245.5847,276109.26,1.2056393,414.2251,1,7
-0.27994207,-0.027711388,6.4380541,10.102059,28.855704,3.6196876,0.57488036,-7.1454377,-0.24470704,6.4230968,29.199967,28.88236,-16.101661,5.1021811e-07,-0.050339026,-0.15117195,6.4230968,0.33299185,28.88236,0.17366912,0.0021186557,3.5797418,0.14433881,6.4331129,24.800965,28.865169,-15.075718,0.003283924,9.0361436e-05,0.083134085,9.9130253,0.0010869361,3.5500261,0.0033213305,0.083647171,3.5835017e-06,0.0032934176,0.32706165,0.00108808,0.16975973,0.0033220837,0.94552003,-1.3818706,-0.27445211,28.794666,5.0350156,-16.111157,-0.46782217,6.385531e-09,-67.799914,-0.21634557,6.4331129,313.38712,28.865169,298.87608,9.1654209e-06,101.67995,0.29815696,9.9130253,341.02827,3.5500261,414.44635,2.3243659e-10,-36.552651,-0.10713447,28.794666,341.18478,-16.111157,413.83526,0.025793997,40.696959,0.12310144,9.9130253,330.59694,3.5500261,308.36663,0.01026107,-66.33592,-0.20049103,28.794666,330.86726,-16.111157,308.77959,2.6382496e-05,-6.1037904,-0.018447852,0.32706165,330.86726,0.16975973,308.77959,0.70186965,-173.53823,-0.52536651,24.937285,330.3184,-15.474911,307.972,3.1081836e-32,-26.951054,-0.081591138,0.0010885676,330.3184,0.0033175335,307.972,0.089195578,133.73744,0.40487432,5.0457999,330.3184,-0.49457931,307.972,1.3723614e-18,8293.8336,276224.14,1.2055468,413.90478,1,8
