SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0010025196,-0.71150438,1.2900957,0.001409014,0.72998305,0.0035616188,7.2117074e-06,-0.00028075183,-0.19925411,0.084995397,0.001409014,0.091577201,0.0035616188,0.28253967,-5.3354265,-0.9113252,19.272645,5.8545802,-0.24299423,0.094551136,1.0640509e-12,,,,,,,,8.9759546,0.035169614,1.2900957,255.21902,0.72998305,545.56059,0.85101222,-69.478935,-0.27223259,19.272645,255.21902,-0.24299423,545.56059,0.13845043,31.215235,0.28439587,1.2900957,109.7598,0.72998305,260.29508,0.12099862,28.267629,0.25754081,19.272645,109.7598,-0.24299423,260.29508,0.16189544,-29.93622,-0.27274301,0.084995397,109.7598,0.091577201,260.29508,0.13768307,-69.973875,-0.63751821,17.468216,109.7598,-13.672396,260.29508,0.00011462249,-51.487029,-0.4690882,0.001409014,109.7598,0.0035616188,260.29508,0.0077670875,-47.264973,-0.43062187,5.8545802,109.7598,0.094551136,260.29508,0.015594443,8904.047,273844.5,1.2384146,545.56059,1,daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00071286047,-0.48645722,1.1808169,0.0014654125,0.3037574,0.0036078162,0.0064145906,-0.00021617759,-0.14751996,0.24519219,0.0014654125,0.10709655,0.0036078162,0.43660582,-5.1907443,-0.84373177,20.601559,6.1521261,-0.68377439,-0.15485484,2.5062728e-09,,,,,,,,-73.708365,-0.2469412,1.1808169,298.48549,0.3037574,536.83124,0.1883205,-75.659483,-0.25440563,20.601559,297.39705,-0.68377439,528.17806,0.16724531,3.879388,0.028613988,1.1808169,135.57663,0.3037574,238.16562,0.88068869,23.305616,0.17385978,20.601559,134.04834,-0.68377439,240.70966,0.34959184,-3.0888467,-0.022783033,0.24519219,135.57663,0.10709655,238.16562,0.90487872,-17.11872,-0.12770557,30.069047,134.04834,-27.30957,240.70966,0.49357962,-54.833224,-0.40905559,0.0014719787,134.04834,0.0035536752,240.70966,0.022316524,-44.000939,-0.3282468,6.1521261,134.04834,-0.15485484,240.70966,0.07141623,8884.1879,273588.8,1.240799,528.17806,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00039194752,-0.27038481,2.6425112,0.0014495915,0.17613231,0.0035974775,0.14842782,-0.00032802408,-0.22628726,0.14340166,0.0014495915,0.090989801,0.0035974775,0.22919505,-4.8318603,-0.77827459,20.288167,6.2084261,0.36044597,-0.19948387,2.5495338e-07,,,,,,,,74.525726,0.24837553,2.6425112,300.05261,0.17613231,540.85669,0.18568457,-59.125404,-0.19768532,20.288167,299.08849,0.36044597,532.01506,0.28642426,22.860051,0.17746322,2.6425112,128.81571,0.17613231,234.95623,0.34815194,14.267057,0.11181994,20.288167,127.58956,0.36044597,237.73126,0.54924927,30.073078,0.23345815,0.14340166,128.81571,0.090989801,234.95623,0.21437946,-11.302889,-0.088587882,29.714298,127.58956,-27.833062,237.73126,0.6355706,-40.094792,-0.31424822,0.001457651,127.58956,0.0035425656,237.73126,0.085127291,-28.676571,-0.2247564,6.2084261,127.58956,-0.19948387,237.73126,0.22414015,8856.4141,273553.04,1.2404549,532.01506,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00070996577,-0.50577524,0.93514263,0.0014037179,0.41452884,0.0035652231,0.0043537788,-0.00029514677,-0.21026074,0.087294207,0.0014037179,0.054118306,0.0035652231,0.26475006,-5.2006836,-0.85408456,18.479354,6.0891905,-0.47936061,-0.41851613,9.949125e-10,,,,,,,,-42.363159,-0.14373046,0.93514263,294.74029,0.41452884,533.43565,0.44860645,-85.037836,-0.2903893,18.479354,292.84081,-0.47936061,525.85889,0.11302466,-1.22228,-0.010214751,0.93514263,119.65833,0.41452884,216.42355,0.95727582,17.246274,0.14463119,18.479354,119.24312,-0.47936061,219.91583,0.43758653,26.488559,0.22136829,0.087294207,119.65833,0.054118306,216.42355,0.23974715,-16.786378,-0.14077439,29.445857,119.24312,-30.101701,219.91583,0.45003146,-41.428422,-0.3474282,0.0014134115,119.24312,0.0035104541,219.91583,0.055487037,-30.203641,-0.25329463,6.0891905,119.24312,-0.41851613,219.91583,0.16917097,8776.1351,273326.97,1.2415519,525.85889,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00041477785,-0.29858572,1.3543484,0.0013891416,0.36259372,0.0035048513,0.10276332,3.3343581e-05,0.02400301,0.14981683,0.0013891416,0.082628409,0.0035048513,0.89801493,-5.0575802,-0.84687275,18.424,5.9720663,0.19120416,-0.52683871,1.9072486e-09,,,,,,,,58.541641,0.19023915,1.3543484,307.72656,0.36259372,521.74721,0.30532587,-99.230978,-0.32246478,18.424,307.72656,0.19120416,521.74721,0.076855115,0.73696751,0.0064678317,1.3543484,113.94352,0.36259372,203.33564,0.97245309,14.647986,0.1285548,18.424,113.94352,0.19120416,203.33564,0.49068651,-34.177582,-0.29995196,0.14981683,113.94352,0.082628409,203.33564,0.10112347,-21.847838,-0.1917427,28.968709,113.94352,-31.453802,203.33564,0.30144753,-39.002071,-0.34229302,0.0013891416,113.94352,0.0035048513,203.33564,0.059446489,-27.989188,-0.24564089,5.9720663,113.94352,-0.52683871,203.33564,0.18286602,8762.1283,273220.9,1.242144,521.74721,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00061603503,-0.43546686,1.6181262,0.0014146542,0.46316631,0.0035156162,0.014343684,-5.0878816e-05,-0.035965549,0.21681152,0.0014146542,0.082055627,0.0035156162,0.84767909,-4.9935124,-0.82141343,19.357506,6.0791707,-1.0471443,-0.49095161,1.4915642e-08,,,,,,,,-3.675082,-0.01190513,1.6181262,308.69735,0.46316631,507.47828,0.94931808,-118.69805,-0.3845127,19.357506,308.69735,-1.0471443,507.47828,0.03269729,10.564316,0.094278096,1.6181262,112.05483,0.46316631,205.26685,0.6139289,-0.19484474,-0.0017388339,19.357506,112.05483,-1.0471443,205.26685,0.9925929,0.68155945,0.0060823744,0.21681152,112.05483,0.082055627,205.26685,0.97409422,-32.458799,-0.28966889,28.764079,112.05483,-29.099088,205.26685,0.11396183,-30.803731,-0.27489872,0.0014146542,112.05483,0.0035156162,205.26685,0.13447649,-20.510471,-0.18303959,6.0791707,112.05483,-0.49095161,205.26685,0.32432901,8789.0405,273262.09,1.243262,507.47828,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0006238483,-0.44042304,1.2241723,0.0014164752,0.26064884,0.0035173912,0.013152028,-0.00016986606,-0.11992167,0.082146433,0.0014164752,0.055745925,0.0035173912,0.520495,-5.1008983,-0.83308006,16.922171,6.1229389,-0.61879097,-0.50787097,6.0649412e-09,,,,,,,,-104.99813,-0.34930159,1.2241723,300.59449,0.26064884,498.38239,0.05409552,-111.4969,-0.37092131,16.922171,300.59449,-0.61879097,498.38239,0.039949818,-25.503118,-0.23076709,1.2241723,110.51454,0.26064884,203.45844,0.21166604,-7.6935647,-0.069615862,16.922171,110.51454,-0.61879097,203.45844,0.70979725,-11.746764,-0.10629158,0.082146433,110.51454,0.055745925,203.45844,0.56928635,-39.20786,-0.35477559,30.489354,110.51454,-30.314791,203.45844,0.050187026,-29.924784,-0.27077691,0.0014164752,110.51454,0.0035173912,203.45844,0.14065598,-19.370223,-0.17527308,6.1229389,110.51454,-0.50787097,203.45844,0.34562738,8793.4779,273248.91,1.2439933,498.38239,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00030269124,-0.21415524,1.4964969,0.0014134197,0.50929861,0.0035081328,0.247334,4.0658194e-05,0.028765832,0.16820784,0.0014134197,0.086270337,0.0035081328,0.8779163,-5.3357648,-0.86779451,17.25775,6.1486501,-0.1578135,-0.53153226,2.6090622e-10,,,,,,,,121.79777,0.42825101,1.4964969,284.40744,0.50929861,487.33323,0.016238832,-73.439514,-0.25821938,17.25775,284.40744,-0.1578135,487.33323,0.16075382,14.227886,0.13389164,1.4964969,106.26419,0.50929861,206.46032,0.47270462,0.11184587,0.0010525265,17.25775,106.26419,-0.1578135,206.46032,0.9955164,-21.158378,-0.19911109,0.16820784,106.26419,0.086270337,206.46032,0.28289241,-38.134669,-0.35886661,30.426572,106.26419,-32.840854,206.46032,0.047415068,-31.343176,-0.29495522,0.0014134197,106.26419,0.0035081328,206.46032,0.1072182,-21.978257,-0.20682657,6.1486501,106.26419,-0.53153226,206.46032,0.26426675,8770.3321,273225.81,1.2449061,487.33323,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00048728222,-0.35671794,1.0492579,0.0013660155,0.26118441,0.0034590713,0.048855332,4.5122853e-05,0.033032462,0.21943893,0.0013660155,0.087765996,0.0034590713,0.85997426,-5.1754627,-0.8578504,16.389048,6.0330597,-0.11627765,-0.75069355,6.9848183e-10,,,,,,,,36.92125,0.13536689,1.0492579,272.7495,0.26118441,490.29899,0.46779533,-47.355385,-0.17362226,16.389048,272.7495,-0.11627765,490.29899,0.35026079,5.5196655,0.05119686,1.0492579,107.81258,0.26118441,197.96588,0.78445556,4.9082842,0.04552608,16.389048,107.81258,-0.11627765,197.96588,0.80785984,-19.508788,-0.18095094,0.21943893,107.81258,0.087765996,197.96588,0.32997547,-35.228805,-0.32675969,30.79513,107.81258,-31.053712,197.96588,0.072785664,-34.31444,-0.31827863,0.0013660155,107.81258,0.0034590713,197.96588,0.080988361,-23.175161,-0.21495786,6.0330597,107.81258,-0.75069355,197.96588,0.24552434,8647.6784,272997.96,1.2451959,490.29899,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00036668246,-0.26674546,1.431393,0.0013746531,0.82420333,0.0035118879,0.15418251,-0.0001319144,-0.095961956,0.22152389,0.0013746531,0.074550689,0.0035118879,0.61395344,-4.9635777,-0.8280336,18.28572,5.9944158,0.46436502,-0.72782258,9.02478e-09,,,,,,,,15.504413,0.05764045,1.431393,268.98494,0.82420333,488.54949,0.76223562,-44.438626,-0.16743646,18.28572,265.40591,0.46436502,484.53675,0.36795219,3.8368627,0.032617398,1.431393,117.6324,0.82420333,200.12638,0.86413974,4.3886397,0.037834058,18.28572,115.99706,0.46436502,201.7246,0.83986459,14.213336,0.12082841,0.22152389,117.6324,0.074550689,200.12638,0.52476322,-37.146945,-0.32024039,26.630192,115.99706,-19.937295,201.7246,0.079030623,-47.428296,-0.40887497,0.0013795924,115.99706,0.0034621813,201.7246,0.022381553,-35.166823,-0.30316994,5.9944158,115.99706,-0.72782258,201.7246,0.0973391,8655.4532,273006.3,1.2458544,484.53675,1,8
