SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.085620097,-0.012411538,2.9570288,6.8984276,29.032028,-0.50506659,0.83188993,0.011053769,0.00020310264,2.9241219,54.424547,29.029572,-36.445364,0.99719551,0.043354351,0.29916509,2.9570288,0.14491781,29.032028,0.18321662,1.6326165e-07,-2.726006,-0.20385379,0.65024846,13.372359,28.867168,-19.86747,0.11201121,-0.00029279121,-0.28994586,7.6412201,0.0010098134,-1.2885035,0.0038079421,1.7491747e-12,-0.0001399109,-0.13855125,0.13530987,0.0010098134,0.19813565,0.0038079421,0.00092073496,-2.0004256,-0.56470405,46.24425,3.5424318,-33.255597,0.98385788,7.9819496e-50,13.64255,0.096974683,2.9241219,140.68156,29.029572,166.54831,0.092526458,-45.642623,-0.13915233,7.6412201,328.00474,-1.2885035,564.49251,0.00087406866,-167.71887,-0.5126594,46.24425,327.15458,-33.255597,566.17278,6.368545e-40,23.523495,0.15378442,7.6412201,152.96409,-1.2885035,177.24628,0.00023123914,-13.920394,-0.091258924,46.24425,152.53735,-33.255597,177.09305,0.028522214,-0.1550292,-0.0010135006,0.13530987,152.96409,0.19813565,177.24628,0.98075481,-61.219368,-0.43263583,14.809817,141.50323,-15.991403,220.89148,1.3797288e-11,-52.879505,-0.34666595,0.0010148911,152.53735,0.003809172,177.09305,1.0433799e-17,-14.255151,-0.093453512,3.5424318,152.53735,0.98385788,177.09305,0.024901814,9522.9301,274921.95,1.2322452,566.17278,1,daily
-1.0900693,-0.089200947,2.95588,12.220378,29.033044,-3.2577891,0.12766223,-0.52882724,-0.0081859238,2.92269,64.602023,29.029523,-40.812934,0.88771604,0.045326366,0.14143277,2.95588,0.32047995,29.033044,0.2041072,0.0154022,-10.680814,-0.38860754,0.69467168,27.484835,28.847434,-35.694262,0.0019683943,-0.00022804276,-0.21638391,13.73106,0.0010538804,-4.5345311,0.0038005254,2.113895e-07,-4.0748933e-05,-0.038665615,0.28687094,0.0010538804,0.1859958,0.0038005254,0.35937167,-1.6500199,-0.4434032,56.499276,3.7212629,-39.650521,0.81269615,6.705962e-29,2.8831008,0.018531454,2.92269,155.57877,29.029523,148.20577,0.7492248,-96.978486,-0.24016218,13.73106,403.80416,-4.5345311,530.74819,7.6669341e-09,-163.01592,-0.40532841,56.499276,402.18232,-39.650521,531.38711,5.4607496e-24,0.33903811,0.0020742394,13.73106,163.45177,-4.5345311,156.24328,0.96079878,-13.948997,-0.08563298,56.499276,162.89281,-39.650521,155.79145,0.04080298,-6.7682292,-0.041408111,0.28687094,163.45177,0.1859958,156.24328,0.3262834,-51.642783,-0.32648464,29.032988,158.17829,-31.813522,197.28182,7.3714868e-07,-52.163333,-0.32023103,0.0010564879,162.89281,0.003803894,155.79145,4.4057234e-15,-8.0119009,-0.049185109,3.7212629,162.89281,0.81269615,155.79145,0.24061829,9509.735,274740.55,1.2362196,531.38711,1,0
0.15073174,0.013444247,2.9598015,11.211616,29.030713,-4.3012041,0.81874838,0.058658789,0.00093452118,2.9265454,62.768818,29.026247,-39.563133,0.98713961,0.035170641,0.12439445,2.9598015,0.28273481,29.030713,0.17364006,0.033298805,-7.7428046,-0.26754759,0.68309488,28.939915,28.830484,-36.532258,0.035527867,-0.00025558715,-0.24062294,12.71941,0.0010621894,-5.3706034,0.0038035866,7.1637661e-09,-4.2297742e-05,-0.039821279,0.27261143,0.0010621894,0.18727579,0.0038035866,0.34518022,-1.6883293,-0.45045442,55.522625,3.7480579,-39.257676,0.77482662,7.0238394e-30,3.1364533,0.020420504,2.9265454,153.59333,29.026247,144.56937,0.72464801,-80.358962,-0.20845576,12.71941,385.49647,-5.3706034,524.03779,5.8977044e-07,-169.0617,-0.44002369,55.522625,384.21044,-39.257676,524.4572,1.9410347e-28,4.7209047,0.029268372,12.71941,161.29714,-5.3706034,151.48719,0.48787549,-16.594992,-0.10326674,55.522625,160.70025,-39.257676,150.99694,0.013556037,4.3883832,0.027206825,0.27261143,161.29714,0.18727579,151.48719,0.5190489,-51.011707,-0.33247121,30.470778,153.43195,-32.712171,186.13054,4.2109015e-07,-53.131653,-0.33062582,0.0010645911,160.70025,0.0038070005,150.99694,4.9613544e-16,-11.138235,-0.069310626,3.7480579,160.70025,0.77482662,150.99694,0.098009666,9517.5012,274709.28,1.236725,524.4572,1,1
-0.11028765,-0.0090973779,2.9578713,12.123015,29.030188,-2.5412247,0.87677434,1.284811,0.021100342,2.9246096,60.890526,29.025233,-41.665852,0.71587036,0.032574981,0.10804197,2.9578713,0.30150302,29.030188,0.18035716,0.06476381,-6.4981492,-0.2217781,0.65662741,29.300229,28.84046,-35.784677,0.083204252,-0.00024154129,-0.22721612,13.633359,0.0010630465,-4.0541409,0.003801156,4.8800018e-08,-3.5881165e-05,-0.033753148,0.28221964,0.0010630465,0.18040101,0.003801156,0.42368621,-1.737663,-0.46365084,53.081038,3.7477836,-39.624399,0.76237741,8.9140675e-32,6.2933528,0.04136036,2.9246096,152.15904,29.025233,144.62493,0.47541441,-85.787075,-0.22658694,13.633359,378.60556,-4.0541409,520.07616,5.3246135e-08,-176.98242,-0.46858935,53.081038,377.69195,-39.624399,520.32866,1.6550146e-32,-5.0026248,-0.030785937,13.633359,162.49707,-4.0541409,151.19211,0.465588,-25.189136,-0.1555727,53.081038,161.91231,-39.624399,150.69454,0.00018988671,11.323981,0.069687292,0.28221964,162.49707,0.18040101,151.19211,0.098265715,-51.309667,-0.32260729,30.459908,159.04683,-32.219567,186.87514,9.5661696e-07,-53.858953,-0.33264274,0.001064932,161.91231,0.003804484,150.69454,3.2160538e-16,-10.462914,-0.064620867,3.7477836,161.91231,0.76237741,150.69454,0.12298045,9511.2099,274702.8,1.2369883,520.32866,1,2
-0.69147761,-0.066388977,2.9572437,10.415549,29.032462,-2.8887229,0.25730298,-1.3380299,-0.024539714,2.9242125,54.52508,29.028622,-39.981763,0.67205475,0.063830448,0.23589047,2.9572437,0.27059358,29.032462,0.15394401,4.5379302e-05,-4.7085018,-0.16425156,0.65893098,28.666405,28.86421,-35.646774,0.20206793,-0.00020049812,-0.18710541,13.346296,0.0010715784,-3.4944089,0.0037979862,7.7053213e-06,-3.9055814e-05,-0.036446995,0.28423563,0.0010715784,0.17808655,0.0037979862,0.38762365,-1.845209,-0.48784859,49.236363,3.7823395,-38.623198,0.72622154,1.7795246e-35,8.1304557,0.053677674,2.9242125,151.46811,29.028622,142.80792,0.35418027,-65.761759,-0.17444426,13.346296,376.97863,-3.4944089,518.94925,3.1051855e-05,-177.50543,-0.47098402,49.236363,376.88207,-38.623198,519.41356,7.242559e-33,-2.6742778,-0.016531368,13.346296,161.76991,-3.4944089,149.63135,0.69523999,-24.265451,-0.15050095,49.236363,161.23121,-38.623198,149.09797,0.00030737151,3.206395,0.019820714,0.28423563,161.76991,0.17808655,149.63135,0.63855672,-53.606075,-0.32903793,30.702298,162.91762,-33.071454,186.12151,5.6212996e-07,-52.90315,-0.32811978,0.0010727656,161.23121,0.0038004686,149.09797,8.4644523e-16,-9.4631963,-0.058693327,3.7823395,161.23121,0.72622154,149.09797,0.16131969,9501.1716,274676.12,1.2370061,519.41356,1,3
-0.79761555,-0.076346849,2.9529195,10.447262,29.022925,-3.0310393,0.19251876,-3.4956322,-0.061757015,2.9204493,56.602998,29.019723,-41.022913,0.28632627,0.063143887,0.21000714,2.9529195,0.30067496,29.022925,0.16859395,0.00029480147,-9.7121921,-0.33181112,0.63947468,29.270243,28.855484,-35.983065,0.0084234129,-0.00021874973,-0.20429051,12.636107,0.0010707777,-3.9737008,0.0037933351,9.7354181e-07,-4.0381256e-05,-0.037712081,0.27820722,0.0010707777,0.16646271,0.0037933351,0.37092661,-1.8589271,-0.48786202,50.93623,3.8103542,-38.72215,0.68570629,1.5444203e-35,9.1036396,0.061820276,2.9204493,147.25977,29.019723,140.91533,0.28583201,-70.655862,-0.18658301,12.636107,378.68326,-3.9737008,524.56513,8.0267575e-06,-192.18964,-0.50832839,50.93623,378.08166,-38.72215,525.02125,6.5202004e-39,-4.956659,-0.031711577,12.636107,156.3044,-3.9737008,147.46614,0.4518734,-27.837231,-0.17866188,50.93623,155.80957,-38.72215,146.85864,1.7214909e-05,1.0839883,0.0069351107,0.27820722,156.3044,0.16646271,147.46614,0.86935124,-53.152087,-0.3328639,29.686947,159.68114,-32.449641,186.99329,4.0731191e-07,-47.948176,-0.30773576,0.0010713244,155.80957,0.0037943919,146.85864,5.1801992e-14,-6.1693621,-0.039595528,3.8103542,155.80957,0.68570629,146.85864,0.34451264,9485.9798,274647.1,1.2364322,525.02125,1,4
-0.91248304,-0.0829936,2.9580841,10.994619,29.025048,-2.537356,0.15648449,-1.6965818,-0.02719475,2.9256987,62.386372,29.021963,-41.657937,0.63896437,0.038287062,0.14640924,2.9580841,0.26150713,29.025048,0.15168832,0.012109267,-7.2923111,-0.25173628,0.66233441,28.968057,28.857306,-36.046774,0.048410637,-0.00019053006,-0.17832512,12.487824,0.0010684421,-3.6923833,0.0037906272,2.0118423e-05,-3.5116052e-05,-0.032866593,0.26282135,0.0010684421,0.16472058,0.0037906272,0.43556128,-1.7819594,-0.46663252,55.097561,3.8187639,-39.627138,0.66356818,2.8594697e-32,8.5673469,0.057804224,2.9256987,148.21316,29.021963,139.69072,0.31835044,-46.587106,-0.12434519,12.487824,374.65949,-3.6923833,523.57325,0.0030703688,-175.56741,-0.469236,55.097561,374.15588,-39.627138,524.42596,1.1689122e-32,0.75991617,0.0048882963,12.487824,155.45624,-3.6923833,145.72044,0.9077026,-27.53764,-0.1776962,55.097561,154.97033,-39.627138,145.45619,1.9144341e-05,-11.433028,-0.073544988,0.26282135,155.45624,0.16472058,145.72044,0.080700009,-59.958326,-0.36854606,29.482718,162.68883,-31.81454,185.76318,1.6249273e-08,-46.981356,-0.30316355,0.0010701913,154.97033,0.0037919145,145.45619,1.2645033e-13,-5.963118,-0.038479094,3.8187639,154.97033,0.66356818,145.45619,0.35829794,9479.7864,274631.67,1.236408,524.42596,1,5
-0.82968265,-0.076679941,2.9551752,10.820074,29.024379,-2.904439,0.19057963,-2.0661078,-0.033976682,2.92267,60.809581,29.021727,-40.46644,0.55773715,0.024290874,0.089335066,2.9551752,0.2719075,29.024379,0.17090018,0.12708823,-5.1321485,-0.1904049,0.65647924,26.953868,28.857427,-37.619355,0.1382507,-0.0002122962,-0.19936617,13.63163,0.0010648557,-4.0699289,0.0037909883,1.78447e-06,-0.0001021411,-0.095920139,0.2882013,0.0010648557,0.19476278,0.0037909883,0.022595469,-1.7062914,-0.44708044,54.439841,3.8165198,-38.94849,0.66262762,1.8599762e-29,12.888662,0.087903062,2.92267,146.62358,29.021727,136.73005,0.1287344,-50.147396,-0.13455664,13.63163,372.68615,-4.0699289,524.29213,0.0013464916,-173.50939,-0.46656256,54.439841,371.8888,-38.94849,525.35518,2.9287343e-32,0.054005608,0.00035214556,13.63163,153.3616,-4.0699289,144.99055,0.99333625,-27.754237,-0.18112588,54.439841,153.23176,-38.94849,144.72262,1.3094176e-05,-8.6402904,-0.056339332,0.2882013,153.3616,0.19476278,144.99055,0.18113545,-65.012239,-0.40125099,29.017217,162.02387,-31.992793,187.23329,5.8871479e-10,-46.20154,-0.30151412,0.0010678154,153.23176,0.0037930299,144.72262,1.7380963e-13,-6.0649114,-0.039579989,3.8165198,153.23176,0.66262762,144.72262,0.34470217,9482.5748,274635.13,1.2362484,525.35518,1,6
-0.97178262,-0.085631945,2.9519359,11.348366,29.028657,-1.884398,0.14368526,-1.5709322,-0.024250673,2.9199768,64.778911,29.027155,-39.731156,0.67569708,0.063273277,0.22137867,2.9519359,0.2858147,29.028657,0.15922007,0.0001330697,-4.205519,-0.14232417,0.67741537,29.548874,28.87525,-37.433871,0.26981708,-0.00014451598,-0.13611982,12.637988,0.0010616822,-2.8145518,0.0037877302,0.0011808156,-9.7484336e-05,-0.091820639,0.28165366,0.0010616822,0.1718536,0.0037877302,0.029085189,-1.668889,-0.43774848,56.521994,3.8124383,-38.238995,0.65387063,3.5424608e-28,13.517998,0.091981124,2.9199768,146.96491,29.027155,135.01388,0.11186164,-71.17603,-0.19000997,12.637988,374.59102,-2.8145518,527.49242,5.4163307e-06,-172.00942,-0.45979736,56.521994,374.09832,-38.238995,529.11366,2.8873665e-31,-11.568562,-0.073614774,12.637988,157.15001,-2.8145518,144.93928,0.080411975,-30.680969,-0.19562237,56.521994,156.83773,-38.238995,144.5716,2.4291053e-06,-11.060094,-0.070379212,0.28165366,157.15001,0.1718536,144.93928,0.09466979,-63.593105,-0.39236321,29.454958,162.07714,-31.687706,186.00096,1.5040343e-09,-46.956171,-0.29939334,0.0010658567,156.83773,0.0037904702,144.5716,2.6086681e-13,-5.6194273,-0.035829563,3.8124383,156.83773,0.65387063,144.5716,0.39237477,9476.1754,274619.53,1.2360561,529.11366,1,7
-0.64232274,-0.05779191,2.9650807,11.114406,29.016328,-2.3991739,0.32672582,-0.21958412,-0.0034327951,2.9367386,63.966568,29.021429,-41.814682,0.95310319,0.053041252,0.18633644,2.9688157,0.28465314,29.021689,0.16374982,0.0014631029,2.2892489,0.077596709,0.69335792,29.501882,28.882911,-36.045161,0.54886107,-0.00021531014,-0.20315922,12.34811,0.0010598099,-3.2712057,0.0037822498,1.2230281e-06,-5.98609e-05,-0.056476293,0.28404075,0.0010599297,0.17745807,0.0037804825,0.182023,-1.7335934,-0.45666013,54.377616,3.7962443,-37.847521,0.65306966,1.4780577e-30,15.201492,0.098431887,2.9284557,154.43666,29.028035,139.52303,0.088772585,-62.951433,-0.16791163,12.34811,374.90811,-3.2712057,529.66288,6.4258789e-05,-173.08364,-0.46183877,54.377616,374.7707,-37.847521,531.38856,2.6626247e-31,-6.9410909,-0.042495782,12.34811,163.33599,-3.2712057,147.12265,0.31502199,-28.030653,-0.17204133,54.377616,162.92977,-37.847521,147.0358,3.816576e-05,-8.2048567,-0.05022202,0.28404075,163.3717,0.17745807,147.37596,0.23539996,-73.646277,-0.45025226,27.933564,163.5667,-28.203828,189.88652,1.9784206e-12,-50.174886,-0.308329,0.0010691945,162.73164,0.0037929328,146.11544,4.8486543e-14,-5.4466764,-0.033470297,3.7966735,162.73164,0.67799562,146.11544,0.42471726,9482.3321,274626.65,1.2357904,534.69229,1,8
