SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.8029141,0.13606418,2.2239845,5.9009956,22.054449,14.921601,0.22000396,-4.2606324,-0.35459459,2.2239845,12.015503,22.054449,11.651736,0.0010051258,0.0088345664,0.095948866,2.2239845,0.092075777,22.054449,0.22159907,0.3882078,-5.0775596,-0.33690211,2.2861197,15.07132,22.260008,30.513395,0.0012451697,-0.00054895942,-0.35677883,5.9009956,0.0015386547,14.921601,0.006031253,0.00093033446,3.4897392e-05,0.022680457,0.092075777,0.0015386547,0.22159907,0.006031253,0.8387276,-1.6037735,-0.54240995,12.015503,2.9567554,11.651736,8.688244,1.1793743e-07,-88.800151,-0.42525944,2.2861197,208.81406,22.260008,356.53185,3.2645853e-05,8.8888693,0.042839534,5.9009956,207.4922,14.921601,336.01433,0.700575,-87.42521,-0.42134215,12.015503,207.4922,11.651736,336.01433,7.2863409e-05,113.7417,0.5306502,5.9009956,214.34402,14.921601,363.13704,2.4669828e-07,81.189927,0.37878326,12.015503,214.34402,11.651736,363.13704,0.0004138541,-59.254722,-0.27644681,0.092075777,214.34402,0.22159907,363.13704,0.011410676,84.655456,0.40541071,15.07132,208.81406,30.513395,356.53185,8.1073499e-05,-138.48372,-0.66319156,0.0015803923,208.81406,0.0061462064,356.53185,1.4303077e-12,-80.403019,-0.385046,3.0121923,208.81406,8.8933347,356.53185,0.00019461804,15365.516,284359.26,1.2099295,358.2946,1,daily
0.55380343,0.23466236,2.2619571,2.3600011,22.064232,0.61320509,0.033832396,1.5598014,0.14431221,2.2619571,10.80852,22.064232,-13.011215,0.19583002,-0.011945924,-0.057416623,2.2619571,0.20805689,22.064232,0.090921855,0.60839158,1.4785762,0.062159337,2.3745322,23.786872,22.325067,-44.351309,0.56280496,0.00027691584,0.16731905,2.3600011,0.0016550168,0.61320509,0.0057813308,0.13297011,-2.2466166e-05,-0.013574585,0.20805689,0.0016550168,0.090921855,0.0057813308,0.90365813,-0.0055347448,-0.0014632231,10.80852,3.7825706,-13.011215,6.6139756,0.98959058,-56.31753,-0.36869314,2.3745322,152.74906,22.325067,173.2623,0.00037771262,74.36882,0.34409545,2.3600011,216.12846,0.61320509,171.97515,0.0015490413,-66.47715,-0.30758166,10.80852,216.12846,-13.011215,171.97515,0.0049387737,21.551559,0.13727057,2.3600011,157.00058,0.61320509,177.44722,0.2187772,-77.854706,-0.49588803,10.80852,157.00058,-13.011215,177.44722,2.1663214e-06,-20.852729,-0.13281944,0.20805689,157.00058,0.090921855,177.44722,0.23422503,-31.359722,-0.20530223,23.786872,152.74906,-44.351309,173.2623,0.053600628,-61.424199,-0.40212489,0.0017172167,152.74906,0.0059256267,173.2623,9.3738361e-05,-29.787563,-0.1950098,3.8557552,152.74906,6.9121629,173.2623,0.067050397,14814.067,282309.46,1.2299483,188.86266,1,0
0.66173833,0.22339548,2.2501835,2.9621832,22.044591,1.0191474,0.043648637,-0.20289124,-0.019978771,2.2501835,10.155341,22.044591,-11.90007,0.8586006,-0.013796954,-0.050704573,2.2501835,0.27210473,22.044591,0.11682436,0.65098676,2.055059,0.08976156,2.3547023,22.894644,22.300725,-42.905775,0.40285774,0.00048498884,0.29287615,2.9621832,0.001655952,1.0191474,0.0056940558,0.0075802718,-8.4674139e-06,-0.005113321,0.27210473,0.001655952,0.11682436,0.0056940558,0.96363502,0.15576731,0.039805619,10.155341,3.913199,-11.90007,6.22025,0.72254292,-43.953323,-0.31552296,2.3547023,139.30309,22.300725,153.88119,0.0025962252,67.092051,0.30443586,2.9621832,220.38157,1.0191474,168.24976,0.0054225757,-63.766728,-0.28934692,10.155341,220.38157,-11.90007,168.24976,0.0083746901,17.04662,0.1191894,2.9621832,143.02128,1.0191474,157.19606,0.28617785,-64.732528,-0.45260768,10.155341,143.02128,-11.90007,157.19606,1.9615485e-05,-13.151951,-0.091958001,0.27210473,143.02128,0.11682436,157.19606,0.41126226,-19.478626,-0.1398291,22.894644,139.30309,-42.905775,153.88119,0.19123716,-45.450511,-0.32627067,0.0017225062,139.30309,0.0058442422,153.88119,0.0018061796,-20.012712,-0.14366309,3.9966586,139.30309,6.5422247,153.88119,0.1792285,14610.606,281954.24,1.2308262,185.43129,1,1
0.77822777,0.41147659,2.2414788,1.8913051,22.027018,0.5535637,0.00012280294,1.0362721,0.11458664,2.2414788,9.0435679,22.027018,-11.68553,0.30532652,0.0064944736,0.033931136,2.2414788,0.19140159,22.027018,0.058774374,0.76217213,0.84457235,0.036079014,2.3401429,23.408964,22.279663,-41.748747,0.73712244,0.00050771163,0.3075999,1.8913051,0.0016505585,0.5535637,0.0056467252,0.0049360841,-7.2321423e-05,-0.043816334,0.19140159,0.0016505585,0.058774374,0.0056467252,0.69589307,-0.026890325,-0.0067241583,9.0435679,3.9990618,-11.68553,5.9354268,0.95219089,-29.267863,-0.23832457,2.3401429,122.80674,22.279663,135.99886,0.024507519,75.317814,0.33575569,1.8913051,224.32327,0.5535637,164.9003,0.0020439685,-56.206133,-0.25055864,9.0435679,224.32327,-11.68553,164.9003,0.023182126,10.156127,0.080506211,1.8913051,126.15333,0.5535637,137.71803,0.47214633,-52.252818,-0.41420086,9.0435679,126.15333,-11.68553,137.71803,0.00010953781,-3.4430137,-0.027292293,0.19140159,126.15333,0.058774374,137.71803,0.80770063,-11.233485,-0.09147287,23.408964,122.80674,-41.748747,135.99886,0.39391254,-32.347102,-0.26339843,0.0017188582,122.80674,0.0057980868,135.99886,0.01263209,-13.754562,-0.11200169,4.0991292,122.80674,6.274236,135.99886,0.29603361,14495.217,281707.87,1.2311898,184.29391,1,2
0.4398966,0.18090876,2.2394729,2.4315937,22.013854,1.051593,0.10384333,-0.056846809,-0.005445695,2.2394729,10.438853,22.013854,-11.7748,0.961273,-0.012233861,-0.05305535,2.2394729,0.23058676,22.013854,0.092836922,0.63593165,1.6111992,0.065585879,2.3296387,24.566252,22.261994,-38.904978,0.54143319,0.00028331796,0.17035391,2.4315937,0.0016631139,1.051593,0.0055932026,0.12598052,-0.00018603269,-0.11185806,0.23058676,0.0016631139,0.092836922,0.0055932026,0.31706292,-0.067730837,-0.016658239,10.438853,4.0659063,-11.7748,5.7337256,0.88191563,-30.235856,-0.23888527,2.3296387,126.57062,22.261994,130.24489,0.024162963,80.585385,0.35850551,2.4315937,224.78144,1.051593,163.69822,0.00094223108,-58.708956,-0.2611824,10.438853,224.78144,-11.7748,163.69822,0.017783489,41.413916,0.3180315,2.4315937,130.21954,1.051593,131.99544,0.0035948227,-63.335604,-0.48637558,10.438853,130.21954,-11.7748,131.99544,3.6085723e-06,16.740844,0.12855862,0.23058676,130.21954,0.092836922,131.99544,0.24970765,-9.1026215,-0.071917335,24.566252,126.57062,-38.904978,130.24489,0.50302125,-33.318634,-0.26324146,0.0017363808,126.57062,0.0057512569,130.24489,0.012687036,-12.897845,-0.10190237,4.172803,126.57062,6.0898202,130.24489,0.34199468,14378.142,281529.03,1.2313905,185.65637,1,3
0.56868872,0.23937154,2.236365,2.3757575,22.000994,0.53578877,0.030317435,0.16489085,0.018127938,2.236365,9.0959521,22.000994,-10.557821,0.87158257,-0.012549698,-0.066331522,2.236365,0.18919659,22.000994,0.078903946,0.55379106,0.80775395,0.034619331,2.3216046,23.332454,22.246657,-38.564006,0.74739383,0.00031703411,0.18816574,2.3757575,0.0016848663,0.53578877,0.0055407029,0.09047202,-8.8132859e-07,-0.00052308518,0.18919659,0.0016848663,0.078903946,0.0055407029,0.99627866,-0.028569498,-0.0068486943,9.0959521,4.1715248,-10.557821,5.4793841,0.9513065,-24.128459,-0.19191469,2.3216046,125.72492,22.246657,119.47405,0.071590659,72.832408,0.32692014,2.3757575,222.78348,0.53578877,161.74709,0.0027195877,-45.975066,-0.20636658,9.0959521,222.78348,-10.557821,161.74709,0.062868991,22.711646,0.1751715,2.3757575,129.65378,0.53578877,120.72658,0.11546641,-31.13532,-0.24014202,9.0959521,129.65378,-10.557821,120.72658,0.029772724,11.251451,0.086780741,0.18919659,129.65378,0.078903946,120.72658,0.43820193,-3.6412377,-0.02896194,23.332454,125.72492,-38.564006,119.47405,0.78760617,-31.054545,-0.24700389,0.0017555903,125.72492,0.005703031,119.47405,0.019618184,-11.75088,-0.093465004,4.2848566,125.72492,5.8545506,119.47405,0.38364967,14257.578,281301.8,1.23159,187.87084,1,4
0.59043041,0.25847109,2.3198341,2.2843189,22.040921,0.21861368,0.019046714,-1.4858271,-0.15718638,2.3198341,9.4526458,22.040921,-8.9219135,0.15844659,0.0078119387,0.029549206,2.3198341,0.26437051,22.040921,0.1252671,0.79214278,2.8269905,0.12654291,2.3867292,22.340174,22.280084,-36.799101,0.23733096,0.00038819773,0.23625485,2.2843189,0.0016431313,0.21861368,0.0054797316,0.032607343,-9.2236755e-05,-0.056134745,0.26437051,0.0016431313,0.1252671,0.0054797316,0.61643216,-0.5479521,-0.13044084,9.4526458,4.200771,-8.9219135,5.2376341,0.24278381,-19.40133,-0.15876672,2.3867292,122.20023,22.280084,111.4698,0.13726012,92.193324,0.41403411,2.2843189,222.67084,0.21861368,161.36705,0.00011030999,-56.696733,-0.25462128,9.4526458,222.67084,-8.9219135,161.36705,0.020972159,41.860329,0.33487286,2.2843189,125.00365,0.21861368,109.63529,0.0021039219,-23.452536,-0.18761481,9.4526458,125.00365,-8.9219135,109.63529,0.091436907,-6.1510143,-0.049206677,0.26437051,125.00365,0.1252671,109.63529,0.66065362,-4.5517102,-0.037247967,22.340174,122.20023,-36.799101,111.4698,0.72892988,-23.671265,-0.19370884,0.0017191105,122.20023,0.0056430303,111.4698,0.068929573,-4.5647716,-0.037354852,4.3397018,122.20023,5.6421798,111.4698,0.72818228,14107.576,281097.95,1.2318311,188.86105,1,5
0.59879586,0.25744173,2.3564553,2.3259472,22.046945,0.7997022,0.01954607,0.49027079,0.062265728,2.3564553,7.8738466,22.046945,-9.4353156,0.57839968,-0.018355821,-0.084847447,2.3564553,0.21633911,22.046945,0.094676535,0.44851133,3.6575006,0.16834735,2.4141689,21.725917,22.282376,-35.995949,0.11479276,0.00035550751,0.21996595,2.3259472,0.0016161934,0.7997022,0.0054339755,0.047067787,6.3647745e-05,0.039381268,0.21633911,0.0016161934,0.094676535,0.0054339755,0.72538266,-0.37602552,-0.088494017,7.8738466,4.2491632,-9.4353156,5.0876341,0.42917861,-17.648115,-0.1555011,2.4141689,113.4919,22.282376,107.55487,0.14563501,72.061346,0.33302904,2.3259472,216.38157,0.7997022,161.82828,0.0022342654,-63.857656,-0.29511597,7.8738466,216.38157,-9.4353156,161.82828,0.0071111881,20.888767,0.18004943,2.3259472,116.01685,0.7997022,105.28028,0.10552371,-32.309713,-0.27849156,7.8738466,116.01685,-9.4353156,105.28028,0.011294027,-17.944538,-0.15467183,0.21633911,116.01685,0.094676535,105.28028,0.16529658,-10.086187,-0.088871431,21.725917,113.4919,-35.995949,107.55487,0.40755744,-16.164617,-0.1424297,0.0016963878,113.4919,0.0055999186,107.55487,0.18302999,0.80766607,0.0071165086,4.3936495,113.4919,5.5033483,107.55487,0.94722755,13999.797,280959.26,1.2320472,189.301,1,6
0.60483215,0.31055084,2.3713992,1.9476107,22.038116,0.815555,0.0045176738,1.0800357,0.13459388,2.3713992,8.0244038,22.038116,-9.7558142,0.2279783,0.030825315,0.1125159,2.3713992,0.27396409,22.038116,0.10033946,0.31420714,2.5916815,0.12050857,2.4238579,21.506202,22.271028,-35.000876,0.26062748,0.0003444344,0.21572767,1.9476107,0.0015966167,0.815555,0.0053807425,0.05159558,0.00024231271,0.15176636,0.27396409,0.0015966167,0.10033946,0.0053807425,0.17348098,-0.18575674,-0.043396476,8.0244038,4.2804567,-9.7558142,4.9040549,0.69866635,-10.832671,-0.098880015,2.4238579,109.55369,22.271028,102.884,0.35657706,73.869751,0.37806311,1.9476107,195.39,0.815555,157.414,0.00046199619,-49.994969,-0.25587271,8.0244038,195.39,-9.7558142,157.414,0.020328787,28.730345,0.25754978,1.9476107,111.55259,0.815555,99.632665,0.019493131,-3.6071795,-0.032336134,8.0244038,111.55259,-9.7558142,99.632665,0.77304342,-27.507396,-0.2465868,0.27396409,111.55259,0.10033946,99.632665,0.025531467,-3.9511305,-0.036065698,21.506202,109.55369,-35.000876,102.884,0.73721593,-11.053582,-0.10089648,0.0016840486,109.55369,0.0055530586,102.884,0.34680573,4.1947948,0.038289853,4.4451593,109.55369,5.3440112,102.884,0.72165339,13882.647,280784.2,1.2328411,186.20173,1,7
0.84552531,0.23697944,2.3745234,3.5679269,22.03197,0.15194685,0.032062398,0.76470955,0.076443442,2.3745234,10.003599,22.03197,-11.090031,0.49486114,0.013490687,0.047238069,2.3745234,0.2855893,22.03197,0.13320606,0.67344303,2.0476708,0.094272756,2.4232157,21.720706,22.262444,-34.112287,0.37953464,9.7527381e-05,0.061311143,3.5679269,0.0015906958,0.15194685,0.0053822322,0.58424966,0.0001555324,0.097776329,0.2855893,0.0015906958,0.13320606,0.0053822322,0.38216933,-0.19248037,-0.044411216,10.003599,4.3340485,-11.090031,4.8871524,0.69197055,-6.7777739,-0.062275252,2.4232157,108.83575,22.262444,100.91501,0.5620755,30.200703,0.16014003,3.5679269,188.58934,0.15194685,158.28605,0.15067237,-28.499726,-0.15112055,10.003599,188.58934,-11.090031,158.28605,0.17533984,24.574878,0.22405257,3.5679269,109.68353,0.15194685,96.772826,0.043017613,-28.104058,-0.25622859,10.003599,109.68353,-11.090031,96.772826,0.020148938,-33.729802,-0.30751928,0.2855893,109.68353,0.13320606,96.772826,0.0049479822,-8.6401592,-0.079387142,21.720706,108.83575,-34.112287,100.91501,0.45959269,-5.0780108,-0.046657562,0.001673111,108.83575,0.0055506565,100.91501,0.66415722,9.3820854,0.086204076,4.4967312,108.83575,5.3262303,100.91501,0.42183147,13876.641,280744.25,1.2330435,188.21671,1,8
