SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
5.5333133,0.65624599,8.49225,8.431767,27.826063,17.050071,5.6267109e-18,-5.1795059,-0.36143661,8.49225,14.33033,27.826063,15.449293,1.6549357e-05,0.051214219,0.45609526,8.49225,0.11228843,27.826063,0.26506477,2.7104198e-08,4.6070298,0.30978157,8.49225,14.871865,27.826063,18.061499,0.00025595171,-0.00060866624,-0.45485902,8.431767,0.0013381426,17.050071,0.0060926955,2.9866109e-08,0.00012999818,0.097148227,0.11228843,0.0013381426,0.26506477,0.0060926955,0.26232286,0.21655494,0.1145416,14.33033,1.8906226,15.449293,11.656209,0.18588997,81.40589,0.23315199,8.49225,349.15374,27.826063,667.91624,0.0065005676,63.023187,0.22791164,8.431767,276.52465,17.050071,484.39227,0.0078476951,-105.1455,-0.38023915,14.33033,276.52465,15.449293,484.39227,5.3912672e-06,191.59417,0.54873869,8.431767,349.15374,17.050071,667.91624,5.5676654e-12,-72.016453,-0.20626,14.33033,349.15374,15.449293,667.91624,0.016390286,-46.33429,-0.13270455,0.11228843,349.15374,0.26506477,667.91624,0.12494506,20.061055,0.057456223,14.871865,349.15374,18.061499,667.91624,0.5080223,-285.23157,-0.81692255,0.0013381426,349.15374,0.0060926955,667.91624,1.3693581e-33,-48.660561,-0.13936715,1.8906226,349.15374,11.656209,667.91624,0.10693584,15231.739,285233.39,1.2216186,484.39227,1,daily
2.4939284,0.34475558,8.7530577,7.2339029,28.068105,3.7556042,4.830329e-05,-1.8922021,-0.086988118,8.7530577,21.752421,28.068105,-17.243726,0.31943719,-0.0035547733,-0.015206647,8.7530577,0.23376445,28.068105,0.10491318,0.86208061,-0.17762372,-0.0093667068,8.7530577,18.963305,28.068105,-50.793643,0.91478516,-0.00059118946,-0.34993334,7.2339029,0.0016894345,3.7556042,0.0060714869,3.6457898e-05,0.00049417581,0.2925096,0.23376445,0.0016894345,0.10491318,0.0060714869,0.00063411904,0.12666965,0.053580049,21.752421,2.3641197,-17.243726,10.330395,0.54019195,100.3031,0.23329349,8.7530577,429.94385,28.068105,511.61715,0.0068826084,125.15965,0.4096518,7.2339029,305.5269,3.7556042,420.96898,9.7623422e-07,-73.525203,-0.2406505,21.752421,305.5269,-17.243726,420.96898,0.0052667723,249.13285,0.5794544,7.2339029,429.94385,3.7556042,511.61715,2.7238899e-13,-131.12006,-0.30497019,21.752421,429.94385,-17.243726,511.61715,0.00035792816,-115.31084,-0.26819977,0.23376445,429.94385,0.10491318,511.61715,0.0018010093,-173.4911,-0.40352037,18.963305,429.94385,-50.793643,511.61715,1.463925e-06,-316.81718,-0.73688036,0.0016894345,429.94385,0.0060714869,511.61715,4.9812679e-24,-22.257925,-0.051769377,2.3641197,429.94385,10.330395,511.61715,0.55398788,15178.717,283856.14,1.2308472,420.96898,1,0
2.9929456,0.4071309,8.7804284,7.3513104,28.066793,3.6924644,1.1543163e-06,0.74600824,0.046091913,8.7804284,16.185231,28.066793,-19.847384,0.5983183,-0.017754679,-0.049983432,8.7804284,0.35521129,28.066793,0.15876665,0.56776027,-1.0338753,-0.054399474,8.7804284,19.005245,28.066793,-50.341996,0.5340049,-0.00076466408,-0.45442797,7.3513104,0.0016826959,3.6924644,0.0059711027,3.921055e-08,0.00030599031,0.18184528,0.35521129,0.0016826959,0.15876665,0.0059711027,0.036184744,-0.22084506,-0.088168884,16.185231,2.5047959,-19.847384,10.082177,0.31288734,97.153271,0.23306912,8.7804284,416.84317,28.066793,509.34466,0.0069381512,84.223967,0.27918156,7.3513104,301.6817,3.6924644,416.18775,0.0011369458,-63.996631,-0.21213296,16.185231,301.6817,-19.847384,416.18775,0.014233736,243.15275,0.5833195,7.3513104,416.84317,3.6924644,509.34466,1.7349983e-13,-224.31109,-0.53811868,16.185231,416.84317,-19.847384,509.34466,2.3905453e-11,-85.404752,-0.20488462,0.35521129,416.84317,0.15876665,509.34466,0.017996296,-168.13919,-0.40336319,19.005245,416.84317,-50.341996,509.34466,1.4790535e-06,-293.781,-0.70477585,0.0016826959,416.84317,0.0059711027,509.34466,2.8862285e-21,2.3459323,0.0056278537,2.5047959,416.84317,10.082177,509.34466,0.94873818,14927.757,283626.1,1.2315139,416.18775,1,1
3.0593411,0.35921651,8.8015618,8.516705,28.093184,4.6855593,2.1743019e-05,-0.56415904,-0.025056639,8.8015618,22.515351,28.093184,-20.208289,0.7746602,0.0019594673,0.0063231361,8.8015618,0.30988852,28.093184,0.12889976,0.94241542,-2.1046295,-0.11051652,8.8015618,19.043574,28.093184,-49.628821,0.20537314,-0.00062253873,-0.42464017,8.516705,0.0014660382,4.6855593,0.0058294048,3.5028365e-07,0.00031451957,0.21453708,0.30988852,0.0014660382,0.12889976,0.0058294048,0.013147372,-0.2272818,-0.096811111,22.515351,2.3476831,-20.208289,9.8374586,0.26762545,95.496915,0.22183327,8.8015618,430.4896,28.093184,515.49978,0.010281544,73.261863,0.24426808,8.516705,299.92401,4.6855593,409.01634,0.004604136,-36.718295,-0.12242533,22.515351,299.92401,-20.208289,409.01634,0.16036736,234.55551,0.54485754,8.516705,430.4896,4.6855593,515.49978,1.2012002e-11,-206.99855,-0.48084449,22.515351,430.4896,-20.208289,515.49978,4.6834415e-09,-67.310051,-0.15635697,0.30988852,430.4896,0.12889976,515.49978,0.072296517,-187.2386,-0.43494336,19.043574,430.4896,-49.628821,515.49978,1.6815718e-07,-325.32943,-0.75571959,0.0014660382,430.4896,0.0058294048,515.49978,7.58952e-26,40.479985,0.094032433,2.3476831,430.4896,9.8374586,515.49978,0.28166528,14573.512,283398.83,1.2323762,409.01634,1,2
2.452443,0.30881403,8.7960559,7.9414884,28.089109,3.2519601,0.00029848606,-1.7806182,-0.075844905,8.7960559,23.477098,28.089109,-20.357417,0.38556938,0.0087164062,0.034949836,8.7960559,0.24939763,28.089109,0.096161755,0.68961428,-2.7172506,-0.14526462,8.7960559,18.705523,28.089109,-49.618723,0.095251971,-0.00068650216,-0.41185542,7.9414884,0.0016668523,3.2519601,0.0058040082,8.4227451e-07,0.00032620613,0.19570188,0.24939763,0.0016668523,0.096161755,0.0058040082,0.023975876,-0.36917758,-0.14351023,23.477098,2.5724826,-20.357417,9.7300526,0.099360862,87.146601,0.19849282,8.7960559,439.04157,28.089109,519.06334,0.022000347,63.101917,0.20975447,7.9414884,300.83705,3.2519601,406.41651,0.015384738,-69.236742,-0.23014699,23.477098,300.83705,-20.357417,406.41651,0.0076987337,256.52821,0.5842914,7.9414884,439.04157,3.2519601,519.06334,1.5475115e-13,-163.76835,-0.37301331,23.477098,439.04157,-20.357417,519.06334,9.7853678e-06,-98.05101,-0.22332967,0.24939763,439.04157,0.096161755,519.06334,0.0097669252,-206.98075,-0.4714377,18.705523,439.04157,-49.618723,519.06334,1.0190062e-08,-306.93048,-0.69909206,0.0016668523,439.04157,0.0058040082,519.06334,8.1508085e-21,30.676944,0.069872527,2.5724826,439.04157,9.7300526,519.06334,0.42418584,14510.021,283298.41,1.2327524,406.41651,1,3
2.4649167,0.32720926,8.8266459,7.5331509,28.06544,3.5805816,0.00012088767,-1.442074,-0.070610945,8.8266459,20.422811,28.06544,-19.09926,0.41929372,0.01714157,0.060396464,8.8266459,0.28381744,28.06544,0.11348239,0.48982825,-2.5212725,-0.14732574,8.8266459,17.113591,28.06544,-49.906896,0.090597833,-0.00061718528,-0.38759367,7.5331509,0.0015923513,3.5805816,0.0057145283,4.0413782e-06,0.00030235767,0.18988126,0.28381744,0.0015923513,0.11348239,0.0057145283,0.028589346,-0.37602494,-0.14615013,20.422811,2.5728677,-19.09926,9.5056053,0.093229754,85.906974,0.20960942,8.8266459,409.84311,28.06544,517.14161,0.015457482,63.461097,0.20616938,7.5331509,307.81049,3.5805816,406.09507,0.017272519,-93.886409,-0.30501368,20.422811,307.81049,-19.09926,406.09507,0.0003571984,240.37787,0.58651193,7.5331509,409.84311,3.5805816,517.14161,1.1899859e-13,-172.18416,-0.42012214,20.422811,409.84311,-19.09926,517.14161,4.7959457e-07,-66.784664,-0.16295178,0.28381744,409.84311,0.11348239,517.14161,0.060922315,-200.27496,-0.48866251,17.113591,409.84311,-49.906896,517.14161,2.4105381e-09,-286.86296,-0.69993358,0.0015923513,409.84311,0.0057145283,517.14161,7.0002566e-21,4.3626262,0.010644625,2.5728677,409.84311,9.5056053,517.14161,0.90321228,14286.321,283089.88,1.2330534,406.09507,1,4
1.8680484,0.2558709,8.857625,7.3007457,28.062797,3.6905167,0.0029524838,-1.0385532,-0.058018996,8.857625,17.900228,28.062797,-18.726367,0.50710588,-0.036910006,-0.12545211,8.857625,0.29421591,28.062797,0.11733965,0.15020198,-1.2075449,-0.071166408,8.857625,16.967906,28.062797,-48.731003,0.4156354,-0.00060324356,-0.39300027,7.3007457,0.0015349698,3.6905167,0.0056044508,2.8799349e-06,0.00015777924,0.1027898,0.29421591,0.0015349698,0.11733965,0.0056044508,0.23905125,-0.31877104,-0.12394644,17.900228,2.5718451,-18.726367,9.3111654,0.15519631,79.781124,0.19623443,8.857625,406.56027,28.062797,527.49924,0.023587588,77.166613,0.24356788,7.3007457,316.81769,3.6905167,405.95463,0.004726243,-103.11412,-0.32546833,17.900228,316.81769,-18.726367,405.95463,0.0001320135,221.42818,0.54463801,7.3007457,406.56027,3.6905167,527.49924,1.2287315e-11,-203.2178,-0.49984667,17.900228,406.56027,-18.726367,527.49924,9.0501115e-10,-71.673628,-0.17629275,0.29421591,406.56027,0.11733965,527.49924,0.042372527,-156.539,-0.38503269,16.967906,406.56027,-48.731003,527.49924,4.7350621e-06,-285.25928,-0.70164082,0.0015349698,406.56027,0.0056044508,527.49924,5.132551e-21,1.4498254,0.0035660773,2.5718451,406.56027,9.3111654,527.49924,0.96750482,14011.127,282908.15,1.2333354,405.95463,1,5
1.2753397,0.19162965,8.9156518,6.6552315,28.081699,3.3185298,0.027130138,-0.019406771,-0.0010617838,8.9156518,18.277517,28.081699,-17.523076,0.99032229,0.029124522,0.095009033,8.9156518,0.30654477,28.081699,0.1286032,0.27667557,-2.1905428,-0.12557497,8.9156518,17.444103,28.081699,-48.017723,0.14979985,-0.00048081393,-0.35473904,6.6552315,0.0013554018,3.3185298,0.0054794821,2.7955115e-05,0.00020477037,0.15107724,0.30654477,0.0013554018,0.1286032,0.0054794821,0.082592251,-0.25891352,-0.1113056,18.277517,2.32615,-17.523076,9.0417444,0.20213609,77.005668,0.19257405,8.9156518,399.87561,28.081699,526.45337,0.026368717,104.5032,0.33225825,6.6552315,314.52402,3.3185298,401.06181,9.3364717e-05,-85.317317,-0.27125851,18.277517,314.52402,-17.523076,401.06181,0.0015874185,192.41485,0.48118676,6.6552315,399.87561,3.3185298,526.45337,4.5507981e-09,-148.06576,-0.37027955,18.277517,399.87561,-17.523076,526.45337,1.1496105e-05,-43.467317,-0.1087021,0.30654477,399.87561,0.1286032,526.45337,0.21295735,-147.71908,-0.36941257,17.444103,399.87561,-48.017723,526.45337,1.2095116e-05,-297.31356,-0.74351512,0.0013554018,399.87561,0.0054794821,526.45337,1.1899076e-24,8.1967243,0.020498185,2.32615,399.87561,9.0417444,526.45337,0.81483766,13698.705,282633.4,1.2344054,401.06181,1,6
1.6375606,0.21883295,8.9262636,7.4831539,28.097135,3.3638217,0.011385694,-0.18695201,-0.0099501308,8.9262636,18.7889,28.097135,-18.959844,0.90949928,0.055922143,0.16452727,8.9262636,0.33989589,28.097135,0.15704953,0.058433992,-1.3313708,-0.077825182,8.9262636,17.107199,28.097135,-50.014893,0.37324945,-0.00048641423,-0.36591048,7.4831539,0.0013293258,3.3638217,0.0054199728,1.482767e-05,0.00035104929,0.26408071,0.33989589,0.0013293258,0.15704953,0.0054199728,0.0021298873,-0.16225162,-0.069985964,18.7889,2.3183452,-18.959844,8.8214474,0.42343217,78.115997,0.20507464,8.9262636,380.91496,28.097135,516.45757,0.017887619,89.487752,0.29271914,7.4831539,305.712,3.3638217,395.83217,0.00062818172,-61.17705,-0.20011335,18.7889,305.712,-18.959844,395.83217,0.020918806,203.39214,0.53395683,7.4831539,380.91496,3.3638217,516.45757,3.629141e-11,-156.36918,-0.41050943,18.7889,380.91496,-18.959844,516.45757,9.2185148e-07,-47.101925,-0.1236547,0.33989589,380.91496,0.15704953,516.45757,0.15617825,-130.17005,-0.34172996,17.107199,380.91496,-50.014893,516.45757,5.6805406e-05,-277.41122,-0.72827599,0.0013293258,380.91496,0.0054199728,516.45757,2.9948663e-23,-4.2072699,-0.011045168,2.3183452,380.91496,8.8214474,516.45757,0.899589,13549.932,282393.08,1.2356135,395.83217,1,7
2.0600035,0.27301656,8.9044831,7.5453428,28.184583,5.1163009,0.0015387012,-1.7841505,-0.11331454,8.9168241,15.745115,28.106034,-16.614241,0.19406109,0.011662846,0.031898465,8.9044831,0.36562405,28.184583,0.16340934,0.71653604,-0.93728968,-0.062950553,8.9168241,14.8893,28.106034,-40.080184,0.47162182,-0.000476651,-0.36390532,7.5453428,0.0013098215,5.1163009,0.00536085,1.7932192e-05,0.00011257367,0.085945814,0.36562405,0.0013098215,0.16340934,0.00536085,0.32715278,-0.34453964,-0.15239079,15.745115,2.2608955,-16.614241,8.8341429,0.079927033,85.49182,0.22512756,8.9168241,379.74835,28.106034,530.75512,0.0091787372,82.037447,0.27205667,7.5453428,301.54544,5.1163009,397.31274,0.0016010933,-120.87404,-0.40102425,15.745115,301.41328,-16.614241,395.17259,1.7224933e-06,219.75708,0.58034561,7.5453428,378.66587,5.1163009,534.54195,3.0271901e-13,-186.30969,-0.49061356,15.745115,379.74835,-16.614241,530.75512,2.0370033e-09,-20.702035,-0.054670981,0.36562405,378.66587,0.16340934,534.54195,0.53353857,-113.71608,-0.29945116,14.8893,379.74835,-40.080184,530.75512,0.00046256593,-282.63828,-0.74427784,0.0013234303,379.74835,0.0053800115,530.75512,1.0064752e-24,-12.686761,-0.033408337,2.2608955,379.74835,8.8341429,530.75512,0.70264422,13450.029,282380.37,1.2360152,395.17259,1,8
