SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
2.0750732,0.35613093,6.644424,5.8267143,29.688984,10.605792,6.9013454e-08,-7.5154346,-0.42257129,6.644424,17.78501,29.688984,15.327875,8.2619596e-11,0.044022803,0.3751937,6.644424,0.11733353,29.688984,0.23921183,1.1647793e-08,-5.7870806,-0.32277384,6.644424,17.929212,29.688984,21.862963,1.1860849e-06,-3.2958355e-05,-0.028611182,5.8119899,0.0011519397,10.331047,0.0033429353,0.66258154,0.00029189209,0.25339182,0.11534128,0.0011519397,0.23945396,0.0033429353,8.5652213e-05,-0.096906431,-0.022610389,17.618427,4.2859249,14.317833,4.6556064,0.73023978,-249.99643,-0.28491129,6.644424,877.45356,29.688984,1346.3932,2.031319e-05,62.407203,0.32562289,5.8119899,191.65484,10.331047,298.57032,3.3097628e-07,-12.20606,-0.063687722,17.618427,191.65484,14.317833,298.57032,0.33100298,77.786571,0.087661851,5.8119899,887.34803,10.331047,1267.6571,0.18049101,98.516662,0.1110237,17.618427,887.34803,14.317833,1267.6571,0.089481413,-201.53234,-0.22711759,0.11534128,887.34803,0.23945396,1267.6571,0.00044971068,199.17762,0.22446392,18.163359,887.34803,21.057624,1267.6571,0.00052637189,-670.02483,-0.75508685,0.0011519397,887.34803,0.0033429353,1267.6571,1.3155722e-44,564.39713,0.63604934,4.2859249,887.34803,4.6556064,1267.6571,4.7902535e-28,8357.3382,293335.17,1.0412838,298.57032,1,daily
2.2360103,0.24380732,6.417011,9.1712189,30.061666,3.4621774,0.00057406224,-2.435253,-0.11181927,6.4256661,21.778473,30.005168,-18.410572,0.1205978,0.055509564,0.14178349,6.4256661,0.39150935,30.005168,0.21212473,0.048606515,4.1051817,0.17390358,6.417011,23.60608,30.061666,-57.300619,0.01478182,-0.00012294744,-0.091354775,8.9766134,0.001345824,3.3196336,0.0031430955,0.1915724,0.00012784044,0.094830116,0.38533131,0.0013480996,0.20705732,0.0031330361,0.1772841,-0.30353048,-0.068604072,21.432845,4.4243799,-17.866005,4.0819436,0.32956505,-261.00044,-0.25803684,6.417011,1011.4852,30.061666,1350.1472,0.00026077316,35.234762,0.18422429,8.9766134,191.26013,3.3196336,102.30785,0.0080312464,-46.915158,-0.24423546,21.432845,192.08987,-17.866005,102.84872,0.00043088115,78.57486,0.077508103,8.9766134,1013.7632,3.3196336,1298.2594,0.26814349,-81.406819,-0.080009641,21.432845,1017.4626,-17.866005,1301.7734,0.25530055,-94.284848,-0.092666645,0.38533131,1017.4626,0.20705732,1301.7734,0.18742005,-417.07802,-0.41141564,24.506626,1013.7632,-56.324567,1298.2594,8.0873337e-10,-802.12935,-0.79123939,0.001345824,1013.7632,0.0031430955,1298.2594,1.8743795e-45,555.17262,0.54763543,4.4121631,1013.7632,4.1042767,1298.2594,1.6193838e-17,7857.7387,292689.56,1.0581271,102.30785,1,0
2.3103872,0.2759666,6.4664303,8.3719814,30.039726,3.4567655,9.4228702e-05,-2.9788145,-0.12229663,6.4897492,24.35729,29.948534,-19.382719,0.09190936,0.040353121,0.11967724,6.5023901,0.33718292,29.931063,0.16824226,0.10003842,3.4476772,0.14908851,6.4397408,23.125037,30.088237,-58.463558,0.03701863,-5.1701992e-05,-0.037477016,8.2000054,0.0013795653,3.3107523,0.003101476,0.59369057,4.8287462e-05,0.034811978,0.33269648,0.0013870933,0.16715904,0.0030856734,0.62457395,-0.56881829,-0.12792838,23.945074,4.4463808,-18.880528,3.9729279,0.070322203,-263.80791,-0.25528703,6.4375021,1033.3777,30.057779,1374.2741,0.00029403645,35.555776,0.19248425,8.2000054,184.72044,3.3107523,98.379375,0.0056921547,-46.5345,-0.24969777,23.945074,186.3633,-18.880528,98.659602,0.00035050687,39.68716,0.038219241,8.2000054,1038.4078,3.3107523,1321.0667,0.58639398,-81.025227,-0.077517879,23.945074,1045.2457,-18.880528,1324.0327,0.27404354,-58.942599,-0.056295887,0.33269648,1047.0143,0.16715904,1327.0092,0.42848782,-397.20203,-0.38404353,24.166544,1034.263,-57.287258,1327.721,1.2082349e-08,-824.36443,-0.79618252,0.0013781728,1035.3963,0.0030963251,1321.6864,1.2926657e-46,562.80328,0.54356316,4.402473,1035.3963,4.0065024,1321.6864,2.6042802e-17,7740.8126,292610.85,1.0583485,97.719582,1,1
1.7322543,0.21703791,6.4576628,7.9813443,29.920117,3.1452427,0.0024308159,-2.305815,-0.092386865,6.5401441,24.958255,29.843358,-18.125335,0.20977696,0.035096165,0.10230229,6.5401441,0.34306333,29.843358,0.18670906,0.16469295,4.3054162,0.18394306,6.4350064,23.406244,30.026313,-58.735993,0.010445967,-1.2147918e-05,-0.0091099992,7.8114705,0.0013334708,3.0161488,0.003034626,0.8973587,-0.00010994019,-0.081811466,0.34131408,0.0013438237,0.18337377,0.0030093008,0.25430863,-0.83026209,-0.18438181,24.48054,4.5029502,-17.606752,3.8580485,0.0096800554,-272.4366,-0.25798655,6.4361756,1056.0109,29.959131,1389.9571,0.00027130831,64.560566,0.36657569,7.8114705,176.11797,3.0161488,94.6519,7.4869792e-08,-60.607964,-0.33908452,24.48054,178.73999,-17.606752,96.624513,1.1642614e-06,31.799147,0.029984912,7.8114705,1060.505,3.0161488,1342.7887,0.67107244,-101.89522,-0.095007236,24.48054,1072.4996,-17.606752,1356.5622,0.18530659,2.7509717,0.0025650096,0.34131408,1072.4996,0.18337377,1356.5622,0.97153712,-366.5933,-0.34620333,24.588446,1058.8959,-57.418287,1343.3103,4.2031948e-07,-857.79961,-0.81151622,0.0013301177,1057.0332,0.0030427416,1336.8261,2.9435005e-49,593.34279,0.56132841,4.4214349,1057.0332,3.8920829,1336.8261,2.0453966e-18,7606.854,292510.7,1.0585933,93.862663,1,2
1.433202,0.22769802,6.4156562,6.2943104,29.960907,2.7274245,0.0014491822,-3.2558396,-0.13308224,6.5058245,24.464869,29.849654,-18.619398,0.070936023,-0.002138095,-0.0056824076,6.5058245,0.37626569,29.849654,0.21378776,0.93880981,4.2234804,0.18195164,6.3744253,23.212105,30.100298,-58.251535,0.011762871,5.7430372e-05,0.042249177,6.1724468,0.0013593252,2.6505713,0.0029799187,0.55049813,-1.2895313e-06,-0.00094368138,0.37722373,0.0013664901,0.21485093,0.0029547894,0.98958071,-1.0131529,-0.22231358,24.067558,4.5573143,-18.075007,3.8333608,0.0018360772,-282.78139,-0.26221127,6.3825513,1078.4487,29.96061,1432.4136,0.00021302791,46.71823,0.24834189,6.1724468,188.12062,2.6505713,94.296321,0.00036567837,-54.0748,-0.28246138,24.067558,191.44139,-18.075007,96.96894,6.597024e-05,51.060809,0.047373516,6.1724468,1077.8345,2.6505713,1385.6306,0.50317544,-77.732083,-0.071231128,24.067558,1091.2656,-18.075007,1394.9366,0.32365367,-14.945248,-0.013695335,0.37722373,1091.2656,0.21485093,1394.9366,0.84967738,-376.84912,-0.35104644,24.607769,1073.5022,-56.853485,1376.6398,3.4587555e-07,-870.19378,-0.80715846,0.0013608255,1078.0953,0.002977179,1385.0683,4.0041977e-48,593.88593,0.55086588,4.5070254,1078.0953,3.889799,1385.0683,1.3832573e-17,7442.9476,292515.26,1.0585409,93.761365,1,3
1.2527001,0.16675847,6.3264929,7.5120626,29.739318,3.3427487,0.021472933,-1.2398667,-0.052587803,6.3560385,23.577078,29.606305,-18.7889,0.47713656,0.025300368,0.073527755,6.3560385,0.34409276,29.606305,0.17837871,0.31990446,4.2162179,0.17596295,6.2088853,23.960827,30.04629,-57.752525,0.016287331,-1.3838625e-05,-0.010035706,7.3780951,0.0013789388,3.2898286,0.0029037386,0.88840374,7.4232555e-05,0.053867084,0.33877907,0.0013780689,0.17285961,0.0028816076,0.45686162,-0.78174143,-0.17261443,23.224279,4.5288301,-18.272748,3.6996269,0.016372446,-279.15922,-0.26105431,6.285433,1069.353,29.762523,1445.7423,0.0002454946,94.530644,0.48475129,7.3780951,195.00855,3.2898286,93.555045,4.598211e-13,-52.657598,-0.26695696,23.224279,197.25127,-18.272748,95.138421,0.00017477824,24.289195,0.022678764,7.3780951,1071.0105,3.2898286,1417.6916,0.7511383,-145.38023,-0.13500423,23.224279,1076.8568,-18.272748,1426.0405,0.061215711,-132.59264,-0.12312931,0.33877907,1076.8568,0.17285961,1426.0405,0.088016893,-353.50965,-0.33894791,24.922417,1042.9616,-56.69752,1373.7403,1.3357255e-06,-858.5401,-0.80303889,0.0013770255,1069.114,0.0029215376,1404.0971,1.286515e-46,556.45443,0.52048186,4.4957902,1069.114,3.7368657,1404.0971,2.3832146e-15,7303.8439,292353.53,1.0589583,92.419522,1,4
1.2290092,0.18827837,6.318562,6.5276175,29.553575,3.7238426,0.010066916,-0.44323311,-0.015236233,6.3593831,29.090727,29.452588,-18.371999,0.83868623,-0.014879268,-0.045694528,6.3661566,0.32562473,29.424881,0.15144833,0.5424557,5.2279217,0.21394741,6.144897,24.435546,30.066564,-56.582921,0.0039281225,3.9791435e-05,0.03008362,6.4161269,0.0013226944,3.6129205,0.0028692522,0.67711533,0.00017100877,0.12752538,0.31999011,0.0013409783,0.1451609,0.0028644609,0.081158054,-0.86199175,-0.18950828,28.565559,4.5485703,-17.919266,3.6468228,0.009008414,-267.26979,-0.2541848,6.2843526,1051.4783,29.635308,1439.8694,0.00040183072,73.454111,0.38173093,6.4161269,192.42379,3.6129205,90.515973,3.9755651e-08,-18.02713,-0.092603946,28.565559,194.66914,-17.919266,92.192662,0.20502187,37.609471,0.035773793,6.4161269,1051.3135,3.6129205,1418.9617,0.62045206,-170.80249,-0.16043915,28.565559,1064.5935,-17.919266,1414.114,0.027429718,-129.98326,-0.12195878,0.31999011,1065.7967,0.1451609,1418.4044,0.09545643,-321.8635,-0.3192392,25.305691,1008.2205,-55.574111,1352.8852,7.9920098e-06,-833.53673,-0.79249231,0.0013417093,1051.7916,0.0029092492,1397.3445,5.7961533e-44,554.77281,0.52745508,4.5083349,1051.7916,3.6981237,1397.3445,1.4186876e-15,7273.1229,292325.56,1.0590971,89.247775,1,5
1.331676,0.18213799,6.3437603,7.3113575,29.513151,3.5027625,0.012841547,-1.3880779,-0.049545218,6.4252704,28.016385,29.416615,-19.861903,0.51013302,-0.024442631,-0.06902291,6.4252704,0.35412346,29.416615,0.17696489,0.358572,6.3957872,0.23441287,6.032526,27.284283,30.255222,-54.939005,0.0017395868,-6.4211191e-05,-0.047386509,7.2054339,0.0013550522,3.4734558,0.002864183,0.51285045,4.6735346e-06,0.0034018589,0.34899683,0.0013738179,0.17030492,0.0028714584,0.96324446,-0.81345851,-0.17658373,27.598863,4.6066447,-19.437731,3.6758091,0.015907823,-297.20231,-0.27305708,6.312999,1088.4256,29.600361,1468.8494,0.00013802162,47.978082,0.27129065,7.2054339,176.85122,3.4734558,88.648771,0.00013550872,-25.739311,-0.14320583,27.598863,179.73647,-19.437731,90.525005,0.051180485,76.368931,0.069795802,7.2054339,1094.1766,3.4734558,1437.0087,0.33478916,-171.81025,-0.15446809,27.598863,1112.2702,-19.437731,1432.3788,0.035281418,-65.052089,-0.058485869,0.34899683,1112.2702,0.17030492,1432.3788,0.42781113,-368.39851,-0.35079959,28.255971,1050.168,-53.780198,1385.5596,1.1237527e-06,-865.30447,-0.79435431,0.0013660402,1089.318,0.0028843866,1429.494,4.3680098e-44,586.3164,0.53824172,4.5536299,1089.318,3.7564619,1429.494,3.4313917e-16,7210.9665,292392.26,1.0590359,87.459778,1,6
1.3676961,0.18159631,6.2694683,7.5315192,29.212771,3.4735847,0.014981138,-3.5605333,-0.12818904,6.3457251,27.775644,29.06305,-21.410527,0.094742408,0.019730156,0.060043164,6.3457251,0.32859954,29.06305,0.1536894,0.43532524,4.5397842,0.19810812,5.9314582,22.915689,30.12288,-55.160301,0.011245165,-7.7660281e-06,-0.0057412393,7.4095519,0.0013526745,3.4022047,0.0028582118,0.93800874,0.00010678441,0.07873378,0.33292064,0.0013562719,0.15736564,0.0028373324,0.29617937,-0.62343788,-0.13283837,27.400322,4.6932064,-20.850797,3.6048652,0.077120968,-268.77045,-0.24241778,6.2344386,1108.7076,29.257997,1472.8729,0.00097659854,14.326271,0.089113571,7.4095519,160.76419,3.4022047,79.533839,0.22644699,-36.133378,-0.22048468,27.400322,163.88158,-20.850797,81.858977,0.003102547,27.301506,0.024573491,7.4095519,1111.0145,3.4022047,1443.0155,0.73918806,-164.05509,-0.14564647,27.400322,1126.3925,-20.850797,1447.6135,0.052400018,-84.724862,-0.075217885,0.33292064,1126.3925,0.15736564,1447.6135,0.31833948,-395.77864,-0.3809113,24.055866,1039.031,-53.830153,1363.4815,2.9856693e-07,-883.52254,-0.79781485,0.0013532259,1107.428,0.0028692456,1433.8292,5.8673586e-43,591.75639,0.534352,4.6245818,1107.428,3.6860767,1433.8292,2.3956585e-15,7173.114,292295.34,1.0601088,78.688978,1,7
1.1413049,0.15581057,6.2524411,7.3249515,29.07259,4.1731358,0.038367896,-1.9392013,-0.081078815,6.30834,23.917485,29.057349,-18.979735,0.28613328,0.033861029,0.094671766,6.273094,0.35766766,28.995491,0.18934458,0.21401595,4.3549088,0.21060203,6.2333764,20.67838,29.45741,-42.022651,0.0042148783,-1.970192e-05,-0.014994881,7.2523681,0.0013139097,4.1602921,0.002790812,0.84076932,0.00010954321,0.083811208,0.36176608,0.0013070234,0.19075953,0.0027834738,0.26466811,-0.56434316,-0.11857382,23.670896,4.7594246,-18.711272,3.77425,0.11288687,-292.29418,-0.26809886,6.283007,1090.2477,29.325903,1477.9438,0.00021585988,41.191854,0.25107892,7.2523681,164.05939,4.1602921,84.363048,0.00062890005,-41.410688,-0.25123702,23.670896,164.82717,-18.711272,85.062094,0.0006690759,43.658651,0.040088824,7.2523681,1089.0479,4.1602921,1492.692,0.59104825,-174.14476,-0.15900529,23.670896,1095.2136,-18.711272,1486.587,0.033006798,-59.206614,-0.054077778,0.36176608,1094.8418,0.19075953,1493.0466,0.47216007,-382.02002,-0.35800909,21.055003,1067.0679,-41.32849,1448.7627,4.5533676e-07,-862.48599,-0.79352484,0.0013303643,1086.9049,0.0028409378,1453.6105,1.2376692e-42,593.64099,0.54617568,4.6507221,1086.9049,3.7859791,1453.6105,3.0301333e-16,7102.3445,292370.83,1.0597025,86.714839,1,8
