SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.67599448,-0.074629949,4.6705115,9.0579518,27.829403,13.416007,0.41394618,-3.4509535,-0.24314878,4.6705115,14.192765,27.829403,5.4501123,0.0069622676,0.0055826335,0.069988218,4.6705115,0.079765333,27.829403,0.23503253,0.44366023,-0.51468982,-0.032764525,4.6705115,15.708753,27.829403,30.884776,0.72014376,-0.00031506688,-0.20400473,9.0579518,0.0015444096,13.416007,0.0053360432,0.024204532,-0.00014903259,-0.096498096,0.079765333,0.0015444096,0.23503253,0.0053360432,0.29035021,-2.2100281,-0.63505962,14.192765,3.4800325,5.4501123,6.6322464,3.9704758e-15,-72.518089,-0.28956353,4.6705115,250.4393,27.829403,337.54566,0.0012164056,60.329952,0.26888055,9.0579518,224.37455,13.416007,264.43757,0.0027474977,-155.92322,-0.69492381,14.192765,224.37455,5.4501123,264.43757,6.749695e-19,184.15982,0.73534714,9.0579518,250.4393,13.416007,337.54566,5.1970444e-22,30.037132,0.11993777,14.192765,250.4393,5.4501123,337.54566,0.18821643,-7.0004756,-0.027952784,0.079765333,250.4393,0.23503253,337.54566,0.75988645,123.2309,0.49205897,15.708753,250.4393,30.884776,337.54566,8.6073511e-09,-120.65265,-0.48176402,0.0015444096,250.4393,0.0053360432,337.54566,1.9316396e-08,-9.451384,-0.03773922,3.4800325,250.4393,6.6322464,337.54566,0.67982702,13340.108,281956.4,1.2250134,264.43757,1,daily
-0.40839338,-0.063180639,4.9223871,6.4639007,27.960057,2.46673,0.48933929,-0.59898301,-0.032836751,4.9223871,18.241239,27.960057,-17.576964,0.71955255,0.022943628,0.076754821,4.9223871,0.298921,27.960057,0.11972718,0.40074149,7.9356794,0.33747661,4.9223871,23.514754,27.960057,-42.302537,0.00014392658,-0.00026940973,-0.15826646,6.4639007,0.0017022541,2.46673,0.0051523716,0.081665103,-0.00019599602,-0.11513911,0.298921,0.0017022541,0.11972718,0.0051523716,0.20663752,-2.2533401,-0.49922602,18.241239,4.5136671,-17.576964,4.8412582,4.825467e-09,-53.770914,-0.19874536,4.9223871,270.5518,27.960057,176.02717,0.028195406,16.799042,0.078195054,6.4639007,214.83509,2.46673,121.83149,0.3919352,-91.048269,-0.42380538,18.241239,214.83509,-17.576964,121.83149,1.1494402e-06,133.12851,0.49206293,6.4639007,270.5518,2.46673,176.02717,8.6046264e-09,-165.20212,-0.6106118,18.241239,270.5518,-17.576964,176.02717,8.1715001e-14,-38.906279,-0.14380344,0.298921,270.5518,0.11972718,176.02717,0.11405317,-71.574536,-0.26455021,23.514754,270.5518,-42.302537,176.02717,0.0032334942,-52.368187,-0.19356067,0.0017022541,270.5518,0.0051523716,176.02717,0.032664438,60.957086,0.22530653,4.5136671,270.5518,4.8412582,176.02717,0.012590655,12880.929,280116.81,1.2423415,121.83149,1,0
-0.41556683,-0.064782631,4.9136827,6.4147878,27.92943,2.2397468,0.47837009,-1.3990555,-0.079908984,4.9136827,17.508112,27.92943,-17.061252,0.38160785,0.0082366563,0.026973353,4.9136827,0.30536271,27.92943,0.13250885,0.76805726,8.6536917,0.37576652,4.9136827,23.029438,27.92943,-41.920877,1.9978033e-05,-0.00019983076,-0.11737215,6.4147878,0.0017025398,2.2397468,0.0050606832,0.19791067,-0.00012179637,-0.071538044,0.30536271,0.0017025398,0.13250885,0.0050606832,0.43360766,-2.5070628,-0.53574089,17.508112,4.6796181,-17.061252,4.4242828,2.035886e-10,-36.560572,-0.153612,4.9136827,238.00596,27.92943,157.94005,0.091166757,25.605534,0.11572538,6.4147878,221.26118,2.2397468,120.93447,0.20432007,-124.39113,-0.56219141,17.508112,221.26118,-17.061252,120.93447,1.6042735e-11,111.70558,0.46933943,6.4147878,238.00596,2.2397468,157.94005,4.9486468e-08,-135.66336,-0.56999982,17.508112,238.00596,-17.061252,157.94005,7.2536014e-12,-51.215519,-0.21518587,0.30536271,238.00596,0.13250885,157.94005,0.017298865,-41.991483,-0.17643038,23.029438,238.00596,-41.920877,157.94005,0.051901021,-26.591594,-0.11172659,0.0017025398,238.00596,0.0050606832,157.94005,0.22050119,61.681238,0.25915837,4.6796181,238.00596,4.4242828,157.94005,0.0039460064,12651.708,279710.2,1.243198,120.93447,1,1
-0.22807072,-0.052982395,4.9214737,4.3046509,27.917016,1.7582781,0.56218942,-0.82897807,-0.051900873,4.9214737,15.972334,27.917016,-14.200505,0.57020796,0.033596354,0.11598616,4.9214737,0.2896583,27.917016,0.12997078,0.20329528,6.6519448,0.29511606,4.9214737,22.540098,27.917016,-41.005947,0.00096711133,-7.7331034e-05,-0.044670434,4.3046509,0.0017311458,1.7582781,0.0050027071,0.62514917,6.0917608e-05,0.035189184,0.2896583,0.0017311458,0.12997078,0.0050027071,0.70038914,-2.3200468,-0.4868254,15.972334,4.7656651,-14.200505,4.0180779,1.3025083e-08,-30.414296,-0.14399369,4.9214737,211.21965,27.917016,131.92898,0.11357034,52.04986,0.23949699,4.3046509,217.32992,1.7582781,117.45468,0.0078867124,-98.043267,-0.45112642,15.972334,217.32992,-14.200505,117.45468,1.8400363e-07,125.21559,0.59282171,4.3046509,211.21965,1.7582781,131.92898,6.2992064e-13,-120.573,-0.57084177,15.972334,211.21965,-14.200505,131.92898,6.6503026e-12,-46.068893,-0.21810893,0.2896583,211.21965,0.12997078,131.92898,0.015803476,-34.348435,-0.1626195,22.540098,211.21965,-41.005947,131.92898,0.07351298,-19.419723,-0.091940891,0.0017311458,211.21965,0.0050027071,131.92898,0.31383809,49.970852,0.2365824,4.7656651,211.21965,4.0180779,131.92898,0.0087007906,12506.768,279319.81,1.2441245,117.45468,1,2
-0.24672771,-0.054243236,4.885326,4.5485433,27.89016,2.0988335,0.55290986,-1.7428154,-0.10337251,4.885326,16.859564,27.89016,-13.859734,0.25718444,-0.0094799289,-0.033170227,4.885326,0.28579633,27.89016,0.12455534,0.71682505,5.4661261,0.24044092,4.885326,22.73376,27.89016,-39.394725,0.0076379044,-3.7478579e-06,-0.0021445702,4.5485433,0.0017476033,2.0988335,0.0049647872,0.98129633,-0.00048851921,-0.27953668,0.28579633,0.0017476033,0.12455534,0.0049647872,0.0018195573,-2.8044252,-0.57938376,16.859564,4.8403587,-13.859734,3.7868934,2.7171694e-12,-31.411741,-0.15756436,4.885326,199.35816,27.89016,119.81828,0.083045318,86.58921,0.36215426,4.5485433,239.09483,2.0988335,122.8409,4.1497488e-05,-122.57007,-0.51264209,16.859564,239.09483,-13.859734,122.8409,1.57473e-09,124.38956,0.62395019,4.5485433,199.35816,2.0988335,119.81828,1.6216672e-14,-101.68767,-0.51007528,16.859564,199.35816,-13.859734,119.81828,1.9583392e-09,-37.743354,-0.18932435,0.28579633,199.35816,0.12455534,119.81828,0.036747684,-36.535628,-0.18326628,22.73376,199.35816,-39.394725,119.81828,0.043326325,-18.282437,-0.09170649,0.0017476033,199.35816,0.0049647872,119.81828,0.31507867,43.698555,0.21919622,4.8403587,199.35816,3.7868934,119.81828,0.015276605,12411.968,279088.14,1.2442182,122.8409,1,3
-0.96426613,-0.20763612,4.8360715,4.6440191,27.844197,1.3215457,0.021740197,-1.6424745,-0.091177527,4.8360715,18.014028,27.844197,-14.414975,0.3178899,-0.0091022184,-0.026697501,4.8360715,0.34093897,27.844197,0.15312355,0.77036317,5.2399496,0.2202685,4.8360715,23.788919,27.844197,-38.205029,0.014772026,-0.00016927071,-0.09694041,4.6440191,0.0017461316,1.3215457,0.004917956,0.2881344,-0.00012239902,-0.070097248,0.34093897,0.0017461316,0.15312355,0.004917956,0.44294877,-2.5597404,-0.52481152,18.014028,4.8774471,-14.414975,3.5593934,5.4632497e-10,-36.659868,-0.20294295,4.8360715,180.64125,27.844197,110.36433,0.024968786,-27.797426,-0.1035862,4.6440191,268.35068,1.3215457,131.69661,0.25619689,-171.05608,-0.63743487,18.014028,268.35068,-14.414975,131.69661,2.9171338e-15,68.435315,0.37884655,4.6440191,180.64125,1.3215457,110.36433,1.685481e-05,-88.293238,-0.48877673,18.014028,180.64125,-14.414975,110.36433,1.1170011e-08,-40.049084,-0.22170509,0.34093897,180.64125,0.15312355,110.36433,0.014118789,-40.735722,-0.2255062,23.788919,180.64125,-38.205029,110.36433,0.012510333,-14.519771,-0.080379042,0.0017461316,180.64125,0.004917956,110.36433,0.37880457,35.450547,0.19624835,4.8774471,180.64125,3.5593934,110.36433,0.030278184,12294.89,278868.01,1.2438987,131.69661,1,4
-0.42353257,-0.064135338,4.8410252,6.6037318,27.832885,2.1431383,0.4827862,-2.0446574,-0.12812453,4.8410252,15.958361,27.832885,-13.749749,0.1596004,-0.0076653809,-0.028564753,4.8410252,0.26835102,27.832885,0.115724,0.75479449,4.4607924,0.1816342,4.8410252,24.55921,27.832885,-36.367586,0.045257898,0.00024148697,0.13871818,6.6037318,0.0017408459,2.1431383,0.0048803305,0.12755962,-5.9692036e-05,-0.034289097,0.26835102,0.0017408459,0.115724,0.0048803305,0.70769999,-2.5252853,-0.51162678,15.958361,4.9357957,-13.749749,3.367873,1.7169254e-09,-34.552449,-0.19913552,4.8410252,173.51223,27.832885,101.37198,0.027881238,91.244373,0.35711532,6.6037318,255.50394,2.1431383,132.0625,5.3946211e-05,-141.62873,-0.55431133,15.958361,255.50394,-13.749749,132.0625,3.5008766e-11,53.843289,0.31031409,6.6037318,173.51223,2.1431383,101.37198,0.00050417479,-89.570475,-0.51621995,15.958361,173.51223,-13.749749,101.37198,1.158543e-09,-34.253986,-0.1974154,0.26835102,173.51223,0.115724,101.37198,0.029289034,-37.600657,-0.21670321,24.55921,173.51223,-36.367586,101.37198,0.016507994,-10.139275,-0.058435509,0.0017408459,173.51223,0.0048803305,101.37198,0.52259953,36.106729,0.20809328,4.9357957,173.51223,3.367873,101.37198,0.021445798,12200.826,278684.46,1.2440964,132.0625,1,5
-0.25990188,-0.045529366,4.8424773,5.7084449,27.81918,1.89738,0.61850544,-1.4625766,-0.087760176,4.8424773,16.665607,27.81918,-13.66265,0.33644152,-0.0034150957,-0.011626653,4.8424773,0.2937299,27.81918,0.13680824,0.898859,4.3427994,0.17675474,4.8424773,24.569634,27.81918,-36.200512,0.05146464,1.7230745e-05,0.0099272194,5.7084449,0.001735707,1.89738,0.0048388258,0.91358036,-0.00038892931,-0.22407544,0.2937299,0.001735707,0.13680824,0.0048388258,0.013095914,-2.5066052,-0.49724672,16.665607,5.0409688,-13.66265,3.2431844,5.6692751e-09,-32.035482,-0.17765135,4.8424773,180.32782,27.81918,102.19304,0.050274131,99.744515,0.38824738,5.7084449,256.90969,1.89738,134.91069,9.924921e-06,-135.01745,-0.5255444,16.665607,256.90969,-13.66265,134.91069,5.1189348e-10,115.29213,0.63934743,5.7084449,180.32782,1.89738,102.19304,2.2714468e-15,-114.58433,-0.63542238,16.665607,180.32782,-13.66265,102.19304,3.7885222e-15,-36.340745,-0.201526,0.2937299,180.32782,0.13680824,102.19304,0.026020747,-38.862124,-0.2155082,24.569634,180.32782,-36.200512,102.19304,0.017128167,-4.2086727,-0.023339009,0.001735707,180.32782,0.0048388258,102.19304,0.79859278,45.443976,0.25200757,5.0409688,180.32782,3.2431844,102.19304,0.0051070582,12097.065,278557.23,1.2441658,134.91069,1,6
-0.75869091,-0.16783772,4.8443622,4.5203838,27.804902,1.135991,0.064620441,-1.9201962,-0.099782333,4.8443622,19.243849,27.804902,-14.069316,0.27416659,0.016583914,0.05428917,4.8443622,0.3054737,27.804902,0.1535875,0.55257319,3.4196571,0.14421035,4.8443622,23.71298,27.804902,-35.75691,0.11302241,3.2798455e-05,0.018903619,4.5203838,0.0017350357,1.135991,0.0048026908,0.83627049,-0.00011299455,-0.065125203,0.3054737,0.0017350357,0.1535875,0.0048026908,0.47604176,-2.335399,-0.4597246,19.243849,5.0799958,-14.069316,3.0884754,9.993227e-08,-27.018103,-0.16339995,4.8443622,165.34952,27.804902,97.877239,0.072123369,60.397713,0.23722774,4.5203838,254.59803,1.135991,135.17057,0.0085144107,-142.65744,-0.56032421,19.243849,254.59803,-14.069316,135.17057,1.9336879e-11,87.792576,0.5309515,4.5203838,165.34952,1.135991,97.877239,3.151351e-10,-98.814258,-0.59760837,19.243849,165.34952,-14.069316,97.877239,3.68123e-13,-32.553958,-0.19687966,0.3054737,165.34952,0.1535875,97.877239,0.029739644,-25.543615,-0.15448255,23.71298,165.34952,-35.75691,97.877239,0.089325845,-2.8052501,-0.016965578,0.0017350357,165.34952,0.0048026908,97.877239,0.85285635,37.926265,0.22937027,5.0799958,165.34952,3.0884754,97.877239,0.011041782,12006.727,278383.98,1.2447426,135.17057,1,7
-0.5040572,-0.094914461,4.8360958,5.310647,27.786795,1.5237356,0.29837618,-1.7193094,-0.10840976,4.8360958,15.85936,27.786795,-12.365348,0.23459523,-0.0052419731,-0.017125746,4.8360958,0.30608728,27.786795,0.14102755,0.85148308,3.6340773,0.15861835,4.8360958,22.910825,27.786795,-33.728467,0.080980293,-6.9264199e-05,-0.039694074,5.310647,0.0017449506,1.5237356,0.0047710945,0.66422087,-2.2468816e-05,-0.012876476,0.30608728,0.0017449506,0.14102755,0.0047710945,0.888054,-2.4615306,-0.47858139,15.85936,5.1433898,-12.365348,2.9523811,2.4667911e-08,-28.041298,-0.17572703,4.8360958,159.57305,27.786795,94.714661,0.052857786,72.673939,0.30982828,5.310647,234.56199,1.5237356,128.48013,0.00051506278,-124.88384,-0.53241294,15.85936,234.56199,-12.365348,128.48013,2.7600237e-10,74.936826,0.46960829,5.310647,159.57305,1.5237356,94.714661,4.8508291e-08,-81.992424,-0.51382377,15.85936,159.57305,-12.365348,94.714661,1.4234851e-09,-24.235681,-0.15187828,0.30608728,159.57305,0.14102755,94.714661,0.094922627,-28.886932,-0.18102639,22.910825,159.57305,-33.728467,94.714661,0.04599533,-2.0452152,-0.012816796,0.0017449506,159.57305,0.0047710945,94.714661,0.8885695,34.664169,0.21723073,5.1433898,159.57305,2.9523811,94.714661,0.016240482,11927.736,278218.25,1.2460192,128.48013,1,8
