SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1085322e-05,-0.010510001,2.3080975,0.0010547404,1.1941445,0.0025023638,0.90443053,6.0944176e-05,0.057781212,0.066768137,0.0010547404,0.080128291,0.0025023638,0.50885115,0.78643999,0.13634346,21.990929,5.7680799,6.2247531,-6.2165784,0.11761479,,,,,,,,36.626164,0.1748081,2.3080975,209.52212,1.1941445,392.35999,0.044169462,22.24362,0.10616359,21.990929,209.52212,6.2247531,392.35999,0.22390053,-0.5422797,-0.0058413919,2.3080975,92.833986,1.1941445,106.38198,0.94679594,-25.540659,-0.27512186,21.990929,92.833986,6.2247531,106.38198,0.0013506544,-3.2120181,-0.034599593,0.066768137,92.833986,0.080128291,106.38198,0.69256699,-31.557475,-0.34534438,12.196827,91.379726,-9.3352087,106.44323,3.1324111e-05,-68.761213,-0.75247777,0.001038835,91.379726,0.002493515,106.44323,1.2785034e-26,-68.192211,-0.746251,5.6911851,91.379726,-6.220282,106.44323,5.5392961e-26,6233.7874,268358.15,1.2536274,384.13915,1,daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7741629e-05,0.071725467,2.7832056,0.0010838776,0.9933984,0.0024829883,0.42107505,0.0001417898,0.13081717,0.1728548,0.0010838776,0.073600794,0.0024829883,0.14106372,0.98326069,0.15972692,24.759532,6.155886,3.3946978,-6.3188672,0.071709577,,,,,,,,60.686271,0.22887432,2.7832056,265.15107,0.9933984,382.35267,0.0093603556,8.3918414,0.031649283,24.759532,265.15107,3.3946978,382.35267,0.72285403,-1.4109923,-0.012015544,2.7832056,117.43058,0.9933984,106.73557,0.89291892,-30.11258,-0.25642877,24.759532,117.43058,3.3946978,106.73557,0.0034810676,-11.494947,-0.09788717,0.1728548,117.43058,0.073600794,106.73557,0.27166113,-54.192816,-0.46956973,17.51315,115.40952,-12.758824,108.02369,8.0736893e-09,-71.235371,-0.61724,0.0010707295,115.40952,0.0024611441,108.02369,1.2191232e-15,-64.712435,-0.56072009,6.12419,115.40952,-6.4023897,108.02369,1.2547859e-12,6152.8603,268173.05,1.2551929,374.61843,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9269737e-05,0.026803095,2.8705326,0.0010920283,0.77599645,0.0024831439,0.76484639,-5.9827708e-05,-0.05478586,0.14539474,0.0010920283,0.058836678,0.0024831439,0.54069624,0.94407776,0.15097628,25.526388,6.253153,2.2532256,-6.3479528,0.090204478,,,,,,,,31.925247,0.12268492,2.8705326,260.22144,0.77599645,386.86773,0.1694058,3.5353354,0.013585873,25.526388,260.22144,2.2532256,386.86773,0.87950386,-6.489695,-0.056821098,2.8705326,114.21277,0.77599645,107.38009,0.52573962,-24.620252,-0.21556479,25.526388,114.21277,2.2532256,107.38009,0.014934648,0.046580333,0.00040783822,0.14539474,114.21277,0.058836678,107.38009,0.99636911,-48.658592,-0.43282004,18.259291,112.42223,-12.551481,108.72091,1.5815381e-07,-71.072223,-0.63219014,0.0010796899,112.42223,0.002460002,108.72091,1.9808539e-16,-65.564125,-0.58319539,6.2276634,112.42223,-6.440963,108.72091,1.1532045e-13,6150.0051,268136.03,1.2550442,376.98161,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8557404e-06,0.0053466767,2.5370415,0.0010952112,0.67989411,0.0024834836,0.95223706,4.7742132e-05,0.043591712,0.13145968,0.0010952112,0.050716575,0.0024834836,0.62514032,0.81791345,0.12975381,25.840933,6.3035794,2.6404598,-6.3645703,0.144352,,,,,,,,40.886605,0.15625434,2.5370415,261.667,0.67989411,385.00783,0.078186022,5.9047482,0.022565888,25.840933,261.667,2.6404598,385.00783,0.80039835,1.388152,0.012820104,2.5370415,108.2793,0.67989411,107.10104,0.88579582,-13.639061,-0.12596185,25.840933,108.2793,2.6404598,107.10104,0.15655154,0.97158424,0.008972945,0.13145968,108.2793,0.050716575,107.10104,0.91992878,-40.350683,-0.37832885,17.43914,106.65505,-12.340441,108.41038,5.5914931e-06,-70.00093,-0.6563302,0.0010830359,106.65505,0.0024597039,108.41038,4.174912e-18,-65.878088,-0.61767434,6.2702369,106.65505,-6.4593015,108.41038,1.1495531e-15,6149.2596,268119.88,1.2553244,374.21348,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8286125e-05,-0.016571876,2.9652431,0.0011034433,1.1423961,0.0024880192,0.85270913,0.00018733861,0.16977638,0.20381144,0.0011034433,0.080517897,0.0024880192,0.055378999,0.95255711,0.15001759,25.389234,6.3496359,3.7549052,-6.3582422,0.090992652,,,,,,,,51.295244,0.19353653,2.9652431,265.04167,1.1423961,384.42232,0.028605912,32.163459,0.12135246,25.389234,265.04167,3.7549052,384.42232,0.17240184,1.2907039,0.012009715,2.9652431,107.47166,1.1423961,107.32101,0.89297056,-11.94002,-0.11109925,25.389234,107.47166,3.7549052,107.32101,0.2118542,-9.4269447,-0.087715635,0.20381144,107.47166,0.080517897,107.32101,0.32484356,-28.57316,-0.27064452,16.762521,105.5745,-11.897059,108.46636,0.001438615,-69.957936,-0.66264045,0.0010898815,105.5745,0.0024636317,108.46636,1.5418089e-18,-66.023688,-0.62537532,6.2849083,105.5745,-6.4466912,108.46636,3.994392e-16,6159.0793,268135.01,1.255475,372.17619,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5158602e-05,0.049670985,2.7291678,0.0011104793,1.0177772,0.0024899184,0.57766806,0.00027683985,0.24929761,0.14060238,0.0011104793,0.05952571,0.0024899184,0.0045431332,0.94671985,0.14963824,24.101659,6.3267239,4.1642525,-6.3769922,0.091822435,,,,,,,,75.065832,0.28147142,2.7291678,266.69078,1.0177772,382.83357,0.0012882819,42.247037,0.15841207,24.101659,266.69078,4.1642525,382.83357,0.074108756,5.1759633,0.049267455,2.7291678,105.05847,1.0177772,104.50799,0.58076665,-13.053321,-0.12424816,24.101659,105.05847,4.1642525,104.50799,0.16231177,-10.755117,-0.10237268,0.14060238,105.05847,0.05952571,104.50799,0.25019463,-23.50005,-0.22761727,16.227141,103.2437,-11.355882,105.82322,0.0076982341,-72.271018,-0.70000412,0.0010962063,103.2437,0.0024650396,105.82322,2.4893494e-21,-69.514436,-0.67330436,6.2535009,103.2437,-6.4633456,105.82322,2.7084474e-19,6162.5991,268121.72,1.2555914,370.64144,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1451147e-05,0.0459312,3.1987656,0.0011201786,1.1321606,0.0024815333,0.60667436,0.00032833818,0.29311235,0.15411988,0.0011201786,0.071913653,0.0024815333,0.00078588118,1.0980014,0.17243245,23.922918,6.3677193,3.2058148,-6.4789453,0.051616614,,,,,,,,77.418226,0.28849951,3.1987656,268.34786,1.1321606,379.45834,0.00095829914,26.461371,0.098608468,23.922918,268.34786,3.2058148,379.45834,0.26812762,2.6722817,0.026013403,3.1987656,102.72711,1.1321606,101.23697,0.77069166,-23.109453,-0.22495964,23.922918,102.72711,3.2058148,101.23697,0.010680816,-17.995135,-0.17517416,0.15411988,102.72711,0.071913653,101.23697,0.047957131,-27.592213,-0.27433756,17.281824,100.5776,-11.741176,102.41713,0.001229232,-74.077074,-0.73651662,0.0011020329,100.5776,0.0024586356,102.41713,1.6470119e-24,-72.636062,-0.72218925,6.2604865,100.5776,-6.5398897,102.41713,3.3469449e-23,6146.589,268046.44,1.2560477,367.28701,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.67379e-05,-0.05924973,2.6567557,0.0011263832,1.006097,0.0024830047,0.50647124,-7.2184913e-05,-0.064085574,0.19182173,0.0011263832,0.090004143,0.0024830047,0.47234293,0.65272251,0.10213452,26.885142,6.3908121,3.5972862,-6.5054297,0.25130412,,,,,,,,34.486441,0.12710155,2.6567557,271.32983,1.006097,380.95613,0.15280637,-2.7399668,-0.010098288,26.885142,271.32983,3.5972862,380.95613,0.90992653,8.27123,0.0815882,2.6567557,101.37777,1.006097,98.898886,0.35990949,-27.858098,-0.27479493,26.885142,101.37777,3.5972862,98.898886,0.001694603,1.9525688,0.019260325,0.19182173,101.37777,0.090004143,98.898886,0.82915292,-27.595115,-0.27818879,16.950926,99.195637,-11.197059,100.21556,0.0010408516,-75.132237,-0.75741473,0.0011061137,99.195637,0.0024612493,100.21556,1.4073214e-26,-74.527911,-0.75132247,6.2698155,99.195637,-6.5518382,100.21556,5.9224162e-26,6153.1231,268036.87,1.2559426,368.46727,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2638996e-05,0.046606659,3.1907995,0.0011294308,1.3801323,0.0024841031,0.601388,0.00014688945,0.13005618,0.2329204,0.0011294308,0.1008924,0.0024841031,0.14341112,0.76711077,0.11914164,26.157762,6.4386456,3.1976404,-6.5181641,0.18041214,,,,,,,,72.2593,0.26219673,3.1907995,275.59191,1.3801323,385.93199,0.0027915351,-7.9451685,-0.028829469,26.157762,275.59191,3.1976404,385.93199,0.74666819,0.034807184,0.0003365626,3.1907995,103.41964,1.3801323,99.232564,0.99699165,-36.255006,-0.35056208,26.157762,103.41964,3.1976404,99.232564,4.9758033e-05,-6.3249122,-0.061157745,0.2329204,103.41964,0.1008924,99.232564,0.49285461,-31.009827,-0.30638216,17.758192,101.2129,-11.496691,100.48815,0.00028599972,-77.949871,-0.77015746,0.0011088649,101.2129,0.0024622673,100.48815,6.0460129e-28,-77.592319,-0.76662479,6.3167543,101.2129,-6.5644853,100.48815,1.4761063e-27,6155.6682,268023.43,1.2556309,372.60065,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8555647e-06,0.006079129,3.3940867,0.0011277215,1.3676992,0.0024839955,0.9457033,-0.00013485459,-0.11958146,0.19601006,0.0011277215,0.082609338,0.0024839955,0.17879719,0.45771081,0.070947659,27.23929,6.4513871,3.8627142,-6.5241797,0.42614217,,,,,,,,48.791386,0.17698124,3.3940867,275.68677,1.3676992,386.50767,0.04566498,-17.103183,-0.062038464,27.23929,275.68677,3.8627142,386.50767,0.48663535,5.7054673,0.055590246,3.3940867,102.63432,1.3676992,98.497956,0.53312395,-36.803376,-0.35858741,27.23929,102.63432,3.8627142,98.497956,3.2352411e-05,10.363587,0.10097584,0.19601006,102.63432,0.082609338,98.497956,0.25675017,-25.646283,-0.25511599,17.964273,100.52794,-10.737132,99.894618,0.0027225878,-76.569569,-0.76167454,0.0011076887,100.52794,0.0024619491,99.894618,5.0230378e-27,-75.633585,-0.75236386,6.3336798,100.52794,-6.5724632,99.894618,4.646237e-26,6154.8727,268006.29,1.2557527,373.22757,1,8
