SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.021257232,-0.014876569,0.12600463,1.4289068,82.971205,-0.9266896,0.93669088,-0.67281608,-0.069016069,0.12600463,9.7486874,82.971205,-9.9400476,0.71219144,-0.011533923,-0.12044646,0.12600463,0.095759748,82.971205,0.12048245,0.51865811,-1.4106371,-0.12769764,0.12600463,11.046697,82.971205,-9.744824,0.49360666,-0.00022703116,-0.26091562,1.4559613,0.00087013251,-0.81284999,0.0027672446,0.040533665,9.7087967e-05,0.11157837,0.090231325,0.00087013251,0.13580019,0.0027672446,0.38792327,-0.65836153,-0.14322312,9.3792148,4.5967546,-9.5869541,-4.2445706,0.26677229,17.394082,0.22854694,0.12600463,76.107264,82.971205,96.616739,0.21621695,13.06251,0.059917026,1.4559613,218.00998,-0.81284999,437.1645,0.64364982,-105.18649,-0.48248474,9.3792148,218.00998,-9.5869541,437.1645,7.1498106e-05,15.499145,0.16433979,1.4559613,94.311578,-0.81284999,132.51045,0.20182236,-35.915265,-0.38081501,9.3792148,94.311578,-9.5869541,132.51045,0.0022621492,2.862649,0.030353103,0.090231325,94.311578,0.13580019,132.51045,0.81483702,-58.954765,-0.62510634,14.103747,94.311578,-13.536842,132.51045,5.6036493e-08,-42.653221,-0.45225859,0.00087013251,94.311578,0.0027672446,132.51045,0.00022400762,-30.503643,-0.32343476,4.5967546,94.311578,-4.2445706,132.51045,0.010340649,6918.1114,271020.24,1.2331851,437.1645,1,daily
0.18262344,0.12203978,0.12709504,1.4964255,82.974629,-0.80831472,0.51310071,-0.20812525,-0.022729739,0.12709504,9.1565176,82.974629,-10.348453,0.90339904,-0.0071404429,-0.070002165,0.12709504,0.10200317,82.974629,0.081108798,0.70825668,-1.4148362,-0.085112121,0.12709504,16.623204,82.974629,-10.487011,0.64893807,-9.4086086e-05,-0.10548833,2.3097766,0.00089190992,-0.22750856,0.0027708809,0.41845374,0.00010642504,0.11932263,0.17385653,0.00089190992,0.098111136,0.0027708809,0.35969949,-0.77476864,-0.15666031,14.353374,4.9455323,-10.567023,-4.064623,0.2279313,9.6352987,0.094596296,0.12709504,101.85704,82.974629,101.56647,0.61272781,109.55806,0.39742037,2.3097766,275.67299,-0.22750856,441.33917,0.0015167239,-134.36171,-0.48739528,14.353374,275.67299,-10.567023,441.33917,6.783733e-05,89.952803,0.51878339,2.3097766,173.39183,-0.22750856,146.92835,1.8419002e-05,-125.05471,-0.72122606,14.353374,173.39183,-10.567023,146.92835,5.5260663e-11,-13.281981,-0.07660096,0.17385653,173.39183,0.098111136,146.92835,0.5573657,-118.46722,-0.68337085,22.179858,173.35714,-15.39121,146.75296,1.2905793e-09,-63.842128,-0.37117029,0.00090582784,172.00226,0.0027461039,147.38473,0.0029779604,-16.056969,-0.093353245,5.0376886,172.00226,-4.2105887,147.38473,0.47048932,6865.2597,271071.82,1.2328904,439.61141,1,0
0.030408959,0.018572454,0.12315778,1.6373151,82.971839,-0.90483028,0.92100649,-1.1016815,-0.084059626,0.12315778,13.105953,82.971839,-10.439738,0.65300734,0.0038996213,0.028729737,0.12315778,0.13573467,82.971839,0.10273734,0.87806835,0.18202097,0.009656256,0.12315778,18.850056,82.971839,-10.634402,0.9588829,-0.0002171237,-0.23685259,1.7845944,0.00091670392,-0.55969586,0.0027601728,0.063811502,-3.831625e-05,-0.041797847,0.18973622,0.00091670392,0.11623295,0.0027601728,0.74702869,-0.4579521,-0.088909143,14.154454,5.1507875,-10.593807,-4.1902661,0.49196495,17.071965,0.18225594,0.12315778,93.670281,82.971839,96.051254,0.3264405,63.981531,0.24887829,1.7845944,257.0796,-0.55969586,441.77817,0.051104615,-90.591721,-0.35238782,14.154454,257.0796,-10.593807,441.77817,0.0049703284,62.090281,0.38168118,1.7845944,162.67577,-0.55969586,145.13477,0.002206086,-106.41824,-0.6541739,14.154454,162.67577,-10.593807,145.13477,8.1209992e-09,-24.235705,-0.14898165,0.18973622,162.67577,0.11623295,145.13477,0.24781514,-111.92408,-0.68273863,22.379891,163.93401,-15.3813,144.44369,1.3548894e-09,-63.805159,-0.39222287,0.00091670392,162.67577,0.0027601728,145.13477,0.0016166295,-23.33349,-0.14343556,5.1507875,162.67577,-4.1902661,145.13477,0.26605613,6900.4321,271094.2,1.2325454,441.77817,1,1
-0.095401278,-0.057597893,0.1243704,1.6563328,82.972726,-0.80217418,0.75825849,-1.1340716,-0.085685663,0.1243704,13.235255,82.972726,-10.511926,0.64672475,0.038530092,0.12997304,0.1243704,0.2964468,82.972726,0.16825418,0.4858742,0.82357219,0.041983067,0.1243704,19.616771,82.972726,-10.27918,0.82256696,-0.00017502557,-0.1915508,1.9881891,0.00091372926,-0.50479912,0.002766505,0.13584958,-1.6396761e-05,-0.017944879,0.26415861,0.00091372926,0.14408452,0.002766505,0.8898977,-0.2385245,-0.046841921,12.804214,5.0921162,-9.5196134,-4.1782581,0.71770622,18.917563,0.22477197,0.1243704,84.163355,82.972726,92.341743,0.22410722,60.890152,0.24052739,1.9881891,253.15267,-0.50479912,446.27369,0.059684105,-82.383507,-0.32543013,12.804214,253.15267,-9.5196134,446.27369,0.0098525432,49.245815,0.32480496,1.9881891,151.61657,-0.50479912,140.71607,0.010003274,-59.743996,-0.3940466,12.804214,151.61657,-9.5196134,140.71607,0.0015303949,-14.320858,-0.094454434,0.26415861,151.61657,0.14408452,140.71607,0.46524707,-89.789542,-0.58783472,21.588375,152.74624,-13.884056,139.92648,6.3267926e-07,-61.048999,-0.40265386,0.00091372926,151.61657,0.002766505,140.71607,0.001176572,-25.85376,-0.17052067,5.0921162,151.61657,-4.1782581,140.71607,0.18514308,6916.2625,271106.58,1.2320969,446.27369,1,2
-0.31186809,-0.16956703,0.13207576,1.8392024,82.976048,-0.51246074,0.36180019,-0.057055487,-0.0051900638,0.13207576,10.993215,82.976048,-8.9684452,0.97789371,0.017005879,0.075107754,0.13207576,0.22641975,82.976048,0.12012521,0.68800388,1.1952223,0.067793246,0.13207576,17.630403,82.976048,-9.1076284,0.7170809,-0.00012168383,-0.13281767,2.7023521,0.000916172,-0.37123527,0.0027741653,0.3034364,3.0409454e-05,0.033191862,0.27334997,0.000916172,0.16355284,0.0027741653,0.79786997,-0.74911626,-0.14923889,12.741069,5.019578,-8.8516519,-4.1610403,0.24699031,12.690423,0.15326478,0.13207576,82.800647,82.976048,93.064755,0.41042003,97.363679,0.38597064,2.7023521,252.2567,-0.37123527,445.23244,0.0019463294,-34.76836,-0.13782928,12.741069,252.2567,-8.8516519,445.23244,0.28538919,41.59909,0.29998434,2.7023521,138.67087,-0.37123527,136.62093,0.017843598,-49.797572,-0.35910622,12.741069,138.67087,-8.8516519,136.62093,0.0041524756,20.234321,0.14591616,0.27334997,138.67087,0.16355284,136.62093,0.2577891,-63.789663,-0.4567824,20.23813,139.65,-13.005931,135.74846,0.00021529368,-59.209257,-0.42697689,0.000916172,138.67087,0.0027741653,136.62093,0.00053839855,-30.293752,-0.21845794,5.019578,138.67087,-4.1610403,136.62093,0.088044634,6935.4131,271126.29,1.2320819,445.23244,1,3
-0.23278379,-0.12850064,0.1309308,1.8115379,82.977097,-0.91861814,0.49087073,-0.87453454,-0.073772494,0.1309308,11.85448,82.977097,-10.471648,0.69328081,0.0090509968,0.10666282,0.1309308,0.084856152,82.977097,0.083873322,0.56793052,1.8750625,0.11389445,0.1309308,16.46316,82.977097,-9.6506896,0.54181643,-0.00021839273,-0.23393523,2.3201778,0.00093356067,-0.91943816,0.0027835967,0.067249229,9.9787975e-05,0.10688965,0.22541972,0.00093356067,0.12457178,0.0027835967,0.40829697,-0.57577879,-0.1124639,12.691894,5.1196764,-9.6548469,-4.1846774,0.38414436,11.230547,0.13934154,0.1309308,80.597263,82.977097,92.330721,0.45470283,54.150481,0.21126564,2.3201778,256.31466,-0.91943816,439.77683,0.09928778,-29.454408,-0.11491503,12.691894,256.31466,-9.6548469,439.77683,0.37379957,27.967173,0.21856448,2.3201778,127.95846,-0.91943816,131.88959,0.087885945,-30.732978,-0.24017934,12.691894,127.95846,-9.6548469,131.88959,0.060065523,21.944698,0.17149861,0.22541972,127.95846,0.12457178,131.88959,0.18259795,-59.415839,-0.46131387,20.50899,128.79699,-13.98946,130.93374,0.00018269971,-57.795058,-0.45167049,0.00093356067,127.95846,0.0027835967,131.88959,0.0002288032,-34.309115,-0.26812699,5.1196764,127.95846,-4.1846774,131.88959,0.035116105,6958.9917,271105.63,1.2325864,439.77683,1,4
-0.18800645,-0.12567276,0.12989252,1.4960001,82.971629,-0.84602092,0.50053991,-1.3446223,-0.11071604,0.12989252,12.144783,82.971629,-9.7555631,0.5532238,-0.002255703,-0.024709814,0.12989252,0.091287736,82.971629,0.077337579,0.89502807,1.7397131,0.12013344,0.12989252,14.481506,82.971629,-9.5925557,0.51975337,-0.00019954929,-0.20890825,1.7483891,0.00095520065,-0.96769416,0.0027678391,0.10320635,-5.5509478e-06,-0.0058112898,0.21943822,0.00095520065,0.11967404,0.0027678391,0.96424498,-0.47720362,-0.090249441,11.989274,5.2876075,-10.001642,-4.3234677,0.48543463,10.315377,0.12723167,0.12989252,81.075545,82.971629,94.321903,0.49519784,40.843015,0.15661092,1.7483891,260.79289,-0.96769416,430.93592,0.224146,-34.017064,-0.13043708,11.989274,260.79289,-10.001642,430.93592,0.31226248,29.967546,0.25496971,1.7483891,117.53375,-0.96769416,130.52233,0.045504101,-23.101088,-0.19654855,11.989274,117.53375,-10.001642,130.52233,0.12574303,-12.752149,-0.10849777,0.21943822,117.53375,0.11967404,130.52233,0.40124034,-43.871588,-0.37100818,19.343272,118.24965,-14.082551,129.53507,0.0032446308,-54.304652,-0.46203454,0.00095520065,117.53375,0.0027678391,130.52233,0.00015663226,-35.918807,-0.3056042,5.2876075,117.53375,-4.3234677,130.52233,0.015715614,6919.5978,270968.94,1.2336521,430.93592,1,5
-0.067779743,-0.044418807,0.13318309,1.5259244,82.978767,-0.82191199,0.81570798,-1.0128437,-0.094112573,0.13153421,10.762045,82.976532,-9.8600697,0.61455407,-0.0071687521,-0.078844695,0.13318309,0.090922441,82.978767,0.077583808,0.67876721,1.0108487,0.074391974,0.13153421,13.588142,82.976532,-7.8150694,0.69083086,-0.00021006598,-0.21497042,1.9999983,0.00097718551,-0.74882074,0.00276058,0.096161925,-6.3423508e-05,-0.064904266,0.22499296,0.00097718551,0.12503416,0.00276058,0.61922008,-0.14706674,-0.027017472,11.289034,5.443394,-9.4309405,-4.4703387,0.83488199,12.427209,0.15563144,0.13153421,79.850248,82.976532,94.452694,0.40314259,18.549184,0.068839776,1.9999983,269.45445,-0.74882074,427.6457,0.59808321,-45.130879,-0.16775176,11.289034,269.03371,-9.4309405,423.70318,0.19248777,38.622004,0.34983276,1.9999983,110.40133,-0.74882074,128.76728,0.0057155411,-11.659966,-0.10634626,11.289034,109.64152,-9.4309405,128.04194,0.41069764,37.502342,0.33969103,0.22499296,110.40133,0.12503416,128.76728,0.0073989124,-34.742007,-0.31514261,18.366366,110.24218,-12.324555,127.00116,0.013367951,-55.702891,-0.50804559,0.00097116365,109.64152,0.0027526273,128.04194,2.4950023e-05,-41.316907,-0.37683632,5.443394,109.64152,-4.4703387,128.04194,0.0025363523,6881.5682,270823.45,1.2346279,423.70318,1,6
-0.20523494,-0.12325008,0.13252116,1.6651911,82.976117,-0.79832105,0.5164257,-0.99627525,-0.086125052,0.13085849,11.567775,82.973935,-9.6360911,0.64503112,0.0084210439,0.096488347,0.13252116,0.087275243,82.976117,0.084792791,0.61200165,0.8638529,0.055187827,0.13085849,15.652961,82.973935,-9.3093094,0.76809288,-0.00019385472,-0.19996046,2.0302232,0.00096946526,-0.86868222,0.0027624802,0.12232633,8.1387739e-05,0.083951166,0.12708306,0.00096946526,0.09972069,0.0027624802,0.52006059,-0.7212642,-0.13443246,11.725154,5.3652534,-8.6398776,-4.4810887,0.29754246,18.876517,0.22191141,0.13085849,85.063301,82.973935,97.093478,0.23021449,5.9437587,0.021540393,2.0302232,275.93548,-0.86868222,431.63594,0.86912149,-72.457922,-0.26235693,11.725154,276.18071,-8.6398776,426.91194,0.039398912,30.784388,0.30343108,2.0302232,101.4543,-0.86868222,124.30495,0.017445226,-1.793376,-0.017767955,11.725154,100.93317,-8.6398776,123.29478,0.89097659,7.8910874,0.077779723,0.12708306,101.4543,0.09972069,124.30495,0.55129859,-21.527234,-0.21235668,18.127265,101.373,-12.424104,122.1625,0.10037347,-54.625184,-0.54120149,0.00096385,100.93317,0.0027539121,123.29478,5.5793473e-06,-43.381494,-0.42980412,5.3652534,100.93317,-4.4810887,123.29478,0.0004897431,6884.7804,270809.87,1.2344226,426.91194,1,7
0.15702668,0.093826757,0.12866024,1.673581,82.968379,-1.1004796,0.62830261,-0.54237474,-0.040988747,0.12778454,13.232284,82.971661,-9.4698715,0.82670526,-0.021952066,-0.17972047,0.12866024,0.12214561,82.968379,0.11510367,0.35088247,-0.19979366,-0.012361466,0.12778454,16.162618,82.971661,-10.289798,0.94737801,-0.00025983967,-0.27173062,2.1413997,0.00095623995,-1.111571,0.0027840789,0.035708234,7.3838886e-05,0.077217948,0.19157882,0.00095623995,0.1361747,0.0027840789,0.5575919,-0.51161425,-0.09657701,12.602804,5.2974745,-9.089114,-4.4644597,0.4552324,19.167236,0.22704074,0.12778454,84.422012,82.971661,94.846247,0.21934212,-10.463097,-0.037102948,2.1413997,282.00177,-1.111571,432.05384,0.77836574,-95.507822,-0.33960142,12.602804,281.23505,-9.089114,424.14537,0.0069262756,27.591584,0.26327557,2.1413997,104.80115,-1.111571,123.21991,0.042109706,-12.947533,-0.12521093,12.602804,103.40577,-9.089114,121.95914,0.33221072,21.56436,0.20576453,0.19157882,104.80115,0.1361747,123.21991,0.11473882,-35.788747,-0.34460966,19.076,103.853,-13.562281,120.79435,0.0065349572,-54.940373,-0.53130859,0.00095554647,103.40577,0.0027552931,121.95914,8.8691623e-06,-43.538514,-0.42104531,5.2974745,103.40577,-4.4644597,121.95914,0.00065502077,6888.2327,270816.47,1.2348066,424.14537,1,8
