SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.015078906,0.026636328,0.54647601,0.56610302,13.015451,0.32710186,0.88689413,5.5893092,0.31803645,0.54647601,17.57443,13.015451,11.488673,0.081232613,-0.013133701,-0.22914824,0.54647601,0.057315304,13.015451,0.068103487,0.21497785,-1.1904824,-0.15210313,0.54647601,7.8268109,13.015451,-3.004129,0.41401896,0.0001985787,0.3608568,0.56610302,0.00055029778,0.32710186,0.0017445612,0.046111386,4.9154955e-05,0.089324284,0.057315304,0.00055029778,0.068103487,0.0017445612,0.63275266,2.4200573,0.61855527,17.57443,3.9124351,11.488673,-10.74113,0.00020814946,-22.362379,-0.33046721,0.54647601,67.668978,13.015451,109.43015,0.069408843,9.3413286,0.043334083,0.56610302,215.56539,0.32710186,309.03586,0.81695161,106.24478,0.49286568,17.57443,215.56539,11.488673,309.03586,0.0048474955,-18.882855,-0.27904744,0.56610302,67.668978,0.32710186,109.43015,0.1284598,-39.61676,-0.58544936,17.57443,67.668978,11.488673,109.43015,0.00054052708,-7.0567196,-0.10428293,0.057315304,67.668978,0.068103487,109.43015,0.57664743,-33.641765,-0.49715196,7.8268109,67.668978,-3.004129,109.43015,0.0044367408,-65.880798,-0.97357458,0.00055029778,67.668978,0.0017445612,109.43015,3.7875107e-20,-66.272731,-0.9793665,3.9124351,67.668978,-10.74113,109.43015,1.0874127e-21,4361.4031,266869.1,1.2201926,309.03586,1,daily
-0.36769029,-0.1045993,1.3072821,3.5152269,13.363016,1.2479419,0.57548521,5.1970499,0.23520912,1.3072821,22.095443,13.363016,11.117289,0.20275854,-0.066485464,-0.24818961,1.3072821,0.26788174,13.363016,0.12790866,0.17822183,0.49808279,0.05025196,1.3072821,9.9117087,13.363016,-3.8034677,0.78834312,9.0309089e-06,0.013201164,3.5152269,0.00068409942,1.2479419,0.0018264329,0.94380889,-4.6039902e-05,-0.067300016,0.26788174,0.00068409942,0.12790866,0.0018264329,0.7190562,1.8783387,0.42214372,22.095443,4.4495243,11.117289,-10.259726,0.01800146,-21.319211,-0.29053159,1.3072821,73.38001,13.363016,101.91438,0.11284025,-17.2006,-0.068320632,3.5152269,251.76289,1.2479419,333.51438,0.71497079,99.191717,0.39398863,22.095443,251.76289,11.117289,333.51438,0.02830303,-6.5421753,-0.089154734,3.5152269,73.38001,1.2479419,101.91438,0.63340102,-30.37134,-0.41389119,22.095443,73.38001,11.117289,101.91438,0.020632586,-0.58289409,-0.0079434997,0.26788174,73.38001,0.12790866,101.91438,0.96617137,-30.310294,-0.41305927,9.9117087,73.38001,-3.8034677,101.91438,0.020914577,-69.136838,-0.94217536,0.00068409942,73.38001,0.0018264329,101.91438,2.6419832e-15,-71.531472,-0.97480869,4.4495243,73.38001,-10.259726,101.91438,1.9080775e-20,4566.0822,267365,1.2170208,333.51438,1,0
0.6935616,0.51820438,1.2445412,1.3383939,13.298484,0.1376819,0.0028243765,6.0768421,0.31637778,1.2445412,19.20755,13.298484,11.866942,0.082920674,-0.0073172817,-0.033170182,1.2445412,0.22059818,13.298484,0.083804009,0.85939621,0.5269033,0.044430766,1.2445412,11.858974,13.298484,-3.7617694,0.81239989,3.2199991e-05,0.046486401,1.3383939,0.00069267549,0.1376819,0.0018020319,0.80388436,-0.00011719239,-0.16918802,0.22059818,0.00069267549,0.083804009,0.0018020319,0.36289009,1.8793832,0.41068527,19.20755,4.5762128,11.866942,-10.45221,0.021736813,-11.403813,-0.15175116,1.2445412,75.148112,13.298484,104.70992,0.41511287,62.102512,0.25418548,1.3383939,244.31967,0.1376819,318.7813,0.16762564,69.410033,0.28409515,19.20755,244.31967,11.866942,318.7813,0.1214094,4.3626441,0.058053941,1.3383939,75.148112,0.1376819,104.70992,0.75640168,-28.303959,-0.37664233,19.20755,75.148112,11.866942,104.70992,0.036753779,21.907453,0.29152367,0.22059818,75.148112,0.083804009,104.70992,0.11156067,-32.212415,-0.42865236,11.858974,75.148112,-3.7617694,104.70992,0.016128216,-70.687393,-0.94064098,0.00069267549,75.148112,0.0018020319,104.70992,3.824113e-15,-73.244516,-0.97466875,4.5762128,75.148112,-10.45221,104.70992,2.0658246e-20,4505.0798,267168.68,1.2187536,318.7813,1,1
0.21834464,0.12228293,0.6142165,1.7855692,13.038774,0.62924073,0.51225519,5.3511796,0.26962515,0.6142165,19.846738,13.038774,15.87838,0.14241908,0.0036448869,0.035316539,0.6142165,0.10320623,13.038774,0.054591351,0.85039675,-0.45434053,-0.039960687,0.6142165,11.369687,13.038774,-3.6705452,0.83098878,-5.397398e-05,-0.080310017,1.7855692,0.00067207033,0.62924073,0.0017917471,0.66758344,6.9963877e-06,0.010410202,0.10320623,0.00067207033,0.054591351,0.0017917471,0.95567556,1.47834,0.32747873,19.846738,4.5143085,15.87838,-10.491145,0.072121002,-19.393421,-0.25676526,0.6142165,75.529769,13.038774,105.46498,0.1632073,15.580036,0.065265598,1.7855692,238.71744,0.62924073,310.38636,0.72722238,77.728418,0.32560846,19.846738,238.71744,15.87838,310.38636,0.073859692,3.1983972,0.04234618,1.7855692,75.529769,0.62924073,105.46498,0.82105686,-24.670557,-0.32663356,19.846738,75.529769,15.87838,105.46498,0.072902741,-3.9778286,-0.052665705,0.10320623,75.529769,0.054591351,105.46498,0.77842249,-35.757851,-0.47342725,11.369687,75.529769,-3.6705452,105.46498,0.0071441338,-71.258985,-0.94345562,0.00067207033,75.529769,0.0017917471,105.46498,1.925491e-15,-73.282171,-0.97024222,4.5143085,75.529769,-10.491145,105.46498,2.0748701e-19,4479.3678,267131.18,1.2195203,310.38636,1,2
0.1090075,0.086544386,0.60593114,1.259556,13.035468,0.031259016,0.64341642,3.945735,0.16976927,0.60593114,23.24175,13.035468,13.299433,0.36121941,-0.0014648708,-0.023584556,0.60593114,0.062111441,13.035468,0.043427496,0.89978391,-2.3423171,-0.22366966,0.60593114,10.472216,13.035468,-3.6953065,0.22644751,4.8384392e-05,0.077059753,1.259556,0.00062788147,0.031259016,0.0017668343,0.68031547,3.877054e-06,0.0061748183,0.062111441,0.00062788147,0.043427496,0.0017668343,0.97370062,1.6011987,0.36664973,23.24175,4.3671071,13.299433,-10.589065,0.042478718,-15.450908,-0.19232448,0.60593114,80.337708,13.035468,108.1019,0.29995521,-69.439581,-0.28811297,1.259556,241.01511,0.031259016,301.69191,0.11600565,55.203496,0.22904578,23.24175,241.01511,13.299433,301.69191,0.21518864,-4.9346032,-0.061423251,1.259556,80.337708,0.031259016,108.1019,0.7427253,-32.959699,-0.41026436,23.24175,80.337708,13.299433,108.1019,0.021885336,-5.3957446,-0.067163288,0.062111441,80.337708,0.043427496,108.1019,0.71960409,-45.032731,-0.56054289,10.472216,80.337708,-3.6953065,108.1019,0.0010387241,-74.521609,-0.92760437,0.00062788147,80.337708,0.0017668343,108.1019,6.2514221e-14,-74.547596,-0.92792785,4.3671071,80.337708,-10.589065,108.1019,5.8707627e-14,4417.0857,267033.26,1.2204782,301.69191,1,3
-0.028571305,-0.012411633,0.50554777,2.3019779,12.972242,0.3378643,0.94716474,3.901037,0.1601937,0.50554777,24.352,12.972242,9.1415352,0.3893223,-0.013917946,-0.075735237,0.50554777,0.18377107,12.972242,0.12479889,0.68552901,0.087703398,0.0080613021,0.50554777,10.879557,12.972242,-4.4763387,0.96566998,0.00014681009,0.23842168,2.3019779,0.00061575813,0.3378643,0.0017383795,0.19647991,-0.00015706508,-0.25507593,0.18377107,0.00061575813,0.12479889,0.0017383795,0.16609107,1.7412869,0.40342412,24.352,4.3162687,9.1415352,-10.740452,0.024418569,-28.903572,-0.34503753,0.50554777,83.769356,12.972242,113.08502,0.057303631,15.987413,0.064731389,2.3019779,246.98084,0.3378643,300.91094,0.72937162,69.395768,0.28097633,24.352,246.98084,9.1415352,300.91094,0.1257309,-25.026501,-0.29875485,2.3019779,83.769356,0.3378643,113.08502,0.10255924,-41.69819,-0.49777379,24.352,83.769356,9.1415352,113.08502,0.0043797048,13.838384,0.16519626,0.18377107,83.769356,0.12479889,113.08502,0.3744868,-50.363727,-0.60121898,10.879557,83.769356,-4.4763387,113.08502,0.00034758661,-75.361319,-0.89962873,0.00061575813,83.769356,0.0017383795,113.08502,5.9391391e-12,-74.138556,-0.88503195,4.3162687,83.769356,-10.740452,113.08502,3.861271e-11,4345.9487,266886.19,1.2207756,300.91094,1,4
0.34119258,0.35580007,0.58989282,0.95894467,13.030355,0.32418774,0.049481091,4.1154103,0.15999173,0.58989282,25.722644,13.030355,8.0988372,0.38992828,-0.018843231,-0.19004403,0.58989282,0.099151921,13.030355,0.049321516,0.30583147,0.25845429,0.023451381,0.58989282,11.020856,13.030355,-4.2885,0.900347,0.00015188588,0.24524412,0.95894467,0.00061932525,0.32418774,0.001715927,0.18359658,8.6507092e-05,0.13967958,0.099151921,0.00061932525,0.049321516,0.001715927,0.45359843,1.6317023,0.37342798,25.722644,4.3695235,8.0988372,-10.916323,0.038523046,-26.90367,-0.33863998,0.58989282,79.44623,13.030355,113.8434,0.062395795,9.7192558,0.038282921,0.95894467,253.87968,0.32418774,296.10047,0.83798955,130.43437,0.51376452,25.722644,253.87968,8.0988372,296.10047,0.0031140116,-24.023754,-0.30239011,0.95894467,79.44623,0.32418774,113.8434,0.098246181,-34.001523,-0.42798158,25.722644,79.44623,8.0988372,113.8434,0.016313443,-11.422388,-0.14377508,0.099151921,79.44623,0.049321516,113.8434,0.44033267,-41.625197,-0.52394175,11.020856,79.44623,-4.2885,113.8434,0.0024847877,-73.757412,-0.92839411,0.00061932525,79.44623,0.001715927,113.8434,5.35973e-14,-73.998163,-0.93142447,4.3695235,79.44623,-10.916323,113.8434,2.9202201e-14,4289.8174,266714.2,1.2215228,296.10047,1,5
0.20165064,0.10883647,0.50671159,1.8527855,12.967081,0.50036264,0.56002161,4.6554348,0.19678493,0.50671159,23.657477,12.967081,11.477678,0.28866915,-0.0020732798,-0.045344701,0.50671159,0.045722648,12.967081,0.03379316,0.80861123,-0.22475914,-0.021852963,0.50671159,10.285065,12.967081,-3.5512323,0.90710901,-3.5865847e-05,-0.057971825,1.8527855,0.00061867721,0.50036264,0.0017290984,0.75673592,-0.00018993743,-0.3070057,0.045722648,0.00061867721,0.03379316,0.0017290984,0.092969409,2.4586008,0.55949797,23.657477,4.394298,11.477678,-10.842065,0.0010663989,-29.480948,-0.38906051,0.50671159,75.77471,12.967081,110.75522,0.030523957,20.454617,0.079370512,1.8527855,257.71053,0.50036264,293.49333,0.67125459,115.57271,0.4484594,23.657477,257.71053,11.477678,293.49333,0.011396283,2.7788061,0.036671946,1.8527855,75.77471,0.50036264,110.75522,0.84472308,-45.228832,-0.59688558,23.657477,75.77471,11.477678,110.75522,0.00039332076,17.448716,0.23027097,0.045722648,75.77471,0.03379316,110.75522,0.21267725,-32.708198,-0.43165059,10.285065,75.77471,-3.5512323,110.75522,0.015321546,-72.01776,-0.95041947,0.00061867721,75.77471,0.0017290984,110.75522,2.9954572e-16,-73.266924,-0.9669047,4.394298,75.77471,-10.842065,110.75522,9.4866494e-19,4322.746,266791.03,1.2215642,293.49333,1,6
0.19687757,0.18405263,0.50658543,1.0696808,12.963935,0.12587549,0.32161193,4.0828419,0.16477611,0.50658543,24.778118,12.963935,9.2167691,0.3757199,0.0097890077,0.15739087,0.50658543,0.062195523,12.963935,0.033349516,0.39778016,-0.55548234,-0.044983381,0.50658543,12.348613,12.963935,-4.0874242,0.81010856,0.00010101114,0.16423446,1.0696808,0.0006150423,0.12587549,0.0017042168,0.37731307,0.00020292955,0.32994405,0.062195523,0.0006150423,0.033349516,0.0017042168,0.069877814,2.3468178,0.5240952,24.778118,4.4778464,9.2167691,-11.015565,0.0024762137,-29.400365,-0.37286304,0.50658543,78.850307,12.963935,115.30385,0.038840968,53.922505,0.21133496,1.0696808,255.15185,0.12587549,292.62923,0.25376288,117.94522,0.462255,24.778118,255.15185,9.2167691,292.62923,0.0088413228,-8.0595972,-0.1022139,1.0696808,78.850307,0.12587549,115.30385,0.58427394,-43.105667,-0.54667723,24.778118,78.850307,9.2167691,115.30385,0.0014623256,-18.039276,-0.22877876,0.062195523,78.850307,0.033349516,115.30385,0.21573866,-35.567309,-0.45107381,12.348613,78.850307,-4.0874242,115.30385,0.010869417,-74.797308,-0.94859882,0.0006150423,78.850307,0.0017042168,115.30385,4.9940606e-16,-75.537899,-0.95799119,4.4778464,78.850307,-11.015565,115.30385,2.8449888e-17,4260.542,266615.21,1.2220173,292.62923,1,7
0.3502942,0.16316637,0.50703753,2.1468529,12.962177,0.37735035,0.38046622,4.6374745,0.19785028,0.50703753,23.439313,12.962177,10.271703,0.2860142,-0.049675434,-0.16186493,0.50703753,0.30689436,12.962177,0.12055438,0.38432891,-0.1717097,-0.014245572,0.50703753,12.053549,12.962177,-3.6905403,0.93937116,0.00015330743,0.2492916,2.1468529,0.00061497231,0.37735035,0.0016622911,0.17623979,5.3403174e-05,0.086838339,0.30689436,0.00061497231,0.12055438,0.0016622911,0.64228547,2.9532096,0.64174179,23.439313,4.6018659,10.271703,-11.326177,9.9814651e-05,-31.196183,-0.38553583,0.50703753,80.91643,12.962177,121.14024,0.032197731,5.0497513,0.0201921,2.1468529,250.0855,0.37735035,294.04563,0.91414195,81.630971,0.32641225,23.439313,250.0855,10.271703,294.04563,0.073108514,-12.997747,-0.16063174,2.1468529,80.91643,0.37735035,121.14024,0.38800992,-54.997833,-0.67968685,23.439313,80.91643,10.271703,121.14024,2.6076509e-05,-8.9168004,-0.11019765,0.30689436,80.91643,0.12055438,121.14024,0.55509482,-38.028,-0.46996635,12.053549,80.91643,-3.6905403,121.14024,0.0076374239,-77.200582,-0.95407795,0.00061497231,80.91643,0.0016622911,121.14024,1.009273e-16,-77.357309,-0.95601486,4.6018659,80.91643,-11.326177,121.14024,5.4708758e-17,4155.7278,266292.23,1.2226924,294.04563,1,8
