SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-1.3472069,-0.24157205,1.134928,5.5768327,33.192823,10.009573,0.0014572104,1.9918771,0.22815762,1.134928,8.730268,33.192823,-11.888352,0.0026878195,0.0039780421,0.019469921,1.134928,0.20431733,33.192823,0.35032871,0.80045461,1.5360979,0.1208243,1.1241765,12.713485,33.228462,-7.3501316,0.11985791,0.00043878539,0.33401305,6.2790648,0.0013136774,10.154504,0.004712363,2.3627326e-08,-0.00048110871,-0.36623049,0.20473867,0.0013136774,0.35295866,0.004712363,7.2627849e-10,-3.0125455,-0.70085461,9.6740328,4.2983887,-12.171119,4.2247616,1.6702188e-41,-7.4787497,-0.062077554,1.134928,120.4743,33.192823,266.98865,0.41990065,156.5826,0.52138361,6.2790648,300.3213,10.154504,536.82049,6.0697693e-20,-195.39662,-0.65362338,9.6740328,298.94374,-12.171119,533.28856,1.5718524e-34,53.334623,0.45011126,6.2790648,118.49209,10.154504,252.37433,1.1283744e-14,-44.065972,-0.3737038,9.6740328,117.91684,-12.171119,251.07111,1.9267712e-10,-14.297749,-0.12066416,0.20473867,118.49209,0.35295866,252.37433,0.049310905,-32.385007,-0.27464371,11.872073,117.91644,-7.9116653,249.9595,6.9939518e-06,-2.017545,-0.017109896,0.0013311216,117.91684,0.0046698597,251.07111,0.77878353,19.696141,0.16703416,4.2983887,117.91684,4.2247616,251.07111,0.0057529765,11674.649,278770.68,1.2186453,533.28856,1,daily
-1.2880814,-0.2180093,1.1905658,5.9083783,33.182064,5.4978657,0.0041770984,3.0791328,0.27313001,1.1905658,11.273506,33.182064,-15.209206,0.00030102925,0.049756412,0.1236441,1.1905658,0.40241638,33.182064,0.17840263,0.1071392,0.31550675,0.012839377,1.1843226,24.573369,33.21843,-30.547261,0.86998486,0.0003765238,0.2714756,6.0450403,0.0013869526,5.7000641,0.004681872,7.6648963e-06,-0.00036715485,-0.26472054,0.4061189,0.0013869526,0.18290616,0.004681872,1.3077786e-05,-2.7856166,-0.60678711,12.776451,4.5907643,-16.273838,3.8202749,1.2015557e-28,0.64607417,0.0051520046,1.1905658,125.40248,33.182064,225.04423,0.94667923,163.12985,0.44910148,6.0450403,363.23604,5.7000641,476.51106,1.6522215e-14,-189.85563,-0.5257978,12.776451,361.08106,-16.273838,471.62665,1.1460064e-20,46.353635,0.36657795,6.0450403,126.4496,5.7000641,215.26526,8.0928425e-10,-50.487975,-0.39832793,12.776451,126.74978,-16.273838,214.92332,9.6964864e-12,-25.619076,-0.20260306,0.4061189,126.4496,0.18290616,215.26526,0.00093066075,-38.310278,-0.30271325,24.145609,126.55633,-30.606796,215.6331,7.5858494e-07,6.374501,0.05029201,0.0014100901,126.74978,0.00462913,214.92332,0.4095953,32.695667,0.25795444,4.5907643,126.74978,3.8202749,214.92332,1.7093074e-05,11572.825,278346.46,1.2255198,471.62665,1,0
-0.74970015,-0.1415026,1.1530605,5.2981368,33.206594,5.508494,0.064875507,1.646548,0.14921485,1.1530605,11.034746,33.206594,-15.171618,0.051433561,0.012486932,0.03370698,1.1530605,0.37045537,33.206594,0.14526831,0.66162738,0.12338154,0.0050724155,1.1444035,24.324021,33.243879,-29.7222,0.94844357,0.00044475535,0.31415111,5.9625468,0.001415737,5.7076037,0.0046653936,1.7637833e-07,-0.0003974615,-0.2807453,0.38781957,0.001415737,0.16474887,0.0046653936,3.4455535e-06,-2.7944335,-0.60086664,12.269281,4.6506718,-16.0876,3.7264668,5.5110446e-28,-0.059160279,-0.00048973461,1.1530605,120.80069,33.206594,215.51787,0.99492777,166.53057,0.45762075,5.9625468,363.9052,5.7076037,476.49848,4.028766e-15,-189.15834,-0.52192668,12.269281,362.42321,-16.0876,472.37917,2.4481518e-20,37.382034,0.30559952,5.9625468,122.3236,5.7076037,207.3402,3.9124964e-07,-50.943121,-0.41687726,12.269281,122.20173,-16.0876,205.99739,8.0954486e-13,-13.250369,-0.10832226,0.38781957,122.3236,0.16474887,207.3402,0.078372945,-32.230349,-0.26206745,23.835389,122.98494,-29.657498,206.72132,2.0103201e-05,8.9410826,0.072942264,0.0014226583,122.57753,0.0046237518,205.26201,0.2305076,33.652279,0.27453873,4.6479415,122.57753,3.7123217,205.26201,4.3158444e-06,11559.379,278254.31,1.2255858,470.83442,1,1
-0.86513687,-0.13527991,1.1635788,6.3951614,33.198994,5.8146612,0.077705368,1.5840855,0.1472128,1.1635788,10.760515,33.198994,-14.997591,0.054678871,0.019164711,0.04722311,1.1635788,0.40583332,33.198994,0.17075052,0.53965466,1.4551412,0.0583925,1.1555249,24.920001,33.236376,-28.965155,0.45627232,0.00035161146,0.2484002,6.8452065,0.0014155039,5.8613383,0.0046393951,4.1927194e-05,-0.00040598188,-0.28681085,0.405265,0.0014155039,0.17699065,0.0046393951,1.9745742e-06,-2.7053423,-0.57713256,12.683641,4.6875579,-15.983711,3.5856544,1.4832673e-25,2.808456,0.02345846,1.1635788,119.72039,33.198994,207.91197,0.76070805,142.0103,0.39625628,6.8452065,358.37994,5.8613383,469.69883,1.9603381e-11,-192.28937,-0.53884794,12.683641,356.85276,-15.983711,465.86684,6.9334975e-22,35.109977,0.29315861,6.8452065,119.76444,5.8613383,200.33226,1.1382897e-06,-50.735268,-0.42360236,12.683641,119.77098,-15.983711,199.22629,2.8631814e-13,-19.269652,-0.16089627,0.405265,119.76444,0.17699065,200.33226,0.0085653895,-24.537661,-0.20435457,24.498209,120.07395,-30.073161,201.13852,0.00096207179,12.016202,0.10032649,0.001424675,119.77098,0.0046006772,199.22629,0.098702797,34.942339,0.29174296,4.6875579,119.77098,3.5856544,199.22629,9.764807e-07,11501.693,278136.12,1.22613,465.86684,1,2
-0.88521702,-0.14067352,1.1612546,6.2927056,33.196471,6.0106989,0.066477674,2.5204198,0.23256634,1.1612546,10.837423,33.196471,-15.132387,0.0022061643,0.019717165,0.045908395,1.1612546,0.4294893,33.196471,0.19728941,0.55101394,3.6571034,0.15347459,1.1532308,23.828722,33.233773,-28.690303,0.049055901,0.0003006745,0.21458417,6.5329771,0.0014011961,5.8939653,0.0046160157,0.00042440561,-0.00044548296,-0.31793048,0.40440828,0.0014011961,0.18340058,0.0046160157,1.1644179e-07,-2.848558,-0.60696806,12.698964,4.6930938,-16.151239,3.468011,9.0935073e-29,-4.1860747,-0.033771066,1.1612546,123.95447,33.196471,203.60654,0.66102385,125.0379,0.35200135,6.5329771,355.21993,5.8939653,465.14828,3.5487627e-09,-186.67849,-0.52797562,12.698964,353.57406,-16.151239,461.78595,6.3113087e-21,37.360757,0.30788009,6.5329771,121.3484,5.8939653,194.35821,3.0119587e-07,-53.739716,-0.44307341,12.698964,121.28852,-16.151239,193.58776,1.6585652e-14,-12.600742,-0.10383937,0.40440828,121.3484,0.18340058,194.35821,0.090996373,-30.116588,-0.24697774,23.537612,121.9405,-29.201298,195.47605,6.0697204e-05,13.716734,0.11309178,0.0014116511,121.28852,0.0045766557,193.58776,0.062525975,35.429285,0.2921075,4.6930938,121.28852,3.468011,193.58776,9.4519129e-07,11441.639,278015.96,1.226744,461.78595,1,3
-1.0829502,-0.19193622,1.1533675,5.6422397,33.181818,5.7025477,0.012161046,2.0322409,0.20011559,1.1533675,10.155335,33.181818,-14.470242,0.0088847206,0.0043669586,0.0098075946,1.1533675,0.44526296,33.181818,0.21502581,0.89899186,4.1891955,0.17982049,1.1445166,23.296541,33.220558,-28.070149,0.021221196,0.00034393993,0.24598439,5.7728572,0.0013982185,5.5976064,0.0046040202,5.0032157e-05,-0.00044277941,-0.31667398,0.42535495,0.0013982185,0.20226053,0.0046040202,1.3138528e-07,-2.8450101,-0.60300738,12.029584,4.7180353,-15.462735,3.3515699,2.5392559e-28,-8.1666767,-0.061530598,1.1533675,132.72546,33.181818,199.59481,0.42539443,133.57119,0.37573244,5.7728572,355.49548,5.5976064,464.82435,2.4090777e-10,-188.25104,-0.53220314,12.029584,353.72027,-15.462735,461.76917,2.6994165e-21,32.461927,0.26268216,5.7728572,123.57873,5.5976064,186.02401,1.4215549e-05,-50.595691,-0.4092031,12.029584,123.64445,-15.462735,185.71924,2.098468e-12,-18.020983,-0.14582593,0.42535495,123.57873,0.20226053,186.02401,0.017318096,-32.496006,-0.26158053,22.804553,124.22945,-28.556566,186.76753,2.08553e-05,11.059921,0.089449397,0.0014107136,123.64445,0.0045632118,185.71924,0.14118451,32.860059,0.26576251,4.7180353,123.64445,3.3515699,185.71924,8.8696759e-06,11408.029,277910.08,1.2268225,461.76917,1,4
-1.6056104,-0.2466659,1.1517498,6.5092514,33.181435,5.4355929,0.0011842133,2.2781038,0.21845008,1.1517498,10.428487,33.181435,-14.5911,0.0042114467,-0.042524013,-0.10692736,1.1517498,0.39769068,33.181435,0.16678123,0.16518017,2.5400576,0.11041017,1.1427389,23.00565,33.220396,-27.82972,0.15929936,0.00043849782,0.31471235,6.487802,0.0013933289,5.3634497,0.0045963203,1.5846413e-07,-0.00033183528,-0.23816005,0.3928757,0.0013933289,0.1701712,0.0045963203,8.760966e-05,-2.8636287,-0.60528081,11.738319,4.7310746,-15.275329,3.266125,1.4108435e-28,-8.3215074,-0.063141843,1.1517498,131.7907,33.181435,194.42951,0.41335059,144.84854,0.41419398,6.487802,349.71183,5.3634497,454.75366,1.8908495e-12,-181.46722,-0.52185058,11.738319,347.7379,-15.275329,452.36705,2.1157051e-20,35.471857,0.29531549,6.487802,120.11513,5.3634497,178.51628,9.4111563e-07,-48.071568,-0.39949537,11.738319,120.33073,-15.275329,178.50827,7.6236475e-12,-13.151545,-0.10949116,0.3928757,120.11513,0.1701712,178.51628,0.074635093,-27.905671,-0.23078873,22.583497,120.91436,-28.151095,178.95315,0.00018429529,13.281635,0.11037609,0.001407088,120.33073,0.0045547584,178.50827,0.069134012,33.613225,0.27934033,4.7310746,120.33073,3.266125,178.50827,2.879098e-06,11386.896,277833.67,1.227662,452.36705,1,5
-1.047265,-0.18112121,1.150903,5.7821225,33.181144,5.3001424,0.018093843,2.2979082,0.21692769,1.150903,10.592969,33.181144,-14.710661,0.0044910486,-0.012726181,-0.032597975,1.150903,0.39039789,33.181144,0.16504942,0.67302358,4.332547,0.19234327,1.1416722,22.525077,33.218796,-26.77064,0.013608321,0.00040248071,0.28778357,5.8630139,0.0013985535,5.1771776,0.0045890287,1.8163167e-06,-0.00041407734,-0.29607545,0.3855492,0.0013985535,0.166285,0.0045890287,8.7978194e-07,-2.7061543,-0.57088741,11.617185,4.7402592,-15.35335,3.1973364,6.3498892e-25,-6.8455435,-0.053634152,1.150903,127.63404,33.181144,189.62781,0.48727807,138.29416,0.3994031,5.8630139,346.25211,5.1771776,453.61153,1.3137746e-11,-177.62131,-0.51591374,11.617185,344.2849,-15.35335,451.60541,6.6774528e-20,45.62725,0.38786305,5.8630139,117.63753,5.1771776,173.88745,5.5851759e-11,-47.251362,-0.40257104,11.617185,117.37397,-15.35335,173.73105,5.088838e-12,-11.944657,-0.10153781,0.3855492,117.63753,0.166285,173.88745,0.098431417,-25.865878,-0.21759428,22.275071,118.87205,-27.090161,174.49521,0.00043092145,12.311521,0.10489141,0.0014127863,117.37397,0.0045470567,173.73105,0.084219262,31.575375,0.26901514,4.7402592,117.37397,3.1973364,173.73105,6.8113856e-06,11367.642,277766.63,1.2278307,451.60541,1,6
-1.3254198,-0.21020782,1.1501077,6.3052831,33.186092,5.6000244,0.0060854997,2.5481507,0.22194097,1.1486895,11.481209,33.180909,-14.438268,0.0036285038,0.022168074,0.055725537,1.1501077,0.39780817,33.186092,0.16961213,0.47176216,3.0618566,0.13030737,1.1390688,23.497186,33.219113,-26.784741,0.096295756,0.0004070928,0.29190286,6.0761584,0.0013946174,5.4575704,0.0045700397,1.3308936e-06,-0.00040866382,-0.29302934,0.40301189,0.0013946174,0.17854636,0.0045700397,1.2062705e-06,-2.7152458,-0.56847131,12.123494,4.776399,-14.800914,3.1511801,1.1053745e-24,-9.1100473,-0.069159908,1.1486895,131.7244,33.180909,194.31014,0.37016969,139.73031,0.40275072,6.0761584,346.93993,5.4575704,456.11103,9.3502915e-12,-192.70283,-0.55849374,12.123494,345.04026,-14.800914,453.28574,1.0400251e-23,46.620063,0.38607256,6.0761584,120.75467,5.4575704,176.64316,7.5548128e-11,-49.787127,-0.41580908,12.123494,119.73555,-14.800914,175.83507,8.5145798e-13,-13.085399,-0.1083635,0.40301189,120.75467,0.17854636,176.64316,0.078258747,-27.030133,-0.22233817,23.200859,121.57217,-27.335345,177.10405,0.0003193308,13.178246,0.11006127,0.0014072901,119.73555,0.0045283081,175.83507,0.069935672,32.41167,0.2706938,4.776399,119.73555,3.1511801,175.83507,5.935654e-06,11320.77,277713.51,1.227891,453.28574,1,7
-0.96785643,-0.14729099,1.1509454,6.57105,33.186792,5.4497354,0.056746199,1.7397279,0.163198,1.1494615,10.660229,33.181648,-14.319387,0.034000759,0.015398531,0.041405996,1.1509454,0.37189134,33.186792,0.14966233,0.59409951,2.9142837,0.13263409,1.1364078,21.972358,33.219732,-24.796576,0.090447557,0.00040494783,0.29062111,6.8010546,0.0013933875,5.5543846,0.0045699016,1.6306794e-06,-0.00043101904,-0.30900862,0.384296,0.0013948447,0.16398226,0.0045734774,3.3383994e-07,-2.8188527,-0.59031942,11.591246,4.7751313,-14.708224,3.1405204,9.5501112e-27,-11.625565,-0.084136475,1.1460563,138.17509,33.181556,194.77349,0.27534011,148.40196,0.42416583,6.8010546,349.86777,5.5543846,463.87911,6.560064e-13,-196.16576,-0.5649128,11.591246,347.24963,-14.708224,462.28187,3.6561461e-24,49.168666,0.38955332,6.8010546,126.21806,5.5543846,177.38654,5.8357132e-11,-53.330615,-0.4276256,11.591246,124.71334,-14.708224,176.16865,1.9813286e-13,-3.0361747,-0.024100406,0.384296,125.98023,0.16398226,178.06359,0.69780122,-28.765752,-0.22677604,21.830872,126.84652,-25.743733,176.77621,0.00023986943,10.318702,0.082514652,0.001407765,125.05297,0.0045167064,174.95787,0.17480845,31.275516,0.25009815,4.7737998,125.05297,3.1069596,174.95787,3.0164197e-05,11291.766,277651.83,1.2277511,459.23831,1,8
