SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-1.3119113,-0.13659203,2.3891682,9.6045965,28.515381,6.7415617,0.096699167,-5.6759867,-0.31480263,2.3891682,18.030303,28.515381,-12.772607,9.2225579e-05,-0.12717699,-0.5992216,2.3891682,0.21223699,28.515381,0.21237827,6.8493609e-16,-0.78042332,-0.071601869,2.4315443,10.899482,28.475166,4.0397551,0.38390569,0.0001156902,0.10043058,9.6045965,0.0011519419,6.7415617,0.0042191291,0.22296914,-0.00045984868,-0.39919433,0.21223699,0.0011519419,0.21237827,0.0042191291,4.5827224e-07,-2.0572701,-0.46804273,18.030303,4.3954751,-12.772607,2.8377039,1.7565197e-09,-5.4668273,-0.025817721,2.4315443,211.74709,28.475166,290.15428,0.75381853,56.900621,0.18546608,9.6045965,306.79799,6.7415617,489.71086,0.023542181,-141.76291,-0.4620725,18.030303,306.79799,-12.772607,489.71086,2.9929041e-09,63.779888,0.30053664,9.6045965,212.22001,6.7415617,290.97794,0.0001960196,-8.7534631,-0.041247114,18.030303,212.22001,-12.772607,290.97794,0.61745707,12.518413,0.0589879,0.21223699,212.22001,0.21237827,290.97794,0.47485771,-21.573294,-0.10188237,10.899482,211.74709,4.0397551,290.15428,0.21475667,-2.1228461,-0.010025385,0.0011590653,211.74709,0.0042061245,290.15428,0.90308807,72.361036,0.34173332,4.4380847,211.74709,2.77962,290.15428,1.8696031e-05,10515.311,279134.63,1.1980676,488.72756,1,daily
-2.3589807,-0.23061533,2.3199541,10.229071,28.702507,4.126076,0.0054216569,-8.0631005,-0.319767,2.2249351,25.215549,28.7216,-25.425528,8.8319768e-05,-0.10171359,-0.35913664,2.1763159,0.28321697,28.801514,0.11805146,1.1380988e-05,4.4844037,0.16966683,2.482551,26.430645,28.531513,-29.683305,0.03858098,-6.3227322e-06,-0.0055113937,10.229071,0.0011472111,4.126076,0.0042600928,0.94772749,-0.00031891407,-0.28304649,0.28321697,0.0011267197,0.11805146,0.0042900814,0.0006421681,-1.7047344,-0.37660084,25.215549,4.5266347,-25.425528,2.6175276,3.0313373e-06,-10.80251,-0.049070063,2.482551,220.14461,28.531513,248.11186,0.55231806,68.250876,0.19189723,10.229071,355.66367,4.126076,422.04954,0.02121397,-133.67206,-0.37611793,25.215549,355.39934,-25.425528,420.64294,3.1282086e-06,89.132611,0.40167984,10.229071,221.89964,4.126076,245.39805,6.0398545e-07,-45.279575,-0.20341092,25.215549,222.60149,-25.425528,247.61493,0.014131489,16.102422,0.072072187,0.28321697,223.42075,0.11805146,245.18018,0.39401576,-81.038646,-0.36811551,26.430645,220.14461,-29.683305,248.11186,3.8592406e-06,0.73414661,0.003334838,0.0011957554,220.14461,0.0041868067,248.11186,0.9678028,79.13459,0.3594664,4.6827225,220.14461,2.3919564,248.11186,6.7216399e-06,10467.017,278711.75,1.2061029,413.96437,1,0
-2.4849286,-0.22358244,2.3072735,11.114149,28.702778,4.5240787,0.0070643507,-8.6113891,-0.28242253,2.3014455,30.491155,28.666723,-22.66177,0.00055279335,-0.11733448,-0.42965374,2.2571865,0.27309078,28.745615,0.11671404,8.5598842e-08,3.8900471,0.14934415,2.4693911,26.047535,28.517637,-29.269222,0.068147989,3.3434534e-05,0.029465417,11.114149,0.0011347042,4.5240787,0.0042641021,0.72590383,-0.00036710135,-0.32630983,0.27309078,0.0011250086,0.11671404,0.0042787176,6.9708603e-05,-1.574863,-0.34118614,30.491155,4.6158469,-22.66177,2.534589,2.5055948e-05,-0.21837916,-0.00099381015,2.4693911,219.73931,28.517637,242.08384,0.99036991,92.389298,0.25790073,11.114149,358.23589,4.5240787,427.32534,0.0018035757,-83.247027,-0.23257662,30.491155,357.93377,-22.66177,423.30832,0.0047291979,73.431125,0.33000913,11.114149,222.5124,4.5240787,239.68312,5.3598981e-05,-24.94713,-0.11237585,30.491155,221.99724,-22.66177,241.85415,0.17687074,13.278953,0.059473939,0.27309078,223.27348,0.11671404,239.93769,0.4804445,-66.363573,-0.30201048,26.047535,219.73931,-29.269222,242.08384,0.00017264506,11.685539,0.053179101,0.0011944473,219.73931,0.0041760767,242.08384,0.51807384,87.561559,0.39847927,4.7891542,219.73931,2.30245,242.08384,4.4113507e-07,10440.192,278627.22,1.2057924,418.8985,1,1
-1.1976114,-0.10687739,2.2050171,11.20547,28.74536,4.7794203,0.20390907,-9.0617973,-0.2992914,2.1850681,30.277506,28.735181,-21.496807,0.00026833912,-0.080181158,-0.27080628,2.1506451,0.29608308,28.788764,0.13857345,0.0011155525,0.49058525,0.018160743,2.4625583,27.013502,28.503437,-31.006242,0.82541925,6.9164017e-05,0.061494937,11.20547,0.0011247108,4.7794203,0.0042640539,0.46562902,-0.00025877807,-0.23219241,0.29608308,0.0011144984,0.13857345,0.0042789228,0.0054268091,-1.1473392,-0.25077946,30.277506,4.5750924,-21.496807,2.5560833,0.0024315999,3.6211163,0.01691459,2.4625583,214.08242,28.503437,236.32623,0.83722659,78.981714,0.21704516,11.20547,363.8953,4.7794203,431.22832,0.0092191375,-42.506458,-0.11678166,30.277506,363.9823,-21.496807,428.99911,0.16333551,51.336662,0.23562453,11.20547,217.87486,4.7794203,234.09863,0.0046123442,-29.106196,-0.13367244,30.277506,217.74269,-21.496807,235.62366,0.11020645,-4.3230749,-0.019776361,0.29608308,218.5981,0.13857345,234.48038,0.81529364,-73.577605,-0.34368822,27.013502,214.08242,-31.006242,236.32623,1.6622956e-05,17.090109,0.079829576,0.001193114,214.08242,0.0041617039,236.32623,0.3315082,87.279413,0.40769071,4.816852,214.08242,2.2060833,236.32623,2.2407172e-07,10404.26,278528.46,1.2059434,419.98668,1,2
-3.1067085,-0.25484973,2.3233962,12.190355,28.64709,4.9055226,0.0019782297,-5.468719,-0.1848513,2.2369207,29.584422,28.682493,-20.749168,0.026023718,-0.089703207,-0.35087772,2.2307376,0.25565375,28.703201,0.11676231,1.6197906e-05,1.9764862,0.076036687,2.465095,25.993849,28.492227,-28.804153,0.35506749,2.2210365e-05,0.019402234,12.190355,0.0011447323,4.9055226,0.0042105136,0.81682267,-0.00024673912,-0.21758171,0.25565375,0.0011340067,0.11676231,0.0042256842,0.0088010344,-1.2508915,-0.26872335,29.584422,4.6549415,-20.749168,2.4137379,0.0010824157,7.4521721,0.034847567,2.465095,213.85057,28.492227,236.20213,0.67203839,90.471152,0.24910918,12.190355,363.17872,4.9055226,423.83955,0.0025153413,-27.466024,-0.075881357,29.584422,361.96011,-20.749168,427.07113,0.36433655,61.51094,0.28415149,12.190355,216.47235,4.9055226,234.39248,0.00053279544,-48.687991,-0.22443178,29.584422,216.93893,-20.749168,235.42141,0.0066509086,1.0112999,0.0046556703,0.25565375,217.21897,0.11676231,234.22924,0.95583459,-71.717088,-0.33536075,25.993849,213.85057,-28.804153,236.20213,2.7275633e-05,20.042276,0.093720937,0.0011909499,213.85057,0.0041387006,236.20213,0.25397275,89.740813,0.41964261,4.8396201,213.85057,2.1275667,236.20213,9.0214603e-08,10346.751,278449.7,1.2062807,417.63976,1,3
-2.6200079,-0.24695427,2.3040225,10.609284,28.619462,3.9916877,0.0027488768,-6.5611465,-0.22704201,2.3040225,28.898381,28.619462,-21.503969,0.0060281848,-0.13085278,-0.37836496,2.3040225,0.34583746,28.619462,0.19133872,2.7010994e-06,1.3377089,0.050271703,2.4475813,26.60958,28.464547,-29.929452,0.54124197,-5.1818491e-06,-0.0044806583,10.609284,0.0011564928,3.9916877,0.0041892869,0.95734344,-0.00028135414,-0.24328223,0.34583746,0.0011564928,0.19133872,0.0041892869,0.003192339,-1.1756672,-0.24818873,28.898381,4.7369887,-21.503969,2.3484207,0.0026128037,9.7981885,0.042636657,2.4475813,229.80668,28.464547,237.79871,0.60441809,94.228027,0.25851055,10.609284,364.5036,3.9916877,423.30691,0.0016924808,-63.60571,-0.17449954,28.898381,364.5036,-21.503969,423.30691,0.035799272,61.054115,0.26183909,10.609284,233.17418,3.9916877,237.15904,0.0014658331,-48.162192,-0.20655028,28.898381,233.17418,-21.503969,237.15904,0.01268089,-17.129323,-0.07346149,0.34583746,233.17418,0.19133872,237.15904,0.37987616,-73.912893,-0.32163074,26.60958,229.80668,-29.929452,237.79871,5.9857133e-05,18.467745,0.080362088,0.0011993902,229.80668,0.0041188846,237.79871,0.32828251,99.732135,0.43398275,4.9133374,229.80668,2.0623667,237.79871,2.8876971e-08,10297.212,278394.4,1.2062944,417.19382,1,4
-1.8546264,-0.17849977,2.3023577,10.390077,28.602271,4.7278646,0.031112967,-6.6861642,-0.23022611,2.3023577,29.041728,28.602271,-23.459854,0.0051807196,-0.12968319,-0.4138337,2.3023577,0.31337029,28.602271,0.15304042,2.079626e-07,1.2339273,0.047114895,2.4484713,26.189748,28.46138,-27.960451,0.56696421,8.4463909e-05,0.071641055,10.390077,0.0011789875,4.7278646,0.0041432429,0.39017154,-0.00038690324,-0.32816568,0.31337029,0.0011789875,0.15304042,0.0041432429,5.2608769e-05,-1.3663347,-0.28386705,29.041728,4.8132908,-23.459854,2.1183219,0.00051620333,17.823075,0.076292259,2.4484713,233.61578,28.46138,231.09551,0.35344791,91.323572,0.25318757,10.390077,360.69532,4.7278646,421.0244,0.0020466288,-84.098923,-0.23315779,29.041728,360.69532,-23.459854,421.0244,0.0046231411,64.991275,0.27480683,10.390077,236.49804,4.7278646,231.27787,0.00078841386,-39.540734,-0.16719265,29.041728,236.49804,-23.459854,231.27787,0.043690036,0.99848253,0.0042219485,0.31337029,236.49804,0.15304042,231.27787,0.9596636,-70.006883,-0.29966676,26.189748,233.61578,-27.960451,231.09551,0.00019497651,13.872256,0.059380648,0.0012083276,233.61578,0.0040897472,231.09551,0.47040832,98.852267,0.42314037,4.9409899,233.61578,1.8970033,231.09551,6.8661931e-08,10224.368,278229.94,1.2068508,414.15944,1,5
-2.1012178,-0.16853276,2.2583552,12.467712,28.652472,5.5650685,0.043462872,-6.3184929,-0.22447766,2.3060933,28.147536,28.590829,-22.453094,0.0064513578,-0.11502801,-0.36066266,2.2583552,0.31893519,28.652472,0.14886678,8.9699015e-06,0.48424141,0.019302635,2.452979,25.086803,28.44939,-27.346355,0.81463392,4.2120732e-05,0.036387602,12.467712,0.0011575572,5.5650685,0.0041675173,0.66502271,-0.00032651932,-0.28207617,0.31893519,0.0011575572,0.14886678,0.0041675173,0.00061425599,-1.4222195,-0.29419107,28.147536,4.8343394,-22.453094,2.0216199,0.00031303541,19.282172,0.083066916,2.452979,232.12818,28.44939,224.27894,0.31221036,124.37532,0.35438031,12.467712,350.96565,5.5650685,416.70175,1.3138741e-05,-108.40142,-0.30960455,28.147536,350.12862,-22.453094,413.21105,0.00014314025,53.80765,0.22902541,12.467712,234.94184,5.5650685,222.67552,0.0057597997,-70.012282,-0.29785983,28.147536,235.0511,-22.453094,224.42456,0.00026086026,-17.722531,-0.075433698,0.31893519,234.94184,0.14886678,222.67552,0.36886774,-61.86144,-0.26649691,25.086803,232.12818,-27.346355,224.27894,0.00097923423,13.438589,0.057892969,0.0012146136,232.12818,0.0040801021,224.27894,0.48161948,95.729528,0.41239943,4.9675202,232.12818,1.7979267,224.27894,1.5723725e-07,10200.255,278131.2,1.207658,406.43048,1,6
-1.9295621,-0.17267645,2.2623544,11.174437,28.605659,4.3879308,0.03780791,-5.9427917,-0.19468737,2.3096027,30.524794,28.544507,-23.003091,0.018129403,-0.13544669,-0.45240681,2.2623544,0.29939137,28.605659,0.15407369,1.111962e-08,1.1085504,0.04578092,2.4422451,24.214245,28.430013,-25.652552,0.57800527,2.2416411e-05,0.019082902,11.174437,0.0011746856,4.3879308,0.0041316625,0.81978581,-0.00032664448,-0.2780697,0.29939137,0.0011746856,0.15407369,0.0041316625,0.00070799474,-1.3248689,-0.26950825,30.524794,4.9158751,-23.003091,1.865051,0.00096334812,20.617725,0.091032377,2.4422451,226.48783,28.430013,222.99146,0.26790947,104.76117,0.30137312,11.174437,347.61286,4.3879308,416.4528,0.00022993959,-124.05498,-0.35771336,30.524794,346.79997,-23.003091,412.96407,8.6630817e-06,57.711149,0.25248584,11.174437,228.57182,4.3879308,221.25901,0.0021853338,-53.346565,-0.23340648,30.524794,228.55649,-23.003091,222.94444,0.0044390298,-19.950252,-0.087282204,0.29939137,228.57182,0.15407369,221.25901,0.29652517,-67.774149,-0.2992397,24.214245,226.48783,-25.652552,222.99146,0.00019932436,14.656012,0.064709933,0.0012217066,226.48783,0.0040587136,222.99146,0.43144186,91.790065,0.40527593,5.0043403,226.48783,1.7025833,222.99146,2.6814253e-07,10146.784,278024.35,1.2078539,408.21722,1,7
-1.8951103,-0.17454337,2.2137867,10.857532,28.662077,5.0108966,0.037753958,-4.6541235,-0.15341986,2.2060964,30.33586,28.66399,-18.488703,0.067342879,-0.12796219,-0.34079445,2.2137867,0.37548202,28.662077,0.20952966,3.3237431e-05,-0.36917705,-0.017376782,2.4358678,21.245421,28.425603,-18.293849,0.83284292,2.3969631e-06,0.0021122241,10.857532,0.0011348053,5.0108966,0.0041584937,0.98009675,-0.00026277286,-0.23155766,0.37548202,0.0011348053,0.20952966,0.0041584937,0.0055588587,-1.3486448,-0.29417464,30.33586,4.584504,-18.488703,2.0950874,0.00036221495,20.827784,0.091215555,2.4358678,228.33588,28.425603,222.5263,0.26694373,66.842038,0.19553029,10.857532,341.85005,5.0108966,438.48966,0.019702048,-92.163975,-0.27002458,30.33586,341.31698,-18.488703,436.69847,0.0011082918,56.868595,0.24458285,10.857532,232.51261,5.0108966,222.61958,0.0033519786,-45.830271,-0.19766415,30.33586,231.8593,-18.488703,221.88417,0.017963434,-24.458978,-0.1051942,0.37548202,232.51261,0.20952966,222.61958,0.21279598,-78.041035,-0.34178174,21.245421,228.33588,-18.293849,222.5263,1.8641864e-05,7.4716226,0.03272207,0.0012126387,228.33588,0.004040649,222.5263,0.69098714,88.507574,0.38762009,4.929107,228.33588,1.64816,222.5263,9.5535613e-07,10101.623,277952.58,1.2068918,423.24843,1,8
