SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00016414126,-0.10906265,9.4702413,0.0015050181,10.974121,0.0045322126,0.067429973,6.3548559e-05,0.042224449,0.088269495,0.0015050181,0.14655891,0.0045322126,0.48004222,-2.0010732,-0.553999,20.082711,3.6120521,-12.885741,5.8411396,4.3769562e-24,,,,,,,,75.590444,0.25180778,9.4702413,300.19106,10.974121,413.25545,1.8778719e-05,-145.35037,-0.48419288,20.082711,300.19106,-12.885741,413.25545,5.5582387e-18,214.39118,0.51406701,9.4702413,417.0491,10.974121,561.64592,2.0126734e-20,4.209002,0.010092342,20.082711,417.0491,-12.885741,561.64592,0.86600842,57.930812,0.13890646,0.088269495,417.0491,0.14655891,561.64592,0.019616713,-134.09551,-0.32153412,15.452952,417.0491,0.72419044,561.64592,3.3356221e-08,-280.67766,-0.67300867,0.0015050181,417.0491,0.0045322126,561.64592,1.4891294e-38,-21.939439,-0.05260637,3.6120521,417.0491,5.8411396,561.64592,0.37880681,11330.532,281560.95,1.2076991,413.25545,1,daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.2349397e-05,-0.039469941,7.54548,0.0015796679,3.4921101,0.0045261274,0.5106922,-0.00014581988,-0.092310468,0.12586407,0.0015796679,0.033512756,0.0045261274,0.12330908,-1.5382576,-0.38761139,29.373827,3.9685561,-38.493305,4.9286018,1.7978713e-11,,,,,,,,137.38737,0.39952424,7.54548,343.87744,3.4921101,317.97562,3.735241e-12,-181.07667,-0.52657329,29.373827,343.87744,-38.493305,317.97562,2.2438964e-21,134.72173,0.31270307,7.54548,430.82958,3.4921101,446.54767,9.1057423e-08,-194.51478,-0.45148892,29.373827,430.82958,-38.493305,446.54767,1.8109134e-15,-19.426423,-0.045090736,0.12586407,430.82958,0.033512756,446.54767,0.45234015,-271.23482,-0.62948485,38.310737,430.88379,-53.181667,444.95853,2.027182e-32,-265.4516,-0.61606308,0.0015887667,430.88379,0.0045377166,444.95853,9.3501661e-31,-9.5969842,-0.02227279,3.9712318,430.88379,4.9452082,444.95853,0.71008506,11344.291,280612.77,1.2187509,319.10524,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.4345668e-05,-0.028382055,7.5150937,0.0015624544,3.3715767,0.0044884345,0.63628927,-2.4101849e-05,-0.015425633,0.11375422,0.0015624544,0.030785568,0.0044884345,0.79719359,-1.5497199,-0.3832129,30.712823,4.0440181,-37.041687,4.7199911,3.1613904e-11,,,,,,,,118.79084,0.35333114,7.5150937,336.20259,3.3715767,320.08789,1.1776984e-09,-179.78039,-0.53473826,30.712823,336.20259,-37.041687,320.08789,4.1332905e-22,152.34345,0.3531434,7.5150937,431.39261,3.3715767,434.8904,1.2033748e-09,-199.98913,-0.46358962,30.712823,431.39261,-37.041687,434.8904,2.5193741e-16,-41.83184,-0.096969301,0.11375422,431.39261,0.030785568,434.8904,0.10541156,-262.93641,-0.60952791,38.676721,431.37715,-52.154034,436.44914,9.0298143e-30,-257.16506,-0.59611416,0.0015703688,431.40236,0.0044993553,433.34274,2.0005925e-28,3.2659296,0.0075704953,4.0454704,431.40236,4.7357918,433.34274,0.8994622,11248.388,280419.28,1.2187227,321.39624,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00011637302,-0.074891166,6.5468558,0.0015538951,2.7807487,0.0044525669,0.21072768,-3.9460003e-07,-0.00025394251,0.13850024,0.0015538951,0.039849717,0.0044525669,0.99661867,-1.5327347,-0.37213353,29.278057,4.1187761,-36.007468,4.5494982,1.1700244e-10,,,,,,,,114.09834,0.34283184,6.5468558,332.81138,2.7807487,320.92552,3.6110921e-09,-173.27567,-0.52064225,29.278057,332.81138,-36.007468,320.92552,6.3526814e-21,168.7725,0.39160135,6.5468558,430.98038,2.7807487,428.54066,9.8249997e-12,-224.21406,-0.52024193,29.278057,430.98038,-36.007468,428.54066,6.8850251e-21,-25.522667,-0.059220021,0.13850024,430.98038,0.039849717,428.54066,0.32258888,-263.87401,-0.61225605,39.248821,430.98638,-51.281211,430.07116,3.3972883e-30,-249.30995,-0.57847168,0.0015538951,430.98038,0.0044525669,428.54066,1.7014197e-26,11.745199,0.027252282,4.1187761,430.98038,4.5494982,428.54066,0.64919583,11131.417,280239.92,1.2190334,320.92552,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1174234e-05,0.0072128752,8.3696858,0.0015492067,3.3407014,0.0044109652,0.90418813,-0.0002118746,-0.13676329,0.156481,0.0015492067,0.036840713,0.0044109652,0.021840151,-1.5693783,-0.37501754,29.496686,4.184813,-37.119695,4.3908559,8.1898728e-11,,,,,,,,76.759557,0.23424164,8.3696858,327.6939,3.3407014,312.22421,7.3581854e-05,-179.65347,-0.54823563,29.496686,327.6939,-37.119695,312.22421,1.8999655e-23,109.36247,0.24900874,8.3696858,439.19129,3.3407014,426.10929,2.4189115e-05,-223.14059,-0.50807152,29.496686,439.19129,-37.119695,426.10929,7.5626617e-20,8.4698615,0.019285131,0.156481,439.19129,0.036840713,426.10929,0.74755374,-268.71846,-0.61178767,38.685963,439.23484,-50.170673,427.6311,3.8618475e-30,-248.29763,-0.5653519,0.0015492067,439.19129,0.0044109652,426.10929,3.9065413e-25,22.767769,0.051840209,4.184813,439.19129,4.3908559,426.10929,0.38664981,11027.413,280076.3,1.2201762,312.22421,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00011292967,-0.073092526,6.7234883,0.0015450235,2.8962688,0.0043817042,0.22192446,-0.00022345108,-0.14462633,0.17306101,0.0015450235,0.051546913,0.0043817042,0.015251878,-1.6447086,-0.38774582,29.139238,4.2417185,-37.215788,4.2303256,1.6258511e-11,,,,,,,,106.43666,0.32688843,6.7234883,325.60547,2.8962688,307.05932,2.0221474e-08,-180.90234,-0.55558751,29.139238,325.60547,-37.215788,307.05932,3.6817865e-24,142.32226,0.32521272,6.7234883,437.62821,2.8962688,418.76066,2.4098554e-08,-236.22282,-0.53977971,29.139238,437.62821,-37.215788,418.76066,1.1941217e-22,-17.510718,-0.040012772,0.17306101,437.62821,0.051546913,418.76066,0.50412463,-269.84002,-0.6165069,38.138542,437.6918,-48.567488,420.25624,1.0511792e-30,-242.89917,-0.55503545,0.0015450235,437.62821,0.0043817042,418.76066,4.1705111e-24,25.265996,0.057733929,4.2417185,437.62821,4.2303256,418.76066,0.33490176,10954.261,279928.57,1.2207572,307.05932,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.6686108e-06,-0.0055852604,5.9425084,0.0015520513,2.9497926,0.0043668342,0.9257372,-3.9465311e-05,-0.025427839,0.16251611,0.0015520513,0.041046278,0.0043668342,0.67126182,-1.6228944,-0.37805419,29.969214,4.2927559,-36.852104,4.1390445,5.6040345e-11,,,,,,,,93.621565,0.2851827,5.9425084,328.28627,2.9497926,305.20766,1.1707078e-06,-175.31844,-0.53404134,29.969214,328.28627,-36.852104,305.20766,4.0375087e-22,153.2098,0.35183285,5.9425084,435.46189,2.9497926,414.70335,1.3067145e-09,-210.49481,-0.48338285,29.969214,435.46189,-36.852104,414.70335,7.3520153e-18,-14.004686,-0.032160532,0.16251611,435.46189,0.041046278,414.70335,0.59137499,-263.00056,-0.6037697,38.030064,435.59747,-48.473978,417.67614,4.2139112e-29,-237.57087,-0.54556065,0.0015520513,435.46189,0.0043668342,414.70335,3.4176538e-23,26.012312,0.059734989,4.2927559,435.46189,4.1390445,414.70335,0.31839156,10917.085,279850.02,1.2209242,305.20766,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00015166255,-0.097739018,5.3995217,0.0015517093,2.6598467,0.0043513304,0.10204524,1.2897397e-05,0.0083117353,0.22434644,0.0015517093,0.060322788,0.0043513304,0.88967821,-1.4851182,-0.34103922,30.125813,4.3546845,-36.239925,4.0078523,4.4045077e-09,,,,,,,,93.009351,0.28242082,5.3995217,329.32894,2.6598467,300.34179,1.4984938e-06,-174.693,-0.53045142,30.125813,329.32894,-36.239925,300.34179,8.550721e-22,164.67227,0.38363199,5.3995217,429.2454,2.6598467,404.95659,2.7628755e-11,-205.45985,-0.47865358,30.125813,429.2454,-36.239925,404.95659,1.6950163e-17,-33.848513,-0.078855856,0.22434644,429.2454,0.060322788,404.95659,0.18749493,-264.4755,-0.61602267,37.942625,429.32754,-48.01627,406.40286,1.202545e-30,-227.45262,-0.52988948,0.0015517093,429.2454,0.0043513304,404.95659,9.6086963e-22,26.954483,0.062795042,4.3546845,429.2454,4.0078523,404.95659,0.29418725,10878.326,279717.35,1.2216523,300.34179,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7516514e-05,-0.011297568,6.962425,0.0015504677,3.2147905,0.0043267838,0.85045055,-0.00011174141,-0.072069485,0.16785121,0.0015504677,0.04464074,0.0043267838,0.228479,-1.7737758,-0.40479892,30.10584,4.3818689,-35.779445,3.8811868,1.66615e-12,,,,,,,,119.32948,0.36023361,6.962425,331.25581,3.2147905,297.39287,4.9138684e-10,-184.72256,-0.55764323,30.10584,331.25581,-35.779445,297.39287,2.3099691e-24,144.44875,0.33621188,6.962425,429.63608,3.2147905,399.00927,7.4726117e-09,-186.13348,-0.43323521,30.10584,429.63608,-35.779445,399.00927,2.7641411e-14,-43.087267,-0.10028782,0.16785121,429.63608,0.04464074,399.00927,0.093372649,-266.32168,-0.61958479,38.162562,429.83896,-46.241039,401.86955,5.673754e-31,-224.63636,-0.52285263,0.0015504677,429.63608,0.0043267838,399.00927,4.0658911e-21,30.777203,0.071635517,4.3818689,429.63608,3.8811868,399.00927,0.23130041,10816.959,279575.08,1.2224249,297.39287,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.6025826e-05,-0.035927699,10.532678,0.0015594048,5.6186,0.0043217486,0.54866148,-0.00019460606,-0.12465262,0.31738922,0.0015611871,0.14311176,0.0043285254,0.037444502,-1.8375653,-0.41641861,28.076746,4.4127837,-24.367873,3.9092778,3.969514e-13,,,,,,,,65.716095,0.19086421,10.532678,344.30812,5.6186,314.72649,0.0013053101,-168.8858,-0.48994762,28.076746,344.70174,-24.367873,316.7541,2.9798385e-18,109.3863,0.25434949,10.532678,430.06297,5.6186,399.21604,1.5898478e-05,-139.77539,-0.32455898,28.076746,430.66253,-24.367873,401.58291,2.8933675e-08,31.36459,0.072828694,0.31738922,430.66253,0.14311176,401.58291,0.22527189,-274.47509,-0.63822069,33.301759,430.06297,-33.440696,399.21604,1.5114981e-33,-220.36795,-0.51240857,0.0015594048,430.06297,0.0043217486,399.21604,3.2550595e-20,39.204938,0.091160925,4.42938,430.06297,3.8699573,399.21604,0.12738391,10804.371,279543.04,1.2213219,314.72649,1,8
