SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-4.3153066,-0.30218152,6.2979615,14.280511,33.741998,31.29216,1.2380931e-05,3.8455064,0.17816884,6.2979615,21.583496,33.741998,-26.826453,0.011184815,0.0096338434,0.071412331,6.2979615,0.13490448,33.741998,0.3395665,0.3125186,14.557678,0.55822853,5.8155124,26.078349,34.706112,15.932446,1.4688523e-15,-0.00029304642,-0.19125298,14.280511,0.001532245,31.29216,0.005755112,0.0063998028,0.00060133358,0.39245263,0.13490448,0.001532245,0.3395665,0.005755112,7.621642e-09,-0.34858025,-0.12730055,21.583496,2.7382462,-26.826453,9.4075112,0.071011334,-108.73752,-0.37688603,6.2979615,288.51566,33.741998,497.2077,3.2290749e-08,59.343489,0.22333202,14.280511,265.71867,31.29216,439.62873,0.0013988086,-42.16396,-0.15867895,21.583496,265.71867,-26.826453,439.62873,0.024097837,133.83286,0.46386689,14.280511,288.51566,31.29216,497.2077,3.5841926e-12,-77.238149,-0.26770869,21.583496,288.51566,-26.826453,497.2077,0.0001172597,-88.647232,-0.30725275,0.13490448,288.51566,0.3395665,497.2077,8.673519e-06,-39.808871,-0.13919168,26.078349,286.00036,15.932446,484.12419,0.067788595,-226.08417,-0.78361143,0.001532245,288.51566,0.005755112,497.2077,3.2277232e-43,-112.2115,-0.38892688,2.7382462,288.51566,9.4075112,497.2077,1.0639996e-08,14387.78,282387.05,1.2393826,439.62873,1,daily
-3.3013479,-0.24608164,6.2964657,13.415661,33.745549,13.069324,0.0005427667,5.1383639,0.18131626,6.2964657,28.339234,33.745549,-40.888789,0.01140204,0.027471883,0.083633417,6.2964657,0.32847974,33.745549,0.10964296,0.24630008,16.116474,0.50080862,5.7954926,32.180904,34.65754,-36.940282,9.8910176e-12,9.9278108e-06,0.0061672639,13.415661,0.0016097594,13.069324,0.0055336664,0.93198654,0.00038923664,0.24179803,0.32847974,0.0016097594,0.10964296,0.0055336664,0.00068219807,-0.34382411,-0.10354059,28.339234,3.3206697,-40.888789,8.0786624,0.15080381,-113.23489,-0.33597061,6.2964657,337.03808,33.745549,394.77984,1.6741743e-06,68.344045,0.19896688,13.415661,343.49458,13.069324,364.94366,0.0054151486,-38.415506,-0.1118373,28.339234,343.49458,-40.888789,364.94366,0.12053758,103.84219,0.30810224,13.415661,337.03808,13.069324,394.77984,1.2400426e-05,-171.14667,-0.50779623,28.339234,337.03808,-40.888789,394.77984,4.1173782e-14,-73.406482,-0.21779878,0.32847974,337.03808,0.10964296,394.77984,0.0022831666,-135.4158,-0.41601591,32.224124,325.50632,-37.373521,379.17028,2.7417151e-08,-216.27418,-0.64395421,0.0016206927,335.85336,0.0055085019,396.71873,2.4150231e-24,-43.667215,-0.13001869,3.3612214,335.85336,8.0162526,396.71873,0.069318785,13771.255,280978.05,1.2497989,363.73858,1,0
-3.4059273,-0.22988352,6.2869743,14.815883,33.874588,13.002895,0.0012618836,4.8556345,0.16771458,6.2869743,28.951774,33.874588,-38.645733,0.019414302,0.03838874,0.14280985,6.2869743,0.26881018,33.874588,0.078529381,0.046983385,15.08816,0.47530196,5.7571029,31.744368,34.815169,-36.697626,1.4448031e-10,2.4412045e-05,0.014940681,14.815883,0.0016339312,13.002895,0.005523697,0.83619237,0.00053135796,0.32520217,0.26881018,0.0016339312,0.078529381,0.005523697,3.7162377e-06,-0.28407039,-0.081769284,28.951774,3.4740476,-38.645733,7.9388686,0.25702396,-105.04175,-0.32632597,6.2869743,321.8921,33.874588,382.82192,3.4243328e-06,72.295571,0.2608809,14.815883,277.12098,13.002895,337.08792,0.00023878652,-41.779136,-0.15076136,28.951774,277.12098,-38.645733,337.08792,0.035878591,93.35279,0.29001267,14.815883,321.8921,13.002895,382.82192,4.0993514e-05,-136.59602,-0.42435344,28.951774,321.8921,-38.645733,382.82192,6.9921309e-10,-74.618509,-0.23181218,0.26881018,321.8921,0.078529381,382.82192,0.0011446668,-110.16661,-0.35440625,31.63986,310.84838,-36.943321,367.51171,3.0073287e-06,-199.87702,-0.62005411,0.0016441537,322.35415,0.0054987277,385.90113,3.303272e-22,-45.020898,-0.13966284,3.4967024,322.35415,7.8865408,385.90113,0.050896368,13746.819,280853.67,1.2522892,335.86013,1,1
-3.1470547,-0.22820943,6.3215408,13.790204,33.80891,13.03563,0.0013332203,7.0791202,0.2421367,6.3215408,29.236048,33.80891,-38.825665,0.00064865529,0.024356927,0.087209806,6.3215408,0.27929116,33.80891,0.080685633,0.2253975,15.195549,0.48932848,5.8092577,31.053882,34.755682,-37.032465,2.5695197e-11,-1.2560733e-05,-0.0074713768,13.790204,0.0016811805,13.03563,0.0054956494,0.91743697,0.00035847147,0.21322605,0.27929116,0.0016811805,0.080685633,0.0054956494,0.002763476,0.042929648,0.0122196,29.236048,3.5131795,-38.825665,7.8462923,0.86536665,-105.00226,-0.32795698,6.3215408,320.17083,33.80891,384.75328,2.8642203e-06,82.71206,0.28313062,13.790204,292.13393,13.03563,340.78253,6.0548957e-05,-39.877726,-0.13650494,29.236048,292.13393,-38.825665,340.78253,0.057060227,99.5709,0.31099304,13.790204,320.17083,13.03563,384.75328,9.6402817e-06,-135.1967,-0.42226425,29.236048,320.17083,-38.825665,384.75328,7.8119812e-10,-61.997644,-0.19363927,0.27929116,320.17083,0.080685633,384.75328,0.0066805795,-118.15799,-0.390284,30.960428,302.74874,-37.015282,367.57557,2.0133134e-07,-200.60701,-0.6276529,0.0016844912,319.61457,0.0054842125,385.68405,7.2420771e-23,-58.608652,-0.18337291,3.5238297,319.61457,7.8197347,385.68405,0.010092264,13710.531,280786.81,1.2521067,340.33537,1,2
-2.5699417,-0.20801223,6.4018298,12.354763,33.719682,13.639356,0.0035223419,7.5837654,0.25018199,6.4098423,30.312995,33.759633,-39.467733,0.00040538483,0.018669402,0.077834712,6.4018298,0.23985959,33.719682,0.061010298,0.27944972,16.252789,0.52470716,5.9323527,30.974971,34.692789,-39.210974,3.9757193e-13,8.5887687e-05,0.051434739,12.354763,0.0016698381,13.639356,0.0054244621,0.47516404,0.0003217234,0.19266742,0.23985959,0.0016698381,0.061010298,0.0054244621,0.0069655556,-0.062606389,-0.01796594,30.312995,3.4847267,-39.467733,7.7078469,0.802638,-98.465301,-0.30142178,6.4098423,326.6695,33.759633,390.9597,1.761256e-05,86.078859,0.29500823,12.354763,291.7846,13.639356,328.96034,2.8311746e-05,-46.336227,-0.15844353,30.312995,292.44633,-39.467733,331.00973,0.02655136,110.69503,0.3385599,12.354763,326.95847,13.639356,389.60568,1.2914321e-06,-134.03868,-0.41031892,30.312995,326.6695,-39.467733,390.9597,2.3316968e-09,-73.741974,-0.22553927,0.23985959,326.95847,0.061010298,389.60568,0.0015234267,-103.54596,-0.33699979,30.974971,307.25825,-39.210974,372.21182,9.0085052e-06,-207.78516,-0.63607149,0.0016665766,326.6695,0.0054286378,390.9597,1.2827778e-23,-62.87435,-0.19247083,3.4847267,326.6695,7.7078469,390.9597,0.0068784378,13571.594,280692.44,1.252939,331.00973,1,3
-1.2083163,-0.078748866,6.443074,15.34392,33.818113,14.337345,0.27382414,7.7426471,0.27359493,6.443074,28.299673,33.818113,-38.831324,0.00010879748,0.04541781,0.16639739,6.443074,0.27294785,33.818113,0.074815424,0.020076984,15.91862,0.52015498,5.9415979,30.603609,34.742573,-37.937853,8.0502403e-13,0.0001449816,0.087593986,15.34392,0.0016551547,14.337345,0.0054119831,0.22335273,0.00030099665,0.18185409,0.27294785,0.0016551547,0.074815424,0.0054119831,0.010947212,-0.14390529,-0.04107677,28.299673,3.5033253,-38.831324,7.5744282,0.56857004,-103.68403,-0.3285849,6.443074,315.54716,33.818113,379.00096,2.7344986e-06,111.26767,0.37516063,15.34392,296.58675,14.337345,326.80901,6.5231842e-08,-41.500387,-0.13992664,28.299673,296.58675,-38.831324,326.80901,0.051055169,92.482009,0.29308458,15.34392,315.54716,14.337345,379.00096,3.2094875e-05,-136.92873,-0.43394061,28.299673,315.54716,-38.831324,379.00096,2.3360587e-10,-47.12961,-0.14935837,0.27294785,315.54716,0.074815424,379.00096,0.037162836,-105.55765,-0.35542935,30.607522,296.98632,-38.126631,365.6733,2.6125348e-06,-198.44176,-0.62895698,0.0016579237,315.50927,0.005401098,380.57676,5.5580449e-23,-62.349776,-0.19761631,3.5052275,315.50927,7.5547015,380.57676,0.0054970477,13502.745,280552.14,1.2535228,326.3561,1,4
-2.6271699,-0.20122415,6.4700955,13.055937,33.720682,13.632211,0.0047905851,6.9124504,0.21424109,6.5041124,32.26482,33.778536,-38.817674,0.0025674212,0.011921907,0.034306683,6.4700955,0.34750974,33.720682,0.12300317,0.63398396,14.988912,0.4877169,6.0029597,30.732811,34.671163,-37.483036,2.6555734e-11,0.00013460016,0.08246579,13.055937,0.0016321939,13.632211,0.0053626929,0.25174483,0.00037121253,0.22743164,0.34750974,0.0016321939,0.12300317,0.0053626929,0.0013862493,-0.2292923,-0.064736162,32.26482,3.5419507,-38.817674,7.4319464,0.36734633,-102.57331,-0.34164596,6.5041124,300.23277,33.778536,373.58245,9.5487764e-07,86.336392,0.29461707,13.055937,293.04613,13.632211,311.8226,2.9045178e-05,-17.895611,-0.060991579,32.26482,293.41117,-38.817674,313.64993,0.39576371,107.60745,0.35780532,13.055937,300.74303,13.632211,374.47794,2.8155837e-07,-101.65232,-0.33857836,32.26482,300.23277,-38.817674,373.58245,1.2105265e-06,-60.9594,-0.20269597,0.34750974,300.74303,0.12300317,374.47794,0.0044851528,-97.960472,-0.34065012,30.732811,287.56917,-37.483036,362.61605,7.0935264e-06,-184.57692,-0.61477939,0.0016314786,300.23277,0.0053702951,373.58245,9.2467444e-22,-55.915433,-0.18624028,3.5419507,300.23277,7.4319464,373.58245,0.0089595668,13425.738,280437.18,1.2548087,313.64993,1,5
-3.0994371,-0.23130127,6.4985424,13.4,33.733926,13.853579,0.0011068672,6.5112018,0.19854295,6.4985424,32.794928,33.733926,-38.85065,0.005276532,0.018481969,0.057901133,6.4985424,0.31919875,33.733926,0.099607339,0.42018089,15.054209,0.48611126,5.9987562,30.968648,34.623506,-38.497494,3.151463e-11,0.00019752461,0.12105411,13.4,0.001631705,13.853579,0.0053459641,0.091001454,0.00038270289,0.23454171,0.31919875,0.001631705,0.099607339,0.0053459641,0.00093677282,-0.27376995,-0.076085668,32.794928,3.5981803,-38.85065,7.3704235,0.28917954,-100.14134,-0.33718344,6.4985424,296.99365,33.733926,373.76982,1.3472845e-06,76.087947,0.27144785,13.4,280.3041,13.853579,297.64072,0.00011885659,-11.045454,-0.039405252,32.794928,280.3041,-38.85065,297.64072,0.58344619,94.138588,0.31697172,13.4,296.99365,13.853579,373.76982,5.9971717e-06,-111.58953,-0.37573036,32.794928,296.99365,-38.85065,373.76982,5.739388e-08,-81.725551,-0.27517609,0.31919875,296.99365,0.099607339,373.76982,9.4830423e-05,-93.318219,-0.32986719,30.968648,282.89634,-38.497494,359.93577,1.424613e-05,-176.34217,-0.59375739,0.001631705,296.99365,0.0053459641,373.76982,4.6455509e-20,-48.660124,-0.16384231,3.5981803,296.99365,7.3704235,373.76982,0.02175325,13364.91,280364.62,1.2565146,297.64072,1,6
-4.1627134,-0.27358613,6.579453,15.215367,33.657367,16.183352,0.00012319365,6.962469,0.24176066,6.4605152,28.799015,33.617732,-39.130863,0.00068354808,0.031059589,0.088364569,6.5012258,0.3514937,33.576856,0.12359212,0.22414285,15.267165,0.50662442,6.0010204,30.135076,34.568955,-29.939621,3.8420426e-12,8.038072e-05,0.04974014,15.215367,0.0016160132,16.183352,0.0053526542,0.49325353,0.00032059993,0.19819553,0.3514937,0.0016175941,0.12359212,0.0053459664,0.0059876828,-0.56996354,-0.1583284,28.774179,3.599882,-39.01007,7.328259,0.027057722,-102.31693,-0.3511006,6.5377401,291.41771,33.696795,364.5033,4.8420569e-07,50.21262,0.18153658,15.215367,276.59781,16.183352,287.10019,0.011735716,-46.936728,-0.17143786,28.774179,273.78274,-39.01007,283.93508,0.01655806,102.39562,0.35559444,15.215367,287.95619,16.183352,363.50739,4.1597199e-07,-141.23864,-0.48375642,28.774179,291.96231,-39.01007,366.15376,7.8330237e-13,-72.073228,-0.24966806,0.3514937,288.67621,0.12359212,363.83903,0.00049553833,-94.553826,-0.32987741,30.263949,286.63322,-30.222545,355.74049,1.4236886e-05,-168.24568,-0.57766584,0.001612036,291.25087,0.0053509234,365.81708,7.7195896e-19,-37.694714,-0.12942352,3.5978927,291.25087,7.3445689,365.81708,0.070614102,13377.309,280324.14,1.2578512,285.65249,1,7
-5.4385131,-0.25283292,6.4347527,21.510305,33.648941,28.533072,0.00049828389,4.8735108,0.173047,6.412329,28.162931,33.823339,-26.38667,0.01725571,-0.023373768,-0.041116652,6.3812186,0.56847451,33.624388,0.60506419,0.58051114,17.098049,0.54049292,5.8899998,31.634178,34.77391,17.116184,1.1383932e-13,-0.00019789622,-0.12295366,21.510305,0.0016095188,28.533072,0.0055761291,0.094542111,-0.00023470083,-0.14539787,0.56847451,0.0016141972,0.60506419,0.0055863703,0.049544332,-0.77471235,-0.24141303,28.162931,3.2090744,-26.38667,8.2054127,0.00081838821,-99.936515,-0.33903184,6.4627793,294.77029,33.844016,393.79462,1.5068905e-06,44.655074,0.15695585,21.510305,284.50722,28.533072,287.41535,0.032400025,-29.671408,-0.10376609,28.162931,285.94512,-26.38667,287.55506,0.15533916,111.36773,0.37944446,21.510305,293.50205,28.533072,394.76046,9.2358114e-08,-80.942513,-0.27267283,28.162931,296.84847,-26.38667,393.63689,0.00014708083,-5.1001676,-0.017251427,0.56847451,295.63742,0.60506419,394.6134,0.81670025,-27.932819,-0.094597767,31.421391,295.2799,17.195592,390.39156,0.22539072,-202.42835,-0.67777367,0.0016042994,298.66659,0.0055198125,401.95327,1.0341452e-27,-68.095781,-0.22799932,3.2027955,298.66659,8.1231046,401.95327,0.0013089408,13799.531,281064.61,1.256502,287.58589,1,8
